Detail Data For Electricity Monthly - Demand & Availability of Energy Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,YearValue,MonthValue,EnergyRequirement_MU,EnergyAvailability_MU
WR,MADHYA PRADESH,2019,10,5326.000,5326.000
WR,MADHYA PRADESH,2019,11,6710.000,6710.000
WR,MADHYA PRADESH,2019,12,7489.000,7489.000
WR,MADHYA PRADESH,2020,1,7423.000,7423.000
WR,MADHYA PRADESH,2020,2,7586.000,7586.000
WR,MADHYA PRADESH,2020,3,6018.000,6018.000
WR,MADHYA PRADESH,2020,4,5360.000,5360.000
WR,MADHYA PRADESH,2020,5,6226.000,6226.000
WR,MADHYA PRADESH,2020,6,5283.000,5283.000
WR,MADHYA PRADESH,2020,7,6510.000,6510.000
WR,MADHYA PRADESH,2019,4,6233.000,6233.000
WR,MADHYA PRADESH,2019,5,6720.000,6720.000
WR,CHHATTISGARH,2019,6,2334.000,2334.000
WR,CHHATTISGARH,2019,7,2864.000,2864.000
WR,CHHATTISGARH,2019,8,2775.000,2774.000
WR,CHHATTISGARH,2019,9,2686.000,2685.000
WR,CHHATTISGARH,2019,10,2228.000,2228.000
WR,CHHATTISGARH,2019,11,2084.000,2083.000
WR,CHHATTISGARH,2019,12,2252.000,2252.000
WR,CHHATTISGARH,2020,1,2373.000,2372.000
WR,CHHATTISGARH,2020,2,2296.000,2296.000
WR,CHHATTISGARH,2020,3,2437.000,2437.000
WR,CHHATTISGARH,2020,4,2136.000,2136.000
WR,CHHATTISGARH,2020,5,2309.000,2309.000
WR,CHHATTISGARH,2020,6,2325.000,2325.000
WR,CHHATTISGARH,2020,7,2822.000,2822.000
WR,CHHATTISGARH,2019,4,2972.000,2971.000
WR,CHHATTISGARH,2019,5,2811.000,2811.000
NR,UTTAR PRADESH,2019,6,12947.000,12808.000
NR,UTTAR PRADESH,2019,7,12314.000,12123.000
NR,UTTAR PRADESH,2019,8,12428.000,12263.000
NR,UTTAR PRADESH,2019,9,11580.000,11287.000
NR,UTTAR PRADESH,2019,10,9555.000,9401.000
NR,UTTAR PRADESH,2019,11,8115.000,8006.000
NR,UTTAR PRADESH,2019,12,8222.000,8100.000
NR,UTTAR PRADESH,2020,1,8831.000,8726.000
NR,UTTAR PRADESH,2020,2,8152.000,8046.000
NR,UTTAR PRADESH,2020,3,7296.000,7213.000
NR,UTTAR PRADESH,2020,4,8196.000,8119.000
NR,UTTAR PRADESH,2020,5,10351.000,10242.000
NR,UTTAR PRADESH,2020,6,11865.000,11762.000
NR,UTTAR PRADESH,2020,7,13115.000,13007.000
NR,UTTAR PRADESH,2019,4,10154.000,10123.000
NR,UTTAR PRADESH,2019,5,12955.000,12908.000
WR,MAHARASHTRA,2019,6,13420.000,13420.000
WR,MAHARASHTRA,2019,7,12151.000,12151.000
WR,MAHARASHTRA,2019,8,11849.000,11849.000
WR,MAHARASHTRA,2019,9,11411.000,11411.000
WR,MAHARASHTRA,2019,10,11909.000,11909.000
WR,MAHARASHTRA,2019,11,12077.000,12077.000
WR,MAHARASHTRA,2019,12,13254.000,13254.000
WR,MAHARASHTRA,2020,1,13178.000,13178.000
WR,MAHARASHTRA,2020,2,13351.000,13351.000
WR,MAHARASHTRA,2020,3,13259.000,13259.000
WR,MAHARASHTRA,2020,4,11442.000,11442.000
WR,MAHARASHTRA,2020,5,12984.000,12984.000
WR,MAHARASHTRA,2020,6,10824.000,10824.000
WR,MAHARASHTRA,2020,7,11146.000,11146.000
WR,MAHARASHTRA,2019,4,14319.000,14319.000
WR,MAHARASHTRA,2019,5,14989.000,14989.000
ER,ODISHA,2019,6,2691.000,2691.000
ER,ODISHA,2019,7,2834.000,2834.000
ER,ODISHA,2019,8,2908.000,2908.000
ER,ODISHA,2019,9,2819.000,2819.000
ER,ODISHA,2019,10,2487.000,2487.000
ER,ODISHA,2019,11,2108.000,2108.000
ER,ODISHA,2019,12,2198.000,2198.000
ER,ODISHA,2020,1,2042.000,2042.000
ER,ODISHA,2020,2,2085.000,2085.000
ER,ODISHA,2020,3,2216.000,2216.000
ER,ODISHA,2020,4,2081.000,2081.000
ER,ODISHA,2020,5,2375.000,2375.000
ER,ODISHA,2020,6,2480.000,2480.000
ER,ODISHA,2020,7,2718.000,2718.000
ER,ODISHA,2019,4,2701.000,2701.000
ER,ODISHA,2019,5,2603.000,2603.000
SR,ANDHRA PRADESH,2019,6,5712.000,5705.000
SR,ANDHRA PRADESH,2019,7,5483.000,5482.000
SR,ANDHRA PRADESH,2019,8,5369.000,5361.000
SR,ANDHRA PRADESH,2019,9,5016.000,5000.000
SR,ANDHRA PRADESH,2019,10,4924.000,4924.000
SR,ANDHRA PRADESH,2019,11,5098.000,5098.000
SR,ANDHRA PRADESH,2019,12,5088.000,5088.000
SR,ANDHRA PRADESH,2020,1,5364.000,5364.000
SR,ANDHRA PRADESH,2020,2,5699.000,5698.000
SR,ANDHRA PRADESH,2020,3,5791.000,5791.000
SR,ANDHRA PRADESH,2020,4,4788.000,4788.000
SR,ANDHRA PRADESH,2020,5,5606.000,5606.000
SR,ANDHRA PRADESH,2020,6,5075.000,5075.000
SR,ANDHRA PRADESH,2020,7,4751.000,4750.000
SR,ANDHRA PRADESH,2019,4,5784.000,5784.000
SR,ANDHRA PRADESH,2019,5,6125.000,6118.000
SR,TELANGANA,2019,6,4805.000,4804.000
SR,TELANGANA,2019,7,5157.000,5157.000
SR,TELANGANA,2019,8,5988.000,5988.000
SR,TELANGANA,2019,9,5325.000,5325.000
SR,TELANGANA,2019,10,4955.000,4955.000
SR,TELANGANA,2019,11,5146.000,5146.000
SR,TELANGANA,2019,12,6049.000,6049.000
SR,TELANGANA,2020,1,6347.000,6347.000
SR,TELANGANA,2020,2,6646.000,6646.000
SR,TELANGANA,2020,3,7028.000,7028.000
SR,TELANGANA,2020,4,4781.000,4781.000
SR,TELANGANA,2020,5,4785.000,4785.000
SR,TELANGANA,2020,6,4579.000,4579.000
SR,TELANGANA,2020,7,5576.000,5575.000
SR,TELANGANA,2019,4,5576.000,5576.000
SR,TELANGANA,2019,5,5283.000,5283.000
ER,SIKKIM,2019,6,42.000,42.000
ER,SIKKIM,2019,7,40.000,40.000
ER,SIKKIM,2019,8,43.000,43.000
ER,SIKKIM,2019,9,42.000,42.000
ER,SIKKIM,2019,10,42.000,42.000
ER,SIKKIM,2019,11,48.000,48.000
ER,SIKKIM,2019,12,56.000,56.000
ER,SIKKIM,2020,1,57.000,57.000
ER,SIKKIM,2020,2,52.000,52.000
ER,SIKKIM,2020,3,49.000,49.000
ER,SIKKIM,2020,4,42.000,42.000
ER,SIKKIM,2020,5,41.000,41.000
ER,SIKKIM,2020,6,41.000,41.000
ER,SIKKIM,2020,7,40.000,40.000
ER,SIKKIM,2019,4,42.000,42.000
ER,SIKKIM,2019,5,41.000,41.000
NER,ASSAM,2019,6,965.000,917.000
NER,ASSAM,2019,7,955.000,899.000
NER,ASSAM,2019,8,948.000,899.000
NER,ASSAM,2019,9,994.000,899.000
NER,ASSAM,2019,10,950.000,899.000
NER,ASSAM,2019,11,724.000,704.000
NER,ASSAM,2019,12,663.000,654.000
NER,ASSAM,2020,1,684.000,669.000
NER,ASSAM,2020,2,661.000,648.000
NER,ASSAM,2020,3,690.000,668.000
NER,ASSAM,2020,4,616.000,558.000
NER,ASSAM,2020,5,741.000,691.000
NER,ASSAM,2020,6,911.000,888.000
NER,ASSAM,2020,7,996.000,951.000
NER,ASSAM,2019,4,754.000,696.000
NER,ASSAM,2019,5,816.000,734.000
NER,ARUNACHAL PRADESH,2019,6,69.000,68.000
NER,ARUNACHAL PRADESH,2019,7,69.000,69.000
NER,ARUNACHAL PRADESH,2019,8,68.000,67.000
NER,ARUNACHAL PRADESH,2019,9,58.000,58.000
NER,ARUNACHAL PRADESH,2019,10,57.000,57.000
NER,ARUNACHAL PRADESH,2019,11,56.000,56.000
NER,ARUNACHAL PRADESH,2019,12,62.000,62.000
NER,ARUNACHAL PRADESH,2020,1,69.000,69.000
NER,ARUNACHAL PRADESH,2020,2,62.000,62.000
NER,ARUNACHAL PRADESH,2020,3,60.000,59.000
NER,ARUNACHAL PRADESH,2020,4,36.000,34.000
NER,ARUNACHAL PRADESH,2020,5,44.000,44.000
NER,ARUNACHAL PRADESH,2020,6,56.000,55.000
NER,ARUNACHAL PRADESH,2020,7,53.000,52.000
NER,ARUNACHAL PRADESH,2019,4,62.000,62.000
NER,ARUNACHAL PRADESH,2019,5,61.000,60.000
NER,MEGHALAYA,2019,6,169.000,168.000
NER,MEGHALAYA,2019,7,171.000,171.000
NER,MEGHALAYA,2019,8,171.000,171.000
NER,MEGHALAYA,2019,9,171.000,171.000
NER,MEGHALAYA,2019,10,171.000,171.000
NER,MEGHALAYA,2019,11,175.000,175.000
NER,MEGHALAYA,2019,12,187.000,184.000
NER,MEGHALAYA,2020,1,213.000,198.000
NER,MEGHALAYA,2020,2,188.000,182.000
NER,MEGHALAYA,2020,3,164.000,160.000
NER,MEGHALAYA,2020,4,115.000,111.000
NER,MEGHALAYA,2020,5,146.000,143.000
NER,MEGHALAYA,2020,6,158.000,158.000
NER,MEGHALAYA,2020,7,163.000,163.000
NER,MEGHALAYA,2019,4,169.000,159.000
NER,MEGHALAYA,2019,5,162.000,154.000
NER,NAGALAND,2019,6,70.000,70.000
NER,NAGALAND,2019,7,70.000,70.000
NER,NAGALAND,2019,8,70.000,70.000
NER,NAGALAND,2019,9,70.000,70.000
NER,NAGALAND,2019,10,70.000,70.000
NER,NAGALAND,2019,11,66.000,66.000
NER,NAGALAND,2019,12,73.000,73.000
NER,NAGALAND,2020,1,72.000,71.000
NER,NAGALAND,2020,2,64.000,63.000
NER,NAGALAND,2020,3,64.000,64.000
NER,NAGALAND,2020,4,58.000,57.000
NER,NAGALAND,2020,5,65.000,64.000
NER,NAGALAND,2020,6,69.000,69.000
NER,NAGALAND,2020,7,77.000,76.000
NER,NAGALAND,2019,4,59.000,58.000
NER,NAGALAND,2019,5,66.000,65.000
WR,GUJARAT,2019,6,9967.000,9967.000
WR,GUJARAT,2019,7,10077.000,10076.000
WR,GUJARAT,2019,8,8441.000,8441.000
WR,GUJARAT,2019,9,8438.000,8438.000
WR,GUJARAT,2019,10,9079.000,9079.000
WR,GUJARAT,2019,11,8855.000,8855.000
WR,GUJARAT,2019,12,9550.000,9550.000
WR,GUJARAT,2020,1,9440.000,9440.000
WR,GUJARAT,2020,2,9519.000,9519.000
WR,GUJARAT,2020,3,9008.000,9008.000
WR,GUJARAT,2020,4,7496.000,7496.000
WR,GUJARAT,2020,5,9179.000,9179.000
WR,GUJARAT,2020,6,8594.000,8594.000
WR,GUJARAT,2020,7,8750.000,8750.000
WR,GUJARAT,2019,4,10540.000,10540.000
WR,GUJARAT,2019,5,11026.000,11026.000
NR,JAMMU & KASHMIR,2019,6,1719.000,1399.000
NR,JAMMU & KASHMIR,2019,7,1603.000,1180.000
NR,JAMMU & KASHMIR,2019,8,1535.000,1238.000
NR,JAMMU & KASHMIR,2019,9,1487.000,1203.000
NR,JAMMU & KASHMIR,2019,10,1529.000,1237.000
NR,JAMMU & KASHMIR,2019,11,1466.000,1186.000
NR,JAMMU & KASHMIR,2019,12,1874.000,1561.000
NR,JAMMU & KASHMIR,2020,1,1934.000,1700.000
NR,JAMMU & KASHMIR,2020,2,1816.000,1434.000
NR,JAMMU & KASHMIR,2020,3,1707.000,1402.000
NR,JAMMU & KASHMIR,2020,4,1568.000,1272.000
NR,JAMMU & KASHMIR,2020,5,1620.000,1309.000
NR,JAMMU & KASHMIR,2020,6,1564.000,1263.000
NR,JAMMU & KASHMIR,2020,7,1418.000,1418.000
NR,JAMMU & KASHMIR,2019,4,1604.000,1296.000
NR,JAMMU & KASHMIR,2019,5,1751.000,1425.000
SR,KERALA,2019,6,2180.000,2176.000
SR,KERALA,2019,7,2098.000,2091.000
SR,KERALA,2019,8,1916.000,1909.000
SR,KERALA,2019,9,1993.000,1987.000
SR,KERALA,2019,10,2056.000,2054.000
SR,KERALA,2019,11,2093.000,2091.000
SR,KERALA,2019,12,2170.000,2166.000
SR,KERALA,2020,1,2242.000,2239.000
SR,KERALA,2020,2,2193.000,2191.000
SR,KERALA,2020,3,2379.000,2378.000
SR,KERALA,2020,4,2047.000,2045.000
SR,KERALA,2020,5,2188.000,2188.000
SR,KERALA,2020,6,1922.000,1922.000
SR,KERALA,2020,7,1941.000,1940.000
SR,KERALA,2019,4,2428.000,2427.000
SR,KERALA,2019,5,2567.000,2558.000
SR,PUDUCHERRY,2019,6,270.000,269.000
SR,PUDUCHERRY,2019,7,257.000,257.000
SR,PUDUCHERRY,2019,8,245.000,245.000
SR,PUDUCHERRY,2019,9,229.000,228.000
SR,PUDUCHERRY,2019,10,231.000,231.000
SR,PUDUCHERRY,2019,11,217.000,217.000
SR,PUDUCHERRY,2019,12,211.000,211.000
SR,PUDUCHERRY,2020,1,212.000,212.000
SR,PUDUCHERRY,2020,2,218.000,218.000
SR,PUDUCHERRY,2020,3,217.000,217.000
SR,PUDUCHERRY,2020,4,152.000,152.000
SR,PUDUCHERRY,2020,5,229.000,229.000
SR,PUDUCHERRY,2020,6,235.000,235.000
SR,PUDUCHERRY,2020,7,231.000,231.000
SR,PUDUCHERRY,2019,4,264.000,264.000
SR,PUDUCHERRY,2019,5,277.000,276.000
NR,RAJASTHAN,2019,6,7745.000,7738.000
NR,RAJASTHAN,2019,7,7372.000,7363.000
NR,RAJASTHAN,2019,8,6270.000,6270.000
NR,RAJASTHAN,2019,9,6868.000,6867.000
NR,RAJASTHAN,2019,10,6124.000,6124.000
NR,RAJASTHAN,2019,11,6328.000,6326.000
NR,RAJASTHAN,2019,12,6969.000,6956.000
NR,RAJASTHAN,2020,1,7369.000,7367.000
NR,RAJASTHAN,2020,2,7137.000,7130.000
NR,RAJASTHAN,2020,3,5796.000,5792.000
NR,RAJASTHAN,2020,4,4867.000,4865.000
NR,RAJASTHAN,2020,5,6709.000,6704.000
NR,RAJASTHAN,2020,6,7187.000,7173.000
NR,RAJASTHAN,2020,7,7783.000,7777.000
NR,RAJASTHAN,2019,4,6192.000,6190.000
NR,RAJASTHAN,2019,5,7111.000,7100.000
SR,TAMILNADU,2019,6,9807.000,9804.000
SR,TAMILNADU,2019,7,9648.000,9648.000
SR,TAMILNADU,2019,8,9030.000,9030.000
SR,TAMILNADU,2019,9,8482.000,8482.000
SR,TAMILNADU,2019,10,8266.000,8266.000
SR,TAMILNADU,2019,11,8106.000,8106.000
SR,TAMILNADU,2019,12,8035.000,8035.000
SR,TAMILNADU,2020,1,8709.000,8708.000
SR,TAMILNADU,2020,2,8891.000,8890.000
SR,TAMILNADU,2020,3,9449.000,9449.000
SR,TAMILNADU,2020,4,7233.000,7233.000
SR,TAMILNADU,2020,5,8831.000,8831.000
SR,TAMILNADU,2020,6,8828.000,8828.000
SR,TAMILNADU,2020,7,8202.000,8200.000
SR,TAMILNADU,2019,4,10061.000,10061.000
SR,TAMILNADU,2019,5,10333.000,10332.000
NR,DELHI,2019,6,3833.000,3831.000
NR,DELHI,2019,7,3769.000,3767.000
NR,DELHI,2019,8,3547.000,3546.000
NR,DELHI,2019,9,3463.000,3463.000
NR,DELHI,2019,10,2469.000,2469.000
NR,DELHI,2019,11,1900.000,1899.000
NR,DELHI,2019,12,2151.000,2150.000
NR,DELHI,2020,1,2290.000,2290.000
NR,DELHI,2020,2,1905.000,1905.000
NR,DELHI,2020,3,1693.000,1693.000
NR,DELHI,2020,4,1671.000,1670.000
NR,DELHI,2020,5,2523.000,2523.000
NR,DELHI,2020,6,3110.000,3109.000
NR,DELHI,2020,7,3314.000,3313.000
NR,DELHI,2019,4,2698.000,2698.000
NR,DELHI,2019,5,3367.000,3366.000
NR,HARYANA,2019,6,5883.000,5879.000
NR,HARYANA,2019,7,6281.000,6281.000
NR,HARYANA,2019,8,5925.000,5915.000
NR,HARYANA,2019,9,5953.000,5953.000
NR,HARYANA,2019,10,4315.000,4315.000
NR,HARYANA,2019,11,3349.000,3349.000
NR,HARYANA,2019,12,3705.000,3705.000
NR,HARYANA,2020,1,3863.000,3863.000
NR,HARYANA,2020,2,3689.000,3689.000
NR,HARYANA,2020,3,2862.000,2862.000
NR,HARYANA,2020,4,2513.000,2513.000
NR,HARYANA,2020,5,3899.000,3899.000
NR,HARYANA,2020,6,5158.000,5158.000
NR,HARYANA,2020,7,5898.000,5898.000
NR,HARYANA,2019,4,3773.000,3773.000
NR,HARYANA,2019,5,4907.000,4907.000
NR,HIMACHAL PRADESH,2019,6,958.000,957.000
NR,HIMACHAL PRADESH,2019,7,981.000,963.000
NR,HIMACHAL PRADESH,2019,8,903.000,903.000
NR,HIMACHAL PRADESH,2019,9,891.000,891.000
NR,HIMACHAL PRADESH,2019,10,800.000,793.000
NR,HIMACHAL PRADESH,2019,11,823.000,819.000
NR,HIMACHAL PRADESH,2019,12,920.000,913.000
NR,HIMACHAL PRADESH,2020,1,931.000,931.000
NR,HIMACHAL PRADESH,2020,2,836.000,821.000
NR,HIMACHAL PRADESH,2020,3,731.000,731.000
NR,HIMACHAL PRADESH,2020,4,439.000,437.000
NR,HIMACHAL PRADESH,2020,5,682.000,682.000
NR,HIMACHAL PRADESH,2020,6,808.000,806.000
NR,HIMACHAL PRADESH,2020,7,857.000,855.000
NR,HIMACHAL PRADESH,2019,4,781.000,781.000
NR,HIMACHAL PRADESH,2019,5,868.000,849.000
SR,KARNATAKA,2019,6,5792.000,5791.000
SR,KARNATAKA,2019,7,5702.000,5702.000
SR,KARNATAKA,2019,8,5026.000,5026.000
SR,KARNATAKA,2019,9,5218.000,5218.000
SR,KARNATAKA,2019,10,4637.000,4637.000
SR,KARNATAKA,2019,11,5196.000,5196.000
SR,KARNATAKA,2019,12,6066.000,6066.000
SR,KARNATAKA,2020,1,7014.000,7014.000
SR,KARNATAKA,2020,2,7024.000,7024.000
SR,KARNATAKA,2020,3,7416.000,7416.000
SR,KARNATAKA,2020,4,6168.000,6168.000
SR,KARNATAKA,2020,5,6320.000,6320.000
SR,KARNATAKA,2020,6,5169.000,5169.000
SR,KARNATAKA,2020,7,4835.000,4834.000
SR,KARNATAKA,2019,4,7011.000,7011.000
SR,KARNATAKA,2019,5,6696.000,6695.000
NR,PUNJAB,2019,6,6886.000,6886.000
NR,PUNJAB,2019,7,7431.000,7431.000
NR,PUNJAB,2019,8,7110.000,7110.000
NR,PUNJAB,2019,9,6721.000,6721.000
NR,PUNJAB,2019,10,4063.000,4063.000
NR,PUNJAB,2019,11,3042.000,3042.000
NR,PUNJAB,2019,12,3414.000,3414.000
NR,PUNJAB,2020,1,3397.000,3397.000
NR,PUNJAB,2020,2,3489.000,3489.000
NR,PUNJAB,2020,3,2726.000,2726.000
NR,PUNJAB,2020,4,2287.000,2287.000
NR,PUNJAB,2020,5,4032.000,4032.000
NR,PUNJAB,2020,6,6676.000,6676.000
NR,PUNJAB,2020,7,7390.000,7390.000
NR,PUNJAB,2019,4,3706.000,3706.000
NR,PUNJAB,2019,5,4792.000,4786.000
NR,UTTARAKHAND,2019,6,1441.000,1441.000
NR,UTTARAKHAND,2019,7,1416.000,1416.000
NR,UTTARAKHAND,2019,8,1263.000,1254.000
NR,UTTARAKHAND,2019,9,1310.000,1310.000
NR,UTTARAKHAND,2019,10,1103.000,1103.000
NR,UTTARAKHAND,2019,11,1041.000,1041.000
NR,UTTARAKHAND,2019,12,1168.000,1166.000
NR,UTTARAKHAND,2020,1,1244.000,1243.000
NR,UTTARAKHAND,2020,2,1091.000,1091.000
NR,UTTARAKHAND,2020,3,869.000,869.000
NR,UTTARAKHAND,2020,4,674.000,674.000
NR,UTTARAKHAND,2020,5,974.000,974.000
NR,UTTARAKHAND,2020,6,1252.000,1252.000
NR,UTTARAKHAND,2020,7,1350.000,1350.000
NR,UTTARAKHAND,2019,4,1120.000,1120.000
NR,UTTARAKHAND,2019,5,1406.000,1322.000
WR,GOA,2019,6,364.000,364.000
WR,GOA,2019,7,342.000,342.000
WR,GOA,2019,8,319.000,319.000
WR,GOA,2019,9,322.000,322.000
WR,GOA,2019,10,349.000,349.000
WR,GOA,2019,11,366.000,366.000
WR,GOA,2019,12,374.000,374.000
WR,GOA,2020,1,414.000,414.000
WR,GOA,2020,2,353.000,353.000
WR,GOA,2020,3,339.000,339.000
WR,GOA,2020,4,282.000,282.000
WR,GOA,2020,5,376.000,376.000
WR,GOA,2020,6,310.000,310.000
WR,GOA,2020,7,314.000,314.000
WR,GOA,2019,4,397.000,397.000
WR,GOA,2019,5,411.000,411.000
NER,MANIPUR,2019,6,70.000,70.000
NER,MANIPUR,2019,7,75.000,74.000
NER,MANIPUR,2019,8,75.000,74.000
NER,MANIPUR,2019,9,75.000,74.000
NER,MANIPUR,2019,10,75.000,74.000
NER,MANIPUR,2019,11,75.000,75.000
NER,MANIPUR,2019,12,91.000,91.000
NER,MANIPUR,2020,1,95.000,95.000
NER,MANIPUR,2020,2,84.000,84.000
NER,MANIPUR,2020,3,76.000,75.000
NER,MANIPUR,2020,4,65.000,64.000
NER,MANIPUR,2020,5,71.000,71.000
NER,MANIPUR,2020,6,73.000,72.000
NER,MANIPUR,2020,7,77.000,77.000
NER,MANIPUR,2019,4,62.000,61.000
NER,MANIPUR,2019,5,71.000,70.000
NER,MIZORAM,2019,6,47.000,46.000
NER,MIZORAM,2019,7,56.000,56.000
NER,MIZORAM,2019,8,56.000,56.000
NER,MIZORAM,2019,9,56.000,56.000
NER,MIZORAM,2019,10,56.000,56.000
NER,MIZORAM,2019,11,50.000,49.000
NER,MIZORAM,2019,12,58.000,58.000
NER,MIZORAM,2020,1,61.000,60.000
NER,MIZORAM,2020,2,57.000,57.000
NER,MIZORAM,2020,3,59.000,59.000
NER,MIZORAM,2020,4,50.000,49.000
NER,MIZORAM,2020,5,55.000,55.000
NER,MIZORAM,2020,6,49.000,49.000
NER,MIZORAM,2020,7,62.000,62.000
NER,MIZORAM,2019,4,45.000,44.000
NER,MIZORAM,2019,5,46.000,46.000
NER,TRIPURA,2019,6,148.000,137.000
NER,TRIPURA,2019,7,145.000,144.000
NER,TRIPURA,2019,8,150.000,144.000
NER,TRIPURA,2019,9,144.000,144.000
NER,TRIPURA,2019,10,144.000,144.000
NER,TRIPURA,2019,11,105.000,105.000
NER,TRIPURA,2019,12,103.000,103.000
NER,TRIPURA,2020,1,104.000,104.000
NER,TRIPURA,2020,2,98.000,98.000
NER,TRIPURA,2020,3,110.000,110.000
NER,TRIPURA,2020,4,104.000,102.000
NER,TRIPURA,2020,5,124.000,123.000
NER,TRIPURA,2020,6,134.000,134.000
NER,TRIPURA,2020,7,143.000,143.000
NER,TRIPURA,2019,4,119.000,117.000
NER,TRIPURA,2019,5,168.000,165.000
ER,A & N ISLANDS,2019,6,29.000,27.000
ER,A & N ISLANDS,2019,7,29.000,27.000
ER,A & N ISLANDS,2019,8,29.000,27.000
ER,A & N ISLANDS,2019,9,29.000,27.000
ER,A & N ISLANDS,2019,10,29.000,27.000
ER,A & N ISLANDS,2019,11,29.000,27.000
ER,A & N ISLANDS,2019,12,29.000,27.000
ER,A & N ISLANDS,2020,1,29.000,27.000
ER,A & N ISLANDS,2020,2,29.000,27.000
ER,A & N ISLANDS,2020,3,29.000,27.000
ER,A & N ISLANDS,2020,4,29.000,27.000
ER,A & N ISLANDS,2020,5,29.000,27.000
