Detail Data For Vidyut Pravah Data Having Year : ALL
.
State,YearValue,MonthValue,DayValue,Shrotage_MW,MaxDemand_MW,FileName,DateInFile
TRIPURA,2019,10,2,14.000,283.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
ALL INDIA,2019,10,2,1003.000,148556.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
PUNJAB,2019,10,3,0.000,6545.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
HARYANA,2019,10,3,122.000,7473.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
RAJASTHAN,2019,10,3,0.000,8714.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
DELHI,2019,10,3,0.000,4549.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
UP,2019,10,3,270.000,15081.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
UTTARAKHAND,2019,10,3,0.000,1765.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
HP,2019,10,3,9.000,1393.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
J&K,2019,10,3,498.000,1994.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
CHANDIGARH,2019,10,3,0.000,211.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
CHHATTISGARH,2019,10,3,0.000,3871.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
GUJARAT,2019,10,3,0.000,13240.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
MP,2019,10,3,0.000,8176.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
MAHARASHTRA,2019,10,3,0.000,19065.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
GOA,2019,10,3,0.000,541.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
DD,2019,10,3,0.000,317.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
DNH,2019,10,3,0.000,775.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
ESSAR STEEL,2019,10,3,0.000,317.000,NICSI_03-Oct-2019.csv,04/10/2019 08:03:00
