Detail Data For Electricity Generation by Source Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2006,7684.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2006,17284.850,0.000
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2006,468.210,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2006,7630.600,0.000
UTILITY,WEST BENGAL,PRIVATE,NATURAL GAS,NON-RENEWABLE,2006,196.020,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2006,11464.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2006,74.360,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2006,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2006,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2006,1864.810,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2007,0.000,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2007,0.000,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2007,8299.150,79.610
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2007,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2007,17396.500,61.770
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2007,412.640,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2007,7703.600,85.000
UTILITY,WEST BENGAL,PRIVATE,NATURAL GAS,NON-RENEWABLE,2007,179.840,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2007,11399.000,80.890
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2007,72.550,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2007,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2007,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2007,1956.980,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2008,0.000,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2008,90.710,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2008,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2008,18495.190,64.700
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2008,755.960,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2008,8145.970,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2008,8484.960,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2008,11739.340,79.260
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2008,120.690,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2008,548.180,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2008,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2008,1520.960,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,157.413,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2008,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2008,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2008,0.040,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2009,9366.250,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2009,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2009,21433.590,56.440
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2009,945.450,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2009,8039.370,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2009,10759.320,76.760
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2009,108.570,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2009,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2009,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2009,2056.490,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,157.413,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2009,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2009,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2009,0.040,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2010,8861.550,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2010,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2010,23969.500,57.280
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2010,1110.820,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2010,8030.090,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2010,10239.320,73.050
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2010,103.960,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2010,293.040,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2010,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2010,2342.460,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,157.413,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2010,5.310,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,888.800,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2010,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2010,0.929,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2011,10322.900,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2011,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2011,24009.120,57.340
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2011,1129.990,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2011,8857.370,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2011,11089.090,79.120
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2011,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2011,60.450,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2011,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2011,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2011,2388.520,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,157.413,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2011,5.310,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,888.800,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2011,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2011,0.929,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2012,12188.950,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2012,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2012,25625.220,59.360
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2012,1077.890,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2012,8989.140,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2012,10416.290,71.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2012,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2012,157.413,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2012,5.310,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2012,888.800,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2012,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2012,1.656,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2013,17381.920,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2013,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2013,25343.250,58.090
UTILITY,WEST BENGAL,STATE,NATURAL GAS,NON-RENEWABLE,2013,0.000,0.000
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2013,1138.120,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2013,8714.020,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2013,11633.150,63.510
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2013,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2013,57.780,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2013,831.380,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2013,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2013,1610.320,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2013,157.413,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2013,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2013,1444.300,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2013,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2013,1.656,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2014,19414.940,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2014,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2014,22466.860,51.600
UTILITY,WEST BENGAL,STATE,NATURAL GAS,NON-RENEWABLE,2014,0.000,0.000
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2014,1208.610,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2014,8929.720,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2014,13277.740,72.180
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2014,186.950,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2014,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2014,1663.400,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2014,109.810,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2014,904.240,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2014,157.413,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2014,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2014,1444.300,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2014,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2014,5.694,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2014,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2014,0.000,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2015,18671.870,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2015,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2015,25261.110,57.210
UTILITY,WEST BENGAL,STATE,NATURAL GAS,NON-RENEWABLE,2015,0.000,0.000
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2015,1755.620,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2015,8952.170,54.490
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2015,13378.930,72.730
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2015,394.190,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2015,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2015,1610.640,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2015,19.200,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2015,1008.040,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2015,157.573,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2015,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2015,1444.300,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2015,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2015,5.823,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2015,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2015,0.020,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2016,20914.470,0.000
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2016,0.000,0.000
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2016,21939.170,48.460
UTILITY,WEST BENGAL,STATE,NATURAL GAS,NON-RENEWABLE,2016,0.000,0.000
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2016,1491.700,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2016,10621.690,68.940
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2016,12360.430,67.010
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2016,533.630,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2016,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2016,1695.450,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2016,20.900,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2016,1044.050,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2016,1444.300,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2016,157.573,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2016,6.275,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2016,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2016,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2016,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2016,0.020,0.000
UTILITY,JHARKHAND,CENTRAL,COAL,NON-RENEWABLE,2017,11495.030,49.950
UTILITY,JHARKHAND,CENTRAL,HYDRO,NON-RENEWABLE,2017,133.510,0.000
UTILITY,JHARKHAND,PRIVATE,COAL,NON-RENEWABLE,2017,12888.120,71.290
UTILITY,JHARKHAND,STATE,COAL,NON-RENEWABLE,2017,1423.300,38.690
UTILITY,JHARKHAND,STATE,HYDRO,NON-RENEWABLE,2017,30.130,0.000
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,0.000,0.000
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,14.080,0.000
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2017,38.470,0.000
UTILITY,JHARKHAND,UTILITY-RE,RENEWABLES,RENEWABLE,2017,0.000,0.000
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2017,0.000,0.000
CAPTIVE,JHARKHAND,CAPTIVE,HYDRO,NON-RENEWABLE,2017,0.000,0.000
CAPTIVE,JHARKHAND,CAPTIVE,COAL,NON-RENEWABLE,2017,6715.309,0.000
CAPTIVE,JHARKHAND,CAPTIVE,DIESEL,NON-RENEWABLE,2017,6.611,0.000
CAPTIVE,JHARKHAND,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2017,199.171,0.000
CAPTIVE,JHARKHAND,CAPTIVE,SOLAR,RENEWABLE,2017,0.000,0.000
CAPTIVE,JHARKHAND,CAPTIVE,WIND,RENEWABLE,2017,0.000,0.000
UTILITY,JHARKHAND,CENTRAL,COAL,NON-RENEWABLE,2018,13485.310,52.910
UTILITY,JHARKHAND,CENTRAL,HYDRO,NON-RENEWABLE,2018,141.940,0.000
UTILITY,JHARKHAND,PRIVATE,COAL,NON-RENEWABLE,2018,11873.640,74.070
UTILITY,JHARKHAND,STATE,COAL,NON-RENEWABLE,2018,1933.310,52.550
UTILITY,JHARKHAND,STATE,HYDRO,NON-RENEWABLE,2018,190.380,0.000
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,0.000,0.000
