Detail Data For Electricity Monthly - Capacity by Sector & Energy Source Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,Sector,EnergySource,YearValue,MonthValue,Capacity_MW_M
ER,WEST BENGAL,CENTRAL,HYDRO,2019,9,355.200
ER,WEST BENGAL,CENTRAL,COAL,2019,9,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2019,9,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,9,100.000
ER,WEST BENGAL,STATE,HYDRO,2019,9,986.000
ER,WEST BENGAL,STATE,COAL,2019,9,5400.000
ER,WEST BENGAL,STATE,RENEWABLES,2019,9,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,9,393.630
ER,WEST BENGAL,CENTRAL,HYDRO,2019,10,355.200
ER,WEST BENGAL,CENTRAL,COAL,2019,10,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2019,10,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,10,100.000
ER,WEST BENGAL,STATE,HYDRO,2019,10,986.000
ER,WEST BENGAL,STATE,COAL,2019,10,5400.000
ER,WEST BENGAL,STATE,RENEWABLES,2019,10,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,10,404.960
ER,WEST BENGAL,STATE,RENEWABLES,2019,11,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,11,405.340
ER,WEST BENGAL,CENTRAL,HYDRO,2019,11,355.200
ER,WEST BENGAL,CENTRAL,COAL,2019,11,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2019,11,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,11,100.000
ER,WEST BENGAL,STATE,HYDRO,2019,11,986.000
ER,WEST BENGAL,STATE,COAL,2019,11,5400.000
ER,WEST BENGAL,CENTRAL,HYDRO,2019,12,355.200
ER,WEST BENGAL,CENTRAL,COAL,2019,12,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2019,12,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,12,100.000
ER,WEST BENGAL,STATE,HYDRO,2019,12,986.000
ER,WEST BENGAL,STATE,COAL,2019,12,5400.000
ER,WEST BENGAL,STATE,RENEWABLES,2019,12,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,12,405.880
ER,WEST BENGAL,CENTRAL,HYDRO,2020,1,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,1,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,1,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,1,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,1,986.000
ER,WEST BENGAL,STATE,COAL,2020,1,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,1,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,1,410.930
ER,WEST BENGAL,CENTRAL,HYDRO,2020,2,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,2,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,2,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,2,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,2,986.000
ER,WEST BENGAL,STATE,COAL,2020,2,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,2,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,2,410.930
ER,WEST BENGAL,CENTRAL,HYDRO,2020,3,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,3,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,3,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,3,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,3,986.000
ER,WEST BENGAL,STATE,COAL,2020,3,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,3,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,3,410.930
ER,WEST BENGAL,CENTRAL,HYDRO,2020,4,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,4,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,4,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,4,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,4,986.000
ER,WEST BENGAL,STATE,COAL,2020,4,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,4,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,4,413.020
ER,WEST BENGAL,CENTRAL,HYDRO,2020,5,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,5,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,5,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,5,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,5,986.000
ER,WEST BENGAL,STATE,COAL,2020,5,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,5,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,5,413.020
ER,WEST BENGAL,CENTRAL,HYDRO,2020,6,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,6,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,6,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,6,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,6,986.000
ER,WEST BENGAL,STATE,COAL,2020,6,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,6,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,6,413.530
ER,WEST BENGAL,CENTRAL,HYDRO,2020,7,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,7,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,7,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,7,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,7,986.000
ER,WEST BENGAL,STATE,COAL,2020,7,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,7,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,7,413.530
ER,WEST BENGAL,CENTRAL,COAL,2020,8,6850.000
ER,WEST BENGAL,CENTRAL,HYDRO,2020,8,355.200
ER,WEST BENGAL,PRIVATE,COAL,2020,8,2037.000
ER,WEST BENGAL,STATE,COAL,2020,8,5290.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,8,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,8,986.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,8,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,8,423.530
ER,WEST BENGAL,CENTRAL,HYDRO,2020,9,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,9,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,9,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,9,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,9,986.000
ER,WEST BENGAL,STATE,COAL,2020,9,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,9,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,9,435.020
ER,WEST BENGAL,CENTRAL,HYDRO,2020,10,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,10,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,10,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,10,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,10,986.000
ER,WEST BENGAL,STATE,COAL,2020,10,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,10,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,10,445.020
ER,WEST BENGAL,STATE,RENEWABLES,2020,11,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,11,446.280
ER,WEST BENGAL,CENTRAL,COAL,2020,11,355.200
ER,WEST BENGAL,CENTRAL,HYDRO,2020,11,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,11,2037.000
ER,WEST BENGAL,STATE,COAL,2020,11,100.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,11,986.000
ER,WEST BENGAL,STATE,HYDRO,2020,11,5400.000
ER,WEST BENGAL,CENTRAL,HYDRO,2020,12,355.200
ER,WEST BENGAL,CENTRAL,COAL,2020,12,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2020,12,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2020,12,100.000
ER,WEST BENGAL,STATE,HYDRO,2020,12,986.000
ER,WEST BENGAL,STATE,COAL,2020,12,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2020,12,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2020,12,446.310
ER,WEST BENGAL,CENTRAL,HYDRO,2021,1,355.200
ER,WEST BENGAL,CENTRAL,COAL,2021,1,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2021,1,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2021,1,100.000
ER,WEST BENGAL,STATE,HYDRO,2021,1,986.000
ER,WEST BENGAL,STATE,COAL,2021,1,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2021,1,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2021,1,446.310
ER,WEST BENGAL,CENTRAL,HYDRO,2021,2,355.200
ER,WEST BENGAL,CENTRAL,COAL,2021,2,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2021,2,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2021,2,100.000
ER,WEST BENGAL,STATE,HYDRO,2021,2,986.000
ER,WEST BENGAL,STATE,COAL,2021,2,5290.000
ER,WEST BENGAL,STATE,RENEWABLES,2021,2,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2021,2,446.310
ER,JHARKHAND,STATE,COAL,2019,4,420.000
ER,JHARKHAND,STATE,THERMAL,2019,4,0.000
ER,JHARKHAND,STATE,NATURAL GAS,2019,4,0.000
ER,JHARKHAND,STATE,DIESEL,2019,4,0.000
ER,JHARKHAND,STATE,NUCLEAR,2019,4,0.000
ER,JHARKHAND,STATE,HYDRO,2019,4,130.000
ER,JHARKHAND,STATE,RENEWABLES,2019,4,4.050
ER,JHARKHAND,PRIVATE,COAL,2019,4,730.000
ER,JHARKHAND,PRIVATE,THERMAL,2019,4,0.000
ER,JHARKHAND,PRIVATE,NATURAL GAS,2019,4,0.000
ER,JHARKHAND,PRIVATE,DIESEL,2019,4,0.000
ER,JHARKHAND,PRIVATE,NUCLEAR,2019,4,0.000
ER,JHARKHAND,PRIVATE,HYDRO,2019,4,0.000
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,4,34.950
ER,JHARKHAND,CENTRAL,COAL,2019,4,393.740
ER,JHARKHAND,CENTRAL,THERMAL,2019,4,0.000
ER,JHARKHAND,CENTRAL,NATURAL GAS,2019,4,0.000
ER,JHARKHAND,CENTRAL,DIESEL,2019,4,0.000
ER,JHARKHAND,CENTRAL,NUCLEAR,2019,4,0.000
ER,JHARKHAND,CENTRAL,HYDRO,2019,4,61.000
ER,JHARKHAND,CENTRAL,RENEWABLES,2019,4,0.000
ER,JHARKHAND,STATE,COAL,2019,5,420.000
ER,JHARKHAND,STATE,HYDRO,2019,5,130.000
ER,JHARKHAND,STATE,RENEWABLES,2019,5,4.050
ER,JHARKHAND,PRIVATE,COAL,2019,5,730.000
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,5,36.470
ER,JHARKHAND,CENTRAL,COAL,2019,5,393.740
ER,JHARKHAND,CENTRAL,HYDRO,2019,5,61.000
ER,JHARKHAND,CENTRAL,HYDRO,2019,6,80.000
ER,JHARKHAND,CENTRAL,COAL,2019,6,2340.000
ER,JHARKHAND,PRIVATE,COAL,2019,6,1830.000
ER,JHARKHAND,STATE,HYDRO,2019,6,130.000
ER,JHARKHAND,STATE,COAL,2019,6,420.000
ER,JHARKHAND,STATE,RENEWABLES,2019,6,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,6,36.470
ER,JHARKHAND,CENTRAL,HYDRO,2019,7,80.000
ER,JHARKHAND,CENTRAL,COAL,2019,7,2340.000
ER,JHARKHAND,PRIVATE,COAL,2019,7,1830.000
ER,JHARKHAND,STATE,HYDRO,2019,7,130.000
ER,JHARKHAND,STATE,COAL,2019,7,420.000
ER,JHARKHAND,STATE,RENEWABLES,2019,7,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,7,38.200
ER,JHARKHAND,CENTRAL,HYDRO,2019,8,80.000
ER,JHARKHAND,CENTRAL,COAL,2019,8,2340.000
ER,JHARKHAND,PRIVATE,COAL,2019,8,1830.000
ER,JHARKHAND,STATE,HYDRO,2019,8,130.000
ER,JHARKHAND,STATE,COAL,2019,8,420.000
ER,JHARKHAND,STATE,RENEWABLES,2019,8,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,8,38.200
ER,JHARKHAND,CENTRAL,HYDRO,2019,9,80.000
ER,JHARKHAND,CENTRAL,COAL,2019,9,2340.000
ER,JHARKHAND,PRIVATE,COAL,2019,9,1830.000
ER,JHARKHAND,STATE,HYDRO,2019,9,130.000
ER,JHARKHAND,STATE,COAL,2019,9,420.000
ER,JHARKHAND,STATE,RENEWABLES,2019,9,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,9,42.530
ER,JHARKHAND,CENTRAL,HYDRO,2019,10,80.000
ER,JHARKHAND,CENTRAL,COAL,2019,10,2340.000
ER,JHARKHAND,PRIVATE,COAL,2019,10,1830.000
ER,JHARKHAND,STATE,HYDRO,2019,10,130.000
ER,JHARKHAND,STATE,COAL,2019,10,420.000
ER,JHARKHAND,STATE,RENEWABLES,2019,10,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,10,42.700
ER,JHARKHAND,STATE,RENEWABLES,2019,11,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,11,42.700
ER,JHARKHAND,CENTRAL,HYDRO,2019,11,80.000
ER,JHARKHAND,CENTRAL,COAL,2019,11,2340.000
ER,JHARKHAND,PRIVATE,COAL,2019,11,1830.000
ER,JHARKHAND,STATE,HYDRO,2019,11,130.000
ER,JHARKHAND,STATE,COAL,2019,11,420.000
ER,JHARKHAND,CENTRAL,HYDRO,2019,12,80.000
ER,JHARKHAND,CENTRAL,COAL,2019,12,2340.000
ER,JHARKHAND,PRIVATE,COAL,2019,12,1830.000
ER,JHARKHAND,STATE,HYDRO,2019,12,130.000
ER,JHARKHAND,STATE,COAL,2019,12,420.000
ER,JHARKHAND,STATE,RENEWABLES,2019,12,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2019,12,42.700
ER,JHARKHAND,CENTRAL,HYDRO,2020,1,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,1,2340.000
ER,JHARKHAND,PRIVATE,COAL,2020,1,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,1,130.000
ER,JHARKHAND,STATE,COAL,2020,1,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,1,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,1,42.700
ER,JHARKHAND,CENTRAL,HYDRO,2020,2,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,2,2340.000
ER,JHARKHAND,PRIVATE,COAL,2020,2,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,2,130.000
ER,JHARKHAND,STATE,COAL,2020,2,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,2,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,2,42.700
ER,JHARKHAND,CENTRAL,HYDRO,2020,3,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,3,2210.000
ER,JHARKHAND,PRIVATE,COAL,2020,3,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,3,130.000
ER,JHARKHAND,STATE,COAL,2020,3,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,3,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,3,42.700
ER,JHARKHAND,CENTRAL,HYDRO,2020,4,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,4,2210.000
ER,JHARKHAND,PRIVATE,COAL,2020,4,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,4,130.000
ER,JHARKHAND,STATE,COAL,2020,4,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,4,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,4,42.700
ER,JHARKHAND,CENTRAL,HYDRO,2020,5,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,5,2210.000
ER,JHARKHAND,PRIVATE,COAL,2020,5,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,5,130.000
ER,JHARKHAND,STATE,COAL,2020,5,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,5,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,5,43.210
ER,JHARKHAND,CENTRAL,HYDRO,2020,6,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,6,2210.000
ER,JHARKHAND,PRIVATE,COAL,2020,6,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,6,130.000
ER,JHARKHAND,STATE,COAL,2020,6,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,6,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,6,43.340
ER,JHARKHAND,CENTRAL,HYDRO,2020,7,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,7,2210.000
ER,JHARKHAND,PRIVATE,COAL,2020,7,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,7,130.000
ER,JHARKHAND,STATE,COAL,2020,7,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,7,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,7,43.360
ER,JHARKHAND,CENTRAL,COAL,2020,8,2210.000
ER,JHARKHAND,CENTRAL,HYDRO,2020,8,80.000
ER,JHARKHAND,PRIVATE,COAL,2020,8,1830.000
ER,JHARKHAND,STATE,COAL,2020,8,420.000
ER,JHARKHAND,STATE,HYDRO,2020,8,130.000
ER,JHARKHAND,STATE,RENEWABLES,2020,8,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,8,43.360
ER,JHARKHAND,CENTRAL,HYDRO,2020,9,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,9,2210.000
ER,JHARKHAND,PRIVATE,COAL,2020,9,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,9,130.000
ER,JHARKHAND,STATE,COAL,2020,9,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,9,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,9,43.360
ER,JHARKHAND,CENTRAL,HYDRO,2020,10,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,10,2210.000
ER,JHARKHAND,PRIVATE,COAL,2020,10,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,10,130.000
ER,JHARKHAND,STATE,COAL,2020,10,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,10,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,10,43.360
ER,JHARKHAND,STATE,RENEWABLES,2020,11,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,11,43.360
ER,JHARKHAND,CENTRAL,COAL,2020,11,80.000
ER,JHARKHAND,CENTRAL,HYDRO,2020,11,2340.000
ER,JHARKHAND,PRIVATE,COAL,2020,11,1830.000
ER,JHARKHAND,STATE,COAL,2020,11,130.000
ER,JHARKHAND,STATE,HYDRO,2020,11,420.000
ER,JHARKHAND,CENTRAL,HYDRO,2020,12,80.000
ER,JHARKHAND,CENTRAL,COAL,2020,12,2210.000
ER,JHARKHAND,PRIVATE,COAL,2020,12,1830.000
ER,JHARKHAND,STATE,HYDRO,2020,12,130.000
ER,JHARKHAND,STATE,COAL,2020,12,420.000
ER,JHARKHAND,STATE,RENEWABLES,2020,12,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2020,12,43.360
ER,JHARKHAND,CENTRAL,HYDRO,2021,1,80.000
ER,JHARKHAND,CENTRAL,COAL,2021,1,2210.000
ER,JHARKHAND,PRIVATE,COAL,2021,1,1830.000
ER,JHARKHAND,STATE,HYDRO,2021,1,130.000
ER,JHARKHAND,STATE,COAL,2021,1,420.000
ER,JHARKHAND,STATE,RENEWABLES,2021,1,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2021,1,52.930
ER,JHARKHAND,CENTRAL,HYDRO,2021,2,80.000
ER,JHARKHAND,CENTRAL,COAL,2021,2,2210.000
ER,JHARKHAND,PRIVATE,COAL,2021,2,1830.000
ER,JHARKHAND,STATE,HYDRO,2021,2,130.000
ER,JHARKHAND,STATE,COAL,2021,2,420.000
ER,JHARKHAND,STATE,RENEWABLES,2021,2,4.050
ER,JHARKHAND,PRIVATE,RENEWABLES,2021,2,52.930
ER,BIHAR,STATE,COAL,2019,4,0.000
ER,BIHAR,STATE,THERMAL,2019,4,0.000
ER,BIHAR,STATE,NATURAL GAS,2019,4,0.000
ER,BIHAR,STATE,DIESEL,2019,4,0.000
ER,BIHAR,STATE,NUCLEAR,2019,4,0.000
ER,BIHAR,STATE,HYDRO,2019,4,0.000
ER,BIHAR,STATE,RENEWABLES,2019,4,70.700
ER,BIHAR,PRIVATE,COAL,2019,4,281.000
ER,BIHAR,PRIVATE,THERMAL,2019,4,0.000
ER,BIHAR,PRIVATE,NATURAL GAS,2019,4,0.000
ER,BIHAR,PRIVATE,DIESEL,2019,4,0.000
ER,BIHAR,PRIVATE,NUCLEAR,2019,4,0.000
ER,BIHAR,PRIVATE,HYDRO,2019,4,0.000
ER,BIHAR,PRIVATE,RENEWABLES,2019,4,255.450
ER,BIHAR,CENTRAL,COAL,2019,4,3849.330
ER,BIHAR,CENTRAL,THERMAL,2019,4,0.000
ER,BIHAR,CENTRAL,NATURAL GAS,2019,4,0.000
ER,BIHAR,CENTRAL,DIESEL,2019,4,0.000
ER,BIHAR,CENTRAL,NUCLEAR,2019,4,0.000
ER,BIHAR,CENTRAL,HYDRO,2019,4,110.000
ER,BIHAR,CENTRAL,RENEWABLES,2019,4,0.000
ER,BIHAR,STATE,RENEWABLES,2019,5,70.700
ER,BIHAR,PRIVATE,COAL,2019,5,281.000
ER,BIHAR,PRIVATE,RENEWABLES,2019,5,255.450
ER,BIHAR,CENTRAL,COAL,2019,5,3849.330
ER,BIHAR,CENTRAL,HYDRO,2019,5,110.000
ER,BIHAR,CENTRAL,COAL,2019,6,5730.000
ER,BIHAR,STATE,RENEWABLES,2019,6,70.700
ER,BIHAR,PRIVATE,RENEWABLES,2019,6,258.820
ER,BIHAR,CENTRAL,COAL,2019,7,6390.000
