Detail Data For Electricity Consumption by Consuming Sector Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,BroadCategory,YearValue,Consumption_GWh
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2010,2256.030
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,13651.550
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,145.850
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2010,120.670
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,72.210
ER,JHARKHAND,TRACTION,TRANSPORT,2010,956.370
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2011,70.000
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2011,321.000
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2011,2389.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,14573.670
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,158.000
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2011,133.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,78.000
ER,JHARKHAND,TRACTION,TRANSPORT,2011,1080.000
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2012,95.930
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2012,377.527
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2012,3353.990
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,14922.395
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,178.640
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2012,190.560
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,94.050
ER,JHARKHAND,TRACTION,TRANSPORT,2012,1095.639
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2013,84.000
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2013,452.240
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2013,3780.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,16323.140
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,181.840
ER,JHARKHAND,MISCELLANEOUS,OTHER,2013,437.500
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2013,252.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,150.500
ER,JHARKHAND,TRACTION,TRANSPORT,2013,1076.520
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2014,92.400
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2014,494.450
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2014,4158.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,16807.540
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,200.020
ER,JHARKHAND,MISCELLANEOUS,OTHER,2014,481.250
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2014,277.200
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,165.550
ER,JHARKHAND,TRACTION,TRANSPORT,2014,1169.060
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2015,89.030
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2015,432.760
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2015,3502.100
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,16582.960
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,167.370
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2015,192.710
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,67.780
ER,JHARKHAND,TRACTION,TRANSPORT,2015,1116.260
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2016,97.980
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2016,516.250
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2016,4183.700
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,16950.690
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,175.750
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2016,163.200
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,85.170
ER,JHARKHAND,TRACTION,TRANSPORT,2016,1276.520
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2017,110.390
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2017,527.900
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2017,4918.620
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,17721.010
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,210.670
ER,JHARKHAND,MISCELLANEOUS,OTHER,2017,502.560
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2017,146.700
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,83.770
ER,JHARKHAND,TRACTION,TRANSPORT,2017,1259.660
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2018,202.440
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2018,700.340
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2018,5435.390
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,16741.130
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,271.240
ER,JHARKHAND,MISCELLANEOUS,OTHER,2018,85.200
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2018,133.740
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,0.000
ER,JHARKHAND,TRACTION,TRANSPORT,2018,1219.330
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2019,210.360
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2019,808.830
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2019,5683.380
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,18482.870
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,273.460
ER,JHARKHAND,MISCELLANEOUS,OTHER,2019,487.750
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2019,110.330
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,0.000
ER,JHARKHAND,TRACTION,TRANSPORT,2019,757.830
ER,BIHAR,AGRICULTURE,AGRICULTURE,2006,1153.720
ER,BIHAR,COMMERCIAL,COMMERCIAL,2006,311.410
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2006,1221.810
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,671.060
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,112.040
ER,BIHAR,PUBLIC LIGHTING,OTHER,2006,20.100
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,174.200
ER,BIHAR,TRACTION,TRANSPORT,2006,358.760
ER,BIHAR,AGRICULTURE,AGRICULTURE,2007,787.730
ER,BIHAR,COMMERCIAL,COMMERCIAL,2007,325.560
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2007,1272.920
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,762.950
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,116.370
ER,BIHAR,PUBLIC LIGHTING,OTHER,2007,21.180
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,156.120
ER,BIHAR,TRACTION,TRANSPORT,2007,383.900
ER,BIHAR,AGRICULTURE,AGRICULTURE,2008,659.120
ER,BIHAR,COMMERCIAL,COMMERCIAL,2008,371.850
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2008,1699.980
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,1132.010
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,139.020
ER,BIHAR,PUBLIC LIGHTING,OTHER,2008,23.900
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,150.980
ER,BIHAR,TRACTION,TRANSPORT,2008,384.800
ER,BIHAR,AGRICULTURE,AGRICULTURE,2009,798.000
ER,BIHAR,COMMERCIAL,COMMERCIAL,2009,414.110
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2009,1768.270
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,1436.730
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,161.840
ER,BIHAR,PUBLIC LIGHTING,OTHER,2009,22.910
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,150.030
ER,BIHAR,TRACTION,TRANSPORT,2009,399.760
ER,BIHAR,AGRICULTURE,AGRICULTURE,2010,794.010
ER,BIHAR,COMMERCIAL,COMMERCIAL,2010,470.190
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2010,1964.730
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,1642.680
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,192.450
ER,BIHAR,MISCELLANEOUS,OTHER,2010,555.450
ER,BIHAR,PUBLIC LIGHTING,OTHER,2010,26.990
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,143.490
ER,BIHAR,TRACTION,TRANSPORT,2010,444.820
ER,BIHAR,AGRICULTURE,AGRICULTURE,2011,388.600
ER,BIHAR,COMMERCIAL,COMMERCIAL,2011,489.370
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2011,2133.160
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,1639.410
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,286.880
ER,BIHAR,MISCELLANEOUS,OTHER,2011,293.130
ER,BIHAR,PUBLIC LIGHTING,OTHER,2011,33.170
ER,BIHAR,TRACTION,TRANSPORT,2011,457.950
ER,BIHAR,AGRICULTURE,AGRICULTURE,2012,348.370
ER,BIHAR,COMMERCIAL,COMMERCIAL,2012,520.670
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2012,2368.100
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,1631.520
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,202.880
ER,BIHAR,MISCELLANEOUS,OTHER,2012,664.230
ER,BIHAR,PUBLIC LIGHTING,OTHER,2012,22.990
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,57.590
ER,BIHAR,TRACTION,TRANSPORT,2012,537.390
ER,BIHAR,AGRICULTURE,AGRICULTURE,2013,336.530
ER,BIHAR,COMMERCIAL,COMMERCIAL,2013,730.430
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2013,2858.030
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,1744.990
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,251.120
ER,BIHAR,MISCELLANEOUS,OTHER,2013,581.440
ER,BIHAR,PUBLIC LIGHTING,OTHER,2013,56.350
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,53.300
ER,BIHAR,TRACTION,TRANSPORT,2013,448.640
ER,BIHAR,AGRICULTURE,AGRICULTURE,2014,321.790
ER,BIHAR,COMMERCIAL,COMMERCIAL,2014,819.190
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2014,3281.010
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,1914.740
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,281.010
ER,BIHAR,MISCELLANEOUS,OTHER,2014,1095.030
ER,BIHAR,PUBLIC LIGHTING,OTHER,2014,45.700
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,58.520
ER,BIHAR,TRACTION,TRANSPORT,2014,523.950
ER,BIHAR,AGRICULTURE,AGRICULTURE,2015,313.220
ER,BIHAR,COMMERCIAL,COMMERCIAL,2015,973.530
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2015,4033.870
