Detail Data For Electricity Consumption per Capita by Broad Category And Consuming Sector Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,BroadCategory,YearValue,Consumption_KWh_PerCapita
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,23.829
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2008,22.484
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2008,2.909
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,5.460
ER,WEST BENGAL,TRACTION,TRANSPORT,2008,10.790
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2009,9.636
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2009,40.290
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2009,87.203
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,137.055
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,26.624
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2009,18.391
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2009,2.842
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,6.098
ER,WEST BENGAL,TRACTION,TRANSPORT,2009,11.341
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2010,14.976
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2010,41.665
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2010,93.880
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,186.839
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,23.329
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2010,1.930
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2010,3.325
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,5.927
ER,WEST BENGAL,TRACTION,TRANSPORT,2010,12.074
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2011,20.232
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2011,47.743
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2011,99.840
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,169.069
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,24.661
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2011,1.438
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2011,3.785
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,6.226
ER,WEST BENGAL,TRACTION,TRANSPORT,2011,13.739
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2012,14.186
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2012,49.022
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2012,106.072
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,172.670
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,26.888
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2012,2.651
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2012,4.218
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,6.400
ER,WEST BENGAL,TRACTION,TRANSPORT,2012,14.085
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2013,13.718
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2013,54.015
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2013,121.926
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,181.881
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,22.145
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2013,3.819
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2013,4.495
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,6.710
ER,WEST BENGAL,TRACTION,TRANSPORT,2013,14.856
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2014,12.918
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2014,54.249
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2014,122.973
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,181.786
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,21.865
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2014,3.824
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2014,4.296
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,7.068
ER,WEST BENGAL,TRACTION,TRANSPORT,2014,15.536
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2015,16.150
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2015,58.170
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2015,136.995
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,178.677
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,22.258
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2015,5.990
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2015,4.445
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,7.604
ER,WEST BENGAL,TRACTION,TRANSPORT,2015,16.867
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2016,16.350
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2016,58.190
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2016,144.530
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,149.010
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,22.390
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2016,34.710
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2016,5.140
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,9.300
ER,WEST BENGAL,TRACTION,TRANSPORT,2016,16.340
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2017,15.250
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2017,60.890
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2017,152.090
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,151.280
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,22.670
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2017,35.440
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2017,5.550
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,9.340
ER,WEST BENGAL,TRACTION,TRANSPORT,2017,14.830
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2018,13.190
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2018,64.140
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2018,157.440
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,162.690
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,22.960
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2018,28.880
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2018,6.250
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,9.410
ER,WEST BENGAL,TRACTION,TRANSPORT,2018,14.790
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2019,15.860
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2019,65.720
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2019,161.970
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,177.660
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,23.850
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2019,27.650
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2019,7.250
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,10.000
ER,WEST BENGAL,TRACTION,TRANSPORT,2019,15.360
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2006,2.013
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2006,5.596
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2006,30.708
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,321.989
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,3.976
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2006,2.623
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,2.594
ER,JHARKHAND,TRACTION,TRANSPORT,2006,26.930
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2007,2.325
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2007,6.886
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2007,39.648
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,414.214
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,3.998
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2007,2.863
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,2.210
ER,JHARKHAND,TRACTION,TRANSPORT,2007,28.748
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2008,2.240
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2008,7.540
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2008,45.103
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,408.045
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,4.248
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2008,2.983
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,2.322
ER,JHARKHAND,TRACTION,TRANSPORT,2008,29.853
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2009,2.287
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2009,9.056
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2009,53.206
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,424.821
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,4.380
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2009,2.927
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,2.221
ER,JHARKHAND,TRACTION,TRANSPORT,2009,31.689
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2010,2.129
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2010,9.309
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2010,73.082
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,442.227
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,4.725
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2010,3.909
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,2.339
ER,JHARKHAND,TRACTION,TRANSPORT,2010,30.981
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2011,2.237
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2011,10.259
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2011,76.350
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,465.761
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,5.050
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2011,4.251
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,2.493
ER,JHARKHAND,TRACTION,TRANSPORT,2011,34.516
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2012,2.910
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2012,11.452
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2012,101.740
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,452.657
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,5.419
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2012,5.780
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,2.853
ER,JHARKHAND,TRACTION,TRANSPORT,2012,33.235
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2013,2.612
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2013,14.062
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2013,117.537
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,507.560
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,5.654
ER,JHARKHAND,MISCELLANEOUS,OTHER,2013,13.604
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2013,7.836
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,4.680
ER,JHARKHAND,TRACTION,TRANSPORT,2013,33.474
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2014,2.835
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2014,15.172
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2014,127.585
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,515.727
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,6.137
ER,JHARKHAND,MISCELLANEOUS,OTHER,2014,14.767
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2014,8.506
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,5.080
ER,JHARKHAND,TRACTION,TRANSPORT,2014,35.872
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2015,2.696
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2015,13.106
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2015,106.060
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,502.210
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,5.069
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2015,5.836
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,2.053
ER,JHARKHAND,TRACTION,TRANSPORT,2015,33.806
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2016,2.930
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2016,15.430
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2016,125.040
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,330.040
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,5.250
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2016,4.880
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,2.550
ER,JHARKHAND,TRACTION,TRANSPORT,2016,38.150
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2017,3.250
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2017,15.570
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2017,145.020
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,347.580
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,6.210
ER,JHARKHAND,MISCELLANEOUS,OTHER,2017,14.820
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2017,4.330
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,2.470
ER,JHARKHAND,TRACTION,TRANSPORT,2017,37.140
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2018,5.900
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2018,20.410
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2018,158.400
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,346.860
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,7.900
ER,JHARKHAND,MISCELLANEOUS,OTHER,2018,2.480
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2018,3.900
ER,JHARKHAND,TRACTION,TRANSPORT,2018,35.530
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2019,6.060
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2019,23.290
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2019,163.660
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,370.110
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,7.870
ER,JHARKHAND,MISCELLANEOUS,OTHER,2019,14.050
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2019,3.180
ER,JHARKHAND,TRACTION,TRANSPORT,2019,21.820
ER,BIHAR,AGRICULTURE,AGRICULTURE,2006,12.791
ER,BIHAR,COMMERCIAL,COMMERCIAL,2006,3.452
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2006,13.546
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,7.440
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,1.242
ER,BIHAR,PUBLIC LIGHTING,OTHER,2006,0.223
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,1.931
ER,BIHAR,TRACTION,TRANSPORT,2006,3.977
ER,BIHAR,AGRICULTURE,AGRICULTURE,2007,8.589
ER,BIHAR,COMMERCIAL,COMMERCIAL,2007,3.550
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2007,13.880
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,8.319
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,1.269
ER,BIHAR,PUBLIC LIGHTING,OTHER,2007,0.231
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,1.702
ER,BIHAR,TRACTION,TRANSPORT,2007,4.186
ER,BIHAR,AGRICULTURE,AGRICULTURE,2008,7.072
ER,BIHAR,COMMERCIAL,COMMERCIAL,2008,3.990
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2008,18.240
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,12.146
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,1.492
ER,BIHAR,PUBLIC LIGHTING,OTHER,2008,0.256
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,1.620
ER,BIHAR,TRACTION,TRANSPORT,2008,4.129
ER,BIHAR,AGRICULTURE,AGRICULTURE,2009,8.447
ER,BIHAR,COMMERCIAL,COMMERCIAL,2009,4.384
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2009,18.718
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,15.208
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,1.713
ER,BIHAR,PUBLIC LIGHTING,OTHER,2009,0.243
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,1.588
ER,BIHAR,TRACTION,TRANSPORT,2009,4.232
ER,BIHAR,AGRICULTURE,AGRICULTURE,2010,8.284
ER,BIHAR,COMMERCIAL,COMMERCIAL,2010,4.905
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2010,20.498
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,17.138
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,2.008
ER,BIHAR,MISCELLANEOUS,OTHER,2010,5.795
ER,BIHAR,PUBLIC LIGHTING,OTHER,2010,0.282
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,1.497
ER,BIHAR,TRACTION,TRANSPORT,2010,4.641
ER,BIHAR,AGRICULTURE,AGRICULTURE,2011,3.998
ER,BIHAR,COMMERCIAL,COMMERCIAL,2011,5.035
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2011,21.948
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,16.868
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,2.952
ER,BIHAR,MISCELLANEOUS,OTHER,2011,3.016
ER,BIHAR,PUBLIC LIGHTING,OTHER,2011,0.341
ER,BIHAR,TRACTION,TRANSPORT,2011,4.712
ER,BIHAR,AGRICULTURE,AGRICULTURE,2012,3.356
ER,BIHAR,COMMERCIAL,COMMERCIAL,2012,5.016
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2012,22.813
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,15.717
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,1.954
ER,BIHAR,MISCELLANEOUS,OTHER,2012,6.399
ER,BIHAR,PUBLIC LIGHTING,OTHER,2012,0.221
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,0.555
ER,BIHAR,TRACTION,TRANSPORT,2012,5.177
ER,BIHAR,AGRICULTURE,AGRICULTURE,2013,3.372
ER,BIHAR,COMMERCIAL,COMMERCIAL,2013,7.320
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2013,28.640
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,17.487
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,2.516
ER,BIHAR,MISCELLANEOUS,OTHER,2013,5.827
ER,BIHAR,PUBLIC LIGHTING,OTHER,2013,0.565
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,0.534
ER,BIHAR,TRACTION,TRANSPORT,2013,4.496
ER,BIHAR,AGRICULTURE,AGRICULTURE,2014,3.185
ER,BIHAR,COMMERCIAL,COMMERCIAL,2014,8.108
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2014,32.472
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,18.950
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,2.781
ER,BIHAR,MISCELLANEOUS,OTHER,2014,10.838
ER,BIHAR,PUBLIC LIGHTING,OTHER,2014,0.452
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,0.579
ER,BIHAR,TRACTION,TRANSPORT,2014,5.186
ER,BIHAR,AGRICULTURE,AGRICULTURE,2015,3.063
ER,BIHAR,COMMERCIAL,COMMERCIAL,2015,9.521
ER,BIHAR,RESIDENTIAL,RESIDENTIAL,2015,39.451
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,18.468
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,2.994
ER,BIHAR,MISCELLANEOUS,OTHER,2015,19.556
ER,BIHAR,PUBLIC LIGHTING,OTHER,2015,0.212
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,0.639
