Detail Data For Electricity Consumption by Consumer Number Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,YearValue,ConsumerNo
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2007,25659.000
ER,JHARKHAND,PUBLIC LIGHTING,2007,886.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2007,415.000
ER,JHARKHAND,TRACTION,2007,13.000
ER,JHARKHAND,AGRICULTURE,2008,21046.000
ER,JHARKHAND,COMMERCIAL,2008,146930.000
ER,JHARKHAND,RESIDENTIAL,2008,1206565.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2008,1441.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2008,26933.000
ER,JHARKHAND,PUBLIC LIGHTING,2008,913.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2008,454.000
ER,JHARKHAND,TRACTION,2008,13.000
ER,JHARKHAND,AGRICULTURE,2009,25316.000
ER,JHARKHAND,COMMERCIAL,2009,156649.000
ER,JHARKHAND,RESIDENTIAL,2009,1346246.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2009,1545.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2009,28270.000
ER,JHARKHAND,PUBLIC LIGHTING,2009,1080.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2009,524.000
ER,JHARKHAND,TRACTION,2009,13.000
ER,JHARKHAND,AGRICULTURE,2010,28609.000
ER,JHARKHAND,COMMERCIAL,2010,168067.000
ER,JHARKHAND,RESIDENTIAL,2010,146615.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2010,1615.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2010,29025.000
ER,JHARKHAND,PUBLIC LIGHTING,2010,1083.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2010,545.000
ER,JHARKHAND,TRACTION,2010,13.000
ER,JHARKHAND,AGRICULTURE,2011,28609.000
ER,JHARKHAND,COMMERCIAL,2011,168067.000
ER,JHARKHAND,RESIDENTIAL,2011,146615.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2011,1615.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2011,29025.000
ER,JHARKHAND,PUBLIC LIGHTING,2011,1083.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2011,545.000
ER,JHARKHAND,TRACTION,2011,13.000
ER,JHARKHAND,AGRICULTURE,2012,25943.000
ER,JHARKHAND,COMMERCIAL,2012,121393.000
ER,JHARKHAND,RESIDENTIAL,2012,1814903.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2012,1358.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2012,12699.000
ER,JHARKHAND,PUBLIC LIGHTING,2012,532.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2012,396.000
ER,JHARKHAND,TRACTION,2012,13.000
ER,JHARKHAND,AGRICULTURE,2013,28243.000
ER,JHARKHAND,COMMERCIAL,2013,132746.000
ER,JHARKHAND,RESIDENTIAL,2013,2094834.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2013,1420.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2013,12699.000
ER,JHARKHAND,PUBLIC LIGHTING,2013,566.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2013,433.000
ER,JHARKHAND,TRACTION,2013,13.000
ER,JHARKHAND,AGRICULTURE,2014,33449.000
ER,JHARKHAND,COMMERCIAL,2014,148597.000
ER,JHARKHAND,RESIDENTIAL,2014,2383568.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2014,1576.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2014,12898.000
ER,JHARKHAND,PUBLIC LIGHTING,2014,557.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2014,454.000
ER,JHARKHAND,TRACTION,2014,20.000
ER,JHARKHAND,AGRICULTURE,2015,38896.000
ER,JHARKHAND,COMMERCIAL,2015,159101.000
ER,JHARKHAND,RESIDENTIAL,2015,2473327.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2015,1600.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2015,13297.000
ER,JHARKHAND,PUBLIC LIGHTING,2015,539.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2015,427.000
ER,JHARKHAND,TRACTION,2015,21.000
ER,JHARKHAND,AGRICULTURE,2016,41783.000
ER,JHARKHAND,COMMERCIAL,2016,171641.000
ER,JHARKHAND,RESIDENTIAL,2016,2664693.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2016,1625.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2016,13831.000
ER,JHARKHAND,MISCELLANEOUS,2016,36.000
ER,JHARKHAND,PUBLIC LIGHTING,2016,547.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2016,488.000
ER,JHARKHAND,TRACTION,2016,12.000
ER,BIHAR,AGRICULTURE,2006,176050.000
ER,BIHAR,COMMERCIAL,2006,266672.000
ER,BIHAR,RESIDENTIAL,2006,1733196.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2006,1001.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2006,68098.000
ER,BIHAR,PUBLIC LIGHTING,2006,1555.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2006,1212.000
ER,BIHAR,TRACTION,2006,13.000
ER,BIHAR,AGRICULTURE,2007,193655.000
ER,BIHAR,COMMERCIAL,2007,293339.000
ER,BIHAR,RESIDENTIAL,2007,1906516.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2007,1101.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2007,74908.000
ER,BIHAR,PUBLIC LIGHTING,2007,1814.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2007,1333.000
ER,BIHAR,TRACTION,2007,13.000
ER,BIHAR,AGRICULTURE,2008,176164.000
ER,BIHAR,COMMERCIAL,2008,295220.000
ER,BIHAR,RESIDENTIAL,2008,2049201.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2008,1576.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2008,65023.000
ER,BIHAR,PUBLIC LIGHTING,2008,1585.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2008,1200.000
ER,BIHAR,TRACTION,2008,13.000
ER,BIHAR,AGRICULTURE,2009,178002.000
ER,BIHAR,COMMERCIAL,2009,317671.000
ER,BIHAR,RESIDENTIAL,2009,2393909.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2009,1241.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2009,69657.000
ER,BIHAR,PUBLIC LIGHTING,2009,1476.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2009,1247.000
ER,BIHAR,TRACTION,2009,15.000
ER,BIHAR,AGRICULTURE,2010,185681.000
ER,BIHAR,COMMERCIAL,2010,341256.000
ER,BIHAR,RESIDENTIAL,2010,2581170.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2010,1300.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2010,74786.000
ER,BIHAR,MISCELLANEOUS,2010,1.000
ER,BIHAR,PUBLIC LIGHTING,2010,1534.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2010,1247.000
ER,BIHAR,TRACTION,2010,15.000
ER,BIHAR,AGRICULTURE,2011,121076.000
ER,BIHAR,COMMERCIAL,2011,330978.000
ER,BIHAR,RESIDENTIAL,2011,2930736.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2011,1229.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2011,56742.000
ER,BIHAR,PUBLIC LIGHTING,2011,730.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2011,1255.000
ER,BIHAR,TRACTION,2011,15.000
ER,BIHAR,AGRICULTURE,2012,57615.000
ER,BIHAR,COMMERCIAL,2012,216530.000
ER,BIHAR,RESIDENTIAL,2012,2996481.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2012,1062.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2012,16181.000
ER,BIHAR,PUBLIC LIGHTING,2012,355.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2012,1003.000
ER,BIHAR,TRACTION,2012,17.000
ER,BIHAR,AGRICULTURE,2013,57838.000
ER,BIHAR,COMMERCIAL,2013,279879.000
ER,BIHAR,RESIDENTIAL,2013,3773077.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2013,1317.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2013,18816.000
ER,BIHAR,MISCELLANEOUS,2013,1.000
ER,BIHAR,PUBLIC LIGHTING,2013,399.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2013,1098.000
ER,BIHAR,TRACTION,2013,17.000
ER,BIHAR,AGRICULTURE,2014,57838.000
ER,BIHAR,COMMERCIAL,2014,279879.000
ER,BIHAR,RESIDENTIAL,2014,3773077.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2014,1317.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2014,18816.000
ER,BIHAR,MISCELLANEOUS,2014,1.000
ER,BIHAR,PUBLIC LIGHTING,2014,399.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2014,1098.000
ER,BIHAR,TRACTION,2014,17.000
ER,BIHAR,AGRICULTURE,2015,57838.000
ER,BIHAR,COMMERCIAL,2015,279879.000
ER,BIHAR,RESIDENTIAL,2015,3773077.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2015,1317.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2015,18816.000
ER,BIHAR,MISCELLANEOUS,2015,1.000
ER,BIHAR,PUBLIC LIGHTING,2015,399.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2015,1098.000
ER,BIHAR,TRACTION,2015,17.000
ER,BIHAR,AGRICULTURE,2016,57838.000
ER,BIHAR,COMMERCIAL,2016,279879.000
ER,BIHAR,RESIDENTIAL,2016,3773077.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2016,1317.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2016,18816.000
ER,BIHAR,MISCELLANEOUS,2016,1.000
ER,BIHAR,PUBLIC LIGHTING,2016,399.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2016,1098.000
ER,BIHAR,TRACTION,2016,17.000
WR,MADHYA PRADESH,AGRICULTURE,2006,1137953.000
WR,MADHYA PRADESH,COMMERCIAL,2006,607180.000
WR,MADHYA PRADESH,RESIDENTIAL,2006,4843757.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2006,2176.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2006,87363.000
WR,MADHYA PRADESH,MISCELLANEOUS,2006,16410.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2006,14869.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2006,18353.000
WR,MADHYA PRADESH,TRACTION,2006,32.000
WR,MADHYA PRADESH,AGRICULTURE,2007,1193459.000
WR,MADHYA PRADESH,COMMERCIAL,2007,614573.000
WR,MADHYA PRADESH,RESIDENTIAL,2007,4910736.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2007,2451.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2007,60954.000
WR,MADHYA PRADESH,MISCELLANEOUS,2007,16607.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2007,14348.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2007,18604.000
WR,MADHYA PRADESH,TRACTION,2007,32.000
WR,MADHYA PRADESH,AGRICULTURE,2008,1523692.000
WR,MADHYA PRADESH,COMMERCIAL,2008,1011513.000
WR,MADHYA PRADESH,RESIDENTIAL,2008,9175081.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2008,504251.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2008,329652.000
WR,MADHYA PRADESH,MISCELLANEOUS,2008,96107.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2008,21186.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2008,30936.000
WR,MADHYA PRADESH,TRACTION,2008,54.000
WR,MADHYA PRADESH,AGRICULTURE,2009,2430528.000
WR,MADHYA PRADESH,COMMERCIAL,2009,1288949.000
WR,MADHYA PRADESH,RESIDENTIAL,2009,11657020.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2009,4772.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2009,179073.000
WR,MADHYA PRADESH,MISCELLANEOUS,2009,194190.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2009,27652.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2009,40619.000
WR,MADHYA PRADESH,TRACTION,2009,66.000
WR,MADHYA PRADESH,AGRICULTURE,2010,2355411.000
WR,MADHYA PRADESH,COMMERCIAL,2010,1300098.000
WR,MADHYA PRADESH,RESIDENTIAL,2010,10706348.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2010,4965.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2010,184683.000
WR,MADHYA PRADESH,MISCELLANEOUS,2010,270940.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2010,28653.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2010,40861.000
WR,MADHYA PRADESH,TRACTION,2010,56.000
WR,MADHYA PRADESH,AGRICULTURE,2011,3498493.000
WR,MADHYA PRADESH,COMMERCIAL,2011,1506139.000
WR,MADHYA PRADESH,RESIDENTIAL,2011,13010866.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2011,6201.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2011,214403.000
WR,MADHYA PRADESH,MISCELLANEOUS,2011,142055.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2011,30917.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2011,49898.000
WR,MADHYA PRADESH,TRACTION,2011,88.000
WR,MADHYA PRADESH,AGRICULTURE,2012,1392925.000
WR,MADHYA PRADESH,COMMERCIAL,2012,738588.000
WR,MADHYA PRADESH,RESIDENTIAL,2012,7463975.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2012,3293.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2012,105830.000
WR,MADHYA PRADESH,MISCELLANEOUS,2012,17286.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2012,15038.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2012,27680.000
WR,MADHYA PRADESH,TRACTION,2012,42.000
WR,MADHYA PRADESH,AGRICULTURE,2013,1475448.000
WR,MADHYA PRADESH,COMMERCIAL,2013,754769.000
WR,MADHYA PRADESH,RESIDENTIAL,2013,7756573.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2013,3509.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2013,107421.000
WR,MADHYA PRADESH,MISCELLANEOUS,2013,17030.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2013,15208.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2013,29625.000
WR,MADHYA PRADESH,TRACTION,2013,42.000
WR,MADHYA PRADESH,AGRICULTURE,2014,1821457.000
WR,MADHYA PRADESH,COMMERCIAL,2014,796376.000
WR,MADHYA PRADESH,RESIDENTIAL,2014,8271121.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2014,3249.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2014,112954.000
WR,MADHYA PRADESH,MISCELLANEOUS,2014,71538.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2014,15717.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2014,31514.000
WR,MADHYA PRADESH,TRACTION,2014,44.000
WR,MADHYA PRADESH,AGRICULTURE,2015,2001930.000
WR,MADHYA PRADESH,COMMERCIAL,2015,829451.000
WR,MADHYA PRADESH,RESIDENTIAL,2015,8620743.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2015,3597.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2015,115347.000
WR,MADHYA PRADESH,MISCELLANEOUS,2015,31648.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2015,15661.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2015,33696.000
WR,MADHYA PRADESH,TRACTION,2015,38.000
WR,MADHYA PRADESH,AGRICULTURE,2016,2290456.000
WR,MADHYA PRADESH,COMMERCIAL,2016,872695.000
WR,MADHYA PRADESH,RESIDENTIAL,2016,8984814.000
WR,MADHYA PRADESH,INDUSTRIAL (HIGH VOLTAGE),2016,3927.000
WR,MADHYA PRADESH,INDUSTRIAL (LOW & MED VOLTAGE),2016,167720.000
WR,MADHYA PRADESH,MISCELLANEOUS,2016,23224.000
WR,MADHYA PRADESH,PUBLIC LIGHTING,2016,16410.000
WR,MADHYA PRADESH,PUBLIC WATER WORKS AND SEWAGE,2016,35529.000
WR,MADHYA PRADESH,TRACTION,2016,21.000
WR,CHHATTISGARH,AGRICULTURE,2006,141609.000
WR,CHHATTISGARH,COMMERCIAL,2006,172696.000
WR,CHHATTISGARH,RESIDENTIAL,2006,2061930.000
WR,CHHATTISGARH,INDUSTRIAL (HIGH VOLTAGE),2006,665.000
WR,CHHATTISGARH,INDUSTRIAL (LOW & MED VOLTAGE),2006,21733.000
WR,CHHATTISGARH,MISCELLANEOUS,2006,226.000
WR,CHHATTISGARH,PUBLIC LIGHTING,2006,5041.000
WR,CHHATTISGARH,PUBLIC WATER WORKS AND SEWAGE,2006,4063.000
