Detail Data For Electricity Consumption - Connected Load by State Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,YearValue,ConnectedLoad_KW
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2007,176792.000
ER,WEST BENGAL,TRACTION,2007,638400.000
ER,WEST BENGAL,AGRICULTURE,2008,534761.000
ER,WEST BENGAL,COMMERCIAL,2008,1920657.000
ER,WEST BENGAL,RESIDENTIAL,2008,7793905.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2008,2868816.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2008,1110308.000
ER,WEST BENGAL,MISCELLANEOUS,2008,8047.000
ER,WEST BENGAL,PUBLIC LIGHTING,2008,124758.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2008,176792.000
ER,WEST BENGAL,TRACTION,2008,638400.000
ER,WEST BENGAL,AGRICULTURE,2009,652199.000
ER,WEST BENGAL,COMMERCIAL,2009,2092933.000
ER,WEST BENGAL,RESIDENTIAL,2009,8891692.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2009,3349688.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2009,1116059.000
ER,WEST BENGAL,MISCELLANEOUS,2009,9145.000
ER,WEST BENGAL,PUBLIC LIGHTING,2009,137637.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2009,279112.000
ER,WEST BENGAL,TRACTION,2009,738787.000
ER,WEST BENGAL,AGRICULTURE,2010,457670.000
ER,WEST BENGAL,COMMERCIAL,2010,1721492.000
ER,WEST BENGAL,RESIDENTIAL,2010,6171150.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2010,3758011.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2010,1194925.000
ER,WEST BENGAL,MISCELLANEOUS,2010,1274138.000
ER,WEST BENGAL,PUBLIC LIGHTING,2010,261726.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2010,192970.000
ER,WEST BENGAL,TRACTION,2010,812551.000
ER,WEST BENGAL,AGRICULTURE,2011,677381.000
ER,WEST BENGAL,COMMERCIAL,2011,2001449.000
ER,WEST BENGAL,RESIDENTIAL,2011,6075197.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2011,3954127.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2011,1528332.000
ER,WEST BENGAL,MISCELLANEOUS,2011,1307588.000
ER,WEST BENGAL,PUBLIC LIGHTING,2011,76825.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2011,243369.000
ER,WEST BENGAL,TRACTION,2011,515442.000
ER,WEST BENGAL,AGRICULTURE,2012,724035.000
ER,WEST BENGAL,COMMERCIAL,2012,2210538.000
ER,WEST BENGAL,RESIDENTIAL,2012,6725235.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2012,3910352.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2012,11375077.000
ER,WEST BENGAL,MISCELLANEOUS,2012,1343520.000
ER,WEST BENGAL,PUBLIC LIGHTING,2012,57396.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2012,255238.000
ER,WEST BENGAL,TRACTION,2012,558298.000
ER,WEST BENGAL,AGRICULTURE,2013,821040.000
ER,WEST BENGAL,COMMERCIAL,2013,2463894.000
ER,WEST BENGAL,RESIDENTIAL,2013,7447029.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2013,4273340.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2013,11392095.000
ER,WEST BENGAL,MISCELLANEOUS,2013,1428911.000
ER,WEST BENGAL,PUBLIC LIGHTING,2013,67709.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2013,283935.000
ER,WEST BENGAL,TRACTION,2013,604639.000
ER,WEST BENGAL,AGRICULTURE,2014,1013240.000
ER,WEST BENGAL,COMMERCIAL,2014,2726663.000
ER,WEST BENGAL,RESIDENTIAL,2014,8824935.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2014,3312861.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2014,1853019.000
ER,WEST BENGAL,MISCELLANEOUS,2014,1445465.000
ER,WEST BENGAL,PUBLIC LIGHTING,2014,77905.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2014,309535.000
ER,WEST BENGAL,TRACTION,2014,478861.000
ER,WEST BENGAL,AGRICULTURE,2015,1274266.000
ER,WEST BENGAL,COMMERCIAL,2015,3300221.000
ER,WEST BENGAL,RESIDENTIAL,2015,9911190.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2015,3329160.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2015,2177497.000
ER,WEST BENGAL,MISCELLANEOUS,2015,1444239.000
ER,WEST BENGAL,PUBLIC LIGHTING,2015,92256.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2015,365380.000
ER,WEST BENGAL,TRACTION,2015,451847.000
ER,WEST BENGAL,AGRICULTURE,2016,1121476.000
ER,WEST BENGAL,COMMERCIAL,2016,3195296.000
ER,WEST BENGAL,RESIDENTIAL,2016,10088984.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2016,3369346.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2016,1983024.000
ER,WEST BENGAL,MISCELLANEOUS,2016,292404.000
ER,WEST BENGAL,PUBLIC LIGHTING,2016,102491.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2016,403775.000
ER,WEST BENGAL,TRACTION,2016,482037.000
ER,WEST BENGAL,AGRICULTURE,2017,1194550.000
ER,WEST BENGAL,COMMERCIAL,2017,3439175.000
ER,WEST BENGAL,RESIDENTIAL,2017,10822642.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2017,3455318.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2017,2063027.000
ER,WEST BENGAL,MISCELLANEOUS,2017,1196992.000
ER,WEST BENGAL,PUBLIC LIGHTING,2017,110977.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2017,431666.000
ER,WEST BENGAL,TRACTION,2017,496907.000
ER,WEST BENGAL,AGRICULTURE,2017,287583.000
ER,WEST BENGAL,COMMERCIAL,2017,1891996.000
ER,WEST BENGAL,RESIDENTIAL,2017,18204743.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2017,3728.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2017,165289.000
ER,WEST BENGAL,MISCELLANEOUS,2017,4613.000
ER,WEST BENGAL,PUBLIC LIGHTING,2017,32376.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2017,13057.000
ER,WEST BENGAL,TRACTION,2017,75.000
ER,WEST BENGAL,AGRICULTURE,2018,1233680.000
ER,WEST BENGAL,COMMERCIAL,2018,3713826.000
ER,WEST BENGAL,RESIDENTIAL,2018,11701436.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2018,3659791.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2018,2164332.000
ER,WEST BENGAL,MISCELLANEOUS,2018,1175188.000
ER,WEST BENGAL,PUBLIC LIGHTING,2018,119300.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2018,445950.000
ER,WEST BENGAL,TRACTION,2018,407399.000
ER,WEST BENGAL,AGRICULTURE,2018,296709.000
ER,WEST BENGAL,COMMERCIAL,2018,2001260.000
ER,WEST BENGAL,RESIDENTIAL,2018,18845034.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2018,4337.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2018,168002.000
ER,WEST BENGAL,MISCELLANEOUS,2018,4864.000
ER,WEST BENGAL,PUBLIC LIGHTING,2018,35116.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2018,15023.000
ER,WEST BENGAL,TRACTION,2018,72.000
ER,WEST BENGAL,AGRICULTURE,2019,1279280.000
ER,WEST BENGAL,COMMERCIAL,2019,4040615.000
ER,WEST BENGAL,RESIDENTIAL,2019,12571177.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2019,4038206.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2019,2279468.000
ER,WEST BENGAL,MISCELLANEOUS,2019,322716.000
ER,WEST BENGAL,PUBLIC LIGHTING,2019,135739.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2019,469023.000
ER,WEST BENGAL,TRACTION,2019,418775.000
ER,WEST BENGAL,AGRICULTURE,2019,312034.000
ER,WEST BENGAL,COMMERCIAL,2019,2139886.000
ER,WEST BENGAL,RESIDENTIAL,2019,19771879.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2019,4614.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2019,171484.000
ER,WEST BENGAL,MISCELLANEOUS,2019,5013.000
ER,WEST BENGAL,PUBLIC LIGHTING,2019,43228.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2019,22563.000
ER,WEST BENGAL,TRACTION,2019,75.000
ER,JHARKHAND,AGRICULTURE,2006,137219.000
ER,JHARKHAND,COMMERCIAL,2006,570864.000
ER,JHARKHAND,RESIDENTIAL,2006,618968.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2006,1425801.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2006,486373.000
ER,JHARKHAND,PUBLIC LIGHTING,2006,3874.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2006,24691.000
ER,JHARKHAND,TRACTION,2006,139468.000
ER,JHARKHAND,AGRICULTURE,2007,137219.000
ER,JHARKHAND,COMMERCIAL,2007,1197702.000
ER,JHARKHAND,RESIDENTIAL,2007,1003833.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2007,2179891.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2007,890146.000
ER,JHARKHAND,PUBLIC LIGHTING,2007,4186.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2007,44551.000
ER,JHARKHAND,TRACTION,2007,113318.000
ER,JHARKHAND,AGRICULTURE,2008,336155.000
ER,JHARKHAND,COMMERCIAL,2008,1274476.000
ER,JHARKHAND,RESIDENTIAL,2008,1068616.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2008,2282866.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2008,934343.000
ER,JHARKHAND,PUBLIC LIGHTING,2008,4314.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2008,48738.000
ER,JHARKHAND,TRACTION,2008,113318.000
ER,JHARKHAND,AGRICULTURE,2009,29591.000
ER,JHARKHAND,COMMERCIAL,2009,210352.000
ER,JHARKHAND,RESIDENTIAL,2009,1244109.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2009,566220.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2009,164231.000
ER,JHARKHAND,PUBLIC LIGHTING,2009,10100.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2009,14130.000
ER,JHARKHAND,TRACTION,2009,175501.000
ER,JHARKHAND,AGRICULTURE,2010,29591.000
ER,JHARKHAND,COMMERCIAL,2010,210352.000
ER,JHARKHAND,RESIDENTIAL,2010,1244109.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2010,566220.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2010,164231.000
ER,JHARKHAND,PUBLIC LIGHTING,2010,10100.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2010,14130.000
ER,JHARKHAND,TRACTION,2010,175501.000
ER,JHARKHAND,AGRICULTURE,2011,29591.000
ER,JHARKHAND,COMMERCIAL,2011,210352.000
ER,JHARKHAND,RESIDENTIAL,2011,1244109.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2011,566220.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2011,164231.000
ER,JHARKHAND,PUBLIC LIGHTING,2011,10100.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2011,14130.000
ER,JHARKHAND,TRACTION,2011,175501.000
ER,JHARKHAND,AGRICULTURE,2012,26833.490
ER,JHARKHAND,COMMERCIAL,2012,151935.004
ER,JHARKHAND,RESIDENTIAL,2012,15400451.230
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2012,476115.641
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2012,71854.245
ER,JHARKHAND,PUBLIC LIGHTING,2012,4961.404
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2012,10266.936
ER,JHARKHAND,TRACTION,2012,175501.000
ER,JHARKHAND,AGRICULTURE,2013,44141.000
ER,JHARKHAND,COMMERCIAL,2013,166144.000
ER,JHARKHAND,RESIDENTIAL,2013,17775820.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2013,497853.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2013,71854.000
ER,JHARKHAND,PUBLIC LIGHTING,2013,5278.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2013,14947.000
ER,JHARKHAND,TRACTION,2013,189757.000
ER,JHARKHAND,AGRICULTURE,2014,50549.000
ER,JHARKHAND,COMMERCIAL,2014,378786.000
ER,JHARKHAND,RESIDENTIAL,2014,2631679.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2014,2029825.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2014,251995.000
ER,JHARKHAND,PUBLIC LIGHTING,2014,15394.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2014,23592.000
ER,JHARKHAND,TRACTION,2014,368992.000
ER,JHARKHAND,AGRICULTURE,2015,52627.000
ER,JHARKHAND,COMMERCIAL,2015,401280.000
ER,JHARKHAND,RESIDENTIAL,2015,2739851.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2015,2138227.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2015,262353.000
ER,JHARKHAND,PUBLIC LIGHTING,2015,16027.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2015,24562.000
ER,JHARKHAND,TRACTION,2015,382378.000
ER,JHARKHAND,AGRICULTURE,2016,89280.000
ER,JHARKHAND,COMMERCIAL,2016,413051.000
ER,JHARKHAND,RESIDENTIAL,2016,3862817.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2016,2070539.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2016,294610.000
ER,JHARKHAND,MISCELLANEOUS,2016,875000.000
ER,JHARKHAND,PUBLIC LIGHTING,2016,16109.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2016,34986.000
ER,JHARKHAND,TRACTION,2016,238723.000
ER,JHARKHAND,AGRICULTURE,2017,89280.000
ER,JHARKHAND,COMMERCIAL,2017,406127.000
ER,JHARKHAND,RESIDENTIAL,2017,3862817.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2017,2087376.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2017,307585.000
ER,JHARKHAND,MISCELLANEOUS,2017,681987.000
ER,JHARKHAND,PUBLIC LIGHTING,2017,16109.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2017,34986.000
ER,JHARKHAND,TRACTION,2017,240753.000
ER,JHARKHAND,AGRICULTURE,2017,41783.000
ER,JHARKHAND,COMMERCIAL,2017,171642.000
ER,JHARKHAND,RESIDENTIAL,2017,2664693.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2017,1604.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2017,13852.000
ER,JHARKHAND,MISCELLANEOUS,2017,31.000
ER,JHARKHAND,PUBLIC LIGHTING,2017,547.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2017,488.000
ER,JHARKHAND,TRACTION,2017,13.000
ER,JHARKHAND,AGRICULTURE,2018,38854.000
ER,JHARKHAND,COMMERCIAL,2018,385817.000
ER,JHARKHAND,RESIDENTIAL,2018,2761231.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2018,1940369.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2018,202662.000
ER,JHARKHAND,MISCELLANEOUS,2018,641035.000
ER,JHARKHAND,PUBLIC LIGHTING,2018,17395.000
ER,JHARKHAND,TRACTION,2018,62249.000
ER,JHARKHAND,AGRICULTURE,2018,54509.000
ER,JHARKHAND,COMMERCIAL,2018,200237.000
ER,JHARKHAND,RESIDENTIAL,2018,2924486.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2018,1716.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2018,14564.000
ER,JHARKHAND,MISCELLANEOUS,2018,31.000
ER,JHARKHAND,PUBLIC LIGHTING,2018,386.000
ER,JHARKHAND,TRACTION,2018,3.000
ER,JHARKHAND,AGRICULTURE,2019,66057.000
ER,JHARKHAND,COMMERCIAL,2019,498240.000
ER,JHARKHAND,RESIDENTIAL,2019,3555871.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2019,2506455.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2019,296613.000
ER,JHARKHAND,MISCELLANEOUS,2019,230240.000
ER,JHARKHAND,PUBLIC LIGHTING,2019,29080.000
ER,JHARKHAND,TRACTION,2019,41421.000
ER,JHARKHAND,AGRICULTURE,2019,58214.000
ER,JHARKHAND,COMMERCIAL,2019,223420.000
ER,JHARKHAND,RESIDENTIAL,2019,3480017.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2019,2380.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2019,16133.000
ER,JHARKHAND,MISCELLANEOUS,2019,12.000
ER,JHARKHAND,PUBLIC LIGHTING,2019,797.000
ER,JHARKHAND,TRACTION,2019,2.000
ER,BIHAR,AGRICULTURE,2006,746449.000
ER,BIHAR,COMMERCIAL,2006,1186339.000
ER,BIHAR,RESIDENTIAL,2006,1521528.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2006,326467.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2006,1118367.000
ER,BIHAR,PUBLIC LIGHTING,2006,3822.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2006,39814.000
ER,BIHAR,TRACTION,2006,100318.000
ER,BIHAR,AGRICULTURE,2007,821094.000
ER,BIHAR,COMMERCIAL,2007,1304972.000
ER,BIHAR,RESIDENTIAL,2007,1673681.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2007,359081.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2007,1230207.000
ER,BIHAR,PUBLIC LIGHTING,2007,4459.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2007,43789.000
ER,BIHAR,TRACTION,2007,100318.000
ER,BIHAR,AGRICULTURE,2008,746932.000
ER,BIHAR,COMMERCIAL,2008,1313340.000
ER,BIHAR,RESIDENTIAL,2008,1798940.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2008,513998.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2008,1093908.000
ER,BIHAR,PUBLIC LIGHTING,2008,3896.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2008,39420.000
ER,BIHAR,TRACTION,2008,100318.000
ER,BIHAR,AGRICULTURE,2009,754725.000
ER,BIHAR,COMMERCIAL,2009,1413217.000
ER,BIHAR,RESIDENTIAL,2009,2101550.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2009,404741.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2009,1171868.000
ER,BIHAR,PUBLIC LIGHTING,2009,3628.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2009,40964.000
ER,BIHAR,TRACTION,2009,115752.000
ER,BIHAR,AGRICULTURE,2010,618974.000
ER,BIHAR,COMMERCIAL,2010,576714.000
ER,BIHAR,RESIDENTIAL,2010,2384686.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2010,430833.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2010,728365.000
ER,BIHAR,PUBLIC LIGHTING,2010,9625.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2010,21385.000
ER,BIHAR,TRACTION,2010,102150.000
ER,BIHAR,AGRICULTURE,2011,417191.000
ER,BIHAR,COMMERCIAL,2011,614059.000
ER,BIHAR,RESIDENTIAL,2011,3060448.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2011,327610.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2011,455276.000
ER,BIHAR,MISCELLANEOUS,2011,0.000
ER,BIHAR,PUBLIC LIGHTING,2011,11411.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2011,23055.000
ER,BIHAR,TRACTION,2011,326500.000
ER,BIHAR,AGRICULTURE,2012,180830.000
ER,BIHAR,COMMERCIAL,2012,487109.000
ER,BIHAR,RESIDENTIAL,2012,3100852.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2012,436219.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2012,154537.000
ER,BIHAR,PUBLIC LIGHTING,2012,4660.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2012,21052.000
ER,BIHAR,TRACTION,2012,326500.000
ER,BIHAR,AGRICULTURE,2013,185000.000
ER,BIHAR,COMMERCIAL,2013,650003.000
ER,BIHAR,RESIDENTIAL,2013,3989210.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2013,526757.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2013,182579.000
ER,BIHAR,PUBLIC LIGHTING,2013,7872.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2013,18154.000
ER,BIHAR,TRACTION,2013,151200.000
ER,BIHAR,AGRICULTURE,2014,185000.000
ER,BIHAR,COMMERCIAL,2014,650003.000
ER,BIHAR,RESIDENTIAL,2014,3989210.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2014,526757.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2014,182579.000
ER,BIHAR,PUBLIC LIGHTING,2014,7872.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2014,18154.000
ER,BIHAR,TRACTION,2014,151200.000
ER,BIHAR,AGRICULTURE,2015,185000.000
ER,BIHAR,COMMERCIAL,2015,650003.000
ER,BIHAR,RESIDENTIAL,2015,3989210.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2015,526757.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2015,182579.000
ER,BIHAR,PUBLIC LIGHTING,2015,7872.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2015,18154.000
ER,BIHAR,TRACTION,2015,151200.000
ER,BIHAR,AGRICULTURE,2016,185000.000
ER,BIHAR,COMMERCIAL,2016,650003.000
ER,BIHAR,RESIDENTIAL,2016,3989210.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2016,526757.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2016,182579.000
ER,BIHAR,PUBLIC LIGHTING,2016,7872.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2016,18154.000
ER,BIHAR,TRACTION,2016,151200.000
ER,BIHAR,AGRICULTURE,2017,440441.000
ER,BIHAR,COMMERCIAL,2017,1514722.000
ER,BIHAR,RESIDENTIAL,2017,7255510.000
ER,BIHAR,INDUSTRIAL (HIGH VOLTAGE),2017,816392.000
ER,BIHAR,INDUSTRIAL (LOW & MED VOLTAGE),2017,465085.000
ER,BIHAR,MISCELLANEOUS,2017,1060821.000
ER,BIHAR,PUBLIC LIGHTING,2017,8671.000
ER,BIHAR,PUBLIC WATER WORKS AND SEWAGE,2017,24209.000
ER,BIHAR,TRACTION,2017,225100.000
ER,BIHAR,AGRICULTURE,2017,159112.000
ER,BIHAR,COMMERCIAL,2017,557167.000
ER,BIHAR,RESIDENTIAL,2017,8846280.000
