date,place,cases,deaths
2020-09-14,wikidataId/Q2346838,86357,1550
2020-09-15,wikidataId/Q2346838,86414,1553
2020-09-16,wikidataId/Q2346838,86557,1556
2020-09-17,wikidataId/Q2346838,86662,1558
2020-09-18,wikidataId/Q2346838,86834,1586
2020-09-19,wikidataId/Q2346838,86929,1589
2020-09-20,wikidataId/Q2346838,87000,1591
2020-09-21,wikidataId/Q2346838,87038,1593
2020-09-22,wikidataId/Q2346838,87122,1625
2020-09-23,wikidataId/Q2346838,87239,1625
2020-09-24,wikidataId/Q2346838,87318,1680
2020-09-25,wikidataId/Q2346838,87382,1681
2020-09-26,wikidataId/Q2346838,87442,1718
2020-09-27,wikidataId/Q2346838,87503,1718
2020-09-28,wikidataId/Q2346838,87556,1720
2020-09-29,wikidataId/Q2346838,87605,1737
2020-09-30,wikidataId/Q2346838,87722,1740
2020-10-01,wikidataId/Q2346838,87841,1742
2020-10-02,wikidataId/Q2346838,87950,1744
2020-10-03,wikidataId/Q2346838,88048,1744
2020-10-04,wikidataId/Q2346838,88116,1746
2020-10-05,wikidataId/Q2346838,88175,1747
2020-10-06,wikidataId/Q2346838,88275,1752
2020-10-07,wikidataId/Q2346838,88417,1763
2020-10-08,wikidataId/Q2346838,88549,1763
2020-10-09,wikidataId/Q2346838,88684,1763
2020-10-10,wikidataId/Q2346838,88843,1763
2020-10-11,wikidataId/Q2346838,88944,1768
2020-10-12,wikidataId/Q2346838,89000,1773
2020-10-13,wikidataId/Q2346838,89099,1773
2020-10-14,wikidataId/Q2346838,89237,1774
2020-10-15,wikidataId/Q2346838,89342,1775
2020-10-16,wikidataId/Q2346838,89486,1775
2020-10-17,wikidataId/Q2346838,89621,1776
2020-10-18,wikidataId/Q2346838,89729,1776
2020-10-19,wikidataId/Q2346838,89920,1776
2020-10-20,wikidataId/Q2346838,89991,1776
2020-10-21,wikidataId/Q2346838,90128,1776
2020-10-22,wikidataId/Q2346838,90220,1777
2020-10-23,wikidataId/Q2346838,90363,1777
2020-10-24,wikidataId/Q2346838,90453,1777
2020-10-25,wikidataId/Q2346838,90522,1777
2020-10-26,wikidataId/Q2346838,90588,1777
2020-10-27,wikidataId/Q2346838,90678,1777
2020-10-28,wikidataId/Q2346838,90753,1777
2020-10-29,wikidataId/Q2346838,90864,1777
2020-10-30,wikidataId/Q2346838,90958,1777
2020-10-31,wikidataId/Q2346838,91060,1777
2020-11-01,wikidataId/Q2346838,91127,1884
2020-11-02,wikidataId/Q2346838,91156,1884
2020-11-03,wikidataId/Q2346838,91224,1885
2020-11-04,wikidataId/Q2346838,91305,1885
2020-11-05,wikidataId/Q2346838,,
2020-11-06,wikidataId/Q2346838,,
2020-11-07,wikidataId/Q2346838,,
2020-11-08,wikidataId/Q2346838,,
2020-11-09,wikidataId/Q2346838,,
2020-11-10,wikidataId/Q2346838,,
2020-11-11,wikidataId/Q2346838,,
2020-11-12,wikidataId/Q2346838,,
2020-11-13,wikidataId/Q2346838,,
2020-11-14,wikidataId/Q2346838,,
2020-11-15,wikidataId/Q2346838,,
2020-11-16,wikidataId/Q2346838,,
2020-11-17,wikidataId/Q2346838,,
2020-11-18,wikidataId/Q2346838,,
2020-11-19,wikidataId/Q2346838,96278,1919
2020-11-20,wikidataId/Q2346838,,
2020-11-21,wikidataId/Q2346838,,
2020-11-22,wikidataId/Q2346838,,
2020-11-23,wikidataId/Q2346838,,
2020-11-24,wikidataId/Q2346838,,
2020-11-25,wikidataId/Q2346838,,
2020-11-26,wikidataId/Q2346838,,
2020-11-27,wikidataId/Q2346838,,
2020-11-28,wikidataId/Q2346838,,
2020-11-29,wikidataId/Q2346838,,
2020-11-30,wikidataId/Q2346838,,
2020-12-01,wikidataId/Q2346838,,
2020-12-02,wikidataId/Q2346838,,
2020-12-03,wikidataId/Q2346838,,
2020-12-04,wikidataId/Q2346838,,
2020-12-05,wikidataId/Q2346838,,
2020-12-06,wikidataId/Q2346838,,
2020-12-07,wikidataId/Q2346838,,
2020-12-08,wikidataId/Q2346838,,
2020-12-09,wikidataId/Q2346838,,
2020-12-10,wikidataId/Q2346838,,
2020-12-11,wikidataId/Q2346838,100874,1955
2020-12-12,wikidataId/Q2346838,101495,1956
2020-12-13,wikidataId/Q2346838,102008,1956
2020-12-14,wikidataId/Q2346838,102411,1956
2020-12-15,wikidataId/Q2346838,102925,1960
2020-12-16,wikidataId/Q2346838,103685,1960
2020-12-17,wikidataId/Q2346838,104381,1962
2020-12-18,wikidataId/Q2346838,104976,1962
2020-12-19,wikidataId/Q2346838,105928,1963
2020-12-20,wikidataId/Q2346838,106748,1963
2020-12-21,wikidataId/Q2346838,107479,1967
2020-12-22,wikidataId/Q2346838,108193,1969
2020-12-23,wikidataId/Q2346838,109528,1973
2020-12-24,wikidataId/Q2346838,110687,1977
2020-12-25,wikidataId/Q2346838,112116,1977
2020-12-26,wikidataId/Q2346838,113157,1980
2020-12-27,wikidataId/Q2346838,113747,1980
2020-12-28,wikidataId/Q2346838,114379,1986
2020-12-29,wikidataId/Q2346838,115265,2006
2020-12-30,wikidataId/Q2346838,116795,2015
2020-12-31,wikidataId/Q2346838,118520,2037
2021-01-01,wikidataId/Q2346838,120115,2047
2021-01-02,wikidataId/Q2346838,121526,2048
2021-01-03,wikidataId/Q2346838,122404,2061
2021-01-04,wikidataId/Q2346838,123472,2064
2021-01-05,wikidataId/Q2346838,124620,2070
2021-01-06,wikidataId/Q2346838,126878,2079
2021-01-07,wikidataId/Q2346838,128806,2084
2021-01-08,wikidataId/Q2346838,131494,2093
2021-01-09,wikidataId/Q2346838,133792,2096
2021-01-10,wikidataId/Q2346838,135490,2104
2021-01-11,wikidataId/Q2346838,136832,2104
2021-01-12,wikidataId/Q2346838,137862,2163
2021-01-13,wikidataId/Q2346838,139609,2229
2021-01-14,wikidataId/Q2346838,141374,2237
2021-01-15,wikidataId/Q2346838,142846,2242
2021-01-16,wikidataId/Q2346838,144125,2246
2021-01-17,wikidataId/Q2346838,145410,2255
2021-01-18,wikidataId/Q2346838,146171,2269
2021-01-19,wikidataId/Q2346838,146792,2272
2021-01-20,wikidataId/Q2346838,147938,2272
2021-01-21,wikidataId/Q2346838,148959,2276
2021-01-22,wikidataId/Q2346838,149891,2311
2021-01-23,wikidataId/Q2346838,151002,2428
2021-01-24,wikidataId/Q2346838,151529,2438
2021-01-25,wikidataId/Q2346838,151897,2439
2021-01-26,wikidataId/Q2346838,152257,2509
2021-01-27,wikidataId/Q2346838,152733,2528
2021-01-28,wikidataId/Q2346838,153022,2528
2021-01-29,wikidataId/Q2346838,153575,2534
2021-01-30,wikidataId/Q2346838,153869,2536
2021-01-31,wikidataId/Q2346838,154137,2536
2021-02-01,wikidataId/Q2346838,154338,2537
2021-02-02,wikidataId/Q2346838,154574,2558
2021-02-03,wikidataId/Q2346838,154899,2587
2021-02-04,wikidataId/Q2346838,155198,2598
2021-02-05,wikidataId/Q2346838,155470,2616
2021-02-06,wikidataId/Q2346838,155719,2647
2021-02-07,wikidataId/Q2346838,155967,2648
2021-02-08,wikidataId/Q2346838,156114,2667
2021-02-09,wikidataId/Q2346838,156280,2710
2021-02-10,wikidataId/Q2346838,156671,2742
2021-02-11,wikidataId/Q2346838,156924,2758
2021-02-12,wikidataId/Q2346838,157187,2906
2021-02-13,wikidataId/Q2346838,157505,2914
2021-02-14,wikidataId/Q2346838,157664,2922
2021-02-15,wikidataId/Q2346838,157773,2953
2021-02-16,wikidataId/Q2346838,157953,2969
2021-02-17,wikidataId/Q2346838,158286,2982
2021-02-18,wikidataId/Q2346838,158638,2983
2021-02-19,wikidataId/Q2346838,158768,2989
2021-02-20,wikidataId/Q2346838,158938,3002
2021-02-21,wikidataId/Q2346838,159050,3002
2021-02-22,wikidataId/Q2346838,159181,3012
2021-02-23,wikidataId/Q2346838,159286,3021
2021-02-24,wikidataId/Q2346838,159492,3025
2021-02-25,wikidataId/Q2346838,159668,3027
2021-02-26,wikidataId/Q2346838,159831,3038
2021-02-27,wikidataId/Q2346838,159831,3063
2021-02-28,wikidataId/Q2346838,160029,3071
2021-03-01,wikidataId/Q2346838,160090,3079
2021-03-02,wikidataId/Q2346838,160163,3096
2021-03-03,wikidataId/Q2346838,160308,3099
2021-03-04,wikidataId/Q2346838,160466,3105
2021-03-05,wikidataId/Q2346838,160577,3108
2021-03-06,wikidataId/Q2346838,160701,3115
2021-03-07,wikidataId/Q2346838,160766,3122
2021-03-08,wikidataId/Q2346838,160855,3128
2021-03-09,wikidataId/Q2346838,160988,3139
2021-03-10,wikidataId/Q2346838,161262,3154
2021-03-11,wikidataId/Q2346838,161413,3159
2021-03-12,wikidataId/Q2346838,161507,3173
2021-03-13,wikidataId/Q2346838,161653,3173
2021-03-14,wikidataId/Q2346838,161744,3181
2021-03-15,wikidataId/Q2346838,161824,3181
2021-03-16,wikidataId/Q2346838,161913,3188
2021-03-17,wikidataId/Q2346838,162103,3188
2021-03-18,wikidataId/Q2346838,162241,3194
2021-03-19,wikidataId/Q2346838,162398,3200
2021-03-20,wikidataId/Q2346838,162521,3200
2021-03-21,wikidataId/Q2346838,162653,3200
2021-03-22,wikidataId/Q2346838,162724,3200
2021-03-23,wikidataId/Q2346838,162777,3200
2021-03-24,wikidataId/Q2346838,162885,3202
2021-03-25,wikidataId/Q2346838,163031,3221
2021-03-26,wikidataId/Q2346838,163157,3224
2021-03-27,wikidataId/Q2346838,163283,3232
2021-03-28,wikidataId/Q2346838,163366,3232
2021-03-29,wikidataId/Q2346838,163429,3236
2021-03-30,wikidataId/Q2346838,163519,3245
2021-03-31,wikidataId/Q2346838,163665,3249
2021-04-01,wikidataId/Q2346838,163827,3252
2021-04-02,wikidataId/Q2346838,163990,3255
2021-04-03,wikidataId/Q2346838,164057,3255
2021-04-04,wikidataId/Q2346838,164129,3256
2021-04-05,wikidataId/Q2346838,164154,3258
2021-04-06,wikidataId/Q2346838,164201,3262
2021-04-07,wikidataId/Q2346838,164292,3270
2021-04-08,wikidataId/Q2346838,164442,3272
2021-04-09,wikidataId/Q2346838,164576,3272
2021-04-10,wikidataId/Q2346838,164715,3276
2021-04-11,wikidataId/Q2346838,164795,3277
2021-04-12,wikidataId/Q2346838,164846,3277
2021-04-13,wikidataId/Q2346838,164944,3296
2021-04-14,wikidataId/Q2346838,165078,3300
2021-04-15,wikidataId/Q2346838,165208,3302
2021-04-16,wikidataId/Q2346838,165388,3303
2021-04-17,wikidataId/Q2346838,165512,3313
2021-04-18,wikidataId/Q2346838,165595,3315
2021-04-19,wikidataId/Q2346838,165716,3315
2021-04-20,wikidataId/Q2346838,165796,3319
2021-04-21,wikidataId/Q2346838,165960,3319
2021-04-22,wikidataId/Q2346838,166107,3319
2021-04-23,wikidataId/Q2346838,166257,3319
2021-04-24,wikidataId/Q2346838,166364,3331
2021-04-25,wikidataId/Q2346838,166450,3331
2021-04-26,wikidataId/Q2346838,166561,3334
2021-04-27,wikidataId/Q2346838,166635,3343
2021-04-28,wikidataId/Q2346838,166769,3345
2021-04-29,wikidataId/Q2346838,166880,3350
2021-04-30,wikidataId/Q2346838,167088,3350
2021-05-01,wikidataId/Q2346838,167256,3353
2021-05-02,wikidataId/Q2346838,167369,3354
2021-05-03,wikidataId/Q2346838,167486,3354
2021-05-04,wikidataId/Q2346838,167661,3361
2021-05-05,wikidataId/Q2346838,167879,3364
2021-05-06,wikidataId/Q2346838,168134,3371
2021-05-07,wikidataId/Q2346838,168402,3374
2021-05-08,wikidataId/Q2346838,168611,3382
2021-05-09,wikidataId/Q2346838,168818,3384
2021-05-10,wikidataId/Q2346838,168964,3384
2021-05-11,wikidataId/Q2346838,169167,3392
2021-05-12,wikidataId/Q2346838,169538,3394
2021-05-13,wikidataId/Q2346838,169968,3398
2021-05-14,wikidataId/Q2346838,170406,3405
2021-05-15,wikidataId/Q2346838,170761,3405
2021-05-16,wikidataId/Q2346838,171021,3413
2021-05-17,wikidataId/Q2346838,171283,3415
2021-05-18,wikidataId/Q2346838,171706,3423
2021-05-19,wikidataId/Q2346838,172202,3430
2021-05-20,wikidataId/Q2346838,172761,3432
2021-05-21,wikidataId/Q2346838,173415,3436
2021-05-22,wikidataId/Q2346838,174083,3444
2021-05-23,wikidataId/Q2346838,174487,3452
2021-05-24,wikidataId/Q2346838,174904,3452
2021-05-25,wikidataId/Q2346838,175394,3466
2021-05-26,wikidataId/Q2346838,176174,3472
2021-05-27,wikidataId/Q2346838,176961,3478
2021-05-28,wikidataId/Q2346838,177798,3487
2021-05-29,wikidataId/Q2346838,178602,3503
2021-05-30,wikidataId/Q2346838,179341,3510
2021-05-31,wikidataId/Q2346838,179845,3511
2021-06-01,wikidataId/Q2346838,180558,3522
2021-06-02,wikidataId/Q2346838,181722,3549
2021-06-03,wikidataId/Q2346838,182836,3554
2021-06-04,wikidataId/Q2346838,184066,3558
2021-06-05,wikidataId/Q2346838,185157,3575
2021-06-06,wikidataId/Q2346838,186175,3580
2021-06-07,wikidataId/Q2346838,187042,3583
2021-06-08,wikidataId/Q2346838,187957,3594
2021-06-09,wikidataId/Q2346838,189860,3602
2021-06-10,wikidataId/Q2346838,192019,3625
2021-06-11,wikidataId/Q2346838,193987,3632
2021-06-12,wikidataId/Q2346838,196334,3638
2021-06-13,wikidataId/Q2346838,198309,3643
2021-06-14,wikidataId/Q2346838,199775,3652
2021-06-15,wikidataId/Q2346838,201747,3679
2021-06-16,wikidataId/Q2346838,204776,3688
2021-06-17,wikidataId/Q2346838,207788,3714
2021-06-18,wikidataId/Q2346838,210462,3747
2021-06-19,wikidataId/Q2346838,213684,3787
2021-06-20,wikidataId/Q2346838,217249,3801
2021-06-21,wikidataId/Q2346838,219432,3828
2021-06-22,wikidataId/Q2346838,222325,3879
2021-06-23,wikidataId/Q2346838,226697,3897
2021-06-24,wikidataId/Q2346838,230484,3921
2021-06-25,wikidataId/Q2346838,235015,3932
2021-06-26,wikidataId/Q2346838,239753,3953
2021-06-27,wikidataId/Q2346838,243729,3964
2021-06-28,wikidataId/Q2346838,247489,3979
2021-06-29,wikidataId/Q2346838,250995,4031
2021-06-30,wikidataId/Q2346838,255893,4063
2021-07-01,wikidataId/Q2346838,261338,4118
2021-07-02,wikidataId/Q2346838,267164,4150
2021-07-03,wikidataId/Q2346838,273469,4196
2021-07-04,wikidataId/Q2346838,277384,4212
2021-07-05,wikidataId/Q2346838,280507,4237
2021-07-06,wikidataId/Q2346838,284501,4278
2021-07-07,wikidataId/Q2346838,288727,4307
2021-07-08,wikidataId/Q2346838,293322,4381
2021-07-09,wikidataId/Q2346838,298405,4386
2021-07-10,wikidataId/Q2346838,303009,4411
2021-07-11,wikidataId/Q2346838,306489,4427
2021-07-12,wikidataId/Q2346838,308771,4457
2021-07-13,wikidataId/Q2346838,311379,4489
2021-07-14,wikidataId/Q2346838,314308,4559
2021-07-15,wikidataId/Q2346838,316803,4569
2021-07-16,wikidataId/Q2346838,319148,4585
2021-07-17,wikidataId/Q2346838,321573,4655
2021-07-18,wikidataId/Q2346838,323214,4668
2021-07-19,wikidataId/Q2346838,324295,4681
2021-07-20,wikidataId/Q2346838,325598,4713
2021-07-21,wikidataId/Q2346838,327444,4738
2021-07-22,wikidataId/Q2346838,329518,4754
2021-07-23,wikidataId/Q2346838,331384,4778
2021-07-24,wikidataId/Q2346838,332843,4790
2021-07-25,wikidataId/Q2346838,333761,4899
2021-07-26,wikidataId/Q2346838,334345,4975
2021-07-27,wikidataId/Q2346838,335264,4995
2021-07-28,wikidataId/Q2346838,337132,5037
2021-07-29,wikidataId/Q2346838,338607,5057
2021-07-30,wikidataId/Q2346838,339749,5057
2021-07-31,wikidataId/Q2346838,340709,5100
2021-08-01,wikidataId/Q2346838,341462,5116
2021-08-02,wikidataId/Q2346838,341885,5132
2021-08-03,wikidataId/Q2346838,342683,5222
2021-08-04,wikidataId/Q2346838,343648,5235
2021-08-05,wikidataId/Q2346838,344597,5267
2021-08-06,wikidataId/Q2346838,345471,5275
2021-08-07,wikidataId/Q2346838,346153,5282
2021-08-08,wikidataId/Q2346838,346709,5332
2021-08-09,wikidataId/Q2346838,347070,5382
2021-08-10,wikidataId/Q2346838,347489,5385
2021-08-11,wikidataId/Q2346838,347906,5403
2021-08-12,wikidataId/Q2346838,348630,5407
2021-08-13,wikidataId/Q2346838,349340,5425
2021-08-14,wikidataId/Q2346838,349926,5438
2021-08-15,wikidataId/Q2346838,350327,5464
2021-08-16,wikidataId/Q2346838,350571,5473
2021-08-17,wikidataId/Q2346838,350966,5481
2021-08-18,wikidataId/Q2346838,351440,5495
2021-08-19,wikidataId/Q2346838,351983,5500
2021-08-20,wikidataId/Q2346838,352480,5504
2021-08-21,wikidataId/Q2346838,352975,5516
2021-08-22,wikidataId/Q2346838,353319,5532
2021-08-23,wikidataId/Q2346838,353503,5536
2021-08-24,wikidataId/Q2346838,,
2021-08-25,wikidataId/Q2346838,354157,5547
2021-08-26,wikidataId/Q2346838,354494,5556
2021-08-27,wikidataId/Q2346838,354866,5558
2021-08-28,wikidataId/Q2346838,355091,5562
2021-08-29,wikidataId/Q2346838,355312,5568
2021-08-30,wikidataId/Q2346838,355415,5569
2021-08-31,wikidataId/Q2346838,355585,5569
2021-09-01,wikidataId/Q2346838,355848,5571
2021-09-02,wikidataId/Q2346838,356029,5574
2021-09-03,wikidataId/Q2346838,356236,5587
2021-09-04,wikidataId/Q2346838,356413,5630
2021-09-05,wikidataId/Q2346838,356543,5630
2021-09-06,wikidataId/Q2346838,356620,5630
2021-09-07,wikidataId/Q2346838,356771,5640
2021-09-08,wikidataId/Q2346838,356955,5640
2021-09-09,wikidataId/Q2346838,357147,5640
2021-09-10,wikidataId/Q2346838,357296,5645
2021-09-11,wikidataId/Q2346838,357415,5655
2021-09-12,wikidataId/Q2346838,357492,5655
2021-09-13,wikidataId/Q2346838,357548,5655
2021-09-14,wikidataId/Q2346838,357649,5655
2021-09-15,wikidataId/Q2346838,357763,5656
2021-09-16,wikidataId/Q2346838,357895,5656
2021-09-17,wikidataId/Q2346838,358016,5657
2021-09-18,wikidataId/Q2346838,358139,5657
2021-09-19,wikidataId/Q2346838,358209,5657
2021-09-20,wikidataId/Q2346838,358258,5657
2021-09-21,wikidataId/Q2346838,358331,5657
2021-09-22,wikidataId/Q2346838,358431,5657
2021-09-23,wikidataId/Q2346838,358511,5657
2021-09-24,wikidataId/Q2346838,358588,5688
2021-09-25,wikidataId/Q2346838,358641,5688
2021-09-26,wikidataId/Q2346838,358674,5688
2021-09-27,wikidataId/Q2346838,358715,5688
2021-09-28,wikidataId/Q2346838,358773,5707
2021-09-29,wikidataId/Q2346838,358859,5707
2021-09-30,wikidataId/Q2346838,358933,5710
2021-10-01,wikidataId/Q2346838,358992,5714
2021-10-02,wikidataId/Q2346838,359049,5714
2021-10-03,wikidataId/Q2346838,359087,5714
2021-10-04,wikidataId/Q2346838,359112,5714
2021-10-05,wikidataId/Q2346838,359147,5714
2021-10-06,wikidataId/Q2346838,359222,5717
2021-10-07,wikidataId/Q2346838,,
2021-10-08,wikidataId/Q2346838,,
2021-10-09,wikidataId/Q2346838,,
2021-10-10,wikidataId/Q2346838,,
2021-10-11,wikidataId/Q2346838,,
2021-10-12,wikidataId/Q2346838,,
2021-10-13,wikidataId/Q2346838,,
2021-10-14,wikidataId/Q2346838,359595,5719
2021-10-15,wikidataId/Q2346838,,
2021-10-16,wikidataId/Q2346838,,
2021-10-17,wikidataId/Q2346838,,
2021-10-18,wikidataId/Q2346838,,
2021-10-19,wikidataId/Q2346838,,
2021-10-20,wikidataId/Q2346838,,
2021-10-21,wikidataId/Q2346838,359797,5720
2021-10-22,wikidataId/Q2346838,,
2021-10-23,wikidataId/Q2346838,,
2021-10-24,wikidataId/Q2346838,,
2021-10-25,wikidataId/Q2346838,,
2021-10-26,wikidataId/Q2346838,,
2021-10-27,wikidataId/Q2346838,,
2021-10-28,wikidataId/Q2346838,359942,5723
2021-10-29,wikidataId/Q2346838,,
2021-10-30,wikidataId/Q2346838,,
2021-10-31,wikidataId/Q2346838,,
2021-11-01,wikidataId/Q2346838,,
2021-11-02,wikidataId/Q2346838,,
2021-11-03,wikidataId/Q2346838,,
2021-11-04,wikidataId/Q2346838,360054,5724
2021-11-05,wikidataId/Q2346838,,
2021-11-06,wikidataId/Q2346838,,
2021-11-07,wikidataId/Q2346838,,
2021-11-08,wikidataId/Q2346838,,
