observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
dcid:country/DZA,1970-04,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-05,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-06,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-07,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-08,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-09,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-10,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-11,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-12,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970,4.93706,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1Y,DZD
dcid:country/AND,1970,70.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ADP,P1Y,ADP
dcid:country/AND,1970,2.73873,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_FRF,P1Y,FRF
dcid:country/AND,1970,0.42071,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_EUR,P1Y,EUR
dcid:country/AGO,1970,28.62511,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1Y,AOS
dcid:country/AGO,1970-01,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-02,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-03,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-04,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-05,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-06,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-07,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-08,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-09,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-10,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-11,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970-12,0.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS,P1M,AOS
dcid:country/AGO,1970,0.0,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOA,P1Y,AOA
dcid:country/AIA,1970,2.00338,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1Y,XCD
dcid:country/AIA,1970-01,1.9996,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-02,1.99609,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-03,1.99509,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-04,1.99477,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-05,1.99669,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-06,2.00184,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-07,2.00779,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-08,2.00997,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-09,2.01232,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-10,2.01054,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-11,2.00803,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970-12,2.00779,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/AIA,1970,2.00338,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1Y,XCD
dcid:country/ATG,1970,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1Y,XCD
dcid:country/ATG,1970-01,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-02,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-03,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-04,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-05,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-06,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-07,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-08,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-09,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-10,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-11,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970-12,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/ATG,1970,2.0,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1Y,XCD
dcid:country/ARG,1970,3.79167,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ARY,P1Y,ARY
dcid:country/ARG,1970,0.0,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ARS,P1Y,ARS
dcid:country/ABW,1970,1.79,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AWG,P1Y,AWG
dcid:country/AUS,1970,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1Y,AUD
dcid:country/AUS,1970-01,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-02,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-03,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-04,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-05,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-06,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-07,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-08,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-09,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-10,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-11,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970-12,0.89286,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1M,AUD
dcid:country/AUS,1970,0.89286,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AUD,P1Y,AUD
dcid:country/AUT,1970,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1Y,ATS
dcid:country/AUT,1970-01,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-02,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-03,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-04,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-05,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-06,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-07,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-08,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-09,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-10,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-11,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970-12,26.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS,P1M,ATS
dcid:country/AUT,1970,1.88949,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_EUR,P1Y,EUR
dcid:country/BHS,1970,1.0017,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1Y,BSD
dcid:country/BHS,1970-01,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-02,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-03,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-04,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-05,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-06,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-07,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-08,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-09,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-10,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-11,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970-12,1,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1M,BSD
dcid:country/BHS,1970,1,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BSD,P1Y,BSD
dcid:country/BHR,1970,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1Y,BHD
dcid:country/BHR,1970-01,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-02,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-03,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-04,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-05,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-06,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-07,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-08,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-09,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-10,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-11,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970-12,0.47619,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1M,BHD
dcid:country/BHR,1970,0.47619,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BHD,P1Y,BHD
dcid:country/BGD,1970,7.279,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_PKR,P1Y,PKR
dcid:country/BGD,1970-05,7.5472,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_PKR,P1M,PKR
dcid:country/BGD,1970-12,7.547,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_PKR,P1M,PKR
dcid:country/BGD,1970,7.279,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BDT,P1Y,BDT
dcid:country/BRB,1970,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1Y,XCD
dcid:country/BRB,1970-01,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-02,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-03,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-04,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-05,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-06,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-07,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-08,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-09,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-10,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-11,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970-12,2.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XCD,P1M,XCD
dcid:country/BRB,1970,2.0,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BBD,P1Y,BBD
dcid:country/BEL,1970,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1Y,BEF
dcid:country/BEL,1970-01,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-02,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-03,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-04,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-05,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-06,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-07,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-08,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-09,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-10,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-11,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970-12,50.0,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BEF,P1M,BEF
dcid:country/BEL,1970,1.23947,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_EUR,P1Y,EUR
dcid:country/BLZ,1970,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1Y,BZH
dcid:country/BLZ,1970-01,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-02,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-03,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-04,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-05,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-06,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-07,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-08,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-09,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-10,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-11,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970-12,1.66667,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZH,P1M,BZH
dcid:country/BLZ,1970,1.66667,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_BZD,P1Y,BZD
dcid:country/BEN,1970,276.40314,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1Y,XOF
dcid:country/BEN,1970-01,277.65606,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-02,277.20106,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-03,277.15606,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-04,276.58105,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-05,276.06605,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-06,276.02605,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-07,275.88605,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-08,276.05105,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-09,276.01105,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-10,276.15105,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
dcid:country/BEN,1970-11,275.92605,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_XOF,P1M,XOF
