code,dcid
undata-geo:G00001140,country/GAB
undata-geo:G00001150,country/GMB
undata-geo:G00001170,country/GEO
undata-geo:G00001190,country/DEU
undata-geo:G00001200,country/GHA
undata-geo:G00001210,country/GIB
undata-geo:G00001220,country/GRC
undata-geo:G00001240,country/GRD
undata-geo:G00001250,country/GLP
undata-geo:G00001260,country/GUM
undata-geo:G00001270,country/GTM
undata-geo:G00001280,country/GGY
undata-geo:G00001290,country/GIN
undata-geo:G00001300,country/GNB
undata-geo:G00001320,country/HTI
undata-geo:G00001330,country/HMD
undata-geo:G00001340,country/VAT
undata-geo:G00001350,country/HND
undata-geo:G00001360,country/HUN
undata-geo:G00001370,country/ISL
undata-geo:G00001380,country/IND
undata-geo:G00001400,country/IDN
undata-geo:G00001410,country/IRN
undata-geo:G00001420,country/IRQ
undata-geo:G00001430,country/IRL
undata-geo:G00001440,country/IMN
undata-geo:G00001450,country/ISR
undata-geo:G00001470,country/ITA
undata-geo:G00001480,country/JAM
undata-geo:G00001490,country/JPN
undata-geo:G00001520,country/JEY
undata-geo:G00001540,country/JOR
undata-geo:G00001560,country/KAZ
undata-geo:G00001570,country/KEN
undata-geo:G00001590,country/KIR
undata-geo:G00001620,country/KWT
undata-geo:G00001630,country/KGZ
undata-geo:G00001640,country/LAO
undata-geo:G00001650,country/LVA
undata-geo:G00001660,country/LBN
undata-geo:G00001680,country/LSO
undata-geo:G00001690,country/LBR
undata-geo:G00001700,country/LBY
undata-geo:G00001710,country/LIE
undata-geo:G00001720,country/LTU
undata-geo:G00001730,country/LUX
undata-geo:G00001750,country/MDG
undata-geo:G00001760,country/MWI
undata-geo:G00001770,country/MYS
undata-geo:G00001820,country/MDV
undata-geo:G00001830,country/MLI
undata-geo:G00001840,country/MLT
undata-geo:G00001850,country/MHL
undata-geo:G00001860,country/MTQ
undata-geo:G00001870,country/MRT
undata-geo:G00001880,country/MUS
undata-geo:G00001910,country/MYT
undata-geo:G00001930,country/MEX
undata-geo:G00001940,country/FSM
undata-geo:G00001980,country/MCO
undata-geo:G00001990,country/MNG
undata-geo:G00002000,country/MNE
undata-geo:G00002010,country/MSR
undata-geo:G00002020,country/MAR
undata-geo:G00002040,country/MOZ
undata-geo:G00002050,country/MMR
undata-geo:G00002060,country/NAM
undata-geo:G00002070,country/NRU
undata-geo:G00002080,country/NPL
undata-geo:G00002090,country/NLD
undata-geo:G00002120,country/NCL
undata-geo:G00002160,country/NZL
undata-geo:G00002170,country/NIC
undata-geo:G00002180,country/NER
undata-geo:G00002190,country/NGA
undata-geo:G00002200,country/NIU
undata-geo:G00002210,country/NFK
undata-geo:G00002240,country/MNP
undata-geo:G00002250,country/NOR
undata-geo:G00002270,country/OMN
undata-geo:G00002290,country/PAK
undata-geo:G00002300,country/PLW
undata-geo:G00002310,country/PAN
undata-geo:G00002350,country/PNG
undata-geo:G00002380,country/PHL
undata-geo:G00002390,country/PCN
undata-geo:G00002400,country/POL
undata-geo:G00002410,country/PRT
undata-geo:G00002420,country/PRI
undata-geo:G00002430,country/QAT
undata-geo:G00002450,country/KOR
undata-geo:G00002460,country/MDA
undata-geo:G00002470,country/REU
undata-geo:G00002500,country/ROU
undata-geo:G00002530,country/RUS
undata-geo:G00002540,country/RWA
undata-geo:G00002570,country/BLM
undata-geo:G00002600,country/SHN
undata-geo:G00002630,country/KNA
undata-geo:G00002640,country/LCA
undata-geo:G00002650,country/MAF
undata-geo:G00002680,country/VCT
undata-geo:G00002690,country/WSM
undata-geo:G00002700,country/SMR
undata-geo:G00002710,country/STP
undata-geo:G00002730,country/SAU
undata-geo:G00002750,country/SEN
undata-geo:G00002760,country/SRB
undata-geo:G00002780,country/SYC
undata-geo:G00002800,country/SLE
undata-geo:G00002820,country/SGP
undata-geo:G00002840,country/SXM
undata-geo:G00002850,country/SVK
undata-geo:G00002860,country/SVN
undata-geo:G00002880,country/SLB
undata-geo:G00002890,country/SOM
undata-geo:G00002910,country/ZAF
undata-geo:G00002930,country/SSD
undata-geo:G00002950,country/ESP
undata-geo:G00002960,country/LKA
undata-geo:G00002980,country/PSE
undata-geo:G00002990,country/SDN
undata-geo:G00003030,country/SJM
undata-geo:G00003040,country/SWE
undata-geo:G00003050,country/CHE
undata-geo:G00003060,country/SYR
undata-geo:G00003080,country/TJK
undata-geo:G00003090,country/THA
undata-geo:G00003100,country/TLS
undata-geo:G00003110,country/TGO
undata-geo:G00003120,country/TKL
undata-geo:G00003130,country/TON
undata-geo:G00003140,country/TTO
undata-geo:G00003160,country/TUN
undata-geo:G00003170,country/TUR
undata-geo:G00003180,country/TKM
undata-geo:G00003190,country/TCA
undata-geo:G00003200,country/TUV
undata-geo:G00003210,country/UGA
undata-geo:G00003220,country/UKR
undata-geo:G00003250,country/ARE
undata-geo:G00003260,country/GBR
undata-geo:G00003270,country/TZA
undata-geo:G00003300,country/UMI
undata-geo:G00003350,country/VIR
undata-geo:G00003370,country/UZB
undata-geo:G00003380,country/VUT
undata-geo:G00003400,country/VNM
undata-geo:G00003440,country/WLF
undata-geo:G00003460,country/ESH
undata-geo:G00003480,country/YEM
undata-geo:G00003490,country/ZMB
undata-geo:G00003500,country/ZWE
