"MinDate","Units","NumObservations","MinValue","ScalingFactors","MaxDate","observationPeriods","StatVar","MaxValue","NumPlaces","NumObservationsDates","MeasurementMethods"
"2008","[Ton]","13","0.0","[]","2011","[P1Y]","Annual_Amount_Emissions_Chromium_6_SCC_25_StorageAndTransport","8.42812E-4","13","2","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","10364","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_CarbonMonoxide_SCC_1_ExternalCombustion","141630.0782","2335","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","10744","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Cadmium_SCC_22_MobileSources","0.0932593091173","3002","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4884","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Lead_SCC_23_IndustrialProcesses","4.76982","2594","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4300","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_PM2.5_SCC_5_WasteDisposal","1907.825","1093","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16038","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_CarbonMonoxide_SCC_21_StationarySourceFuelCombustion","76146.978095156","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4021","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chromium_6_SCC_2_InternalCombustionEngines","0.151782715682","1090","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15930","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chromium_6_SCC_21_StationarySourceFuelCombustion","0.252691006802","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","6111","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Ammonia_SCC_1_ExternalCombustion","1790.1535093999998","1513","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16060","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Toluene_SCC_23_IndustrialProcesses","5655.78450218","3229","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","452","0.0","[]","2017","[P1Y]","Annual_Amount_Emissions_PM10_SCC_24_SolventUtilization","536.6115199999999","233","4","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","476","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Mercury_SCC_4_PetroleumAndSolventEvaporation","0.324526386078","188","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16124","2.588898","[]","2020","[P1Y]","Annual_Amount_Emissions_CarbonMonoxide_SCC_22_MobileSources","1406490.0125278393","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1434","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chromium_6_SCC_4_PetroleumAndSolventEvaporation","1.6914660000000001","502","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15957","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Ammonia_SCC_21_StationarySourceFuelCombustion","4681.979380000001","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","8","4.35E-8","[]","2014","[P1Y]","Annual_Amount_Emissions_Cadmium_SCC_6_MACTSourceCategories","4.5155939999999995E-4","3","3","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16115","0.0035426544543999995","[]","2020","[P1Y]","Annual_Amount_Emissions_Methanol_SCC_24_SolventUtilization","7483.5113","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","725","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Arsenic_SCC_5_WasteDisposal","0.65734934","244","5","[dcAggregate/EPA_NationalEmissionInventory]"
