date,MeanValue
1909-01-01,-0.3112930202637504
1909-02-01,0.5010453522032808
1909-03-01,-0.3230845931167578
1909-04-01,-0.11518816339659052
1909-05-01,0.02277259568993246
1909-06-01,0.22146670955291092
1909-07-01,-0.06018655516243164
1909-08-01,-0.4864618848504342
1909-09-01,-0.2175329688002573
1909-10-01,-0.5044580250884528
1909-11-01,-0.028497909295593427
1909-12-01,0.1853811514956578
1910-01-01,-0.004239305242843352
1910-02-01,-0.136661305886137
1910-03-01,-1.8455387584432292
1910-04-01,-0.33141846252814405
1910-05-01,-0.24911868768092635
1910-06-01,-0.32936313927307814
1910-07-01,-0.21274043100675458
1910-08-01,-0.43729173367642327
1910-09-01,-0.21690897394660663
1910-10-01,-0.19605017690575746
1910-11-01,-0.9170955291090382
1910-12-01,-0.5873399807011901
