key,p1,v1,p2,v2,p3,v3,p4,v4,Var1,,Month,,#End,#value
BZH,CurrencyCode,BZH,CurrencyName,British Honduras Dollar (historical),,,,,,,,,,
XOF,CurrencyCode,XOF,CurrencyName,CFA Franc BCEAO (historical),,,,,,,,,,
BMD,CurrencyCode,BMD,CurrencyName,Bermudian Dollar,,,,,,,,,,
INR,CurrencyCode,INR,CurrencyName,Indian Rupee,,,,,,,,,,
BTN,CurrencyCode,BTN,CurrencyName,Ngultrum,,,,,,,,,,
BOP,CurrencyCode,BOP,CurrencyName,Bolivian Peso (historical),,,,,,,,,,
BOB,CurrencyCode,BOB,CurrencyName,Boliviano,,,,,,,,,,
BAN,CurrencyCode,BAN,CurrencyName,BAN (historical),,,,,,,,,,
BAM,CurrencyCode,BAM,CurrencyName,Convertible Mark,,,,,,,,,,
BAD,CurrencyCode,BAD,CurrencyName,Dinar (historical),,,,,,,,,,
YUN,CurrencyCode,YUN,CurrencyName,Yugoslavian Dinar,,,,,,,,,,
YUR,CurrencyCode,YUR,CurrencyName,YUR (historical),,,,,,,,,,
BWP,CurrencyCode,BWP,CurrencyName,Pula,,,,,,,,,,
ZAR,CurrencyCode,ZAR,CurrencyName,Rand,,,,,,,,,,
BRL,CurrencyCode,BRL,CurrencyName,Brazilian Real,,,,,,,,,,
BRC,CurrencyCode,BRC,CurrencyName,Cruzado (historical),,,,,,,,,,
BRE,CurrencyCode,BRE,CurrencyName,Cruzeiro (historical),,,,,,,,,,
BRB,CurrencyCode,BRB,CurrencyName,Cruzeiro,,,,,,,,,,
BRR,CurrencyCode,BRR,CurrencyName,Cruzeiro Real (historical),,,,,,,,,,
BRN,CurrencyCode,BRN,CurrencyName,New Cruzado (historical),,,,,,,,,,
USD,CurrencyCode,USD,CurrencyName,US Dollar,,,,,,,,,,
BND,CurrencyCode,BND,CurrencyName,Brunei Dollar,,,,,,,,,,
BGN,CurrencyCode,BGN,CurrencyName,Bulgarian Lev,,,,,,,,,,
BGL,CurrencyCode,BGL,CurrencyName,Lev (historical),,,,,,,,,,
BIF,CurrencyCode,BIF,CurrencyName,Burundi Franc,,,,,,,,,,
CVE,CurrencyCode,CVE,CurrencyName,Cabo Verde Escudo,,,,,,,,,,
KHO,CurrencyCode,KHO,CurrencyName,Cambodian Old Riel (historical),,,,,,,,,,
KHR,CurrencyCode,KHR,CurrencyName,Riel,,,,,,,,,,
XAF,CurrencyCode,XAF,CurrencyName,CFA Franc BEAC (historical),,,,,,,,,,
CAD,CurrencyCode,CAD,CurrencyName,Canadian Dollar,,,,,,,,,,
KYD,CurrencyCode,KYD,CurrencyName,Cayman Islands Dollar,,,,,,,,,,
JMD,CurrencyCode,JMD,CurrencyName,Jamaican Dollar,,,,,,,,,,
CLE,CurrencyCode,CLE,CurrencyName,Chilean Escudo (historical),,,,,,,,,,
CLP,CurrencyCode,CLP,CurrencyName,Chilean Peso,,,,,,,,,,
HKD,CurrencyCode,HKD,CurrencyName,Hong Kong Dollar,,,,,,,,,,
MOP,CurrencyCode,MOP,CurrencyName,Pataca,,,,,,,,,,
CNY,CurrencyCode,CNY,CurrencyName,Yuan Renminbi,,,,,,,,,,
TWD,CurrencyCode,TWD,CurrencyName,New Taiwan Dollar,,,,,,,,,,
COP,CurrencyCode,COP,CurrencyName,Colombian Peso,,,,,,,,,,
KMF,CurrencyCode,KMF,CurrencyName,Comoro Franc,,,,,,,,,,
XMCF,CurrencyCode,XMCF,CurrencyName,Madagascar and Comores CFA Franc (historical),,,,,,,,,,
CKD,CurrencyCode,CKD,CurrencyName,CKD,,,,,,,,,,
NZD,CurrencyCode,NZD,CurrencyName,New Zealand Dollar,,,,,,,,,,
CRC,CurrencyCode,CRC,CurrencyName,Costa Rican Colon,,,,,,,,,,
HRD,CurrencyCode,HRD,CurrencyName,Croatian Dinar (historical),,,,,,,,,,
HRK,CurrencyCode,HRK,CurrencyName,Kuna,,,,,,,,,,
CUP,CurrencyCode,CUP,CurrencyName,Cuban Peso,,,,,,,,,,
CUX,CurrencyCode,CUX,CurrencyName,Cuban Foreign Exchange Certificates (historical),,,,,,,,,,
CYP,CurrencyCode,CYP,CurrencyName,Cyprus Pound (historical),,,,,,,,,,
CSX,CurrencyCode,CSX,CurrencyName,CSX (historical),,,,,,,,,,
CZK,CurrencyCode,CZK,CurrencyName,Czech Koruna,,,,,,,,,,
CSK,CurrencyCode,CSK,CurrencyName,Koruna (historical),,,,,,,,,,
KPW,CurrencyCode,KPW,CurrencyName,North Korean Won,,,,,,,,,,
CDF,CurrencyCode,CDF,CurrencyName,Congolese Franc,,,,,,,,,,
CDZ,CurrencyCode,CDZ,CurrencyName,Congolese Zaire,,,,,,,,,,
ZRN,CurrencyCode,ZRN,CurrencyName,New Zaire (historical),,,,,,,,,,
ZRZ,CurrencyCode,ZRZ,CurrencyName,Zaire (historical),,,,,,,,,,
DKK,CurrencyCode,DKK,CurrencyName,Danish Krone,,,,,,,,,,
AIF,CurrencyCode,AIF,CurrencyName,Affars and Issas Franc (historical),,,,,,,,,,
DJF,CurrencyCode,DJF,CurrencyName,Djibouti Franc,,,,,,,,,,
DOP,CurrencyCode,DOP,CurrencyName,Dominican Peso,,,,,,,,,,
ECS,CurrencyCode,ECS,CurrencyName,Ecuadorian Sucre (historical),,,,,,,,,,
EGP,CurrencyCode,EGP,CurrencyName,Egyptian Pound,,,,,,,,,,
SVC,CurrencyCode,SVC,CurrencyName,colon,,,,,,,,,,
ETB,CurrencyCode,ETB,CurrencyName,Ethiopian Birr,,,,,,,,,,
ETD,CurrencyCode,ETD,CurrencyName,Ethiopian Dollar (historical),,,,,,,,,,
ERN,CurrencyCode,ERN,CurrencyName,Nakfa,,,,,,,,,,
EEK,CurrencyCode,EEK,CurrencyName,Kroon (historical),,,,,,,,,,
SZL,CurrencyCode,SZL,CurrencyName,Lilangeni,,,,,,,,,,
FJD,CurrencyCode,FJD,CurrencyName,Fiji Dollar,,,,,,,,,,
FIM,CurrencyCode,FIM,CurrencyName,Markka,,,,,,,,,,
XPF,CurrencyCode,XPF,CurrencyName,CFP Franc (historical),,,,,,,,,,
GMD,CurrencyCode,GMD,CurrencyName,Dalasi,,,,,,,,,,
GMP,CurrencyCode,GMP,CurrencyName,GMP (historical),,,,,,,,,,
GEK,CurrencyCode,GEK,CurrencyName,GEK (historical),,,,,,,,,,
GEL,CurrencyCode,GEL,CurrencyName,Lari,,,,,,,,,,
DEM,CurrencyCode,DEM,CurrencyName,Deutsche Mark (historical),,,,,,,,,,
DDM,CurrencyCode,DDM,CurrencyName,Mark der DDR (historical),,,,,,,,,,
GHC,CurrencyCode,GHC,CurrencyName,Cedi (historical),,,,,,,,,,
GHS,CurrencyCode,GHS,CurrencyName,Ghana Cedi,,,,,,,,,,
GHR,CurrencyCode,GHR,CurrencyName,Ghana Revalued Cedi (historical),,,,,,,,,,
GIP,CurrencyCode,GIP,CurrencyName,Gibraltar Pound,,,,,,,,,,
GRD,CurrencyCode,GRD,CurrencyName,Drachma (historical),,,,,,,,,,
GTQ,CurrencyCode,GTQ,CurrencyName,Quetzal,,,,,,,,,,
GBP,CurrencyCode,GBP,CurrencyName,Pound Sterling,,,,,,,,,,
GNF,CurrencyCode,GNF,CurrencyName,Guinea Franc,,,,,,,,,,
GNI,CurrencyCode,GNI,CurrencyName,Guinea Franc (historical),,,,,,,,,,
GNS,CurrencyCode,GNS,CurrencyName,Syli (historical),,,,,,,,,,
GWP,CurrencyCode,GWP,CurrencyName,Guinea-Bissau Peso (historical),,,,,,,,,,
PTE,CurrencyCode,PTE,CurrencyName,Portuguese Escudo (historical),,,,,,,,,,
GYD,CurrencyCode,GYD,CurrencyName,Guyana Dollar,,,,,,,,,,
HTG,CurrencyCode,HTG,CurrencyName,Gourde,,,,,,,,,,
HNL,CurrencyCode,HNL,CurrencyName,Lempira,,,,,,,,,,
HUF,CurrencyCode,HUF,CurrencyName,Forint,,,,,,,,,,
ISJ,CurrencyCode,ISJ,CurrencyName,Iceland Krona,,,,,,,,,,
ISK,CurrencyCode,ISK,CurrencyName,Iceland Krona,,,,,,,,,,
IDR,CurrencyCode,IDR,CurrencyName,Rupiah,,,,,,,,,,
IRR,CurrencyCode,IRR,CurrencyName,Iranian Rial,,,,,,,,,,
IQD,CurrencyCode,IQD,CurrencyName,Iraqi Dinar,,,,,,,,,,
IEP,CurrencyCode,IEP,CurrencyName,Irish Pound (historical),,,,,,,,,,
XSS,CurrencyCode,XSS,CurrencyName,Shilling Sterling (historical),,,,,,,,,,
ILL,CurrencyCode,ILL,CurrencyName,ILL (historical),,,,,,,,,,
ILS,CurrencyCode,ILS,CurrencyName,New Israeli Sheqel,,,,,,,,,,
ILR,CurrencyCode,ILR,CurrencyName,Old Shekel,,,,,,,,,,
ILP,CurrencyCode,ILP,CurrencyName,Pound (historical),,,,,,,,,,
ITL,CurrencyCode,ITL,CurrencyName,Italian Lira (historical),,,,,,,,,,
JPY,CurrencyCode,JPY,CurrencyName,Yen,,,,,,,,,,
JOD,CurrencyCode,JOD,CurrencyName,Jordanian Dinar,,,,,,,,,,
KZT,CurrencyCode,KZT,CurrencyName,Tenge,,,,,,,,,,
KES,CurrencyCode,KES,CurrencyName,Kenyan Shilling,,,,,,,,,,
KWD,CurrencyCode,KWD,CurrencyName,Kuwaiti Dinar,,,,,,,,,,
KGS,CurrencyCode,KGS,CurrencyName,Kyrgyzstani Som,,,,,,,,,,
LAK,CurrencyCode,LAK,CurrencyName,Kip,,,,,,,,,,
LAL,CurrencyCode,LAL,CurrencyName,LAL (historical),,,,,,,,,,
LAO,CurrencyCode,LAO,CurrencyName,LAO (historical),,,,,,,,,,
LAJ,CurrencyCode,LAJ,CurrencyName,Pathet Lao Kip (historical),,,,,,,,,,
LVL,CurrencyCode,LVL,CurrencyName,Latvian Lats,,,,,,,,,,
LVR,CurrencyCode,LVR,CurrencyName,Latvian Ruble (historical),,,,,,,,,,
LBP,CurrencyCode,LBP,CurrencyName,Lebanese Pound,,,,,,,,,,
LSL,CurrencyCode,LSL,CurrencyName,Loti,,,,,,,,,,
LRD,CurrencyCode,LRD,CurrencyName,Liberian dollar,,,,,,,,,,
LYD,CurrencyCode,LYD,CurrencyName,Libyan Dinar,,,,,,,,,,
LYP,CurrencyCode,LYP,CurrencyName,Libyan Pound (historical),,,,,,,,,,
CHF,CurrencyCode,CHF,CurrencyName,Swiss Franc,,,,,,,,,,
LTL,CurrencyCode,LTL,CurrencyName,Euro,,,,,,,,,,
LTT,CurrencyCode,LTT,CurrencyName,Talonas (historical),,,,,,,,,,
LUF,CurrencyCode,LUF,CurrencyName,Luxembourg Franc (historical),,,,,,,,,,
MGA,CurrencyCode,MGA,CurrencyName,Malagasy Ariary,,,,,,,,,,
MWK,CurrencyCode,MWK,CurrencyName,Malawi Kwacha,,,,,,,,,,
MWP,CurrencyCode,MWP,CurrencyName,Malawi Pound (historical),,,,,,,,,,
MYAD,CurrencyCode,MYAD,CurrencyName,Malaysian Dollar (historical),,,,,,,,,,
MYR,CurrencyCode,MYR,CurrencyName,Malaysian Ringgit,,,,,,,,,,
MVQ,CurrencyCode,MVQ,CurrencyName,Maldive Rupee (historical),,,,,,,,,,
MVR,CurrencyCode,MVR,CurrencyName,Rufiyaa,,,,,,,,,,
MLF,CurrencyCode,MLF,CurrencyName,Mali Franc,,,,,,,,,,
MTL,CurrencyCode,MTL,CurrencyName,Maltese Lira (historical),,,,,,,,,,
MRO,CurrencyCode,MRO,CurrencyName,Ouguiya,,,,,,,,,,
MRU,CurrencyCode,MRU,CurrencyName,Ouguiya (historical),,,,,,,,,,
MUR,CurrencyCode,MUR,CurrencyName,Mauritius Rupee,,,,,,,,,,
MXN,CurrencyCode,MXN,CurrencyName,Mexican Peso,,,,,,,,,,
MXP,CurrencyCode,MXP,CurrencyName,Mexican Peso (historical),,,,,,,,,,
MNT,CurrencyCode,MNT,CurrencyName,Tugrik,,,,,,,,,,
MKD,CurrencyCode,MKD,CurrencyName,Denar,,,,,,,,,,
YUM,CurrencyCode,YUM,CurrencyName,New Dinar,,,,,,,,,,
YUD,CurrencyCode,YUD,CurrencyName,New Yugoslavian Dinar (historical),,,,,,,,,,
MAD,CurrencyCode,MAD,CurrencyName,Moroccan Dirham,,,,,,,,,,
MZE,CurrencyCode,MZE,CurrencyName,Mozambique Escudo (historical),,,,,,,,,,
MZM,CurrencyCode,MZM,CurrencyName,Mozambique Metical (historical),,,,,,,,,,
MZN,CurrencyCode,MZN,CurrencyName,Mozambique Metical,,,,,,,,,,
BUK,CurrencyCode,BUK,CurrencyName,Kyat (historical),,,,,,,,,,
MMK,CurrencyCode,MMK,CurrencyName,Kyat,,,,,,,,,,
NAD,CurrencyCode,NAD,CurrencyName,Namibia Dollar,,,,,,,,,,
NPR,CurrencyCode,NPR,CurrencyName,Nepalese Rupee,,,,,,,,,,
NLG,CurrencyCode,NLG,CurrencyName,Netherlands Guilder,,,,,,,,,,
NIC,CurrencyCode,NIC,CurrencyName,Cordoba (historical),,,,,,,,,,
NIO,CurrencyCode,NIO,CurrencyName,Cordoba Oro,,,,,,,,,,
NIG,CurrencyCode,NIG,CurrencyName,Nicaraguan Gold Cordoba (historical),,,,,,,,,,
NGN,CurrencyCode,NGN,CurrencyName,Naira,,,,,,,,,,
NGP,CurrencyCode,NGP,CurrencyName,NGP (historical),,,,,,,,,,
MKN,CurrencyCode,MKN,CurrencyName,MKN,,,,,,,,,,
NOK,CurrencyCode,NOK,CurrencyName,Norwegian Krone,,,,,,,,,,
OMS,CurrencyCode,OMS,CurrencyName,Oman Rial Saidi,,,,,,,,,,
XPGR,CurrencyCode,XPGR,CurrencyName,Persian Gulf Rupee (historical),,,,,,,,,,
OMR,CurrencyCode,OMR,CurrencyName,Rial Omani,,,,,,,,,,
PAB,CurrencyCode,PAB,CurrencyName,Balboa,,,,,,,,,,
PGK,CurrencyCode,PGK,CurrencyName,Kina,,,,,,,,,,
PYG,CurrencyCode,PYG,CurrencyName,Guarani,,,,,,,,,,
PEI,CurrencyCode,PEI,CurrencyName,Inti (historical),,,,,,,,,,
PEN,CurrencyCode,PEN,CurrencyName,Sol,,,,,,,,,,
PES,CurrencyCode,PES,CurrencyName,Sol (historical),,,,,,,,,,
PHP,CurrencyCode,PHP,CurrencyName,Philippine Peso,,,,,,,,,,
PLN,CurrencyCode,PLN,CurrencyName,Zloty,,,,,,,,,,
PLZ,CurrencyCode,PLZ,CurrencyName,Zloty (historical),,,,,,,,,,
QAR,CurrencyCode,QAR,CurrencyName,Qatari Rial,,,,,,,,,,
SAR,CurrencyCode,SAR,CurrencyName,Saudi Riyal,,,,,,,,,,
KRW,CurrencyCode,KRW,CurrencyName,South Korean Won,,,,,,,,,,
MDC,CurrencyCode,MDC,CurrencyName,MDC (historical),,,,,,,,,,
MDR,CurrencyCode,MDR,CurrencyName,MDR (historical),,,,,,,,,,
MDL,CurrencyCode,MDL,CurrencyName,Moldovan Leu,,,,,,,,,,
ROL,CurrencyCode,ROL,CurrencyName,Old Leu (historical),,,,,,,,,,
RON,CurrencyCode,RON,CurrencyName,Romanian Leu,,,,,,,,,,
RUB,CurrencyCode,RUB,CurrencyName,Russian Ruble,,,,,,,,,,
RWF,CurrencyCode,RWF,CurrencyName,Rwanda Franc,,,,,,,,,,
WST,CurrencyCode,WST,CurrencyName,Tala,,,,,,,,,,
STD,CurrencyCode,STD,CurrencyName,Dobra,,,,,,,,,,
STN,CurrencyCode,STN,CurrencyName,Dobra (historical),,,,,,,,,,
STE,CurrencyCode,STE,CurrencyName,STE,,,,,,,,,,
CSD,CurrencyCode,CSD,CurrencyName,Serbian Dinar (historical),,,,,,,,,,
RSD,CurrencyCode,RSD,CurrencyName,Serbian Dinar,,,,,,,,,,
YUF,CurrencyCode,YUF,CurrencyName,YUF (historical),,,,,,,,,,
SCR,CurrencyCode,SCR,CurrencyName,Seychelles Rupee,,,,,,,,,,
SLL,CurrencyCode,SLL,CurrencyName,Leone,,,,,,,,,,
SGD,CurrencyCode,SGD,CurrencyName,Singapore Dollar,,,,,,,,,,
SKK,CurrencyCode,SKK,CurrencyName,Slovak Koruna (historical),,,,,,,,,,
SIB,CurrencyCode,SIB,CurrencyName,Slovenia Tolar Bons (historical),,,,,,,,,,
SIT,CurrencyCode,SIT,CurrencyName,Tolar (historical),,,,,,,,,,
SBD,CurrencyCode,SBD,CurrencyName,Solomon Islands Dollar,,,,,,,,,,
SOS,CurrencyCode,SOS,CurrencyName,Somali Shilling,,,,,,,,,,
SSP,CurrencyCode,SSP,CurrencyName,South Sudanese Pound,,,,,,,,,,
SDD,CurrencyCode,SDD,CurrencyName,Sudanese Dinar (historical),,,,,,,,,,
SDG,CurrencyCode,SDG,CurrencyName,Sudanese Pound,,,,,,,,,,
SDR,CurrencyCode,SDR,CurrencyName,Special Drawing Rights (SDR),,,,,,,,,,
ESP,CurrencyCode,ESP,CurrencyName,Spanish Peseta (historical),,,,,,,,,,
LNR,CurrencyCode,LNR,CurrencyName,Ceylon Rupee (historical),,,,,,,,,,
LKR,CurrencyCode,LKR,CurrencyName,Sri Lanka Rupee,,,,,,,,,,
SDP,CurrencyCode,SDP,CurrencyName,Sudanese Pound (historical),,,,,,,,,,
SRD,CurrencyCode,SRD,CurrencyName,Surinam Dollar,,,,,,,,,,
SRG,CurrencyCode,SRG,CurrencyName,Surinam Guilder (historical),,,,,,,,,,
SEK,CurrencyCode,SEK,CurrencyName,Swedish Krona,,,,,,,,,,
SYP,CurrencyCode,SYP,CurrencyName,Syrian Pound,,,,,,,,,,
TJS,CurrencyCode,TJS,CurrencyName,Somoni,,,,,,,,,,
TJR,CurrencyCode,TJR,CurrencyName,Tajik Ruble (historical),,,,,,,,,,
THB,CurrencyCode,THB,CurrencyName,Baht,,,,,,,,,,
TPE,CurrencyCode,TPE,CurrencyName,Timor Escudo (historical),,,,,,,,,,
TOP,CurrencyCode,TOP,CurrencyName,Pa’anga,,,,,,,,,,
TTD,CurrencyCode,TTD,CurrencyName,Trinidad and Tobago Dollar,,,,,,,,,,
TND,CurrencyCode,TND,CurrencyName,Tunisian Dinar,,,,,,,,,,
TRL,CurrencyCode,TRL,CurrencyName,Old Turkish Lira (historical),,,,,,,,,,
TRY,CurrencyCode,TRY,CurrencyName,Turkish Lira,,,,,,,,,,
TMM,CurrencyCode,TMM,CurrencyName,Turkmenistan Manat (historical),,,,,,,,,,
TMT,CurrencyCode,TMT,CurrencyName,Turkmenistan New Manat,,,,,,,,,,
TVD,CurrencyCode,TVD,CurrencyName,TVD (historical),,,,,,,,,,
UGX,CurrencyCode,UGX,CurrencyName,Uganda Shilling,,,,,,,,,,
UGS,CurrencyCode,UGS,CurrencyName,Uganda Shilling (historical),,,,,,,,,,
UAH,CurrencyCode,UAH,CurrencyName,Hryvnia,,,,,,,,,,
UAK,CurrencyCode,UAK,CurrencyName,Karbovanet (historical),,,,,,,,,,
AED,CurrencyCode,AED,CurrencyName,UAE Dirham,,,,,,,,,,
TZS,CurrencyCode,TZS,CurrencyName,Tanzanian Shilling,,,,,,,,,,
UYN,CurrencyCode,UYN,CurrencyName,Old Uruguay Peso (historical),,,,,,,,,,
UYU,CurrencyCode,UYU,CurrencyName,Uruguayan Peso,,,,,,,,,,
UYF,CurrencyCode,UYF,CurrencyName,Uruguay Peso Fuerte (historical),,,,,,,,,,
UYP,CurrencyCode,UYP,CurrencyName,Uruguayan Peso (historical),,,,,,,,,,
UZS,CurrencyCode,UZS,CurrencyName,Uzbekistan Sum,,,,,,,,,,
UZC,CurrencyCode,UZC,CurrencyName,UZC,,,,,,,,,,
NHF,CurrencyCode,NHF,CurrencyName,New Hebrides CFP Franc (historical),,,,,,,,,,
VUV,CurrencyCode,VUV,CurrencyName,Vatu,,,,,,,,,,
VEB,CurrencyCode,VEB,CurrencyName,Bolivar (historical),,,,,,,,,,
VEF,CurrencyCode,VEF,CurrencyName,Bolívar Fuerte,,,,,,,,,,
VES,CurrencyCode,VES,CurrencyName,Bolívar Soberano (historical),,,,,,,,,,
VND,CurrencyCode,VND,CurrencyName,Dong,,,,,,,,,,
VDN,CurrencyCode,VDN,CurrencyName,VDN,,,,,,,,,,
VNN,CurrencyCode,VNN,CurrencyName,Vietnamese New Dong (historical),,,,,,,,,,
YDD,CurrencyCode,YDD,CurrencyName,Yemeni Dinar (historical),,,,,,,,,,
YER,CurrencyCode,YER,CurrencyName,Yemeni Rial,,,,,,,,,,
ZMK,CurrencyCode,ZMK,CurrencyName,Zambian Kwacha,,,,,,,,,,
ZMW,CurrencyCode,ZMW,CurrencyName,Zambian Kwacha (historical),,,,,,,,,,
ZWC,CurrencyCode,ZWC,CurrencyName,Rhodesian Dollar (historical),,,,,,,,,,
ZWN,CurrencyCode,ZWN,CurrencyName,Second Zimbabwe Dollar (historical),,,,,,,,,,
ZWL,CurrencyCode,ZWL,CurrencyName,Zimbabwe Dollar,,,,,,,,,,
ZWR,CurrencyCode,ZWR,CurrencyName,Zimbabwe Dollar (historical),,,,,,,,,,
dcid:ZWD,CurrencyCode,dcid:ZWD,CurrencyName,Zimbabwe Dollar (old) (historical),,,,,,,,,,
