"StatVar","Units","observationPeriods","MinDate","ScalingFactors","MeasurementMethods","NumPlaces"
"worldBank/GC_TAX_OTHR_RV_ZS","[Percent]","[P1Y]","1972","[]","[WorldBank_WDI_CSV]","161"
"worldBank/UIS_REPP_1_G6","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","141"
"worldBank/SL_UEM_1524_FE_NE_ZS","[Percent]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","209"
"worldBank/SP_POP_0004_FE","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","221"
"worldBank/SP_POP_TOTL_FE_ZS","[Percent]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","221"
"worldBank/UIS_REPR_1_G2_F","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","184"
"worldBank/PRJ_ATT_60UP_2_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/UIS_FOSEP_56_F700","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","153"
"worldBank/BAR_PRM_CMPT_5054_FE_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/PRJ_ATT_60UP_2_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/HD_HCI_HLOS_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","169"
"worldBank/SH_DTH_NCOM_60UP_FE_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","189"
"worldBank/SP_DYN_CDRT_IN","[USDollar]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","221"
"worldBank/PRJ_POP_1519_3_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/AG_LND_ARBL_ZS","[Percent]","[P1Y]","1961","[]","[WorldBank_WDI_CSV]","210"
"worldBank/BAR_PRM_CMPT_2529_FE_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/BX_GSR_MRCH_CD","[USDollar]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","204"
"worldBank/EN_POP_EL5M_UR_ZS","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","219"
"worldBank/FM_AST_DOMO_ZG_M3","[]","[P1Y]","2002","[]","[WorldBank_WDI_CSV]","151"
"worldBank/RESLV_ISV_CPI_04_XD_DB1519","[]","[P1Y]","2003","[]","[WorldBank_WDI_CSV]","213"
"worldBank/NV_AGR_TOTL_KD_ZG","[]","[P1Y]","1961","[]","[WorldBank_WDI_CSV]","199"
"worldBank/BI_EMP_TOTL_PB_FE_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","134"
"worldBank/BAR_SEC_SCHL_1519","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/EN_CLC_CSTP_ZS","[]","[P1Y]","2012","[]","[WorldBank_WDI_CSV]","160"
"worldBank/PRJ_ATT_80UP_1_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/PRJ_POP_2024_2_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/PRJ_ATT_80UP_1_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/PRJ_POP_2024_2_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/UIS_SAP_23_GPV_G1_M","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","209"
"worldBank/SH_DTH_COMM_0004_FE_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","189"
"worldBank/SH_STA_ODFC_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","218"
"worldBank/BAR_POP_5054_FE","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/TX_VAL_MRCH_HI_ZS","[Percent]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","209"
"worldBank/SL_TLF_0714_ZS","[Percent]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","100"
"worldBank/BAR_PRM_SCHL_4044","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/UIS_SAP_23_GPV_G1_F","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","209"
"worldBank/SE_TER_GRAD_FE_SV_ZS","[Percent]","[P1Y]","1998","[]","[WorldBank_WDI_CSV]","142"
"worldBank/IC_REG_COST_PC_MA_ZS","[Percent]","[P1Y]","2003","[]","[WorldBank_WDI_CSV]","194"
"worldBank/SH_DTH_COMM_60UP_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","189"
"worldBank/PRJ_ATT_ALL_3_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/1_1_TOTAL_FINAL_ENERGY_CONSUM","[Terajoule]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","233"
"worldBank/BAR_TER_CMPT_6064_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/TT_PRI_MRCH_XD_WD","[]","[P1Y]","1980","[]","[WorldBank_WDI_CSV]","207"
"worldBank/SL_TLF_CACT_ZS","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","191"
"worldBank/VC_BTL_DETH","[]","[P1Y]","1989","[]","[WorldBank_WDI_CSV]","111"
"worldBank/PRJ_ATT_2024_1_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/UIS_XGOVEXP_IMF_23","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","164"
"worldBank/AG_LND_EL5M_RU_ZS","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","219"
"worldBank/IC_IMP_CSDC_CD","[USDollar]","[P1Y]","2014","[]","[WorldBank_WDI_CSV]","194"
"worldBank/UIS_E_2_GPV","[]","[P1Y]","1997","[]","[WorldBank_EdStats_CSV]","227"
"worldBank/NV_MNF_MTRN_ZS_UN","[Percent]","[P1Y]","1963","[]","[WorldBank_WDI_CSV]","156"
"worldBank/UIS_GTVP_3_V","[]","[P1Y]","1997","[]","[WorldBank_WDI_CSV]","192"
"worldBank/PRJ_ATT_ALL_3_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/SE_ADT_1524_LT_FE_ZS","[Percent]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","176"
"worldBank/SH_DTH_INJR_0004_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","189"
"worldBank/SP_UWT_TFRT","[]","[P1Y]","1984","[]","[WorldBank_WDI_CSV]","155"
"worldBank/UIS_T_23_GPV","[]","[P1Y]","1999","[]","[WorldBank_EdStats_CSV]","178"
"worldBank/UIS_XSPENDP_2_FDPUB_FNCAP","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","145"
"worldBank/PRJ_ATT_60UP_NED_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/PRJ_ATT_2529_2_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/GC_NFN_TOTL_GD_ZS","[Percent]","[P1Y]","1972","[]","[WorldBank_WDI_CSV]","163"
"worldBank/BN_GSR_MRCH_CD","[USDollar]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","200"
"worldBank/PRJ_ATT_2024_1_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/UIS_XSPENDP_0_FDPUB_FNCAP","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","154"
"worldBank/PRJ_ATT_2529_2_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/PRJ_ATT_60UP_NED_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/AG_LND_FRST_ZS","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","218"
"worldBank/PRJ_POP_ALL_2_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/EN_ATM_PM25_MC_T1_ZS","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","194"
"worldBank/SH_STA_OWGH_ZS","[Percent]","[P1Y]","1983","[]","[WorldBank_WDI_CSV]","165"
"worldBank/FI_RES_TOTL_MO","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","183"
"worldBank/XGDP_56_FSGOV_FDINSTADM_FFD","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","164"
"worldBank/NV_MNF_OTHR_ZS_UN","[Percent]","[P1Y]","1963","[]","[WorldBank_WDI_CSV]","164"
"worldBank/NY_GDP_PCAP_KN","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","214"
"worldBank/NY_GNP_PCAP_KD","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","207"
"worldBank/PRJ_POP_ALL_2_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/NY_GNP_PCAP_KN","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","173"
"worldBank/UIS_EA_6_AG25T99_F","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","162"
"worldBank/SP_DYN_TO65_FE_ZS","[Percent]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","221"
"worldBank/RESLV_ISV_DURS_YR","[]","[P1Y]","2003","[]","[WorldBank_WDI_CSV]","190"
"worldBank/BAR_NOED_7074_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/UIS_EA_6_AG25T99_M","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","162"
"worldBank/BI_PWK_PUBS_HS_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","36"
"worldBank/BI_PWK_AGES_PV_SM","[]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","133"
"worldBank/UIS_E_2_GPV_G4_T","[]","[P1Y]","1999","[]","[WorldBank_EdStats_CSV]","85"
"worldBank/DC_DAC_GRCL_CD","[USDollar]","[P1Y]","1996","[]","[WorldBank_WDI_CSV]","162"
"worldBank/UIS_TE_100000_56_M","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","191"
"worldBank/EN_POP_EL5M_ZS","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","219"
"worldBank/UIS_FEP_56_F400","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","151"
"worldBank/BI_PWK_PUBS_FE_Q2_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","114"
"worldBank/BAR_PRM_ICMP_2024_FE_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/DT_TDS_DECT_CD","[USDollar]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","122"
"worldBank/NE_CON_PRVT_PC_KD_ZG","[]","[P1Y]","1961","[]","[WorldBank_WDI_CSV]","175"
"worldBank/UIS_E_2_GPV_G4_F","[]","[P1Y]","1999","[]","[WorldBank_EdStats_CSV]","85"
"worldBank/BAR_POP_2024","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/SL_TLF_ACTI_ZS","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","191"
"worldBank/UIS_XGDP_56_FSGOV","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","184"
"worldBank/UIS_FEP_5_B","[]","[P1Y]","1997","[]","[WorldBank_EdStats_CSV]","192"
"worldBank/NY_GDP_DEFL_KD_ZG","[]","[P1Y]","1961","[]","[WorldBank_WDI_CSV]","217"
"worldBank/SP_POP_AG05_FE_IN","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","217"
"worldBank/SP_POP_7074_MA","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","221"
"worldBank/BAR_TER_CMPT_2529_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/NY_GDP_PCAP_KD","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","217"
"worldBank/PRJ_ATT_25UP_3_FE","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/BAR_TER_ICMP_5559_FE_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/BAR_TER_SCHL_25UP","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/UIS_OAPP_1_M","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","168"
"worldBank/UIS_XGOVEXP_IMF_56","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","167"
"worldBank/PRJ_ATT_2039_3_FE","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/1_3_ACCESS_ELECTRICITY_URBAN","[]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","217"
"worldBank/SE_PRM_NENR_MA","[]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","196"
"worldBank/UIS_E_02_PU_F","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","182"
"worldBank/NY_GNP_MKTP_KD","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","207"
"worldBank/SP_POP_0014_MA_IN","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","221"
"worldBank/SH_HIV_KNOW_FE_ZS","[Percent]","[P1Y]","1996","[]","[WorldBank_WDI_CSV]","118"
"worldBank/SH_STA_WAST_MA_ZS","[Percent]","[P1Y]","1986","[]","[WorldBank_WDI_CSV]","160"
"worldBank/NY_GNP_MKTP_KN","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","173"
"worldBank/PRJ_ATT_4064_1_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/BI_PWK_PUBS_TN_FE_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","98"
"worldBank/UIS_OAPP_1_F","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","168"
"worldBank/PRJ_MYS_2529_FE","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/NV_FSM_TOTL_CN","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","73"
"worldBank/GC_TAX_YPKG_RV_ZS","[Percent]","[P1Y]","1972","[]","[WorldBank_WDI_CSV]","163"
"worldBank/per_lm_alllm_cov_q1_tot","[]","[P1Y]","2002","[]","[WorldBank_WDI_CSV]","68"
"worldBank/UIS_GER_0_GPI","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","217"
"worldBank/PRJ_ATT_4064_1_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/PRJ_ATT_60UP_2_FE","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/UIS_FGP_5_B","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","141"
"worldBank/DC_DAC_IRLL_CD","[USDollar]","[P1Y]","1974","[]","[WorldBank_WDI_CSV]","156"
"worldBank/UIS_GTVP_3_GPV_F","[]","[P1Y]","1997","[]","[WorldBank_EdStats_CSV]","224"
"worldBank/UIS_REPP_1_G5_M","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","158"
"worldBank/BAR_PRM_ICMP_7074_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/BAR_TER_CMPT_3539_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/UIS_REPR_2_GPV_G1_F","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","185"
"worldBank/UIS_UAEP_1_F","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","176"
"worldBank/SH_HIV_INCD_FE_P3","[]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","141"
"worldBank/UIS_GTVP_3_GPV_M","[]","[P1Y]","1997","[]","[WorldBank_EdStats_CSV]","224"
"worldBank/UIS_UAEP_1_M","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","175"
"worldBank/BAR_POP_5559","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/EN_ATM_NOXE_ZG","[]","[P1Y]","1991","[]","[WorldBank_WDI_CSV]","209"
"worldBank/GC_REV_SOCL_CN","[]","[P1Y]","1972","[]","[WorldBank_WDI_CSV]","121"
"worldBank/SH_ANM_NPRG_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","196"
"worldBank/GE_PER_RNK_LOWER","[]","[P1Y]","1996","[]","[WorldBank_WDI_CSV]","205"
"worldBank/BAR_NOED_4549_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/HD_HCI_MORT_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","174"
"worldBank/UIS_R_1_G2_F","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","193"
"worldBank/UIS_TRTP_0","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","124"
"worldBank/UIS_REPP_2_GPV_G4_M","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","152"
"worldBank/UIS_REPP_1_G5_F","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","158"
"worldBank/DC_DAC_CHEL_CD","[USDollar]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","169"
"worldBank/UIS_TRTP_2","[]","[P1Y]","1998","[]","[WorldBank_WDI_CSV]","114"
