sdg,dcid
11,WesternAfrica
14,EasternAfrica
18,SouthernAfrica
17,MiddleAfrica
142,asia
62,undata-geo/G00116000
143,CentralAsia
34,SouthernAsia
145,WesternAsia
99046,undata-geo/G00121000
753,undata-geo/G00122000
30,EasternAsia
35,SouthEasternAsia
99044,SouthEasternAsia
513,undata-geo/G00126000
150,europe
99045,europe
151,EasternEurope
154,NorthernEurope
155,WesternEurope
908,WesternEurope
39,SouthernEurope
19,undata-geo/G00134000
99043,undata-geo/G00134000
906,northamerica
21,undata-geo/G00136000
419,LatinAmericaAndCaribbean
420,LatinAmerica
29,Caribbean
13,CentralAmerica
5,southamerica
9,oceania
53,AustraliaAndNewZealand
543,undata-geo/G00145000
54,Melanesia
57,Micronesia
61,Polynesia
905,undata-geo/G00151000
904,undata-geo/G00152000
902,undata-geo/G00154000
99047,undata-geo/G00160000
903,undata-geo/G00162000
99029,undata-geo/G00202010
99024,undata-geo/G00202020
99023,undata-geo/G00202030
99026,undata-geo/G00202040
99030,undata-geo/G00202050
99028,undata-geo/G00202060
99025,undata-geo/G00202070
99027,undata-geo/G00202080
99032,undata-geo/G00202090
99018,undata-geo/G00202100
99019,undata-geo/G00202110
99020,undata-geo/G00202120
99031,undata-geo/G00202130
99022,undata-geo/G00202140
99021,undata-geo/G00202150
514,undata-geo/G00401000
515,undata-geo/G00402000
432,undata-geo/G00403000
923,undata-geo/G00403100
924,undata-geo/G00403200
925,undata-geo/G00403300
926,undata-geo/G00403500
199,undata-geo/G00404000
927,undata-geo/G00404100
928,undata-geo/G00404200
929,undata-geo/G00404300
930,undata-geo/G00404400
722,undata-geo/G00405000
931,undata-geo/G00405100
932,undata-geo/G00405200
933,undata-geo/G00405300
934,undata-geo/G00405400
198,undata-geo/G00406000
636,undata-geo/G00407920
487,undata-geo/G00407930
527,undata-geo/G00407960
593,undata-geo/G00500200
97,EuropeanUnion
918,undata-geo/G00500360
938,undata-geo/G00600000
917,undata-geo/G00600110
919,undata-geo/G00600120
889,undata-geo/G00600700
915,undata-geo/G00600710
916,undata-geo/G00600720
135,undata-geo/G00800100
127,undata-geo/G00800120
223,undata-geo/G00800150
518,undata-geo/G00800160
99041,undata-geo/G00800240
485,undata-geo/G00800370
369,undata-geo/G00800410
370,undata-geo/G00800420
746,undata-geo/G00800480
738,undata-geo/G00800500
896,undata-geo/G00900020
99033,undata-geo/G00900050
99034,undata-geo/G00900060
909,undata-geo/G99999999
921,undata-geo/G99999999
922,undata-geo/G99999999
952,undata-geo/G99999999
99035,undata-geo/G99999999
99036,undata-geo/G99999999
99037,undata-geo/G99999999
99038,undata-geo/G99999999
99039,undata-geo/G99999999
99040,undata-geo/G99999999
99049,undata-geo/G99999999
99050,undata-geo/G99999999
001_NOCITI,undata-geo/C00100000
002_NOCITI,undata-geo/C00200000
AF_NOCITI,undata-geo/C00300000
AF_CHARIKAR,wikidataId/Q944395
AF_FARAH,wikidataId/Q593156
AF_HERAT,wikidataId/Q45313
AF_JALALABAD,wikidataId/Q183303
AF_KABUL,wikidataId/Q5838
AF_KANDAHAR,wikidataId/Q45604
AF_KHAN_ABAD,wikidataId/Q1247205
AF_LASHKARGAH,wikidataId/Q476800
AF_MAZAR_E_SHARIF,wikidataId/Q130469
AF_PUL_E_KHUMRI,wikidataId/Q477148
005_NOCITI,undata-geo/C00400000
AL_NOCITI,undata-geo/C00500000
AL_TIRANE,wikidataId/Q19689
AL_VLORE,wikidataId/Q159610
009_NOCITI,undata-geo/C00600000
AQ_NOCITI,undata-geo/C00700000
011_NOCITI,undata-geo/C00800000
DZ_NOCITI,undata-geo/C00900000
DZ_ADRAR,wikidataId/Q251181
DZ_ANNABA,wikidataId/Q45942
DZ_BATNA,wikidataId/Q338844
DZ_BLIDA,wikidataId/Q216990
DZ_CHLEF,wikidataId/Q849561
DZ_CONSTANTINE,wikidataId/Q187346
DZ_DJELFA,wikidataId/Q2794758
DZ_EL_DJAZAIR,wikidataId/Q3561
DZ_EL_KHROUB,wikidataId/Q391129
DZ_KHEMIS_MILIANA,wikidataId/Q954285
DZ_MILA,wikidataId/Q335676
DZ_MSILA,wikidataId/Q402825
DZ_ORAN,wikidataId/Q131818
DZ_TAMANRASSET,wikidataId/Q205792
DZ_TEBESSA,wikidataId/Q984575
DZ_TIARET,wikidataId/Q565568
DZ_TOLGA,wikidataId/Q2280394
013_NOCITI,undata-geo/C01000000
014_NOCITI,undata-geo/C01100000
015_NOCITI,undata-geo/C01200000
AS_NOCITI,undata-geo/C01300000
017_NOCITI,undata-geo/C01400000
018_NOCITI,undata-geo/C01500000
019_NOCITI,undata-geo/C01600000
AD_NOCITI,undata-geo/C01700000
021_NOCITI,undata-geo/C01800000
AO_NOCITI,undata-geo/C01900000
AO_LUANDA,wikidataId/Q3897
AO_WINDHOEK,undata-geo/C01900002
AG_NOCITI,undata-geo/C02000000
AG_ANTIGUA,undata-geo/C02000001
AG_SAINT_JOHNS,wikidataId/Q36262
029_NOCITI,undata-geo/C02100000
030_NOCITI,undata-geo/C02200000
AZ_NOCITI,undata-geo/C02300000
AZ_BAKU,undata-geo/C02300001
AZ_GANJA,undata-geo/C02300002
AZ_LANKARAN,undata-geo/C02300003
AZ_MINGACHEVIR,undata-geo/C02300004
AZ_NAFTALAN,wikidataId/Q21979624
AZ_SHAKI,undata-geo/C02300006
AZ_SHIRVAN,undata-geo/C02300007
AZ_SUMGAYIT,undata-geo/C02300008
AZ_YEVLAKH,undata-geo/C02300009
AR_NOCITI,undata-geo/C02400000
AR_BAHIA_BLANCA,wikidataId/Q54108
AR_BUENOS_AIRES,wikidataId/Q1486
AR_CATAMARCA,wikidataId/Q44162
AR_CLORINDA,wikidataId/Q106063
AR_COMODORO_RIVADAVIA,wikidataId/Q221921
AR_CONCORDIA,wikidataId/Q52578
AR_CORDOBA,wikidataId/Q44210
AR_FORMOSA,wikidataId/Q44214
AR_LA_MATANZA,wikidataId/Q1308616
AR_LA_PLATA,wikidataId/Q44059
AR_MENDOZA,wikidataId/Q44237
AR_NEUQUEN,wikidataId/Q44239
AR_OBERA,wikidataId/Q55377
AR_PARANA,wikidataId/Q44213
AR_RIO_CUARTO,wikidataId/Q983451
AR_RIO_GALLEGOS,wikidataId/Q44242
AR_ROSARIO,wikidataId/Q52535
AR_SAN_JUAN,wikidataId/Q44241
AR_SAN_MARTIN,wikidataId/Q781245
AR_SAN_MIGUEL_DE_TUCUMAN,wikidataId/Q44255
AR_SAN_PEDRO_DE_JUJUY,wikidataId/Q1020263
AR_SAN_SALVADOR_DE_JUJUY,wikidataId/Q44217
AR_SANTIAGO_DEL_ESTERO,wikidataId/Q1494067
AR_VILLA_MERCEDES,wikidataId/Q1756745
AR_ZARATE,wikidataId/Q246956
034_NOCITI,undata-geo/C02500000
035_NOCITI,undata-geo/C02600000
AU_NOCITI,undata-geo/C02700000
AU_ADELAIDE,wikidataId/Q5112
AU_ALICE_SPRINGS,wikidataId/Q17872
AU_BRISBANE,wikidataId/Q34932
AU_BUNBURY,wikidataId/Q256711
AU_CAIRNS,wikidataId/Q189133
AU_CANBERRA,wikidataId/Q3114
AU_CENTRAL_COAST,wikidataId/Q2944411
AU_CESSNOCK,wikidataId/Q606357
AU_DARWIN,wikidataId/Q11568
AU_GEELONG,wikidataId/Q231765
AU_GOLD_COAST,wikidataId/Q140075
AU_HOBART,wikidataId/Q40191
AU_KINGAROY,wikidataId/Q605972
AU_LAUNCESTON,wikidataId/Q339527
AU_MELBOURNE,wikidataId/Q3141
AU_MUSWELLBROOK,wikidataId/Q1008383
AU_NEWCASTLE,wikidataId/Q57278
AU_PERTH,wikidataId/Q3183
AU_SHEPPARTON,wikidataId/Q707030
AU_SUNSHINE_COAST,undata-geo/C02700020
AU_SYDNEY,wikidataId/Q1094194
AU_WOLLONGONG,wikidataId/Q187861
039_NOCITI,undata-geo/C02800000
AT_NOCITI,undata-geo/C02900000
AT_BREGENZ,wikidataId/Q1737
AT_GRAZ,wikidataId/Q13298
AT_INNSBRUCK,nuts/AT332
AT_KLAGENFURT_AM_WORTHERSEE,nuts/AT211
AT_LINZ,wikidataId/Q41329
AT_SALZBURG,wikidataId/Q34713
AT_WIEN,nuts/AT13
BS_NOCITI,undata-geo/C03000000
BS_NASSAU,wikidataId/Q2467
BH_NOCITI,undata-geo/C03100000
BH_AL_MANAMAH,wikidataId/Q3882
BH_CAPITAL_GOVERNORATE,wikidataId/Q528953
BH_MUHARRAQ_GOVERNORATE,wikidataId/Q375630
BH_NORTHERN_GOVERNORATE,wikidataId/Q840445
BH_SOUTHERN_GOVERNORATE,wikidataId/Q838532
BD_NOCITI,undata-geo/C03200000
BD_BARISAL,wikidataId/Q747840
BD_BOGRA,wikidataId/Q1918837
BD_CHITTAGONG,wikidataId/Q376749
BD_COMILLA,wikidataId/Q1006296
BD_DHAKA,wikidataId/Q1354
BD_DINAJPUR,wikidataId/Q4161769
BD_GAZIPUR,wikidataId/Q2460416
BD_GODAGARI,undata-geo/C03200008
BD_JAMALPUR,wikidataId/Q4159797
BD_JESSORE,wikidataId/Q1688300
BD_KHULNA,wikidataId/Q243325
BD_MYMENSINGH,undata-geo/C03200012
BD_PATUAKHALI,wikidataId/Q4347123
BD_RAJSHAHI,wikidataId/Q322155
BD_RANGPUR,wikidataId/Q994514
BD_SAIDPUR,wikidataId/Q3347049
BD_SYLHET,wikidataId/Q466221
AM_NOCITI,undata-geo/C03300000
AM_YEREVAN,wikidataId/Q1953
BB_NOCITI,undata-geo/C03400000
BB_BRIDGETOWN,wikidataId/Q36168
053_NOCITI,undata-geo/C03500000
054_NOCITI,undata-geo/C03600000
BE_NOCITI,undata-geo/C03700000
BE_ANDERLECHT,wikidataId/Q12886
BE_ANTWERPEN,wikidataId/Q12892
BE_AUDERGHEM,wikidataId/Q272228
BE_BERCHEM_SAINTE_AGATHE,wikidataId/Q272272
BE_BRUGGE,wikidataId/Q12994
BE_BRUXELLES,wikidataId/Q239
BE_CHARLEROI,wikidataId/Q81046
BE_ETTERBEEK,wikidataId/Q192859
BE_EVERE,wikidataId/Q321718
BE_FOREST,wikidataId/Q72946
BE_GANSHOREN,wikidataId/Q366552
BE_GENT,wikidataId/Q1296
BE_IXELLES,wikidataId/Q208713
BE_JETTE,wikidataId/Q241918
BE_KAPELLEN_EKEREN,wikidataId/Q1797837
BE_KOEKELBERG,wikidataId/Q219244
BE_LA_LOUVIERE,wikidataId/Q211572
BE_LEUVEN,wikidataId/Q118958
BE_LIEGE,wikidataId/Q3992
BE_MECHELEN,wikidataId/Q162022
BE_MOLENBEEK_SAINT_JEAN,wikidataId/Q180775
BE_NAMUR,wikidataId/Q134121
BE_OOSTENDE,wikidataId/Q12996
BE_QUAREGNON_FRAMERIES,wikidataId/Q538735
BE_SAINT_GILLES,wikidataId/Q237674
BE_SAINT_JOSSE_TEN_NOODE,wikidataId/Q272243
BE_SCHAERBEEK,wikidataId/Q12887
BE_UCCLE,wikidataId/Q203312
BE_VERVIERS_DISON,wikidataId/Q682105
BE_WATERMAEL_BOITSFORT,wikidataId/Q272262
BE_WOLUWE_SAINT_LAMBERT,wikidataId/Q211764
BE_WOLUWE_SAINT_PIERRE,wikidataId/Q242393
057_NOCITI,undata-geo/C03800000
BM_NOCITI,undata-geo/C03900000
061_NOCITI,undata-geo/C04000000
BT_NOCITI,undata-geo/C04100000
BT_PHUNTSHOLING,wikidataId/Q856162
BT_THIMPHU,wikidataId/Q9270
BO_NOCITI,undata-geo/C04200000
BO_COCHABAMBA,wikidataId/Q183124
BO_LA_PAZ,wikidataId/Q1491
BO_SUCRE,wikidataId/Q2907
BA_NOCITI,undata-geo/C04300000
BA_BANJA_LUKA,wikidataId/Q131127
BA_SARAJEVO,wikidataId/Q11194
BA_TUZLA,wikidataId/Q174684
BA_ZENICA,wikidataId/Q184046
BW_NOCITI,undata-geo/C04400000
BW_FRANCISTOWN,wikidataId/Q165422
BW_GABORONE,wikidataId/Q3919
BV_NOCITI,undata-geo/C04500000
BR_NOCITI,undata-geo/C04600000
BR_APARECIDA_DE_GOIANIA,wikidataId/Q459711
BR_ARAXA,wikidataId/Q586057
BR_BARRETOS,wikidataId/Q1637488
BR_BELEM,wikidataId/Q12829733
BR_BELO_HORIZONTE,wikidataId/Q42800
BR_BRASILIA,wikidataId/Q2844
BR_CAMPINAS,wikidataId/Q171617
BR_CIGRES,undata-geo/C04600008
BR_CRICIUMA,wikidataId/Q1439157
BR_CUIABA,wikidataId/Q170762
BR_CURITIBA,wikidataId/Q4361
BR_DIVINOPOLIS,wikidataId/Q926606
BR_FLORIANOPOLIS,undata-geo/C04600013
BR_GUARAPARI,wikidataId/Q267439
BR_ILHEUS,wikidataId/Q373705
BR_INDAIATUBA,wikidataId/Q616650
BR_ITUIUTABA,wikidataId/Q1756328
BR_JEQUIE,wikidataId/Q630203
BR_LIMEIRA,wikidataId/Q841241
BR_MACAPA,wikidataId/Q180215
BR_MONTES_CLAROS,wikidataId/Q651906
BR_NOVO_GAMA,wikidataId/Q986754
BR_PALMAS,wikidataId/Q178993
BR_PARAUAPEBAS,wikidataId/Q1806100
BR_PASSOS,wikidataId/Q985579
BR_PORTO_ALEGRE,wikidataId/Q40269
BR_RECIFE,wikidataId/Q48344
BR_RIBEIRAO_PRETO,wikidataId/Q188892
BR_RIO_DE_JANEIRO,wikidataId/Q41428
BR_SALVADOR,wikidataId/Q36947
BR_SANTA_CRUZ_DO_CAPIBARIBE,wikidataId/Q2082237
BR_SANTANA,wikidataId/Q2105236
BR_SAO_CARLOS,wikidataId/Q1815617
BR_SAO_GONCALO,wikidataId/Q83114
BR_SAO_PAULO,wikidataId/Q174
BR_TATUI,wikidataId/Q1795613
BR_TEIXEIRA_DE_FREITAS,wikidataId/Q282335
BR_UMUARAMA,wikidataId/Q593948
BR_VITORIA_DA_CONQUISTA,wikidataId/Q22062839
BZ_NOCITI,undata-geo/C04700000
BZ_BELMOPAN,wikidataId/Q3043
BZ_SAN_PEDRO,wikidataId/Q677300
IO_NOCITI,undata-geo/C04800000
SB_NOCITI,undata-geo/C04900000
SB_HONIARA,wikidataId/Q40921
VG_NOCITI,undata-geo/C05000000
BN_NOCITI,undata-geo/C05100000
BN_BANDAR_SERI_BEGAWAN,wikidataId/Q9279
BG_NOCITI,undata-geo/C05200000
BG_BURGAS,wikidataId/Q6509
BG_DOBRIC,wikidataId/Q168668
BG_MONTANA,wikidataId/Q220121
BG_PLEVEN,wikidataId/Q165420
BG_PLOVDIV,wikidataId/Q459
BG_RUSE,wikidataId/Q160173
BG_SOFIJA,nuts/SOF46
BG_STARA_ZAGORA,wikidataId/Q170415
BG_SUMEN,wikidataId/Q181830
BG_VARNA,wikidataId/Q6506
BG_VELIKO_TARNOVO,wikidataId/Q173474
BG_YAMBOL,wikidataId/Q186569
MM_NOCITI,undata-geo/C05300000
MM_AUNGLAN,undata-geo/C05300001
MM_BAGO,wikidataId/Q800124
MM_KALE,wikidataId/Q3129405
MM_LASHIO,wikidataId/Q1209397
MM_LOIKAW,wikidataId/Q1017971
MM_MANDALAY,wikidataId/Q185518
MM_MAWLAMYINE,wikidataId/Q685941
MM_MYEIK,wikidataId/Q1018163
MM_MYITKYINA,wikidataId/Q1062370
MM_NAYPYITAW,wikidataId/Q833073
MM_PATHEIN,wikidataId/Q870103
MM_TACHILEIK,wikidataId/Q1018494
MM_TAUNGGYI,wikidataId/Q1075566
MM_YANGON,wikidataId/Q37995
BI_NOCITI,undata-geo/C05400000
BI_BUJUMBURA,wikidataId/Q3854
BY_NOCITI,undata-geo/C05500000
BY_BABRUJSK,wikidataId/Q207294
BY_BREST,wikidataId/Q140147
BY_GOMEL,wikidataId/Q2678
BY_HRODNA,wikidataId/Q181376
BY_KOBRYN,wikidataId/Q955992
BY_MAZYR,wikidataId/Q386487
BY_MINSK,wikidataId/Q2280
BY_POLACK,wikidataId/Q200797
BY_SALIHORSK,wikidataId/Q201393
BY_VICIEBSK,wikidataId/Q102217
KH_NOCITI,undata-geo/C05600000
KH_KEB,wikidataId/Q14204826
KH_PHNUM_PENH,undata-geo/C05600002
KH_PREAH_SEIHANU,wikidataId/Q18207676
CM_NOCITI,undata-geo/C05700000
CM_BAMENDA,wikidataId/Q528432
CM_BERTOUA,wikidataId/Q657734
CM_DOUALA,wikidataId/Q132830
CM_GAROUA,wikidataId/Q157915
CM_KUMBA,wikidataId/Q997047
CM_NGAOUNDERE,wikidataId/Q745906
CM_YAOUNDE,wikidataId/Q3808
CA_NOCITI,undata-geo/C05800000
CA_ABBOTSFORD_BC,undata-geo/C05800001
CA_BARRIE_ONT,wikidataId/Q34183
CA_BELLEVILLE_ONT,wikidataId/Q34227
CA_BRANTFORD_ONT,wikidataId/Q34180
CA_CALGARY_ALTA,wikidataId/Q36312
CA_EDMONTON_ALTA,wikidataId/Q2096
CA_GREATER_SUDBURY_ONT,wikidataId/Q383434
CA_GUELPH_ONT,wikidataId/Q504114
CA_HALIFAX_NS,wikidataId/Q2141
CA_HAMILTON_ONT,wikidataId/Q133116
CA_KELOWNA_BC,wikidataId/Q232226
CA_KINGSTON_ONT,wikidataId/Q202973
CA_KITCHENER_ONT,wikidataId/Q200166
CA_LETHBRIDGE_ALTA,wikidataId/Q270887
CA_LONDON_ONT,undata-geo/C05800015
CA_MONCTON_NB,wikidataId/Q457334
CA_MONTREAL_QUE,wikidataId/Q340
CA_OSHAWA_ONT,wikidataId/Q211867
CA_OTTAWA_ONT,wikidataId/Q1930
CA_PETERBOROUGH_ONT,undata-geo/C05800020
CA_QUEBEC_QUE,wikidataId/Q2145
CA_REGINA_SASK,wikidataId/Q2123
CA_SAGUENAY_QUE,wikidataId/Q139229
CA_SAINT_JEAN_SUR_RICHELIEU_QUE,wikidataId/Q141977
CA_SAINT_JOHN_NB,wikidataId/Q203403
CA_SASKATOON_SASK,wikidataId/Q10566
CA_SHERBROOKE_QUE,wikidataId/Q139473
CA_ST_CATHARINES_ONT,wikidataId/Q126805
CA_ST_JOHNS_NL,wikidataId/Q2082
CA_THUNDER_BAY_ONT,wikidataId/Q34116
CA_TORONTO_ONT,wikidataId/Q172
CA_TROIS_RIVIERES_QUE,wikidataId/Q44012
CA_VANCOUVER_BC,wikidataId/Q24639
CA_VICTORIA_BC,wikidataId/Q2132
CA_WINDSOR_ONT,wikidataId/Q182625
CA_WINNIPEG_MAN,wikidataId/Q2135
CV_NOCITI,undata-geo/C05900000
CV_PRAIA,wikidataId/Q3751
KY_NOCITI,undata-geo/C06000000
CF_NOCITI,undata-geo/C06100000
CF_BANGUI,wikidataId/Q3832
142_NOCITI,undata-geo/C06200000
143_NOCITI,undata-geo/C06300000
LK_NOCITI,undata-geo/C06400000
LK_ANURADHAPURA,wikidataId/Q5724
LK_BADULLA,wikidataId/Q390096
LK_BATTICALOA,wikidataId/Q810963
LK_CHILAW,wikidataId/Q2495639
LK_COLOMBO,wikidataId/Q35381
LK_DEHIWALA_MOUNT_LAVINIA,undata-geo/C06400006
LK_EMBILIPITIYA,wikidataId/Q4802021
LK_GALLE,wikidataId/Q319366
LK_HAMBANTOTA,wikidataId/Q1025283
LK_HAPUTALE,undata-geo/C06400010
LK_JAFFNA,wikidataId/Q215277
LK_KANDY,wikidataId/Q203197
LK_KURUNEGALA,wikidataId/Q776887
LK_MATARA,wikidataId/Q13360574
LK_MORATUWA,wikidataId/Q867213
LK_PUTTALAM,wikidataId/Q3088741
LK_RATNAPURA,wikidataId/Q508753
LK_TRINCOMALEE,wikidataId/Q323873
145_NOCITI,undata-geo/C06500000
TD_NOCITI,undata-geo/C06600000
150_NOCITI,undata-geo/C06700000
151_NOCITI,undata-geo/C06800000
CL_NOCITI,undata-geo/C06900000
CL_ANTOFAGASTA,wikidataId/Q3612
CL_ARICA,wikidataId/Q2203
CL_CANETE,wikidataId/Q3753
CL_CONCEPCION,wikidataId/Q1880
CL_COPIAPO,wikidataId/Q3868
CL_COQUIMBO,wikidataId/Q3871
CL_CURICO,wikidataId/Q13030
CL_IQUIQUE,wikidataId/Q14440
CL_LA_SERENA,wikidataId/Q14467
CL_LOS_ANGELES,wikidataId/Q16910
CL_OSORNO,wikidataId/Q51059
CL_OVALLE,wikidataId/Q51060
CL_PENAFLOR,wikidataId/Q51098
CL_PUERTO_MONTT,wikidataId/Q36214
CL_PUNTA_ARENAS,wikidataId/Q51599
CL_RANCAGUA,wikidataId/Q4582
CL_SANTIAGO,wikidataId/Q2887
CL_TALCA,wikidataId/Q4469
CL_TEMUCO,wikidataId/Q82128
CL_VALPARAISO,wikidataId/Q33986
154_NOCITI,undata-geo/C07000000
155_NOCITI,undata-geo/C07100000
CN_NOCITI,undata-geo/C07200000
CN_ANQING_ANHUI,wikidataId/Q360374
CN_BICHENG_CHONGQING,wikidataId/Q13693003
CN_CHANGZHI_HUNAN,wikidataId/Q72945
CN_CHANGZHOU_JINGSU,wikidataId/Q57970
CN_CHENGDU_SICHUAN,wikidataId/Q30002
CN_CHENGGUAN_GUIZHOU,undata-geo/C07200006
CN_GAOYOU_JIANGSU,wikidataId/Q1253949
CN_GUANGZHOU_GUANGDONG,wikidataId/Q16572
CN_GUIXI_CHONGQING,undata-geo/C07200009
CN_HAIKOU_HAINAN,wikidataId/Q189823
CN_HANGZHOU_ZHEJIANG,wikidataId/Q4970
CN_HONG_KONG,undata-geo/C07200012
CN_JINAN_SHANDONG,wikidataId/Q170247
CN_KAIPING_GUANGDONG,wikidataId/Q599514
CN_KUNMING_YUNNAN,wikidataId/Q182852
CN_LANZHOU_GANSU,wikidataId/Q183584
CN_LESHAN_SICHUAN,wikidataId/Q426868
CN_QINGDAO_SHANDONG,wikidataId/Q170322
CN_SHENZHEN_GUANGDONG,wikidataId/Q15174
CN_SUINING_SICHUAN,wikidataId/Q426644
CN_SUZHOU_ANHUI,wikidataId/Q360643
CN_TANGSHAN_HEBEI,wikidataId/Q58422
CN_TIANJIN_TIANJIN,wikidataId/Q11736
CN_WUHAN_HUBEI,wikidataId/Q11746
CN_XINGPING_SHAANXI,wikidataId/Q1201091
CN_XUCHENG_JIANGSU,undata-geo/C07200026
CN_YANGGU_SHANDONG,wikidataId/Q290059
CN_YIYANG_HUNAN,wikidataId/Q416669
CN_YULIN_GUANGXI,wikidataId/Q571918
CN_ZHENGZHOU_HENAN,wikidataId/Q30340
CN_ZHUJI_ZHEJIANG,wikidataId/Q198222
CN_ZUNYI_GUIZHOU,wikidataId/Q28994
CX_NOCITI,undata-geo/C07300000
CC_NOCITI,undata-geo/C07400000
CO_NOCITI,undata-geo/C07500000
CO_AMA_LETICIA,wikidataId/Q214913
CO_AMA_PUERTO_NARINO,wikidataId/Q767738
CO_ANT_ABEJORRAL,wikidataId/Q1441947
CO_ANT_ABRIAQUI,wikidataId/Q1655866
CO_ANT_ALEJANDRIA,wikidataId/Q1655881
CO_ANT_AMAGA,wikidataId/Q1441660
CO_ANT_AMALFI,wikidataId/Q1441668
CO_ANT_ANDES,wikidataId/Q267585
CO_ANT_ANGELOPOLIS,wikidataId/Q1576502
CO_ANT_ANGOSTURA,undata-geo/C07500010
