pa,subject_label,object_id,object_label
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300008,Sumgayit
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300009,Yevlakh
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400000,Argentina: All cities or breakdown by cities not available
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400001,Bahía Blanca
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400002,Buenos Aires
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400003,Catamarca (San Fernando del Valle de Catamarca)
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400004,Clorinda
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400005,Comodoro Rivadavia
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400006,Concordia
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400007,Córdoba
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400008,Formosa
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400009,La Matanza
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400010,La Plata
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400011,Mendoza
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400012,Neuquén
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400013,Oberá
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400014,Paraná
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400015,Río Cuarto
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400016,Río Gallegos
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400017,Rosario
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400018,San Juan
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400019,San Martín
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400020,San Miguel de Tucumán
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400021,San Pedro de Jujuy
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400022,San Salvador de Jujuy
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400023,Santiago del Estero (La Banda)
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400024,Villa Mercedes
undata-geo:C02400000,Argentina: All cities or breakdown by cities not available,undata-geo:C02400025,Zárate
undata-geo:G00119000,Southern Asia,undata-geo:C02500000,Southern Asia: All cities or breakdown by cities not available
undata-geo:G00124000,South-eastern Asia,undata-geo:C02600000,South-eastern Asia: All cities or breakdown by cities not available
undata-geo:G00000170,Australia,undata-geo:C02700000,Australia: All cities or breakdown by cities not available
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700001,Adelaide
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700002,Alice Springs
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700003,Brisbane
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700004,Bunbury
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700005,Cairns
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700006,Canberra
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700007,Central Coast
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700008,Cessnock
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700009,Darwin
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700010,Geelong
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700011,Gold Coast
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700012,Hobart
undata-geo:C02700000,Australia: All cities or breakdown by cities not available,undata-geo:C02700013,Kingaroy
