Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,x,y
"Ordnance Products, Inc.",32.15,MDD982364341,303253,3,Maryland,Cecil County,Cecil,NPL Site,39.630833,-75.923889,05/10/1993,09/25/1997,06/19/2015,1171,,,"<a href=""https://semspub.epa.gov/src/document/03/900212"" target=""_blank"">MDD982364341 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0303253"" target=""_blank"">Ordnance Products, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189655"" target=""_blank"">05/10/1993 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-25/pdf/97-25095.pdf"" target=""_blank"">09/25/1997 (PDF)</a>",,,,No,-8451808.662525024,4812440.066528593
Beltsville Agricultural Research Center (USDA),50,MD0120508940,300415,3,Maryland,Beltsville,Prince George's,NPL Site,39.029166,-76.884583,05/10/1993,05/31/1994,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900213"" target=""_blank"">MD0120508940 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300415"" target=""_blank"">Beltsville Agricultural Research Center (USDA)</a>","<a href=""https://semspub.epa.gov/src/document/11/189655"" target=""_blank"">05/10/1993 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189638"" target=""_blank"">05/31/1994 (PDF)</a>",,,,No,-8558752.629413178,4725850.213313761
Patuxent River Naval Air Station,50,MD7170024536,300429,3,Maryland,St. Mary's County,St. Mary's,NPL Site,38.270694,-76.419444,01/18/1994,05/31/1994,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900222"" target=""_blank"">MD7170024536 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300429"" target=""_blank"">Patuxent River Naval Air Station</a>","<a href=""https://semspub.epa.gov/src/document/11/189657"" target=""_blank"">01/18/1994 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189638"" target=""_blank"">05/31/1994 (PDF)</a>",,,,No,-8506973.592785085,4617736.688903865
Indian Head Naval Surface Warfare Center,50,MD7170024684,300430,3,Maryland,Indian Head,Charles,NPL Site,38.591389,-77.174306,02/13/1995,09/29/1995,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900224"" target=""_blank"">MD7170024684 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300430"" target=""_blank"">Indian Head Naval Surface Warfare Center</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-02-13/pdf/95-3601.pdf"" target=""_blank"">02/13/1995 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-09-29/pdf/95-24415.pdf"" target=""_blank"">09/29/1995 (PDF)</a>",,,,No,-8591004.446244277,4663309.419629635
Central Chemical (Hagerstown),50,MDD003061447,303260,3,Maryland,Hagerstown,Washington,NPL Site,39.656667,-77.723611,06/17/1996,09/25/1997,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900226"" target=""_blank"">MDD003061447 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0303260"" target=""_blank"">Central Chemical (Hagerstown)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-06-17/pdf/96-15033.pdf"" target=""_blank"">06/17/1996 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-25/pdf/97-25095.pdf"" target=""_blank"">09/25/1997 (PDF)</a>",,,,No,-8652152.799134476,4816174.780276817
Fort George G. Meade,51.44,MD9210020567,300435,3,Maryland,Odenton,Anne Arundel,NPL Site,39.083333,-76.715278,04/01/1997,07/28/1998,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900229"" target=""_blank"">MD9210020567 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300435"" target=""_blank"">Fort George G. Meade</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-04-01/pdf/97-8087.pdf"" target=""_blank"">04/01/1997 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20154.pdf"" target=""_blank"">07/28/1998 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-8539905.683024423,4733615.348958399
Andrews Air Force Base,50,MD0570024000,300420,3,Maryland,Camp Springs,Prince George's,NPL Site,38.791667,-76.875,07/28/1998,05/10/1999,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900233"" target=""_blank"">MD0570024000 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300420"" target=""_blank"">Andrews Air Force Base</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20155.pdf"" target=""_blank"">07/28/1998 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-05-10/pdf/99-11705.pdf"" target=""_blank"">05/10/1999 (PDF)</a>",,,,No,-8557685.854732906,4691873.440392089
Brandywine DRMO,50.15,MD9570024803,304462,3,Maryland,Brandywine,Prince George's,NPL Site,38.698056,-76.845,07/28/1998,05/10/1999,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900234"" target=""_blank"">MD9570024803 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304462"" target=""_blank"">Brandywine DRMO</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20155.pdf"" target=""_blank"">07/28/1998 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-05-10/pdf/99-11705.pdf"" target=""_blank"">05/10/1999 (PDF)</a>",,,,No,-8554346.270009108,4678512.5109798685
Curtis Bay Coast Guard Yard,50,MD4690307844,304341,3,Maryland,Anne Arundel County,Anne Arundel,NPL Site,39.2,-76.572694,09/13/2001,09/05/2002,08/26/2013,1148,,,"<a href=""https://semspub.epa.gov/src/document/03/900248"" target=""_blank"">MD4690307844 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304341"" target=""_blank"">Curtis Bay Coast Guard Yard</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-09-13/pdf/01-22742.pdf"" target=""_blank"">09/13/2001 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-09-05/pdf/02-22538.pdf"" target=""_blank"">09/05/2002 (PDF)</a>",,,,No,-8524033.304749154,4750360.481116602
68th Street Dump,50,MDD980918387,300338,3,Maryland,Baltimore,Baltimore,Proposed NPL Site,39.307967,-76.517886,04/30/2003,,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900249"" target=""_blank"">MDD980918387 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300338"" target=""_blank"">68th Street Dump</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-04-30/pdf/03-10649.pdf"" target=""_blank"">04/30/2003 (PDF)</a>",,,,,No,-8517932.106097758,4765881.700873367
Fort Detrick Area B Ground Water,49.52,MDD985397249,304606,3,Maryland,Fort Detrick,Frederick,NPL Site,39.434442,-77.446769,09/03/2008,04/09/2009,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900033"" target=""_blank"">MDD985397249 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304606"" target=""_blank"">Fort Detrick Area B Ground Water</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2008-09-03/pdf/E8-20389.pdf"" target=""_blank"">09/03/2008 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-04-09/pdf/E9-7825.pdf"" target=""_blank"">04/09/2009 (PDF)</a>",,,,No,-8621334.888664285,4784094.098783905
Dwyer Property Ground Water Plume,50,MDD985366756,303618,3,Maryland,Elkton,Cecil,NPL Site,39.612007,-75.844474,10/21/2010,03/10/2011,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900037"" target=""_blank"">MDD985366756 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0303618"" target=""_blank"">Dwyer Property Ground Water Plume</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2010-10-21/pdf/2010-26461.pdf"" target=""_blank"">10/21/2010 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2011-03-10/pdf/2011-5337.pdf"" target=""_blank"">03/10/2011 (PDF)</a>",,,,No,-8442968.225163678,4809719.348525304
Sauer Dump,50,MDD981038334,300348,3,Maryland,Dundalk,Baltimore,NPL Site,39.270267,-76.45271,03/10/2011,03/15/2012,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900038"" target=""_blank"">MDD981038334 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300348"" target=""_blank"">Sauer Dump</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2011-03-10/pdf/2011-5340.pdf"" target=""_blank"">03/10/2011 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-03-15/pdf/2012-6329.pdf"" target=""_blank"">03/15/2012 (PDF)</a>",,,,No,-8510676.746965813,4760459.273029948
Bear Creek Sediments,48.02,MDN000305762,305762,3,Maryland,Sparrows Point,Baltimore,Proposed NPL Site,39.227598,-76.491127,09/09/2021,,,0,,,"<a href=""https://semspub.epa.gov/src/document/11/400928"" target=""_blank"">MDN000305762 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0305762"" target=""_blank"">Bear Creek Sediments</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2021-09-09/pdf/2021-19192.pdf"" target=""_blank"">09/09/2021 (PDF)</a>",,,,,No,-8514953.30784362,4754325.66711049
McKin Co.,60.97,MED980524078,101027,1,Maine,Gray,Cumberland,NPL Site,43.8841,-70.2942,12/30/1982,09/08/1983,03/24/1992,71,,,"<a href=""https://semspub.epa.gov/src/document/01/75001249"" target=""_blank"">MED980524078 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101027"" target=""_blank"">McKin Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-7825114.549720532,5447523.8745768545
O'Connor,31.86,MED980731475,101031,1,Maine,Augusta,Kennebec,Deleted NPL Site,44.301916,-69.736944,12/30/1982,09/08/1983,09/26/2002,837,03/12/2014,07/22/2014,"<a href=""https://semspub.epa.gov/src/document/01/75001250"" target=""_blank"">MED980731475 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101031"" target=""_blank"">O'Connor</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-03-12/pdf/2014-05225.pdf"" target=""_blank"">03/12/2014 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-07-22/pdf/2014-17133.pdf"" target=""_blank"">07/22/2014 (PDF)</a>",,No,-7763081.095559034,5512283.878017235
Pinette's Salvage Yard,33.98,MED980732291,101036,1,Maine,Washburn,Aroostook,Deleted NPL Site,46.7782,-68.1701,12/30/1982,09/08/1983,06/30/1997,440,08/28/2002,09/30/2002,"<a href=""https://semspub.epa.gov/src/document/01/75001251"" target=""_blank"">MED980732291 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101036"" target=""_blank"">Pinette's Salvage Yard</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-08-28/pdf/02-22080.pdf"" target=""_blank"">08/28/2002 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-09-30/pdf/02-24639.pdf"" target=""_blank"">09/30/2002 (PDF)</a>",,No,-7588660.8193265395,5905945.515244325
Saco Municipal Landfill,29.49,MED980504393,101010,1,Maine,Saco,York,NPL Site,43.5302,-70.4815,06/24/1988,02/21/1990,09/29/2000,755,,,"<a href=""https://semspub.epa.gov/src/document/01/75001252"" target=""_blank"">MED980504393 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101010"" target=""_blank"">Saco Municipal Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,,No,-7845964.690346111,5393025.071894609
Saco Tannery Waste Pits,43.19,MED980520241,101014,1,Maine,Saco,York,Deleted NPL Site,43.56055,-70.426389,12/30/1982,09/08/1983,09/30/1993,214,08/16/1999,09/29/1999,"<a href=""https://semspub.epa.gov/src/document/01/75001253"" target=""_blank"">MED980520241 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101014"" target=""_blank"">Saco Tannery Waste Pits</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-08-16/pdf/99-21007.pdf"" target=""_blank"">08/16/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-09-29/pdf/99-25158.pdf"" target=""_blank"">09/29/1999 (PDF)</a>",,No,-7839829.761889003,5397686.235602031
Winthrop Landfill,35.62,MED980504435,101012,1,Maine,Winthrop,Kennebec,NPL Site,44.275831,-69.988331,12/30/1982,09/08/1983,12/23/1997,504,,,"<a href=""https://semspub.epa.gov/src/document/01/75001254"" target=""_blank"">MED980504435 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101012"" target=""_blank"">Winthrop Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-7791065.368391084,5508227.36223798
Brunswick Naval Air Station,43.38,ME8170022018,101073,1,Maine,Brunswick,Cumberland,NPL Site,43.90634,-69.933986,10/15/1984,07/22/1987,09/27/2002,840,,,"<a href=""https://semspub.epa.gov/src/document/01/75001255"" target=""_blank"">ME8170022018 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101073"" target=""_blank"">Brunswick Naval Air Station</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-7785015.710663924,5450959.504253741
Loring Air Force Base,34.49,ME9570024522,101074,1,Maine,Limestone,Aroostook,NPL Site,46.944444,-67.883888,07/14/1989,02/21/1990,03/23/2001,762,,,"<a href=""https://semspub.epa.gov/src/document/01/75001256"" target=""_blank"">ME9570024522 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101074"" target=""_blank"">Loring Air Force Base</a>","<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,,No,-7556799.845227615,5933010.629079763
Portsmouth Naval Shipyard,50,ME7170022019,101072,1,Maine,Kittery,York,NPL Site,43.084167,-70.741666,06/23/1993,05/31/1994,09/26/2019,1211,,,"<a href=""https://semspub.epa.gov/src/document/01/75001208"" target=""_blank"">ME7170022019 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101072"" target=""_blank"">Portsmouth Naval Shipyard</a>","<a href=""https://semspub.epa.gov/src/document/11/189656"" target=""_blank"">06/23/1993 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189638"" target=""_blank"">05/31/1994 (PDF)</a>",,,,No,-7874926.236987834,5324791.709877399
West Site/Hows Corners,50,MED985466168,101800,1,Maine,Plymouth,Penobscot,NPL Site,44.740278,-69.182222,02/13/1995,09/29/1995,09/28/2011,1112,,,"<a href=""https://semspub.epa.gov/src/document/01/75001211"" target=""_blank"">MED985466168 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101800"" target=""_blank"">West Site/Hows Corners</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-02-13/pdf/95-3601.pdf"" target=""_blank"">02/13/1995 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-09-29/pdf/95-24415.pdf"" target=""_blank"">09/29/1995 (PDF)</a>",,,,No,-7701329.724987207,5580725.827047549
Eastern Surplus,50,MED981073711,101054,1,Maine,Meddybemps,Washington,NPL Site,45.038889,-67.358333,10/02/1995,06/17/1996,09/25/2001,785,,,"<a href=""https://semspub.epa.gov/src/document/01/75001212"" target=""_blank"">MED981073711 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101054"" target=""_blank"">Eastern Surplus</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-10-02/pdf/95-24414.pdf"" target=""_blank"">10/02/1995 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-06-17/pdf/96-15032.pdf"" target=""_blank"">06/17/1996 (PDF)</a>",,,,No,-7498295.330243756,5627645.842457297
Eastland Woolen Mill,70.71,MED980915474,101043,1,Maine,Corinna,Penobscot,NPL Site,44.921667,-69.261111,04/23/1999,07/22/1999,09/28/2006,992,,,"<a href=""https://semspub.epa.gov/src/document/01/75001217"" target=""_blank"">MED980915474 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101043"" target=""_blank"">Eastland Woolen Mill</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-04-23/pdf/99-10236.pdf"" target=""_blank"">04/23/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-07-22/pdf/99-18602.pdf"" target=""_blank"">07/22/1999 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-7710111.608296398,5609197.976936184
Callahan Mine,50,MED980524128,101028,1,Maine,Brooksville,Hancock,NPL Site,44.351639,-68.810139,09/13/2001,09/05/2002,,0,,,"<a href=""https://semspub.epa.gov/src/document/01/75001227"" target=""_blank"">MED980524128 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101028"" target=""_blank"">Callahan Mine</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-09-13/pdf/01-22742.pdf"" target=""_blank"">09/13/2001 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-09-05/pdf/02-22538.pdf"" target=""_blank"">09/05/2002 (PDF)</a>",,,,No,-7659909.634894376,5520021.368521894
