,Year,geo_ID,Total,White Alone,Black or African American Alone
81,1981,geoId/34,7407508,6322338,947487
82,1981,geoId/35,1332768,1187160,25592
83,1981,geoId/36,17567730,14601863,2552813
84,1981,geoId/37,5956718,4533732,1329991
85,1981,geoId/38,659494,633192,2718
86,1981,geoId/39,10788342,9634248,1082644
87,1981,geoId/40,3096133,2678739,212376
88,1981,geoId/41,2667999,2556186,38432
89,1981,geoId/42,11858669,10714430,1055263
90,1981,geoId/44,953015,909116,32564
91,1981,geoId/45,3179269,2197071,962076
92,1981,geoId/46,689582,639538,2289
93,1981,geoId/47,4627668,3877541,726979
94,1981,geoId/48,14746340,12755922,1783588
95,1981,geoId/49,1515483,1463514,9810
96,1981,geoId/50,515588,511533,1254
97,1981,geoId/51,5444155,4323598,1028947
98,1981,geoId/53,4235733,3933834,112519
99,1981,geoId/54,1954105,1881650,64789
100,1981,geoId/55,4726315,4480530,189366
101,1981,geoId/56,491700,478052,3504
102,1982,geoId/01,3925328,2902271,1000534
103,1982,geoId/02,449608,351896,16298
104,1982,geoId/04,2889877,2608319,83692
105,1982,geoId/05,2294297,1900455,375183
106,1982,geoId/06,24820025,20993496,1925966
107,1982,geoId/08,3061599,2884047,113534
108,1982,geoId/09,3139008,2873687,232614
109,1982,geoId/10,599149,494443,97928
110,1982,geoId/11,634174,184850,439954
111,1982,geoId/12,10471438,8926259,1440408
112,1982,geoId/13,5649788,4074099,1530129
113,1982,geoId/15,993775,357176,20287
114,1982,geoId/16,973714,951449,2910
115,1982,geoId/17,11423449,9524691,1683499
116,1982,geoId/18,5467946,5017776,414631
117,1982,geoId/19,2888209,2822223,43144
118,1982,geoId/20,2401220,2230548,131775
119,1982,geoId/21,3683427,3405994,260758
120,1982,geoId/22,4352625,3017924,1291281
121,1982,geoId/23,1136698,1124569,3606
122,1982,geoId/24,4282946,3192680,999722
123,1982,geoId/25,5771203,5431705,258062
124,1982,geoId/26,9115204,7808474,1192496
125,1982,geoId/27,4131469,3987680,62849
126,1982,geoId/28,2556810,1639305,901900
127,1982,geoId/29,4929471,4369289,517571
128,1982,geoId/30,803966,757988,1927
129,1982,geoId/31,1581747,1512264,50283
130,1982,geoId/32,881550,789233,56459
131,1982,geoId/33,947716,936967,4681
132,1982,geoId/34,7431031,6318914,957836
133,1982,geoId/35,1363854,1213137,26513
134,1982,geoId/36,17589772,14532608,2605216
135,1982,geoId/37,6019166,4581577,1340308
136,1982,geoId/38,668960,641481,2842
137,1982,geoId/39,10757118,9595257,1086347
138,1982,geoId/40,3206103,2764295,221285
139,1982,geoId/41,2664930,2548976,39126
140,1982,geoId/42,11845214,10691226,1058158
141,1982,geoId/44,954178,908056,33551
142,1982,geoId/45,3207614,2217473,968861
143,1982,geoId/46,690586,640277,2388
144,1982,geoId/47,4646050,3891462,729494
145,1982,geoId/48,15331379,13241034,1855951
146,1982,geoId/49,1558322,1503548,10132
147,1982,geoId/50,519113,514770,1329
148,1982,geoId/51,5492848,4356006,1036915
149,1982,geoId/53,4276533,3960172,116221
150,1982,geoId/54,1949642,1877457,64290
151,1982,geoId/55,4728879,4473211,195290
152,1982,geoId/56,506378,492158,3597
153,1983,geoId/01,3934100,2908872,1000855
154,1983,geoId/02,488423,382560,18098
155,1983,geoId/04,2968912,2676886,86985
156,1983,geoId/05,2305796,1911001,375389
157,1983,geoId/06,25360028,21348318,1965892
158,1983,geoId/08,3133614,2947075,118386
159,1983,geoId/09,3162366,2887958,238745
160,1983,geoId/10,605455,498854,99365
161,1983,geoId/11,632433,187250,435384
162,1983,geoId/12,10749908,9161994,1473366
163,1983,geoId/13,5728301,4123875,1553737
164,1983,geoId/15,1012718,364360,21587
165,1983,geoId/16,981895,958901,3028
166,1983,geoId/17,11408779,9499669,1683355
167,1983,geoId/18,5450407,4999670,413672
168,1983,geoId/19,2870580,2802964,43614
169,1983,geoId/20,2415565,2241569,133313
170,1983,geoId/21,3694465,3415755,261107
171,1983,geoId/22,4395334,3041158,1308315
172,1983,geoId/23,1144777,1132018,3821
173,1983,geoId/24,4313319,3199348,1017245
174,1983,geoId/25,5799434,5440555,268237
175,1983,geoId/26,9047772,7736963,1192763
176,1983,geoId/27,4141479,3988817,66745
177,1983,geoId/28,2567731,1645226,906095
178,1983,geoId/29,4943767,4378873,520293
179,1983,geoId/30,814009,766192,2031
180,1983,geoId/31,1584296,1513328,51113
181,1983,geoId/32,901987,806199,58050
182,1983,geoId/33,958127,946510,4977
183,1983,geoId/34,7467818,6327226,970379
184,1983,geoId/35,1394380,1239540,27545
185,1983,geoId/36,17686905,14522890,2673344
186,1983,geoId/37,6077149,4626120,1349848
187,1983,geoId/38,676664,648116,3023
188,1983,geoId/39,10737664,9566489,1091794
189,1983,geoId/40,3290412,2825495,229567
190,1983,geoId/41,2653095,2534088,39657
191,1983,geoId/42,11837787,10673650,1061968
192,1983,geoId/44,956378,908146,34570
193,1983,geoId/45,3234093,2237009,974718
194,1983,geoId/46,693017,642148,2537
195,1983,geoId/47,4659799,3901660,731099
196,1983,geoId/48,15751679,13591767,1902403
197,1983,geoId/49,1594953,1537760,10444
198,1983,geoId/50,523310,518641,1420
199,1983,geoId/51,5564676,4403548,1052554
200,1983,geoId/53,4300267,3972961,119000
201,1983,geoId/54,1945096,1873149,63791
202,1983,geoId/55,4721428,4457373,200288
203,1983,geoId/56,510350,495590,3685
204,1984,geoId/01,3951766,2922943,1002563
205,1984,geoId/02,513697,401818,19300
206,1984,geoId/04,3067125,2763899,90904
207,1984,geoId/05,2319782,1923352,376212
208,1984,geoId/06,25844380,21648672,1999141
209,1984,geoId/08,3170024,2976604,121432
210,1984,geoId/09,3180017,2896754,244439
211,1984,geoId/10,611567,503150,100693
212,1984,geoId/11,633385,190155,432888
213,1984,geoId/12,11039982,9408212,1506809
214,1984,geoId/13,5835018,4197122,1581826
215,1984,geoId/15,1027923,368703,22724
216,1984,geoId/16,990811,967105,3074
217,1984,geoId/17,11412194,9485476,1688616
218,1984,geoId/18,5458334,5004510,415000
219,1984,geoId/19,2858631,2789342,44103
220,1984,geoId/20,2424119,2247170,134453
221,1984,geoId/21,3695426,3416454,260682
222,1984,geoId/22,4400521,3036921,1315469
223,1984,geoId/23,1155646,1142236,4000
224,1984,geoId/24,4365282,3221644,1039608
225,1984,geoId/25,5840782,5463462,277038
226,1984,geoId/26,9049453,7724956,1201212
227,1984,geoId/27,4157708,3995918,70481
228,1984,geoId/28,2578030,1648441,912452
229,1984,geoId/29,4975276,4403074,525351
230,1984,geoId/30,820868,771390,2094
231,1984,geoId/31,1588598,1515871,52093
232,1984,geoId/32,924917,825683,59383
233,1984,geoId/33,976879,964301,5301
234,1984,geoId/34,7515486,6343900,984333
235,1984,geoId/35,1416763,1257365,28159
236,1984,geoId/36,17745710,14480092,2733918
237,1984,geoId/37,6164036,4694510,1363959
238,1984,geoId/38,680484,650705,3129
239,1984,geoId/39,10737767,9554851,1099209
240,1984,geoId/40,3285581,2809393,231598
241,1984,geoId/41,2666598,2543269,40404
242,1984,geoId/42,11815214,10641978,1064227
243,1984,geoId/44,961898,911365,35629
244,1984,geoId/45,3271923,2264810,983585
245,1984,geoId/46,697207,645270,2660
246,1984,geoId/47,4686803,3923168,734654
247,1984,geoId/48,16007171,13800456,1927789
248,1984,geoId/49,1622339,1562974,10707
249,1984,geoId/50,526662,521736,1478
250,1984,geoId/51,5643937,4460133,1065916
251,1984,geoId/53,4343670,4002869,122388
252,1984,geoId/54,1927675,1856512,62773
253,1984,geoId/55,4735588,4462756,205198
254,1984,geoId/56,504891,489905,3664
255,1985,geoId/01,3972539,2938965,1005195
256,1985,geoId/02,532503,416118,20461
257,1985,geoId/04,3183536,2866666,95451
258,1985,geoId/05,2327069,1929617,376250
259,1985,geoId/06,26441100,22043618,2038979
260,1985,geoId/08,3208691,3007229,125457
261,1985,geoId/09,3201120,2908483,250540
262,1985,geoId/10,618287,507885,102159
263,1985,geoId/11,634545,192740,430917
264,1985,geoId/12,11351091,9670757,1544415
265,1985,geoId/13,5962708,4285667,1614729
266,1985,geoId/15,1039689,371127,23715
267,1985,geoId/16,994050,969484,3237
268,1985,geoId/17,11399816,9462664,1686902
269,1985,geoId/18,5459201,5002428,416031
270,1985,geoId/19,2829691,2758668,44481
271,1985,geoId/20,2427428,2246536,136231
272,1985,geoId/21,3694833,3414158,261137
273,1985,geoId/22,4408128,3033543,1323939
274,1985,geoId/23,1162942,1148780,4241
275,1985,geoId/24,4413118,3241992,1059641
276,1985,geoId/25,5880748,5483889,286606
277,1985,geoId/26,9076282,7731861,1215085
278,1985,geoId/27,4184290,4012101,74897
279,1985,geoId/28,2588120,1654504,915527
280,1985,geoId/29,5000286,4420390,530498
281,1985,geoId/30,822326,771652,2230
282,1985,geoId/31,1584659,1510185,53019
283,1985,geoId/32,951040,847832,60998
284,1985,geoId/33,996760,983124,5662
285,1985,geoId/34,7565511,6361816,999118
286,1985,geoId/35,1438385,1273419,28870
287,1985,geoId/36,17791750,14428245,2791415
288,1985,geoId/37,6253991,4764675,1379054
289,1985,geoId/38,676978,646403,3284
290,1985,geoId/39,10734943,9541248,1105517
291,1985,geoId/40,3271395,2785051,232817
292,1985,geoId/41,2672681,2545003,41208
293,1985,geoId/42,11770908,10587778,1067151
294,1985,geoId/44,968958,915937,36804
295,1985,geoId/45,3303250,2289125,989393
296,1985,geoId/46,698404,645476,2852
297,1985,geoId/47,4715288,3943796,740238
298,1985,geoId/48,16272777,14017346,1953757
299,1985,geoId/49,1642906,1581499,10994
300,1985,geoId/50,530031,524754,1600
301,1985,geoId/51,5715198,4511972,1075806
302,1985,geoId/53,4400084,4043811,126484
303,1985,geoId/54,1906823,1836547,61581
304,1985,geoId/55,4747766,4464403,211586
305,1985,geoId/56,499688,484394,3713
306,1986,geoId/01,3991552,2953089,1007977
307,1986,geoId/02,544270,423947,21246
308,1986,geoId/04,3308269,2975192,99974
309,1986,geoId/05,2331988,1934867,374996
310,1986,geoId/06,27102241,22484687,2087059
311,1986,geoId/08,3237457,3029147,128496
312,1986,geoId/09,3223744,2921436,256814
313,1986,geoId/10,627545,514719,104028
314,1986,geoId/11,638280,195965,430805
315,1986,geoId/12,11667511,9936016,1584237
316,1986,geoId/13,6084739,4372843,1643642
317,1986,geoId/15,1051767,373314,24682
318,1986,geoId/16,990259,965133,3279
319,1986,geoId/17,11387247,9437362,1686800
320,1986,geoId/18,5454137,4995813,415677
321,1986,geoId/19,2791923,2719489,44679
322,1986,geoId/20,2432638,2248181,137683
323,1986,geoId/21,3687821,3406522,260940
324,1986,geoId/22,4406953,3025686,1328297
325,1986,geoId/23,1170120,1155265,4426
326,1986,geoId/24,4487008,3281409,1085796
327,1986,geoId/25,5902658,5487736,294959
328,1986,geoId/26,9127778,7760073,1231660
329,1986,geoId/27,4205257,4022918,79043
330,1986,geoId/28,2593609,1658367,916218
331,1986,geoId/29,5023077,4435992,535163
332,1986,geoId/30,813770,762516,2267
333,1986,geoId/31,1574301,1498481,53666
334,1986,geoId/32,980635,872997,62876
335,1986,geoId/33,1025069,1010316,6030
336,1986,geoId/34,7622189,6385794,1013738
337,1986,geoId/35,1462762,1292868,29585
338,1986,geoId/36,17833489,14369441,2850207
339,1986,geoId/37,6321646,4816706,1390346
340,1986,geoId/38,669520,638443,3346
341,1986,geoId/39,10730284,9525861,1111583
342,1986,geoId/40,3252756,2757052,233423
343,1986,geoId/41,2683537,2551330,41990
344,1986,geoId/42,11782786,10582880,1076012
345,1986,geoId/44,977341,921748,37994
346,1986,geoId/45,3342740,2318089,998638
347,1986,geoId/46,696014,642217,2941
348,1986,geoId/47,4738700,3959593,745763
349,1986,geoId/48,16561153,14254176,1981915
350,1986,geoId/49,1662830,1599432,11238
351,1986,geoId/50,534065,528474,1669
352,1986,geoId/51,5811695,4582496,1091278
353,1986,geoId/53,4452726,4081121,130238
354,1986,geoId/54,1882351,1812856,60531
355,1986,geoId/55,4755646,4462492,217175
356,1986,geoId/56,495619,480028,3752
357,1987,geoId/01,4015266,2969294,1013455
358,1987,geoId/02,539324,417790,21388
359,1987,geoId/04,3437097,3086942,105045
360,1987,geoId/05,2342405,1944349,375062
361,1987,geoId/06,27777121,22935469,2137519
362,1987,geoId/08,3260504,3046065,131190
363,1987,geoId/09,3247304,2934888,263542
364,1987,geoId/10,636950,521448,106118
365,1987,geoId/11,636931,197144,427737
366,1987,geoId/12,11997293,10208742,1629846
367,1987,geoId/13,6208502,4460788,1673702
368,1987,geoId/15,1067914,376334,25645
369,1987,geoId/16,985010,959391,3290
370,1987,geoId/17,11391175,9424212,1690808
371,1987,geoId/18,5473040,5009791,418601
372,1987,geoId/19,2767011,2692919,45156
373,1987,geoId/20,2445422,2256853,139599
374,1987,geoId/21,3683341,3401137,261093
375,1987,geoId/22,4344222,2972627,1317095
376,1987,geoId/23,1184588,1169002,4621
377,1987,geoId/24,4565574,3326819,1110139
378,1987,geoId/25,5935207,5501917,303520
379,1987,geoId/26,9187469,7794000,1250671
380,1987,geoId/27,4235173,4042658,83152
381,1987,geoId/28,2588571,1654297,914650
382,1987,geoId/29,5056727,4463129,539251
383,1987,geoId/30,805084,753252,2282
384,1987,geoId/31,1566549,1489443,54320
385,1987,geoId/32,1023357,909407,66071
386,1987,geoId/33,1054291,1038385,6416
387,1987,geoId/34,7670784,6400800,1029375
388,1987,geoId/35,1478507,1304577,30100
389,1987,geoId/36,17868881,14304271,2909894
390,1987,geoId/37,6403731,4876757,1407587
391,1987,geoId/38,661140,629521,3416
392,1987,geoId/39,10760062,9539914,1122464
393,1987,geoId/40,3210172,2708145,232729
394,1987,geoId/41,2701015,2564260,42665
395,1987,geoId/42,11810896,10591386,1087487
396,1987,geoId/44,989597,931033,39517
397,1987,geoId/45,3380520,2344890,1008382
398,1987,geoId/46,696032,641561,3051
399,1987,geoId/47,4782935,3992299,755104
400,1987,geoId/48,16621954,14291793,1987269
401,1987,geoId/49,1678126,1612974,11451
402,1987,geoId/50,540266,534369,1738
403,1987,geoId/51,5932261,4669392,1114312
404,1987,geoId/53,4531896,4142233,135057
405,1987,geoId/54,1857590,1789107,59325
406,1987,geoId/55,4777977,4474082,223610
407,1987,geoId/56,476974,461428,3710
408,1988,geoId/01,4023902,2973347,1015878
409,1988,geoId/02,541999,417211,21822
410,1988,geoId/04,3535200,3170813,109100
411,1988,geoId/05,2342643,1944189,374526
412,1988,geoId/06,28464230,23389935,2190151
413,1988,geoId/08,3262279,3043711,132337
414,1988,geoId/09,3271957,2948448,271015
415,1988,geoId/10,647621,528944,108667
416,1988,geoId/11,630427,196324,421611
417,1988,geoId/12,12306421,10458908,1677163
418,1988,geoId/13,6316185,4533249,1702886
419,1988,geoId/15,1079830,376885,26467
420,1988,geoId/16,985680,959341,3371
421,1988,geoId/17,11390222,9407708,1692861
422,1988,geoId/18,5491729,5021710,423180
423,1988,geoId/19,2768370,2691866,46056
424,1988,geoId/20,2462057,2268744,141836
425,1988,geoId/21,3679990,3396278,261557
426,1988,geoId/22,4288939,2922540,1310068
427,1988,geoId/23,1203850,1187368,4847
428,1988,geoId/24,4657894,3374913,1144618
429,1988,geoId/25,5979997,5526671,313025
430,1988,geoId/26,9218025,7804467,1263765
431,1988,geoId/27,4296162,4091741,87988
432,1988,geoId/28,2580377,1646696,913384
433,1988,geoId/29,5081731,4480918,543758
434,1988,geoId/30,800194,747521,2334
435,1988,geoId/31,1571465,1492243,55477
436,1988,geoId/32,1075033,953437,69915
437,1988,geoId/33,1082583,1065556,6772
438,1988,geoId/34,7712352,6407723,1045381
439,1988,geoId/35,1490356,1313524,30634
440,1988,geoId/36,17941357,14270070,2973589
441,1988,geoId/37,6480675,4931964,1424539
442,1988,geoId/38,655324,623049,3525
443,1988,geoId/39,10798630,9560506,1135182
444,1988,geoId/40,3167148,2658765,232648
445,1988,geoId/41,2741316,2597593,44255
446,1988,geoId/42,11845774,10609162,1096280
447,1988,geoId/44,996406,935059,40855
448,1988,geoId/45,3412102,2365814,1017794
449,1988,geoId/46,698144,642758,3161
450,1988,geoId/47,4822432,4018460,765952
451,1988,geoId/48,16667146,14311790,1994391
452,1988,geoId/49,1689374,1622268,11645
453,1988,geoId/50,549758,543473,1834
454,1988,geoId/51,6036907,4742675,1135018
455,1988,geoId/53,4639911,4228354,141090
456,1988,geoId/54,1830227,1762820,57968
457,1988,geoId/55,4822365,4505729,231313
458,1988,geoId/56,465080,449288,3706
459,1989,geoId/01,4030239,2975082,1018269
460,1989,geoId/02,547170,419154,22443
461,1989,geoId/04,3622180,3243391,112936
462,1989,geoId/05,2346375,1946712,374693
463,1989,geoId/06,29218163,23892928,2247210
464,1989,geoId/08,3275826,3051819,134241
465,1989,geoId/09,3283420,2950049,277332
466,1989,geoId/10,658279,536295,111298
467,1989,geoId/11,624160,195526,415658
468,1989,geoId/12,12637697,10728688,1726067
469,1989,geoId/13,6411121,4593880,1731061
470,1989,geoId/15,1094587,378040,27339
471,1989,geoId/16,994396,967068,3471
472,1989,geoId/17,11409801,9404374,1700760
473,1989,geoId/18,5523668,5044849,429389
474,1989,geoId/19,2770581,2691068,47359
475,1989,geoId/20,2472864,2275743,143181
476,1989,geoId/21,3677287,3391671,262396
477,1989,geoId/22,4252958,2887579,1306791
478,1989,geoId/23,1219968,1202616,5064
479,1989,geoId/24,4727303,3406597,1173201
480,1989,geoId/25,6015492,5541751,322508
481,1989,geoId/26,9253339,7813477,1282140
482,1989,geoId/27,4338036,4121651,92624
483,1989,geoId/28,2574306,1639502,913668
484,1989,geoId/29,5095833,4489516,546427
485,1989,geoId/30,799657,745419,2407
486,1989,geoId/31,1574848,1493311,56753
487,1989,geoId/32,1137391,1006723,74552
488,1989,geoId/33,1104519,1086318,7157
489,1989,geoId/34,7726114,6389883,1058318
490,1989,geoId/35,1503936,1323135,31274
491,1989,geoId/36,17983082,14212742,3028788
492,1989,geoId/37,6565546,4991286,1444442
493,1989,geoId/38,646359,613616,3562
494,1989,geoId/39,10829255,9571980,1148736
495,1989,geoId/40,3150372,2632095,233827
496,1989,geoId/41,2790579,2639528,45640
497,1989,geoId/42,11866027,10615058,1102048
498,1989,geoId/44,1000670,936334,42334
499,1989,geoId/45,3456772,2394782,1031959
500,1989,geoId/46,696787,640230,3237
501,1989,geoId/47,4854463,4039717,774173
502,1989,geoId/48,16806831,14407233,2016013
503,1989,geoId/49,1705886,1636602,11862
504,1989,geoId/50,557715,551042,1922
505,1989,geoId/51,6120244,4798465,1152465
506,1989,geoId/53,4746314,4312469,146795
507,1989,geoId/54,1806569,1739930,56867
508,1989,geoId/55,4856478,4525788,240079
509,1989,geoId/56,458376,442178,3712
