Detail Data For Gas Supply - Import Countrywise Having Year : ALL
.
YearValue,Country,GasType,Qty_Tonne_Imports,Value_RsLacs
2009,ITALY,LIQUIFIED NATURAL GAS (LNG),59310.000,29709.760
2009,NIGERIA,LIQUIFIED NATURAL GAS (LNG),285133.000,105304.530
2009,NORWAY,LIQUIFIED NATURAL GAS (LNG),62902.000,27035.340
2009,OMAN,LIQUIFIED NATURAL GAS (LNG),186442.000,51478.250
2009,QATAR,LIQUIFIED NATURAL GAS (LNG),6480479.500,645257.410
2009,SAUDI ARABIA,LIQUIFIED NATURAL GAS (LNG),72124.000,20852.660
2009,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),178276.980,45034.070
2009,UAE,LIQUIFIED NATURAL GAS (LNG),95833.000,36767.290
2009,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),58600.000,18357.900
2010,ALGERIA,LIQUIFIED NATURAL GAS (LNG),118478.000,14530.191
2010,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),638767.630,97887.270
2010,AUSTRIA,LIQUIFIED NATURAL GAS (LNG),185930.000,31199.420
2010,EGYPT,LIQUIFIED NATURAL GAS (LNG),177547.020,33882.790
2010,INDONESIA,LIQUIFIED NATURAL GAS (LNG),62367.000,7153.180
2010,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),124657.000,21747.630
2010,NIGERIA,LIQUIFIED NATURAL GAS (LNG),118292.000,16209.010
2010,OMAN,LIQUIFIED NATURAL GAS (LNG),65910.000,17388.200
2010,QATAR,LIQUIFIED NATURAL GAS (LNG),6795541.500,756560.470
2010,RUSSIA,LIQUIFIED NATURAL GAS (LNG),551046.000,75060.460
2010,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),162035.020,22927.020
2010,UAE,LIQUIFIED NATURAL GAS (LNG),60312.000,5916.060
2010,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),49688.000,6260.720
2011,EGYPT,LIQUIFIED NATURAL GAS (LNG),177724.000,40063.081
2011,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),68000.000,14697.180
2011,NIGERIA,LIQUIFIED NATURAL GAS (LNG),292968.000,56441.380
2011,NORWAY,LIQUIFIED NATURAL GAS (LNG),60000.000,15005.100
2011,PAKISTAN IR,LIQUIFIED NATURAL GAS (LNG),62064.000,7324.860
2011,QATAR,LIQUIFIED NATURAL GAS (LNG),8053129.500,1158316.070
2011,SAUDI ARABIA,LIQUIFIED NATURAL GAS (LNG),129601.000,17665.320
2011,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),55497.000,11236.240
2011,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),263200.000,35763.950
2011,UK,LIQUIFIED NATURAL GAS (LNG),68150.000,16511.140
2011,U S A,LIQUIFIED NATURAL GAS (LNG),184419.020,43044.260
2011,YEMEN REPUBLC,LIQUIFIED NATURAL GAS (LNG),137512.980,16943.710
2011,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),213496.980,31805.630
2012,ALGERIA,LIQUIFIED NATURAL GAS (LNG),188814.000,63758.491
2012,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),40534.000,10403.800
2012,EGYPT,LIQUIFIED NATURAL GAS (LNG),522342.840,171258.490
2012,INDONESIA,LIQUIFIED NATURAL GAS (LNG),71865.000,13356.340
2012,JAPAN,LIQUIFIED NATURAL GAS (LNG),60437.000,22498.840
2012,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),56008.970,22198.850
2012,NIGERIA,LIQUIFIED NATURAL GAS (LNG),1356008.130,404685.120
2012,OMAN,LIQUIFIED NATURAL GAS (LNG),135612.980,35898.830
2012,QATAR,LIQUIFIED NATURAL GAS (LNG),10271012.000,2340020.760
2012,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),319526.060,91531.040
2012,UAE,LIQUIFIED NATURAL GAS (LNG),46560.000,13224.660
2012,U S A,LIQUIFIED NATURAL GAS (LNG),169732.980,48417.420
2012,YEMEN REPUBLC,LIQUIFIED NATURAL GAS (LNG),179526.000,35061.420
2012,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),52640.000,15048.870
2013,ALGERIA,LIQUIFIED NATURAL GAS (LNG),396946.690,162771.551
2013,EGYPT,LIQUIFIED NATURAL GAS (LNG),574076.060,203304.860
2013,FRANCE,LIQUIFIED NATURAL GAS (LNG),61040.390,25003.480
2013,NIGER,LIQUIFIED NATURAL GAS (LNG),116750.000,38618.710
2013,NIGERIA,LIQUIFIED NATURAL GAS (LNG),1159479.380,390427.350
2013,QATAR,LIQUIFIED NATURAL GAS (LNG),10302368.000,3119638.660
2013,SPAIN,LIQUIFIED NATURAL GAS (LNG),128743.270,39748.800
2013,YEMEN REPUBLC,LIQUIFIED NATURAL GAS (LNG),396465.970,134660.310
2014,BRUNEI,LIQUIFIED NATURAL GAS (LNG),61712.110,26981.211
2014,EGYPT,LIQUIFIED NATURAL GAS (LNG),192035.020,81069.170
2014,NIGERIA,LIQUIFIED NATURAL GAS (LNG),609892.690,272269.450
2014,NORWAY,LIQUIFIED NATURAL GAS (LNG),64847.780,29950.510
2014,QATAR,LIQUIFIED NATURAL GAS (LNG),11579139.000,4539039.190
2014,YEMEN REPUBLC,LIQUIFIED NATURAL GAS (LNG),513062.030,220619.250
2015,ALGERIA,LIQUIFIED NATURAL GAS (LNG),137208.670,61055.551
2015,FRANCE,LIQUIFIED NATURAL GAS (LNG),6888.210,2782.730
2015,GUINEA,LIQUIFIED NATURAL GAS (LNG),63154.240,21229.580
2015,KOREA RP,LIQUIFIED NATURAL GAS (LNG),52950.000,27178.430
2015,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),68140.950,28681.780
2015,NIGERIA,LIQUIFIED NATURAL GAS (LNG),886799.500,363731.100
2015,NORWAY,LIQUIFIED NATURAL GAS (LNG),65704.090,25892.740
2015,OMAN,LIQUIFIED NATURAL GAS (LNG),74361.990,34486.010
2015,QATAR,LIQUIFIED NATURAL GAS (LNG),10896163.000,4672217.750
2015,SPAIN,LIQUIFIED NATURAL GAS (LNG),209485.090,98219.990
2015,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),115215.740,41150.630
2015,UAE,LIQUIFIED NATURAL GAS (LNG),79058.600,26023.630
2015,YEMEN REPUBLC,LIQUIFIED NATURAL GAS (LNG),634024.000,231351.860
2017,ALGERIA,LIQUIFIED NATURAL GAS (LNG),55000.000,11780.800
2017,ANGOLA,LIQUIFIED NATURAL GAS (LNG),415341.660,90364.280
2017,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),1405808.500,348532.390
2017,BELGIUM,LIQUIFIED NATURAL GAS (LNG),133118.590,27714.670
2017,BRAZIL,LIQUIFIED NATURAL GAS (LNG),66542.660,17162.780
2017,EQUTL GUINEA,LIQUIFIED NATURAL GAS (LNG),1008882.250,231357.490
2017,INDONESIA,LIQUIFIED NATURAL GAS (LNG),68607.290,24116.560
2017,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),59523.130,12296.880
2017,NIGERIA,LIQUIFIED NATURAL GAS (LNG),2309662.250,476885.190
2017,NORWAY,LIQUIFIED NATURAL GAS (LNG),31594.160,7548.430
2017,OMAN,LIQUIFIED NATURAL GAS (LNG),323825.560,68765.480
2017,PERU,LIQUIFIED NATURAL GAS (LNG),64827.050,13618.820
2017,PORTUGAL,LIQUIFIED NATURAL GAS (LNG),58463.000,12949.060
2017,QATAR,LIQUIFIED NATURAL GAS (LNG),10065500.000,2286712.310
2017,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),215413.170,52020.050
2017,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),445306.880,107065.200
2017,UAE,LIQUIFIED NATURAL GAS (LNG),565249.250,110513.330
2017,UK,LIQUIFIED NATURAL GAS (LNG),66300.440,21726.160
2017,USA,LIQUIFIED NATURAL GAS (LNG),424361.310,103772.440
2018,ALGERIA,LIQUIFIED NATURAL GAS (LNG),267069.060,62697.300
2018,ANGOLA,LIQUIFIED NATURAL GAS (LNG),1354273.000,340880.260
2018,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),1748797.250,471398.510
2018,EGYPT,LIQUIFIED NATURAL GAS (LNG),386255.000,99281.920
2018,EQUTL GUINEA,LIQUIFIED NATURAL GAS (LNG),1034287.000,238002.350
2018,FRANCE,LIQUIFIED NATURAL GAS (LNG),246214.750,90703.240
2018,INDONESIA,LIQUIFIED NATURAL GAS (LNG),69322.000,13823.100
2018,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),253064.750,55547.400
2018,NETHERLAND,LIQUIFIED NATURAL GAS (LNG),261044.340,76217.100
2018,NIGER,LIQUIFIED NATURAL GAS (LNG),60000.000,12664.930
2018,NIGERIA,LIQUIFIED NATURAL GAS (LNG),3004489.250,710897.720
2018,NORWAY,LIQUIFIED NATURAL GAS (LNG),137194.550,44763.650
2018,OMAN,LIQUIFIED NATURAL GAS (LNG),508745.690,132957.640
2018,QATAR,LIQUIFIED NATURAL GAS (LNG),9969158.000,2654841.870
2018,RUSSIA,LIQUIFIED NATURAL GAS (LNG),65000.000,20863.760
2018,SPAIN,LIQUIFIED NATURAL GAS (LNG),65186.620,15341.070
2018,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),65129.680,13755.110
2018,UAE,LIQUIFIED NATURAL GAS (LNG),334076.090,76727.800
2018,USA,LIQUIFIED NATURAL GAS (LNG),347505.310,105280.310
2019,ALGERIA,LIQUIFIED NATURAL GAS (LNG),213425.660,63702.100
2019,ANGOLA,LIQUIFIED NATURAL GAS (LNG),1511723.000,494645.010
2019,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),1246811.750,437565.630
2019,BELGIUM,LIQUIFIED NATURAL GAS (LNG),62564.930,25705.750
2019,CAMEROON,LIQUIFIED NATURAL GAS (LNG),273280.690,79071.610
2019,EGYPT,LIQUIFIED NATURAL GAS (LNG),64000.000,24488.510
2019,EQUTL GUINEA,LIQUIFIED NATURAL GAS (LNG),878170.940,278844.420
2019,FRANCE,LIQUIFIED NATURAL GAS (LNG),163261.970,51112.310
2019,GERMANY,LIQUIFIED NATURAL GAS (LNG),0.040,0.560
2019,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),262863.630,85896.990
2019,NETHERLAND,LIQUIFIED NATURAL GAS (LNG),159316.890,44422.140
2019,NIGERIA,LIQUIFIED NATURAL GAS (LNG),2780447.250,817417.060
2019,OMAN,LIQUIFIED NATURAL GAS (LNG),1296097.880,430677.710
2019,QATAR,LIQUIFIED NATURAL GAS (LNG),10261372.000,3762285.000
2019,SINGAPORE,LIQUIFIED NATURAL GAS (LNG),65837.670,20095.390
2019,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),67785.670,20783.230
2019,SWITZERLAND,LIQUIFIED NATURAL GAS (LNG),61487.250,22994.360
2019,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),366621.690,113747.410
2019,UAE,LIQUIFIED NATURAL GAS (LNG),366982.720,167264.220
2019,UK,LIQUIFIED NATURAL GAS (LNG),208838.110,82834.240
2019,USA,LIQUIFIED NATURAL GAS (LNG),1233773.130,365232.450
2020,ALGERIA,LIQUIFIED NATURAL GAS (LNG),151978.780,37504.800
2020,ANGOLA,LIQUIFIED NATURAL GAS (LNG),2577518.750,702399.150
2020,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),957482.440,284742.470
2020,BELGIUM,LIQUIFIED NATURAL GAS (LNG),0.000,0.000
2020,CAMEROON,LIQUIFIED NATURAL GAS (LNG),593940.190,154349.600
2020,CHINA P R,LIQUIFIED NATURAL GAS (LNG),0.120,0.080
2020,EGYPT,LIQUIFIED NATURAL GAS (LNG),199962.000,64265.730
2020,EQUTL GUINEA,LIQUIFIED NATURAL GAS (LNG),653337.500,157508.620
2020,FRANCE,LIQUIFIED NATURAL GAS (LNG),242094.830,75276.170
2020,GERMANY,LIQUIFIED NATURAL GAS (LNG),0.000,0.000
2020,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),260757.580,51686.640
2020,NETHERLAND,LIQUIFIED NATURAL GAS (LNG),0.000,0.000
2020,NIGERIA,LIQUIFIED NATURAL GAS (LNG),2901944.250,751113.660
2020,NORWAY,LIQUIFIED NATURAL GAS (LNG),68894.550,13628.680
2020,OMAN,LIQUIFIED NATURAL GAS (LNG),763883.500,220085.280
2020,QATAR,LIQUIFIED NATURAL GAS (LNG),10067544.000,3152824.990
2020,RUSSIA,LIQUIFIED NATURAL GAS (LNG),102350.750,25210.090
2020,SINGAPORE,LIQUIFIED NATURAL GAS (LNG),0.000,0.000
2020,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),0.000,0.000
2020,SWITZERLAND,LIQUIFIED NATURAL GAS (LNG),0.000,0.000
2020,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),210344.140,47088.900
2020,UAE,LIQUIFIED NATURAL GAS (LNG),3028335.750,640647.210
2020,UK,LIQUIFIED NATURAL GAS (LNG),0.000,0.000
2020,USA,LIQUIFIED NATURAL GAS (LNG),1636237.130,468340.740
2016,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),713025.881,189719.361
2016,BELGIUM,LIQUIFIED NATURAL GAS (LNG),264249.690,65256.550
2016,EQUTL GUINEA,LIQUIFIED NATURAL GAS (LNG),338942.060,91920.220
2016,INDONESIA,LIQUIFIED NATURAL GAS (LNG),258920.420,70043.740
2016,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),114000.000,29924.180
2016,NETHERLAND,LIQUIFIED NATURAL GAS (LNG),101694.000,25585.610
2016,NIGERIA,LIQUIFIED NATURAL GAS (LNG),1518749.880,487700.900
2016,NORWAY,LIQUIFIED NATURAL GAS (LNG),101272.000,27014.180
2016,OMAN,LIQUIFIED NATURAL GAS (LNG),480206.750,143582.940
2016,PAPUA N GNA,LIQUIFIED NATURAL GAS (LNG),74208.000,18545.060
2016,PERU,LIQUIFIED NATURAL GAS (LNG),33700.000,14870.470
2016,QATAR,LIQUIFIED NATURAL GAS (LNG),9504899.000,2963431.490
2016,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),413438.280,129987.460
2016,SPAIN,LIQUIFIED NATURAL GAS (LNG),127814.200,34322.180
2016,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),218372.110,56358.120
2016,UAE,LIQUIFIED NATURAL GAS (LNG),113397.380,29960.860
2016,UK,LIQUIFIED NATURAL GAS (LNG),0.140,5.010
2016,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),35.000,15.650
