Detail Data For Gas Monthly - Production Month by Month Having Year : ALL
.
YearValue,MonthValue,Details,Onshore_OffShore,Source,GasType,GrossProduction_MMSCM_M
2020,7,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.790
2020,7,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,244.770
2020,7,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,98.870
2020,7,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,177.920
2020,7,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,76.480
2020,7,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,133.020
2020,7,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1592.350
2020,1,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,77.570
2020,1,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.210
2020,1,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,238.090
2020,1,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,115.550
2020,1,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,198.090
2020,1,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,97.080
2020,1,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,113.100
2020,1,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1709.030
2020,2,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,71.790
2020,2,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.630
2020,2,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,229.220
2020,2,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,107.330
2020,2,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,161.390
2020,2,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,86.760
2020,2,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,90.640
2020,2,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1532.390
2020,3,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,74.140
2020,3,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,5.000
2020,3,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,241.820
2020,3,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,107.670
2020,3,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,179.240
2020,3,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,88.630
2020,3,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,95.370
2020,3,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1565.200
2019,6,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,73.440
2019,6,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,2.640
2019,6,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,263.450
2019,6,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,112.670
2019,6,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,133.140
2019,6,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,90.400
2019,6,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,145.060
2019,6,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1761.120
2019,7,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,77.890
2019,7,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,2.950
2019,7,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,287.470
2019,7,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,114.790
2019,7,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,150.790
2019,7,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,67.870
2019,7,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,148.920
2019,7,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1811.380
2019,8,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,76.930
2019,8,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.350
2019,8,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,286.340
2019,8,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,113.660
2019,8,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,160.560
2019,8,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,96.270
2019,8,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,128.640
2019,8,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1767.280
2019,9,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,74.870
2019,9,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.260
2019,9,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,277.460
2019,9,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,107.280
2019,9,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,152.510
2019,9,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,90.740
2019,9,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,123.490
2019,9,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1685.230
2019,10,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,75.490
2019,10,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.490
2019,10,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,284.470
2019,10,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,108.620
2019,10,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,154.240
2019,10,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,90.560
2019,10,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,126.340
2019,10,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1743.270
2019,11,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,3.000
2019,11,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.570
2019,11,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,273.180
2019,11,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,111.110
2019,11,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,158.740
2019,11,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,92.360
2019,11,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,109.720
2019,11,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1683.810
2019,12,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,79.690
2019,12,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.470
2019,12,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,225.080
2019,12,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,116.420
2019,12,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,173.700
2019,12,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,96.260
2019,12,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,111.760
2019,12,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1750.020
2020,8,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,72.280
2020,8,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,5.130
2020,8,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,240.750
2020,8,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,98.310
2020,8,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,170.930
2020,8,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,72.500
2020,8,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,137.120
2020,8,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1580.670
2020,9,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,69.420
2020,9,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,5.160
2020,9,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,253.640
2020,9,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,94.640
2020,9,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,163.120
2020,9,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,79.570
2020,9,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,133.970
2020,9,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1441.600
2020,10,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,73.120
2020,10,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.870
2020,10,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,274.740
2020,10,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,96.840
2020,10,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,168.720
2020,10,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,88.270
2020,10,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,137.100
2020,10,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1521.090
2020,12,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,71.190
2020,12,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.740
2020,12,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,248.920
2020,12,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,98.460
2020,12,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,180.700
2020,12,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,75.220
2020,12,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,136.260
2020,12,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1552.990
2021,1,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,69.190
2021,1,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.600
2021,1,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,262.530
2021,1,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,98.830
2021,1,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,189.260
2021,1,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,72.550
2021,1,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,147.180
2021,1,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1650.230
2020,11,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,70.930
2020,11,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.230
2020,11,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,253.100
2020,11,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,92.550
2020,11,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,163.250
2020,11,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,82.010
2020,11,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,134.080
2020,11,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1477.180
2021,2,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,64.070
2021,2,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.590
2021,2,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,219.650
2021,2,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,87.910
2021,2,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,171.770
2021,2,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,62.180
2021,2,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,136.320
2021,2,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1509.100
2021,3,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,70.700
2021,3,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.900
2021,3,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,243.690
2021,3,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,98.270
2021,3,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,210.300
2021,3,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,80.580
2021,3,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,129.360
2021,3,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1790.830
2021,4,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,68.730
2021,4,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.980
2021,4,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,252.380
2021,4,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,91.690
2021,4,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,209.360
2021,4,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,80.420
2021,4,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,80.870
2021,4,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1806.550
2021,5,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,67.830
2021,5,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.780
2021,5,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,259.460
2021,5,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,87.490
2021,5,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,227.630
2021,5,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,80.870
2021,5,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,107.030
2021,5,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1845.670
2021,6,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,67.840
2021,6,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.630
2021,6,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,259.880
2021,6,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,84.690
2021,6,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,235.120
2021,6,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,80.730
2021,6,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,107.890
2021,6,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1879.970
2020,4,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.050
2020,4,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.690
2020,4,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),21.640
2020,5,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.050
2020,5,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),29.430
2020,5,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),23.340
2020,6,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.080
2020,6,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.130
2020,6,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),21.630
2020,7,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.090
2020,7,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),29.370
2020,7,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),23.820
2020,1,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.300
2020,1,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),29.420
2020,1,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),25.920
2020,2,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.330
2020,2,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.680
2020,2,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),27.360
2020,3,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.200
2020,3,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),29.750
2020,3,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),28.410
2019,6,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.490
2019,6,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.140
2019,6,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),25.550
2019,7,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.430
2019,7,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),29.170
2019,7,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),26.260
2019,8,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.400
2019,8,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.480
2019,8,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),25.330
2019,9,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.440
2019,9,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.150
2019,9,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),23.680
2019,10,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.500
2019,10,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.940
2019,10,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),24.120
2019,11,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.410
2019,11,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.120
2019,11,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),23.640
2019,12,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.360
2019,12,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),29.200
2019,12,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),23.420
2020,8,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.140
2020,8,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),29.290
2020,8,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),24.800
2020,9,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.170
2020,9,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),27.760
2020,9,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),24.470
2020,10,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.200
2020,10,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),28.090
2020,10,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),25.850
2020,12,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.140
2020,12,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),27.780
2020,12,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),28.520
2021,1,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.130
2021,1,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),27.100
2021,1,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),29.020
2020,11,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.160
2020,11,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),27.230
2020,11,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),26.530
2021,2,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.200
2021,2,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),24.230
2021,2,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),27.130
2021,3,GROSS PRODUCTION,ONSHORE,JHARKHAND (CBM),COAL BED METHANE (CBM),0.270
2021,3,GROSS PRODUCTION,ONSHORE,MADHYA PRADESH (CBM),COAL BED METHANE (CBM),26.590
2021,3,GROSS PRODUCTION,ONSHORE,WEST BENGAL (CBM),COAL BED METHANE (CBM),30.270
