"observationPeriods","MinDate","ScalingFactors","MeasurementMethods","StatVar","NumPlaces","Units"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_Male_IncomeOf60To80Percentile","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_LessThanOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_Rural_Male","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_CitizenOutsideEU28_Male","21","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_10YearsOrOver_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female","30","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_LessThanOnceAWeek_ExposureToTobaccoSmoke_In_Count_Person","30","[Percent]"
"[]","2008","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_20OrMoreCigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_TobaccoProducts_In_Count_Person_TertiaryEducation","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_TobaccoProducts_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_LessThan20CigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_Rural_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_WithinEU28AndNotACitizen_Female","22","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Occasional_TobaccoSmoking_ECigarettes_In_Count_Person_TertiaryEducation_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_LessThanOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_TobaccoProducts_In_Count_Person_Native","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_LessThan1Year_TobaccoProducts_In_Count_Person_TertiaryEducation","30","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_10YearsOrOver_TobaccoProducts_In_Count_Person_Female","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_Male","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_FormerSmoker_Daily_TobaccoProducts_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_TobaccoProducts_In_Count_Person_CitizenOutsideEU28_Female","23","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_WithinEU27AndNotACitizen_Male","27","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_CitizenOutsideEU28_Female","23","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_AtLeastOnceAWeek_ExposureToTobaccoSmoke_In_Count_Person_TertiaryEducation","29","[Percent]"
"[]","2008","[100]","[EurostatRegionalStatistics]","Percent_Daily_LessThan20CigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_TertiaryEducationStageOneOrTertiaryEducationStageTwo","15","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_CitizenOutsideEU27_Female","23","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Daily_TobaccoSmoking_From5To10Years_TobaccoProducts_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics]","Percent_AtLeastOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_SemiUrban_Female","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_CitizenOutsideEU27_Male","23","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_IncomeOf80To100Percentile","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_WithinEU28AndNotACitizen_Female","22","[Percent]"
"[]","2008","[100]","[EurostatRegionalStatistics]","Percent_Daily_20OrMoreCigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_TertiaryEducationStageOneOrTertiaryEducationStageTwo_Male","15","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_LessThan1Year_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female","30","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_AtLeastOnceAWeek_ExposureToTobaccoSmoke_In_Count_Person_Rural_Female","28","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Occasional_TobaccoSmoking_ECigarettes_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Occasional_TobaccoSmoking_ECigarettes_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","32","[Percent]"
"[]","2008","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_20OrMoreCigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Daily_TobaccoSmoking_LessThan1Year_TobaccoProducts_In_Count_Person_Male","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_20OrMoreCigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_Urban_Male","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_TobaccoProducts_In_Count_Person_WithinEU28AndNotACitizen","27","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Daily_TobaccoSmoking_From1To5Years_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male","30","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_FormerSmoker_Daily_TobaccoProducts_In_Count_Person","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_AtLeastOnceAWeek_ExposureToTobaccoSmoke_In_Count_Person_SemiUrban","28","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_FormerSmoker_Daily_TobaccoProducts_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female","30","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_FormerSmoker_Formerly_ECigarettes_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_20OrMoreCigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_Rural_Male","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_FormerSmoker_Formerly_ECigarettes_In_Count_Person_Male","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_TobaccoProducts_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_ForeignBorn","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_LessThanOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_Rural_Female","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_LessThanOnceAWeek_ExposureToTobaccoSmoke_In_Count_Person_Rural_Female","28","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_Female_ForeignBornOutsideEU27","27","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_Cigarettes_In_Count_Person_Urban","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_Female_ForeignBornOutsideEU28","27","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_Female_Native","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_RarelyOrNever_ExposureToTobaccoSmoke_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female","32","[Percent]"
"[]","2008","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_Cigarettes_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_LessThanOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_Urban_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_SemiUrban","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_RarelyOrNever_ExposureToTobaccoSmoke_In_Count_Person_Male","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_LessThanOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_Female_ForeignBornWithinEU28","28","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_NotACitizen_Male","29","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_Female_ForeignBornWithinEU27","27","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_20OrMoreCigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_Urban_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_Rural_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_Male_IncomeOf80To100Percentile","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_WithinEU27AndNotACitizen_Female","19","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_RarelyOrNever_ExposureToTobaccoSmoke_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Daily_TobaccoSmoking_ECigarettes_In_Count_Person","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_FormerSmoker_Formerly_ECigarettes_In_Count_Person","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_20OrMoreCigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_Rural","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_AtLeastOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_TobaccoSmoking_NeverUsed_ECigarettes_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_AtLeastOnceAWeek_ExposureToTobaccoSmoke_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","29","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_LessThan20CigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_SemiUrban_Female","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_LessThanOnceAWeek_ExposureToTobaccoSmoke_In_Count_Person_Rural","28","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_AtLeastOnceAWeek_ExposureToTobaccoSmoke_In_Count_Person_SemiUrban_Female","28","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_TobaccoSmoking_NeverUsed_ECigarettes_In_Count_Person_TertiaryEducation","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_RarelyOrNever_ExposureToTobaccoSmoke_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","32","[Percent]"
"[]","2008","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_20OrMoreCigarettesPerDay_TobaccoSmoking_Cigarettes_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_FormerSmoker_Formerly_ECigarettes_In_Count_Person_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_ForeignBorn","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_TobaccoSmoking_TobaccoProducts_In_Count_Person_NotACitizen","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_TobaccoProducts_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_CitizenOutsideEU28_Female","23","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Daily_TobaccoSmoking_10YearsOrOver_TobaccoProducts_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_AtLeastOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_From5To10Years_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female","30","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_LessThanOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_Female","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_LessThanOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_Citizen_Female","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Daily_TobaccoSmoking_From1To5Years_TobaccoProducts_In_Count_Person_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation","30","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_TobaccoSmoking_NeverUsed_ECigarettes_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_NonSmoker_TobaccoProducts_In_Count_Person_IncomeOf20To40Percentile","32","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Daily_TobaccoSmoking_ECigarettes_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Daily_TobaccoSmoking_ECigarettes_In_Count_Person_TertiaryEducation_Female","31","[Percent]"
"[]","2019","[100]","[EurostatRegionalStatistics]","Percent_Daily_TobaccoSmoking_ECigarettes_In_Count_Person_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_Rural_Female","31","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_Occasional_TobaccoSmoking_TobaccoProducts_In_Count_Person_TertiaryEducation_Female","32","[Percent]"
"[]","2014","[100]","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","Percent_AtLeastOneHourPerDay_ExposureToTobaccoSmoke_In_Count_Person_Female","32","[Percent]"
