,Year,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_WhiteAlone,geo_ID,Count_Person_Male,Count_Person_Female
196,1982.0,20120,16808,50420,49445,geoId/01125,66625,70916
197,1982.0,2547,2153,32444,30626,geoId/01127,32858,35121
198,1982.0,2578,2335,5943,5823,geoId/01129,8599,8970
199,1982.0,5538,4811,2458,2236,geoId/01131,7049,8004
200,1982.0,38,28,11175,10666,geoId/01133,10717,11250
201,1983.0,3680,3221,12578,12422,geoId/01001,15696,16361
202,1983.0,6361,5673,36366,34947,geoId/01003,40906,43074
203,1983.0,5955,4991,7094,6688,geoId/01005,11709,13087
204,1983.0,1907,1690,6294,6088,geoId/01007,7788,8213
205,1983.0,294,259,18133,17635,geoId/01009,17942,18485
206,1983.0,4036,3335,1651,1655,geoId/01011,4997,5689
207,1983.0,4748,3990,7189,6429,geoId/01013,10431,11955
208,1983.0,11460,10225,50097,48552,geoId/01015,59166,62083
209,1983.0,7447,6469,13285,12016,geoId/01017,18502,20759
210,1983.0,771,689,8921,8715,geoId/01019,9419,9717
211,1983.0,1882,1686,13911,13199,geoId/01021,14905,15830
212,1983.0,3830,3391,4795,4555,geoId/01023,7956,8637
213,1983.0,6208,5640,8222,7727,geoId/01025,13392,14471
214,1983.0,1191,1062,5923,5567,geoId/01027,6636,7124
215,1983.0,332,286,6124,5958,geoId/01029,6255,6470
216,1983.0,3603,3231,16804,16286,geoId/01031,19636,20614
217,1983.0,4838,4061,22854,21589,geoId/01033,25734,27772
218,1983.0,3419,2901,4595,4351,geoId/01035,7272,8037
219,1983.0,1957,1908,3774,3599,geoId/01037,5516,5741
220,1983.0,2655,2144,16737,15231,geoId/01039,17416,19445
221,1983.0,1984,1646,5322,4957,geoId/01041,6618,7326
222,1983.0,266,271,32007,30360,geoId/01043,30712,32373
223,1983.0,4106,4135,18996,20659,geoId/01045,25104,23626
224,1983.0,16160,13469,12505,11176,geoId/01047,24710,28739
225,1983.0,518,447,27165,25503,geoId/01049,26076,27827
226,1983.0,4928,4986,17344,17097,geoId/01051,22154,22354
227,1983.0,5441,5453,12962,12539,geoId/01053,18515,18891
228,1983.0,7488,6354,46099,42351,geoId/01055,48905,53802
229,1983.0,1258,1121,8594,8001,geoId/01057,9131,9869
230,1983.0,669,605,13981,13038,geoId/01059,13675,14684
231,1983.0,1580,1356,10595,10053,geoId/01061,11459,12238
232,1983.0,4763,3964,1226,1125,geoId/01063,5095,5991
233,1983.0,5055,4375,3049,2809,geoId/01065,7196,8123
234,1983.0,3006,2569,4964,4577,geoId/01067,7162,7983
235,1983.0,9390,7958,30596,28591,geoId/01069,36842,40283
236,1983.0,1100,992,24573,23397,geoId/01071,24630,25940
237,1983.0,121265,101637,228562,206520,geoId/01073,309540,351300
238,1983.0,1022,921,7393,6995,geoId/01075,7926,8431
239,1983.0,4229,3551,37567,34913,geoId/01077,38591,41956
240,1983.0,2605,2359,12659,12324,geoId/01079,15029,15640
241,1983.0,10077,8788,29053,30290,geoId/01081,39578,39543
242,1983.0,3309,3206,20689,19917,geoId/01083,23202,24070
243,1983.0,5084,4419,1676,1531,geoId/01085,5955,6763
244,1983.0,11802,10185,1849,2037,geoId/01087,12287,13704
245,1983.0,21543,19677,81952,80224,geoId/01089,101412,105184
246,1983.0,6919,5964,5992,5683,geoId/01091,11658,12927
247,1983.0,394,414,15499,14731,geoId/01093,15180,15935
248,1983.0,531,504,34204,31888,geoId/01095,32474,34849
249,1983.0,63314,54293,131546,124235,geoId/01097,180229,196615
250,1983.0,4909,4431,6684,6288,geoId/01099,10815,11682
251,1983.0,43494,36829,61959,56889,geoId/01101,94277,106186
252,1983.0,4824,4144,41877,40053,geoId/01103,44361,46894
253,1983.0,4917,4181,2995,2760,geoId/01105,6949,7925
254,1983.0,4951,4101,6472,6171,geoId/01107,10289,11449
255,1983.0,5363,4295,9357,8696,geoId/01109,13051,14795
256,1983.0,2510,2259,7878,7279,geoId/01111,9553,10405
257,1983.0,9580,8349,14418,13556,geoId/01113,21968,24085
258,1983.0,2087,2004,19280,18984,geoId/01115,21056,21434
259,1983.0,3589,3184,33292,32345,geoId/01117,35733,37115
260,1983.0,6351,5432,2624,2542,geoId/01119,7988,8992
261,1983.0,12203,10924,26941,25267,geoId/01121,36274,39235
262,1983.0,5508,4744,14599,13564,geoId/01123,18331,20152
263,1983.0,20085,16778,50682,49721,geoId/01125,66916,71172
264,1983.0,2517,2117,32364,30527,geoId/01127,32725,35007
265,1983.0,2559,2316,5914,5794,geoId/01129,8559,8937
266,1983.0,5571,4832,2471,2261,geoId/01131,7096,8049
267,1983.0,37,29,11086,10586,geoId/01133,10637,11159
268,1984.0,3646,3185,12657,12481,geoId/01001,15721,16409
269,1984.0,6456,5742,37699,36193,geoId/01003,42234,44519
270,1984.0,5982,5021,7144,6738,geoId/01005,11790,13164
271,1984.0,1892,1677,6351,6147,geoId/01007,7835,8255
272,1984.0,294,259,18341,17785,geoId/01009,18094,18696
273,1984.0,4111,3412,1625,1666,geoId/01011,5085,5738
274,1984.0,4767,4010,7195,6437,geoId/01013,10459,11981
275,1984.0,11571,10296,50285,48629,geoId/01015,59328,62410
276,1984.0,7417,6439,13211,11959,geoId/01017,18416,20655
277,1984.0,751,675,8870,8645,geoId/01019,9336,9650
278,1984.0,1886,1694,14080,13354,geoId/01021,15072,16006
279,1984.0,3849,3388,4803,4556,geoId/01023,7954,8664
280,1984.0,6153,5589,8167,7659,geoId/01025,13274,14362
281,1984.0,1177,1051,5893,5529,geoId/01027,6587,7080
282,1984.0,333,287,6070,5915,geoId/01029,6213,6417
283,1984.0,3604,3227,16774,16282,geoId/01031,19636,20598
284,1984.0,4787,4000,22639,21391,geoId/01033,25479,27511
285,1984.0,3391,2868,4543,4294,geoId/01035,7183,7958
286,1984.0,1953,1902,3765,3596,geoId/01037,5508,5730
287,1984.0,2659,2149,16794,15292,geoId/01039,17484,19508
288,1984.0,1977,1633,5306,4942,geoId/01041,6590,7304
289,1984.0,267,274,32680,30979,geoId/01043,31339,33050
290,1984.0,4124,4110,18846,20448,geoId/01045,24875,23502
291,1984.0,16247,13453,12399,11089,geoId/01047,24609,28721
292,1984.0,517,448,27277,25591,geoId/01049,26183,27961
293,1984.0,4947,5074,17495,17296,geoId/01051,22450,22531
294,1984.0,5432,5429,13028,12580,geoId/01053,18538,18954
295,1984.0,7477,6334,45923,42122,geoId/01055,48673,53635
296,1984.0,1268,1119,8679,8070,geoId/01057,9198,9964
297,1984.0,682,613,14183,13184,geoId/01059,13831,14899
298,1984.0,1584,1362,10698,10142,geoId/01061,11552,12347
299,1984.0,4718,3920,1196,1106,geoId/01063,5032,5916
300,1984.0,5031,4325,3077,2837,geoId/01065,7174,8127
301,1984.0,2996,2555,5006,4611,geoId/01067,7182,8015
302,1984.0,9480,7999,30679,28631,geoId/01069,36931,40466
303,1984.0,1095,982,24366,23147,geoId/01071,24410,25772
304,1984.0,121602,101734,227567,205634,geoId/01073,308839,350733
305,1984.0,1019,915,7399,6971,geoId/01075,7896,8434
306,1984.0,4227,3536,37564,34878,geoId/01077,38543,41954
307,1984.0,2618,2366,12750,12435,geoId/01079,15248,15854
308,1984.0,10178,8842,29515,30729,geoId/01081,40131,40154
309,1984.0,3266,3252,20858,20147,geoId/01083,23492,24204
310,1984.0,5110,4413,1679,1536,geoId/01085,5954,6792
311,1984.0,11614,9991,1814,1972,geoId/01087,12028,13480
312,1984.0,21981,20066,83334,81772,geoId/01089,103519,107187
313,1984.0,6831,5883,5983,5662,geoId/01091,11556,12830
314,1984.0,401,429,15313,14560,geoId/01093,15027,15757
315,1984.0,531,506,34721,32288,geoId/01095,32886,35376
316,1984.0,63191,53946,131410,123949,geoId/01097,179726,196483
317,1984.0,4939,4457,6832,6436,geoId/01099,10996,11866
318,1984.0,44153,37394,62285,57313,geoId/01101,95312,107218
319,1984.0,4891,4215,42387,40529,geoId/01103,44932,47491
320,1984.0,4892,4149,2927,2705,geoId/01105,6862,7832
321,1984.0,4944,4071,6464,6167,geoId/01107,10254,11436
322,1984.0,5287,4223,9237,8598,geoId/01109,12885,14602
323,1984.0,2515,2259,7915,7341,geoId/01111,9615,10448
324,1984.0,9648,8389,14563,13712,geoId/01113,22167,24302
325,1984.0,2119,2098,20041,19773,geoId/01115,21944,22231
326,1984.0,3623,3208,34824,33804,geoId/01117,37242,38709
327,1984.0,6426,5471,2643,2559,geoId/01119,8045,9087
328,1984.0,12129,10862,26805,25182,geoId/01121,36138,39031
329,1984.0,5498,4702,14633,13556,geoId/01123,18282,20178
330,1984.0,20114,16767,51078,50054,geoId/01125,67293,71638
331,1984.0,2499,2094,32410,30526,geoId/01127,32701,35034
332,1984.0,2510,2277,5805,5682,geoId/01129,8409,8785
333,1984.0,5475,4732,2424,2219,geoId/01131,6954,7906
334,1984.0,35,28,11256,10751,geoId/01133,10801,11327
335,1985.0,3619,3140,12758,12559,geoId/01001,15760,16488
336,1985.0,6542,5798,38993,37376,geoId/01003,43481,45922
337,1985.0,5979,5024,7161,6760,geoId/01005,11820,13181
338,1985.0,1880,1666,6395,6188,geoId/01007,7868,8288
339,1985.0,298,259,18680,18054,geoId/01009,18368,19049
340,1985.0,4096,3432,1586,1650,geoId/01011,5091,5688
341,1985.0,4783,4015,7176,6419,geoId/01013,10450,11975
342,1985.0,11339,10057,49026,47253,geoId/01015,57715,60931
343,1985.0,7334,6356,13056,11817,geoId/01017,18195,20418
344,1985.0,725,659,8848,8605,geoId/01019,9288,9603
345,1985.0,1901,1713,14317,13560,geoId/01021,15301,16259
346,1985.0,3882,3400,4832,4574,geoId/01023,7984,8724
347,1985.0,6107,5533,8116,7592,geoId/01025,13154,14266
348,1985.0,1181,1055,5909,5529,geoId/01027,6597,7104
349,1985.0,329,281,6092,5931,geoId/01029,6222,6437
350,1985.0,3615,3243,16819,16338,geoId/01031,19716,20670
351,1985.0,4768,3979,22592,21337,geoId/01033,25409,27451
352,1985.0,3374,2848,4502,4257,geoId/01035,7128,7901
353,1985.0,1917,1857,3691,3541,geoId/01037,5413,5620
354,1985.0,2671,2150,16875,15350,geoId/01039,17551,19600
355,1985.0,1970,1629,5322,4943,geoId/01041,6591,7311
356,1985.0,264,277,33033,31262,geoId/01043,31629,33411
357,1985.0,4187,4112,18881,20397,geoId/01045,24837,23617
358,1985.0,16237,13371,12217,10913,geoId/01047,24355,28530
359,1985.0,524,450,27150,25440,geoId/01049,26054,27867
360,1985.0,4977,5175,17706,17528,geoId/01051,22791,22779
361,1985.0,5388,5373,13013,12533,geoId/01053,18445,18898
362,1985.0,7492,6339,45939,42025,geoId/01055,48605,53682
363,1985.0,1261,1107,8686,8067,geoId/01057,9185,9964
364,1985.0,681,607,14191,13143,geoId/01059,13787,14911
365,1985.0,1580,1355,10781,10198,geoId/01061,11601,12425
366,1985.0,4672,3876,1162,1082,geoId/01063,4963,5834
367,1985.0,4925,4214,3048,2813,geoId/01065,7040,7987
368,1985.0,2985,2540,5047,4650,geoId/01067,7208,8052
369,1985.0,9609,8078,30919,28800,geoId/01069,37191,40847
370,1985.0,1083,957,24027,22757,geoId/01071,24036,25465
371,1985.0,122113,101920,226910,204821,geoId/01073,308308,350678
372,1985.0,1030,922,7502,7045,geoId/01075,7978,8550
373,1985.0,4223,3523,37597,34837,geoId/01077,38497,41990
374,1985.0,2600,2335,12684,12392,geoId/01079,15271,15876
375,1985.0,10247,8874,29911,31009,geoId/01081,40508,40665
376,1985.0,3315,3374,21578,20891,geoId/01083,24370,24983
377,1985.0,5104,4392,1677,1533,geoId/01085,5930,6789
378,1985.0,11592,9931,1802,1930,geoId/01087,11925,13454
379,1985.0,22470,20489,84915,83443,geoId/01089,105791,109449
380,1985.0,6756,5809,5985,5660,geoId/01091,11480,12756
381,1985.0,410,446,15320,14552,geoId/01093,15037,15772
382,1985.0,542,510,35337,32758,geoId/01095,33371,36015
383,1985.0,63636,54047,132491,124665,geoId/01097,180691,198156
384,1985.0,4876,4398,6856,6475,geoId/01099,10983,11833
385,1985.0,44678,37821,62426,57486,geoId/01101,95961,107933
386,1985.0,4967,4296,43078,41143,geoId/01103,45652,48281
387,1985.0,4857,4118,2858,2637,geoId/01105,6766,7731
388,1985.0,4969,4056,6483,6181,geoId/01107,10254,11478
389,1985.0,5345,4262,9358,8715,geoId/01109,13051,14788
390,1985.0,2477,2208,7793,7258,geoId/01111,9481,10296
391,1985.0,9666,8388,14637,13798,geoId/01113,22258,24400
392,1985.0,2123,2158,20583,20328,geoId/01115,22564,22787
393,1985.0,3688,3246,36624,35503,geoId/01117,39003,40598
394,1985.0,6451,5449,2644,2544,geoId/01119,8010,9111
395,1985.0,12128,10865,26836,25236,geoId/01121,36204,39071
396,1985.0,5515,4683,14728,13599,geoId/01123,18313,20293
397,1985.0,20362,16938,52053,50884,geoId/01125,68354,72904
398,1985.0,2483,2071,32543,30563,geoId/01127,32710,35145
399,1985.0,2483,2250,5757,5628,geoId/01129,8342,8722
400,1985.0,5451,4695,2415,2210,geoId/01131,6907,7876
401,1985.0,35,29,11295,10778,geoId/01133,10833,11372
402,1986.0,3652,3161,13070,12838,geoId/01001,16061,16834
403,1986.0,6562,5803,39949,38273,geoId/01003,44393,46915
404,1986.0,5948,5006,7150,6759,geoId/01005,11802,13140
405,1986.0,1834,1619,6313,6125,geoId/01007,7759,8160
406,1986.0,293,258,18996,18318,geoId/01009,18632,19364
407,1986.0,3989,3360,1502,1592,geoId/01011,4961,5497
408,1986.0,4773,4014,7130,6390,geoId/01013,10420,11920
409,1986.0,11304,10015,48605,46768,geoId/01015,57199,60500
410,1986.0,7222,6248,12831,11630,geoId/01017,17901,20081
411,1986.0,710,649,8907,8661,geoId/01019,9335,9650
412,1986.0,1903,1723,14491,13728,geoId/01021,15483,16440
413,1986.0,3899,3402,4840,4567,geoId/01023,7979,8749
414,1986.0,6095,5510,8109,7574,geoId/01025,13114,14248
415,1986.0,1157,1040,5832,5449,geoId/01027,6502,7003
416,1986.0,325,281,6040,5884,geoId/01029,6175,6381
417,1986.0,3639,3265,16905,16430,geoId/01031,19838,20794
418,1986.0,4727,3934,22435,21192,geoId/01033,25228,27258
419,1986.0,3378,2849,4490,4239,geoId/01035,7113,7894
420,1986.0,1926,1865,3730,3579,geoId/01037,5460,5670
421,1986.0,2645,2122,16707,15214,geoId/01039,17389,19407
422,1986.0,1960,1621,5312,4929,geoId/01041,6569,7292
423,1986.0,264,284,33436,31629,geoId/01043,32007,33818
424,1986.0,4316,4182,19194,20667,geoId/01045,25183,24071
425,1986.0,16110,13193,11950,10679,geoId/01047,23946,28136
426,1986.0,520,454,26985,25279,geoId/01049,25917,27719
427,1986.0,4999,5265,17869,17744,geoId/01051,23107,22972
428,1986.0,5364,5343,13055,12556,geoId/01053,18450,18932
429,1986.0,7458,6314,45653,41710,geoId/01055,48282,53383
430,1986.0,1246,1085,8619,7990,geoId/01057,9086,9882
431,1986.0,676,601,14124,13055,geoId/01059,13694,14839
432,1986.0,1556,1334,10745,10158,geoId/01061,11540,12367
433,1986.0,4595,3796,1125,1057,geoId/01063,4858,5720
