,geo_ID,Year,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces
44,geoId/06001,2004,709953,735768,406213,404102,95505,109726,6384,6401,168118,180269,6035,6041,27698,29229
45,geoId/06001,2005,707378,734167,401109,399203,93568,107389,6654,6713,171280,184241,6199,6297,28568,30324
46,geoId/06001,2006,708331,736153,397846,396322,92684,106286,6970,7031,174521,188535,6328,6461,29982,31518
47,geoId/06001,2007,714166,741549,397526,395357,92216,105450,7511,7268,178868,193627,6532,6721,31513,33126
48,geoId/06001,2008,724542,752666,399576,397453,92471,105151,7986,7810,184606,200139,6761,7059,33142,35054
49,geoId/06001,2009,734706,763833,401119,399607,93138,105769,8565,8279,189787,205903,6998,7277,35099,36998
50,geoId/08001,2000,177952,172936,160329,155924,6029,5431,2545,2433,5715,5863,296,233,3038,3052
51,geoId/08001,2001,182437,177379,163895,159390,6304,5536,2650,2603,5957,6267,330,285,3301,3298
52,geoId/08001,2002,188361,182392,168634,163245,6637,5836,2814,2739,6303,6684,349,296,3624,3592
53,geoId/08001,2003,191375,186089,170981,166318,6667,5854,3067,2927,6496,6855,358,316,3806,3819
54,geoId/08001,2004,195253,189556,174112,169060,6738,5899,3257,3080,6682,7083,352,323,4112,4111
55,geoId/08001,2005,199863,195283,177895,173712,6909,6050,3458,3284,6891,7442,354,321,4356,4474
56,geoId/08001,2006,205132,201443,182193,178792,7198,6394,3662,3516,7039,7668,372,333,4668,4740
57,geoId/08001,2007,209485,206261,185693,182509,7410,6598,3817,3827,7293,7905,372,366,4900,5056
58,geoId/08001,2008,213620,211293,188635,186370,7698,6882,4104,4034,7580,8293,372,391,5231,5323
59,geoId/08001,2009,219144,216556,192903,190589,7920,7022,4540,4337,7848,8506,404,425,5529,5677
60,geoId/09001,2000,427000,457364,362880,384453,43554,51652,1104,1047,14919,15374,306,298,4237,4540
61,geoId/09001,2001,429741,459322,363940,384742,44129,52151,1171,1126,15588,16102,335,299,4578,4902
62,geoId/09001,2002,432350,460550,364757,384255,44519,52589,1294,1185,16509,16982,374,343,4897,5196
63,geoId/09001,2003,434225,462117,364838,383831,45166,53362,1434,1324,17182,17687,386,351,5219,5562
64,geoId/09001,2004,435034,462438,364332,382500,45597,53839,1529,1375,17606,18436,408,381,5562,5907
65,geoId/09001,2005,435396,462257,363252,380845,46027,54141,1658,1482,18162,19224,420,365,5877,6200
66,geoId/09001,2006,434500,461754,361161,378655,46089,54619,1773,1603,18766,19896,460,418,6251,6563
67,geoId/09001,2007,435607,461891,360813,377533,46534,54890,1875,1670,19319,20431,488,429,6578,6938
68,geoId/09001,2008,438976,464848,362253,378722,47216,55363,1978,1845,20016,21186,501,449,7012,7283
69,geoId/09001,2009,442459,467962,363675,379338,48204,56564,2146,1880,20539,21999,515,485,7380,7696
70,geoId/10001,2000,61351,65878,46225,48808,12695,14211,413,418,907,1293,26,34,1085,1114
71,geoId/10001,2001,62348,66880,46697,49163,13091,14656,441,452,946,1333,29,41,1144,1235
72,geoId/10001,2002,63488,68336,47415,49980,13403,15163,427,437,957,1364,32,41,1254,1351
73,geoId/10001,2003,64821,69784,48146,50684,13788,15627,469,464,1000,1461,38,47,1380,1501
74,geoId/10001,2004,67247,72095,49864,52096,14342,16275,441,477,1055,1522,39,52,1506,1673
75,geoId/10001,2005,69572,75013,51237,53711,15025,17258,506,507,1113,1604,43,57,1648,1876
76,geoId/10001,2006,71963,77741,52528,55213,15896,18216,507,511,1211,1688,47,56,1774,2057
77,geoId/10001,2007,74001,79968,53537,56255,16674,19078,514,529,1314,1800,51,67,1911,2239
78,geoId/10001,2008,75938,81987,54227,57027,17645,20015,548,579,1355,1897,54,65,2109,2404
79,geoId/10001,2009,76882,83199,54543,57387,18058,20671,529,583,1396,1928,64,69,2292,2561
80,geoId/11001,2000,269403,302643,99241,97900,158598,190616,959,1015,7046,8857,201,213,3358,4042
81,geoId/11001,2001,270764,303740,102110,100482,156460,188515,1003,1076,7230,9042,250,238,3711,4387
82,geoId/11001,2002,270012,303146,102600,101451,154923,186384,1079,1130,7189,9246,255,253,3966,4682
83,geoId/11001,2003,267895,300607,102590,101407,152426,183317,1130,1139,7279,9415,282,274,4188,5055
84,geoId/11001,2004,267470,300284,104354,103197,149612,180377,1200,1250,7528,9809,301,266,4475,5385
85,geoId/11001,2005,267523,299613,107004,105609,146735,177050,1247,1292,7404,9712,307,280,4826,5670
86,geoId/11001,2006,269359,301322,109636,108452,144754,174396,1390,1342,8114,10676,343,309,5122,6147
87,geoId/11001,2007,271455,302949,113016,112188,143170,172198,1458,1432,8028,10350,343,319,5440,6462
88,geoId/11001,2008,273971,306265,116020,115716,141695,170143,1509,1510,8552,11644,371,334,5824,6918
89,geoId/11001,2009,280400,311828,121495,121723,141546,169414,1661,1673,9047,11234,381,394,6270,7390
90,geoId/12001,2000,106690,111921,80629,83354,20057,22635,277,298,4142,4049,49,30,1536,1555
91,geoId/12001,2001,107963,113755,81278,84388,20349,22978,307,323,4342,4360,48,29,1639,1677
92,geoId/12001,2002,109386,115228,81838,85165,20738,23306,314,311,4690,4605,61,33,1745,1808
93,geoId/12001,2003,110470,116552,82179,85697,21006,23650,322,345,5015,4866,62,37,1886,1957
94,geoId/12001,2004,111703,118164,82676,86437,21294,24064,342,344,5328,5219,60,42,2003,2058
95,geoId/12001,2005,113467,120289,83570,87478,21809,24598,372,369,5560,5546,69,56,2087,2242
96,geoId/12001,2006,116266,123240,85313,89102,22321,25427,390,370,5945,5895,70,57,2227,2389
97,geoId/12001,2007,117805,124880,86099,89761,22764,26001,398,358,6142,6167,76,61,2326,2532
98,geoId/12001,2008,118776,126112,86264,90036,23213,26545,417,394,6349,6379,78,67,2455,2691
99,geoId/12001,2009,119548,127109,86319,90104,23588,27006,427,393,6578,6684,81,69,2555,2853
100,geoId/13001,2000,8582,8814,6897,6884,1602,1833,21,15,23,34,0,3,39,45
101,geoId/13001,2001,8653,8802,6969,6889,1602,1817,21,15,23,35,0,3,38,43
102,geoId/13001,2002,8655,8847,6947,6950,1607,1790,25,17,29,40,5,3,42,47
103,geoId/13001,2003,8780,8952,7057,7036,1609,1792,25,19,35,51,7,3,47,51
104,geoId/13001,2004,8864,8876,7113,6987,1624,1758,26,25,35,52,11,2,55,52
105,geoId/13001,2005,8885,8884,7097,7014,1641,1732,28,30,47,53,18,0,54,55
106,geoId/13001,2006,8900,8825,7068,6954,1671,1724,28,34,50,54,21,1,62,58
107,geoId/13001,2007,8997,8988,7109,7062,1710,1769,30,36,50,56,26,1,72,64
108,geoId/13001,2008,9065,9068,7121,7148,1758,1749,34,40,58,68,24,1,70,62
109,geoId/13001,2009,9120,9024,7189,7105,1729,1743,35,40,61,69,31,1,75,66
110,geoId/15001,2000,74838,74406,25355,24277,469,281,350,347,19703,20865,8714,8529,20247,20107
111,geoId/15001,2001,76043,75647,26038,24804,484,336,385,394,19561,20903,8963,8715,20612,20495
112,geoId/15001,2002,77670,76906,26904,25255,532,362,401,424,19492,20914,9301,8970,21040,20981
113,geoId/15001,2003,79578,78864,27911,26206,547,374,424,432,19469,20985,9610,9248,21617,21619
114,geoId/15001,2004,81456,81396,28655,27305,555,388,427,417,19542,21255,9944,9582,22333,22449
115,geoId/15001,2005,84256,83981,30319,28544,602,404,464,493,19623,21448,10284,9958,22964,23134
116,geoId/15001,2006,86983,86553,31616,29747,630,413,486,489,19717,21684,10708,10280,23826,23940
117,geoId/15001,2007,89093,88640,32338,30562,663,433,507,500,19835,21828,11098,10624,24652,24693
118,geoId/15001,2008,91054,90452,33077,31067,672,449,491,496,19856,21988,11418,10876,25540,25576
119,geoId/15001,2009,92020,91609,33133,31198,661,454,528,528,19803,21957,11589,11111,26306,26361
120,geoId/16001,2000,152161,151167,144506,143882,1295,766,1212,988,2566,2950,260,210,2322,2371
121,geoId/16001,2001,157754,156142,149497,148243,1452,891,1194,1103,2748,3079,280,250,2583,2576
122,geoId/16001,2002,161436,160180,152760,151766,1522,1002,1255,1154,2903,3237,286,267,2710,2754
123,geoId/16001,2003,164351,163042,155054,153994,1671,1106,1290,1185,3174,3567,292,277,2870,2913
124,geoId/16001,2004,168387,166539,158405,157036,1866,1171,1341,1220,3418,3726,325,280,3032,3106
125,geoId/16001,2005,175204,173551,164285,163126,2070,1308,1538,1353,3682,4112,342,300,3287,3352
126,geoId/16001,2006,182463,181035,170732,169814,2306,1469,1532,1371,3908,4358,379,338,3606,3685
127,geoId/16001,2007,188369,186999,175777,174822,2505,1616,1566,1421,4155,4759,414,405,3952,3976
128,geoId/16001,2008,191940,190678,178822,177822,2636,1766,1574,1494,4300,4943,423,425,4185,4228
129,geoId/16001,2009,194771,193806,180916,180245,2839,1974,1604,1472,4435,5086,471,421,4506,4608
130,geoId/17001,2000,32796,35387,31260,33886,1107,1013,61,53,124,154,2,7,242,274
131,geoId/17001,2001,32737,35277,31145,33744,1153,1029,60,53,135,165,2,7,242,279
132,geoId/17001,2002,32560,35216,30966,33647,1122,1028,59,52,137,167,3,6,273,316
133,geoId/17001,2003,32396,34871,30755,33235,1123,1061,60,53,156,174,2,6,300,342
134,geoId/17001,2004,32310,34508,30645,32855,1121,1047,62,55,147,183,4,10,331,358
135,geoId/17001,2005,32421,34499,30685,32805,1132,1052,61,55,158,200,3,6,382,381
136,geoId/17001,2006,32544,34562,30746,32811,1144,1099,59,53,179,193,4,5,412,401
137,geoId/17001,2007,32481,34462,30609,32678,1167,1086,61,58,188,205,5,7,451,428
138,geoId/17001,2008,32508,34435,30605,32584,1164,1121,62,53,189,205,5,7,483,465
139,geoId/17001,2009,32595,34444,30604,32542,1193,1132,64,53,213,226,5,6,516,485
140,geoId/18001,2000,16606,16991,16429,16832,32,18,36,21,33,33,7,8,69,79
141,geoId/18001,2001,16611,16945,16434,16790,35,18,36,21,32,35,8,5,66,76
142,geoId/18001,2002,16553,16970,16360,16802,38,23,39,23,34,38,8,5,74,79
143,geoId/18001,2003,16696,17050,16495,16865,49,31,39,28,34,35,8,8,71,83
144,geoId/18001,2004,16728,17094,16523,16893,47,35,40,35,36,37,6,5,76,89
145,geoId/18001,2005,16751,17116,16524,16912,60,40,43,31,29,40,2,8,93,85
146,geoId/18001,2006,16718,17169,16485,16947,63,42,44,32,27,47,3,2,96,99
147,geoId/18001,2007,16773,17189,16536,16954,63,47,47,36,28,48,3,4,96,100
148,geoId/18001,2008,16917,17297,16672,17052,69,50,49,40,29,47,2,5,96,103
149,geoId/18001,2009,17036,17315,16782,17063,69,54,51,41,30,48,1,7,103,102
150,geoId/19001,2000,4037,4186,4008,4155,4,2,4,2,7,13,0,0,14,14
151,geoId/19001,2001,4010,4122,3981,4091,4,2,4,2,7,13,0,0,14,14
152,geoId/19001,2002,3963,4096,3934,4065,4,2,4,2,7,13,0,0,14,14
153,geoId/19001,2003,3947,4103,3921,4068,4,2,3,2,6,16,1,0,12,15
154,geoId/19001,2004,3950,4069,3919,4034,4,2,4,2,6,13,0,0,17,18
155,geoId/19001,2005,3912,4020,3884,3981,4,6,1,3,8,11,0,0,15,19
156,geoId/19001,2006,3885,4039,3850,3999,5,6,2,1,9,13,1,0,18,20
157,geoId/19001,2007,3900,3971,3862,3928,6,6,3,1,9,14,0,0,20,22
158,geoId/19001,2008,3847,3900,3807,3856,6,6,3,1,9,13,1,0,21,24
159,geoId/19001,2009,3817,3859,3776,3814,6,6,3,1,9,14,1,0,22,24
160,geoId/20001,2000,7042,7351,6743,7048,118,121,55,63,14,24,0,0,112,95
161,geoId/20001,2001,6929,7242,6617,6936,129,122,53,62,14,24,0,0,116,98
162,geoId/20001,2002,6883,7227,6574,6914,124,123,53,59,16,27,0,0,116,104
163,geoId/20001,2003,6789,7151,6477,6825,126,124,51,62,15,30,0,0,120,110
164,geoId/20001,2004,6785,7138,6458,6807,132,127,54,60,15,31,0,0,126,113
165,geoId/20001,2005,6712,7021,6383,6675,110,120,57,56,25,37,0,0,137,133
166,geoId/20001,2006,6681,6958,6339,6605,118,121,61,54,25,37,0,1,138,140
167,geoId/20001,2007,6629,6916,6277,6556,121,122,59,55,25,35,0,1,147,147
168,geoId/20001,2008,6552,6870,6182,6500,136,118,59,53,26,41,1,0,148,158
169,geoId/20001,2009,6537,6870,6170,6492,131,123,57,53,26,43,0,1,153,158
170,geoId/21001,2000,8392,8935,8091,8598,212,226,19,19,24,21,2,1,44,70
171,geoId/21001,2001,8549,9035,8206,8675,255,251,18,17,24,21,0,1,46,70
172,geoId/21001,2002,8633,9129,8278,8784,262,234,18,17,25,23,2,1,48,70
173,geoId/21001,2003,8740,9184,8360,8837,269,230,19,17,26,22,2,2,64,76
174,geoId/21001,2004,8808,9186,8429,8835,266,224,22,20,22,24,2,2,67,81
175,geoId/21001,2005,8847,9281,8452,8929,276,214,19,22,22,25,2,4,76,87
176,geoId/21001,2006,9002,9333,8598,8973,284,217,18,18,20,27,0,1,82,97
177,geoId/21001,2007,9100,9393,8691,9027,281,213,19,19,21,26,1,4,87,104
178,geoId/21001,2008,9164,9377,8724,9011,300,215,21,17,21,27,3,5,95,102
179,geoId/21001,2009,9259,9470,8819,9111,298,209,22,17,18,27,1,4,101,102
180,geoId/22001,2000,28417,30378,23216,24384,4992,5769,48,69,42,50,3,2,116,104
181,geoId/22001,2001,28512,30332,23233,24424,5040,5667,56,74,48,50,3,2,132,115
182,geoId/22001,2002,28702,30363,23415,24484,5032,5609,61,72,51,54,4,2,139,142
183,geoId/22001,2003,28828,30366,23458,24421,5080,5642,66,78,59,59,3,3,162,163
184,geoId/22001,2004,28830,30393,23457,24498,5053,5571,67,74,59,63,4,3,190,184
185,geoId/22001,2005,29061,30463,23564,24537,5136,5565,73,74,49,67,4,3,235,217
186,geoId/22001,2006,29474,31048,23792,24787,5293,5865,79,72,55,75,4,2,251,247
187,geoId/22001,2007,29641,31121,23942,24875,5283,5835,83,80,55,65,3,3,275,263
188,geoId/22001,2008,29835,31280,24062,24958,5326,5872,91,77,63,79,3,2,290,292
189,geoId/22001,2009,30038,31413,24167,25061,5382,5880,99,82,62,79,4,2,324,309
190,geoId/23001,2000,50422,53430,49034,52118,431,302,148,141,277,312,17,26,515,531
191,geoId/23001,2001,50553,53707,49085,52238,465,397,170,177,276,312,13,25,544,558
192,geoId/23001,2002,51044,54019,49305,52300,651,570,182,187,291,333,14,25,601,604
193,geoId/23001,2003,51731,54409,49629,52442,930,749,192,180,294,347,20,22,666,669
194,geoId/23001,2004,52260,54607,49937,52374,1115,920,193,185,306,386,20,26,689,716
195,geoId/23001,2005,52520,54832,49997,52363,1266,1063,196,202,307,395,20,23,734,786
196,geoId/23001,2006,52828,55104,50100,52349,1447,1281,185,200,319,403,14,24,763,847
197,geoId/23001,2007,52741,54998,49882,52019,1523,1455,208,207,307,410,16,25,805,882
198,geoId/23001,2008,53053,55231,49862,52034,1724,1593,228,197,342,444,20,23,877,940
199,geoId/23001,2009,52812,55018,49348,51535,1939,1786,211,216,347,453,23,20,944,1008
200,geoId/24001,2000,37260,37544,33590,36118,3148,911,66,58,195,209,10,9,251,239
201,geoId/24001,2001,37224,37301,33415,35808,3238,936,64,59,221,225,11,8,275,265
202,geoId/24001,2002,37244,36960,33310,35388,3340,979,63,58,214,237,12,7,305,291
203,geoId/24001,2003,37304,36772,33264,35118,3410,1017,66,56,231,244,8,11,325,326
204,geoId/24001,2004,37612,36796,33295,35052,3649,1080,63,58,235,237,11,15,359,354
205,geoId/24001,2005,37536,36443,33112,34638,3723,1105,58,53,230,229,11,13,402,405
206,geoId/24001,2006,37678,36302,33070,34405,3863,1127,60,54,235,257,12,14,438,445
207,geoId/24001,2007,38094,36355,33210,34399,4083,1175,58,53,255,249,14,17,474,462
208,geoId/24001,2008,38287,36351,33125,34267,4344,1221,57,53,249,268,14,17,498,525
209,geoId/24001,2009,38759,36342,33244,34093,4652,1318,59,51,256,304,15,18,533,558
210,geoId/25001,2000,105631,117400,100963,112587,2251,2227,664,682,659,802,30,46,1064,1056
211,geoId/25001,2001,106193,117894,101395,112903,2216,2238,693,696,747,875,36,43,1106,1139
212,geoId/25001,2002,106835,118586,101931,113468,2230,2195,670,726,806,960,36,46,1162,1191
213,geoId/25001,2003,107110,118901,102088,113618,2234,2223,721,711,816,1014,39,43,1212,1292
214,geoId/25001,2004,106582,117682,101444,112364,2255,2150,706,722,863,1047,41,48,1273,1351
215,geoId/25001,2005,105412,116583,100207,111151,2275,2149,705,723,897,1115,51,49,1277,1396
216,geoId/25001,2006,104732,115305,99311,109776,2309,2134,733,718,942,1155,57,48,1380,1474
217,geoId/25001,2007,104043,114337,98458,108657,2389,2134,731,718,974,1202,60,51,1431,1575
218,geoId/25001,2008,103290,113776,97577,107985,2440,2110,738,728,1025,1282,63,45,1447,1626
219,geoId/25001,2009,102723,113271,96846,107331,2441,2136,795,763,1049,1304,69,48,1523,1689
220,geoId/26001,2000,5913,5764,5793,5665,18,4,42,32,8,13,1,0,51,50
221,geoId/26001,2001,5896,5769,5778,5671,18,4,40,31,7,13,1,0,52,50
222,geoId/26001,2002,5813,5667,5699,5567,16,4,39,31,8,13,1,0,50,52
223,geoId/26001,2003,5795,5700,5689,5601,15,4,36,29,7,15,1,0,47,51
224,geoId/26001,2004,5806,5653,5701,5550,14,4,37,31,8,15,0,0,46,53
225,geoId/26001,2005,5854,5663,5760,5557,8,8,39,32,5,18,1,0,41,48
226,geoId/26001,2006,5834,5669,5737,5564,8,8,41,33,5,18,1,0,42,46
227,geoId/26001,2007,5826,5586,5733,5480,6,8,39,32,5,18,1,0,42,48
228,geoId/26001,2008,5735,5551,5647,5443,5,8,37,32,5,20,1,0,40,48
229,geoId/26001,2009,5625,5481,5540,5373,5,8,35,32,5,20,1,0,39,48
230,geoId/27001,2000,7714,7568,7469,7288,25,16,163,188,7,23,1,2,49,51
231,geoId/27001,2001,7777,7557,7518,7290,24,16,177,173,7,23,1,2,50,53
232,geoId/27001,2002,7900,7716,7644,7434,24,17,172,180,7,24,1,2,52,59
233,geoId/27001,2003,8004,7791,7745,7515,30,18,160,170,4,23,0,3,65,62
234,geoId/27001,2004,8158,7870,7880,7577,34,18,175,184,5,23,1,2,63,66
235,geoId/27001,2005,8241,7921,7957,7601,23,22,184,183,10,19,1,4,66,92
236,geoId/27001,2006,8304,8053,8019,7735,29,24,172,180,9,19,0,2,75,93
237,geoId/27001,2007,8374,8107,8072,7781,29,25,185,182,9,19,0,2,79,98
238,geoId/27001,2008,8366,8056,8044,7732,34,25,191,176,8,17,0,2,89,104
239,geoId/27001,2009,8225,7943,7882,7606,34,26,211,180,8,19,0,4,90,108
240,geoId/28001,2000,15873,18373,7548,8253,8180,9940,24,25,36,51,2,6,83,98
241,geoId/28001,2001,15794,18151,7486,8052,8156,9919,27,25,37,52,3,4,85,99
242,geoId/28001,2002,15866,17864,7523,7840,8185,9836,31,28,40,49,2,4,85,107
243,geoId/28001,2003,15898,17584,7557,7648,8171,9733,34,29,45,49,2,5,89,120
244,geoId/28001,2004,15661,17124,7450,7382,8018,9539,42,32,45,48,3,4,103,119
245,geoId/28001,2005,15741,16933,7524,7258,7970,9464,62,36,65,48,3,3,117,124
246,geoId/28001,2006,16057,17163,7608,7212,8194,9727,63,39,71,48,2,2,119,135
247,geoId/28001,2007,16088,16801,7631,7048,8187,9522,68,39,75,50,2,2,125,140
248,geoId/28001,2008,16054,16575,7678,6838,8096,9493,71,43,75,50,2,2,132,149
249,geoId/28001,2009,16072,16233,7748,6657,8035,9320,76,45,77,53,2,2,134,156
250,geoId/29001,2000,11703,13253,11198,12759,154,162,27,39,224,192,6,6,94,95
251,geoId/29001,2001,11731,13236,11189,12725,180,164,27,40,233,201,6,5,96,101
252,geoId/29001,2002,11832,13240,11265,12706,183,181,28,39,234,199,6,6,116,109
253,geoId/29001,2003,11777,13181,11197,12643,186,167,30,38,235,207,5,6,124,120
254,geoId/29001,2004,11800,13188,11213,12628,181,176,31,38,235,212,5,8,135,126
255,geoId/29001,2005,11783,13066,11200,12468,157,188,35,38,223,211,3,5,165,156
256,geoId/29001,2006,11862,13145,11255,12521,174,195,36,40,214,209,4,6,179,174
257,geoId/29001,2007,11832,13151,11206,12518,182,199,37,40,217,206,3,8,187,180
258,geoId/29001,2008,12066,13333,11414,12684,187,198,40,39,216,212,3,9,206,191
259,geoId/29001,2009,12154,13423,11481,12744,195,201,41,38,219,233,3,9,215,198
260,geoId/30001,2000,4700,4504,4556,4378,15,2,66,73,6,11,2,2,55,38
261,geoId/30001,2001,4645,4413,4498,4287,15,2,64,73,7,11,5,2,56,38
262,geoId/30001,2002,4591,4427,4443,4299,17,3,63,70,7,11,5,3,56,41
263,geoId/30001,2003,4570,4354,4413,4225,19,2,68,65,7,10,7,9,56,43
264,geoId/30001,2004,4544,4364,4381,4225,17,5,67,66,8,12,11,8,60,48
265,geoId/30001,2005,4544,4360,4381,4209,16,5,59,63,9,21,15,8,64,54
266,geoId/30001,2006,4610,4402,4433,4246,16,4,65,65,8,23,25,10,63,54
267,geoId/30001,2007,4616,4412,4431,4250,18,4,68,67,10,22,25,10,64,59
268,geoId/30001,2008,4693,4473,4511,4298,16,5,68,68,10,23,22,17,66,62
269,geoId/30001,2009,4712,4488,4521,4313,16,6,66,64,13,27,30,15,66,63
270,geoId/31001,2000,15266,15888,14712,15401,140,74,63,63,243,264,5,6,103,80
271,geoId/31001,2001,15241,15780,14678,15276,142,84,64,64,249,265,5,6,103,85
272,geoId/31001,2002,15082,15634,14487,15138,142,82,76,66,269,254,4,7,104,87
273,geoId/31001,2003,15108,15585,14495,15056,151,86,90,72,255,264,5,8,112,99
274,geoId/31001,2004,15155,15585,14506,15046,153,80,90,71,264,279,7,8,135,101
275,geoId/31001,2005,15288,15699,14623,15157,146,92,95,76,281,255,11,7,132,112
276,geoId/31001,2006,15254,15656,14597,15081,157,99,93,78,256,258,11,10,140,130
277,geoId/31001,2007,15288,15604,14623,15031,161,98,98,84,247,237,13,8,146,146
278,geoId/31001,2008,15477,15683,14792,15076,168,98,107,86,237,259,14,11,159,153
279,geoId/31001,2009,15530,15750,14840,15120,158,111,119,95,231,261,17,8,165,155
280,geoId/32001,2000,12042,11982,10699,10441,217,177,528,646,275,394,29,28,294,296
281,geoId/32001,2001,12238,12104,10855,10504,234,181,541,672,280,410,29,28,299,309
282,geoId/32001,2002,12215,11940,10774,10325,236,185,587,683,278,413,30,28,310,306
283,geoId/32001,2003,12108,11918,10663,10290,230,192,570,677,278,403,30,26,337,330
284,geoId/32001,2004,12138,12088,10693,10460,223,171,569,677,277,425,28,27,348,328
285,geoId/32001,2005,12302,12291,10855,10610,228,178,553,671,260,436,27,28,379,368
