Year,geo_ID,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Female_AsianAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Female_TwoOrMoreRaces,Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces
2017,geoId/01009,28526,29275,27365,28105,489,442,180,177,88,89,41,24,363,438,27698,28511,616,605,394,420,142,162,52,39
2018,geoId/01009,28522,29248,27326,28075,493,430,194,182,95,99,43,24,371,438,27672,28487,630,590,390,424,160,167,55,36
2019,geoId/01009,28554,29286,27314,28094,514,465,191,175,105,95,43,25,387,432,27669,28497,655,620,402,411,172,164,62,39
2020,geoId/01009,28617,29262,27362,28029,526,473,191,173,115,105,44,26,379,456,27717,28455,662,656,396,408,175,183,52,42
2010,geoId/01011,5879,4997,1753,1115,3983,3749,36,49,10,8,43,36,54,40,1800,1147,4011,3773,60,65,23,17,44,37
2011,geoId/01011,5766,4914,1777,1122,3848,3657,34,48,10,8,42,35,55,44,1827,1159,3876,3680,56,71,19,15,45,38
2012,geoId/01011,5772,4838,1775,1087,3847,3604,35,50,11,12,42,35,62,50,1829,1131,3877,3633,63,70,22,26,45,40
2013,geoId/01011,5743,4814,1723,1051,3874,3619,32,50,15,14,40,35,59,45,1775,1092,3908,3642,58,72,23,21,45,38
2014,geoId/01011,5825,4843,1715,1068,3957,3629,37,53,15,11,40,34,61,48,1772,1104,3995,3659,58,71,22,22,43,38
2015,geoId/01011,5639,4765,1666,1058,3814,3561,39,52,12,14,40,34,68,46,1728,1099,3855,3586,66,68,22,22,40,39
2016,geoId/01011,5652,4745,1664,1071,3826,3522,39,51,11,15,40,35,72,51,1734,1115,3868,3548,66,76,20,23,44,39
2017,geoId/01011,5519,4662,1615,1047,3742,3472,38,46,9,12,40,34,75,51,1681,1092,3784,3501,68,66,23,20,49,39
2018,geoId/01011,5527,4638,1620,1063,3747,3432,38,44,8,13,40,34,74,52,1681,1107,3788,3461,69,60,21,26,45,41
2019,geoId/01011,5547,4597,1645,1048,3740,3396,39,45,10,14,38,35,75,59,1710,1101,3780,3431,72,68,22,24,43,36
2020,geoId/01011,5461,4515,1638,1038,3652,3326,41,47,12,15,40,36,78,53,1706,1085,3697,3363,72,66,25,26,43,36
2010,geoId/01013,9838,11095,5482,5935,4155,4964,27,35,98,85,3,5,73,71,5549,6001,4193,5004,55,64,109,91,7,8
2011,geoId/01013,9810,11057,5454,5884,4142,4968,27,39,107,92,4,5,76,69,5525,5946,4183,4999,56,74,119,104,8,6
2012,geoId/01013,9682,10990,5376,5831,4077,4950,31,34,112,100,5,5,81,70,5446,5892,4125,4988,64,57,120,114,11,10
2013,geoId/01013,9480,10879,5239,5755,4008,4913,35,34,112,100,5,5,81,72,5309,5820,4051,4950,76,68,121,108,7,10
2014,geoId/01013,9446,10886,5156,5691,4039,4965,34,31,126,105,5,5,86,89,5237,5764,4083,5027,66,61,138,119,9,10
2015,geoId/01013,9402,10766,5100,5604,4038,4917,32,36,141,109,5,5,86,95,5177,5689,4089,4968,70,74,151,125,9,9
2016,geoId/01013,9328,10712,5016,5541,4013,4905,34,41,166,120,5,5,94,100,5104,5631,4065,4955,70,86,178,134,6,7
2017,geoId/01013,9302,10609,4983,5439,4008,4918,36,38,174,105,5,5,96,104,5070,5532,4060,4975,78,75,189,123,8,14
2018,geoId/01013,9171,10504,4907,5361,3941,4896,35,38,180,101,5,5,103,103,4996,5459,4004,4956,72,71,195,119,9,10
2019,geoId/01013,9076,10425,4851,5317,3895,4860,36,39,188,101,4,4,102,104,4940,5408,3954,4918,73,82,206,118,9,8
2020,geoId/01013,9084,10420,4866,5293,3900,4875,37,40,165,101,4,4,112,107,4962,5391,3964,4941,81,71,180,116,10,11
2010,geoId/01015,57101,61319,44130,46389,11328,13142,323,268,374,523,63,52,883,945,44935,47249,11764,13617,674,665,579,714,119,115
2011,geoId/01015,56633,61134,43781,46212,11191,13079,303,268,385,546,64,52,909,977,44627,47089,11645,13576,668,647,578,757,120,126
2012,geoId/01015,56381,60846,43458,45788,11249,13155,291,268,403,572,62,50,918,1013,44295,46700,11721,13711,658,662,606,788,116,119
2013,geoId/01015,56150,60378,43190,45432,11235,13007,296,272,417,594,65,48,947,1025,44054,46367,11717,13554,662,669,622,811,129,111
2014,geoId/01015,55756,60235,42703,45205,11268,13038,297,272,426,628,65,50,997,1042,43615,46147,11788,13619,657,665,641,855,127,120
2015,geoId/01015,55555,59995,42449,44892,11249,13049,306,271,430,644,59,51,1062,1088,43412,45887,11824,13644,709,664,663,886,110,131
2016,geoId/01015,55322,59714,42193,44614,11222,12979,304,276,444,665,59,55,1100,1125,43205,45635,11805,13591,686,680,685,908,135,132
2017,geoId/01015,55209,59537,42030,44392,11273,13013,302,278,446,648,60,62,1098,1144,43033,45434,11872,13660,683,659,689,905,127,141
2018,geoId/01015,55021,59277,41731,44070,11340,13043,305,289,442,630,57,57,1146,1188,42783,45163,11977,13712,698,695,695,904,130,142
2019,geoId/01015,54818,59252,41435,43864,11429,13208,304,292,412,606,62,60,1176,1222,42505,44976,12083,13887,687,677,691,875,152,150
2020,geoId/01015,54567,58902,41245,43671,11374,13019,306,292,402,600,61,66,1179,1254,42331,44807,12020,13762,693,694,669,875,126,144
2010,geoId/01017,16306,17799,9899,10323,6098,7171,33,40,101,97,10,5,165,163,10047,10474,6187,7264,92,100,129,113,20,14
2011,geoId/01017,16210,17806,9837,10358,6053,7120,35,37,110,105,12,5,163,181,9987,10525,6148,7227,102,99,127,129,15,12
2012,geoId/01017,16262,17826,9763,10299,6128,7180,45,41,134,109,15,5,177,192,9926,10477,6231,7292,111,107,154,132,23,17
2013,geoId/01017,16347,17778,9730,10241,6201,7163,40,44,180,128,14,5,182,197,9899,10426,6300,7284,116,109,201,153,21,16
2014,geoId/01017,16283,17681,9555,10112,6286,7179,42,42,212,152,13,6,175,190,9721,10282,6384,7305,100,98,238,176,19,15
2015,geoId/01017,16356,17635,9511,10052,6350,7183,48,51,242,158,14,6,191,185,9691,10223,6456,7303,123,110,264,180,18,14
2016,geoId/01017,16176,17566,9389,9977,6286,7148,53,50,248,167,12,6,188,218,9561,10181,6391,7283,127,123,273,190,18,12
2017,geoId/01017,16148,17568,9365,9919,6273,7184,49,45,251,172,10,5,200,243,9549,10144,6385,7346,126,117,281,202,22,18
2018,geoId/01017,16077,17493,9291,9837,6267,7215,53,47,255,165,10,5,201,224,9473,10049,6390,7364,129,111,277,193,16,18
2019,geoId/01017,15910,17334,9176,9756,6238,7163,57,48,225,139,11,5,203,223,9357,9963,6367,7305,124,118,259,168,19,13
2020,geoId/01017,15665,17200,9057,9618,6111,7156,59,56,227,150,13,6,198,214,9235,9811,6230,7304,130,123,255,176,17,10
2010,geoId/01019,12885,13083,11982,12242,617,583,80,54,22,36,4,2,180,166,12151,12400,684,645,179,144,45,54,9,10
2011,geoId/01019,12901,13092,11995,12242,620,568,79,57,21,37,5,3,181,185,12159,12416,696,643,184,156,39,57,10,7
2012,geoId/01019,12939,13022,12027,12164,611,578,78,60,24,39,5,4,194,177,12206,12333,690,652,184,157,48,52,14,10
2013,geoId/01019,12944,13078,12064,12224,586,558,77,61,25,46,5,3,187,186,12242,12396,656,635,188,163,43,65,10,10
2014,geoId/01019,12893,13007,12013,12146,571,553,79,61,28,47,5,3,197,197,12198,12323,648,649,185,169,49,68,10,7
2015,geoId/01019,12792,12947,11904,12055,564,560,85,69,32,49,5,3,202,211,12097,12257,642,647,197,183,50,68,13,12
2016,geoId/01019,12789,12980,11891,12085,566,547,89,75,29,57,5,3,209,213,12084,12285,649,634,208,199,53,72,7,9
2017,geoId/01019,12831,12991,11949,12106,547,534,89,74,29,63,5,3,212,211,12143,12303,630,613,211,193,55,88,12,15
2018,geoId/01019,12893,13142,11976,12227,575,540,90,85,33,68,5,3,214,219,12176,12438,662,625,210,199,51,103,15,10
2019,geoId/01019,12977,13277,12082,12359,560,525,93,89,36,79,5,3,201,222,12266,12571,647,614,200,209,62,100,8,9
2020,geoId/01019,13032,13262,12107,12350,577,512,94,92,40,84,5,3,209,221,12295,12553,667,613,210,209,61,104,9,10
2010,geoId/01021,21598,22047,19007,19440,2147,2196,108,96,64,85,56,26,216,204,19205,19623,2260,2312,193,170,102,114,61,41
2011,geoId/01021,21476,22206,18886,19509,2142,2251,114,98,63,89,46,27,225,232,19091,19720,2268,2388,210,196,94,118,58,31
2012,geoId/01021,21511,22061,18898,19359,2143,2244,114,95,75,102,48,25,233,236,19111,19567,2264,2382,208,190,115,130,61,39
2013,geoId/01021,21511,22106,18856,19341,2157,2286,121,90,84,114,48,27,245,248,19083,19571,2289,2424,219,188,123,147,59,36
2014,geoId/01021,21550,22201,18796,19359,2227,2351,125,94,83,110,48,27,271,260,19044,19594,2376,2506,226,185,119,150,65,36
2015,geoId/01021,21522,22171,18766,19334,2208,2326,119,99,86,115,50,28,293,269,19037,19583,2378,2481,226,207,126,149,63,41
2016,geoId/01021,21512,22342,18806,19467,2166,2356,110,105,84,117,49,28,297,269,19076,19712,2346,2508,214,214,128,149,63,40
2017,geoId/01021,21684,22401,18903,19498,2227,2366,115,106,89,124,48,27,302,280,19172,19757,2409,2519,225,217,138,168,65,38
2018,geoId/01021,21632,22452,18851,19551,2214,2343,121,111,83,132,48,27,315,288,19146,19817,2400,2500,229,219,125,182,62,40
2019,geoId/01021,21731,22582,18897,19659,2250,2358,126,113,84,123,48,28,326,301,19199,19944,2444,2524,232,223,138,160,61,43
2020,geoId/01021,21736,22661,18915,19733,2243,2357,136,119,89,124,48,29,305,299,19194,20000,2420,2528,253,231,135,167,55,46
2010,geoId/01023,6673,7175,3806,3958,2819,3172,11,7,6,8,0,0,31,30,3835,3986,2835,3191,21,18,13,11,1,1
2011,geoId/01023,6499,7109,3741,3903,2709,3156,12,9,7,9,0,0,30,32,3769,3933,2726,3175,25,20,12,13,1,0
2012,geoId/01023,6509,7056,3745,3871,2710,3131,13,9,10,11,0,0,31,34,3772,3903,2729,3149,23,23,16,15,3,3
2013,geoId/01023,6414,6987,3699,3849,2651,3078,15,10,12,14,0,0,37,36,3732,3882,2674,3096,30,31,15,18,1,0
2014,geoId/01023,6364,6958,3712,3854,2589,3044,14,11,11,14,0,1,38,34,3746,3883,2609,3063,26,25,20,19,2,2
2015,geoId/01023,6296,6941,3706,3870,2531,3009,13,9,7,12,0,1,39,40,3743,3905,2552,3032,28,25,12,18,1,3
2016,geoId/01023,6210,6839,3647,3823,2499,2951,15,12,8,11,0,1,41,41,3685,3862,2521,2972,31,27,15,17,2,2
2017,geoId/01023,6119,6804,3591,3796,2464,2945,14,10,9,12,0,0,41,41,3628,3833,2484,2961,32,26,17,23,4,3
2018,geoId/01023,6055,6755,3575,3757,2414,2924,14,10,9,15,0,0,43,49,3610,3804,2441,2948,32,29,16,23,2,1
2019,geoId/01023,5934,6643,3508,3697,2360,2875,14,10,8,16,0,0,44,45,3546,3738,2390,2896,27,30,17,21,2,4
2020,geoId/01023,5876,6542,3478,3638,2325,2820,14,10,10,20,0,0,49,54,3519,3688,2355,2851,32,25,19,29,2,4
2010,geoId/01025,12175,13592,6858,7201,5162,6203,43,59,34,47,4,0,74,82,6924,7269,5205,6246,70,89,45,63,6,9
2011,geoId/01025,12065,13524,6773,7158,5125,6166,45,60,37,48,4,0,81,92,6846,7239,5170,6218,73,98,50,62,8,4
2012,geoId/01025,11901,13260,6667,7032,5058,6021,49,62,40,51,4,0,83,94,6743,7118,5108,6069,77,98,51,69,10,7
2013,geoId/01025,11896,13235,6602,7032,5115,5986,42,58,47,53,4,0,86,106,6681,7125,5163,6041,74,101,64,73,7,9
2014,geoId/01025,11757,13116,6492,6961,5080,5934,41,60,47,56,4,0,93,105,6574,7054,5132,6000,72,96,68,72,9,8
2015,geoId/01025,11674,13037,6453,6916,5041,5892,42,63,39,54,4,0,95,112,6538,7014,5096,5957,79,108,50,74,10,5
2016,geoId/01025,11506,12836,6312,6788,5008,5800,43,70,47,61,4,1,92,116,6396,6885,5062,5874,70,111,67,79,8,7
2017,geoId/01025,11353,12730,6222,6726,4936,5759,46,72,48,56,4,1,97,116,6305,6824,4991,5827,81,115,63,79,13,7
2018,geoId/01025,11330,12635,6204,6623,4908,5756,52,72,52,59,4,1,110,124,6304,6734,4977,5823,87,116,66,83,13,9
2019,geoId/01025,11189,12462,6078,6466,4887,5745,55,74,49,57,4,1,116,119,6176,6574,4961,5807,96,120,70,74,7,11
2020,geoId/01025,11014,12277,5960,6317,4827,5706,60,73,49,53,4,1,114,127,6064,6430,4898,5780,92,116,72,75,9,6
2010,geoId/01027,6806,7091,5666,5878,995,1058,24,32,12,14,0,0,109,109,5770,5978,1055,1121,66,71,25,24,3,8
2011,geoId/01027,6674,7013,5543,5806,970,1041,35,39,14,14,0,0,112,113,5649,5906,1033,1112,78,78,29,30,3,3
2012,geoId/01027,6592,6841,5486,5696,948,989,34,39,16,13,1,0,107,104,5586,5793,1011,1047,75,73,26,28,4,5
2013,geoId/01027,6534,6872,5438,5691,938,1010,33,43,12,14,0,0,113,114,5548,5799,1002,1072,79,84,22,29,3,2
2014,geoId/01027,6598,6845,5498,5651,930,1014,32,44,15,18,0,0,123,118,5612,5763,998,1091,73,78,33,30,6,4
2015,geoId/01027,6599,6816,5487,5637,942,989,29,45,17,17,0,0,124,128,5607,5760,1012,1069,78,88,27,29,2,3
2016,geoId/01027,6561,6832,5472,5659,924,983,29,46,15,16,0,0,121,128,5587,5781,996,1054,67,100,31,24,6,1
2017,geoId/01027,6546,6809,5490,5655,898,970,32,44,16,18,0,0,110,122,5593,5769,953,1040,74,88,37,36,5,1
2018,geoId/01027,6491,6810,5440,5648,884,977,29,42,16,16,0,0,122,127,5555,5766,954,1056,73,78,24,34,7,3
2019,geoId/01027,6470,6795,5425,5624,866,966,29,43,19,19,0,0,131,143,5543,5760,947,1050,73,95,33,34,6,0
2020,geoId/01027,6387,6725,5346,5573,861,954,30,43,20,19,0,0,130,136,5466,5703,942,1043,73,79,33,32,5,6
2010,geoId/01029,7465,7539,7114,7151,237,269,25,27,6,17,10,1,73,74,7183,7223,279,314,49,51,16,23,13,3
2011,geoId/01029,7418,7510,7047,7119,252,260,24,30,7,20,9,1,79,80,7119,7190,299,304,54,65,15,30,13,2
2012,geoId/01029,7397,7492,7031,7090,247,265,24,30,6,18,9,1,80,88,7104,7172,299,315,50,57,18,31,9,6
2013,geoId/01029,7416,7558,7046,7156,247,262,28,32,6,19,10,1,79,88,7122,7238,295,316,52,60,15,29,13,3
2014,geoId/01029,7447,7582,7081,7169,236,269,29,35,5,19,10,2,86,88,7161,7251,288,324,54,63,18,29,13,4
2015,geoId/01029,7366,7557,7008,7146,219,267,31,36,7,19,10,2,91,87,7096,7228,274,320,59,70,16,25,14,3
2016,geoId/01029,7384,7487,7014,7084,225,260,32,37,7,20,10,2,96,84,7105,7165,285,300,61,71,18,34,13,3
2017,geoId/01029,7379,7545,7018,7146,213,252,32,36,9,21,10,1,97,89,7108,7228,261,296,74,72,23,34,14,4
2018,geoId/01029,7432,7615,7073,7219,203,236,33,42,10,20,10,1,103,97,7172,7307,254,291,78,75,19,35,13,4
2019,geoId/01029,7347,7605,7000,7214,198,229,35,44,10,20,10,1,94,97,7084,7301,249,284,67,81,27,31,14,5
2020,geoId/01029,7354,7613,6993,7202,207,232,35,43,11,18,10,1,98,117,7086,7309,268,303,66,81,22,30,14,9
2010,geoId/01031,24806,25398,19409,19478,4061,4463,360,367,225,436,153,68,598,586,19957,20010,4294,4702,629,617,370,586,188,106
2011,geoId/01031,24945,25504,19441,19449,4123,4548,363,380,246,458,148,66,624,603,20019,19988,4368,4799,640,636,407,608,185,108
2012,geoId/01031,25311,25848,19626,19670,4217,4635,368,353,267,495,144,63,689,632,20247,20230,4494,4896,668,633,448,662,184,106
2013,geoId/01031,25094,25615,19415,19507,4262,4607,352,325,265,501,137,59,663,616,20018,20064,4538,4840,618,603,437,656,178,100
2014,geoId/01031,25042,25651,19306,19467,4290,4610,366,348,261,526,140,66,679,634,19923,20031,4591,4872,639,620,424,691,180,103
2015,geoId/01031,25292,25712,19457,19449,4345,4666,371,342,261,536,141,76,717,643,20100,20044,4666,4919,650,622,449,690,188,115
2016,geoId/01031,25266,26015,19403,19606,4334,4726,358,356,269,536,134,83,768,708,20098,20238,4686,5030,652,652,473,715,182,128
2017,geoId/01031,25526,26417,19549,19899,4421,4786,358,365,276,556,130,79,792,732,20262,20564,4776,5101,670,652,497,760,174,122
2018,geoId/01031,25604,26493,19533,19908,4424,4807,362,367,311,585,128,73,846,753,20295,20590,4807,5124,690,664,524,796,189,124
2019,geoId/01031,25956,26683,19734,20100,4522,4769,354,377,321,574,130,82,895,781,20545,20809,4940,5097,679,692,577,777,188,142
2020,geoId/01031,26245,26985,19984,20307,4547,4832,353,394,331,561,134,86,896,805,20798,21024,4961,5189,672,699,585,775,195,149
2010,geoId/01033,26216,28311,21496,22823,4054,4793,147,145,106,137,11,9,402,404,21880,23203,4260,4992,321,323,146,178,19,29
2011,geoId/01033,26247,28298,21459,22837,4064,4758,154,142,125,130,11,10,434,421,21874,23232,4288,4976,345,342,163,163,23,23
2012,geoId/01033,26252,28326,21405,22800,4099,4788,158,147,123,139,12,11,455,441,21835,23209,4334,5019,359,347,161,179,29,26
2013,geoId/01033,26217,28327,21316,22786,4133,4759,163,161,122,149,12,15,471,457,21762,23222,4386,4979,353,358,176,199,23,32
2014,geoId/01033,26225,28259,21312,22789,4093,4663,173,151,128,154,17,21,502,481,21775,23238,4372,4916,376,358,179,201,30,35
2015,geoId/01033,26120,28319,21216,22748,4094,4703,163,158,124,169,11,20,512,521,21699,23243,4377,4975,365,383,169,215,33,34
2016,geoId/01033,26265,28218,21362,22669,4057,4658,179,159,137,185,13,18,517,529,21838,23170,4345,4940,383,378,196,231,33,35
2017,geoId/01033,26260,28422,21317,22740,4105,4750,174,162,147,200,16,18,501,552,21790,23267,4377,5058,380,380,197,259,36,29
