,Year,geo_ID,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Male,Count_Person_Female
128,1971,geoId/01123,11821,12667,4351,4898,16179,17575
129,1971,geoId/01125,44861,45287,13463,15794,58415,61168
130,1971,geoId/01127,26517,27486,2134,2518,28673,30041
131,1971,geoId/01129,5720,5711,2366,2506,8156,8292
132,1971,geoId/01131,2473,2657,5336,5771,7810,8429
133,1971,geoId/01133,8775,8884,29,30,8808,8919
134,1972,geoId/01001,9891,10019,3411,3784,13317,13839
135,1972,geoId/01003,25414,26194,5095,5525,30605,31836
136,1972,geoId/01005,5939,6495,4672,5721,10623,12229
137,1972,geoId/01007,5091,5235,1788,1962,6883,7202
138,1972,geoId/01009,14187,14455,302,322,14498,14797
139,1972,geoId/01011,1825,1925,3482,4213,5307,6140
140,1972,geoId/01013,6173,6823,3946,4572,10127,11400
141,1972,geoId/01015,41905,43936,8263,9408,50313,53536
142,1972,geoId/01017,11234,12301,5847,6669,17094,18980
143,1972,geoId/01019,7687,7696,701,760,8395,8463
144,1972,geoId/01021,11214,11774,1636,1806,12851,13588
145,1972,geoId/01023,4607,4802,3498,3776,8107,8579
146,1972,geoId/01025,7256,7629,5520,5856,12782,13498
147,1972,geoId/01027,5411,5679,1007,1134,6427,6820
148,1972,geoId/01029,5261,5472,320,318,5587,5795
149,1972,geoId/01031,14623,15306,2864,3299,17516,18660
150,1972,geoId/01033,20492,21613,3937,4627,24460,26268
151,1972,geoId/01035,4348,4545,3245,3639,7597,8189
152,1972,geoId/01037,3417,3647,1893,1869,5319,5525
153,1972,geoId/01039,14310,15639,2268,2738,16590,18394
154,1972,geoId/01041,4664,5058,1736,2019,6408,7086
155,1972,geoId/01043,27193,27981,287,242,27507,28268
156,1972,geoId/01045,22478,20025,3275,3183,25990,23468
157,1972,geoId/01047,13380,13684,13834,16164,27245,29891
158,1972,geoId/01049,21383,22511,385,460,21798,23000
159,1972,geoId/01051,12966,13032,4557,4748,17540,17807
160,1972,geoId/01053,12373,12555,5656,5272,18355,18156
161,1972,geoId/01055,39848,42733,6093,6966,45996,49765
162,1972,geoId/01057,6946,7235,1043,1172,7991,8412
163,1972,geoId/01059,11831,12443,601,646,12438,13095
164,1972,geoId/01061,9710,10085,1370,1569,11101,11682
165,1972,geoId/01063,1187,1274,3581,4175,4771,5450
166,1972,geoId/01065,2615,2838,4838,5461,7455,8308
167,1972,geoId/01067,3906,4260,2535,2805,6444,7070
168,1972,geoId/01069,22910,24230,6625,7631,29614,31949
169,1972,geoId/01071,19763,20396,949,1071,20746,21508
170,1972,geoId/01073,208550,229561,95771,111981,304902,342195
171,1972,geoId/01075,6520,6919,990,1048,7516,7975
172,1972,geoId/01077,30805,32688,3380,3910,34219,36648
173,1972,geoId/01079,11588,11655,2459,2711,14054,14375
174,1972,geoId/01081,23211,22158,7756,8836,31074,31080
175,1972,geoId/01083,17873,18295,3344,3702,21234,22021
176,1972,geoId/01085,1556,1682,4996,5489,6554,7172
177,1972,geoId/01087,2428,2155,10139,10778,12634,12963
178,1972,geoId/01089,78536,79388,14238,16040,93190,95887
179,1972,geoId/01091,5332,5686,6271,6963,11616,12659
180,1972,geoId/01093,12488,13101,350,349,12851,13468
181,1972,geoId/01095,27131,28708,522,542,27693,29296
182,1972,geoId/01097,107063,112902,48434,54856,156015,168303
183,1972,geoId/01099,5513,5801,4410,4775,9968,10615
184,1972,geoId/01101,53102,57898,29754,34873,83040,93023
185,1972,geoId/01103,36116,37421,3493,4133,39653,41602
186,1972,geoId/01105,3026,3215,4168,4795,7203,8024
187,1972,geoId/01107,5953,6232,4045,4609,10002,10845
188,1972,geoId/01109,7735,8298,3966,4544,11726,12853
189,1972,geoId/01111,6824,7376,2003,2124,8832,9505
190,1972,geoId/01113,12352,13110,9392,10644,21761,23789
191,1972,geoId/01115,13410,13866,1845,2116,15270,16000
192,1972,geoId/01117,17850,18522,2996,3277,20886,21851
193,1972,geoId/01119,2778,2698,5175,5831,7957,8536
194,1972,geoId/01121,21867,23265,9464,10323,31367,33627
195,1972,geoId/01123,12252,13073,4488,5042,16748,18128
196,1972,geoId/01125,45621,46027,13930,16356,59659,62490
197,1972,geoId/01127,27970,28906,2207,2599,30210,31554
198,1972,geoId/01129,5684,5674,2343,2470,8131,8250
199,1972,geoId/01131,2402,2588,5162,5620,7565,8210
200,1972,geoId/01133,9450,9558,30,28,9485,9594
201,1973,geoId/01001,10465,10574,3481,3868,13965,14488
202,1973,geoId/01003,26213,27014,5149,5575,31478,32723
203,1973,geoId/01005,6123,6675,4787,5841,10922,12531
204,1973,geoId/01007,5333,5480,1820,2014,7157,7500
205,1973,geoId/01009,14721,14982,298,323,15032,15327
206,1973,geoId/01011,1798,1897,3415,4162,5213,6061
207,1973,geoId/01013,6104,6753,3869,4497,9981,11256
208,1973,geoId/01015,42344,44401,8409,9496,50918,54114
209,1973,geoId/01017,11480,12594,6004,6841,17496,19452
210,1973,geoId/01019,7861,7890,704,769,8573,8666
211,1973,geoId/01021,11577,12148,1666,1839,13245,13997
212,1973,geoId/01023,4704,4896,3546,3839,8253,8738
213,1973,geoId/01025,7357,7717,5551,5892,12918,13626
214,1973,geoId/01027,5292,5561,984,1115,6286,6681
215,1973,geoId/01029,5394,5606,324,318,5723,5930
216,1973,geoId/01031,14331,15143,2829,3250,17195,18459
217,1973,geoId/01033,20700,21875,3969,4675,24704,26581
218,1973,geoId/01035,4340,4560,3186,3588,7532,8154
219,1973,geoId/01037,3598,3827,1986,1964,5593,5801
220,1973,geoId/01039,14477,15842,2261,2733,16752,18597
221,1973,geoId/01041,4840,5245,1766,2067,6617,7325
222,1973,geoId/01043,27877,28733,289,248,28199,29030
223,1973,geoId/01045,19140,18302,2976,2982,22325,21540
224,1973,geoId/01047,13410,13628,13950,16227,27393,29900
225,1973,geoId/01049,22320,23464,397,474,22749,23973
226,1973,geoId/01051,13517,13584,4591,4780,18127,18395
227,1973,geoId/01053,12503,12704,5681,5330,18538,18383
228,1973,geoId/01055,39955,42940,6078,6963,46097,49979
229,1973,geoId/01057,7002,7314,1044,1173,8049,8493
230,1973,geoId/01059,12073,12678,602,651,12685,13337
231,1973,geoId/01061,9669,10044,1358,1566,11050,11641
232,1973,geoId/01063,1213,1303,3717,4336,4934,5640
233,1973,geoId/01065,2665,2890,4846,5465,7513,8367
234,1973,geoId/01067,3971,4334,2538,2820,6516,7161
235,1973,geoId/01069,23879,25216,6845,7876,30825,33202
236,1973,geoId/01071,20168,20856,949,1061,21160,21970
237,1973,geoId/01073,209266,230400,96491,113114,306397,344237
238,1973,geoId/01075,6515,6887,967,1025,7488,7920
239,1973,geoId/01077,31430,33384,3407,3962,34880,37406
240,1973,geoId/01079,11434,11523,2393,2642,13838,14179
241,1973,geoId/01081,24135,23123,7984,9101,32246,32332
242,1973,geoId/01083,18002,18457,3303,3657,21324,22142
243,1973,geoId/01085,1583,1706,4990,5506,6575,7213
244,1973,geoId/01087,2386,2110,10112,10841,12565,12985
245,1973,geoId/01089,78182,79296,14755,16563,93406,96388
246,1973,geoId/01091,5342,5701,6221,6922,11575,12635
247,1973,geoId/01093,12904,13517,354,352,13275,13890
248,1973,geoId/01095,27627,29225,517,537,28185,29811
249,1973,geoId/01097,107301,112987,48241,54790,156132,168399
250,1973,geoId/01099,5586,5863,4397,4786,10033,10693
251,1973,geoId/01101,54083,58429,30529,35739,84823,94456
252,1973,geoId/01103,36630,37948,3550,4213,40229,42220
253,1973,geoId/01105,2943,3136,4070,4693,7022,7843
254,1973,geoId/01107,6093,6368,4133,4731,10233,11107
255,1973,geoId/01109,7857,8459,4047,4688,11930,13164
256,1973,geoId/01111,7040,7618,2099,2219,9144,9845
257,1973,geoId/01113,12673,13526,9394,10688,22089,24253
258,1973,geoId/01115,13880,14333,1828,2104,15727,16458
259,1973,geoId/01117,19501,20115,3073,3362,22622,23543
260,1973,geoId/01119,2764,2720,5257,5939,8026,8669
261,1973,geoId/01121,22417,23860,9693,10581,32147,34484
262,1973,geoId/01123,12583,13391,4587,5156,17179,18564
263,1973,geoId/01125,45984,46427,14280,16811,60386,63365
264,1973,geoId/01127,28495,29434,2216,2607,30748,32101
265,1973,geoId/01129,5652,5647,2324,2453,8114,8240
266,1973,geoId/01131,2317,2485,4943,5438,7261,7925
267,1973,geoId/01133,9870,10007,32,34,9911,10051
268,1974,geoId/01001,10882,10960,3474,3868,14379,14882
269,1974,geoId/01003,27093,27857,5187,5650,32415,33658
270,1974,geoId/01005,6156,6695,4760,5794,10929,12505
271,1974,geoId/01007,5274,5415,1739,1941,7017,7362
272,1974,geoId/01009,15315,15565,300,320,15634,15908
273,1974,geoId/01011,1784,1880,3370,4109,5155,5990
274,1974,geoId/01013,6096,6759,3820,4461,9923,11228
275,1974,geoId/01015,42646,44741,8487,9624,51317,54605
276,1974,geoId/01017,11645,12816,6090,6956,17748,19788
277,1974,geoId/01019,8053,8096,716,783,8776,8885
278,1974,geoId/01021,11893,12494,1671,1858,13568,14362
279,1974,geoId/01023,4658,4853,3492,3809,8153,8665
280,1974,geoId/01025,7472,7855,5597,5951,13081,13826
281,1974,geoId/01027,5362,5651,991,1127,6362,6783
282,1974,geoId/01029,5487,5700,318,321,5811,6027
283,1974,geoId/01031,14307,15084,2807,3203,17155,18363
284,1974,geoId/01033,20499,21695,3906,4609,24443,26338
285,1974,geoId/01035,4318,4552,3101,3524,7428,8085
286,1974,geoId/01037,3630,3869,1983,1970,5622,5849
287,1974,geoId/01039,14803,16198,2263,2747,17085,18972
288,1974,geoId/01041,4894,5285,1753,2067,6657,7365
289,1974,geoId/01043,28093,29013,285,249,28414,29314
290,1974,geoId/01045,19375,18342,3096,3068,22690,21688
291,1974,geoId/01047,13549,13863,14278,16570,27863,30481
292,1974,geoId/01049,22884,24058,401,483,23323,24581
293,1974,geoId/01051,14196,14224,4655,4822,18874,19079
294,1974,geoId/01053,12564,12775,5676,5340,18614,18479
295,1974,geoId/01055,40143,43255,6063,6963,46277,50307
296,1974,geoId/01057,7234,7580,1066,1194,8303,8782
297,1974,geoId/01059,12434,13089,617,670,13063,13769
298,1974,geoId/01061,9691,10087,1346,1557,11065,11678
299,1974,geoId/01063,1212,1303,3750,4378,4966,5682
300,1974,geoId/01065,2642,2881,4728,5344,7372,8234
301,1974,geoId/01067,4116,4494,2571,2903,6696,7404
302,1974,geoId/01069,25629,27043,7251,8344,33008,35523
303,1974,geoId/01071,21102,21875,980,1087,22135,23026
304,1974,geoId/01073,208285,229690,96164,113170,305143,343646
305,1974,geoId/01075,6711,7085,975,1037,7691,8130
306,1974,geoId/01077,31907,33944,3401,3982,35361,37996
307,1974,geoId/01079,11709,11859,2406,2666,14126,14539
308,1974,geoId/01081,25803,24771,8396,9566,34352,34469
309,1974,geoId/01083,18091,18588,3226,3585,21339,22199
310,1974,geoId/01085,1603,1720,4953,5482,6559,7203
311,1974,geoId/01087,2365,2083,10161,10984,12594,13105
312,1974,geoId/01089,76934,78347,15062,16886,92517,95826
313,1974,geoId/01091,5398,5743,6193,6911,11604,12665
314,1974,geoId/01093,13376,13999,359,356,13754,14377
315,1974,geoId/01095,28225,29861,513,533,28780,30449
316,1974,geoId/01097,109146,114854,48597,55436,158415,170997
317,1974,geoId/01099,5597,5887,4341,4767,9990,10700
318,1974,geoId/01101,54695,59442,31382,36816,86316,96586
319,1974,geoId/01103,37391,38753,3630,4311,41076,43132
320,1974,geoId/01105,2990,3204,4162,4802,7162,8018
321,1974,geoId/01107,6136,6414,4133,4758,10278,11180
322,1974,geoId/01109,7990,8628,4059,4744,12078,13394
323,1974,geoId/01111,7092,7686,2129,2267,9226,9961
324,1974,geoId/01113,12671,13542,9097,10393,21794,23979
325,1974,geoId/01115,14628,15104,1845,2127,16494,17255
326,1974,geoId/01117,21254,21885,3122,3443,24436,25405
327,1974,geoId/01119,2715,2687,5205,5912,7926,8609
328,1974,geoId/01121,22953,24423,9893,10830,32884,35299
329,1974,geoId/01123,12888,13706,4666,5233,17564,18957
330,1974,geoId/01125,46728,47191,14667,17308,61535,64647
331,1974,geoId/01127,29046,30114,2220,2602,31309,32788
332,1974,geoId/01129,5688,5709,2319,2471,8182,8353
333,1974,geoId/01131,2212,2385,4693,5219,6906,7607
334,1974,geoId/01133,9930,10104,32,33,9972,10150
335,1975,geoId/01001,11141,11198,3446,3842,14614,15102
336,1975,geoId/01003,27917,28659,5239,5720,33307,34553
337,1975,geoId/01005,6575,7107,5042,6108,11635,13237
338,1975,geoId/01007,5454,5605,1745,1956,7202,7568
339,1975,geoId/01009,15662,15900,297,315,15979,16242
340,1975,geoId/01011,1771,1870,3350,4104,5125,5974
341,1975,geoId/01013,6103,6784,3809,4457,9918,11251
342,1975,geoId/01015,42998,45138,8599,9793,51797,55199
343,1975,geoId/01017,11606,12832,6094,6976,17711,19825
344,1975,geoId/01019,8235,8291,730,796,8975,9097
345,1975,geoId/01021,12181,12814,1679,1875,13866,14704
346,1975,geoId/01023,4774,4969,3567,3906,8348,8882
347,1975,geoId/01025,7607,8009,5682,6050,13301,14083
348,1975,geoId/01027,5358,5661,996,1131,6360,6797
349,1975,geoId/01029,5557,5776,317,326,5880,6109
350,1975,geoId/01031,14699,15462,2873,3265,17623,18816
351,1975,geoId/01033,21025,22257,3995,4715,25063,27011
352,1975,geoId/01035,4409,4657,3129,3574,7552,8242
353,1975,geoId/01037,3620,3877,1978,1974,5607,5859
354,1975,geoId/01039,14886,16294,2237,2722,17143,19049
355,1975,geoId/01041,4848,5225,1707,2036,6567,7274
356,1975,geoId/01043,28228,29224,278,253,28548,29536
357,1975,geoId/01045,20053,18933,3287,3249,23575,22496
358,1975,geoId/01047,13435,13829,14393,16647,27868,30530
359,1975,geoId/01049,23882,25106,408,499,24332,25652
360,1975,geoId/01051,14963,14943,4775,4917,19765,19897
361,1975,geoId/01053,12982,13192,5856,5519,19247,19102
362,1975,geoId/01055,40661,43926,6120,7052,46864,51076
363,1975,geoId/01057,7351,7724,1066,1197,8423,8932
364,1975,geoId/01059,12414,13121,607,656,13035,13793
365,1975,geoId/01061,9873,10295,1370,1573,11275,11912
366,1975,geoId/01063,1205,1301,3786,4435,4996,5737
367,1975,geoId/01065,2681,2931,4731,5359,7419,8303
368,1975,geoId/01067,4172,4568,2574,2932,6754,7507
369,1975,geoId/01069,26422,27904,7422,8542,33992,36603
370,1975,geoId/01071,21944,22824,999,1108,23009,24004
371,1975,geoId/01073,209728,231600,97409,114978,307898,347438
372,1975,geoId/01075,6806,7175,973,1036,7785,8220
373,1975,geoId/01077,32323,34465,3411,4009,35795,38560
374,1975,geoId/01079,11676,11891,2367,2636,14055,14544
375,1975,geoId/01081,26191,25089,8298,9473,34662,34711
376,1975,geoId/01083,18342,18897,3199,3546,21565,22474
377,1975,geoId/01085,1580,1693,4804,5339,6387,7035
378,1975,geoId/01087,2373,2088,10363,11293,12806,13422
379,1975,geoId/01089,76130,77895,15514,17360,92225,95923
380,1975,geoId/01091,5505,5840,6262,7003,11779,12855
381,1975,geoId/01093,13570,14203,352,362,13945,14588
382,1975,geoId/01095,29101,30801,518,534,29662,31393
383,1975,geoId/01097,111127,116904,49269,56388,161149,174088
384,1975,geoId/01099,5681,5979,4356,4811,10091,10842
385,1975,geoId/01101,54209,59291,31741,37314,86212,96967
386,1975,geoId/01103,37922,39342,3704,4400,41685,43817
387,1975,geoId/01105,2845,3076,3981,4603,6832,7691
388,1975,geoId/01107,6140,6431,4135,4764,10285,11205
389,1975,geoId/01109,8256,8941,4180,4910,12467,13878
390,1975,geoId/01111,7105,7725,2149,2300,9262,10034
391,1975,geoId/01113,13245,14165,9270,10613,22547,24829
392,1975,geoId/01115,15135,15645,1832,2124,16993,17798
393,1975,geoId/01117,22204,22862,3073,3405,25346,26356
394,1975,geoId/01119,2732,2725,5328,6064,8068,8799
395,1975,geoId/01121,23192,24695,9999,10976,33232,35723
396,1975,geoId/01123,13070,13891,4713,5273,17796,19188
397,1975,geoId/01125,46872,47357,14906,17645,61932,65169
398,1975,geoId/01127,29782,30988,2254,2633,32084,33702
399,1975,geoId/01129,5779,5823,2343,2514,8339,8550
400,1975,geoId/01131,2250,2416,4754,5328,7006,7748
401,1975,geoId/01133,10057,10275,30,38,10100,10329
402,1976,geoId/01001,11294,11349,3388,3762,14714,15178
403,1976,geoId/01003,28907,29773,5339,5857,34418,35821
404,1976,geoId/01005,6798,7333,5175,6255,11995,13612
405,1976,geoId/01007,5466,5645,1719,1919,7188,7572
406,1976,geoId/01009,16060,16328,295,314,16377,16673
407,1976,geoId/01011,1767,1869,3365,4106,5136,5976
408,1976,geoId/01013,6166,6864,3822,4486,9993,11362
409,1976,geoId/01015,45311,47346,9114,10444,54657,58104
410,1976,geoId/01017,11726,12946,6163,7079,17900,20043
411,1976,geoId/01019,8463,8528,740,814,9211,9354
412,1976,geoId/01021,12426,13026,1681,1887,14113,14929
413,1976,geoId/01023,4833,5040,3596,3964,8436,9011
414,1976,geoId/01025,7750,8157,5739,6154,13505,14340
415,1976,geoId/01027,5444,5767,1007,1152,6456,6925
416,1976,geoId/01029,5610,5802,311,329,5927,6138
417,1976,geoId/01031,14889,15680,2914,3311,17862,19091
418,1976,geoId/01033,21027,22247,3987,4688,25062,26980
419,1976,geoId/01035,4349,4598,3041,3501,7403,8111
420,1976,geoId/01037,3563,3799,1925,1937,5494,5741
421,1976,geoId/01039,14928,16332,2216,2700,17166,19068
422,1976,geoId/01041,4898,5262,1700,2023,6610,7300
423,1976,geoId/01043,28986,30052,275,257,29308,30376
424,1976,geoId/01045,19083,18699,3209,3304,22517,22338
425,1976,geoId/01047,13383,13783,14352,16596,27776,30436
426,1976,geoId/01049,24440,25740,414,500,24900,26291
427,1976,geoId/01051,14999,15212,4584,4829,19613,20080
428,1976,geoId/01053,12730,12972,5665,5426,18813,18798
429,1976,geoId/01055,41116,44394,6157,7104,47367,51608
430,1976,geoId/01057,7356,7763,1059,1191,8422,8967
431,1976,geoId/01059,12600,13317,605,655,13222,13987
432,1976,geoId/01061,9894,10334,1360,1565,11288,11946
433,1976,geoId/01063,1217,1318,3887,4563,5111,5883
434,1976,geoId/01065,2706,2966,4708,5333,7423,8315
435,1976,geoId/01067,4290,4665,2618,3000,6918,7674
436,1976,geoId/01069,26938,28495,7510,8646,34620,37318
437,1976,geoId/01071,22421,23365,1004,1112,23502,24559
438,1976,geoId/01073,211211,233235,98610,116469,310656,350641
439,1976,geoId/01075,6861,7200,964,1026,7830,8238
440,1976,geoId/01077,32971,35197,3434,4057,36474,39350
441,1976,geoId/01079,11944,12182,2396,2646,14354,14848
442,1976,geoId/01081,26684,25394,8192,9348,35068,34907
443,1976,geoId/01083,18514,19155,3163,3513,21704,22703
444,1976,geoId/01085,1610,1717,4835,5374,6449,7094
445,1976,geoId/01087,2381,2084,10535,11611,12986,13738
446,1976,geoId/01089,76337,78287,16162,18040,93150,97083
447,1976,geoId/01091,5662,6000,6360,7152,12035,13167
448,1976,geoId/01093,13593,14266,356,356,13973,14652
449,1976,geoId/01095,29617,31356,511,524,30172,31943
450,1976,geoId/01097,114396,120363,50562,57806,165817,179070
451,1976,geoId/01099,5761,6082,4383,4828,10202,10967
452,1976,geoId/01101,55025,60252,32669,38368,87987,99029
453,1976,geoId/01103,38283,39805,3762,4467,42106,44358
454,1976,geoId/01105,2794,3035,3960,4594,6760,7641
455,1976,geoId/01107,6148,6429,4132,4777,10291,11218
456,1976,geoId/01109,8252,8951,4194,4971,12480,13956
457,1976,geoId/01111,7169,7821,2197,2371,9377,10201
458,1976,geoId/01113,13541,14458,9236,10559,22813,25075
459,1976,geoId/01115,15782,16263,1844,2126,17655,18424
460,1976,geoId/01117,23589,24302,3104,3444,26773,27849
461,1976,geoId/01119,2795,2781,5414,6143,8218,8936
462,1976,geoId/01121,23637,25148,10181,11202,33861,36405
