,Year,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AsianOrPacificIslander,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianOrPacificIslander,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Male_WhiteAlone,geo_ID,Count_Person_Male,Count_Person_Female
5,1995,5497,126025,132816,414089,5450,118650,122775,414965,geoId/06001,661840,678427
6,1996,5550,129890,133996,414958,5501,121861,123986,416062,geoId/06001,667410,684394
7,1997,5628,134895,136069,419683,5544,126023,125411,418949,geoId/06001,675927,696275
8,1998,5737,139650,138003,425141,5649,130341,127397,425132,geoId/06001,688519,708531
9,1999,5801,143707,139440,428280,5727,134000,129096,429531,geoId/06001,698354,717228
0,1990,1361,3602,4418,124626,1313,3550,4616,122656,geoId/08001,132135,134007
1,1991,1390,3754,4597,127159,1338,3695,4817,125107,geoId/08001,134957,136900
2,1992,1423,3975,4771,130621,1380,3961,4963,128708,geoId/08001,139012,140790
3,1993,1463,4274,4959,133983,1412,4185,5099,131885,geoId/08001,142581,144679
4,1994,1490,4517,5104,136664,1417,4389,5244,134370,geoId/08001,145420,147775
5,1995,1532,4827,5248,140638,1465,4702,5417,138141,geoId/08001,149725,152245
6,1996,1564,5085,5414,144012,1492,4957,5526,141175,geoId/08001,153150,156075
7,1997,1607,5365,5567,146933,1523,5201,5699,143947,geoId/08001,156370,159472
8,1998,1652,5680,5744,150200,1558,5498,5932,147163,geoId/08001,160151,163276
9,1999,1687,5930,5905,153640,1584,5792,6138,150369,geoId/08001,163883,167162
0,1990,603,8850,44454,375182,680,8976,39126,350076,geoId/09001,398858,429089
1,1991,592,9503,45153,374102,680,9618,39647,348820,geoId/09001,398765,429350
2,1992,623,10162,45367,371804,701,10130,39875,346895,geoId/09001,397601,427956
3,1993,640,10853,46055,370977,721,10708,40340,346147,geoId/09001,397916,428525
4,1994,643,11449,46284,370300,732,11211,40311,345382,geoId/09001,397636,428676
5,1995,672,12114,46762,369573,733,11817,40944,345666,geoId/09001,399160,429121
6,1996,691,12715,47271,369734,764,12330,41321,346153,geoId/09001,400568,430411
7,1997,698,13516,47750,369765,778,12919,41740,346673,geoId/09001,402110,431729
8,1998,720,14212,48531,370028,765,13534,42629,347057,geoId/09001,403985,433491
9,1999,713,14980,49256,370338,808,14293,43339,347607,geoId/09001,406047,435287
0,1990,320,901,11035,44745,311,563,9949,43810,geoId/10001,54633,57001
1,1991,333,1003,11468,45499,321,616,10376,44679,geoId/10001,55992,58303
2,1992,348,1102,11758,45921,350,662,10622,44949,geoId/10001,56583,59129
3,1993,353,1148,12151,46657,354,693,10966,45727,geoId/10001,57740,60309
4,1994,353,1231,12469,46907,384,719,11204,45870,geoId/10001,58177,60960
5,1995,361,1329,12902,47362,388,774,11490,46257,geoId/10001,58909,61954
6,1996,360,1394,13185,47479,365,797,11740,46328,geoId/10001,59230,62418
7,1997,378,1498,13571,47504,372,855,12010,46466,geoId/10001,59703,62951
8,1998,363,1578,13961,47924,343,908,12441,46793,geoId/10001,60485,63826
9,1999,366,1666,14331,48324,369,975,12847,47170,geoId/10001,61361,64687
0,1990,797,6292,217663,97699,747,5382,181467,93767,geoId/11001,281363,322451
1,1991,811,7234,213725,94437,750,6151,179099,91032,geoId/11001,277032,316207
2,1992,824,7911,208983,93146,774,6942,176539,89064,geoId/11001,273319,310864
3,1993,841,8305,204845,93084,801,7258,172647,88577,geoId/11001,269283,307075
4,1994,893,8536,198869,92532,835,7343,167795,88179,geoId/11001,264152,300830
5,1995,869,8527,192114,91739,822,7156,162762,87284,geoId/11001,258024,293249
6,1996,898,8548,186337,91030,810,7096,156664,86890,geoId/11001,251460,286813
7,1997,853,8519,180815,91071,795,6997,152462,87240,geoId/11001,247494,281258
8,1998,917,8681,176124,91574,855,7006,148704,87565,geoId/11001,244130,277296
9,1999,912,8864,173059,93145,873,7256,145598,89293,geoId/11001,243020,275980
0,1990,183,2202,18918,71427,182,2474,16129,70750,geoId/12001,89535,92730
1,1991,199,2386,19624,72435,196,2682,16620,71667,geoId/12001,91165,94644
2,1992,213,2557,20378,73078,201,2838,17438,72327,geoId/12001,92804,96226
3,1993,217,2747,20984,73119,210,3045,18167,72329,geoId/12001,93751,97067
4,1994,224,2920,21686,73632,217,3219,18803,72686,geoId/12001,94925,98462
5,1995,235,3109,22314,73969,229,3399,19315,72965,geoId/12001,95908,99627
6,1996,247,3245,22787,73868,245,3536,19701,72850,geoId/12001,96332,100147
7,1997,260,3377,23313,73753,256,3675,20159,72786,geoId/12001,96876,100703
8,1998,266,3491,23763,73573,258,3776,20535,72559,geoId/12001,97128,101093
9,1999,263,3549,24201,73272,257,3858,20905,72179,geoId/12001,97199,101285
0,1990,6,19,1756,6373,11,23,1543,6027,geoId/13001,7604,8154
1,1991,6,19,1816,6407,11,22,1603,6051,geoId/13001,7687,8248
2,1992,6,20,1849,6411,12,23,1638,6059,geoId/13001,7732,8286
3,1993,6,22,1889,6383,11,24,1675,6043,geoId/13001,7753,8300
4,1994,6,25,1932,6327,12,28,1713,5995,geoId/13001,7748,8290
5,1995,6,25,1997,6331,12,29,1763,6019,geoId/13001,7823,8359
6,1996,6,27,2043,6329,12,35,1817,6025,geoId/13001,7889,8405
7,1997,6,29,2105,6310,10,37,1864,6025,geoId/13001,7936,8450
8,1998,7,35,2164,6327,12,42,1921,6039,geoId/13001,8014,8533
9,1999,6,37,2232,6325,12,43,1973,6047,geoId/13001,8075,8600
0,1990,485,35655,252,23850,439,35366,393,25018,geoId/15001,61216,60242
1,1991,525,36974,314,25018,477,36578,465,26333,geoId/15001,63853,62831
2,1992,561,37971,355,25772,495,37497,534,27339,geoId/15001,65865,64659
3,1993,567,38873,390,26259,523,38341,564,27911,geoId/15001,67339,66089
4,1994,576,39524,414,26601,526,38969,586,28351,geoId/15001,68432,67115
5,1995,610,40234,454,27057,538,39650,610,28608,geoId/15001,69406,68355
6,1996,625,40731,467,27215,570,39914,634,28636,geoId/15001,69754,69038
7,1997,662,41487,481,27606,576,40399,670,28943,geoId/15001,70588,70236
8,1998,638,41928,497,27735,583,40625,701,29098,geoId/15001,71007,70798
9,1999,653,42286,523,27867,568,40707,693,29093,geoId/15001,71061,71329
0,1990,670,1530,382,102788,802,1458,601,99291,geoId/16001,102152,105370
1,1991,692,1619,448,106864,807,1506,659,103166,geoId/16001,106138,109623
2,1992,701,1703,504,110348,834,1574,714,106958,geoId/16001,110080,113256
3,1993,739,1794,569,115256,864,1672,814,111861,geoId/16001,115211,118358
4,1994,757,1883,628,120006,880,1741,842,116569,geoId/16001,120032,123274
5,1995,766,2015,678,124021,912,1834,934,120701,geoId/16001,124381,127480
6,1996,800,2093,719,128065,931,1952,930,124657,geoId/16001,128470,131677
7,1997,844,2208,719,131344,955,2067,973,127895,geoId/16001,131890,135115
8,1998,869,2363,814,135485,979,2187,995,131931,geoId/16001,136092,139531
9,1999,894,2449,842,139259,1010,2296,1062,135590,geoId/16001,139958,143444
0,1990,37,142,882,33602,61,109,836,30399,geoId/17001,31405,34663
1,1991,37,150,902,33756,62,112,857,30598,geoId/17001,31629,34845
2,1992,37,155,917,33722,59,117,869,30660,geoId/17001,31705,34831
3,1993,35,168,938,33890,62,124,903,30885,geoId/17001,31974,35031
4,1994,36,174,964,34144,67,133,931,31213,geoId/17001,32344,35318
5,1995,34,187,980,34147,69,139,964,31290,geoId/17001,32462,35348
6,1996,34,190,995,34021,65,145,976,31260,geoId/17001,32446,35240
7,1997,36,197,1007,33918,64,148,983,31188,geoId/17001,32383,35158
8,1998,37,203,1005,33778,68,153,989,31091,geoId/17001,32301,35023
9,1999,34,208,1020,33537,66,152,997,30937,geoId/17001,32152,34799
0,1990,27,40,10,15793,19,26,28,15210,geoId/18001,15283,15870
1,1991,29,44,10,15872,20,27,28,15311,geoId/18001,15386,15955
2,1992,30,48,9,15921,20,28,42,15366,geoId/18001,15456,16008
3,1993,31,48,10,16002,19,34,44,15456,geoId/18001,15553,16091
4,1994,32,51,10,16214,22,32,30,15670,geoId/18001,15754,16307
5,1995,32,54,9,16360,24,34,45,15832,geoId/18001,15935,16455
6,1996,33,59,9,16481,23,33,49,15971,geoId/18001,16076,16582
7,1997,34,54,9,16508,24,39,48,16018,geoId/18001,16129,16605
8,1998,34,61,9,16633,24,39,48,16171,geoId/18001,16282,16737
9,1999,36,66,9,16699,26,46,47,16239,geoId/18001,16358,16810
0,1990,4,9,1,4340,0,10,0,4027,geoId/19001,4037,4354
1,1991,4,9,1,4336,0,10,2,4036,geoId/19001,4048,4350
2,1992,4,9,1,4325,0,11,0,4036,geoId/19001,4047,4339
3,1993,4,9,1,4330,0,10,2,4050,geoId/19001,4062,4344
4,1994,4,10,1,4262,0,12,0,3996,geoId/19001,4008,4277
5,1995,4,12,1,4235,0,13,0,3981,geoId/19001,3994,4252
6,1996,4,10,1,4224,0,13,0,3969,geoId/19001,3982,4239
7,1997,4,11,1,4176,0,14,0,3940,geoId/19001,3954,4192
8,1998,4,11,1,4153,0,18,0,3916,geoId/19001,3934,4169
9,1999,4,15,1,4135,0,15,0,3896,geoId/19001,3911,4155
0,1990,49,19,143,7389,52,28,128,6831,geoId/20001,7039,7600
1,1991,49,20,143,7381,52,29,129,6837,geoId/20001,7047,7593
2,1992,49,20,143,7398,52,30,131,6865,geoId/20001,7078,7610
3,1993,49,19,144,7389,49,30,130,6872,geoId/20001,7081,7601
4,1994,48,21,147,7387,51,34,135,6888,geoId/20001,7108,7603
5,1995,49,23,147,7355,51,32,131,6864,geoId/20001,7078,7574
6,1996,49,23,147,7355,51,32,133,6867,geoId/20001,7083,7574
7,1997,51,22,146,7258,47,34,131,6788,geoId/20001,7000,7477
8,1998,45,24,148,7276,49,33,132,6825,geoId/20001,7039,7493
9,1999,49,25,150,7216,49,34,134,6778,geoId/20001,6995,7440
0,1990,8,15,237,7593,7,9,221,7283,geoId/21001,7520,7853
1,1991,7,15,240,7649,6,9,225,7332,geoId/21001,7572,7911
2,1992,5,15,245,7728,7,7,227,7405,geoId/21001,7646,7993
3,1993,8,18,250,7810,9,10,232,7489,geoId/21001,7740,8086
4,1994,6,18,252,7884,4,10,242,7574,geoId/21001,7830,8160
5,1995,10,19,257,8003,9,13,245,7701,geoId/21001,7968,8289
6,1996,8,21,260,8085,5,11,250,7774,geoId/21001,8040,8374
7,1997,8,21,263,8092,9,15,253,7805,geoId/21001,8082,8384
8,1998,7,20,265,8089,6,11,253,7800,geoId/21001,8070,8381
9,1999,6,19,270,8077,9,18,258,7805,geoId/21001,8090,8372
0,1990,21,45,5482,23651,27,30,4699,21765,geoId/22001,26521,29199
1,1991,22,46,5584,23756,27,31,4791,21871,geoId/22001,26720,29408
2,1992,21,48,5664,23681,28,32,4868,21818,geoId/22001,26746,29414
3,1993,23,54,5779,23826,28,30,4969,21890,geoId/22001,26917,29682
4,1994,21,54,5857,23760,27,32,5035,21833,geoId/22001,26927,29692
5,1995,20,57,5981,23834,28,38,5142,21916,geoId/22001,27124,29892
6,1996,22,63,6122,23965,28,38,5234,22047,geoId/22001,27347,30172
7,1997,23,67,6207,23912,30,38,5302,22006,geoId/22001,27376,30209
8,1998,21,66,6288,23948,26,42,5370,22053,geoId/22001,27491,30323
9,1999,20,66,6361,23939,31,42,5438,22050,geoId/22001,27561,30386
0,1990,122,308,217,53726,114,255,274,50334,geoId/23001,50977,54373
1,1991,123,329,230,53329,124,268,269,50003,geoId/23001,50664,54011
2,1992,131,349,240,52886,124,276,279,49538,geoId/23001,50217,53606
3,1993,122,348,243,52813,115,288,269,49527,geoId/23001,50199,53526
4,1994,123,364,246,52510,122,296,271,49227,geoId/23001,49916,53243
5,1995,131,377,252,52170,114,296,271,48981,geoId/23001,49662,52930
6,1996,118,376,265,51614,117,295,290,48505,geoId/23001,49207,52373
7,1997,121,388,279,51239,112,300,302,48182,geoId/23001,48896,52027
8,1998,119,399,289,51389,119,322,306,48323,geoId/23001,49070,52196
9,1999,119,434,286,51377,118,324,317,48362,geoId/23001,49121,52216
0,1990,24,167,729,38700,35,158,805,34274,geoId/24001,35272,39620
1,1991,26,170,753,38678,39,167,826,34315,geoId/24001,35347,39627
2,1992,28,182,783,38541,40,177,857,34205,geoId/24001,35279,39534
3,1993,27,190,804,38242,40,184,886,34072,geoId/24001,35182,39263
4,1994,28,199,831,37995,36,196,905,33913,geoId/24001,35050,39053
5,1995,30,210,851,37868,42,204,936,33932,geoId/24001,35114,38959
6,1996,29,219,887,37514,42,210,963,33664,geoId/24001,34879,38649
7,1997,31,225,905,36978,41,217,987,33265,geoId/24001,34510,38139
8,1998,30,233,931,36627,46,231,1025,33007,geoId/24001,34309,37821
9,1999,31,239,958,36069,41,239,1042,32543,geoId/24001,33865,37297
0,1990,642,555,1481,96089,580,442,1445,85936,geoId/25001,88403,98767
1,1991,665,601,1568,96409,597,482,1552,86445,geoId/25001,89076,99243
2,1992,686,648,1644,97031,607,518,1627,87295,geoId/25001,90047,100009
3,1993,686,706,1730,98121,625,559,1706,88496,geoId/25001,91386,101243
4,1994,714,767,1795,99492,625,597,1768,89933,geoId/25001,92923,102768
5,1995,724,819,1837,101109,646,641,1825,91671,geoId/25001,94783,104489
6,1996,740,888,1916,102537,647,669,1924,93165,geoId/25001,96405,106081
7,1997,769,940,2000,103703,668,726,2012,94372,geoId/25001,97778,107412
8,1998,800,1009,2085,105183,679,763,2115,95843,geoId/25001,99400,109077
9,1999,807,1077,2186,107042,700,820,2223,97664,geoId/25001,101407,111112
0,1990,24,17,6,5062,32,9,18,4991,geoId/26001,5050,5109
1,1991,24,16,6,5104,32,8,29,5037,geoId/26001,5106,5150
2,1992,24,17,17,5123,30,9,22,5058,geoId/26001,5119,5181
3,1993,25,17,16,5056,33,10,24,4991,geoId/26001,5058,5114
4,1994,25,17,18,5156,33,9,21,5094,geoId/26001,5157,5216
5,1995,25,19,16,5231,32,10,22,5183,geoId/26001,5247,5291
6,1996,26,22,12,5365,34,9,29,5315,geoId/26001,5387,5425
7,1997,26,22,13,5399,34,11,27,5361,geoId/26001,5433,5460
8,1998,26,31,13,5473,32,12,29,5445,geoId/26001,5518,5543
9,1999,26,31,11,5507,33,12,31,5496,geoId/26001,5572,5575
0,1990,102,26,5,6161,74,5,8,6064,geoId/27001,6151,6294
1,1991,104,26,5,6188,75,5,8,6105,geoId/27001,6193,6323
2,1992,108,27,5,6248,76,5,8,6187,geoId/27001,6276,6388
3,1993,114,31,5,6344,80,6,8,6290,geoId/27001,6384,6494
4,1994,116,33,7,6496,84,7,10,6457,geoId/27001,6558,6652
5,1995,116,36,8,6608,87,8,11,6578,geoId/27001,6684,6768
6,1996,120,37,10,6730,90,7,12,6695,geoId/27001,6804,6897
7,1997,126,42,8,6788,90,7,13,6765,geoId/27001,6875,6964
8,1998,137,44,11,6942,100,11,15,6922,geoId/27001,7048,7134
9,1999,136,50,11,6992,101,12,15,6976,geoId/27001,7104,7189
0,1990,18,35,9529,9445,27,28,7615,8572,geoId/28001,16242,19027
1,1991,18,37,9593,9403,24,27,7649,8513,geoId/28001,16213,19051
2,1992,17,34,9513,9199,23,30,7562,8294,geoId/28001,15909,18763
3,1993,17,36,9560,9141,23,35,7620,8257,geoId/28001,15935,18754
4,1994,19,36,9626,9096,25,32,7684,8214,geoId/28001,15955,18777
5,1995,20,39,9605,8985,23,34,7640,8116,geoId/28001,15813,18649
6,1996,19,36,9663,8955,27,31,7674,8084,geoId/28001,15816,18673
7,1997,22,45,9720,8911,27,34,7713,8050,geoId/28001,15824,18698
8,1998,19,40,9660,8788,25,35,7665,7909,geoId/28001,15634,18507
9,1999,21,45,9575,8610,25,33,7607,7741,geoId/28001,15406,18251
0,1990,20,116,101,12840,24,106,126,11235,geoId/29001,11491,13077
1,1991,20,123,105,12774,26,109,135,11189,geoId/29001,11459,13022
2,1992,18,131,105,12762,24,113,137,11232,geoId/29001,11506,13016
3,1993,22,138,109,12767,29,122,141,11273,geoId/29001,11565,13036
4,1994,22,146,108,12764,29,127,143,11296,geoId/29001,11595,13040
5,1995,20,148,106,12737,28,129,146,11284,geoId/29001,11587,13011
6,1996,19,157,108,12624,30,134,144,11200,geoId/29001,11508,12908
7,1997,20,153,113,12569,24,135,146,11176,geoId/29001,11481,12855
8,1998,20,152,114,12532,32,136,145,11110,geoId/29001,11423,12818
9,1999,23,151,118,12503,27,135,151,11092,geoId/29001,11405,12795
0,1990,74,15,4,4064,66,13,5,4180,geoId/30001,4264,4157
1,1991,72,15,3,4066,68,14,5,4196,geoId/30001,4283,4156
2,1992,73,17,3,4144,68,13,5,4284,geoId/30001,4370,4237
3,1993,75,17,3,4157,69,13,3,4326,geoId/30001,4411,4252
4,1994,75,18,4,4215,74,13,5,4381,geoId/30001,4473,4312
5,1995,81,18,2,4300,74,13,6,4466,geoId/30001,4559,4401
6,1996,79,20,4,4370,82,14,7,4563,geoId/30001,4666,4473
7,1997,75,19,3,4282,77,15,6,4478,geoId/30001,4576,4379
8,1998,81,19,5,4221,73,12,4,4394,geoId/30001,4483,4326
9,1999,85,18,1,4196,77,15,5,4393,geoId/30001,4490,4300
0,1990,61,72,67,15047,58,45,124,14117,geoId/31001,14344,15247
1,1991,59,78,65,15086,58,51,121,14154,geoId/31001,14384,15288
2,1992,60,80,65,15031,58,55,121,14132,geoId/31001,14366,15236
3,1993,60,87,66,15065,60,61,125,14160,geoId/31001,14406,15278
4,1994,62,99,65,15036,64,65,129,14158,geoId/31001,14416,15262
5,1995,64,102,65,15057,62,75,127,14195,geoId/31001,14459,15288
6,1996,60,107,68,14994,65,75,134,14154,geoId/31001,14428,15229
7,1997,63,107,69,14951,67,81,132,14137,geoId/31001,14417,15190
8,1998,62,109,73,14828,70,85,144,14043,geoId/31001,14342,15072
9,1999,69,110,75,14751,69,87,145,13983,geoId/31001,14284,15005
0,1990,533,267,84,8064,405,213,121,8341,geoId/32001,9080,8948
1,1991,558,290,86,8273,421,230,127,8591,geoId/32001,9369,9207
2,1992,580,311,88,8377,440,242,131,8689,geoId/32001,9502,9356
3,1993,621,336,90,8660,462,267,134,9010,geoId/32001,9873,9707
4,1994,649,362,97,8973,485,294,135,9329,geoId/32001,10243,10081
5,1995,670,391,103,9208,497,317,139,9618,geoId/32001,10571,10372
6,1996,692,413,103,9539,517,340,135,9910,geoId/32001,10902,10747
7,1997,741,455,112,9937,543,384,169,10459,geoId/32001,11555,11245
8,1998,780,481,119,10070,574,413,162,10548,geoId/32001,11697,11450
9,1999,821,520,119,10117,604,439,160,10625,geoId/32001,11828,11577
0,1990,48,119,22,25035,60,97,45,23868,geoId/33001,24070,25224
1,1991,50,114,21,24868,49,99,39,23653,geoId/33001,23840,25053
2,1992,47,122,22,24929,53,99,45,23787,geoId/33001,23984,25120
3,1993,51,138,28,25055,49,103,47,24022,geoId/33001,24221,25272
4,1994,55,136,23,25209,54,107,46,24251,geoId/33001,24458,25423
5,1995,58,146,31,25594,53,118,47,24734,geoId/33001,24952,25829
6,1996,60,159,37,26041,52,132,83,25253,geoId/33001,25520,26297
7,1997,69,165,38,26195,59,134,81,25450,geoId/33001,25724,26467
8,1998,69,176,46,26548,65,146,81,25801,geoId/33001,26093,26839
9,1999,75,192,43,26890,62,165,90,26163,geoId/33001,26480,27200
0,1990,323,2489,21523,92557,289,2544,18886,86540,geoId/34001,108259,116892
1,1991,342,2681,22123,92899,304,2718,19363,86946,geoId/34001,109331,118045
2,1992,350,2887,22668,92867,323,2884,19950,87124,geoId/34001,110281,118772
3,1993,372,3107,23139,92886,334,3084,20388,87251,geoId/34001,111057,119504
4,1994,393,3289,23593,92731,355,3248,20815,87286,geoId/34001,111704,120006
5,1995,413,3499,24025,92700,373,3430,21214,87475,geoId/34001,112492,120637
6,1996,417,3738,24516,92813,402,3646,21619,87720,geoId/34001,113387,121484
7,1997,448,3977,24986,92748,396,3881,22006,87782,geoId/34001,114065,122159
8,1998,447,4212,25482,92858,423,4114,22443,88009,geoId/34001,114989,122999
9,1999,468,4456,25908,92956,442,4343,22841,88212,geoId/34001,115838,123788
0,1990,9221,4289,6777,226406,8336,3686,7242,216027,geoId/35001,235291,246693
1,1991,9507,4563,7207,229159,8594,3912,7698,218573,geoId/35001,238777,250436
2,1992,9742,4899,7793,232866,8841,4262,8209,222017,geoId/35001,243329,255300
3,1993,9937,5243,8269,235789,9006,4560,8578,224637,geoId/35001,246781,259238
4,1994,10090,5596,8718,239698,9193,4937,8916,228552,geoId/35001,251598,264102
5,1995,10107,5876,9154,242287,9106,5231,9252,231182,geoId/35001,254771,267424
6,1996,10155,6143,9510,243015,9166,5465,9632,231490,geoId/35001,255753,268823
7,1997,10242,6408,9807,242872,9248,5701,10010,230918,geoId/35001,255877,269329
8,1998,10526,6718,9955,241955,9474,6008,10213,229837,geoId/35001,255532,269154
9,1999,10626,6963,10192,240909,9529,6252,10416,228585,geoId/35001,254782,268690
0,1990,284,2603,13430,137707,254,2502,11769,124351,geoId/36001,138876,154024
1,1991,296,2823,13802,138265,260,2682,12090,124950,geoId/36001,139982,155186
2,1992,297,3018,14074,138287,268,2838,12381,125141,geoId/36001,140628,155676
3,1993,305,3188,14328,138484,279,2977,12628,125531,geoId/36001,141415,156305
4,1994,311,3361,14588,138752,288,3099,12850,125917,geoId/36001,142154,157012
5,1995,315,3505,14719,137957,301,3207,12974,125428,geoId/36001,141910,156496
6,1996,322,3655,14749,136519,294,3315,13017,124291,geoId/36001,140917,155245
7,1997,325,3801,14813,135394,307,3422,13079,123384,geoId/36001,140192,154333
8,1998,330,3941,14845,134236,314,3513,13129,122717,geoId/36001,139673,153352
9,1999,330,4085,14870,133305,313,3614,13203,122286,geoId/36001,139416,152590
0,1990,155,250,11297,45323,149,240,9659,41439,geoId/37001,51487,57025
1,1991,162,272,11479,45793,150,260,9827,41906,geoId/37001,52143,57706
2,1992,162,290,11653,46174,157,280,10014,42428,geoId/37001,52879,58279
3,1993,171,320,11827,46583,166,300,10142,42734,geoId/37001,53342,58901
4,1994,170,336,11973,47090,172,326,10269,43235,geoId/37001,54002,59569
5,1995,178,365,12111,47528,174,350,10367,43679,geoId/37001,54570,60182
6,1996,188,399,12289,48171,178,373,10503,44264,geoId/37001,55318,61047
7,1997,191,427,12483,48818,185,405,10682,44888,geoId/37001,56160,61919
8,1998,193,456,12661,49466,189,430,10843,45419,geoId/37001,56881,62776
9,1999,202,490,12837,49994,198,468,10990,45921,geoId/37001,57577,63523
0,1990,3,0,2,1584,7,0,1,1559,geoId/38001,1567,1589
1,1991,3,0,2,1551,7,0,1,1523,geoId/38001,1531,1556
2,1992,3,0,2,1517,7,0,2,1486,geoId/38001,1495,1522
3,1993,3,0,2,1415,7,0,0,1397,geoId/38001,1404,1420
4,1994,4,0,2,1428,7,0,1,1411,geoId/38001,1419,1434
5,1995,3,0,2,1405,7,0,0,1382,geoId/38001,1389,1410
6,1996,4,0,2,1402,7,0,1,1385,geoId/38001,1393,1408
7,1997,5,0,4,1384,10,0,0,1361,geoId/38001,1371,1393
8,1998,3,0,5,1356,7,0,1,1335,geoId/38001,1343,1364
9,1999,3,0,7,1325,7,0,0,1302,geoId/38001,1309,1335
0,1990,32,15,15,12928,39,20,28,12366,geoId/39001,12453,12990
1,1991,33,15,15,13139,41,20,42,12588,geoId/39001,12691,13202
2,1992,35,16,15,13356,40,20,45,12815,geoId/39001,12920,13422
3,1993,35,18,16,13546,39,23,36,13023,geoId/39001,13121,13615
4,1994,37,20,17,13730,41,26,44,13216,geoId/39001,13327,13804
5,1995,38,20,17,13940,42,26,45,13422,geoId/39001,13535,14015
6,1996,39,24,18,14237,42,28,49,13719,geoId/39001,13838,14318
7,1997,41,23,17,14307,42,30,55,13803,geoId/39001,13930,14388
8,1998,40,24,19,14421,44,30,53,13933,geoId/39001,14060,14504
9,1999,42,27,20,14476,44,31,57,14001,geoId/39001,14133,14565
