MinDate,observationPeriods,ScalingFactors,Units,NumPlaces,MeasurementMethods,StatVar
1970,[P1Y],[],[Percent],4,[],Amount_Debt_SDR_LenderCountryLBR_AsAFractionOf_Amount_Debt_LenderCountryLBR
1992,[P1Y],[],[Percent],1,[],Amount_Debt_GBP_LenderCountryMDA_AsAFractionOf_Amount_Debt_LenderCountryMDA
1981,[P1Y],[],[Percent],2,[],Amount_Debt_WorldBankOtherCurrency_LenderCountryJOR_AsAFractionOf_Amount_Debt_LenderCountryJOR
1978,[P1Y],[],[Percent],1,[],Amount_Debt_GBP_LenderCountryLKA_AsAFractionOf_Amount_Debt_LenderCountryLKA
1992,[P1Y],[],[Percent],1,[],Amount_Debt_CHF_LenderIslamicSolidarityFundforDev_AsAFractionOf_Amount_Debt_LenderIslamicSolidarityFundforDev
1970,[P1Y],[],[Percent],96,[],Amount_Debt_JPY_LenderCountryBEL_AsAFractionOf_Amount_Debt_LenderCountryBEL
1970,[P1Y],[],[Percent],2,[],Amount_Debt_FRF_LenderCountrySLV_AsAFractionOf_Amount_Debt_LenderCountrySLV
1992,[P1Y],[],[Percent],1,[],Amount_Debt_JPY_LenderCountryKGZ_AsAFractionOf_Amount_Debt_LenderCountryKGZ
1970,[P1Y],[],[Percent],52,[],Amount_Debt_SDR_LenderCountryFIN_AsAFractionOf_Amount_Debt_LenderCountryFIN
1970,[P1Y],[],[Percent],5,[],Amount_Debt_FRF_LenderCountryBLR_AsAFractionOf_Amount_Debt_LenderCountryBLR
1970,[P1Y],[],[Percent],5,[],Amount_Debt_WorldBankOtherCurrency_LenderCountryCOG_AsAFractionOf_Amount_Debt_LenderCountryCOG
1981,[P1Y],[],[Percent],1,[],Amount_Debt_CHF_LenderSouthAsianDevelopmentFund_AsAFractionOf_Amount_Debt_LenderSouthAsianDevelopmentFund
1981,[P1Y],[],[Percent],1,[],Amount_Debt_SDR_LenderCountryGRD_AsAFractionOf_Amount_Debt_LenderCountryGRD
1991,[P1Y],[],[Percent],8,[],Amount_Debt_USD_LenderCountryBIH_AsAFractionOf_Amount_Debt_LenderCountryBIH
1981,[P1Y],[],[Percent],1,[],Amount_Debt_CHF_LenderCountryBLZ_AsAFractionOf_Amount_Debt_LenderCountryBLZ
1970,[P1Y],[],[Percent],110,[],Amount_Debt_SDR_LenderCountryUSA_AsAFractionOf_Amount_Debt_LenderCountryUSA
1978,[P1Y],[],[Percent],1,[],Amount_Debt_WorldBankOtherCurrency_LenderCountryLKA_AsAFractionOf_Amount_Debt_LenderCountryLKA
1991,[P1Y],[],[Percent],3,[],Amount_Debt_GBP_LenderCountryBIH_AsAFractionOf_Amount_Debt_LenderCountryBIH
1991,[P1Y],[],[Percent],3,[],Amount_Debt_CHF_LenderCountryBIH_AsAFractionOf_Amount_Debt_LenderCountryBIH
1970,[P1Y],[],[Percent],10,[],Amount_Debt_WorldBankOtherCurrency_LenderCountryCUB_AsAFractionOf_Amount_Debt_LenderCountryCUB
1970,[P1Y],[],[Percent],42,[],Amount_Debt_WorldBankOtherCurrency_LenderGermanDemRep_AsAFractionOf_Amount_Debt_LenderGermanDemRep
1991,[P1Y],[],[Percent],3,[],Amount_Debt_WorldBankMultipleCurrency_LenderCountryBIH_AsAFractionOf_Amount_Debt_LenderCountryBIH
1970,[P1Y],[],[Percent],3,[],Amount_Debt_DEM_LenderCountryCMR_AsAFractionOf_Amount_Debt_LenderCountryCMR
1970,[P1Y],[],[Percent],76,[],Amount_Debt_FRF_LenderCountryRUS_AsAFractionOf_Amount_Debt_LenderCountryRUS
1992,[P1Y],[],[Percent],4,[],Amount_Debt_SDR_LenderCountryKAZ_AsAFractionOf_Amount_Debt_LenderCountryKAZ
1970,[P1Y],[],[Percent],1,[],Amount_Debt_FRF_LenderUNWorldFoodProgramme_AsAFractionOf_Amount_Debt_LenderUNWorldFoodProgramme
1970,[P1Y],[],[Percent],1,[],Amount_Debt_GBP_LenderBolivarianAlliancefortheAmericas_AsAFractionOf_Amount_Debt_LenderBolivarianAlliancefortheAmericas
2001,[P1Y],[],[Percent],88,[],Amount_Debt_EUR_LenderCountryDNK_AsAFractionOf_Amount_Debt_LenderCountryDNK
