Count_BirthEvent_LiveBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_BirthEvent_StillBirth,Count_ChildVaccinationEvent_MMR,Count_Death_Infant,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Date,State,isoCode
5870,99,96,6283,79,5972,3663,4419,5196,5604,0,16,2016-03,Sikkim,IN-SK
709009,99.9,3887,721523,4132,703037,0,0,0,701783,0,1340,2016-03,Tamil Nadu,IN-TN
454570,107.3,6632,468939,724,435527,170445,210829,253132,364105,0,84,2016-03,Telangana,IN-TG
37364,98.7,661,39332,385,39932,34194,37115,36955,21756,0,45,2016-03,Tripura,IN-TR
2916899,103.5,37764,3469585,1366,3664799,3550038,3390407,3327983,1821680,0,3977,2016-03,Uttar Pradesh,IN-UP
112164,99.4,1581,149200,242,140631,1808,4459,8232,85677,0,16286,2016-03,Uttarakhand,IN-UT
1029906,99,16798,1072545,13067,1125617,8735,39200,126663,914250,0,18973,2016-03,West Bengal,IN-WB
21010725,98.9,307156,22595575,206514,24366710,24359505,23381172,23250315,15811580,0,96983,2011-03,All India,IN
5133,108.2,92,5039,88,5164,4940,4965,4732,5070,0,116,2011-03,A & N Islands,IN-AN
1511673,99.3,11629,1456038,12063,1486717,1491795,1477368,1476573,1259864,0,1625,2011-03,Andhra Pradesh Old,IN-AP
11091,98.4,241,15352,19,19585,19029,17300,15192,10360,0,26,2011-03,Arunachal Pradesh,IN-AR
525827,98.1,15081,584844,2461,661700,623610,619743,602628,198171,0,1179,2011-03,Assam,IN-AS
1284084,88.6,28185,1926486,1431,2247160,2206506,2099406,1927031,1630228,0,1170,2011-03,Bihar,IN-BR
22262,98.9,639,16109,1294,23852,17928,16207,15541,21859,0,14,2011-03,Chandigarh,IN-CH
579014,94.2,9815,557345,10500,582074,572409,565903,572676,267846,0,4265,2011-03,Chhattisgarh,IN-CT
8877,142.8,106,6700,113,7670,6833,6899,7095,3708,0,7,2011-03,Dadra & Nagar Haveli,IN-DN
1524,51.1,12,3068,15,2715,2692,2693,2799,2442,0,3,2011-03,Daman & Diu,IN-DD
179082,101.4,3749,198750,2889,243748,231323,214869,200887,171846,0,30,2011-03,Delhi,IN-DL
20085,99.4,220,22169,0,23965,22520,22889,23008,20601,0,0,2011-03,Goa,IN-GA
1183538,99.4,16460,1152288,18613,1233132,1180514,1148571,1191082,911833,0,5648,2011-03,Gujarat,IN-GJ
509185,102.2,5298,541273,4553,572443,544472,531702,538954,364132,0,14508,2011-03,Haryana,IN-HR
102226,99.2,1261,116789,1098,128046,120781,120150,121582,35330,0,135,2011-03,Himachal Pradesh,IN-HP
153338,83.1,3422,229878,106,230172,222226,217794,220627,130693,0,104,2011-03,Jammu & Kashmir,IN-JK
591953,100.8,7377,750447,857,748625,739386,706234,685745,370874,0,6000,2011-03,Jharkhand,IN-JH
845674,110,14935,1041558,5390,1119537,1222023,1068644,1101858,914176,0,9387,2011-03,Karnataka,IN-KA
484752,100.1,2252,487992,1425,498161,532924,521566,511202,462918,0,1232,2011-03,Kerala,IN-KL
480,202.5,34,751,5,583,766,785,678,582,0,16,2011-03,Lakshadweep,IN-LD
1584801,98.8,24734,1626036,23946,1611489,1702424,1654854,1638284,1204170,0,1549,2011-03,Madhya Pradesh,IN-MP
1841834,100.5,24887,1846408,33419,1985721,1954728,1895317,1914354,1439971,0,926,2011-03,Maharashtra,IN-MH
33760,99.8,295,42035,60,52026,51910,48955,45154,5594,0,13,2011-03,Manipur,IN-MN
70183,99.6,1681,63191,2074,79822,78234,73292,67272,30029,0,13,2011-03,Meghalaya,IN-ML
22107,99.1,187,21817,585,22803,22958,23077,22821,2049,0,1263,2011-03,Mizoram,IN-MZ
16984,99.1,171,18754,9,21371,22322,21278,20288,16017,0,5,2011-03,Nagaland,IN-NL
651808,97.5,17116,685645,21869,749170,718577,716695,713928,413680,0,10497,2011-03,Odisha,IN-OR
42276,98.1,926,15165,243,37760,17480,16216,16152,37121,0,5830,2011-03,Puducherry,IN-PY
391340,98.1,6279,420364,1887,468493,456193,443414,439597,321739,0,1013,2011-03,Punjab,IN-PB
1383257,100.9,25032,1489689,14110,1369169,1567077,1511650,1541946,708523,0,794,2011-03,Rajasthan,IN-RJ
8072,99.3,165,8814,99,8899,8801,8694,8921,6318,0,0,2011-03,Sikkim,IN-SK
1069853,98.9,10992,1070692,12392,1068748,1095301,1084473,1082280,1072242,0,7538,2011-03,Tamil Nadu,IN-TN
47758,100,1104,48710,210,55402,61064,55058,50363,15407,0,43,2011-03,Tripura,IN-TR
4229340,99,47372,4495592,1291,5118392,5129170,4802410,4754865,2394149,0,2047,2011-03,Uttar Pradesh,IN-UP
134643,96.7,1437,172996,282,187416,183418,180453,182047,99617,0,188,2011-03,Uttarakhand,IN-UT
1462911,102.5,23845,1423533,31118,1654042,1527171,1481648,1468044,1198392,0,19799,2011-03,West Bengal,IN-WB
20664973,99.8,291860,23496836,139715,24011838,301668,409310,668580,17585555,0,310693,2017-03,All India,IN
4248,105.5,95,5018,15,4087,3684,3572,3696,3811,0,14,2017-03,A & N Islands,IN-AN
748522,101.5,6837,782067,3297,778563,22519,19535,19478,706539,0,4427,2017-03,Andhra Pradesh,IN-AP
17087,101.4,248,17922,76,19941,1301,1753,1469,14186,0,71,2017-03,Arunachal Pradesh,IN-AR
613077,98.4,13270,641015,5430,674146,4232,3110,2809,328971,0,4359,2017-03,Assam,IN-AS
2042168,97.8,26078,2714767,6589,2749455,2314,2114,48892,1836717,0,17711,2017-03,Bihar,IN-BR
28854,98.8,886,15946,782,28115,119,161,225,27024,0,23,2017-03,Chandigarh,IN-CH
462903,98.7,10347,549501,4705,551789,2239,1689,1955,416717,0,4726,2017-03,Chhattisgarh,IN-CT
8641,98.7,250,8389,160,8884,3,3,4,8363,0,1088,2017-03,Dadra & Nagar Haveli,IN-DN
3506,99.6,36,3935,36,3699,47,24,31,3643,0,88,2017-03,Daman & Diu,IN-DD
269366,99.2,5111,312133,3430,304598,17015,14115,13171,241194,0,26,2017-03,Delhi,IN-DL
17477,99.8,210,18268,69,18677,362,281,312,17558,0,31,2017-03,Goa,IN-GA
1194917,100.6,14702,1178522,8156,1261990,26034,23091,23545,1112174,0,17264,2017-03,Gujarat,IN-GJ
493452,98.8,7339,486515,4768,574204,3,1895,1685,497149,0,6720,2017-03,Haryana,IN-HR
88856,99.2,1288,104575,1177,98124,80,86,100,78773,0,545,2017-03,Himachal Pradesh,IN-HP
198433,99,4135,215849,526,213363,75,72,42,192407,0,1650,2017-03,Jammu & Kashmir,IN-JK
729241,99.6,9728,804456,1587,770396,3298,3036,4422,446070,0,5965,2017-03,Jharkhand,IN-JH
913447,100.1,10115,936597,7908,1057838,6907,5339,5308,849023,0,7289,2017-03,Karnataka,IN-KA
452958,101.4,2010,466031,105,453605,1584,1561,1062,434360,0,3387,2017-03,Kerala,IN-KL
819,101.9,15,1069,7,820,89,103,85,761,0,17,2017-03,Lakshadweep,IN-LD
1354479,98.8,23265,1538353,21909,1356284,5773,4732,5180,1189526,0,15035,2017-03,Madhya Pradesh,IN-MP
1674748,99.5,18001,1911474,12410,1936250,9175,14255,20961,1627163,0,3257,2017-03,Maharashtra,IN-MH
40732,99.7,267,45658,80,49048,3051,3833,5597,28647,0,1,2017-03,Manipur,IN-MN
85297,98.5,1817,71446,2427,85600,1404,2425,4801,47335,0,3195,2017-03,Meghalaya,IN-ML
19251,99.2,175,18409,398,19839,88,211,202,8375,0,299,2017-03,Mizoram,IN-MZ
20345,98.8,344,21591,174,26349,4524,4779,5150,16390,0,0,2017-03,Nagaland,IN-NL
610612,98.4,14600,680464,12669,647732,455,362,597,547864,0,120779,2017-03,Odisha,IN-OR
40064,99.3,556,13037,93,40240,0,0,0,40239,0,3339,2017-03,Puducherry,IN-PY
378752,99,5930,416136,1692,420824,1546,1347,1699,353670,0,433,2017-03,Punjab,IN-PB
1407570,99.5,25301,1432437,16101,1491534,11604,9276,8297,1046511,0,1364,2017-03,Rajasthan,IN-RJ
7035,98.9,139,7929,75,7083,0,15,10,6657,0,168,2017-03,Sikkim,IN-SK
901281,99.9,5254,880296,4400,906932,0,0,0,907208,0,713,2017-03,Tamil Nadu,IN-TN
619924,104.4,6215,922324,1271,772956,23273,16700,19194,634322,0,88,2017-03,Telangana,IN-TG
48804,98.6,891,49981,573,51370,1117,1745,3456,29477,0,36,2017-03,Tripura,IN-TR
3679811,101.4,52687,4568767,2251,4980897,145147,265214,455885,2550422,0,12151,2017-03,Uttar Pradesh,IN-UP
145299,99.4,1896,183452,488,176702,429,719,710,111261,0,28592,2017-03,Uttarakhand,IN-UT
1342997,98.7,21822,1467319,13881,1465481,2177,2157,2207,1225048,0,45842,2017-03,West Bengal,IN-WB
20977164,103.7,349566,22773061,162195,23684499,22057744,21461003,21415783,15577587,0,267050,2013-03,All India,IN
5060,98.6,82,5280,96,4686,4601,4614,4575,4451,0,103,2013-03,A & N Islands,IN-AN
1434043,124.9,20951,1456872,10474,1473281,1472964,1474680,1482814,1191281,0,4188,2013-03,Andhra Pradesh Old,IN-AP
14931,98.9,257,17512,40,22174,20760,19451,17653,11755,0,27,2013-03,Arunachal Pradesh,IN-AR
576475,96.4,14462,602450,5382,667419,643324,631482,612834,229751,0,2820,2013-03,Assam,IN-AS
1888937,100.3,33037,2193105,4022,2460462,2520892,2400317,2251453,1659249,0,12079,2013-03,Bihar,IN-BR
24208,98.8,772,16275,1480,24479,18270,16602,16290,23569,0,0,2013-03,Chandigarh,IN-CH
483613,100,10911,520619,3971,508970,519455,511094,512404,370948,0,16233,2013-03,Chhattisgarh,IN-CT
7502,99.9,111,7123,169,7195,6730,6986,7237,4489,0,1,2013-03,Dadra & Nagar Haveli,IN-DN
3117,82,10,3429,45,3198,3261,3239,3195,3618,0,0,2013-03,Daman & Diu,IN-DD
234663,98.9,4621,238547,2375,288886,275593,260521,247249,217192,0,51,2013-03,Delhi,IN-DL
17798,99.4,247,23711,5,21998,21901,22638,22209,19926,0,10,2013-03,Goa,IN-GA
1190895,101.2,17974,1166550,15455,1221747,1121993,1131349,1176322,912733,0,4674,2013-03,Gujarat,IN-GJ
466176,100.1,6854,527614,4285,543764,424835,474005,506403,349746,0,5421,2013-03,Haryana,IN-HR
98715,99.2,1283,110370,957,120481,111772,111928,113566,55291,0,10,2013-03,Himachal Pradesh,IN-HP
181043,97,3185,195481,92,211740,203450,205571,206026,165397,0,205,2013-03,Jammu & Kashmir,IN-JK
615607,100.6,9241,678029,1108,711661,719024,696139,676579,333421,0,6809,2013-03,Jharkhand,IN-JH
894344,104.7,12951,1085498,3237,1159252,1139723,1106233,1134700,878376,0,6652,2013-03,Karnataka,IN-KA
492595,99.8,2363,502248,1104,502831,24646,22145,25935,456998,0,2486,2013-03,Kerala,IN-KL
642,102.6,8,1152,5,696,1011,1004,943,678,0,0,2013-03,Lakshadweep,IN-LD
1350263,98.8,24447,1474936,14775,1410794,1516635,1494636,1492920,1023755,0,1907,2013-03,Madhya Pradesh,IN-MP
1814425,98.9,29886,1880349,34357,1913368,1948856,1898940,1907835,1527599,0,114478,2013-03,Maharashtra,IN-MH
36695,100.1,282,43642,43,52701,52038,49304,46258,8747,0,3,2013-03,Manipur,IN-MN
79043,97.9,1912,69499,2200,84723,83231,79170,73845,36693,0,367,2013-03,Meghalaya,IN-ML
20820,99,220,21892,575,24347,23084,23231,23063,2543,0,34,2013-03,Mizoram,IN-MZ
20637,99,305,21960,73,27959,27066,25443,24166,21431,0,13,2013-03,Nagaland,IN-NL
679210,98.3,17416,757844,12539,743354,742861,754834,759180,419904,0,50941,2013-03,Odisha,IN-OR
34473,98.4,926,14542,165,32122,18360,16347,14801,32122,0,3937,2013-03,Puducherry,IN-PY
419139,99.1,6115,428242,2065,457457,446689,439271,437813,322003,0,1797,2013-03,Punjab,IN-PB
1451962,100.2,26770,1369154,10891,1451079,1485828,1434982,1434784,841937,0,495,2013-03,Rajasthan,IN-RJ
7505,100.9,97,8543,7,8179,8056,8184,8326,6647,0,68,2013-03,Sikkim,IN-SK
1015218,96.6,10238,1047325,13264,1018830,19857,19672,19610,1013104,0,9746,2013-03,Tamil Nadu,IN-TN
51502,98.7,1078,52585,280,56179,60579,57308,54463,20880,0,4,2013-03,Tripura,IN-TR
3812813,117.8,65172,4556403,1006,4656302,4681084,4405209,4413050,2282078,0,2380,2013-03,Uttar Pradesh,IN-UP
151536,99,2100,174546,76,188629,182359,171746,171563,118019,0,140,2013-03,Uttarakhand,IN-UT
1401559,96.7,23282,1489212,15577,1593000,1506956,1482728,1483093,1011256,0,18971,2013-03,West Bengal,IN-WB
21207075,100.4,364938,22481485,172688,23623938,23423546,22685932,22667705,15392168,0,235723,2012-03,All India,IN
5174,98.9,77,5050,122,4998,4980,4950,4988,4716,0,239,2012-03,A & N Islands,IN-AN
1535643,99.3,13167,1447135,12812,1494643,1482936,1463060,1461167,1243958,0,2373,2012-03,Andhra Pradesh Old,IN-AP
11308,97.5,260,13907,15,16417,16667,15145,13794,8430,0,20,2012-03,Arunachal Pradesh,IN-AR
556037,96.9,14612,595318,2513,603974,625530,611818,624367,160738,0,1750,2012-03,Assam,IN-AS
1701398,94,33074,2277318,2376,2356357,2361862,2219149,2070823,1480867,0,3094,2012-03,Bihar,IN-BR
23219,98.5,742,15613,1708,24459,18597,16721,16197,22882,0,5,2012-03,Chandigarh,IN-CH
536676,97,12575,526151,3188,522223,538110,533246,534602,372743,0,16008,2012-03,Chhattisgarh,IN-CT
6942,100.2,56,6925,136,7171,6603,6855,7108,3192,0,0,2012-03,Dadra & Nagar Haveli,IN-DN
1984,57.1,17,3013,23,2967,3030,3007,2887,3064,0,2,2012-03,Daman & Diu,IN-DD
213782,99.7,3992,218236,1271,269680,265933,244590,231584,198862,0,82,2012-03,Delhi,IN-DL
21571,100.1,331,21545,1,23335,24640,23809,23590,20394,0,25,2012-03,Goa,IN-GA
1189806,98.9,17707,1169770,19981,1223580,1188033,1157778,1197766,901299,0,3826,2012-03,Gujarat,IN-GJ
516881,99.7,6366,532321,5603,536826,534260,517240,527963,377620,0,13578,2012-03,Haryana,IN-HR
99360,99,1386,112573,1215,119455,112218,110893,113040,40036,0,14,2012-03,Himachal Pradesh,IN-HP
160197,96.4,3489,204433,88,212881,214877,212640,209868,128676,0,231,2012-03,Jammu & Kashmir,IN-JK
588779,100.8,10303,683076,723,679914,708064,682522,661282,336206,0,9713,2012-03,Jharkhand,IN-JH
899315,110.7,16458,1062108,3170,1179001,1145014,1109147,1130382,946028,0,7341,2012-03,Karnataka,IN-KA
484086,99.4,2338,469647,1477,503650,414044,434393,452058,462535,0,1071,2012-03,Kerala,IN-KL
815,138.6,12,1282,4,764,1064,1012,981,773,0,20,2012-03,Lakshadweep,IN-LD
1470963,98.7,25311,1567795,21139,1501778,1633409,1592184,1575112,1035754,0,1794,2012-03,Madhya Pradesh,IN-MP
1790938,98.7,29570,1872705,30767,1870258,1968346,1909296,1913081,1496913,0,107980,2012-03,Maharashtra,IN-MH
35722,100,278,44465,39,50734,50875,48190,45133,7327,0,6,2012-03,Manipur,IN-MN
76672,98.2,2002,62851,1485,82887,79960,74248,67929,35819,0,13,2012-03,Meghalaya,IN-ML
18722,100,281,19330,205,20170,19608,19588,19663,1438,0,793,2012-03,Mizoram,IN-MZ
18873,98.8,252,18523,57,24592,24502,23311,21462,19859,0,0,2012-03,Nagaland,IN-NL
719823,97.8,18519,710087,16536,805943,753901,735092,728575,426656,0,30860,2012-03,Odisha,IN-OR
38916,98.2,923,14225,124,34698,18418,16641,15424,34850,0,4293,2012-03,Puducherry,IN-PY
415432,99,6224,407163,2793,443347,440487,427838,423608,317514,0,1173,2012-03,Punjab,IN-PB
1394413,99.1,26567,1364440,16019,1419001,1449100,1401607,1421979,765370,0,1070,2012-03,Rajasthan,IN-RJ
8055,100.2,186,8990,6,8941,8854,8951,9023,6790,0,69,2012-03,Sikkim,IN-SK
1004215,94.1,10405,994722,9666,1001969,839708,885757,923166,1000051,0,6848,2012-03,Tamil Nadu,IN-TN
50765,98.6,1005,52122,277,55193,61731,56926,53235,17887,0,5,2012-03,Tripura,IN-TR
4012431,109.6,78954,4382589,1229,4659720,4693836,4461676,4496097,2265686,0,2630,2012-03,Uttar Pradesh,IN-UP
139587,99.4,2146,185634,142,203678,199232,194646,198014,117936,0,138,2012-03,Uttarakhand,IN-UT
1458575,97.7,25353,1398639,15778,1646683,1515117,1462006,1447994,1129299,0,18659,2012-03,West Bengal,IN-WB
20764783,102.7,316331,22624859,139934,23994066,16835341,17331358,17831041,16997742,0,206028,2015-03,All India,IN
5197,107.6,156,5226,43,5187,5213,5220,5126,5048,0,176,2015-03,A & N Islands,IN-AN
651919,133.3,9812,788520,2206,866589,797982,806301,819545,763600,0,1022,2015-03,Andhra Pradesh,IN-AP
16561,100,266,17702,36,23004,21562,19672,18240,16150,0,33,2015-03,Arunachal Pradesh,IN-AR
612883,98,14185,591973,4716,645100,567349,612265,606217,266345,0,3264,2015-03,Assam,IN-AS
1987825,101.6,32545,2298794,71,2620207,1994525,2298567,2443607,1772959,0,22100,2015-03,Bihar,IN-BR
26254,98.7,773,16208,1419,26633,15417,14230,14460,26089,0,1,2015-03,Chandigarh,IN-CH
500557,99.4,11901,529163,4757,556341,543899,541364,540209,409392,0,9985,2015-03,Chhattisgarh,IN-CT
7575,99.8,66,7677,209,7918,6962,7053,7388,6379,0,0,2015-03,Dadra & Nagar Haveli,IN-DN
3732,99.6,37,4098,44,3513,3486,3478,3469,3312,0,0,2015-03,Daman & Diu,IN-DD
262900,99.3,4465,301051,3479,303493,36266,41824,45779,236338,0,11,2015-03,Delhi,IN-DL
17974,99,336,21578,59,19172,429,448,446,18312,0,15,2015-03,Goa,IN-GA
1164486,100.3,17053,1140406,8367,1271119,32309,30184,31510,1019106,0,18371,2015-03,Gujarat,IN-GJ
513367,99.1,7356,498356,4499,546456,2162,5556,6524,405203,0,3282,2015-03,Haryana,IN-HR
94525,99.1,1404,106932,1070,108406,106879,106638,108419,80137,0,88,2015-03,Himachal Pradesh,IN-HP
193748,98.3,4154,205626,361,207098,5543,5161,4923,173608,0,29,2015-03,Jammu & Kashmir,IN-JK
633340,99.5,9575,667585,1620,747102,702399,726084,708823,403908,0,6747,2015-03,Jharkhand,IN-JH
892339,99.9,10459,1044281,6760,1127020,17095,16275,15613,863393,0,3136,2015-03,Karnataka,IN-KA
490794,100.1,2099,481588,281,493862,1900,1549,1903,452443,0,2988,2015-03,Kerala,IN-KL
688,100,13,1194,3,730,1060,1062,1052,715,0,16,2015-03,Lakshadweep,IN-LD
1356355,99,23591,1445379,14140,1370674,907125,1041923,1163741,1109679,0,5486,2015-03,Madhya Pradesh,IN-MP
1752350,99.6,19421,1882440,14794,1931624,1954651,1903747,1921252,1560206,0,11578,2015-03,Maharashtra,IN-MH
40749,100.1,208,42817,70,51423,51053,48739,45964,13394,0,15,2015-03,Manipur,IN-MN
84857,98.3,1856,71840,2307,86132,84942,79219,75647,42210,0,183,2015-03,Meghalaya,IN-ML
21819,99.2,219,18927,821,23351,21053,20604,20193,9139,0,86,2015-03,Mizoram,IN-MZ
22064,98.7,380,20670,107,27370,25470,23320,21755,19015,0,0,2015-03,Nagaland,IN-NL
696009,98.2,17736,708008,15282,734481,717748,716392,722851,572547,0,69221,2015-03,Odisha,IN-OR
41153,93.6,751,15429,32,40986,2424,1747,1659,40883,0,4381,2015-03,Puducherry,IN-PY
405801,98.3,6254,423290,1553,452003,369594,401395,425992,349283,0,962,2015-03,Punjab,IN-PB
1417729,99.6,26719,1394180,17118,1497044,852839,972853,1097117,1007403,0,129,2015-03,Rajasthan,IN-RJ
7965,99.5,130,8050,147,8043,7674,7513,7582,7675,0,6,2015-03,Sikkim,IN-SK
970472,99.4,8864,990458,11152,959764,37,33,32,957150,0,15165,2015-03,Tamil Nadu,IN-TN
551560,139.1,7971,629553,942,612386,618139,619252,628349,521624,0,44,2015-03,Telangana,IN-TG
50949,98.9,951,54489,521,53842,57005,54767,52985,26890,0,38,2015-03,Tripura,IN-TR
