District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Sheohar,220,2011-03,4754,155,78.7,16845,10608,16272,16526,14750,11808,,1,6
Sitamarhi,221,2011-03,26170,397,83,42430,21679,40610,34181,30862,31572,,282,28
Siwan,222,2011-03,29952,877,74,69704,55332,74716,75364,73182,64057,,,44
Supaul,223,2011-03,42210,867,94.1,59398,45186,55493,52368,48704,47330,,,37
Vaishali,224,2011-03,55947,588,99.1,84333,66336,84935,82382,76275,69639,,,18
Pashchim champaran,211,2011-03,62444,417,90.4,76504,53284,64772,60801,52016,76260,,,4
Chandigarh,044,2011-03,22262,639,98.9,23852,21859,17928,16207,15541,16109,,14,1294
Balod,646,2011-03,,,,,,,,,,,,
Baloda bazar,644,2011-03,,,,,,,,,,,,
Bastar,374,2011-03,33312,996,97.9,33234,2834,33192,33164,34374,33286,,,655
Bemetara,650,2011-03,,,,,,,,,,,,
Dantewada,376,2011-03,11869,187,98.4,11869,5746,11372,11123,10932,10431,,2283,227
Dhamtari,377,2011-03,16873,388,97.8,17087,14631,16534,16475,16562,16334,,,440
Durg,378,2011-03,73884,1093,101.5,77143,55651,66903,65738,67024,65766,,,113
Gariyaband,645,2011-03,,,,,,,,,,,,
Janjgir-champa,379,2011-03,38456,418,98.9,37292,16826,37163,35891,37465,35669,,,428
Jashpur,380,2011-03,18390,389,98.3,18507,9417,18465,18748,19553,18921,,,481
Kanker,381,2011-03,14622,342,98.8,14862,9669,14276,14462,14335,13556,,,464
Kondagaon,643,2011-03,,,,,,,,,,,,
Korba,383,2011-03,24345,421,113.1,24270,13653,28761,29356,31327,30122,,90,341
Korea,384,2011-03,12822,296,97.7,12295,8492,16410,17316,16616,11431,,,132
Mahasamund,385,2011-03,21252,473,98.7,20733,8912,21299,20939,20525,20286,,,553
Mungeli,647,2011-03,,,,,,,,,,,,
Narayanpur,637,2011-03,3034,71,101.2,2933,91,2970,2921,2851,2837,,393,87
Raipur,387,2011-03,88670,1185,71.9,90634,55961,88721,85653,85321,84230,,,1243
Rajnandgaon,388,2011-03,31732,950,97.1,32284,1965,31320,31244,31115,29824,,,1048
Sukma,642,2011-03,,,,,,,,,,,,
Surajpur,648,2011-03,,,,,,,,,,,,
Surguja,389,2011-03,65995,1012,100,62840,,62238,61650,60929,61762,,,1687
Dadra and nagar haveli,465,2011-03,8877,106,142.8,7670,3708,6833,6899,7095,6700,,7,113
Daman,463,2011-03,1076,9,49.4,1888,1870,1828,1844,1940,2214,,,15
Diu,464,2011-03,448,3,55.9,827,572,864,849,859,854,,3,
Central,077,2011-03,23345,640,99.7,21092,19124,14569,11700,10651,9827,,,324
New delhi,079,2011-03,14042,413,98.6,5654,13992,5033,4075,3665,3568,,,948
North east,081,2011-03,21764,539,96.4,32471,25959,29952,25948,22578,24266,,,53
North west,082,2011-03,23687,451,111.5,42415,23178,49455,46212,44573,49214,,1,192
Shahdara,671,2011-03,,,,,,,,,,,,
South east,670,2011-03,,,,,,,,,,,,
South west,084,2011-03,24794,623,101.2,31433,25922,17890,16226,15734,15442,,2,106
North goa,551,2011-03,12499,193,99.2,14340,12433,12444,12469,12715,12392,,,
South goa,552,2011-03,7586,27,99.7,9625,8168,10076,10420,10293,9777,,,
Ahmadabad,438,2011-03,144152,1920,99.9,135608,111717,136124,129215,130045,131681,,144,1785
Amreli,439,2011-03,33358,336,99.3,34520,23050,30454,30042,31835,33089,,369,336
Anand,440,2011-03,45587,713,98.7,46563,39005,44816,43152,44620,42870,,,911
Arvalli,672,2011-03,,,,,,,,,,,,
Banas kantha,441,2011-03,69247,1525,96.6,71961,51272,68248,66806,69171,67605,,141,1921
Bharuch,442,2011-03,32678,203,99.8,32627,22515,33007,32696,33812,31339,,16,393
Bhavnagar,443,2011-03,56144,434,100.2,53856,38724,49622,47214,56432,53558,,604,170
Botad,676,2011-03,,,,,,,,,,,,
Chhotaudepur,668,2011-03,,,,,,,,,,,,
Dohad,445,2011-03,53149,999,97.9,54709,31047,50475,49858,51291,51698,,422,1017
Devbhumi dwarka,674,2011-03,,,,,,,,,,,,
Gandhinagar,446,2011-03,33251,434,99,33461,19596,31016,30497,32965,31709,,,493
Gir somnath,675,2011-03,,,,,,,,,,,,
Jamnagar,447,2011-03,40563,628,99,45030,36909,44235,43099,43098,41341,,92,670
Junagadh,448,2011-03,47704,840,100,46486,38880,47755,46640,46630,45581,,407,1098
Kachchh,449,2011-03,41886,615,98.9,43195,27581,40731,40105,41850,39188,,55,436
Kheda,450,2011-03,51993,799,98.5,53193,31794,49889,49004,52602,49929,,29,701
Mahesana,451,2011-03,38007,755,98.5,40230,36005,39645,40105,40940,40039,,1,425
Mahisagar,669,2011-03,,,,,,,,,,,,
Morbi,673,2011-03,,,,,,,,,,,,
Narmada,452,2011-03,8892,185,101.3,11653,7308,10418,10411,11667,10025,,10,217
Navsari,453,2011-03,18506,137,99.4,27049,23389,22213,22024,22650,21356,,,245
Panch mahals,454,2011-03,53672,1069,98.5,56412,38560,56041,55534,55367,55323,,943,1295
Patan,455,2011-03,27627,468,98.8,29133,15251,27515,26071,27633,26194,,76,1143
Porbandar,456,2011-03,10822,51,99.5,12866,12379,13097,12719,12713,12160,,3,89
Rajkot,457,2011-03,64305,724,99.4,75198,58582,70257,66910,67597,63749,,902,861
Sabar kantha,458,2011-03,52805,737,98.9,54573,42780,53931,53321,53793,52327,,,1116
Surat,459,2011-03,94212,354,99.8,101510,94121,96305,94629,95936,92179,,149,381
Surendranagar,460,2011-03,33284,393,99.3,34983,15453,36313,32431,36107,33650,,1,536
Tapi,641,2011-03,11573,207,98.7,12884,8291,13473,13182,13292,12132,,8,174
Dang,444,2011-03,7784,150,105.1,6830,2746,6895,6991,6919,6837,,2,27
Vadodara,461,2011-03,81258,1387,103,85236,62538,78193,76595,79936,75892,,1268,1679
Valsad,462,2011-03,31079,397,99.1,33366,22340,29846,29320,32181,30837,,6,494
Ambala,058,2011-03,20172,153,101.8,19505,19494,25798,25258,25779,24747,,27,256
Bhiwani,059,2011-03,24301,227,99.5,35686,9847,33720,33248,33993,34143,,,
Faridabad,060,2011-03,38015,402,98.8,43754,22280,38047,36695,36178,39273,,,79
Fatehabad,061,2011-03,20827,397,98.2,22602,16418,21514,20960,20600,20432,,,371
Gurugram,062,2011-03,24891,161,102.9,30735,24699,31449,30511,30354,30033,,,256
Hisar,063,2011-03,33431,438,99.2,42052,33123,36740,35921,37909,37183,,14212,531
Jhajjar,064,2011-03,17823,150,129.7,20012,8526,19795,19135,19314,19217,,,94
Jind,065,2011-03,27609,276,101.1,32715,16135,30541,30509,31819,31880,,,240
Kaithal,066,2011-03,19431,187,92.2,25498,15686,24728,24845,26014,24308,,,175
Karnal,067,2011-03,32545,473,97.1,31707,28239,28220,27869,29657,30414,,,100
Kurukshetra,068,2011-03,17561,110,99.7,17561,15698,20738,20045,20362,21801,,244,151
