District,lgdCode,Date,Count_BirthEvent_LiveBirth,Count_BirthEvent_StillBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_ChildVaccinationEvent_MMR,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Count_Death_Infant
Dima hasao,299,2020-03,3843,65,,3909,2473,0,0,0,0,0,162,65
Goalpara,287,2020-03,25352,612,,26377,15331,0,0,0,0,0,7,481
Golaghat,288,2020-03,15396,284,,14670,10786,0,0,6,0,2,213,387
Hailakandi,289,2020-03,13507,322,,16196,9446,0,0,0,0,0,0,271
Jorhat,290,2020-03,16827,312,,16717,13509,0,0,0,28,0,97,631
Kamrup metro,618,2020-03,35745,1052,,45028,33205,0,0,0,0,0,2632,1657
Kamrup rural,291,2020-03,20612,196,,22330,12889,0,0,0,0,0,1808,286
Karbi anglong,292,2020-03,17754,293,,20765,11090,4,3,27,0,0,4,208
Karimganj,293,2020-03,28796,771,,35773,17953,0,0,0,0,0,0,897
Kokrajhar,294,2020-03,16192,296,,17204,11366,2,0,0,12,0,412,538
Lakhimpur,295,2020-03,18244,334,,18546,13020,0,0,0,0,1,6,246
Marigaon,296,2020-03,17207,266,,21501,9967,0,0,0,0,0,50,275
Nagaon,297,2020-03,61959,1267,,65737,43307,0,0,0,24,2,1559,703
Nalbari,298,2020-03,12428,114,,13197,11426,1,1,1,1,1,1054,223
Sivasagar,300,2020-03,13467,223,,14139,9202,,,,,0,0,123
Sonitpur,301,2020-03,35613,755,,40596,23171,0,0,0,125,12,113,733
Tinsukia,302,2020-03,23374,222,,23416,14093,0,0,0,0,0,13,217
Udalguri,617,2020-03,7960,133,,10813,5930,,,,0,7,413,184
Araria,188,2020-03,74264,862,,88459,59751,12,15,7,14,0,1373,223
Arwal,611,2020-03,11504,116,,14803,11674,2,3,1,0,0,219,188
Banka,190,2020-03,39187,505,,48677,35005,62,6,3,111,2,343,493
Begusarai,191,2020-03,81883,632,,83603,71089,0,0,0,446,1,44,128
Bhagalpur,192,2020-03,63579,1001,,74767,53907,28,18,24,22,0,163,1625
Bhojpur,193,2020-03,42168,507,,59399,46590,0,0,0,0,0,1014,237
Buxar,194,2020-03,23712,252,,40007,27148,0,0,0,0,0,604,177
Darbhanga,195,2020-03,81797,1036,,109176,58013,0,0,0,18,3,754,51
Purbi champaran,213,2020-03,91966,676,,151030,81488,0,0,0,0,1,14,267
Gaya,196,2020-03,71228,874,,105329,61099,0,0,0,6050,0,361,182
Gopalganj,197,2020-03,38358,466,,63386,43620,0,0,4,66,0,564,53
Jamui,198,2020-03,41626,466,,48319,33455,0,0,0,0,0,18,148
Jehanabad,199,2020-03,14328,201,,24411,19398,1,0,1,0,0,200,72
Kaimur (bhabua),200,2020-03,29894,319,,38048,26846,0,0,1,36,0,0,329
Katihar,201,2020-03,89349,1003,,106988,77372,0,0,0,0,1,377,58
Khagaria,202,2020-03,46653,540,,53969,44580,0,0,0,49,3,0,14
Kishanganj,203,2020-03,42870,617,,53636,35102,1,0,12,39,0,214,657
Lakhisarai,204,2020-03,17982,297,,23816,16538,0,0,0,0,0,145,20
Madhepura,205,2020-03,57065,718,,64579,50942,0,0,0,0,5,2,18
Madhubani,206,2020-03,110879,796,,111836,64256,1,0,0,66,0,4,152
Munger,207,2020-03,26224,425,,27621,22048,0,0,0,9,0,0,224
Muzaffarpur,208,2020-03,93709,890,,114798,68305,50,42,36,1234,0,1162,275
Nalanda,209,2020-03,50292,521,,68977,48375,0,0,0,0,4,1060,100
Nawada,210,2020-03,40098,481,,54833,34303,13,0,0,12,2,2,22
Patna,212,2020-03,67942,929,,128638,83477,12,11,2,56,1,19,491
Purnia,214,2020-03,90945,1233,,112796,89545,0,0,10,73,0,1,580
Rohtas,215,2020-03,46027,380,,63550,41719,7,14,0,27,0,382,31
Saharsa,216,2020-03,49871,554,,57955,46299,4,3,5,14,2,145,210
Samastipur,217,2020-03,96040,1031,,112737,98946,7,4,0,5,4,132,551
Saran,218,2020-03,75039,636,,94650,64204,32,37,4,427,4,180,61
Sheikhpura,219,2020-03,14633,186,,16999,13591,0,0,0,13,0,16,29
Sheohar,220,2020-03,14148,187,,18776,13774,9,0,11,73,0,20,52
Sitamarhi,221,2020-03,62761,690,,98624,58809,414,341,256,775,1,5725,107
Siwan,222,2020-03,48324,506,,77200,49097,0,0,6,79,0,614,119
Supaul,223,2020-03,62801,644,,66481,52174,0,0,0,0,4,327,290
Vaishali,224,2020-03,68533,656,,84738,67405,0,0,0,0,12,89,432
Pashchim champaran,211,2020-03,89614,858,,118285,90745,1,3,1,31,0,154,128
Chandigarh,044,2020-03,27957,628,,26237,26099,36,26,34,0,0,51,1497
Balod,646,2020-03,9603,193,,11551,10497,0,0,0,0,0,11,189
Baloda bazar,644,2020-03,23287,402,,30256,23224,0,0,20,13,0,25,261
Bastar,374,2020-03,18384,546,,19114,16282,2,1,0,0,0,453,602
Bemetara,650,2020-03,11811,210,,16231,13464,0,0,0,0,0,53,173
Dantewada,376,2020-03,6063,200,,6184,5504,0,0,0,0,0,61,308
Dhamtari,377,2020-03,14290,279,,14953,14832,0,0,0,0,0,1342,207
Durg,378,2020-03,29917,347,,31442,29436,0,0,0,0,0,56,382
Gariyaband,645,2020-03,8581,185,,11178,8606,12,8,10,0,0,221,194
Janjgir-champa,379,2020-03,25847,432,,34103,22559,17,3,0,273,0,151,146
Jashpur,380,2020-03,15418,369,,17245,12373,0,0,0,0,0,359,272
Kanker,381,2020-03,9446,301,,12424,11545,74,58,56,66,0,706,221
Kondagaon,643,2020-03,10465,340,,13039,9377,0,0,0,34,0,70,291
Korba,383,2020-03,20646,527,,27491,22122,0,0,0,20,0,703,229
Korea,384,2020-03,12121,355,,14316,9317,0,0,0,2,0,40,287
Mahasamund,385,2020-03,17629,373,,18930,17315,0,0,0,0,0,5,361
Mungeli,647,2020-03,14082,220,,22550,14011,12,0,0,0,0,269,98
Narayanpur,637,2020-03,3484,90,,3488,2680,0,0,8,0,0,0,65
Raipur,387,2020-03,41693,597,,42933,42600,0,0,0,0,0,364,217
Rajnandgaon,388,2020-03,34368,753,,33182,29348,0,0,0,47,0,1238,720
Sukma,642,2020-03,5000,139,,5841,4561,1,32,0,21,0,9,254
Surajpur,648,2020-03,13226,264,,15406,10860,8,1,0,0,0,5,299
Surguja,389,2020-03,22216,498,,23772,22299,36,0,4,381,0,24,733
Dadra and nagar haveli,465,2020-03,9539,180,,9398,8835,1,0,0,0,0,7168,243
Daman,463,2020-03,3445,29,,4478,2948,2,1,28,0,0,0,30
Diu,464,2020-03,614,7,,711,673,0,0,0,0,0,95,6
Central,077,2020-03,41166,686,,35467,33498,1515,1356,1300,1283,1,20,557
New delhi,079,2020-03,43932,1159,,43745,42040,66,21,257,27,0,10,1330
North east,081,2020-03,8479,66,,12495,7320,818,512,376,808,0,4,115
North west,082,2020-03,45134,899,,43942,39597,1454,828,690,748,0,23,341
Shahdara,671,2020-03,41249,950,,42138,40388,504,279,245,244,5,41,626
South east,670,2020-03,15459,110,,15794,11528,2431,1716,1652,612,4,56,63
South west,084,2020-03,18502,193,,19432,17916,1661,734,609,583,0,9,127
North goa,551,2020-03,9487,133,,9994,9288,18,5,8,0,0,27,118
South goa,552,2020-03,9004,28,,8340,8485,10,10,21,0,1,38,13
Ahmadabad,438,2020-03,144877,838,,151167,142166,9,0,0,6,0,553,988
Amreli,439,2020-03,22887,105,,30808,28302,0,0,0,0,2,103,246
Anand,440,2020-03,34699,372,,34527,33992,0,0,0,0,0,35,601
Arvalli,672,2020-03,20168,147,,19231,20690,163,93,111,998,0,0,257
Banas kantha,441,2020-03,73806,908,,72928,52608,1104,898,865,4446,0,6884,1104
Bharuch,442,2020-03,27503,285,,27556,27491,0,0,0,0,0,428,319
Bhavnagar,443,2020-03,44188,481,,51558,39657,104,60,113,2698,0,418,522
Botad,676,2020-03,13358,28,,12714,13585,0,0,0,0,0,0,93
Chhotaudepur,668,2020-03,18721,263,,23792,17557,0,0,0,8,0,9,199
Dohad,445,2020-03,63171,695,,60632,60633,29,13,44,19,0,1,815
Devbhumi dwarka,674,2020-03,13182,168,,15190,13643,508,345,291,887,0,3,263
Gandhinagar,446,2020-03,28271,192,,40411,33182,0,0,0,0,0,42,371
Gir somnath,675,2020-03,21396,201,,20929,19746,34,34,51,0,0,91,343
Jamnagar,447,2020-03,20010,377,,30551,25115,0,0,0,58,0,10,1401
Junagadh,448,2020-03,21422,301,,28078,22217,15,0,0,65,0,87,255
Kachchh,449,2020-03,45724,584,,42432,39111,1503,843,847,0,0,117,527
Kheda,450,2020-03,41868,362,,44076,43116,432,172,114,4085,0,1,957
Mahesana,451,2020-03,34561,419,,34094,34488,0,0,1,1130,0,2,579
Mahisagar,669,2020-03,24540,284,,21877,19307,150,57,102,1043,0,232,293
Morbi,673,2020-03,20258,194,,19992,18599,16,8,2,4,0,0,254
Narmada,452,2020-03,8291,175,,7679,7825,0,0,0,0,0,1776,178
Navsari,453,2020-03,16145,125,,18722,16695,3,0,0,0,0,16,120
Panch mahals,454,2020-03,35518,310,,35599,31941,0,0,0,1412,0,27,884
Patan,455,2020-03,29054,468,,29055,29216,0,0,0,0,0,363,496
Porbandar,456,2020-03,8275,46,,8143,8153,0,0,0,0,1,1,125
Rajkot,457,2020-03,61292,680,,68254,67612,11,7,6,0,3,1274,1883
Sabar kantha,458,2020-03,31164,459,,34561,33724,165,139,141,0,0,276,445
Surat,459,2020-03,100014,765,,108929,101900,89,33,19,357,0,129,1569
Surendranagar,460,2020-03,28793,207,,32063,30824,41,12,33,950,0,228,294
Tapi,641,2020-03,9158,103,,9134,9135,0,0,0,0,0,18,197
Dang,444,2020-03,5092,74,,6037,5376,0,0,0,0,0,84,154
Vadodara,461,2020-03,50191,929,,63967,55966,15,12,11,3087,0,75,1541
Valsad,462,2020-03,30518,711,,32478,30212,0,0,0,707,0,1,321
Ambala,058,2020-03,19801,304,,20302,18696,0,0,0,0,0,81,288
Bhiwani,059,2020-03,19901,129,,23062,19367,0,0,0,0,0,12,317
Charki dadri,701,2020-03,5109,24,,7172,3881,0,0,0,0,0,26,78
Faridabad,060,2020-03,44420,304,,43731,38932,0,0,4,0,0,33,974
Fatehabad,061,2020-03,16383,258,,16771,14222,67,38,30,0,0,490,479
Gurugram,062,2020-03,39232,192,,45529,38635,0,0,0,0,0,26,567
Hisar,063,2020-03,32702,640,,32527,29212,0,0,0,0,0,358,713
Jhajjar,064,2020-03,11954,43,,12399,9760,82,0,0,0,0,1021,228
Jind,065,2020-03,20565,122,,26625,21841,4,0,2,0,0,400,645
Kaithal,066,2020-03,17704,125,,17585,16532,0,0,0,0,1,1746,364
Karnal,067,2020-03,29136,422,,28882,29078,4,1,0,0,2,18,632
Kurukshetra,068,2020-03,15321,89,,14279,12768,1,0,1,0,0,314,344
Mahendragarh,069,2020-03,11902,151,,11818,9007,15,11,8,0,0,41,213
Nuh,604,2020-03,48344,1099,,49919,32410,1646,622,497,0,0,904,1991
Palwal,619,2020-03,24804,252,,28623,17490,0,0,0,0,0,4,833
Panchkula,070,2020-03,12025,147,,12272,11803,0,0,0,0,3,66,99
Panipat,071,2020-03,24256,351,,26673,23196,0,0,0,0,0,718,617
Rewari,072,2020-03,18279,146,,17897,15140,0,0,0,0,0,36,164
Rohtak,073,2020-03,27064,962,,25679,24097,0,0,0,0,0,351,1401
Sirsa,074,2020-03,21535,230,,23955,21661,0,0,0,0,1,239,432
Sonipat,075,2020-03,28341,393,,34188,22571,0,0,0,0,1,2,542
Yamunanagar,076,2020-03,22226,309,,22856,22198,0,0,0,0,0,384,499
Chamba,016,2020-03,7470,99,,7561,4196,0,0,0,0,0,317,138
Kangra,018,2020-03,18209,244,,21054,20268,0,0,0,0,0,1164,375
Kinnaur,019,2020-03,500,2,,523,419,0,0,0,0,0,53,13
Kullu,020,2020-03,5865,49,,5533,5355,0,0,0,0,0,47,89
Lahul and spiti,021,2020-03,42,1,,55,38,0,0,0,0,0,4,1
Mandi,022,2020-03,9866,87,,9980,9275,0,0,0,0,0,780,156
Shimla,023,2020-03,14773,189,,14512,13632,0,0,0,0,0,19,207
Sirmaur,024,2020-03,6856,110,,6947,5972,0,0,0,0,0,618,151
Solan,025,2020-03,8784,79,,8519,6424,0,0,0,0,0,631,88
Una,026,2020-03,6285,48,,5492,4382,6,0,0,0,0,196,57
Anantnag,001,2020-03,12814,190,,15309,15375,0,0,0,0,0,1131,23
Budgam,002,2020-03,3685,10,,4180,3685,,,,0,0,0,19
Bandipora,623,2020-03,2600,20,,3100,2711,0,0,0,1,0,56,12
Baramulla,003,2020-03,14021,212,,15611,13571,0,0,0,0,0,1,92
Doda,004,2020-03,6219,85,,6321,5501,0,0,0,0,0,0,7
Ganderbal,626,2020-03,1605,14,,1797,1553,0,0,0,0,0,0,1
Jammu,005,2020-03,33459,668,,34085,33948,0,0,0,0,0,25,625
Kargil,006,2020-03,2050,11,,1881,1925,0,0,7,481,0,13,44
Kathua,007,2020-03,8457,138,,8788,8219,0,0,0,0,0,6,15
Kishtwar,620,2020-03,4522,94,,4466,4395,0,0,0,0,0,672,21
Kulgam,622,2020-03,3956,13,,4290,4064,0,0,0,4,1,673,20
Kupwara,008,2020-03,7364,140,,10401,9725,0,0,0,0,0,281,2854
Leh ladakh,009,2020-03,1817,21,,1793,1782,0,1,1,0,0,73,19
Poonch,010,2020-03,10315,311,,11244,8334,0,0,0,0,0,9,142
Pulwama,011,2020-03,5017,33,,5700,5538,0,0,0,0,0,354,22
Rajouri,012,2020-03,12981,82,,14857,12271,0,0,0,0,0,11,19
Ramban,621,2020-03,5156,13,,5732,4747,0,0,0,0,0,0,
Reasi,627,2020-03,5577,57,,5191,4807,0,0,0,0,0,1229,3
Samba,624,2020-03,1333,1,,1766,1664,0,0,0,0,0,61,44
Shopian,625,2020-03,1084,17,,1153,1067,0,0,0,0,0,47,23
Srinagar,013,2020-03,38695,1283,,37981,37535,0,0,0,0,0,1010,579
Udhampur,014,2020-03,8657,117,,10054,8402,0,0,0,0,0,126,34
Bokaro,322,2020-03,42581,181,,44573,32685,0,0,0,0,0,639,216
Chatra,323,2020-03,22890,189,,22936,14846,27,4,4,193,0,498,135
Deoghar,324,2020-03,36463,398,,38563,25583,0,0,0,0,0,5,137
Dhanbad,325,2020-03,55315,384,,68177,44249,134,57,62,147,0,246,118
Dumka,326,2020-03,26463,437,,30279,19529,0,0,0,0,0,1062,403
Giridih,329,2020-03,54049,347,,57983,28493,0,0,0,0,2,233,137
Godda,330,2020-03,31471,457,,32819,21264,26,44,93,191,0,1017,82
Gumla,331,2020-03,19986,417,,21300,16825,0,0,0,0,1,568,257
Hazaribagh,332,2020-03,35709,302,,41485,30704,5,1,1,40,1,431,126
Jamtara,333,2020-03,16628,261,,19067,11502,118,88,52,6,0,44,188
Khunti,606,2020-03,10379,170,,11376,9160,0,0,0,3,1,87,116
Koderma,334,2020-03,18601,286,,22302,14736,0,0,0,29,0,461,94
Latehar,335,2020-03,15922,277,,17752,9308,0,0,0,111,0,21,103
Lohardaga,336,2020-03,11064,140,,11465,8888,0,0,0,0,0,888,132
Pakur,337,2020-03,24226,251,,25793,13922,169,84,45,334,0,53,120
Palamu,338,2020-03,42862,661,,48855,32003,19,4,11,1387,0,16,154
West singhbhum,343,2020-03,38547,804,,39638,27423,24,1,29,130,0,216,565
East singhbum,327,2020-03,41134,724,,43129,39133,326,301,219,28,0,992,1009
Ramgarh,607,2020-03,15225,91,,19392,14244,15,10,8,328,2,186,95
Ranchi,339,2020-03,67542,335,,69734,59650,10,6,31,4101,0,2896,296
Sahebganj,340,2020-03,31954,679,,32781,22121,41,12,75,218,3,626,163
Saraikela kharsawan,341,2020-03,27156,355,,26360,20857,1,0,0,52,0,4,265
Simdega,342,2020-03,11562,287,,11670,8800,31,13,12,417,0,14,126
Bagalkote,524,2020-03,36841,192,,39352,29129,0,0,0,0,0,2,230
Bengaluru rural,526,2020-03,8925,41,,9483,8901,144,109,86,78,0,63,41
Bengaluru urban,525,2020-03,132718,1415,,147990,129140,591,279,407,697,1,487,932
Belagavi,527,2020-03,68681,533,,94272,78109,565,315,272,1127,7,208,410
Ballari,528,2020-03,43444,537,,51431,37309,278,100,199,105,0,308,645
Bidar,529,2020-03,30737,234,,32573,24950,506,208,182,1822,1,100,274
Chamarajanagara,531,2020-03,8375,79,,8622,8298,0,0,0,0,0,125,64
Chikkaballapura,630,2020-03,14827,108,,15070,14877,0,0,0,0,0,513,126
Chikkamagaluru,532,2020-03,12617,64,,12918,12285,2,1,2,149,1,207,104
Chitradurga,533,2020-03,19668,191,,21316,18140,76,31,21,398,0,55,297
Dakshina kannada,534,2020-03,34444,319,,34142,33793,1,2,7,27,3,17,393
Davangere,535,2020-03,29038,375,,30096,27785,113,60,84,231,0,412,573
Dharwad,536,2020-03,36326,758,,36231,33926,238,87,164,467,0,2,503
Gadag,537,2020-03,16128,232,,16411,16184,0,0,0,0,0,803,185
Kalaburagi,538,2020-03,47367,489,,66380,43960,295,103,69,1306,0,153,624
Hassan,539,2020-03,20387,195,,19990,19802,30,12,16,119,0,491,408
Haveri,540,2020-03,18916,186,,26605,19155,29,44,67,877,0,399,188
Kodagu,541,2020-03,6369,73,,6462,6347,2,2,1,0,2,948,69
Kolar,542,2020-03,20514,135,,19688,18750,6,0,0,2861,5,9,221
Koppal,543,2020-03,27032,416,,31924,26895,124,60,78,693,0,2344,363
Mandya,544,2020-03,16717,163,,17176,16316,1,1,1,32,0,80,296
Mysuru,545,2020-03,39078,316,,38555,34116,21,11,66,319,0,36,682
Raichur,546,2020-03,40460,634,,49204,34913,49,16,41,257,0,264,749
Ramanagara,631,2020-03,8414,16,,10112,9260,70,64,25,148,2,0,40
Shivamogga,547,2020-03,24627,275,,23540,23031,24,8,9,81,2,83,491
Tumakuru,548,2020-03,29684,166,,31730,29825,8,5,2,24,0,27,413
Udupi,549,2020-03,13809,66,,13822,13393,42,24,21,178,3,19,148
Uttara kannada,550,2020-03,19785,148,,18898,18477,168,81,68,144,1,13,192
Yadgir,635,2020-03,30545,183,,39771,26650,670,294,401,4066,0,529,200
Alappuzha,554,2020-03,15881,36,,16122,15677,3,4,10,848,2,98,76
Ernakulam,555,2020-03,42207,121,,42705,41757,36,28,10,129,0,72,184
Idukki,556,2020-03,10609,45,,10943,10738,20,0,3,185,0,18,23
Kozhikode,561,2020-03,52381,375,,52553,51866,45,44,52,1032,0,218,293
Kannur,557,2020-03,41575,168,,41043,40067,76,64,63,517,1,90,146
Kasaragod,558,2020-03,18151,57,,16952,14463,25,7,9,1215,0,726,40
Kollam,559,2020-03,25161,18,,24842,25605,9,8,9,173,11,792,19
Kottayam,560,2020-03,22663,139,,21812,21673,71,6,7,73,0,29,96
Malappuram,562,2020-03,90044,266,,85476,74675,176,176,213,364,2,265,143
Palakkad,563,2020-03,33160,55,,33997,33224,302,225,220,149,4,257,50
Pathanamthitta,564,2020-03,14529,22,,14647,14595,1,1,1,21,0,30,15
Thiruvananthapuram,565,2020-03,41388,244,,41299,38661,1020,788,750,1518,4,171,422
Thrissur,566,2020-03,42130,114,,39043,38228,75,41,54,264,1,10,134
Wayanad,567,2020-03,14651,52,,14650,14637,4,4,2,0,1,431,21
Lakshadweep district,553,2020-03,851,5,,856,887,7,0,0,10,0,49,5
Agar malwa,667,2020-03,9548,123,,10012,9767,2,0,8,0,0,132,90
Alirajpur,639,2020-03,19266,226,,19330,16163,0,0,0,12,0,434,370
Anuppur,390,2020-03,10789,235,,13333,10282,0,0,0,2381,0,208,499
Ashoknagar,391,2020-03,17096,343,,16295,14866,76,62,84,209,0,51,540
Balaghat,392,2020-03,27073,519,,28257,25014,0,0,0,0,0,382,537
Barwani,393,2020-03,40528,559,,38514,29260,0,0,0,0,0,0,1010
Betul,394,2020-03,25357,421,,25127,22494,0,0,0,28,0,60,686
Bhind,395,2020-03,29597,201,,28249,26198,0,0,0,1610,0,22,369
Bhopal,396,2020-03,53146,1072,,55005,54211,0,0,0,11,0,2656,1770
Burhanpur,397,2020-03,16076,292,,17672,14355,99,64,56,1609,0,1678,343
Chhatarpur,398,2020-03,41420,823,,41519,39407,0,0,0,636,0,688,1111
Chhindwara,399,2020-03,36020,633,,32047,29954,30,30,82,52,0,1419,981
Damoh,400,2020-03,25921,329,,25671,23431,27,56,68,739,0,303,343
Datia,401,2020-03,11698,154,,12175,10919,0,0,0,0,0,3,429
Dewas,402,2020-03,26876,390,,27518,26626,0,0,0,0,0,1,505
Dhar,403,2020-03,41020,623,,40799,36885,32,0,0,159,0,88,916
Dindori,404,2020-03,12350,293,,12374,11361,0,0,0,0,0,0,427
Guna,406,2020-03,27447,471,,24531,22574,28,28,29,904,0,461,952
Gwalior,407,2020-03,40397,658,,42101,38209,1,1,0,3134,0,262,395
Hoshangabad,409,2020-03,21162,274,,21171,20824,1,1,1,339,0,25,309
Indore,410,2020-03,65747,990,,62768,42139,651,757,606,6055,0,448,314
Jabalpur,411,2020-03,36873,832,,35947,33902,212,15,25,1685,0,2015,1298
Jhabua,412,2020-03,35947,566,,37336,33434,80,7,20,315,0,25,869
Katni,413,2020-03,23680,547,,24364,24120,2,0,0,57,0,0,989
East nimar,405,2020-03,25563,425,,24836,24715,0,0,0,65,0,1302,644
Khargone,414,2020-03,35976,545,,36084,29229,0,0,0,1967,0,615,711
Mandla,415,2020-03,17480,405,,17489,17012,19,12,11,94,1,0,462
Mandsaur,416,2020-03,21834,497,,21831,21154,9,4,3,4965,0,23,520
Morena,417,2020-03,40647,683,,40217,39429,1,2,13,0,1,222,802
Narsinghpur,418,2020-03,17832,284,,17927,17448,0,0,0,0,0,1103,335
Neemuch,419,2020-03,13303,166,,12892,12708,0,0,0,211,0,3,365
Panna,420,2020-03,20277,319,,20968,18382,0,0,106,6152,0,228,925
Raisen,421,2020-03,22036,285,,21159,20093,0,0,0,304,0,728,502
Rajgarh,422,2020-03,25435,359,,24428,24042,48,14,15,246,0,575,672
Ratlam,423,2020-03,32774,766,,31180,30531,0,0,0,86,0,29,946
Rewa,424,2020-03,47228,668,,48922,44522,10,3,29,238,0,1497,506
Sagar,425,2020-03,38111,594,,48424,40301,70,64,61,896,0,216,1003
Satna,426,2020-03,39728,550,,39959,38226,22,25,15,147,0,15,1328
Sehore,427,2020-03,24324,311,,24691,23378,0,0,0,0,0,966,760
Seoni,428,2020-03,22539,456,,21430,21221,0,0,0,0,0,352,556
Shahdol,429,2020-03,23414,623,,22201,20852,0,0,0,140,0,218,635
Shajapur,430,2020-03,14209,198,,14517,14253,0,0,0,6,0,564,184
Sheopur,431,2020-03,13927,190,,14552,11289,6,2,0,4144,0,149,656
Shivpuri,432,2020-03,37235,618,,37533,33022,0,0,0,5085,0,6,555
Sidhi,433,2020-03,27766,584,,26314,23356,138,2,2,1263,0,11,565
Singrauli,638,2020-03,32369,575,,33454,26633,17,4,15,1165,0,561,423
Tikamgarh,434,2020-03,30360,535,,30310,28667,11,5,1,480,0,12,699
Ujjain,435,2020-03,36286,511,,31742,29992,0,0,0,0,0,352,573
Umaria,436,2020-03,11418,261,,11214,10708,1,1,1,3,0,330,668
Vidisha,437,2020-03,25605,391,,26072,23379,2,1,64,2498,1,1952,716
Ahmednagar,466,2020-03,73144,589,,78904,72650,0,0,0,0,0,5,738
Akola,467,2020-03,32429,549,,32427,28088,0,0,0,0,0,18,907
Amravati,468,2020-03,41561,683,,52492,35953,0,0,0,0,0,0,487
Bhandara,471,2020-03,16454,225,,16465,15370,0,0,0,0,0,10,239
Beed,470,2020-03,46023,369,,46189,41070,0,0,0,0,1,0,367
Mumbai,482,2020-03,148692,1646,,165359,162510,0,0,0,0,5,76,1835
Buldhana,472,2020-03,41977,303,,47494,42944,0,0,0,0,0,2,296
Chandrapur,473,2020-03,27244,492,,28949,24232,0,0,3,23,2,12,626
Dhule,474,2020-03,38306,126,,42310,31850,0,0,0,0,0,0,541
Gadchiroli,475,2020-03,16288,349,,16959,15725,0,0,0,0,0,41,302
Gondia,476,2020-03,17305,261,,17491,15301,0,0,0,0,0,2,257
Hingoli,477,2020-03,16328,139,,20065,14440,0,0,0,0,0,4,185
Jalgaon,478,2020-03,72787,375,,75347,68891,0,0,0,0,0,9,349
Jalna,479,2020-03,35197,322,,42046,37481,0,0,0,0,0,157,129
Kolhapur,480,2020-03,56725,240,,59550,53488,0,0,0,0,1,13,575
Latur,481,2020-03,41459,313,,43627,41048,0,0,0,0,0,0,101
Nagpur,484,2020-03,71317,708,,69681,69472,0,0,0,0,0,0,1124
Nanded,485,2020-03,60769,284,,60637,60768,0,0,0,0,1,111,342
Nandurbar,486,2020-03,30871,510,,35397,29166,0,0,0,0,0,0,612
Nashik,487,2020-03,109600,1092,,122469,86490,0,0,0,0,0,15,635
Osmanabad,488,2020-03,22079,196,,28607,23487,0,0,0,444,0,24,197
Palghar,665,2020-03,55858,409,,60560,52384,0,0,0,0,0,12,321
Parbhani,489,2020-03,32596,88,,36391,23568,0,0,0,0,0,58,159
Pune,490,2020-03,169721,898,,174670,136060,0,0,0,0,0,151,848
Ratnagiri,492,2020-03,16001,133,,17280,13721,0,0,0,0,0,62,105
Sangli,493,2020-03,45914,324,,60272,45677,0,0,0,32,0,16,670
Satara,494,2020-03,44435,381,,45646,44583,0,0,0,0,0,3,339
Sindhudurg,495,2020-03,7348,64,,7468,6753,0,0,0,0,0,208,64
Solapur,496,2020-03,73616,470,,78492,58895,0,0,0,0,2,94,779
Thane,497,2020-03,150752,1107,,149308,151134,0,0,0,0,1,427,748
Washim,499,2020-03,13297,98,,15061,10848,0,0,0,0,0,0,98
Yavatmal,500,2020-03,41498,183,,44614,34758,0,0,0,0,0,7,237
Bishnupur,252,2020-03,831,9,,3023,786,0,0,0,0,0,0,1
Chandel,253,2020-03,738,1,,1336,381,0,0,0,3,0,0,0
Churachandpur,254,2020-03,4165,38,,3959,3541,27,2,1,0,0,0,79
Imphal east,255,2020-03,7092,3,,6937,4442,0,0,0,0,0,0,9
Imphal west,256,2020-03,14738,83,,7127,11068,,,,0,0,258,8
Senapati,257,2020-03,5928,3,,6950,2786,11,0,12,0,0,50,6
Tamenglong,258,2020-03,1213,7,,1543,879,0,0,0,0,0,0,3
Thoubal,259,2020-03,2842,1,,5577,1978,0,0,0,0,0,0,3
Ukhrul,260,2020-03,1915,14,,2108,1245,0,0,0,0,0,0,6
East garo hills,273,2020-03,4426,108,,4093,2659,29,11,4,732,0,8,72
East jaintia hills,657,2020-03,2675,58,,3144,1420,36,21,13,1015,0,190,72
East khasi hills,274,2020-03,26881,669,,26188,21643,2,11,5,645,4,18,873
North garo hills,656,2020-03,3576,55,,4330,2558,60,55,40,873,0,4,63
Ri bhoi,276,2020-03,6235,92,,6152,4309,40,8,3,746,1,40,136
South garo hills,277,2020-03,2778,52,,3285,1193,20,12,13,199,0,388,98
South west garo hills,663,2020-03,3979,57,,4233,2876,36,1,0,279,0,62,169
South west khasi hills,658,2020-03,2899,82,,3019,977,0,0,0,0,0,62,153
West garo hills,278,2020-03,14583,342,,14853,7790,143,121,94,197,0,340,350
West jaintia hills,275,2020-03,10500,270,,9919,6531,12,11,3,1672,0,584,288
West khasi hills,279,2020-03,10917,210,,11279,5484,8,0,0,1328,0,249,250
Champhai,262,2020-03,1897,16,,2117,1492,0,0,0,0,0,71,40
Kolasib,263,2020-03,1208,10,,1410,733,0,0,0,0,0,140,39
Lawngtlai,264,2020-03,2067,24,,2525,1108,0,0,0,0,0,44,42
