COU,Measure,Land cover class,Year,Value
CZE,Square kilometers (000's),Shrubland,1992,0
CZE,Square kilometers (000's),Shrubland,2004,0
CZE,Square kilometers (000's),Shrubland,2015,0
CZE,Square kilometers (000's),Shrubland,2018,0
CZE,Square kilometers (000's),Shrubland,2019,0
CZE,Square kilometers (000's),Sparse vegetation,1992,0.048379784
CZE,Square kilometers (000's),Sparse vegetation,2004,0.048379784
CZE,Square kilometers (000's),Sparse vegetation,2015,0.047452376
CZE,Square kilometers (000's),Sparse vegetation,2018,0.047065956
CZE,Square kilometers (000's),Sparse vegetation,2019,0.048147932
CZE,Percent of total country area,Sparse vegetation,1992,0.0614065032
CZE,Percent of total country area,Sparse vegetation,2004,0.0614065032
CZE,Percent of total country area,Sparse vegetation,2015,0.0602293817
CZE,Percent of total country area,Sparse vegetation,2018,0.0597389145
CZE,Percent of total country area,Sparse vegetation,2019,0.0611122228
DNK,Square kilometers (000's),Shrubland,1992,0
DNK,Square kilometers (000's),Shrubland,2004,0
DNK,Square kilometers (000's),Shrubland,2015,0
DNK,Square kilometers (000's),Shrubland,2018,0
DNK,Square kilometers (000's),Shrubland,2019,0
DNK,Square kilometers (000's),Sparse vegetation,1992,0.012210872
DNK,Square kilometers (000's),Sparse vegetation,2004,0.011438032
DNK,Square kilometers (000's),Sparse vegetation,2015,0.011438032
DNK,Square kilometers (000's),Sparse vegetation,2018,0.011438032
DNK,Square kilometers (000's),Sparse vegetation,2019,0.011438032
DNK,Square kilometers (000's),Cropland,1992,32.29868385
DNK,Square kilometers (000's),Cropland,2004,31.615416
DNK,Square kilometers (000's),Cropland,2015,31.56371301
DNK,Square kilometers (000's),Cropland,2018,31.35419608
DNK,Square kilometers (000's),Cropland,2019,31.2338649
DNK,Square kilometers (000's),Inland water,1992,0.996036192
DNK,Square kilometers (000's),Inland water,2004,0.92624874
DNK,Square kilometers (000's),Inland water,2015,0.924548492
DNK,Square kilometers (000's),Inland water,2018,0.924780344
DNK,Square kilometers (000's),Inland water,2019,0.924780344
DNK,Percent of total country area,Sparse vegetation,1992,0.028357033
DNK,Percent of total country area,Sparse vegetation,2004,0.0265622841
DNK,Percent of total country area,Sparse vegetation,2015,0.0265622841
DNK,Percent of total country area,Sparse vegetation,2018,0.0265622841
DNK,Percent of total country area,Sparse vegetation,2019,0.0265622841
FIN,Square kilometers (000's),Tree cover,1992,239.4159396
FIN,Square kilometers (000's),Tree cover,2004,241.9619065
FIN,Square kilometers (000's),Tree cover,2015,242.5875977
FIN,Square kilometers (000's),Tree cover,2018,240.2863121
FIN,Square kilometers (000's),Tree cover,2019,238.1317887
FIN,Square kilometers (000's),Wetland,1992,31.07133664
FIN,Square kilometers (000's),Wetland,2004,25.80296365
FIN,Square kilometers (000's),Wetland,2015,23.88291995
FIN,Square kilometers (000's),Wetland,2018,24.37398249
FIN,Square kilometers (000's),Wetland,2019,25.4240402
FIN,Square kilometers (000's),Sparse vegetation,1992,6.626948432
FIN,Square kilometers (000's),Sparse vegetation,2004,5.776979
FIN,Square kilometers (000's),Sparse vegetation,2015,4.711155356
FIN,Square kilometers (000's),Sparse vegetation,2018,4.587269104
FIN,Square kilometers (000's),Sparse vegetation,2019,4.6969351
FIN,Square kilometers (000's),Inland water,1992,32.23647023
FIN,Square kilometers (000's),Inland water,2004,32.74662191
FIN,Square kilometers (000's),Inland water,2015,32.86965804
FIN,Square kilometers (000's),Inland water,2018,32.79971602
FIN,Square kilometers (000's),Inland water,2019,32.80953109
FIN,Percent of total country area,Shrubland,1992,0.0676319415
FIN,Percent of total country area,Shrubland,2004,0.0723691669
FIN,Percent of total country area,Shrubland,2015,0.0992057789
FIN,Percent of total country area,Shrubland,2018,0.115418128
FIN,Percent of total country area,Shrubland,2019,0.1493605781
FIN,Percent of total country area,Cropland,1992,7.356842083
FIN,Percent of total country area,Cropland,2004,8.215544676
FIN,Percent of total country area,Cropland,2015,8.599328924
FIN,Percent of total country area,Cropland,2018,9.149536959
FIN,Percent of total country area,Cropland,2019,9.348155483
FIN,Percent of total country area,Inland water,1992,9.592122592
FIN,Percent of total country area,Inland water,2004,9.743920772
FIN,Percent of total country area,Inland water,2015,9.780530785
FIN,Percent of total country area,Inland water,2018,9.759719188
FIN,Percent of total country area,Inland water,2019,9.762639711
FRA,Square kilometers (000's),Grassland,1992,88.14077904
FRA,Square kilometers (000's),Grassland,2004,91.02640903
FRA,Square kilometers (000's),Grassland,2015,91.040552
FRA,Square kilometers (000's),Grassland,2018,90.83845434
FRA,Square kilometers (000's),Grassland,2019,91.00075074
FRA,Square kilometers (000's),Shrubland,1992,2.906805808
FRA,Square kilometers (000's),Shrubland,2004,3.184564504
FRA,Square kilometers (000's),Shrubland,2015,3.26988604
FRA,Square kilometers (000's),Shrubland,2018,3.279237404
FRA,Square kilometers (000's),Shrubland,2019,3.295080624
FRA,Square kilometers (000's),Bare area,1992,2.452144036
FRA,Square kilometers (000's),Bare area,2004,2.559027808
FRA,Square kilometers (000's),Bare area,2015,2.554545336
FRA,Square kilometers (000's),Bare area,2018,2.543725576
FRA,Square kilometers (000's),Bare area,2019,2.542952736
FRA,Percent of total country area,Sparse vegetation,1992,0.392510952
FRA,Percent of total country area,Sparse vegetation,2004,0.4060754374
FRA,Percent of total country area,Sparse vegetation,2015,0.4048049013
FRA,Percent of total country area,Sparse vegetation,2018,0.4015741095
FRA,Percent of total country area,Sparse vegetation,2019,0.4033891611
FRA,Percent of total country area,Inland water,1992,0.6844317461
FRA,Percent of total country area,Inland water,2004,0.7546984425
FRA,Percent of total country area,Inland water,2015,0.7408314485
FRA,Percent of total country area,Inland water,2018,0.7418599777
FRA,Percent of total country area,Inland water,2019,0.742573898
DEU,Percent of total country area,Tree cover,1992,31.70713341
DEU,Percent of total country area,Tree cover,2004,32.10445821
DEU,Percent of total country area,Tree cover,2015,32.01922444
DEU,Percent of total country area,Tree cover,2018,32.19090372
DEU,Percent of total country area,Tree cover,2019,32.32278994
DEU,Percent of total country area,Wetland,1992,0.3282765772
DEU,Percent of total country area,Wetland,2004,0.3321931325
DEU,Percent of total country area,Wetland,2015,0.3299643745
DEU,Percent of total country area,Wetland,2018,0.324013807
DEU,Percent of total country area,Wetland,2019,0.3239488918
DEU,Percent of total country area,Sparse vegetation,1992,0.0876356297
DEU,Percent of total country area,Sparse vegetation,2004,0.0663650558
DEU,Percent of total country area,Sparse vegetation,2015,0.0631625686
DEU,Percent of total country area,Sparse vegetation,2018,0.0628163538
DEU,Percent of total country area,Sparse vegetation,2019,0.0638117214
GRC,Square kilometers (000's),Grassland,1992,7.158353216
GRC,Square kilometers (000's),Grassland,2004,7.299782936
GRC,Square kilometers (000's),Grassland,2015,7.295686884
GRC,Square kilometers (000's),Grassland,2018,7.268019212
GRC,Square kilometers (000's),Grassland,2019,7.285330828
GRC,Square kilometers (000's),Wetland,1992,0.249781888
GRC,Square kilometers (000's),Wetland,2004,0.253027816
GRC,Square kilometers (000's),Wetland,2015,0.25233226
GRC,Square kilometers (000's),Wetland,2018,0.251327568
GRC,Square kilometers (000's),Wetland,2019,0.251250284
GRC,Square kilometers (000's),Sparse vegetation,1992,0.729483676
GRC,Square kilometers (000's),Sparse vegetation,2004,0.718432064
GRC,Square kilometers (000's),Sparse vegetation,2015,0.712481196
GRC,Square kilometers (000's),Sparse vegetation,2018,0.69285106
GRC,Square kilometers (000's),Sparse vegetation,2019,0.693392048
GRC,Square kilometers (000's),Inland water,1992,2.106993692
GRC,Square kilometers (000's),Inland water,2004,2.202362148
GRC,Square kilometers (000's),Inland water,2015,2.204371532
GRC,Square kilometers (000's),Inland water,2018,2.209085856
GRC,Square kilometers (000's),Inland water,2019,2.210631536
GRC,Percent of total country area,Shrubland,1992,18.97661428
GRC,Percent of total country area,Shrubland,2004,18.78899669
GRC,Percent of total country area,Shrubland,2015,18.82572358
GRC,Percent of total country area,Shrubland,2018,18.65515149
GRC,Percent of total country area,Shrubland,2019,18.62217344
GRC,Percent of total country area,Bare area,1992,2.2101153
GRC,Percent of total country area,Bare area,2004,2.108428089
GRC,Percent of total country area,Bare area,2015,1.987059482
GRC,Percent of total country area,Bare area,2018,1.95765454
GRC,Percent of total country area,Bare area,2019,1.955077214
GRC,Percent of total country area,Inland water,1992,1.596946103
GRC,Percent of total country area,Inland water,2004,1.669228372
GRC,Percent of total country area,Inland water,2015,1.670751337
GRC,Percent of total country area,Inland water,2018,1.674324448
GRC,Percent of total country area,Inland water,2019,1.67549596
HUN,Percent of total country area,Grassland,1992,7.143219375
HUN,Percent of total country area,Grassland,2004,7.124347701
HUN,Percent of total country area,Grassland,2015,7.115369108
HUN,Percent of total country area,Grassland,2018,7.11395581
HUN,Percent of total country area,Grassland,2019,7.109383379
ISL,Percent of total country area,Wetland,1992,7.094497568
ISL,Percent of total country area,Wetland,2004,7.094421989
ISL,Percent of total country area,Wetland,2015,7.094421989
ISL,Percent of total country area,Wetland,2018,7.094497568
ISL,Percent of total country area,Wetland,2019,7.094421989
ISL,Percent of total country area,Artificial surfaces,1992,0.0263013897
ISL,Percent of total country area,Artificial surfaces,2004,0.0411903949
ISL,Percent of total country area,Artificial surfaces,2015,0.0411903949
ISL,Percent of total country area,Artificial surfaces,2018,0
ISL,Percent of total country area,Artificial surfaces,2019,0.0411903949
IRL,Percent of total country area,Inland water,1992,2.243949209
IRL,Percent of total country area,Inland water,2004,2.34093458
IRL,Percent of total country area,Inland water,2015,2.359755942
IRL,Percent of total country area,Inland water,2018,2.360198798
IRL,Percent of total country area,Inland water,2019,2.360198798
ITA,Square kilometers (000's),Wetland,1992,0.300325624
ITA,Square kilometers (000's),Wetland,2004,0.296152288
ITA,Square kilometers (000's),Wetland,2015,0.294761176
ITA,Square kilometers (000's),Wetland,2018,0.294993028
ITA,Square kilometers (000's),Wetland,2019,0.295147596
ITA,Square kilometers (000's),Shrubland,1992,5.410498272
ITA,Square kilometers (000's),Shrubland,2004,6.084878456
ITA,Square kilometers (000's),Shrubland,2015,6.046622876
ITA,Square kilometers (000's),Shrubland,2018,5.976912708
ITA,Square kilometers (000's),Shrubland,2019,5.947544788
ITA,Square kilometers (000's),Bare area,1992,9.358164992
ITA,Square kilometers (000's),Bare area,2004,7.697254548
ITA,Square kilometers (000's),Bare area,2015,6.743492704
ITA,Square kilometers (000's),Bare area,2018,6.652529436
ITA,Square kilometers (000's),Bare area,2019,6.657707464
ITA,Percent of total country area,Sparse vegetation,1992,0.7905299806
ITA,Percent of total country area,Sparse vegetation,2004,0.8153745479
ITA,Percent of total country area,Sparse vegetation,2015,0.8139357726
ITA,Percent of total country area,Sparse vegetation,2018,0.8108012977
ITA,Percent of total country area,Sparse vegetation,2019,0.8109297598
JPN,Percent of total country area,Wetland,1992,0.1908180878
JPN,Percent of total country area,Wetland,2004,0.2066316271
JPN,Percent of total country area,Wetland,2015,0.2159665829
JPN,Percent of total country area,Wetland,2018,0.216028678
JPN,Percent of total country area,Wetland,2019,0.2154698225
JPN,Percent of total country area,Sparse vegetation,1992,0.0272804252
JPN,Percent of total country area,Sparse vegetation,2004,0.025852239
JPN,Percent of total country area,Sparse vegetation,2015,0.0131020555
JPN,Percent of total country area,Sparse vegetation,2018,0.012481105
JPN,Percent of total country area,Sparse vegetation,2019,0.0122120264
JPN,Percent of total country area,Cropland,1992,26.01285823
JPN,Percent of total country area,Cropland,2004,26.9804026
JPN,Percent of total country area,Cropland,2015,24.61180762
JPN,Percent of total country area,Cropland,2018,24.72434455
JPN,Percent of total country area,Cropland,2019,24.71525797
KOR,Square kilometers (000's),Inland water,1992,2.19216066
KOR,Square kilometers (000's),Inland water,2004,2.17013472
KOR,Square kilometers (000's),Inland water,2015,2.095864796
KOR,Square kilometers (000's),Inland water,2018,2.095864796
KOR,Square kilometers (000's),Inland water,2019,2.099960848
LUX,Square kilometers (000's),Grassland,1992,0.599105568
LUX,Square kilometers (000's),Grassland,2004,0.62136336
LUX,Square kilometers (000's),Grassland,2015,0.62638682
LUX,Square kilometers (000's),Grassland,2018,0.624609288
LUX,Square kilometers (000's),Grassland,2019,0.622677188
LUX,Square kilometers (000's),Bare area,1992,0
LUX,Square kilometers (000's),Bare area,2004,0
LUX,Square kilometers (000's),Bare area,2015,0
LUX,Square kilometers (000's),Bare area,2018,0
LUX,Square kilometers (000's),Bare area,2019,0
LUX,Percent of total country area,Cropland,1992,38.76005961
LUX,Percent of total country area,Cropland,2004,36.07153502
LUX,Percent of total country area,Cropland,2015,36.3099851
LUX,Percent of total country area,Cropland,2018,35.68107303
LUX,Percent of total country area,Cropland,2019,35.58867362
LUX,Percent of total country area,Inland water,1992,0.2473919523
LUX,Percent of total country area,Inland water,2004,0.2473919523
LUX,Percent of total country area,Inland water,2015,0.2473919523
LUX,Percent of total country area,Inland water,2018,0.2473919523
LUX,Percent of total country area,Inland water,2019,0.2473919523
MEX,Square kilometers (000's),Sparse vegetation,1992,0.617190024
MEX,Square kilometers (000's),Sparse vegetation,2004,0.604824584
MEX,Square kilometers (000's),Sparse vegetation,2015,0.602660632
MEX,Square kilometers (000's),Sparse vegetation,2018,0.623759164
MEX,Square kilometers (000's),Sparse vegetation,2019,0.645553252
MEX,Square kilometers (000's),Cropland,1992,324.3333576
MEX,Square kilometers (000's),Cropland,2004,324.6823722
MEX,Square kilometers (000's),Cropland,2015,323.3357757
MEX,Square kilometers (000's),Cropland,2018,323.1232447
MEX,Square kilometers (000's),Cropland,2019,324.1052925
MEX,Percent of total country area,Inland water,1992,1.326879937
MEX,Percent of total country area,Inland water,2004,1.382005486
MEX,Percent of total country area,Inland water,2015,1.405378312
MEX,Percent of total country area,Inland water,2018,1.405131499
MEX,Percent of total country area,Inland water,2019,1.405151087
NLD,Square kilometers (000's),Cropland,1992,15.7191019
NLD,Square kilometers (000's),Cropland,2004,13.98461708
NLD,Square kilometers (000's),Cropland,2015,13.88499801
NLD,Square kilometers (000's),Cropland,2018,13.68970134
NLD,Square kilometers (000's),Cropland,2019,13.66512503
NZL,Square kilometers (000's),Grassland,1992,138.5909241
NZL,Square kilometers (000's),Grassland,2004,141.1460877
NZL,Square kilometers (000's),Grassland,2015,141.325773
NZL,Square kilometers (000's),Grassland,2018,140.9963886
NZL,Square kilometers (000's),Grassland,2019,140.8762893
NZL,Square kilometers (000's),Shrubland,1992,15.66701248
NZL,Square kilometers (000's),Shrubland,2004,15.75859402
NZL,Square kilometers (000's),Shrubland,2015,16.0832641
NZL,Square kilometers (000's),Shrubland,2018,16.11085449
NZL,Square kilometers (000's),Shrubland,2019,16.11410042
NZL,Square kilometers (000's),Bare area,1992,10.77114836
NZL,Square kilometers (000's),Bare area,2004,10.82640642
NZL,Square kilometers (000's),Bare area,2015,10.98244282
NZL,Square kilometers (000's),Bare area,2018,10.95802108
NZL,Square kilometers (000's),Bare area,2019,10.94604206
NZL,Percent of total country area,Wetland,1992,0.3983414719
NZL,Percent of total country area,Wetland,2004,0.4211655172
NZL,Percent of total country area,Wetland,2015,0.4333402602
NZL,Percent of total country area,Wetland,2018,0.4538617536
NZL,Percent of total country area,Wetland,2019,0.4558189227
NOR,Square kilometers (000's),Grassland,1992,35.84748784
NOR,Square kilometers (000's),Grassland,2004,37.61134058
NOR,Square kilometers (000's),Grassland,2015,39.33400094
NOR,Square kilometers (000's),Grassland,2018,39.29497252
NOR,Square kilometers (000's),Grassland,2019,39.33832884
NOR,Square kilometers (000's),Cropland,1992,13.4092377
NOR,Square kilometers (000's),Cropland,2004,13.38574337
NOR,Square kilometers (000's),Cropland,2015,14.52483224
NOR,Square kilometers (000's),Cropland,2018,15.08073606
NOR,Square kilometers (000's),Cropland,2019,15.33901918
NOR,Square kilometers (000's),Bare area,1992,20.17730672
NOR,Square kilometers (000's),Bare area,2004,20.29632408
NOR,Square kilometers (000's),Bare area,2015,20.23140552
NOR,Square kilometers (000's),Bare area,2018,20.00813204
NOR,Square kilometers (000's),Bare area,2019,19.91732334
NOR,Square kilometers (000's),Inland water,1992,16.24053704
NOR,Square kilometers (000's),Inland water,2004,14.80212724
NOR,Square kilometers (000's),Inland water,2015,14.93296905
NOR,Square kilometers (000's),Inland water,2018,14.94958511
NOR,Square kilometers (000's),Inland water,2019,14.95870462
NOR,Percent of total country area,Grassland,1992,11.13720822
NOR,Percent of total country area,Grassland,2004,11.68520743
NOR,Percent of total country area,Grassland,2015,12.22040887
NOR,Percent of total country area,Grassland,2018,12.2082834
NOR,Percent of total country area,Grassland,2019,12.22175348
NOR,Percent of total country area,Artificial surfaces,1992,0.5244926091
NOR,Percent of total country area,Artificial surfaces,2004,0.8843429448
NOR,Percent of total country area,Artificial surfaces,2015,1.087834744
NOR,Percent of total country area,Artificial surfaces,2018,1.091316315
NOR,Percent of total country area,Artificial surfaces,2019,1.09407756
POL,Square kilometers (000's),Sparse vegetation,1992,0.11090254
POL,Square kilometers (000's),Sparse vegetation,2004,0.094441048
POL,Square kilometers (000's),Sparse vegetation,2015,0.091040552
POL,Square kilometers (000's),Sparse vegetation,2018,0.09042228
POL,Square kilometers (000's),Sparse vegetation,2019,0.092045244
POL,Square kilometers (000's),Bare area,1992,0.025194584
POL,Square kilometers (000's),Bare area,2004,0.02589014
POL,Square kilometers (000's),Bare area,2015,0.02589014
POL,Square kilometers (000's),Bare area,2018,0.025581004
POL,Square kilometers (000's),Bare area,2019,0.025581004
POL,Percent of total country area,Cropland,1992,61.26667251
POL,Percent of total country area,Cropland,2004,58.9146517
POL,Percent of total country area,Cropland,2015,58.58521734
POL,Percent of total country area,Cropland,2018,58.26814701
POL,Percent of total country area,Cropland,2019,58.16786926
PRT,Square kilometers (000's),Bare area,1992,0.422666196
PRT,Square kilometers (000's),Bare area,2004,0.416251624
PRT,Square kilometers (000's),Bare area,2015,0.386960988
PRT,Square kilometers (000's),Bare area,2018,0.377996044
PRT,Square kilometers (000's),Bare area,2019,0.37714592
PRT,Square kilometers (000's),Inland water,1992,1.049362152
PRT,Square kilometers (000's),Inland water,2004,1.000982368
PRT,Square kilometers (000's),Inland water,2015,1.00585126
PRT,Square kilometers (000's),Inland water,2018,1.032668808
PRT,Square kilometers (000's),Inland water,2019,1.033828068
PRT,Percent of total country area,Wetland,1992,0.1546947592
PRT,Percent of total country area,Wetland,2004,0.1610773877
PRT,Percent of total country area,Wetland,2015,0.1612453516
PRT,Percent of total country area,Wetland,2018,0.1601535862
PRT,Percent of total country area,Wetland,2019,0.1600696042
PRT,Percent of total country area,Bare area,1992,0.4592973062
PRT,Percent of total country area,Bare area,2004,0.452326804
PRT,Percent of total country area,Bare area,2015,0.4204976435
PRT,Percent of total country area,Bare area,2018,0.4107557368
PRT,Percent of total country area,Bare area,2019,0.4098319353
SVK,Percent of total country area,Shrubland,1992,0
SVK,Percent of total country area,Shrubland,2004,0
SVK,Percent of total country area,Shrubland,2015,0
SVK,Percent of total country area,Shrubland,2018,0
SVK,Percent of total country area,Shrubland,2019,0
ESP,Percent of total country area,Artificial surfaces,1992,0.600213283
ESP,Percent of total country area,Artificial surfaces,2004,0.9444258826
ESP,Percent of total country area,Artificial surfaces,2015,1.449226277
ESP,Percent of total country area,Artificial surfaces,2018,1.611690596
ESP,Percent of total country area,Artificial surfaces,2019,1.620539249
SWE,Square kilometers (000's),Grassland,1992,17.46641585
SWE,Square kilometers (000's),Grassland,2004,18.11467404
SWE,Square kilometers (000's),Grassland,2015,18.54104987
SWE,Square kilometers (000's),Grassland,2018,19.07454132
SWE,Square kilometers (000's),Grassland,2019,19.48290998
SWE,Percent of total country area,Wetland,1992,7.254553583
SWE,Percent of total country area,Wetland,2004,7.443493571
SWE,Percent of total country area,Wetland,2015,7.138584117
SWE,Percent of total country area,Wetland,2018,7.591194603
SWE,Percent of total country area,Wetland,2019,8.046841933
SWE,Percent of total country area,Bare area,1992,0.6494186601
SWE,Percent of total country area,Bare area,2004,0.6535598105
SWE,Percent of total country area,Bare area,2015,0.6620146593
SWE,Percent of total country area,Bare area,2018,0.6620664237
SWE,Percent of total country area,Bare area,2019,0.6632397497
CHE,Square kilometers (000's),Shrubland,1992,0
CHE,Square kilometers (000's),Shrubland,2004,0
CHE,Square kilometers (000's),Shrubland,2015,0
CHE,Square kilometers (000's),Shrubland,2018,0
CHE,Square kilometers (000's),Shrubland,2019,0
CHE,Square kilometers (000's),Artificial surfaces,1992,0.870758828
CHE,Square kilometers (000's),Artificial surfaces,2004,1.736880616
CHE,Square kilometers (000's),Artificial surfaces,2015,1.780468792
CHE,Square kilometers (000's),Artificial surfaces,2018,1.784255708
CHE,Square kilometers (000's),Artificial surfaces,2019,1.785492252
CHE,Percent of total country area,Artificial surfaces,1992,2.109853975
CHE,Percent of total country area,Artificial surfaces,2004,4.208472374
CHE,Percent of total country area,Artificial surfaces,2015,4.314086791
CHE,Percent of total country area,Artificial surfaces,2018,4.323262512
CHE,Percent of total country area,Artificial surfaces,2019,4.326258665
TUR,Square kilometers (000's),Grassland,1992,77.70875286
TUR,Square kilometers (000's),Grassland,2004,78.85016026
TUR,Square kilometers (000's),Grassland,2015,77.5762108
TUR,Square kilometers (000's),Grassland,2018,76.70174234
TUR,Square kilometers (000's),Grassland,2019,76.39855721
TUR,Percent of total country area,Shrubland,1992,0.781460928
TUR,Percent of total country area,Shrubland,2004,0.7871396753
TUR,Percent of total country area,Shrubland,2015,0.7838551037
TUR,Percent of total country area,Shrubland,2018,0.7755348485
TUR,Percent of total country area,Shrubland,2019,0.7719633715
GBR,Square kilometers (000's),Tree cover,1992,18.799333
GBR,Square kilometers (000's),Tree cover,2004,21.01869763
GBR,Square kilometers (000's),Tree cover,2015,21.18006662
GBR,Square kilometers (000's),Tree cover,2018,21.32319659
GBR,Square kilometers (000's),Tree cover,2019,21.44801025
GBR,Square kilometers (000's),Wetland,1992,14.73458102
GBR,Square kilometers (000's),Wetland,2004,13.11092146
GBR,Square kilometers (000's),Wetland,2015,13.0537313
GBR,Square kilometers (000's),Wetland,2018,13.04422537
GBR,Square kilometers (000's),Wetland,2019,13.0470076
GBR,Square kilometers (000's),Inland water,1992,3.474843208
GBR,Square kilometers (000's),Inland water,2004,3.483344448
GBR,Square kilometers (000's),Inland water,2015,3.468583204
GBR,Square kilometers (000's),Inland water,2018,3.470515304
GBR,Square kilometers (000's),Inland water,2019,3.472679256
GBR,Percent of total country area,Grassland,1992,48.46451793
GBR,Percent of total country area,Grassland,2004,46.43516568
GBR,Percent of total country area,Grassland,2015,46.79994679
GBR,Percent of total country area,Grassland,2018,46.92539374
GBR,Percent of total country area,Grassland,2019,46.88507717
GBR,Percent of total country area,Wetland,1992,6.038143981
GBR,Percent of total country area,Wetland,2004,5.372777917
GBR,Percent of total country area,Wetland,2015,5.349341728
