Name,TypeOf,ChemicalName,Symbol,Type,AtomicNumber
Strontium,dcs:ChemicalElement,Strontium,Sr,dcs:AlkalineEarthMetal,38.0
Yttrium,dcs:ChemicalElement,Yttrium,Y,dcs:TransitionMetal,39.0
Zirconium,dcs:ChemicalElement,Zirconium,Zr,dcs:TransitionMetal,40.0
Niobium,dcs:ChemicalElement,Niobium,Nb,dcs:TransitionMetal,41.0
Molybdenum,dcs:ChemicalElement,Molybdenum,Mo,dcs:TransitionMetal,42.0
Technetium,dcs:ChemicalElement,Technetium,Tc,dcs:TransitionMetal,43.0
Ruthenium,dcs:ChemicalElement,Ruthenium,Ru,dcs:TransitionMetal,44.0
Rhodium,dcs:ChemicalElement,Rhodium,Rh,dcs:TransitionMetal,45.0
Palladium,dcs:ChemicalElement,Palladium,Pd,dcs:TransitionMetal,46.0
Silver,dcs:ChemicalElement,Silver,Ag,dcs:TransitionMetal,47.0
Cadmium,dcs:ChemicalElement,Cadmium,Cd,dcs:TransitionMetal,48.0
Indium,dcs:ChemicalElement,Indium,In,dcs:Metal,49.0
Tin,dcs:ChemicalElement,Tin,Sn,dcs:Metal,50.0
Antimony,dcs:ChemicalElement,Antimony,Sb,dcs:Metalloid,51.0
Tellurium,dcs:ChemicalElement,Tellurium,Te,dcs:Metalloid,52.0
Iodine,dcs:ChemicalElement,Iodine,I,dcs:Halogen,53.0
Xenon,dcs:ChemicalElement,Xenon,Xe,dcs:NobleGas,54.0
Cesium,dcs:ChemicalElement,Cesium,Cs,dcs:AlkaliMetal,55.0
Barium,dcs:ChemicalElement,Barium,Ba,dcs:AlkalineEarthMetal,56.0
Lanthanum,dcs:ChemicalElement,Lanthanum,La,dcs:Lanthanide,57.0
Cerium,dcs:ChemicalElement,Cerium,Ce,dcs:Lanthanide,58.0
Praseodymium,dcs:ChemicalElement,Praseodymium,Pr,dcs:Lanthanide,59.0
Neodymium,dcs:ChemicalElement,Neodymium,Nd,dcs:Lanthanide,60.0
Promethium,dcs:ChemicalElement,Promethium,Pm,dcs:Lanthanide,61.0
Samarium,dcs:ChemicalElement,Samarium,Sm,dcs:Lanthanide,62.0
Europium,dcs:ChemicalElement,Europium,Eu,dcs:Lanthanide,63.0
Gadolinium,dcs:ChemicalElement,Gadolinium,Gd,dcs:Lanthanide,64.0
Terbium,dcs:ChemicalElement,Terbium,Tb,dcs:Lanthanide,65.0
Dysprosium,dcs:ChemicalElement,Dysprosium,Dy,dcs:Lanthanide,66.0
Holmium,dcs:ChemicalElement,Holmium,Ho,dcs:Lanthanide,67.0
Erbium,dcs:ChemicalElement,Erbium,Er,dcs:Lanthanide,68.0
Thulium,dcs:ChemicalElement,Thulium,Tm,dcs:Lanthanide,69.0
Ytterbium,dcs:ChemicalElement,Ytterbium,Yb,dcs:Lanthanide,70.0
Lutetium,dcs:ChemicalElement,Lutetium,Lu,dcs:Lanthanide,71.0
Hafnium,dcs:ChemicalElement,Hafnium,Hf,dcs:TransitionMetal,72.0
Tantalum,dcs:ChemicalElement,Tantalum,Ta,dcs:TransitionMetal,73.0
Wolfram,dcs:ChemicalElement,Wolfram,W,dcs:TransitionMetal,74.0
Rhenium,dcs:ChemicalElement,Rhenium,Re,dcs:TransitionMetal,75.0
Osmium,dcs:ChemicalElement,Osmium,Os,dcs:TransitionMetal,76.0
Iridium,dcs:ChemicalElement,Iridium,Ir,dcs:TransitionMetal,77.0
Platinum,dcs:ChemicalElement,Platinum,Pt,dcs:TransitionMetal,78.0
Gold,dcs:ChemicalElement,Gold,Au,dcs:TransitionMetal,79.0
Mercury,dcs:ChemicalElement,Mercury,Hg,dcs:TransitionMetal,80.0
Thallium,dcs:ChemicalElement,Thallium,Tl,dcs:Metal,81.0
Lead,dcs:ChemicalElement,Lead,Pb,dcs:Metal,82.0
Bismuth,dcs:ChemicalElement,Bismuth,Bi,dcs:Metal,83.0
Polonium,dcs:ChemicalElement,Polonium,Po,dcs:Metalloid,84.0
Astatine,dcs:ChemicalElement,Astatine,At,dcs:NobleGas,85.0
Radon,dcs:ChemicalElement,Radon,Rn,dcs:AlkaliMetal,86.0
Francium,dcs:ChemicalElement,Francium,Fr,dcs:AlkalineEarthMetal,87.0
Radium,dcs:ChemicalElement,Radium,Ra,dcs:Actinide,88.0
Actinium,dcs:ChemicalElement,Actinium,Ac,dcs:Actinide,89.0
Thorium,dcs:ChemicalElement,Thorium,Th,dcs:Actinide,90.0
Protactinium,dcs:ChemicalElement,Protactinium,Pa,dcs:Actinide,91.0
Uranium,dcs:ChemicalElement,Uranium,U,dcs:Actinide,92.0
Neptunium,dcs:ChemicalElement,Neptunium,Np,dcs:Actinide,93.0
Plutonium,dcs:ChemicalElement,Plutonium,Pu,dcs:Actinide,94.0
Americium,dcs:ChemicalElement,Americium,Am,dcs:Actinide,95.0
Curium,dcs:ChemicalElement,Curium,Cm,dcs:Actinide,96.0
Berkelium,dcs:ChemicalElement,Berkelium,Bk,dcs:Actinide,97.0
Californium,dcs:ChemicalElement,Californium,Cf,dcs:Actinide,98.0
Einsteinium,dcs:ChemicalElement,Einsteinium,Es,dcs:Actinide,99.0
Fermium,dcs:ChemicalElement,Fermium,Fm,dcs:Actinide,100.0
Mendelevium,dcs:ChemicalElement,Mendelevium,Md,dcs:Actinide,101.0
Nobelium,dcs:ChemicalElement,Nobelium,No,dcs:Actinide,102.0
Lawrencium,dcs:ChemicalElement,Lawrencium,Lr,dcs:Actinide,103.0
Rutherfordium,dcs:ChemicalElement,Rutherfordium,Rf,dcs:Transactinide,104.0
Dubnium,dcs:ChemicalElement,Dubnium,Db,dcs:Transactinide,105.0
Seaborgium,dcs:ChemicalElement,Seaborgium,Sg,dcs:Transactinide,106.0
Bohrium,dcs:ChemicalElement,Bohrium,Bh,dcs:Transactinide,107.0
Hassium,dcs:ChemicalElement,Hassium,Hs,dcs:Transactinide,108.0
Meitnerium,dcs:ChemicalElement,Meitnerium,Mt,dcs:Transactinide,109.0
Darmstadtium,dcs:ChemicalElement,Darmstadtium,Ds,dcs:Transactinide,110.0
Roentgenium,dcs:ChemicalElement,Roentgenium,Rg,dcs:Transactinide,111.0
Copernicium,dcs:ChemicalElement,Copernicium,Cn,dcs:Transactinide,112.0
Nihonium,dcs:ChemicalElement,Nihonium,Nh,,113.0
Flerovium,dcs:ChemicalElement,Flerovium,Fl,dcs:Transactinide,114.0
Moscovium,dcs:ChemicalElement,Moscovium,Mc,,115.0
Livermorium,dcs:ChemicalElement,Livermorium,Lv,dcs:Transactinide,116.0
Tennessine,dcs:ChemicalElement,Tennessine,Ts,,117.0
Oganesson,dcs:ChemicalElement,Oganesson,Og,dcs:NobleGas,118.0
CarbonDioxide,dcs:ChemicalCompound,Carbon Dioxide,CO2,,
Methane,dcs:ChemicalCompound,Methane,CH4,,
NitrousOxide,dcs:ChemicalCompound,Nitrous Oxide,NO2,,
SulfurHexaflouride,dcs:ChemicalCompound,Sulphur Hexaflouride,SF6,,
NitrogenTrifluoride,dcs:ChemicalCompound,Nitrogen Trifluoride,NF3,,
CalciumCarbonate,dcs:ChemicalCompound,Calcium Carbonate,CaCO3,,
Carbonate,dcs:ChemicalCompound,Carbonate,CO3,,
Nitrate,dcs:ChemicalCompound,Nitrate,NO3,,
Sulfate,dcs:ChemicalCompound,Sulfate,SO4,,
Silica,dcs:ChemicalCompound,Silicon Dioxide,SiO2,,
SodiumCarbonate,dcs:ChemicalCompound,Sodium Carbonate,Na2CO3,,
