InChIKey|dcid|IUPACName|Name|CommonName|TypeOf|Symbol|InChI|Type|AtomicNumber|CID|SameAs|Input
RFFLAFLAYFXFSW-UHFFFAOYSA-N|inChIKey/RFFLAFLAYFXFSW-UHFFFAOYSA-N|1,2-dichlorobenzene|DICHLOROBENZENE|1,2-DICHLOROBENZENE|dcs:ChemicalCompound|C6H4Cl2|InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H|||7239|dcid:bio/CHEMBL298461|1,2-DICHLOROBENZENE
WSLDOOZREJYCGB-UHFFFAOYSA-N|inChIKey/WSLDOOZREJYCGB-UHFFFAOYSA-N|1,2-dichloroethane|DICHLOROETHANE|1,2-DICHLOROETHANE|dcs:ChemicalCompound|C2H4Cl2|InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2|||11||1,2-DICHLOROETHANE
KNKRKFALVUDBJE-UHFFFAOYSA-N|inChIKey/KNKRKFALVUDBJE-UHFFFAOYSA-N|1,2-dichloropropane|DICHLOROPROPANE|1,2-DICHLOROPROPANE|dcs:ChemicalCompound|C3H6Cl2|InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3|||6564||1,2-DICHLOROPROPANE
CWRYPZZKDGJXCA-UHFFFAOYSA-N|inChIKey/CWRYPZZKDGJXCA-UHFFFAOYSA-N|1,2-dihydroacenaphthylene|DIHYDROACENAPHTHYLENE|1,2-DIHYDROACENAPHTHYLENE|dcs:ChemicalCompound|C12H10|InChI=1S/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H,7-8H2|||6734||1,2-DIHYDROACENAPHTHYLENE
YBQZXXMEJHZYMB-UHFFFAOYSA-N|inChIKey/YBQZXXMEJHZYMB-UHFFFAOYSA-N|1,2-diphenylhydrazine|DIPHENYLHYDRAZINE|1,2-DIPHENYLHYDRAZINE|dcs:ChemicalCompound|C12H12N2|InChI=1S/C12H12N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10,13-14H|||31222||1,2-DIPHENYLHYDRAZINE
DNIAPMSPPWPWGF-UHFFFAOYSA-N|inChIKey/DNIAPMSPPWPWGF-UHFFFAOYSA-N|propane-1,2-diol|"propane-1,2-diol|PROPANEDIOL"|PROPANE-1,2-DIOL|dcs:ChemicalCompound|C3H8O2|InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3|||1030|dcid:bio/CHEMBL286398|1,2-PROPANEDIOL
XKEFYDZQGKAQCN-UHFFFAOYSA-N|inChIKey/XKEFYDZQGKAQCN-UHFFFAOYSA-N|1,3,5-trichlorobenzene|TRICHLOROBENZENE|1,3,5-TRICHLOROBENZENE|dcs:ChemicalCompound|C6H3Cl3|InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H|||7950||1,3,5-TRICHLOROBENZENE
AUHZEENZYGFFBQ-UHFFFAOYSA-N|inChIKey/AUHZEENZYGFFBQ-UHFFFAOYSA-N|1,3,5-trimethylbenzene|TRIMETHYLBENZENE|1,3,5-TRIMETHYLBENZENE|dcs:ChemicalCompound|C9H12|InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3|||7947||1,3,5-TRIMETHYLBENZENE
UATJOMSPNYCXIX-UHFFFAOYSA-N|inChIKey/UATJOMSPNYCXIX-UHFFFAOYSA-N|1,3,5-trinitrobenzene|TRINITROBENZENE|1,3,5-TRINITROBENZENE|dcs:ChemicalCompound|C6H3N3O6|InChI=1S/C6H3N3O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H|||7434||1,3,5-TRINITROBENZENE
GHMLBKRAJCXXBS-UHFFFAOYSA-N|inChIKey/GHMLBKRAJCXXBS-UHFFFAOYSA-N|benzene-1,3-diol|"benzene-1,3-diol|BENZENEDIOL"|BENZENE-1,3-DIOL|dcs:ChemicalCompound|C6H6O2|InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H|||5054||1,3-BENZENEDIOL
KAKZBPTYRLMSJV-UHFFFAOYSA-N|inChIKey/KAKZBPTYRLMSJV-UHFFFAOYSA-N|buta-1,3-diene|"buta-1,3-diene|BUTADIENE"|BUTA-1,3-DIENE|dcs:ChemicalCompound|C4H6|InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2|||7845||1,3-BUTADIENE
ZPQOPVIELGIULI-UHFFFAOYSA-N|inChIKey/ZPQOPVIELGIULI-UHFFFAOYSA-N|1,3-dichlorobenzene|DICHLOROBENZENE|1,3-DICHLOROBENZENE|dcs:ChemicalCompound|C6H4Cl2|InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H|||10943||1,3-DICHLOROBENZENE
WDCYWAQPCXBPJA-UHFFFAOYSA-N|inChIKey/WDCYWAQPCXBPJA-UHFFFAOYSA-N|1,3-dinitrobenzene|DINITROBENZENE|1,3-DINITROBENZENE|dcs:ChemicalCompound|C6H4N2O4|InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H|||7452||1,3-DINITROBENZENE
SRPWOOOHEPICQU-UHFFFAOYSA-N|inChIKey/SRPWOOOHEPICQU-UHFFFAOYSA-N|1,3-dioxo-2-benzofuran-5-carboxylic acid|"1,3-dioxo-2-benzofuran-5-carboxylic acid|DIOXODIHYDROBENZOFURANCARBOXYLICACID"|1,3-DIOXO-2-BENZOFURAN-5-CARBOXYLIC ACID|dcs:ChemicalCompound|C9H4O5|InChI=1S/C9H4O5/c10-7(11)4-1-2-5-6(3-4)9(13)14-8(5)12/h1-3H,(H,10,11)|||11089||1,3-DIOXO-1,3-DIHYDRO-2-BENZOFURAN-5-CARBOXYLIC ACID
KKEYFWRCBNTPAC-UHFFFAOYSA-N|inChIKey/KKEYFWRCBNTPAC-UHFFFAOYSA-N|terephthalic acid|"terephthalic acid|BENZENEDICARBOXYLICACID"|TEREPHTHALIC ACID|dcs:ChemicalCompound|C8H6O4|InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)|||7489||1,4-BENZENEDICARBOXYLIC ACID
OCJBOOLMMGQPQU-UHFFFAOYSA-N|inChIKey/OCJBOOLMMGQPQU-UHFFFAOYSA-N|1,4-dichlorobenzene|DICHLOROBENZENE|1,4-DICHLOROBENZENE|dcs:ChemicalCompound|C6H4Cl2|InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H|||4685|dcid:bio/CHEMBL190982|1,4-DICHLOROBENZENE
FYFDQJRXFWGIBS-UHFFFAOYSA-N|inChIKey/FYFDQJRXFWGIBS-UHFFFAOYSA-N|1,4-dinitrobenzene|DINITROBENZENE|1,4-DINITROBENZENE|dcs:ChemicalCompound|C6H4N2O4|InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H|||7492||1,4-DINITROBENZENE
RYHBNJHYFVUHQT-UHFFFAOYSA-N|inChIKey/RYHBNJHYFVUHQT-UHFFFAOYSA-N|1,4-dioxane|DIOXANE|1,4-DIOXANE|dcs:ChemicalCompound|C4H8O2|InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2|||31275||1,4-DIOXANE
LOZWAPSEEHRYPG-UHFFFAOYSA-N|inChIKey/LOZWAPSEEHRYPG-UHFFFAOYSA-N|1,4-dithiane|DITHIANE|1,4-DITHIANE|dcs:ChemicalCompound|C4H8S2|InChI=1S/C4H8S2/c1-2-6-4-3-5-1/h1-4H2|||10452|dcid:bio/CHEMBL3183037|1,4-DITHIANE
JDUYPUMQALQRCN-UHFFFAOYSA-N|inChIKey/JDUYPUMQALQRCN-UHFFFAOYSA-N|1-bromo-4-phenoxybenzene|"1-bromo-4-phenoxybenzene|BROMOPHENOXYBENZENE"|1-BROMO-4-PHENOXYBENZENE|dcs:ChemicalCompound|C12H9BrO|InChI=1S/C12H9BrO/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9H|||7565||1-BROMO-4-PHENOXYBENZENE
DURPTKYDGMDSBL-UHFFFAOYSA-N|inChIKey/DURPTKYDGMDSBL-UHFFFAOYSA-N|1-butoxybutane|BUTOXYBUTANE|1-BUTOXYBUTANE|dcs:ChemicalCompound|C8H18O|InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3|||8909||1-BUTOXYBUTANE
QKSKPIVNLNLAAV-UHFFFAOYSA-N|inChIKey/QKSKPIVNLNLAAV-UHFFFAOYSA-N|1-chloro-2-(2-chloroethylsulfanyl)ethane|"1-chloro-2-(2-chloroethylsulfanyl)ethane|CHLOROCHLOROETHYLSULFANYLETHANE"|1-CHLORO-2-(2-CHLOROETHYLSULFANYL)ETHANE|dcs:ChemicalCompound|C4H8Cl2S|InChI=1S/C4H8Cl2S/c5-1-3-7-4-2-6/h1-4H2|||10461||\"1-CHLORO-2-[(2-CHLOROETHYL)SULFANYL]ETHANE\"
DNJRKFKAFWSXSE-UHFFFAOYSA-N|inChIKey/DNJRKFKAFWSXSE-UHFFFAOYSA-N|1-chloro-2-ethenoxyethane|"1-chloro-2-ethenoxyethane|CHLOROETHENOXYETHANE"|1-CHLORO-2-ETHENOXYETHANE|dcs:ChemicalCompound|C4H7ClO|InChI=1S/C4H7ClO/c1-2-6-4-3-5/h2H,1,3-4H2|||8074||1-CHLORO-2-ETHENOXYETHANE
PGPNJCAMHOJTEF-UHFFFAOYSA-N|inChIKey/PGPNJCAMHOJTEF-UHFFFAOYSA-N|1-chloro-4-phenoxybenzene|"1-chloro-4-phenoxybenzene|CHLOROPHENOXYBENZENE"|1-CHLORO-4-PHENOXYBENZENE|dcs:ChemicalCompound|C12H9ClO|InChI=1S/C12H9ClO/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9H|||23436||1-CHLORO-4-PHENOXYBENZENE
YBYIRNPNPLQARY-UHFFFAOYSA-N|inChIKey/YBYIRNPNPLQARY-UHFFFAOYSA-N|1H-indene|"1H-indene|HINDENE"|1H-INDENE|dcs:ChemicalCompound|C9H8|InChI=1S/C9H8/c1-2-5-9-7-3-6-8(9)4-1/h1-6H,7H2|||7219|dcid:bio/CHEMBL192812|1H-INDENE
PLAZTCDQAHEYBI-UHFFFAOYSA-N|inChIKey/PLAZTCDQAHEYBI-UHFFFAOYSA-N|1-methyl-2-nitrobenzene|"1-methyl-2-nitrobenzene|METHYLNITROBENZENE"|1-METHYL-2-NITROBENZENE|dcs:ChemicalCompound|C7H7NO2|InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3|||6944||1-METHYL-2-NITROBENZENE
QZYHIOPPLUPUJF-UHFFFAOYSA-N|inChIKey/QZYHIOPPLUPUJF-UHFFFAOYSA-N|1-methyl-3-nitrobenzene|"1-methyl-3-nitrobenzene|METHYLNITROBENZENE"|1-METHYL-3-NITROBENZENE|dcs:ChemicalCompound|C7H7NO2|InChI=1S/C7H7NO2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3|||7422||1-METHYL-3-NITROBENZENE
ZPTVNYMJQHSSEA-UHFFFAOYSA-N|inChIKey/ZPTVNYMJQHSSEA-UHFFFAOYSA-N|1-methyl-4-nitrobenzene|"1-methyl-4-nitrobenzene|METHYLNITROBENZENE"|1-METHYL-4-NITROBENZENE|dcs:ChemicalCompound|C7H7NO2|InChI=1S/C7H7NO2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3|||7473||1-METHYL-4-NITROBENZENE
HFPZCAJZSCWRBC-UHFFFAOYSA-N|inChIKey/HFPZCAJZSCWRBC-UHFFFAOYSA-N|1-methyl-4-propan-2-ylbenzene|"1-methyl-4-propan-2-ylbenzene|METHYLPROPANYLBENZENE"|1-METHYL-4-PROPAN-2-YLBENZENE|dcs:ChemicalCompound|C10H14|InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3|||7463||1-METHYL-4-PROPAN-2-YLBENZENE
QPUYECUOLPXSFR-UHFFFAOYSA-N|inChIKey/QPUYECUOLPXSFR-UHFFFAOYSA-N|1-methylnaphthalene|METHYLNAPHTHALENE|1-METHYLNAPHTHALENE|dcs:ChemicalCompound|C11H10|InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3|||7002||1-METHYLNAPHTHALENE
WNYADZVDBIBLJJ-UHFFFAOYSA-N|inChIKey/WNYADZVDBIBLJJ-UHFFFAOYSA-N|1-nitrosopyrrolidine|NITROSOPYRROLIDINE|1-NITROSOPYRROLIDINE|dcs:ChemicalCompound|C4H8N2O|InChI=1S/C4H8N2O/c7-5-6-3-1-2-4-6/h1-4H2|||13591||1-NITROSOPYRROLIDINE
KWOLFJPFCHCOCG-UHFFFAOYSA-N|inChIKey/KWOLFJPFCHCOCG-UHFFFAOYSA-N|1-phenylethanone|PHENYLETHANONE|1-PHENYLETHANONE|dcs:ChemicalCompound|C8H8O|InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3|||7410|dcid:bio/CHEMBL274467|1-PHENYLETHANONE
QQONPFPTGQHPMA-UHFFFAOYSA-N|inChIKey/QQONPFPTGQHPMA-UHFFFAOYSA-N|prop-1-ene|"prop-1-ene|PROPENE"|PROP-1-ENE|dcs:ChemicalCompound|C3H6|InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3|||8252||1-PROPENE
GSEJCLTVZPLZKY-UHFFFAOYSA-N|inChIKey/GSEJCLTVZPLZKY-UHFFFAOYSA-N|\"2-[bis(2-hydroxyethyl)amino]ethanol\"|"\"2-[bis(2-hydroxyethyl)amino]ethanol\"|\"NITRILOTRIETHANOL\""|\"2-[BIS(2-HYDROXYETHYL)AMINO]ETHANOL\"|dcs:ChemicalCompound|C6H15NO3|InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2|||7618||2,2',2''-NITRILOTRIETHANOL
UOAMTSKGCBMZTC-UHFFFAOYSA-N|inChIKey/UOAMTSKGCBMZTC-UHFFFAOYSA-N|2,2,2-trichloro-1,1-bis(4-chlorophenyl)ethanol|"2,2,2-trichloro-1,1-bis(4-chlorophenyl)ethanol|TRICHLOROBISCHLOROPHENYLETHANOL"|2,2,2-TRICHLORO-1,1-BIS(4-CHLOROPHENYL)ETHANOL|dcs:ChemicalCompound|C14H9Cl5O|InChI=1S/C14H9Cl5O/c15-11-5-1-9(2-6-11)13(20,14(17,18)19)10-3-7-12(16)8-4-10/h1-8,20H|||8268||2,2,2-TRICHLORO-1,1-BIS(4-CHLOROPHENYL)ETHANOL
ZLSWBLPERHFHIS-UHFFFAOYSA-N|inChIKey/ZLSWBLPERHFHIS-UHFFFAOYSA-N|2-(2,4,5-trichlorophenoxy)propanoic acid|"2-(2,4,5-trichlorophenoxy)propanoic acid|TRICHLOROPHENOXYPROPANOICACID"|2-(2,4,5-TRICHLOROPHENOXY)PROPANOIC ACID|dcs:ChemicalCompound|C9H7Cl3O3|InChI=1S/C9H7Cl3O3/c1-4(9(13)14)15-8-3-6(11)5(10)2-7(8)12/h2-4H,1H3,(H,13,14)|||7158||2-(2,4,5-TRICHLOROPHENOXY)PROPANOIC ACID
MZHCENGPTKEIGP-UHFFFAOYSA-N|inChIKey/MZHCENGPTKEIGP-UHFFFAOYSA-N|2-(2,4-dichlorophenoxy)propanoic acid|"2-(2,4-dichlorophenoxy)propanoic acid|DICHLOROPHENOXYPROPANOICACID"|2-(2,4-DICHLOROPHENOXY)PROPANOIC ACID|dcs:ChemicalCompound|C9H8Cl2O3|InChI=1S/C9H8Cl2O3/c1-5(9(12)13)14-8-3-2-6(10)4-7(8)11/h2-5H,1H3,(H,12,13)|||8427||2-(2,4-DICHLOROPHENOXY)PROPANOIC ACID
NHTMVDHEPJAVLT-UHFFFAOYSA-N|inChIKey/NHTMVDHEPJAVLT-UHFFFAOYSA-N|2,2,4-trimethylpentane|TRIMETHYLPENTANE|2,2,4-TRIMETHYLPENTANE|dcs:ChemicalCompound|C8H18|InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3|||10907||2,2,4-TRIMETHYLPENTANE
OEBRKCOSUFCWJD-UHFFFAOYSA-N|inChIKey/OEBRKCOSUFCWJD-UHFFFAOYSA-N|2,2-dichloroethenyl dimethyl phosphate|"2,2-dichloroethenyl dimethyl phosphate|DICHLOROETHENYLDIMETHYLPHOSPHATE"|2,2-DICHLOROETHENYL DIMETHYL PHOSPHATE|dcs:ChemicalCompound|C4H7Cl2O4P|InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3|||3039||2,2-DICHLOROETHENYL DIMETHYL PHOSPHATE
MTHSVFCYNBDYFN-UHFFFAOYSA-N|inChIKey/MTHSVFCYNBDYFN-UHFFFAOYSA-N|2-(2-hydroxyethoxy)ethanol|"2-(2-hydroxyethoxy)ethanol|OXYDIETHANOL"|2-(2-HYDROXYETHOXY)ETHANOL|dcs:ChemicalCompound|C4H10O3|InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2|||8117||2,2'-OXYDIETHANOL
KEWNKZNZRIAIAK-UHFFFAOYSA-N|inChIKey/KEWNKZNZRIAIAK-UHFFFAOYSA-N|2,3,5,6-tetrachlorophenol|TETRACHLOROPHENOL|2,3,5,6-TETRACHLOROPHENOL|dcs:ChemicalCompound|C6H2Cl4O|InChI=1S/C6H2Cl4O/c7-2-1-3(8)5(10)6(11)4(2)9/h1,11H|||13636||2,3,5,6-TETRACHLOROPHENOL
