InChIKey|dcid|IUPACName|Name|CommonName|TypeOf|Symbol|InChI|Type|AtomicNumber|CID|SameAs|Input
XKRFYHLGVUSROY-UHFFFAOYSA-N|Argon|Argon|Argon|ARGON|dcs:ChemicalElement|Ar|InChI=1S/Ar|dcs:NobleGas|18|23968||18
ZLMJMSJWJFRBEC-UHFFFAOYSA-N|Potassium|Potassium|"Potassium|potassium(1+)"|"POTASSIUM|POTASSIUM(1+)"|dcs:ChemicalElement|K|InChI=1S/K|dcs:AlkaliMetal|19|813||19
OYPRJOBELJOOCE-UHFFFAOYSA-N|Calcium|Calcium|Calcium|CALCIUM|dcs:ChemicalElement|Ca|InChI=1S/Ca|dcs:AlkalineEarthMetal|20|5460341||20
SIXSYDAISGFNSX-UHFFFAOYSA-N|Scandium|Scandium|Scandium|SCANDIUM|dcs:ChemicalElement|Sc|InChI=1S/Sc|dcs:Metal|21|23952||21
RTAQQCXQSZGOHL-UHFFFAOYSA-N|Titanium|Titanium|Titanium|TITANIUM|dcs:ChemicalElement|Ti|InChI=1S/Ti|dcs:Metal|22|23963||22
LEONUFNNVUYDNQ-UHFFFAOYSA-N|Vanadium|Vanadium|Vanadium|VANADIUM|dcs:ChemicalElement|V|InChI=1S/V|dcs:Metal|23|23990||23
VYZAMTAEIAYCRO-UHFFFAOYSA-N|Chromium|Chromium|Chromium|CHROMIUM|dcs:ChemicalElement|Cr|InChI=1S/Cr|dcs:Metal|24|23976||24
PWHULOQIROXLJO-UHFFFAOYSA-N|Manganese|Manganese|Manganese|MANGANESE|dcs:ChemicalElement|Mn|InChI=1S/Mn|dcs:Metal|25|23930||25
XEEYBQQBJWHFJM-UHFFFAOYSA-N|Iron|Iron|"Iron|iron-56"|"IRON|IRON-56"|dcs:ChemicalElement|Fe|InChI=1S/Fe|dcs:Metal|26|10313045||26
GUTLYIVDDKVIGB-UHFFFAOYSA-N|Cobalt|Cobalt|Cobalt|COBALT|dcs:ChemicalElement|Co|InChI=1S/Co|dcs:Metal|27|104730||27
PXHVJJICTQNCMI-UHFFFAOYSA-N|Nickel|Nickel|Nickel|NICKEL|dcs:ChemicalElement|Ni|InChI=1S/Ni|dcs:Metal|28|935||28
RYGMFSIKBFXOCR-UHFFFAOYSA-N|Copper|Copper|Copper|COPPER|dcs:ChemicalElement|Cu|InChI=1S/Cu|dcs:Metal|29|23978||29
HCHKCACWOHOZIP-UHFFFAOYSA-N|inChIKey/HCHKCACWOHOZIP-UHFFFAOYSA-N|Zinc|Zinc|ZINC|dcs:ChemicalElement|Zn|InChI=1S/Zn|dcs:Metal|30|23994||30
GYHNNYVSQQEPJS-UHFFFAOYSA-N|Gallium|Gallium|Gallium|GALLIUM|dcs:ChemicalElement|Ga|InChI=1S/Ga|dcs:Metal|31|5360835||31
GNPVGFCGXDBREM-UHFFFAOYSA-N|Germanium|Germanium|Germanium|GERMANIUM|dcs:ChemicalElement|Ge|InChI=1S/Ge|dcs:SemiMetal|32|6326954||32
RQNWIZPPADIBDY-UHFFFAOYSA-N|Arsenic|Arsenic|Arsenic|ARSENIC|dcs:ChemicalElement|As|InChI=1S/As|dcs:Pnictogen|33|5359596||33
BUGBHKTXTAQXES-UHFFFAOYSA-N|Selenium|Selenium|Selenium|SELENIUM|dcs:ChemicalElement|Se|InChI=1S/Se|dcs:Chalcogen|34|6326970||34
WKBOTKDWSSQWDR-UHFFFAOYSA-N|Bromine|Bromine|"Bromine|bromide"|"BROMINE|BROMIDE"|dcs:ChemicalElement|Br|InChI=1S/Br|dcs:Halogen|35|259||35
DNNSSWSSYDEUBZ-UHFFFAOYSA-N|Krypton|Krypton|Krypton|KRYPTON|dcs:ChemicalElement|Kr|InChI=1S/Kr|dcs:NobleGas|36|5416||36
IGLNJRXAVVLDKE-UHFFFAOYSA-N|Rubidium|Rubidium|Rubidium|RUBIDIUM|dcs:ChemicalElement|Rb|InChI=1S/Rb|dcs:AlkaliMetal|37|5357696||37
CIOAGBVUUVVLOB-UHFFFAOYSA-N|Strontium|Strontium|Strontium|STRONTIUM|dcs:ChemicalElement|Sr|InChI=1S/Sr|dcs:AlkalineEarthMetal|38|5359327||38
VWQVUPCCIRVNHF-UHFFFAOYSA-N|Yttrium|Yttrium|Yttrium|YTTRIUM|dcs:ChemicalElement|Y|InChI=1S/Y|dcs:Metal|39|23993||39
QCWXUUIWCKQGHC-UHFFFAOYSA-N|Zirconium|Zirconium|Zirconium|ZIRCONIUM|dcs:ChemicalElement|Zr|InChI=1S/Zr|dcs:Metal|40|23995||40
GUCVJGMIXFAOAE-UHFFFAOYSA-N|Niobium|Niobium|Niobium|NIOBIUM|dcs:ChemicalElement|Nb|InChI=1S/Nb|dcs:Metal|41|23936||41
ZOKXTWBITQBERF-UHFFFAOYSA-N|Molybdenum|Molybdenum|Molybdenum|MOLYBDENUM|dcs:ChemicalElement|Mo|InChI=1S/Mo|dcs:Metal|42|23932||42
GKLVYJBZJHMRIY-UHFFFAOYSA-N|Technetium|Technetium|Technetium|TECHNETIUM|dcs:ChemicalElement|Tc|InChI=1S/Tc|dcs:Metal|43|23957||43
KJTLSVCANCCWHF-UHFFFAOYSA-N|Ruthenium|Ruthenium|Ruthenium|RUTHENIUM|dcs:ChemicalElement|Ru|InChI=1S/Ru|dcs:Metal|44|23950||44
MHOVAHRLVXNVSD-UHFFFAOYSA-N|Rhodium|Rhodium|Rhodium|RHODIUM|dcs:ChemicalElement|Rh|InChI=1S/Rh|dcs:Metal|45|23948||45
KDLHZDBZIXYQEI-UHFFFAOYSA-N|Palladium|Palladium|Palladium|PALLADIUM|dcs:ChemicalElement|Pd|InChI=1S/Pd|dcs:Metal|46|23938||46
BQCADISMDOOEFD-UHFFFAOYSA-N|Silver|Silver|Silver|SILVER|dcs:ChemicalElement|Ag|InChI=1S/Ag|dcs:Metal|47|23954||47
BDOSMKKIYDKNTQ-UHFFFAOYSA-N|Cadmium|Cadmium|Cadmium|CADMIUM|dcs:ChemicalElement|Cd|InChI=1S/Cd|dcs:Metal|48|23973||48
APFVFJFRJDLVQX-UHFFFAOYSA-N|Indium|Indium|Indium|INDIUM|dcs:ChemicalElement|In|InChI=1S/In|dcs:Metal|49|5359967||49
ATJFFYVFTNAWJD-UHFFFAOYSA-N|Tin|Tin|Tin|TIN|dcs:ChemicalElement|Sn|InChI=1S/Sn|dcs:Metal|50|5352426||50
WATWJIUSRGPENY-UHFFFAOYSA-N|Antimony|Antimony|Antimony|ANTIMONY|dcs:ChemicalElement|Sb|InChI=1S/Sb|dcs:Pnictogen|51|5354495||51
PORWMNRCUJJQNO-UHFFFAOYSA-N|Tellurium|Tellurium|Tellurium|TELLURIUM|dcs:ChemicalElement|Te|InChI=1S/Te|dcs:Chalcogen|52|6327182||52
ZCYVEMRRCGMTRW-UHFFFAOYSA-N|Iodine|Iodine|"Iodine|iodide"|"IODINE|IODIDE"|dcs:ChemicalElement|I|InChI=1S/I|dcs:Halogen|53|30165||53
FHNFHKCVQCLJFQ-UHFFFAOYSA-N|Xenon|Xenon|Xenon|XENON|dcs:ChemicalElement|Xe|InChI=1S/Xe|dcs:NobleGas|54|23991||54
TVFDJXOCXUVLDH-UHFFFAOYSA-N|Cesium|Cesium|"Cesium|Caesium"|"CESIUM|CAESIUM"|dcs:ChemicalElement|Cs|InChI=1S/Cs|dcs:AlkaliMetal|55|5354618||55
DSAJWYNOEDNPEQ-UHFFFAOYSA-N|Barium|Barium|Barium|BARIUM|dcs:ChemicalElement|Ba|InChI=1S/Ba|dcs:AlkalineEarthMetal|56|5355457||56
FZLIPJUXYLNCLC-UHFFFAOYSA-N|Lanthanum|Lanthanum|Lanthanum|LANTHANUM|dcs:ChemicalElement|La|InChI=1S/La|dcs:Lanthanide|57|23926||57
GWXLDORMOJMVQZ-UHFFFAOYSA-N|Cerium|Cerium|Cerium|CERIUM|dcs:ChemicalElement|Ce|InChI=1S/Ce|dcs:Lanthanide|58|23974||58
PUDIUYLPXJFUGB-UHFFFAOYSA-N|Praseodymium|Praseodymium|Praseodymium|PRASEODYMIUM|dcs:ChemicalElement|Pr|InChI=1S/Pr|dcs:Lanthanide|59|23942||59
QEFYFXOXNSNQGX-UHFFFAOYSA-N|Neodymium|Neodymium|Neodymium|NEODYMIUM|dcs:ChemicalElement|Nd|InChI=1S/Nd|dcs:Lanthanide|60|23934||60
VQMWBBYLQSCNPO-UHFFFAOYSA-N|Promethium|Promethium|Promethium|PROMETHIUM|dcs:ChemicalElement|Pm|InChI=1S/Pm|dcs:Lanthanide|61|23944||61
KZUNJOHGWZRPMI-UHFFFAOYSA-N|Samarium|Samarium|Samarium|SAMARIUM|dcs:ChemicalElement|Sm|InChI=1S/Sm|dcs:Lanthanide|62|23951||62
OGPBJKLSAFTDLK-UHFFFAOYSA-N|Europium|Europium|Europium|EUROPIUM|dcs:ChemicalElement|Eu|InChI=1S/Eu|dcs:Lanthanide|63|23981||63
UIWYJDYFSGRHKR-UHFFFAOYSA-N|Gadolinium|Gadolinium|Gadolinium|GADOLINIUM|dcs:ChemicalElement|Gd|InChI=1S/Gd|dcs:Lanthanide|64|23982||64
GZCRRIHWUXGPOV-UHFFFAOYSA-N|Terbium|Terbium|Terbium|TERBIUM|dcs:ChemicalElement|Tb|InChI=1S/Tb|dcs:Lanthanide|65|23958||65
KBQHZAAAGSGFKK-UHFFFAOYSA-N|Dysprosium|Dysprosium|Dysprosium|DYSPROSIUM|dcs:ChemicalElement|Dy|InChI=1S/Dy|dcs:Lanthanide|66|23912||66
KJZYNXUDTRRSPN-UHFFFAOYSA-N|Holmium|Holmium|Holmium|HOLMIUM|dcs:ChemicalElement|Ho|InChI=1S/Ho|dcs:Lanthanide|67|23988||67
UYAHIZSMUZPPFV-UHFFFAOYSA-N|Erbium|Erbium|Erbium|ERBIUM|dcs:ChemicalElement|Er|InChI=1S/Er|dcs:Lanthanide|68|23980||68
FRNOGLGSGLTDKL-UHFFFAOYSA-N|Thulium|Thulium|Thulium|THULIUM|dcs:ChemicalElement|Tm|InChI=1S/Tm|dcs:Lanthanide|69|23961||69
NAWDYIZEMPQZHO-UHFFFAOYSA-N|Ytterbium|Ytterbium|Ytterbium|YTTERBIUM|dcs:ChemicalElement|Yb|InChI=1S/Yb|dcs:Lanthanide|70|23992||70
OHSVLFRHMCKCQY-UHFFFAOYSA-N|Lutetium|Lutetium|Lutetium|LUTETIUM|dcs:ChemicalElement|Lu|InChI=1S/Lu|dcs:Lanthanide|71|23929||71
VBJZVLUMGGDVMO-UHFFFAOYSA-N|Hafnium|Hafnium|Hafnium|HAFNIUM|dcs:ChemicalElement|Hf|InChI=1S/Hf|dcs:Metal|72|23986||72
GUVRBAGPIYLISA-UHFFFAOYSA-N|Tantalum|Tantalum|Tantalum|TANTALUM|dcs:ChemicalElement|Ta|InChI=1S/Ta|dcs:Metal|73|23956||73
WFKWXMTUELFFGS-UHFFFAOYSA-N|Tungsten|Tungsten|Tungsten|TUNGSTEN|dcs:ChemicalElement|W|InChI=1S/W|dcs:Metal|74|23964||74
WUAPFZMCVAUBPE-UHFFFAOYSA-N|Rhenium|Rhenium|Rhenium|RHENIUM|dcs:ChemicalElement|Re|InChI=1S/Re|dcs:Metal|75|23947||75
SYQBFIAQOQZEGI-UHFFFAOYSA-N|Osmium|Osmium|Osmium|OSMIUM|dcs:ChemicalElement|Os|InChI=1S/Os|dcs:Metal|76|23937||76
GKOZUEZYRPOHIO-UHFFFAOYSA-N|Iridium|Iridium|Iridium|IRIDIUM|dcs:ChemicalElement|Ir|InChI=1S/Ir|dcs:Metal|77|23924||77
BASFCYQUMIYNBI-UHFFFAOYSA-N|Platinum|Platinum|Platinum|PLATINUM|dcs:ChemicalElement|Pt|InChI=1S/Pt|dcs:Metal|78|23939||78
PCHJSUWPFVWCPO-UHFFFAOYSA-N|Gold|Gold|Gold|GOLD|dcs:ChemicalElement|Au|InChI=1S/Au|dcs:Metal|79|23985||79
QSHDDOUJBYECFT-UHFFFAOYSA-N|Mercury|Mercury|Mercury|MERCURY|dcs:ChemicalElement|Hg|InChI=1S/Hg|dcs:Metal|80|23931||80
BKVIYDNLLOSFOA-UHFFFAOYSA-N|Thallium|Thallium|Thallium|THALLIUM|dcs:ChemicalElement|Tl|InChI=1S/Tl|dcs:Metal|81|5359464||81
WABPQHHGFIMREM-UHFFFAOYSA-N|Lead|Lead|Lead|LEAD|dcs:ChemicalElement|Pb|InChI=1S/Pb|dcs:Metal|82|5352425||82
JCXGWMGPZLAOME-UHFFFAOYSA-N|Bismuth|Bismuth|Bismuth|BISMUTH|dcs:ChemicalElement|Bi|InChI=1S/Bi|dcs:Pnictogen|83|5359367||83
HZEBHPIOVYHPMT-UHFFFAOYSA-N|Polonium|Polonium|Polonium|POLONIUM|dcs:ChemicalElement|Po|InChI=1S/Po|dcs:Chalcogen|84|6328143||84
RYXHOMYVWAEKHL-UHFFFAOYSA-N|Astatine|Astatine|"Astatine|astatine-211"|"ASTATINE|ASTATINE-211"|dcs:ChemicalElement|At|InChI=1S/At|dcs:Halogen|85|6337078||85
SYUHGPGVQRZVTB-UHFFFAOYSA-N|Radon|Radon|Radon|RADON|dcs:ChemicalElement|Rn|InChI=1S/Rn|dcs:NobleGas|86|24857||86
KLMCZVJOEAUDNE-UHFFFAOYSA-N|Francium|Francium|Francium|FRANCIUM|dcs:ChemicalElement|Fr|InChI=1S/Fr|dcs:AlkaliMetal|87|6328145||87
HCWPIIXVSYCSAN-UHFFFAOYSA-N|Radium|Radium|Radium|RADIUM|dcs:ChemicalElement|Ra|InChI=1S/Ra|dcs:AlkalineEarthMetal|88|6328144||88
QQINRWTZWGJFDB-UHFFFAOYSA-N|Actinium|Actinium|Actinium|ACTINIUM|dcs:ChemicalElement|Ac|InChI=1S/Ac|dcs:Actinide|89|23965||89
ZSLUVFAKFWKJRC-UHFFFAOYSA-N|Thorium|Thorium|Thorium|THORIUM|dcs:ChemicalElement|Th|InChI=1S/Th|dcs:Actinide|90|23960||90
XLROVYAPLOFLNU-UHFFFAOYSA-N|Protactinium|Protactinium|Protactinium|PROTACTINIUM|dcs:ChemicalElement|Pa|InChI=1S/Pa|dcs:Actinide|91|23945||91
JFALSRSLKYAFGM-UHFFFAOYSA-N|Uranium|Uranium|Uranium|URANIUM|dcs:ChemicalElement|U|InChI=1S/U|dcs:Actinide|92|23989||92
LFNLGNPSGWYGGD-UHFFFAOYSA-N|Neptunium|Neptunium|Neptunium|NEPTUNIUM|dcs:ChemicalElement|Np|InChI=1S/Np|dcs:Actinide|93|23933||93
OYEHPCDNVJXUIW-UHFFFAOYSA-N|Plutonium|Plutonium|Plutonium|PLUTONIUM|dcs:ChemicalElement|Pu|InChI=1S/Pu|dcs:Actinide|94|23940||94
LXQXZNRPTYVCNG-UHFFFAOYSA-N|Americium|Americium|Americium|AMERICIUM|dcs:ChemicalElement|Am|InChI=1S/Am|dcs:Actinide|95|23966||95
NIWWFAAXEMMFMS-UHFFFAOYSA-N|Curium|Curium|Curium|CURIUM|dcs:ChemicalElement|Cm|InChI=1S/Cm|dcs:Actinide|96|23979||96
PWVKJRSRVJTHTR-UHFFFAOYSA-N|Berkelium|Berkelium|Berkelium|BERKELIUM|dcs:ChemicalElement|Bk|InChI=1S/Bk|dcs:Actinide|97|23971||97
HGLDOAKPQXAFKI-UHFFFAOYSA-N|Californium|Californium|Californium|CALIFORNIUM|dcs:ChemicalElement|Cf|InChI=1S/Cf|dcs:Actinide|98|23997||98
CKBRQZNRCSJHFT-UHFFFAOYSA-N|Einsteinium|Einsteinium|Einsteinium|EINSTEINIUM|dcs:ChemicalElement|Es|InChI=1S/Es|dcs:Actinide|99|23913||99
MIORUQGGZCBUGO-UHFFFAOYSA-N|Fermium|Fermium|Fermium|FERMIUM|dcs:ChemicalElement|Fm|InChI=1S/Fm|dcs:Actinide|100|23998||100
MQVSLOYRCXQRPM-UHFFFAOYSA-N|Mendelevium|Mendelevium|Mendelevium|MENDELEVIUM|dcs:ChemicalElement|Md|InChI=1S/Md|dcs:Actinide|101|23943||101
ORQBXQOJMQIAOY-UHFFFAOYSA-N|Nobelium|Nobelium|Nobelium|NOBELIUM|dcs:ChemicalElement|No|InChI=1S/No|dcs:Actinide|102|24822||102
CNQCVBJFEGMYDW-UHFFFAOYSA-N|Lawrencium|Lawrencium|Lawrencium|LAWRENCIUM|dcs:ChemicalElement|Lr|InChI=1S/Lr|dcs:Actinide|103|31192||103
YGPLJIIQQIDVFJ-UHFFFAOYSA-N|Rutherfordium|Rutherfordium|Rutherfordium|RUTHERFORDIUM|dcs:ChemicalElement|Rf|InChI=1S/Rf|dcs:Metal|104|56951715||104
PUKKTGLVJQVIOF-UHFFFAOYSA-N|Dubnium|Dubnium|Dubnium|DUBNIUM|dcs:ChemicalElement|Db|InChI=1S/Db|dcs:Metal|105|56951718||105
VAOUCABZIBBBJH-UHFFFAOYSA-N|Seaborgium|Seaborgium|Seaborgium|SEABORGIUM|dcs:ChemicalElement|Sg|InChI=1S/Sg|dcs:Metal|106|56951717||106
INOXRQQPOOCQPH-UHFFFAOYSA-N|Bohrium|Bohrium|Bohrium|BOHRIUM|dcs:ChemicalElement|Bh|InChI=1S/Bh|dcs:Metal|107|56951713||107
OBDWMWVOVYJOMI-UHFFFAOYSA-N|Hassium|Hassium|Hassium|HASSIUM|dcs:ChemicalElement|Hs|InChI=1S/Hs|dcs:Metal|108|56951714||108
VAJSJTKWMRUWBF-UHFFFAOYSA-N|Meitnerium|Meitnerium|Meitnerium|MEITNERIUM|dcs:ChemicalElement|Mt|InChI=1S/Mt|dcs:Metal|109|56951716||109
NCBMSFCPDGXTHD-UHFFFAOYSA-N|Darmstadtium|Darmstadtium|Darmstadtium|DARMSTADTIUM|dcs:ChemicalElement|Ds|InChI=1S/Ds|dcs:Metal|110|||110
LJROPTGWFUZRDB-UHFFFAOYSA-N|Roentgenium|Roentgenium|Roentgenium|ROENTGENIUM|dcs:ChemicalElement|Rg|InChI=1S/Rg|dcs:Metal|111|||111
NOTIIDSZELDPOP-UHFFFAOYSA-N|Copernicium|Copernicium|Copernicium|COPERNICIUM|dcs:ChemicalElement|Cn|InChI=1S/Cn|dcs:Metal|112|||112
KUGNSLWRKGRKGS-UHFFFAOYSA-N|Nihonium|Nihonium|Nihonium|NIHONIUM|dcs:ChemicalElement|Nh|InChI=1S/Nh|dcs:Metal|113|||113
WIHJCBVMYKIGOT-UHFFFAOYSA-N|Flerovium|Flerovium|Flerovium|FLEROVIUM|dcs:ChemicalElement|Fl|InChI=1S/Fl|dcs:Metal|114|||114
QDXZEHQJHSHEQF-UHFFFAOYSA-N|Moscovium|Moscovium|Moscovium|MOSCOVIUM|dcs:ChemicalElement|Mc|InChI=1S/Mc|dcs:Pnictogen|115|||115
ONFASNXETZOODS-UHFFFAOYSA-N|Livermorium|Livermorium|Livermorium|LIVERMORIUM|dcs:ChemicalElement|Lv|InChI=1S/Lv|dcs:Chalcogen|116|||116
INMSAURDCVBGHH-UHFFFAOYSA-N|Tennessine|Tennessine|Tennessine|TENNESSINE|dcs:ChemicalElement|Ts|InChI=1S/Ts|dcs:Halogen|117|||117
GOANEQIZDYDFCO-UHFFFAOYSA-N|Oganesson|Oganesson|Oganesson|OGANESSON|dcs:ChemicalElement|Og|InChI=1S/Og|dcs:NobleGas|118|||118
