fips,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,l150_1,l150_2,l150_3,l150_4,l150_5,l150_6,l150_7,l150_8,year
dcs:geoId/01113,27250.0,31150.0,35050.0,38950.0,42100.0,45200.0,48300.0,51450.0,51093.75,58406.25,65718.75,73031.25,78937.5,84750.0,90562.5,96468.75,2006
dcs:geoId/01115,32150.0,36700.0,41300.0,45900.0,49550.0,53250.0,56900.0,60600.0,60281.25,68812.5,77437.5,86062.5,92906.25,99843.75,106687.5,113625.0,2006
dcs:geoId/01117,32150.0,36700.0,41300.0,45900.0,49550.0,53250.0,56900.0,60600.0,60281.25,68812.5,77437.5,86062.5,92906.25,99843.75,106687.5,113625.0,2006
dcs:geoId/01119,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01121,26650.0,30500.0,34300.0,38100.0,41150.0,44200.0,47250.0,50300.0,49968.75,57187.5,64312.5,71437.5,77156.25,82875.0,88593.75,94312.5,2006
dcs:geoId/01123,26400.0,30150.0,33950.0,37700.0,40700.0,43750.0,46750.0,49750.0,49500.0,56531.25,63656.25,70687.5,76312.5,82031.25,87656.25,93281.25,2006
dcs:geoId/01125,29700.0,33900.0,38150.0,42400.0,45800.0,49200.0,52600.0,55950.0,55687.5,63562.5,71531.25,79500.0,85875.0,92250.0,98625.0,104906.25,2006
dcs:geoId/01127,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01129,25950.0,29650.0,33350.0,37050.0,40000.0,43000.0,45950.0,48900.0,48656.25,55593.75,62531.25,69468.75,75000.0,80625.0,86156.25,91687.5,2006
dcs:geoId/01131,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/01133,25300.0,28900.0,32550.0,36150.0,39050.0,41950.0,44850.0,47700.0,47437.5,54187.5,61031.25,67781.25,73218.75,78656.25,84093.75,89437.5,2006
dcs:geoId/02013,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02016,41700.0,47700.0,53650.0,59600.0,64350.0,69150.0,73900.0,78650.0,78187.5,89437.5,100593.75,111750.0,120656.25,129656.25,138562.5,147468.75,2006
dcs:geoId/02020,41700.0,47700.0,53650.0,59600.0,64350.0,69150.0,73900.0,78650.0,78187.5,89437.5,100593.75,111750.0,120656.25,129656.25,138562.5,147468.75,2006
dcs:geoId/02050,38250.0,43700.0,49200.0,54650.0,59000.0,63400.0,67750.0,72150.0,71718.75,81937.5,92250.0,102468.75,110625.0,118875.0,127031.25,135281.25,2006
dcs:geoId/02060,41050.0,46900.0,52800.0,58650.0,63350.0,68050.0,72750.0,77400.0,76968.75,87937.5,99000.0,109968.75,118781.25,127593.75,136406.25,145125.0,2006
dcs:geoId/02068,41700.0,47700.0,53650.0,59600.0,64350.0,69150.0,73900.0,78650.0,78187.5,89437.5,100593.75,111750.0,120656.25,129656.25,138562.5,147468.75,2006
dcs:geoId/02070,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02090,39250.0,44900.0,50500.0,56100.0,60600.0,65100.0,69550.0,74050.0,73593.75,84187.5,94687.5,105187.5,113625.0,122062.5,130406.25,138843.75,2006
dcs:geoId/02100,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02110,41700.0,47700.0,53650.0,59600.0,64350.0,69150.0,73900.0,78650.0,78187.5,89437.5,100593.75,111750.0,120656.25,129656.25,138562.5,147468.75,2006
dcs:geoId/02122,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02130,40650.0,46500.0,52300.0,58100.0,62750.0,67400.0,72050.0,76700.0,76218.75,87187.5,98062.5,108937.5,117656.25,126375.0,135093.75,143812.5,2006
dcs:geoId/02150,40800.0,46650.0,52450.0,58300.0,62950.0,67650.0,72300.0,76950.0,76500.0,87468.75,98343.75,109312.5,118031.25,126843.75,135562.5,144281.25,2006
dcs:geoId/02164,38200.0,43650.0,49100.0,54550.0,58900.0,63300.0,67650.0,72000.0,71625.0,81843.75,92062.5,102281.25,110437.5,118687.5,126843.75,135000.0,2006
dcs:geoId/02170,39400.0,45050.0,50650.0,56300.0,60800.0,65300.0,69800.0,74300.0,73875.0,84468.75,94968.75,105562.5,114000.0,122437.5,130875.0,139312.5,2006
