State,isoCode,Date,Count_InPatient,Count_OutPatient,Count_OutPatient,Count_SurgicalProcedure_Major,Count_SurgicalProcedure_Minor,Count_InPatient_Deceased_AsFractionOf_Count_InPatient,Count_OutPatient_Ayush
Dadra & Nagar Haveli,IN-DN,2012-03,51343,753212,,1957,5946,1.1,15094
Daman & Diu,IN-DD,2012-03,10892,503777,,1279,1073,1.9,34851
Delhi,IN-DL,2012-03,918270,32907151,,175083,213267,2.4,618794
Goa,IN-GA,2012-03,81443,1038067,,7609,4039,1.6,26122
Gujarat,IN-GJ,2012-03,763433,13343843,,51633,70249,0.6,111067
Haryana,IN-HR,2012-03,758262,13943790,,37649,44892,1.7,1121489
Himachal Pradesh,IN-HP,2012-03,400945,9340123,,19061,42108,1.1,4648
Jammu & Kashmir,IN-JK,2012-03,811313,16150167,,62503,271991,0.2,930535
Jharkhand,IN-JH,2012-03,608394,10812530,,25659,35495,0.6,45652
Karnataka,IN-KA,2012-03,3221843,46836197,,305324,291388,1.1,793297
Kerala,IN-KL,2012-03,2745276,61159951,,213357,207393,0.8,1024
Lakshadweep,IN-LD,2012-03,9329,412480,,227,4620,2.2,65324
Madhya Pradesh,IN-MP,2012-03,2800016,20826432,,130420,211389,1.2,518450
Maharashtra,IN-MH,2012-03,3824495,46601004,,212678,262288,1.2,1766461
Manipur,IN-MN,2012-03,54526,962564,,8443,19368,1.1,104973
Meghalaya,IN-ML,2012-03,192340,3191596,,11086,10656,1.6,177173
Mizoram,IN-MZ,2012-03,74910,1051129,,9978,29462,2.7,31814
Nagaland,IN-NL,2012-03,96903,854542,,5752,26203,1.0,20503
Odisha,IN-OR,2012-03,1933635,28143555,,181757,118640,0.9,3752164
Puducherry,IN-PY,2012-03,42394,3828981,,7075,30257,0.4,363930
Punjab,IN-PB,2012-03,731841,15696689,,103946,283005,1.1,1100118
Rajasthan,IN-RJ,2012-03,2249084,46600252,,106742,205555,0.5,3024374
Sikkim,IN-SK,2012-03,26058,887506,,1753,8350,2.2,9706
Tamil Nadu,IN-TN,2012-03,4034940,150476118,,219644,912083,0.5,9291424
Tripura,IN-TR,2012-03,370873,2953169,,12905,26225,1.5,318875
Uttar Pradesh,IN-UP,2012-03,3345812,49805535,,512854,283111,1.7,574991
Uttarakhand,IN-UT,2012-03,283544,6391758,,19456,25709,0.8,510860
West Bengal,IN-WB,2012-03,2197477,76521507,,181063,183563,2.2,1063838
All India,IN,2015-03,54248603,1180770695,,4189980,8220917,0.9,64396708
A & N Islands,IN-AN,2015-03,50398,1806622,,3604,3400,2.1,51135
Andhra Pradesh,IN-AP,2015-03,1769699,48135459,,110725,328052,0.8,2837397
Arunachal Pradesh,IN-AR,2015-03,67056,1439977,,5423,13687,1.3,77105
Assam,IN-AS,2015-03,1174251,28159886,,27850,25191,0.8,543326
Bihar,IN-BR,2015-03,4064960,72192478,,432596,1347869,0.7,12180249
Chandigarh,IN-CH,2015-03,198283,5324591,,64263,220710,4.3,206117
Chhattisgarh,IN-CT,2015-03,1024873,13742328,,46559,87741,1.2,653594
Dadra & Nagar Haveli,IN-DN,2015-03,68047,1057800,,5030,13488,1.3,20531
Daman & Diu,IN-DD,2015-03,14538,669663,,1247,1099,2.1,51495
Delhi,IN-DL,2015-03,1545056,48048500,,286276,424521,2.5,1164746
Goa,IN-GA,2015-03,76253,1592733,,7767,5698,1.2,29366
Gujarat,IN-GJ,2015-03,3021454,34904695,,154496,189312,0.4,802304
Haryana,IN-HR,2015-03,873709,24708625,,47953,46513,0.5,1923468
Himachal Pradesh,IN-HP,2015-03,438686,11512802,,27799,64851,1.1,34776
Jammu & Kashmir,IN-JK,2015-03,1021114,22527905,,117494,462494,0.2,1595071
Jharkhand,IN-JH,2015-03,594280,12253398,,25580,45380,0.9,154211
Karnataka,IN-KA,2015-03,3806984,61224566,,391846,392485,1.1,1707920
Kerala,IN-KL,2015-03,3207756,95182879,,292763,402964,0.9,3468
Lakshadweep,IN-LD,2015-03,6683,434762,,348,7339,2.6,60033
Madhya Pradesh,IN-MP,2015-03,3715504,42923079,,160844,274735,0.7,1387747
Maharashtra,IN-MH,2015-03,4574266,82567870,,330462,337762,1.0,5361886
Manipur,IN-MN,2015-03,72233,1157197,,10496,23616,0.9,113293
Meghalaya,IN-ML,2015-03,254297,3408512,,14249,16501,1.3,245558
Mizoram,IN-MZ,2015-03,103879,1200096,,15777,30990,2.2,32299
Nagaland,IN-NL,2015-03,77442,1004629,,13656,41861,1.6,28352
Odisha,IN-OR,2015-03,2685474,35448932,,127168,322325,1.1,5778922
Puducherry,IN-PY,2015-03,200725,7551685,,12574,65474,0.7,633801
Punjab,IN-PB,2015-03,862729,18694564,,119666,299398,0.7,1563438
Rajasthan,IN-RJ,2015-03,3795827,92702247,,203975,436961,0.7,3074737
Sikkim,IN-SK,2015-03,40744,947902,,2638,11096,2.1,19926
Tamil Nadu,IN-TN,2015-03,3742785,173939351,,256621,1374725,0.3,5189244
Telangana,IN-TG,2015-03,1373904,33589272,,155400,176642,0.9,1243684
Tripura,IN-TR,2015-03,465246,3692804,,15124,23777,1.3,321672
Uttar Pradesh,IN-UP,2015-03,4486322,89742604,,423398,343923,0.7,11774058
Uttarakhand,IN-UT,2015-03,369843,8029265,,26159,32678,0.9,576949
West Bengal,IN-WB,2015-03,4403303,99251017,,252154,325659,1.8,2954830
All India,IN,2010-03,22547175.0,546863974.0,,1844457.0,2832001.0,1.5,24974899.0
A & N Islands,IN-AN,2010-03,28623.0,936519.0,,282.0,769.0,2.7,16000.0
Andhra Pradesh Old,IN-AP,2010-03,1744615.0,37940497.0,,232809.0,266805.0,2.0,1050018.0
Arunachal Pradesh,IN-AR,2010-03,37336.0,733980.0,,1150.0,4415.0,1.7,22037.0
Assam,IN-AS,2010-03,490248.0,11599103.0,,15294.0,14054.0,1.2,40140.0
Bihar,IN-BR,2010-03,963480.0,28071126.0,,86438.0,272929.0,0.4,21125.0
Chandigarh,IN-CH,2010-03,42015.0,1989019.0,,10054.0,15171.0,3.2,130605.0
Chhattisgarh,IN-CT,2010-03,533505.0,4980791.0,,7639.0,15686.0,2.0,46.0
Dadra & Nagar Haveli,IN-DN,2010-03,50879.0,618772.0,,1811.0,2739.0,0.6,22359.0
Daman & Diu,IN-DD,2010-03,,,,,,,
Delhi,IN-DL,2010-03,492470.0,22605534.0,,82106.0,111361.0,2.6,331954.0
Goa,IN-GA,2010-03,55417.0,783667.0,,4331.0,2678.0,1.8,13212.0
Gujarat,IN-GJ,2010-03,876870.0,18031260.0,,81380.0,85320.0,1.0,58581.0
Haryana,IN-HR,2010-03,625272.0,11771761.0,,33951.0,42590.0,2.1,127577.0
Himachal Pradesh,IN-HP,2010-03,183594.0,6328446.0,,17987.0,20723.0,1.0,1569.0
Jammu & Kashmir,IN-JK,2010-03,305676.0,9965420.0,,32840.0,126616.0,0.9,376819.0
Jharkhand,IN-JH,2010-03,228077.0,8152482.0,,4304.0,16332.0,0.9,202115.0
Karnataka,IN-KA,2010-03,1263525.0,20508764.0,,68780.0,37053.0,2.6,240739.0
Kerala,IN-KL,2010-03,1661859.0,55045714.0,,128488.0,104074.0,0.8,1878.0
Lakshadweep,IN-LD,2010-03,5519.0,327713.0,,157.0,2365.0,3.5,22612.0
Madhya Pradesh,IN-MP,2010-03,1815860.0,15451351.0,,68977.0,143902.0,2.0,194889.0
Maharashtra,IN-MH,2010-03,10870.0,10648261.0,,30630.0,39044.0,4.2,27649.0
Manipur,IN-MN,2010-03,45890.0,712230.0,,6164.0,9882.0,1.0,57800.0
Meghalaya,IN-ML,2010-03,144523.0,2514500.0,,20634.0,4030.0,2.1,96717.0
Mizoram,IN-MZ,2010-03,83007.0,881231.0,,10190.0,26210.0,2.7,34572.0
Nagaland,IN-NL,2010-03,52785.0,480711.0,,853.0,4474.0,2.1,12934.0
Odisha,IN-OR,2010-03,1566077.0,16296694.0,,42717.0,62710.0,1.1,1237182.0
Puducherry,IN-PY,2010-03,53021.0,3211444.0,,8095.0,23420.0,0.8,56424.0
Punjab,IN-PB,2010-03,547952.0,14590116.0,,83042.0,198357.0,1.0,467316.0
Rajasthan,IN-RJ,2010-03,1759834.0,30121134.0,,61425.0,137204.0,0.3,1334765.0
Sikkim,IN-SK,2010-03,10769.0,274481.0,,114.0,2257.0,0.5,52.0
Tamil Nadu,IN-TN,2010-03,3289497.0,148600683.0,,192598.0,705604.0,1.0,18108600.0
Tripura,IN-TR,2010-03,327451.0,2118149.0,,4175.0,11314.0,1.0,166366.0
Uttar Pradesh,IN-UP,2010-03,2419038.0,37567401.0,,396707.0,209347.0,2.6,200860.0
Uttarakhand,IN-UT,2010-03,213764.0,4230975.0,,16606.0,16031.0,1.3,190204.0
West Bengal,IN-WB,2010-03,617857.0,18774045.0,,91729.0,96535.0,2.5,109183.0
All India,IN,2009-03,27814381.0,251530874.0,,494035.0,1534504.0,0.5,10309938.0
A & N Islands,IN-AN,2009-03,,,,,,,
Andhra Pradesh Old,IN-AP,2009-03,1357133.0,26463213.0,,20127.0,124613.0,1.4,312296.0
Arunachal Pradesh,IN-AR,2009-03,3225.0,76512.0,,38.0,528.0,1.8,1778.0
Assam,IN-AS,2009-03,61254.0,3215315.0,,2262.0,261.0,2.3,788.0
Bihar,IN-BR,2009-03,909338.0,19018352.0,,66284.0,143220.0,0.0,2093.0
Chandigarh,IN-CH,2009-03,,69133.0,,450.0,851.0,,
Chhattisgarh,IN-CT,2009-03,318784.0,4316954.0,,2829.0,8350.0,3.8,18.0
Dadra & Nagar Haveli,IN-DN,2009-03,4371.0,104471.0,,328.0,471.0,1.2,5904.0
Daman & Diu,IN-DD,2009-03,,,,,,,
Delhi,IN-DL,2009-03,107126.0,5323378.0,,13210.0,22739.0,1.6,30626.0
Goa,IN-GA,2009-03,8327.0,134414.0,,1535.0,298.0,1.2,1384.0
Gujarat,IN-GJ,2009-03,,,,,,,
Haryana,IN-HR,2009-03,311075.0,6400436.0,,13898.0,31848.0,1.7,28616.0
Himachal Pradesh,IN-HP,2009-03,51650.0,734686.0,,1328.0,4508.0,0.2,1.0
Jammu & Kashmir,IN-JK,2009-03,81420.0,3355304.0,,10077.0,38302.0,1.7,55592.0
Jharkhand,IN-JH,2009-03,148148.0,,,,,0.0,
Karnataka,IN-KA,2009-03,118791.0,7145082.0,,7920.0,6784.0,3.4,31166.0
Kerala,IN-KL,2009-03,,,,,,,
Lakshadweep,IN-LD,2009-03,,,,,,,
Madhya Pradesh,IN-MP,2009-03,925691.0,7940073.0,,30271.0,71641.0,0.6,35555.0
Maharashtra,IN-MH,2009-03,24085.0,231890.0,,3758.0,297.0,0.1,2.0
Manipur,IN-MN,2009-03,11002.0,427586.0,,1321.0,1917.0,1.1,13983.0
Meghalaya,IN-ML,2009-03,22924.0,413350.0,,856.0,606.0,1.9,5131.0
Mizoram,IN-MZ,2009-03,3360.0,21263.0,,20.0,20.0,1.3,20.0
Nagaland,IN-NL,2009-03,42.0,7458.0,,158.0,124.0,16.7,216.0
Odisha,IN-OR,2009-03,156451.0,2035907.0,,11397.0,9555.0,1.7,55983.0
Puducherry,IN-PY,2009-03,2232.0,658325.0,,422.0,1552.0,5.8,5344.0
Punjab,IN-PB,2009-03,179602.0,3823950.0,,24556.0,55426.0,1.3,27796.0
Rajasthan,IN-RJ,2009-03,469.0,234.0,,21.0,14.0,27.7,90.0
Sikkim,IN-SK,2009-03,,64196.0,,,,,
Tamil Nadu,IN-TN,2009-03,21096359.0,136414051.0,,185805.0,878636.0,0.1,9621157.0
Tripura,IN-TR,2009-03,212138.0,1173348.0,,3849.0,3526.0,0.7,39846.0
Uttar Pradesh,IN-UP,2009-03,1330861.0,16647056.0,,57545.0,117125.0,3.5,19746.0
Uttarakhand,IN-UT,2009-03,105913.0,2397359.0,,7857.0,10266.0,0.9,14807.0
West Bengal,IN-WB,2009-03,262610.0,2917578.0,,25913.0,1026.0,1.9,
All India,IN,2019-03,78321205,,1607279233,4713689,13122576,0.8,114209549
A & N Islands,IN-AN,2019-03,51043,,1781003,2986,1137,1.6,114010
Andhra Pradesh,IN-AP,2019-03,3459643,,76458027,162416,1177101,1.4,2657570
Arunachal Pradesh,IN-AR,2019-03,71078,,1323898,7878,11384,1.1,134069
