table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Kentucky: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Elliott County,"6,747","6,767","6,694","6,700","6,782","6,748","6,867","7,151","7,134","7,556","7,727","7,852","7,895"
.Estill County,"15,315","15,307","15,293","15,193","15,014","14,913","14,780","14,786","14,778","14,752","14,672","14,672","14,678"
.Fayette County,"260,527","261,408","263,990","265,822","269,904","272,377","275,540","279,971","283,291","287,683","292,514","295,803","296,765"
.Fleming County,"13,787","13,837","14,016","14,068","14,230","14,271","14,270","14,235","14,349","14,345","14,280","14,348","14,381"
.Floyd County,"42,451","42,316","41,844","41,671","41,325","41,128","40,847","40,429","40,261","39,964","39,643","39,451","39,446"
.Franklin County,"47,703","47,888","48,185","48,293","48,246","48,536","48,620","48,699","48,795","49,301","49,253","49,285","49,288"
.Fulton County,"7,755","7,697","7,753","7,563","7,427","7,274","7,090","6,871","6,861","6,945","6,793","6,813","6,821"
.Gallatin County,"7,845","7,866","8,004","7,891","8,094","8,119","8,225","8,253","8,337","8,420","8,533","8,589","8,597"
.Garrard County,"14,783","14,844","15,090","15,505","15,790","15,941","16,315","16,595","16,887","16,906","16,900","16,912","16,920"
.Grant County,"22,350","22,485","22,972","23,307","23,619","23,856","23,993","24,253","24,544","24,856","24,697","24,662","24,671"
.Graves County,"37,024","37,049","36,869","36,770","36,898","36,789","36,926","36,859","36,932","36,862","36,932","37,121","37,205"
.Grayson County,"24,037","24,094","24,170","24,235","24,648","24,962","25,181","25,294","25,444","25,558","25,619","25,746","25,785"
.Green County,"11,499","11,526","11,566","11,543","11,557","11,408","11,406","11,454","11,412","11,432","11,359","11,258","11,226"
.Greenup County,"36,927","36,836","36,804","36,600","36,681","36,579","36,530","36,827","36,939","37,106","37,053","36,910","36,885"
.Hancock County,"8,395","8,424","8,431","8,424","8,426","8,389","8,508","8,542","8,536","8,567","8,558","8,565","8,570"
.Hardin County,"92,629","92,919","93,715","94,136","93,929","95,015","96,652","97,539","98,728","99,926","101,254","105,543","106,933"
.Harlan County,"33,192","32,935","32,184","31,938","31,291","30,614","30,277","30,113","29,969","29,591","29,534","29,278","29,232"
.Harrison County,"17,956","17,997","18,007","18,009","18,171","18,233","18,314","18,483","18,725","18,876","18,894","18,846","18,828"
.Hart County,"17,459","17,535","17,291","17,573","17,741","17,821","18,040","18,109","18,172","18,320","18,197","18,199","18,206"
.Henderson County,"44,837","44,827","44,865","45,091","45,214","45,362","45,521","45,633","45,696","46,046","46,037","46,250","46,302"
.Henry County,"15,010","15,032","15,113","15,107","15,259","15,327","15,368","15,475","15,465","15,511","15,530","15,416","15,389"
.Hickman County,"5,254","5,240","5,234","5,225","5,186","5,093","5,061","5,002","4,955","4,957","4,945","4,902","4,885"
.Hopkins County,"46,519","46,463","46,148","46,374","46,668","46,759","46,640","46,727","46,834","47,051","46,921","46,920","46,899"
.Jackson County,"13,492","13,507","13,611","13,559","13,512","13,476","13,596","13,577","13,606","13,650","13,463","13,494","13,503"
.Jefferson County,"693,775","694,399","697,159","699,810","703,970","706,828","710,018","715,149","723,040","730,194","736,705","741,096","742,172"
.Jessamine County,"39,043","39,216","39,819","40,760","41,545","42,348","43,503","45,024","46,044","47,429","48,153","48,586","48,716"
.Johnson County,"23,443","23,315","23,230","23,156","23,138","23,229","23,332","23,382","23,354","23,256","23,220","23,356","23,415"
.Kenton County,"151,449","151,658","151,974","151,777","152,591","153,138","153,769","155,557","157,240","158,258","159,239","159,720","159,876"
.Knott County,"17,650","17,593","17,411","17,457","17,294","17,093","17,089","16,837","16,640","16,616","16,543","16,346","16,298"
.Knox County,"31,739","31,770","31,431","31,298","31,376","31,371","31,570","31,599","31,668","31,746","31,920","31,883","31,893"
.Larue County,"13,363","13,398","13,436","13,536","13,455","13,615","13,793","13,934","14,008","14,100","14,172","14,193","14,185"
.Laurel County,"52,712","52,920","53,604","54,452","55,371","55,811","56,465","57,239","57,938","58,142","58,513","58,849","58,944"
.Lawrence County,"15,558","15,553","15,566","15,625","15,558","15,664","15,756","15,766","15,815","15,867","15,889","15,860","15,868"
.Lee County,"7,915","7,929","7,922","7,971","8,015","7,950","7,823","7,850","7,855","7,859","7,885","7,887","7,874"
.Leslie County,"12,411","12,371","12,183","12,156","12,010","11,820","11,797","11,642","11,585","11,465","11,361","11,310","11,299"
.Letcher County,"25,261","25,213","24,862","24,914","24,925","24,742","24,585","24,534","24,499","24,363","24,364","24,519","24,551"
.Lewis County,"14,078","14,111","13,990","13,728","13,710","13,827","13,861","14,010","14,069","13,997","13,915","13,870","13,849"
.Lincoln County,"23,325","23,410","23,704","23,845","24,109","24,309","24,719","24,838","24,875","24,664","24,776","24,742","24,741"
.Livingston County,"9,806","9,811","9,795","9,742","9,656","9,589","9,650","9,594","9,508","9,458","9,476","9,519","9,534"
.Logan County,"26,593","26,654","26,609","26,615","26,533","26,632","26,721","26,768","26,911","26,802","26,872","26,835","26,835"
.Lyon County,"8,081","8,114","8,149","8,144","8,180","8,249","8,327","8,434","8,393","8,374","8,332","8,314","8,304"
.McCracken County,"65,511","65,423","64,825","64,588","64,430","64,270","64,430","64,678","64,925","65,287","65,654","65,565","65,539"
.McCreary County,"17,078","17,074","17,144","17,320","17,363","17,469","17,758","17,892","18,053","18,144","18,207","18,306","18,314"
.McLean County,"9,942","9,983","9,853","9,945","9,852","9,841","9,811","9,702","9,717","9,673","9,566","9,531","9,519"
.Madison County,"70,916","71,309","72,571","73,634","74,998","76,673","78,732","80,264","80,659","81,521","82,299","82,916","83,157"
.Magoffin County,"13,334","13,321","13,195","13,285","13,287","13,297","13,302","13,258","13,316","13,233","13,335","13,333","13,327"
.Marion County,"18,244","18,243","18,404","18,540","18,676","19,066","19,251","19,392","19,458","19,647","19,769","19,820","19,831"
.Marshall County,"30,126","30,113","30,145","30,258","30,494","30,674","30,870","31,204","31,443","31,418","31,411","31,448","31,452"
.Martin County,"12,570","12,586","12,589","12,711","12,778","13,138","13,536","13,371","13,224","13,160","13,040","12,929","12,894"
.Mason County,"16,812","16,790","16,808","16,825","16,729","16,802","16,923","17,138","17,259","17,454","17,464","17,490","17,497"
.Meade County,"27,989","28,189","28,506","28,919","28,949","29,600","29,732","29,397","29,108","28,962","28,403","28,602","28,664"
.Menifee County,"6,539","6,565","6,631","6,651","6,581","6,597","6,581","6,567","6,486","6,457","6,317","6,306","6,307"
.Mercer County,"20,809","20,794","20,755","20,877","21,044","21,118","21,229","21,181","21,255","21,273","21,286","21,331","21,363"
.Metcalfe County,"10,025","10,005","10,075","9,961","9,968","10,008","10,094","10,123","10,187","10,166","10,067","10,099","10,109"
.Monroe County,"11,737","11,700","11,684","11,557","11,481","11,348","11,425","11,337","11,171","10,990","10,969","10,963","10,978"
.Montgomery County,"22,536","22,650","22,851","23,251","23,594","23,899","24,491","25,085","25,550","25,981","26,407","26,499","26,516"
.Morgan County,"13,949","13,964","14,046","14,165","14,201","14,319","14,219","14,174","14,191","14,055","13,928","13,923","13,928"
.Muhlenberg County,"31,845","31,795","31,768","31,641","31,588","31,615","31,595","31,595","31,627","31,486","31,505","31,499","31,493"
.Nelson County,"37,487","37,662","38,128","38,681","39,307","39,947","40,582","41,424","42,020","42,588","42,974","43,437","43,609"
.Nicholas County,"6,812","6,789","6,878","7,015","7,075","7,139","7,134","7,147","7,143","7,135","7,125","7,135","7,131"
.Ohio County,"22,928","22,933","23,040","23,161","23,158","23,452","23,611","23,658","23,794","24,025","23,888","23,842","23,818"
.Oldham County,"46,495","46,895","47,933","49,250","51,296","52,830","54,266","56,329","57,991","59,375","59,777","60,316","60,450"
.Owen County,"10,542","10,554","10,591","10,749","10,732","10,893","10,900","10,886","11,000","11,010","10,909","10,841","10,833"
.Owsley County,"4,844","4,852","4,809","4,768","4,758","4,840","4,797","4,743","4,729","4,761","4,713","4,755","4,764"
.Pendleton County,"14,384","14,475","14,593","14,693","14,819","14,809","14,884","14,972","14,935","14,867","14,786","14,877","14,910"
.Perry County,"29,415","29,259","29,112","29,180","29,173","29,043","28,851","28,829","28,742","28,686","28,713","28,712","28,725"
.Pike County,"68,777","68,506","67,607","67,438","66,850","66,070","65,719","65,632","65,431","65,275","65,255","65,024","64,952"
.Powell County,"13,236","13,251","13,213","13,053","12,970","13,051","13,117","12,943","12,926","12,794","12,644","12,613","12,625"
.Pulaski County,"56,281","56,428","56,911","57,545","58,232","59,175","59,950","60,752","61,440","62,270","62,711","63,063","63,135"
.Robertson County,"2,269","2,271","2,256","2,292","2,309","2,298","2,251","2,309","2,244","2,272","2,288","2,282","2,279"
.Rockcastle County,"16,546","16,623","16,572","16,684","16,745","16,822","16,911","16,974","17,078","17,216","17,074","17,056","17,032"
.Rowan County,"22,091","22,077","22,323","22,329","22,348","22,185","22,362","22,706","22,914","23,097","23,340","23,333","23,318"
.Russell County,"16,282","16,296","16,367","16,445","16,574","16,851","17,018","17,232","17,297","17,529","17,632","17,565","17,535"
.Scott County,"33,076","33,422","34,547","35,601","36,714","38,051","39,637","41,924","43,491","45,157","46,325","47,173","47,443"
.Shelby County,"33,386","33,574","34,047","34,754","35,706","36,682","37,800","39,283","40,335","41,044","41,576","42,074","42,255"
.Simpson County,"16,411","16,416","16,599","16,629","16,694","16,820","16,998","17,115","17,187","17,182","17,227","17,327","17,357"
.Spencer County,"11,699","11,911","12,559","13,219","13,892","14,358","14,929","15,638","16,346","16,845","16,971","17,061","17,108"
.Taylor County,"22,889","22,874","22,918","23,338","23,388","23,536","23,755","23,971","24,078","24,256","24,367","24,512","24,561"
.Todd County,"11,954","11,926","12,021","11,975","11,917","11,858","11,965","12,092","12,169","12,340","12,485","12,460","12,447"
.Trigg County,"12,600","12,657","12,803","12,900","13,022","13,438","13,619","13,780","14,079","14,153","14,222","14,339","14,351"
.Trimble County,"8,183","8,227","8,449","8,572","8,653","8,843","8,788","8,856","8,903","8,950","8,855","8,809","8,798"
.Union County,"15,454","15,378","15,330","15,401","15,395","15,451","15,335","15,246","15,060","15,072","15,004","15,007","15,005"
.Warren County,"92,546","92,917","94,211","95,576","97,721","99,497","102,121","105,170","107,356","109,803","112,375","113,792","114,172"
.Washington County,"10,920","10,920","10,997","11,143","11,222","11,260","11,339","11,456","11,640","11,551","11,550","11,717","11,770"
.Wayne County,"19,902","19,958","19,949","20,078","20,353","20,473","20,516","20,547","20,667","20,757","20,793","20,813","20,816"
.Webster County,"14,112","14,097","13,945","13,982","13,912","13,969","14,004","13,875","13,867","13,646","13,681","13,621","13,601"
.Whitley County,"35,875","35,895","36,091","36,043","36,099","36,163","36,253","36,149","36,138","36,163","35,994","35,637","35,586"
.Wolfe County,"7,092","7,126","6,965","7,015","7,053","7,076","7,201","7,256","7,323","7,294","7,351","7,355","7,349"
.Woodford County,"23,225","23,278","23,331","23,406","23,555","23,695","23,933","24,134","24,214","24,541","24,702","24,939","25,025"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Kentucky: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-21)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
