table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Mississippi: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Humphreys County,"11,191","11,106","10,969","10,582","10,351","10,204","9,974","9,840","9,666","9,691","9,517","9,375","9,336"
.Issaquena County,"2,274","2,258","2,157","2,012","1,959","1,813","1,720","1,649","1,552","1,521","1,443","1,406","1,396"
.Itawamba County,"22,774","22,853","22,869","22,859","23,075","23,085","23,254","23,217","23,271","23,412","23,329","23,401","23,417"
.Jackson County,"131,439","132,019","133,069","133,688","134,234","136,565","137,913","132,717","136,028","137,791","139,176","139,668","139,698"
.Jasper County,"18,148","18,110","18,230","18,068","17,855","17,751","17,496","17,544","17,492","17,550","17,344","17,062","16,983"
.Jefferson County,"9,723","9,649","9,436","9,251","8,929","8,760","8,461","8,241","8,127","7,927","7,842","7,726","7,712"
.Jefferson Davis County,"13,954","13,853","13,630","13,413","13,234","12,932","12,859","12,928","12,749","12,636","12,553","12,487","12,464"
.Jones County,"64,955","64,993","64,855","64,916","64,913","65,296","65,871","66,330","66,760","67,318","67,443","67,761","67,870"
.Kemper County,"10,447","10,443","10,712","10,635","10,623","10,648","10,551","10,533","10,486","10,392","10,526","10,456","10,415"
.Lafayette County,"38,687","38,759","39,292","39,914","41,241","41,840","42,526","44,281","45,027","45,781","46,712","47,351","47,496"
.Lamar County,"39,877","40,211","41,100","42,377","43,379","45,001","46,684","48,850","50,920","52,772","54,197","55,658","56,054"
.Lauderdale County,"78,168","78,195","77,780","77,979","78,082","78,055","78,082","78,063","78,794","79,665","80,275","80,261","80,229"
.Lawrence County,"13,201","13,215","13,235","13,137","13,190","13,149","13,097","13,053","13,043","13,038","13,054","12,929","12,893"
.Leake County,"20,930","20,964","21,563","21,884","22,240","22,561","22,869","23,159","23,353","23,641","23,790","23,805","23,791"
.Lee County,"75,664","75,876","76,537","76,783","77,480","77,937","78,529","79,684","80,561","81,501","82,436","82,910","83,048"
.Leflore County,"37,951","37,763","36,775","35,957","34,516","34,863","34,178","33,862","33,540","33,329","32,508","32,317","32,307"
.Lincoln County,"33,191","33,163","33,188","33,326","33,407","33,490","33,748","34,248","34,398","34,724","34,877","34,869","34,863"
.Lowndes County,"61,596","61,529","60,958","60,508","59,919","59,699","59,237","59,396","59,355","59,160","59,663","59,779","59,836"
.Madison County,"74,711","75,089","76,580","78,092","79,997","82,283","84,846","87,844","90,195","92,274","94,071","95,203","95,552"
.Marion County,"25,626","25,616","25,391","25,360","25,497","25,617","25,706","26,291","26,610","26,825","26,979","27,088","27,083"
.Marshall County,"34,947","35,004","35,052","35,345","35,767","35,720","36,052","36,374","36,950","37,351","37,231","37,144","37,104"
.Monroe County,"37,996","37,981","38,005","37,690","37,646","37,678","37,464","37,454","37,355","37,453","37,258","36,989","36,889"
.Montgomery County,"12,191","12,115","12,042","11,829","11,647","11,507","11,474","11,453","11,297","11,067","10,948","10,925","10,924"
.Neshoba County,"28,675","28,689","28,396","28,490","28,807","29,139","29,364","29,381","29,399","29,562","29,694","29,676","29,687"
.Newton County,"21,834","21,791","21,715","21,493","21,510","21,535","21,611","21,814","21,965","21,851","21,790","21,720","21,718"
.Noxubee County,"12,545","12,536","12,434","12,312","12,147","12,056","11,973","11,875","11,880","11,823","11,646","11,545","11,511"
.Oktibbeha County,"42,920","43,122","43,186","43,036","43,188","43,382","43,985","45,052","46,032","46,470","47,400","47,671","47,692"
.Panola County,"34,283","34,379","34,401","34,623","34,661","34,701","34,684","34,705","34,813","34,923","34,768","34,707","34,700"
.Pearl River County,"48,518","48,621","49,083","49,659","49,968","50,624","50,990","55,153","56,053","56,538","56,085","55,834","55,788"
.Perry County,"12,111","12,149","12,156","12,232","12,245","12,233","12,088","12,098","12,316","12,337","12,206","12,250","12,258"
.Pike County,"38,957","38,995","38,739","38,734","38,649","38,700","38,905","40,241","40,141","40,290","40,332","40,404","40,416"
.Pontotoc County,"26,811","26,967","27,274","27,427","27,990","28,276","28,567","29,098","29,264","29,475","29,770","29,957","30,008"
.Prentiss County,"25,582","25,662","25,452","25,463","25,611","25,568","25,608","25,463","25,370","25,481","25,553","25,276","25,189"
.Quitman County,"10,121","10,055","9,952","9,828","9,541","9,494","9,238","9,008","8,723","8,501","8,336","8,223","8,188"
.Rankin County,"115,403","116,255","118,774","120,937","123,796","127,232","130,354","134,132","136,694","139,136","140,634","141,617","142,018"
.Scott County,"28,455","28,393","28,321","27,948","28,126","28,097","28,122","28,170","28,175","28,098","28,101","28,264","28,358"
.Sharkey County,"6,576","6,520","6,303","6,186","6,052","5,845","5,707","5,510","5,238","5,191","5,076","4,916","4,873"
.Simpson County,"27,634","27,641","27,376","27,547","27,368","27,362","27,633","27,658","27,512","27,682","27,512","27,503","27,511"
.Smith County,"16,163","16,182","16,181","16,077","16,070","16,126","16,332","16,427","16,462","16,345","16,520","16,491","16,460"
.Stone County,"13,592","13,664","14,130","14,163","14,439","14,694","15,189","15,968","16,264","17,084","17,408","17,786","17,890"
.Sunflower County,"34,382","34,249","34,042","33,676","33,453","32,349","31,724","31,464","31,463","30,614","29,574","29,450","29,406"
.Tallahatchie County,"14,896","14,927","14,981","15,025","15,124","15,249","15,348","15,283","15,231","15,225","15,266","15,378","15,346"
.Tate County,"25,386","25,477","25,653","25,776","26,134","26,599","26,968","27,473","27,803","28,222","28,509","28,886","28,981"
.Tippah County,"20,890","20,925","20,979","21,066","21,179","21,261","21,536","21,688","21,884","21,982","22,171","22,232","22,240"
.Tishomingo County,"19,155","19,158","19,020","19,144","19,070","19,145","19,232","19,424","19,581","19,524","19,552","19,593","19,594"
.Tunica County,"9,240","9,242","9,416","9,823","10,142","10,221","10,425","10,723","10,853","10,910","10,862","10,778","10,738"
.Union County,"25,344","25,484","25,649","25,711","25,949","26,076","26,569","26,762","26,684","26,931","27,070","27,134","27,162"
.Walthall County,"15,161","15,099","15,114","14,988","15,049","15,104","15,081","15,594","15,515","15,622","15,505","15,443","15,416"
.Warren County,"49,668","49,598","49,292","49,115","48,946","49,092","48,836","49,440","49,163","48,457","48,548","48,773","48,840"
.Washington County,"63,035","62,657","61,221","59,570","58,072","56,802","55,872","54,325","53,069","52,236","51,565","51,137","51,078"
.Wayne County,"21,372","21,342","21,258","21,260","21,135","21,069","21,021","21,111","21,276","20,963","20,763","20,747","20,743"
.Webster County,"10,284","10,282","10,250","10,213","10,044","10,057","9,979","10,022","10,035","10,204","10,164","10,253","10,271"
.Wilkinson County,"10,337","10,307","10,280","10,266","10,283","10,185","10,123","10,306","10,142","10,061","9,994","9,878","9,845"
.Winston County,"20,157","20,152","20,031","19,860","19,796","19,715","19,583","19,538","19,606","19,342","19,211","19,198","19,194"
.Yalobusha County,"13,052","13,125","13,265","13,139","13,089","12,961","12,979","12,976","13,036","12,857","12,827","12,678","12,650"
.Yazoo County,"28,144","28,119","27,764","27,735","27,932","27,963","28,107","28,714","28,641","28,441","28,201","28,065","28,012"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Mississippi: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-28)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
