table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Missouri: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.Osage County,"13,019","13,026","13,046","13,073","13,315","13,361","13,507","13,687","13,648","13,753","13,886","13,878","13,865"
.Ozark County,"9,536","9,532","9,447","9,496","9,582","9,555","9,557","9,667","9,655","9,718","9,673","9,723","9,728"
.Pemiscot County,"20,079","20,060","19,887","19,839","19,592","19,338","19,211","18,953","18,788","18,552","18,378","18,296","18,263"
.Perry County,"18,120","18,134","18,171","18,318","18,313","18,454","18,602","18,672","18,961","18,976","19,050","18,971","18,937"
.Pettis County,"39,418","39,486","39,577","39,543","39,669","39,883","40,455","40,937","41,239","41,565","41,907","42,201","42,287"
.Phelps County,"39,826","39,945","40,219","41,193","41,883","42,616","43,327","44,025","44,300","44,200","44,540","45,156","45,301"
.Pike County,"18,347","18,301","18,258","18,311","18,426","18,434","18,725","18,707","18,588","18,602","18,544","18,516","18,507"
.Platte County,"73,826","74,316","76,143","77,986","79,577","81,106","82,615","83,913","85,656","87,003","88,219","89,322","89,677"
.Polk County,"26,922","26,999","27,421","27,826","28,345","28,690","29,308","30,053","30,576","30,790","31,085","31,137","31,139"
.Pulaski County,"41,170","41,957","43,558","44,535","44,507","45,301","45,570","46,482","47,357","48,300","50,630","52,274","52,803"
.Putnam County,"5,216","5,231","5,203","5,180","5,161","5,131","5,153","5,167","5,047","5,028","4,988","4,979","4,972"
.Ralls County,"9,632","9,669","9,704","9,755","9,755","9,792","9,998","10,092","10,148","10,117","10,109","10,167","10,169"
.Randolph County,"24,663","24,660","24,679","24,701","25,010","25,211","25,451","25,480","25,597","25,597","25,364","25,414","25,437"
.Ray County,"23,374","23,393","23,427","23,538","23,703","23,739","23,605","23,842","23,712","23,764","23,541","23,494","23,474"
.Reynolds County,"6,687","6,708","6,557","6,664","6,668","6,717","6,707","6,707","6,736","6,688","6,667","6,696","6,692"
.Ripley County,"13,505","13,482","13,460","13,608","13,752","13,843","13,920","14,049","14,059","14,039","14,033","14,100","14,103"
.St. Charles County,"283,939","286,218","294,908","303,224","311,405","319,729","328,892","337,952","345,395","351,179","356,902","360,485","361,602"
.St. Clair County,"9,652","9,698","9,656","9,692","9,656","9,711","9,733","9,694","9,802","9,757","9,708","9,805","9,823"
.Ste. Genevieve County,"17,819","17,973","18,013","18,039","18,161","18,218","18,233","18,263","18,293","18,186","18,156","18,145","18,126"
.St. Francois County,"55,643","55,773","56,242","56,823","58,118","60,829","62,298","62,917","63,636","64,280","64,864","65,359","65,498"
.St. Louis County,"1,016,202","1,016,178","1,016,243","1,014,359","1,011,678","1,007,813","1,004,109","1,002,050","999,389","998,331","998,618","998,954","998,881"
.Saline County,"23,764","23,747","23,399","22,960","22,896","23,058","23,053","23,008","23,029","22,967","23,221","23,370","23,406"
.Schuyler County,"4,173","4,178","4,184","4,245","4,264","4,313","4,280","4,267","4,313","4,383","4,414","4,431","4,429"
.Scotland County,"4,983","4,976","4,956","4,877","4,879","4,838","4,793","4,823","4,830","4,818","4,842","4,843","4,842"
.Scott County,"40,437","40,371","40,206","39,885","39,850","39,704","39,719","39,626","39,509","39,293","39,185","39,191","39,238"
.Shannon County,"8,319","8,331","8,303","8,273","8,213","8,254","8,300","8,313","8,402","8,420","8,446","8,441","8,437"
.Shelby County,"6,808","6,790","6,787","6,724","6,669","6,661","6,683","6,533","6,500","6,421","6,369","6,373","6,370"
.Stoddard County,"29,720","29,756","29,772","29,976","29,908","30,064","30,240","30,314","30,253","30,062","29,821","29,968","29,997"
.Stone County,"28,505","28,600","28,841","29,347","30,044","30,542","30,800","31,546","31,966","32,119","32,214","32,202","32,172"
.Sullivan County,"7,228","7,227","7,237","7,247","7,042","6,925","6,840","6,783","6,706","6,736","6,689","6,714","6,725"
.Taney County,"39,776","40,059","40,609","41,554","42,447","43,381","44,635","46,200","48,020","49,711","50,794","51,675","51,893"
.Texas County,"22,996","23,049","24,174","24,464","24,388","24,845","24,961","25,385","25,490","25,597","25,790","26,008","26,048"
.Vernon County,"20,449","20,428","20,514","20,454","20,481","20,620","20,722","20,715","20,746","20,891","21,071","21,159","21,162"
.Warren County,"24,536","24,745","25,426","26,266","27,169","27,971","29,095","30,175","31,152","31,975","32,320","32,513","32,551"
.Washington County,"23,318","23,395","23,514","23,796","23,956","24,174","24,211","24,619","24,856","25,113","25,111","25,195","25,205"
.Wayne County,"13,237","13,259","13,368","13,318","13,435","13,394","13,514","13,429","13,356","13,397","13,486","13,521","13,499"
.Webster County,"31,041","31,219","31,863","32,299","32,680","33,394","34,005","34,692","35,477","35,938","35,997","36,202","36,287"
.Worth County,"2,384","2,382","2,324","2,320","2,291","2,269","2,231","2,202","2,217","2,166","2,199","2,171","2,155"
.Wright County,"17,937","17,926","17,963","18,147","18,217","18,226","18,489","18,554","18,713","18,904","18,633","18,815","18,853"
.St. Louis city,"348,192","347,144","343,243","338,457","334,893","330,988","324,945","320,131","317,959","317,955","318,842","319,294","319,156"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Missouri: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-29)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
