table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Ohio: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.Shelby County,"48,292","48,360","48,662","48,671","48,766","48,791","49,044","49,099","49,284","49,454","49,540","49,423","49,374"
.Stark County,"378,144","378,036","377,295","376,867","376,721","376,663","376,050","376,180","376,877","377,141","376,210","375,586","375,321"
.Summit County,"542,849","543,442","544,554","544,866","545,163","545,037","545,029","544,660","544,275","543,116","542,135","541,781","541,565"
.Trumbull County,"225,105","224,912","223,991","222,484","220,889","219,540","217,926","216,185","214,296","212,191","211,290","210,312","209,936"
.Tuscarawas County,"90,919","91,043","91,319","91,735","92,015","92,348","92,286","92,271","92,511","92,634","92,584","92,582","92,542"
.Union County,"40,975","41,338","42,859","43,517","44,665","45,819","46,952","48,589","49,906","50,856","51,798","52,300","52,390"
.Van Wert County,"29,654","29,627","29,430","29,327","29,288","29,322","29,264","29,342","29,182","29,075","28,849","28,744","28,698"
.Vinton County,"12,809","12,825","12,966","13,076","13,260","13,308","13,370","13,516","13,566","13,452","13,474","13,435","13,415"
.Warren County,"159,551","161,716","167,851","174,833","181,976","188,904","195,499","200,630","205,258","208,640","211,231","212,693","213,192"
.Washington County,"63,242","63,180","62,847","62,638","62,759","62,924","62,547","62,387","62,253","62,040","61,968","61,778","61,683"
.Wayne County,"111,562","111,668","112,161","112,684","113,067","113,240","113,603","114,263","114,224","114,610","114,588","114,520","114,505"
.Williams County,"39,189","39,199","39,085","38,959","38,753","38,719","38,546","38,547","38,532","38,297","37,950","37,642","37,535"
.Wood County,"121,072","121,199","122,013","122,206","122,826","124,149","124,698","125,027","125,285","125,275","125,384","125,488","125,502"
.Wyandot County,"22,897","22,894","22,787","22,813","22,816","22,914","22,820","22,729","22,716","22,642","22,644","22,615","22,596"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Ohio: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-39)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
