table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Gosper County,"2,143","2,146","2,096","2,100","2,136","2,112","2,110","2,075","2,101","2,049","2,020","2,044","2,047"
.Grant County,735,736,743,726,697,680,676,677,660,653,619,614,610
.Greeley County,"2,714","2,712","2,700","2,696","2,662","2,643","2,577","2,578","2,538","2,548","2,502","2,538","2,544"
.Hall County,"53,577","53,569","53,508","53,722","54,050","54,413","54,535","55,190","55,742","56,795","57,955","58,607","58,814"
.Hamilton County,"9,408","9,377","9,307","9,323","9,349","9,319","9,269","9,196","9,204","9,157","9,113","9,124","9,132"
.Harlan County,"3,783","3,764","3,732","3,677","3,717","3,633","3,558","3,522","3,511","3,435","3,406","3,423","3,424"
.Hayes County,"1,068","1,070","1,088","1,098","1,092","1,063","1,051",994,977,986,987,967,958
.Hitchcock County,"3,110","3,103","3,095","3,056","3,047","3,055","2,954","2,956","2,931","2,927","2,906","2,908","2,904"
.Holt County,"11,544","11,487","11,346","11,210","11,042","10,868","10,839","10,613","10,541","10,399","10,406","10,435","10,434"
.Hooker County,783,773,745,731,737,748,744,751,732,734,733,736,738
.Howard County,"6,561","6,523","6,448","6,427","6,509","6,465","6,432","6,357","6,333","6,261","6,288","6,274","6,273"
.Jefferson County,"8,340","8,324","8,288","8,253","8,157","8,117","8,025","7,970","7,765","7,684","7,602","7,547","7,517"
.Johnson County,"4,488","4,506","4,491","4,927","5,102","5,372","5,257","5,257","5,163","5,203","5,199","5,217","5,231"
.Kearney County,"6,887","6,889","6,842","6,785","6,800","6,776","6,698","6,614","6,624","6,554","6,476","6,489","6,492"
.Keith County,"8,868","8,839","8,767","8,757","8,514","8,444","8,418","8,381","8,423","8,290","8,320","8,368","8,367"
.Keya Paha County,985,981,966,957,964,942,904,892,857,836,820,824,824
.Kimball County,"4,085","4,060","4,055","4,046","3,960","3,921","3,925","3,879","3,809","3,761","3,799","3,821","3,820"
.Knox County,"9,370","9,336","9,177","9,108","9,065","9,025","8,897","8,846","8,862","8,708","8,700","8,701","8,693"
.Lancaster County,"250,307","251,523","254,630","258,398","262,667","265,087","268,868","272,286","276,012","279,605","283,097","285,407","286,141"
.Lincoln County,"34,630","34,660","34,669","34,525","34,776","35,177","35,577","35,973","36,011","36,301","36,280","36,288","36,270"
.Logan County,774,773,780,764,737,738,747,756,751,730,738,763,770
.Loup County,712,709,715,736,722,669,652,635,649,630,629,632,634
.McPherson County,533,532,534,549,538,531,522,518,545,558,537,539,538
.Madison County,"35,254","35,230","35,601","35,862","35,858","35,722","35,631","35,415","34,298","34,319","34,609","34,876","34,960"
.Merrick County,"8,189","8,152","8,045","8,054","8,033","8,018","7,904","7,813","7,709","7,734","7,813","7,845","7,851"
.Morrill County,"5,443","5,420","5,344","5,225","5,202","5,147","5,110","5,090","5,122","5,079","5,019","5,042","5,046"
.Nance County,"4,042","4,054","4,039","3,948","3,842","3,787","3,831","3,807","3,766","3,745","3,729","3,735","3,730"
.Nemaha County,"7,580","7,578","7,446","7,330","7,215","7,182","7,252","7,311","7,220","7,280","7,178","7,248","7,258"
.Nuckolls County,"5,056","5,032","4,947","4,844","4,873","4,872","4,796","4,709","4,642","4,571","4,495","4,500","4,497"
.Otoe County,"15,402","15,494","15,554","15,524","15,478","15,525","15,607","15,753","15,841","15,728","15,608","15,740","15,773"
.Pawnee County,"3,089","3,088","3,020","3,020","2,907","2,907","2,884","2,802","2,791","2,711","2,752","2,773","2,777"
.Perkins County,"3,199","3,181","3,125","3,119","3,082","3,134","3,145","3,041","3,013","2,949","2,937","2,970","2,975"
.Phelps County,"9,746","9,733","9,704","9,684","9,576","9,535","9,402","9,405","9,222","9,195","9,148","9,188","9,199"
.Pierce County,"7,843","7,824","7,731","7,627","7,615","7,477","7,508","7,416","7,314","7,286","7,260","7,266","7,266"
.Platte County,"31,574","31,500","31,319","30,939","30,756","30,658","30,865","31,100","31,408","31,527","32,017","32,237","32,324"
.Polk County,"5,629","5,610","5,533","5,556","5,529","5,466","5,473","5,409","5,447","5,402","5,409","5,406","5,395"
.Red Willow County,"11,456","11,487","11,483","11,436","11,336","11,351","11,219","11,194","11,053","11,034","11,018","11,055","11,045"
.Richardson County,"9,531","9,507","9,260","9,125","8,949","8,879","8,799","8,642","8,480","8,413","8,383","8,363","8,350"
.Rock County,"1,754","1,743","1,709","1,674","1,600","1,597","1,557","1,552","1,551","1,554","1,550","1,526","1,517"
.Saline County,"13,858","13,880","14,004","14,110","14,232","14,206","14,136","13,987","14,069","14,048","14,166","14,200","14,219"
.Sarpy County,"122,633","123,309","126,442","129,496","132,017","136,339","140,239","144,070","148,214","152,762","156,147","158,840","159,709"
.Saunders County,"19,827","19,852","19,962","19,925","20,104","20,248","20,460","20,411","20,483","20,446","20,515","20,780","20,858"
.Scotts Bluff County,"36,952","37,012","36,561","36,572","36,468","36,278","36,277","36,223","36,338","36,536","36,677","36,970","37,072"
.Seward County,"16,491","16,519","16,607","16,574","16,527","16,681","16,601","16,654","16,490","16,653","16,536","16,750","16,807"
.Sheridan County,"6,186","6,165","5,995","5,995","5,842","5,851","5,726","5,649","5,592","5,500","5,498","5,469","5,452"
.Sherman County,"3,312","3,298","3,289","3,228","3,222","3,255","3,239","3,148","3,145","3,147","3,129","3,152","3,152"
.Sioux County,"1,475","1,471","1,406","1,443","1,489","1,438","1,437","1,409","1,404","1,360","1,324","1,311","1,304"
.Stanton County,"6,453","6,416","6,374","6,453","6,437","6,426","6,376","6,363","6,248","6,145","6,157","6,129","6,124"
.Thayer County,"6,042","6,030","5,884","5,723","5,625","5,495","5,454","5,312","5,308","5,253","5,210","5,228","5,229"
.Thomas County,728,733,717,691,689,664,661,659,667,661,655,647,641
.Thurston County,"7,167","7,139","7,085","6,989","6,987","6,943","7,009","6,947","6,925","6,821","6,866","6,940","6,975"
.Valley County,"4,651","4,649","4,623","4,541","4,581","4,482","4,395","4,367","4,327","4,228","4,228","4,260","4,268"
.Washington County,"18,787","18,803","19,134","19,264","19,510","19,589","19,861","20,056","20,203","20,101","20,124","20,234","20,257"
.Wayne County,"9,890","9,854","9,788","9,664","9,689","9,612","9,654","9,720","9,506","9,481","9,552","9,595","9,607"
.Webster County,"4,055","4,045","4,017","3,970","3,952","3,949","3,902","3,846","3,859","3,771","3,788","3,812","3,809"
.Wheeler County,888,885,858,837,815,811,832,826,837,831,809,818,819
.York County,"14,602","14,553","14,438","14,230","14,175","13,952","14,021","14,130","14,078","13,881","13,689","13,665","13,652"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Nebraska: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-31)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
