"Commodity Code","Country or Area Code","Country or Area","Transaction Code","Commodity - Transaction Code","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"EN","156","China","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","54843",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","53088",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","50469",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","43342",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","25127",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","17472",""
"EN","156","China","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","16737",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","27208",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","26551",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","26172",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","26046",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","24728",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","26325",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","25872",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","18738",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","14749",""
"EN","203","Czechia","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","13590",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","23526",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","22958",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","23423",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","22906",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","23271",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","22716",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","22731",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","22295",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","22773",""
"EN","246","Finland","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","22479",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","409736",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","439447",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","439730",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","450191",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","451529",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","448241",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","441070",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","436760",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","421076",""
"EN","251","France","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","415162",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","134932",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","148495",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","140534",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","167269",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","163055",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","167065",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","165060",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","164842",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","171305",""
"EN","276","Germany","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","169606",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","15426",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","14818",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","14677",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","13461",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","13834",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","11915",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","11013",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","13953",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","14126",""
"EN","348","Hungary","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","14180",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","18636",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","14713",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","16957",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","18802",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","17334",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","17011",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","17780",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","19390",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","19475",""
"EN","356","India","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","16902",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","279750",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","258128",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","263832",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","303426",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","304755",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","282442",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","240013",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","295094",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","319858",""
"EN","392","Japan","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","322049",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","147771",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","150958",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","142937",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","148749",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","146779",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","130715",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","129672",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","119103",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","112133",""
"EN","410","Korea, Republic of","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","108964",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","10852",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","9894",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","9833",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","8651",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","10337",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","15102",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","15484",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","14142",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","11362",""
"EN","440","Lithuania","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","8419",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","10501",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","9804",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","10421",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","10866",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","10805",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","9194",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","10502",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","9747",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","8726",""
"EN","484","Mexico","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","8221",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","4248",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","4169",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","4200",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","3469",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","3997",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","3822",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","4018",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","3915",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","3976",""
"EN","528","Netherlands","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","3926",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","41571",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","40827",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","40539",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","39870",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","39972",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","39490",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","38890",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","39553",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","35486",""
"EN","158","Other Asia","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","38503",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","2894",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","1618",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","3077",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","2288",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","2484",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","2795",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","1760",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","1740",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","1997",""
"EN","586","Pakistan","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","399",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","11752",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","11226",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","7709",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","5632",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","5555",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","5548",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","4906",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","5513",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2001","Kilowatt-hours, million","5446",""
"EN","642","Romania","01","EN01","Electricity - total nuclear production","2000","Kilowatt-hours, million","5456",""
"EN","643","Russian Federation","01","EN01","Electricity - total nuclear production","2009","Kilowatt-hours, million","163584",""
"EN","643","Russian Federation","01","EN01","Electricity - total nuclear production","2008","Kilowatt-hours, million","163085",""
"EN","643","Russian Federation","01","EN01","Electricity - total nuclear production","2007","Kilowatt-hours, million","160039",""
"EN","643","Russian Federation","01","EN01","Electricity - total nuclear production","2006","Kilowatt-hours, million","156436",""
"EN","643","Russian Federation","01","EN01","Electricity - total nuclear production","2005","Kilowatt-hours, million","149446",""
"EN","643","Russian Federation","01","EN01","Electricity - total nuclear production","2004","Kilowatt-hours, million","144707",""
"EN","643","Russian Federation","01","EN01","Electricity - total nuclear production","2003","Kilowatt-hours, million","150342",""
"EN","643","Russian Federation","01","EN01","Electricity - total nuclear production","2002","Kilowatt-hours, million","141629",""
