Detail Data For Renewable Electricity Potential by Energy Source Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,EnergySource,EnergySourceType,YearValue,CapacityIdentified_MW
WR,MADHYA PRADESH,BIOMASS,RENEWABLE,2015,1364.000
WR,MADHYA PRADESH,SMALL HYDRO,RENEWABLE,2015,820.000
WR,MADHYA PRADESH,SOLAR,RENEWABLE,2015,61660.000
WR,MADHYA PRADESH,WASTE,RENEWABLE,2015,78.000
WR,MADHYA PRADESH,WIND,RENEWABLE,2016,10483.870
WR,MADHYA PRADESH,WIND,RENEWABLE,2020,15404.000
WR,MADHYA PRADESH,SMALL HYDRO,RENEWABLE,2019,820.000
WR,MADHYA PRADESH,BIOMASS,RENEWABLE,2019,1364.000
WR,MADHYA PRADESH,WASTE,RENEWABLE,2019,78.000
WR,MADHYA PRADESH,SOLAR,RENEWABLE,2019,61660.000
WR,MADHYA PRADESH,SMALL HYDRO,RENEWABLE,2020,820.000
WR,MADHYA PRADESH,BIOMASS,RENEWABLE,2020,1364.000
WR,MADHYA PRADESH,WASTE,RENEWABLE,2020,78.000
WR,MADHYA PRADESH,SOLAR,RENEWABLE,2020,61660.000
WR,MADHYA PRADESH,SMALL HYDRO,RENEWABLE,2017,820.000
WR,MADHYA PRADESH,BIOMASS,RENEWABLE,2017,1364.000
WR,MADHYA PRADESH,WASTE,RENEWABLE,2017,78.000
WR,MADHYA PRADESH,SOLAR,RENEWABLE,2017,61660.000
WR,MADHYA PRADESH,SMALL HYDRO,RENEWABLE,2018,820.000
WR,MADHYA PRADESH,BIOMASS,RENEWABLE,2018,1386.000
WR,MADHYA PRADESH,WASTE,RENEWABLE,2018,78.000
WR,MADHYA PRADESH,SOLAR,RENEWABLE,2018,61660.000
WR,CHHATTISGARH,BIOMASS,RENEWABLE,2015,236.000
WR,CHHATTISGARH,SMALL HYDRO,RENEWABLE,2015,1107.000
WR,CHHATTISGARH,SOLAR,RENEWABLE,2015,18270.000
WR,CHHATTISGARH,WASTE,RENEWABLE,2015,24.000
WR,CHHATTISGARH,WIND,RENEWABLE,2016,76.580
WR,CHHATTISGARH,WIND,RENEWABLE,2020,348.000
WR,CHHATTISGARH,SMALL HYDRO,RENEWABLE,2019,1107.000
WR,CHHATTISGARH,BIOMASS,RENEWABLE,2019,236.000
WR,CHHATTISGARH,WASTE,RENEWABLE,2019,24.000
WR,CHHATTISGARH,SOLAR,RENEWABLE,2019,18270.000
WR,CHHATTISGARH,SMALL HYDRO,RENEWABLE,2020,1098.000
WR,CHHATTISGARH,BIOMASS,RENEWABLE,2020,236.000
WR,CHHATTISGARH,WASTE,RENEWABLE,2020,24.000
WR,CHHATTISGARH,SOLAR,RENEWABLE,2020,18270.000
WR,CHHATTISGARH,SMALL HYDRO,RENEWABLE,2017,1107.000
WR,CHHATTISGARH,BIOMASS,RENEWABLE,2017,236.000
WR,CHHATTISGARH,WASTE,RENEWABLE,2017,24.000
WR,CHHATTISGARH,SOLAR,RENEWABLE,2017,18270.000
WR,CHHATTISGARH,SMALL HYDRO,RENEWABLE,2018,1098.000
WR,CHHATTISGARH,BIOMASS,RENEWABLE,2018,246.000
WR,CHHATTISGARH,COGENERATION-BAGASSE,RENEWABLE,2018,10.000
WR,CHHATTISGARH,WASTE,RENEWABLE,2018,24.000
NR,UTTAR PRADESH,BIOMASS,RENEWABLE,2015,1617.000
NR,UTTAR PRADESH,COGENERATION-BAGASSE,RENEWABLE,2015,1250.000
NR,UTTAR PRADESH,SMALL HYDRO,RENEWABLE,2015,461.000
NR,UTTAR PRADESH,SOLAR,RENEWABLE,2015,22830.000
NR,UTTAR PRADESH,WASTE,RENEWABLE,2015,176.000
NR,UTTAR PRADESH,WIND,RENEWABLE,2016,1260.000
NR,UTTAR PRADESH,WIND,RENEWABLE,2020,101.000
NR,UTTAR PRADESH,SMALL HYDRO,RENEWABLE,2019,461.000
NR,UTTAR PRADESH,BIOMASS,RENEWABLE,2019,1617.000
NR,UTTAR PRADESH,COGENERATION-BAGASSE,RENEWABLE,2019,1250.000
NR,UTTAR PRADESH,WASTE,RENEWABLE,2019,176.000
NR,UTTAR PRADESH,SOLAR,RENEWABLE,2019,22830.000
NR,UTTAR PRADESH,SMALL HYDRO,RENEWABLE,2020,460.750
NR,UTTAR PRADESH,BIOMASS,RENEWABLE,2020,1616.700
NR,UTTAR PRADESH,COGENERATION-BAGASSE,RENEWABLE,2020,1250.000
NR,UTTAR PRADESH,WASTE,RENEWABLE,2020,176.000
NR,UTTAR PRADESH,SOLAR,RENEWABLE,2020,22830.000
NR,UTTAR PRADESH,SMALL HYDRO,RENEWABLE,2017,461.000
NR,UTTAR PRADESH,BIOMASS,RENEWABLE,2017,1617.000
NR,UTTAR PRADESH,COGENERATION-BAGASSE,RENEWABLE,2017,1250.000
NR,UTTAR PRADESH,WASTE,RENEWABLE,2017,176.000
NR,UTTAR PRADESH,SOLAR,RENEWABLE,2017,22830.000
NR,UTTAR PRADESH,SMALL HYDRO,RENEWABLE,2018,461.000
NR,UTTAR PRADESH,BIOMASS,RENEWABLE,2018,1765.000
NR,UTTAR PRADESH,COGENERATION-BAGASSE,RENEWABLE,2018,2000.000
NR,UTTAR PRADESH,WASTE,RENEWABLE,2018,5.000
NR,UTTAR PRADESH,SOLAR,RENEWABLE,2018,22830.000
WR,MAHARASHTRA,BIOMASS,RENEWABLE,2015,1887.000
WR,MAHARASHTRA,COGENERATION-BAGASSE,RENEWABLE,2015,1250.000
WR,MAHARASHTRA,SMALL HYDRO,RENEWABLE,2015,794.000
WR,MAHARASHTRA,SOLAR,RENEWABLE,2015,64320.000
WR,MAHARASHTRA,WASTE,RENEWABLE,2015,287.000
WR,MAHARASHTRA,WIND,RENEWABLE,2016,45394.340
WR,MAHARASHTRA,WIND,RENEWABLE,2020,98213.000
WR,MAHARASHTRA,SMALL HYDRO,RENEWABLE,2019,794.000
WR,MAHARASHTRA,BIOMASS,RENEWABLE,2019,1887.000
WR,MAHARASHTRA,COGENERATION-BAGASSE,RENEWABLE,2019,1250.000
WR,MAHARASHTRA,WASTE,RENEWABLE,2019,287.000
WR,MAHARASHTRA,SOLAR,RENEWABLE,2019,64320.000
WR,MAHARASHTRA,SMALL HYDRO,RENEWABLE,2020,786.000
WR,MAHARASHTRA,BIOMASS,RENEWABLE,2020,1887.000
WR,MAHARASHTRA,COGENERATION-BAGASSE,RENEWABLE,2020,1250.000
WR,MAHARASHTRA,WASTE,RENEWABLE,2020,287.000
WR,MAHARASHTRA,SOLAR,RENEWABLE,2020,64320.000
WR,MAHARASHTRA,SMALL HYDRO,RENEWABLE,2017,794.000
WR,MAHARASHTRA,BIOMASS,RENEWABLE,2017,1887.000
WR,MAHARASHTRA,COGENERATION-BAGASSE,RENEWABLE,2017,1250.000
WR,MAHARASHTRA,WASTE,RENEWABLE,2017,287.000
WR,MAHARASHTRA,SOLAR,RENEWABLE,2017,64320.000
WR,MAHARASHTRA,SMALL HYDRO,RENEWABLE,2018,786.000
WR,MAHARASHTRA,BIOMASS,RENEWABLE,2018,1970.000
WR,MAHARASHTRA,COGENERATION-BAGASSE,RENEWABLE,2018,2200.000
WR,MAHARASHTRA,WASTE,RENEWABLE,2018,287.000
WR,MAHARASHTRA,SOLAR,RENEWABLE,2018,64.000
ER,ODISHA,BIOMASS,RENEWABLE,2015,246.000
ER,ODISHA,SMALL HYDRO,RENEWABLE,2015,295.000
ER,ODISHA,SOLAR,RENEWABLE,2015,25780.000
ER,ODISHA,WASTE,RENEWABLE,2015,22.000
ER,ODISHA,WIND,RENEWABLE,2016,3093.480
ER,ODISHA,WIND,RENEWABLE,2020,8346.000
ER,ODISHA,SMALL HYDRO,RENEWABLE,2019,295.000
ER,ODISHA,BIOMASS,RENEWABLE,2019,246.000
ER,ODISHA,WASTE,RENEWABLE,2019,22.000
ER,ODISHA,SOLAR,RENEWABLE,2019,25780.000
ER,ODISHA,SMALL HYDRO,RENEWABLE,2020,286.000
ER,ODISHA,BIOMASS,RENEWABLE,2020,246.000
ER,ODISHA,WASTE,RENEWABLE,2020,22.000
ER,ODISHA,SOLAR,RENEWABLE,2020,25780.000
ER,ODISHA,SMALL HYDRO,RENEWABLE,2017,295.000
ER,ODISHA,BIOMASS,RENEWABLE,2017,246.000
ER,ODISHA,WASTE,RENEWABLE,2017,22.000
ER,ODISHA,SOLAR,RENEWABLE,2017,25780.000
ER,ODISHA,SMALL HYDRO,RENEWABLE,2018,286.000
ER,ODISHA,BIOMASS,RENEWABLE,2018,433.000
ER,ODISHA,WASTE,RENEWABLE,2018,22.000
ER,ODISHA,SOLAR,RENEWABLE,2018,25780.000
SR,ANDHRA PRADESH,BIOMASS,RENEWABLE,2015,578.000
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,RENEWABLE,2015,300.000
SR,ANDHRA PRADESH,SMALL HYDRO,RENEWABLE,2015,978.000
SR,ANDHRA PRADESH,SOLAR,RENEWABLE,2015,38440.000
SR,ANDHRA PRADESH,WASTE,RENEWABLE,2015,123.000
SR,ANDHRA PRADESH,WIND,RENEWABLE,2016,44228.600
SR,ANDHRA PRADESH,WIND,RENEWABLE,2020,74906.000
SR,ANDHRA PRADESH,SMALL HYDRO,RENEWABLE,2019,978.000
SR,ANDHRA PRADESH,BIOMASS,RENEWABLE,2019,578.000
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,RENEWABLE,2019,300.000
SR,ANDHRA PRADESH,WASTE,RENEWABLE,2019,123.000
SR,ANDHRA PRADESH,SOLAR,RENEWABLE,2019,38440.000
SR,ANDHRA PRADESH,SMALL HYDRO,RENEWABLE,2020,409.000
SR,ANDHRA PRADESH,BIOMASS,RENEWABLE,2020,578.000
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,RENEWABLE,2020,300.000
SR,ANDHRA PRADESH,WASTE,RENEWABLE,2020,123.000
SR,ANDHRA PRADESH,SOLAR,RENEWABLE,2020,38440.000
SR,ANDHRA PRADESH,SMALL HYDRO,RENEWABLE,2017,978.000
SR,ANDHRA PRADESH,BIOMASS,RENEWABLE,2017,578.000
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,RENEWABLE,2017,300.000
SR,ANDHRA PRADESH,WASTE,RENEWABLE,2017,123.000
SR,ANDHRA PRADESH,SOLAR,RENEWABLE,2017,38440.000
SR,ANDHRA PRADESH,SMALL HYDRO,RENEWABLE,2018,409.000
SR,ANDHRA PRADESH,BIOMASS,RENEWABLE,2018,738.000
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,RENEWABLE,2018,250.000
SR,ANDHRA PRADESH,WASTE,RENEWABLE,2018,123.000
SR,ANDHRA PRADESH,SOLAR,RENEWABLE,2018,3840.000
SR,TELANGANA,SOLAR,RENEWABLE,2015,20410.000
SR,TELANGANA,WIND,RENEWABLE,2016,4244.290
SR,TELANGANA,WIND,RENEWABLE,2020,24835.000
SR,TELANGANA,SOLAR,RENEWABLE,2019,20410.000
SR,TELANGANA,SMALL HYDRO,RENEWABLE,2020,102.000
SR,TELANGANA,SOLAR,RENEWABLE,2020,20410.000
SR,TELANGANA,SOLAR,RENEWABLE,2017,20410.000
SR,TELANGANA,SMALL HYDRO,RENEWABLE,2018,102.000
SR,TELANGANA,COGENERATION-BAGASSE,RENEWABLE,2018,100.000
SR,TELANGANA,WASTE,RENEWABLE,2018,2.000
SR,TELANGANA,SOLAR,RENEWABLE,2018,20410.000
ER,SIKKIM,BIOMASS,RENEWABLE,2015,2.000
ER,SIKKIM,SMALL HYDRO,RENEWABLE,2015,267.000
ER,SIKKIM,SOLAR,RENEWABLE,2015,4940.000
ER,SIKKIM,WIND,RENEWABLE,2016,98.000
ER,SIKKIM,SMALL HYDRO,RENEWABLE,2019,267.000
ER,SIKKIM,BIOMASS,RENEWABLE,2019,2.000
ER,SIKKIM,SOLAR,RENEWABLE,2019,4940.000
ER,SIKKIM,SMALL HYDRO,RENEWABLE,2020,267.000
ER,SIKKIM,BIOMASS,RENEWABLE,2020,2.000
ER,SIKKIM,SOLAR,RENEWABLE,2020,4940.000
ER,SIKKIM,SMALL HYDRO,RENEWABLE,2017,267.000
ER,SIKKIM,BIOMASS,RENEWABLE,2017,2.000
ER,SIKKIM,SOLAR,RENEWABLE,2017,4940.000
ER,SIKKIM,SMALL HYDRO,RENEWABLE,2018,267.000
ER,SIKKIM,BIOMASS,RENEWABLE,2018,2.000
ER,SIKKIM,SOLAR,RENEWABLE,2018,4940.000
NER,ASSAM,BIOMASS,RENEWABLE,2015,212.000
NER,ASSAM,SMALL HYDRO,RENEWABLE,2015,239.000
NER,ASSAM,SOLAR,RENEWABLE,2015,13760.000
NER,ASSAM,WASTE,RENEWABLE,2015,8.000
NER,ASSAM,WIND,RENEWABLE,2016,112.000
NER,ASSAM,WIND,RENEWABLE,2020,246.000
NER,ASSAM,SMALL HYDRO,RENEWABLE,2019,239.000
NER,ASSAM,BIOMASS,RENEWABLE,2019,212.000
NER,ASSAM,WASTE,RENEWABLE,2019,8.000
NER,ASSAM,SOLAR,RENEWABLE,2019,13760.000
NER,ASSAM,SMALL HYDRO,RENEWABLE,2020,202.000
NER,ASSAM,BIOMASS,RENEWABLE,2020,212.000
NER,ASSAM,WASTE,RENEWABLE,2020,8.000
NER,ASSAM,SOLAR,RENEWABLE,2020,13760.000
NER,ASSAM,SMALL HYDRO,RENEWABLE,2017,239.000
NER,ASSAM,BIOMASS,RENEWABLE,2017,212.000
NER,ASSAM,WASTE,RENEWABLE,2017,8.000
NER,ASSAM,SOLAR,RENEWABLE,2017,13760.000
NER,ASSAM,SMALL HYDRO,RENEWABLE,2018,202.000
NER,ASSAM,BIOMASS,RENEWABLE,2018,279.000
NER,ASSAM,WASTE,RENEWABLE,2018,8.000
NER,ASSAM,SOLAR,RENEWABLE,2018,13760.000
NER,ARUNACHAL PRADESH,BIOMASS,RENEWABLE,2015,8.000
NER,ARUNACHAL PRADESH,SMALL HYDRO,RENEWABLE,2015,1341.000
NER,ARUNACHAL PRADESH,SOLAR,RENEWABLE,2015,8650.000
NER,ARUNACHAL PRADESH,WIND,RENEWABLE,2016,236.000
NER,ARUNACHAL PRADESH,WIND,RENEWABLE,2020,274.000
NER,ARUNACHAL PRADESH,SMALL HYDRO,RENEWABLE,2019,1341.000
NER,ARUNACHAL PRADESH,BIOMASS,RENEWABLE,2019,8.000
NER,ARUNACHAL PRADESH,SOLAR,RENEWABLE,2019,8650.000
NER,ARUNACHAL PRADESH,SMALL HYDRO,RENEWABLE,2020,2065.000
NER,ARUNACHAL PRADESH,BIOMASS,RENEWABLE,2020,8.000
NER,ARUNACHAL PRADESH,SOLAR,RENEWABLE,2020,8650.000
NER,ARUNACHAL PRADESH,SMALL HYDRO,RENEWABLE,2017,1341.000
NER,ARUNACHAL PRADESH,BIOMASS,RENEWABLE,2017,8.000
NER,ARUNACHAL PRADESH,SOLAR,RENEWABLE,2017,8650.000
NER,ARUNACHAL PRADESH,SMALL HYDRO,RENEWABLE,2018,2065.000
NER,ARUNACHAL PRADESH,BIOMASS,RENEWABLE,2018,9.000
NER,ARUNACHAL PRADESH,SOLAR,RENEWABLE,2018,8650.000
NER,MEGHALAYA,BIOMASS,RENEWABLE,2015,11.000
NER,MEGHALAYA,SMALL HYDRO,RENEWABLE,2015,230.000
NER,MEGHALAYA,SOLAR,RENEWABLE,2015,5860.000
NER,MEGHALAYA,WASTE,RENEWABLE,2015,2.000
NER,MEGHALAYA,WIND,RENEWABLE,2016,82.000
NER,MEGHALAYA,WIND,RENEWABLE,2020,1.000
NER,MEGHALAYA,SMALL HYDRO,RENEWABLE,2019,230.000
NER,MEGHALAYA,BIOMASS,RENEWABLE,2019,11.000
NER,MEGHALAYA,WASTE,RENEWABLE,2019,2.000
NER,MEGHALAYA,SOLAR,RENEWABLE,2019,5860.000
NER,MEGHALAYA,SMALL HYDRO,RENEWABLE,2020,230.000
NER,MEGHALAYA,BIOMASS,RENEWABLE,2020,11.000
NER,MEGHALAYA,WASTE,RENEWABLE,2020,2.000
NER,MEGHALAYA,SOLAR,RENEWABLE,2020,5860.000
NER,MEGHALAYA,SMALL HYDRO,RENEWABLE,2017,230.000
NER,MEGHALAYA,BIOMASS,RENEWABLE,2017,11.000
NER,MEGHALAYA,WASTE,RENEWABLE,2017,2.000
NER,MEGHALAYA,SOLAR,RENEWABLE,2017,5860.000
NER,MEGHALAYA,SMALL HYDRO,RENEWABLE,2018,230.000
NER,MEGHALAYA,BIOMASS,RENEWABLE,2018,11.000
NER,MEGHALAYA,WASTE,RENEWABLE,2018,2.000
NER,MEGHALAYA,SOLAR,RENEWABLE,2018,5860.000
NER,NAGALAND,BIOMASS,RENEWABLE,2015,10.000
NER,NAGALAND,SMALL HYDRO,RENEWABLE,2015,197.000
NER,NAGALAND,SOLAR,RENEWABLE,2015,7290.000
NER,NAGALAND,WIND,RENEWABLE,2016,16.000
NER,NAGALAND,SMALL HYDRO,RENEWABLE,2019,197.000
NER,NAGALAND,BIOMASS,RENEWABLE,2019,10.000
NER,NAGALAND,SOLAR,RENEWABLE,2019,7290.000
NER,NAGALAND,SMALL HYDRO,RENEWABLE,2020,182.000
NER,NAGALAND,BIOMASS,RENEWABLE,2020,10.000
NER,NAGALAND,SOLAR,RENEWABLE,2020,7290.000
NER,NAGALAND,SMALL HYDRO,RENEWABLE,2017,197.000
NER,NAGALAND,BIOMASS,RENEWABLE,2017,10.000
NER,NAGALAND,SOLAR,RENEWABLE,2017,7290.000
NER,NAGALAND,SMALL HYDRO,RENEWABLE,2018,182.000
NER,NAGALAND,BIOMASS,RENEWABLE,2018,10.000
NER,NAGALAND,SOLAR,RENEWABLE,2018,7290.000
WR,GUJARAT,BIOMASS,RENEWABLE,2015,1221.000
WR,GUJARAT,COGENERATION-BAGASSE,RENEWABLE,2015,350.000
WR,GUJARAT,SMALL HYDRO,RENEWABLE,2015,202.000
WR,GUJARAT,SOLAR,RENEWABLE,2015,35770.000
WR,GUJARAT,WASTE,RENEWABLE,2015,112.000
WR,GUJARAT,WIND,RENEWABLE,2016,84430.510
WR,GUJARAT,WIND,RENEWABLE,2020,142560.000
WR,GUJARAT,SMALL HYDRO,RENEWABLE,2019,202.000
WR,GUJARAT,BIOMASS,RENEWABLE,2019,1221.000
WR,GUJARAT,COGENERATION-BAGASSE,RENEWABLE,2019,350.000
WR,GUJARAT,WASTE,RENEWABLE,2019,112.000
WR,GUJARAT,SOLAR,RENEWABLE,2019,35770.000
WR,GUJARAT,SMALL HYDRO,RENEWABLE,2020,202.000
WR,GUJARAT,BIOMASS,RENEWABLE,2020,1221.000
WR,GUJARAT,COGENERATION-BAGASSE,RENEWABLE,2020,350.000
WR,GUJARAT,WASTE,RENEWABLE,2020,112.000
WR,GUJARAT,SOLAR,RENEWABLE,2020,35770.000
WR,GUJARAT,SMALL HYDRO,RENEWABLE,2017,202.000
WR,GUJARAT,BIOMASS,RENEWABLE,2017,1221.000
WR,GUJARAT,COGENERATION-BAGASSE,RENEWABLE,2017,350.000
WR,GUJARAT,WASTE,RENEWABLE,2017,112.000
WR,GUJARAT,SOLAR,RENEWABLE,2017,35770.000
WR,GUJARAT,SMALL HYDRO,RENEWABLE,2018,202.000
WR,GUJARAT,BIOMASS,RENEWABLE,2018,1226.000
WR,GUJARAT,COGENERATION-BAGASSE,RENEWABLE,2018,50.000
WR,GUJARAT,WASTE,RENEWABLE,2018,112.000
WR,GUJARAT,SOLAR,RENEWABLE,2018,35770.000
NR,JAMMU & KASHMIR,BIOMASS,RENEWABLE,2015,43.000
NR,JAMMU & KASHMIR,SMALL HYDRO,RENEWABLE,2015,1431.000
NR,JAMMU & KASHMIR,SOLAR,RENEWABLE,2015,111050.000
NR,JAMMU & KASHMIR,WIND,RENEWABLE,2016,5685.000
NR,JAMMU & KASHMIR,WIND,RENEWABLE,2020,3.000
NR,JAMMU & KASHMIR,SMALL HYDRO,RENEWABLE,2019,1431.000
NR,JAMMU & KASHMIR,BIOMASS,RENEWABLE,2019,43.000
NR,JAMMU & KASHMIR,SOLAR,RENEWABLE,2019,111050.000
NR,JAMMU & KASHMIR,SMALL HYDRO,RENEWABLE,2020,1707.000
NR,JAMMU & KASHMIR,BIOMASS,RENEWABLE,2020,43.000
NR,JAMMU & KASHMIR,SOLAR,RENEWABLE,2020,111050.000
NR,JAMMU & KASHMIR,SMALL HYDRO,RENEWABLE,2017,1431.000
NR,JAMMU & KASHMIR,BIOMASS,RENEWABLE,2017,43.000
NR,JAMMU & KASHMIR,SOLAR,RENEWABLE,2017,111050.000
NR,JAMMU & KASHMIR,SMALL HYDRO,RENEWABLE,2018,1707.000
NR,JAMMU & KASHMIR,BIOMASS,RENEWABLE,2018,43.000
NR,JAMMU & KASHMIR,SOLAR,RENEWABLE,2018,111050.000
SR,KERALA,BIOMASS,RENEWABLE,2015,1044.000
SR,KERALA,SMALL HYDRO,RENEWABLE,2015,704.000
SR,KERALA,SOLAR,RENEWABLE,2015,6110.000
SR,KERALA,WASTE,RENEWABLE,2015,36.000
SR,KERALA,WIND,RENEWABLE,2016,1699.570
SR,KERALA,WIND,RENEWABLE,2020,2311.000
SR,KERALA,SMALL HYDRO,RENEWABLE,2019,704.000
SR,KERALA,BIOMASS,RENEWABLE,2019,1044.000
SR,KERALA,WASTE,RENEWABLE,2019,36.000
SR,KERALA,SOLAR,RENEWABLE,2019,6110.000
SR,KERALA,SMALL HYDRO,RENEWABLE,2020,647.000
SR,KERALA,BIOMASS,RENEWABLE,2020,1044.000
