Detail Data For Renewable Electricity Capacity by Energy Source Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,EnergySource,YearValue,Capacity,Capacity_MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2013,16.000,MW
WR,MADHYA PRADESH,WASTE,2013,3.900,MW
WR,MADHYA PRADESH,SOLAR,2013,37.315,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2014,86.160,MW
WR,MADHYA PRADESH,WIND,2014,423.400,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2014,26.000,MW
WR,MADHYA PRADESH,WASTE,2014,3.900,MW
WR,MADHYA PRADESH,SOLAR,2014,347.170,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2017,86.160,MW
WR,MADHYA PRADESH,WIND,2017,2497.790,MW
WR,MADHYA PRADESH,WASTE,2017,3.900,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2017,93.000,MW
WR,MADHYA PRADESH,SOLAR,2017,857.040,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2018,86.160,MW
WR,MADHYA PRADESH,WIND,2018,2519.890,MW
WR,MADHYA PRADESH,WASTE,2018,15.400,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2018,93.000,MW
WR,MADHYA PRADESH,SOLAR,2018,1305.350,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2019,95.910,MW
WR,MADHYA PRADESH,WIND,2019,2519.890,MW
WR,MADHYA PRADESH,WASTE,2019,15.400,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2019,93.000,MW
WR,MADHYA PRADESH,SOLAR,2019,1840.160,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2020,95.910,MW
WR,MADHYA PRADESH,WIND,2020,2519.890,MW
WR,MADHYA PRADESH,WASTE,2020,15.400,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2020,105.350,MW
WR,MADHYA PRADESH,SOLAR,2020,2258.460,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2015,86.160,MW
WR,MADHYA PRADESH,WIND,2015,879.690,MW
WR,MADHYA PRADESH,WASTE,2015,3.900,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2015,68.000,MW
WR,MADHYA PRADESH,SOLAR,2015,558.580,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2016,86.160,MW
WR,MADHYA PRADESH,WIND,2016,2141.090,MW
WR,MADHYA PRADESH,WASTE,2016,3.900,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2016,93.000,MW
WR,MADHYA PRADESH,SOLAR,2016,776.370,MWP
WR,CHHATTISGARH,SMALL HYDRO,2008,18.050,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2008,146.300,MW
WR,CHHATTISGARH,SMALL HYDRO,2009,18.050,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2009,156.100,MW
WR,CHHATTISGARH,SMALL HYDRO,2010,19.050,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2010,199.900,MW
WR,CHHATTISGARH,SMALL HYDRO,2011,19.050,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2011,231.900,MW
WR,CHHATTISGARH,SMALL HYDRO,2012,20.250,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2012,249.900,MW
WR,CHHATTISGARH,SOLAR,2012,4.000,MWP
WR,CHHATTISGARH,SMALL HYDRO,2013,52.000,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2013,249.900,MW
WR,CHHATTISGARH,SOLAR,2013,4.000,MWP
WR,CHHATTISGARH,SMALL HYDRO,2014,52.000,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2014,264.900,MW
WR,CHHATTISGARH,SOLAR,2014,7.100,MWP
WR,CHHATTISGARH,SMALL HYDRO,2017,76.000,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2017,228.000,MW
WR,CHHATTISGARH,SOLAR,2017,128.860,MWP
WR,CHHATTISGARH,SMALL HYDRO,2018,76.000,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2018,228.000,MW
WR,CHHATTISGARH,SOLAR,2018,231.350,MWP
WR,CHHATTISGARH,SMALL HYDRO,2019,76.000,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2019,228.000,MW
WR,CHHATTISGARH,SOLAR,2019,231.350,MWP
WR,CHHATTISGARH,SMALL HYDRO,2020,76.000,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2020,244.500,MW
WR,CHHATTISGARH,SOLAR,2020,231.350,MWP
WR,CHHATTISGARH,SMALL HYDRO,2015,52.000,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2015,218.000,MW
WR,CHHATTISGARH,SOLAR,2015,7.600,MWP
WR,CHHATTISGARH,SMALL HYDRO,2016,52.000,MW
WR,CHHATTISGARH,COGENERATION-BAGASSE,2016,228.000,MW
WR,CHHATTISGARH,SOLAR,2016,93.580,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2008,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2008,200.500,MW
NR,UTTAR PRADESH,WASTE,2008,5.000,MW
NR,UTTAR PRADESH,SOLAR,2008,0.380,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2009,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2009,372.500,MW
NR,UTTAR PRADESH,WASTE,2009,5.000,MW
NR,UTTAR PRADESH,SOLAR,2009,0.380,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2010,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2010,567.000,MW
NR,UTTAR PRADESH,WASTE,2010,5.000,MW
NR,UTTAR PRADESH,SOLAR,2010,0.380,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2011,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2011,592.500,MW
NR,UTTAR PRADESH,WASTE,2011,5.000,MW
NR,UTTAR PRADESH,SOLAR,2011,0.380,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2012,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2012,644.500,MW
NR,UTTAR PRADESH,WASTE,2012,5.000,MW
NR,UTTAR PRADESH,SOLAR,2012,12.380,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2013,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2013,776.500,MW
NR,UTTAR PRADESH,WASTE,2013,5.000,MW
NR,UTTAR PRADESH,SOLAR,2013,17.375,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2014,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2014,776.500,MW
NR,UTTAR PRADESH,WASTE,2014,5.000,MW
NR,UTTAR PRADESH,SOLAR,2014,21.080,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2017,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2017,1933.000,MW
NR,UTTAR PRADESH,SOLAR,2017,336.730,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2018,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2018,1957.500,MW
NR,UTTAR PRADESH,SOLAR,2018,694.410,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2019,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2019,1957.500,MW
NR,UTTAR PRADESH,SOLAR,2019,960.100,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2020,25.100,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2020,2115.510,MW
NR,UTTAR PRADESH,SOLAR,2020,1095.100,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2015,25.100,MW
NR,UTTAR PRADESH,WASTE,2015,5.000,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2015,1872.150,MW
NR,UTTAR PRADESH,SOLAR,2015,71.260,MWP
NR,UTTAR PRADESH,SMALL HYDRO,2016,25.100,MW
NR,UTTAR PRADESH,WASTE,2016,5.000,MW
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2016,1933.000,MW
NR,UTTAR PRADESH,SOLAR,2016,143.495,MWP
WR,MAHARASHTRA,SMALL HYDRO,2008,211.330,MW
WR,MAHARASHTRA,WIND,2008,1755.900,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2008,114.000,MW
WR,MAHARASHTRA,WASTE,2008,1.000,MW
WR,MAHARASHTRA,SMALL HYDRO,2009,211.330,MW
WR,MAHARASHTRA,WIND,2009,1938.900,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2009,185.500,MW
WR,MAHARASHTRA,WASTE,2009,1.000,MW
WR,MAHARASHTRA,SMALL HYDRO,2010,245.330,MW
WR,MAHARASHTRA,WIND,2010,2077.750,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2010,218.500,MW
WR,MAHARASHTRA,WASTE,2010,5.700,MW
WR,MAHARASHTRA,SMALL HYDRO,2011,275.130,MW
WR,MAHARASHTRA,WIND,2011,2316.750,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2011,403.000,MW
WR,MAHARASHTRA,WASTE,2011,5.720,MW
WR,MAHARASHTRA,SOLAR,2011,4.000,MWP
WR,MAHARASHTRA,SMALL HYDRO,2012,281.330,MW
WR,MAHARASHTRA,WIND,2012,2733.300,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2012,603.700,MW
WR,MAHARASHTRA,WASTE,2012,5.720,MW
WR,MAHARASHTRA,SOLAR,2012,20.000,MWP
WR,MAHARASHTRA,SMALL HYDRO,2013,299.925,MW
WR,MAHARASHTRA,WIND,2013,3021.850,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2013,756.900,MW
WR,MAHARASHTRA,WASTE,2013,9.720,MW
WR,MAHARASHTRA,SOLAR,2013,100.000,MWP
WR,MAHARASHTRA,SMALL HYDRO,2014,327.430,MW
WR,MAHARASHTRA,WIND,2014,4100.400,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2014,940.400,MW
WR,MAHARASHTRA,WASTE,2014,12.720,MW
WR,MAHARASHTRA,SOLAR,2014,249.250,MWP
WR,MAHARASHTRA,SMALL HYDRO,2017,346.175,MW
WR,MAHARASHTRA,WIND,2017,4771.330,MW
WR,MAHARASHTRA,WASTE,2017,12.720,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2017,2065.000,MW
WR,MAHARASHTRA,SOLAR,2017,452.370,MWP
WR,MAHARASHTRA,SMALL HYDRO,2018,373.180,MW
WR,MAHARASHTRA,WIND,2018,4783.930,MW
WR,MAHARASHTRA,WASTE,2018,12.590,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2018,2170.000,MW
WR,MAHARASHTRA,SOLAR,2018,1239.180,MWP
WR,MAHARASHTRA,SMALL HYDRO,2019,375.570,MW
WR,MAHARASHTRA,WIND,2019,4794.130,MW
WR,MAHARASHTRA,WASTE,2019,12.590,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2019,2499.700,MW
WR,MAHARASHTRA,SOLAR,2019,1633.540,MWP
WR,MAHARASHTRA,SMALL HYDRO,2020,379.575,MW
WR,MAHARASHTRA,WIND,2020,5000.330,MW
WR,MAHARASHTRA,WASTE,2020,12.590,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2020,2516.100,MW
WR,MAHARASHTRA,SOLAR,2020,1801.800,MWP
WR,MAHARASHTRA,SMALL HYDRO,2015,335.430,MW
WR,MAHARASHTRA,WIND,2015,4445.930,MW
WR,MAHARASHTRA,WASTE,2015,12.720,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2015,1833.000,MW
WR,MAHARASHTRA,SOLAR,2015,360.750,MWP
WR,MAHARASHTRA,SMALL HYDRO,2016,339.875,MW
WR,MAHARASHTRA,WIND,2016,4653.780,MW
WR,MAHARASHTRA,WASTE,2016,12.720,MW
WR,MAHARASHTRA,COGENERATION-BAGASSE,2016,1967.000,MW
WR,MAHARASHTRA,SOLAR,2016,385.756,MWP
ER,ODISHA,SMALL HYDRO,2008,32.300,MW
ER,ODISHA,WIND,2008,3.200,MW
ER,ODISHA,SMALL HYDRO,2009,44.300,MW
ER,ODISHA,WIND,2009,3.200,MW
ER,ODISHA,SMALL HYDRO,2010,64.300,MW
ER,ODISHA,SMALL HYDRO,2011,64.300,MW
ER,ODISHA,SMALL HYDRO,2012,64.300,MW
ER,ODISHA,COGENERATION-BAGASSE,2012,20.000,MW
ER,ODISHA,SOLAR,2012,13.000,MWP
ER,ODISHA,SMALL HYDRO,2013,64.300,MW
ER,ODISHA,COGENERATION-BAGASSE,2013,20.000,MW
ER,ODISHA,SOLAR,2013,13.000,MWP
ER,ODISHA,SMALL HYDRO,2014,64.630,MW
ER,ODISHA,COGENERATION-BAGASSE,2014,20.000,MW
ER,ODISHA,SOLAR,2014,30.500,MWP
ER,ODISHA,SMALL HYDRO,2017,64.625,MW
ER,ODISHA,COGENERATION-BAGASSE,2017,50.400,MW
ER,ODISHA,SOLAR,2017,79.420,MWP
ER,ODISHA,SMALL HYDRO,2018,64.630,MW
ER,ODISHA,COGENERATION-BAGASSE,2018,50.400,MW
ER,ODISHA,SOLAR,2018,79.570,MWP
ER,ODISHA,SMALL HYDRO,2019,64.625,MW
ER,ODISHA,COGENERATION-BAGASSE,2019,50.400,MW
ER,ODISHA,SOLAR,2019,394.730,MWP
ER,ODISHA,SMALL HYDRO,2020,64.625,MW
ER,ODISHA,COGENERATION-BAGASSE,2020,59.220,MW
ER,ODISHA,SOLAR,2020,397.840,MWP
ER,ODISHA,SMALL HYDRO,2015,64.625,MW
ER,ODISHA,COGENERATION-BAGASSE,2015,50.400,MW
ER,ODISHA,SOLAR,2015,31.760,MWP
ER,ODISHA,SMALL HYDRO,2016,64.625,MW
ER,ODISHA,COGENERATION-BAGASSE,2016,50.400,MW
ER,ODISHA,SOLAR,2016,66.920,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2008,180.830,MW
SR,ANDHRA PRADESH,WIND,2008,122.500,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2008,334.250,MW
SR,ANDHRA PRADESH,WASTE,2008,32.000,MW
SR,ANDHRA PRADESH,SOLAR,2008,0.100,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2009,180.830,MW
SR,ANDHRA PRADESH,WIND,2009,122.500,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2009,343.550,MW
SR,ANDHRA PRADESH,WASTE,2009,35.250,MW
SR,ANDHRA PRADESH,SOLAR,2009,0.100,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2010,186.830,MW
SR,ANDHRA PRADESH,WIND,2010,136.100,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2010,363.250,MW
SR,ANDHRA PRADESH,WASTE,2010,35.660,MW
SR,ANDHRA PRADESH,SOLAR,2010,0.100,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2011,191.430,MW
SR,ANDHRA PRADESH,WIND,2011,191.500,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2011,363.250,MW
SR,ANDHRA PRADESH,WASTE,2011,43.160,MW
SR,ANDHRA PRADESH,SOLAR,2011,2.100,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2012,217.830,MW
SR,ANDHRA PRADESH,WIND,2012,245.550,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2012,363.250,MW
SR,ANDHRA PRADESH,WASTE,2012,43.160,MW
SR,ANDHRA PRADESH,SOLAR,2012,21.750,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2013,219.030,MW
SR,ANDHRA PRADESH,WIND,2013,447.650,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2013,380.750,MW
SR,ANDHRA PRADESH,WASTE,2013,43.160,MW
SR,ANDHRA PRADESH,SOLAR,2013,23.350,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2014,221.030,MW
SR,ANDHRA PRADESH,WIND,2014,746.200,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2014,380.750,MW
SR,ANDHRA PRADESH,WASTE,2014,50.660,MW
SR,ANDHRA PRADESH,SOLAR,2014,131.840,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2017,241.980,MW
SR,ANDHRA PRADESH,WIND,2017,3618.850,MW
SR,ANDHRA PRADESH,WASTE,2017,58.160,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2017,378.200,MW
SR,ANDHRA PRADESH,SOLAR,2017,1867.230,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2018,162.110,MW
SR,ANDHRA PRADESH,WIND,2018,3966.950,MW
SR,ANDHRA PRADESH,WASTE,2018,23.160,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2018,378.200,MW
SR,ANDHRA PRADESH,SOLAR,2018,2195.460,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2019,162.110,MW
SR,ANDHRA PRADESH,WIND,2019,4090.450,MW
SR,ANDHRA PRADESH,WASTE,2019,23.160,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2019,378.200,MW
SR,ANDHRA PRADESH,SOLAR,2019,3085.680,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2020,162.110,MW
SR,ANDHRA PRADESH,WIND,2020,4092.450,MW
SR,ANDHRA PRADESH,WASTE,2020,23.160,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2020,477.180,MW
SR,ANDHRA PRADESH,SOLAR,2020,3610.020,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2015,223.230,MW
SR,ANDHRA PRADESH,WIND,2015,1031.300,MW
SR,ANDHRA PRADESH,WASTE,2015,50.660,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2015,378.200,MW
SR,ANDHRA PRADESH,SOLAR,2015,242.860,MWP
SR,ANDHRA PRADESH,SMALL HYDRO,2016,232.980,MW
SR,ANDHRA PRADESH,WIND,2016,1431.400,MW
SR,ANDHRA PRADESH,WASTE,2016,50.660,MW
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2016,378.200,MW
SR,ANDHRA PRADESH,SOLAR,2016,572.960,MWP
SR,TELANGANA,SMALL HYDRO,2017,0.000,MW
SR,TELANGANA,WIND,2017,100.800,MW
SR,TELANGANA,WASTE,2017,5.000,MW
SR,TELANGANA,COGENERATION-BAGASSE,2017,158.100,MW
SR,TELANGANA,SOLAR,2017,1286.980,MWP
SR,TELANGANA,SMALL HYDRO,2018,90.870,MW
SR,TELANGANA,WIND,2018,100.800,MW
SR,TELANGANA,WASTE,2018,18.500,MW
SR,TELANGANA,COGENERATION-BAGASSE,2018,158.100,MW
SR,TELANGANA,SOLAR,2018,3291.250,MWP
SR,TELANGANA,SMALL HYDRO,2019,90.870,MW
