StateName,Pincode,DistrictLGDCode0,DistrictLGDCode1,DistrictLGDCode2,DistrictLGDCode3,DistrictLGDCode4,PincodeDCID
ANDHRA PRADESH,505187,521,,,,,pincode/505187
ANDHRA PRADESH,505325,506,,,,,pincode/505325
ANDHRA PRADESH,505503,521,,,,,pincode/505503
ANDHRA PRADESH,505525,521,,,,,pincode/505525
ANDHRA PRADESH,506003,517,,,,,pincode/506003
ANDHRA PRADESH,509132,510,,,,,pincode/509132
ANDHRA PRADESH,509324,521,,,,,pincode/509324
ANDHRA PRADESH,515001,502,,,,,pincode/515001
ANDHRA PRADESH,515002,502,,,,,pincode/515002
ANDHRA PRADESH,515003,502,,,,,pincode/515003
ANDHRA PRADESH,515004,502,,,,,pincode/515004
ANDHRA PRADESH,515005,502,,,,,pincode/515005
ANDHRA PRADESH,515101,502,,,,,pincode/515101
ANDHRA PRADESH,515110,502,,,,,pincode/515110
ANDHRA PRADESH,515122,502,,,,,pincode/515122
ANDHRA PRADESH,515123,502,,,,,pincode/515123
ANDHRA PRADESH,515124,502,,,,,pincode/515124
ANDHRA PRADESH,515133,502,,,,,pincode/515133
ANDHRA PRADESH,515134,502,,,,,pincode/515134
ANDHRA PRADESH,515144,502,,,,,pincode/515144
ANDHRA PRADESH,515154,502,,,,,pincode/515154
ANDHRA PRADESH,515159,502,,,,,pincode/515159
ANDHRA PRADESH,515164,502,,,,,pincode/515164
ANDHRA PRADESH,515201,502,,,,,pincode/515201
ANDHRA PRADESH,515202,502,,,,,pincode/515202
ANDHRA PRADESH,515211,502,,,,,pincode/515211
ANDHRA PRADESH,515212,502,,,,,pincode/515212
ANDHRA PRADESH,515231,502,,,,,pincode/515231
ANDHRA PRADESH,515241,502,,,,,pincode/515241
ANDHRA PRADESH,515261,502,,,,,pincode/515261
ANDHRA PRADESH,515271,502,,,,,pincode/515271
ANDHRA PRADESH,515281,502,,,,,pincode/515281
ANDHRA PRADESH,515286,502,,,,,pincode/515286
ANDHRA PRADESH,515291,502,,,,,pincode/515291
ANDHRA PRADESH,515301,502,,,,,pincode/515301
ANDHRA PRADESH,515303,502,,,,,pincode/515303
ANDHRA PRADESH,515305,502,,,,,pincode/515305
ANDHRA PRADESH,515311,502,,,,,pincode/515311
ANDHRA PRADESH,515321,502,,,,,pincode/515321
ANDHRA PRADESH,515331,502,,,,,pincode/515331
ANDHRA PRADESH,515341,502,,,,,pincode/515341
ANDHRA PRADESH,515401,502,,,,,pincode/515401
ANDHRA PRADESH,515402,502,,,,,pincode/515402
ANDHRA PRADESH,515405,502,,,,,pincode/515405
ANDHRA PRADESH,515408,502,,,,,pincode/515408
ANDHRA PRADESH,515411,502,,,,,pincode/515411
ANDHRA PRADESH,515413,502,,,,,pincode/515413
ANDHRA PRADESH,515414,502,,,,,pincode/515414
ANDHRA PRADESH,515415,502,,,,,pincode/515415
ANDHRA PRADESH,515425,502,,,,,pincode/515425
ANDHRA PRADESH,515435,502,,,,,pincode/515435
ANDHRA PRADESH,515445,502,,,,,pincode/515445
ANDHRA PRADESH,515455,502,,,,,pincode/515455
ANDHRA PRADESH,515465,502,504,,,,pincode/515465
ANDHRA PRADESH,515501,502,,,,,pincode/515501
ANDHRA PRADESH,515511,502,,,,,pincode/515511
ANDHRA PRADESH,515521,502,,,,,pincode/515521
ANDHRA PRADESH,515531,502,,,,,pincode/515531
ANDHRA PRADESH,515541,502,,,,,pincode/515541
ANDHRA PRADESH,515551,502,,,,,pincode/515551
ANDHRA PRADESH,515556,502,,,,,pincode/515556
ANDHRA PRADESH,515561,502,,,,,pincode/515561
ANDHRA PRADESH,515571,502,,,,,pincode/515571
ANDHRA PRADESH,515581,502,,,,,pincode/515581
ANDHRA PRADESH,515591,502,,,,,pincode/515591
ANDHRA PRADESH,515601,502,,,,,pincode/515601
ANDHRA PRADESH,515611,502,,,,,pincode/515611
ANDHRA PRADESH,515621,502,,,,,pincode/515621
ANDHRA PRADESH,515631,502,,,,,pincode/515631
ANDHRA PRADESH,515641,502,,,,,pincode/515641
ANDHRA PRADESH,515651,502,,,,,pincode/515651
ANDHRA PRADESH,515661,502,,,,,pincode/515661
ANDHRA PRADESH,515671,502,,,,,pincode/515671
ANDHRA PRADESH,515672,502,,,,,pincode/515672
ANDHRA PRADESH,515701,502,,,,,pincode/515701
ANDHRA PRADESH,515711,502,,,,,pincode/515711
ANDHRA PRADESH,515721,502,,,,,pincode/515721
ANDHRA PRADESH,515722,502,,,,,pincode/515722
ANDHRA PRADESH,515731,502,,,,,pincode/515731
ANDHRA PRADESH,515741,502,,,,,pincode/515741
ANDHRA PRADESH,515751,502,,,,,pincode/515751
ANDHRA PRADESH,515761,502,,,,,pincode/515761
ANDHRA PRADESH,515763,502,,,,,pincode/515763
ANDHRA PRADESH,515765,502,,,,,pincode/515765
ANDHRA PRADESH,515766,502,,,,,pincode/515766
ANDHRA PRADESH,515767,502,,,,,pincode/515767
ANDHRA PRADESH,515774,502,,,,,pincode/515774
ANDHRA PRADESH,515775,502,,,,,pincode/515775
ANDHRA PRADESH,515787,502,,,,,pincode/515787
ANDHRA PRADESH,515801,502,,,,,pincode/515801
ANDHRA PRADESH,515803,502,,,,,pincode/515803
ANDHRA PRADESH,515812,502,,,,,pincode/515812
ANDHRA PRADESH,515822,502,,,,,pincode/515822
ANDHRA PRADESH,515832,502,,,,,pincode/515832
ANDHRA PRADESH,515842,502,,,,,pincode/515842
ANDHRA PRADESH,515863,502,,,,,pincode/515863
ANDHRA PRADESH,515865,502,,,,,pincode/515865
ANDHRA PRADESH,515867,502,,,,,pincode/515867
ANDHRA PRADESH,515870,502,,,,,pincode/515870
ANDHRA PRADESH,515871,502,,,,,pincode/515871
ANDHRA PRADESH,515872,502,,,,,pincode/515872
ANDHRA PRADESH,516001,504,,,,,pincode/516001
ANDHRA PRADESH,516002,504,,,,,pincode/516002
ANDHRA PRADESH,516003,504,,,,,pincode/516003
ANDHRA PRADESH,516004,504,,,,,pincode/516004
ANDHRA PRADESH,516005,504,,,,,pincode/516005
ANDHRA PRADESH,516101,504,,,,,pincode/516101
ANDHRA PRADESH,516104,504,,,,,pincode/516104
ANDHRA PRADESH,516105,504,,,,,pincode/516105
ANDHRA PRADESH,516107,504,,,,,pincode/516107
ANDHRA PRADESH,516108,504,,,,,pincode/516108
ANDHRA PRADESH,516110,504,,,,,pincode/516110
ANDHRA PRADESH,516115,504,,,,,pincode/516115
ANDHRA PRADESH,516126,504,,,,,pincode/516126
ANDHRA PRADESH,516127,504,,,,,pincode/516127
ANDHRA PRADESH,516128,504,,,,,pincode/516128
ANDHRA PRADESH,516129,504,,,,,pincode/516129
ANDHRA PRADESH,516130,504,,,,,pincode/516130
ANDHRA PRADESH,516150,504,,,,,pincode/516150
ANDHRA PRADESH,516151,504,,,,,pincode/516151
ANDHRA PRADESH,516152,504,,,,,pincode/516152
ANDHRA PRADESH,516162,504,,,,,pincode/516162
ANDHRA PRADESH,516163,504,,,,,pincode/516163
ANDHRA PRADESH,516172,504,,,,,pincode/516172
ANDHRA PRADESH,516173,504,,,,,pincode/516173
ANDHRA PRADESH,516175,504,,,,,pincode/516175
ANDHRA PRADESH,516193,504,,,,,pincode/516193
ANDHRA PRADESH,516203,504,,,,,pincode/516203
ANDHRA PRADESH,516213,504,,,,,pincode/516213
ANDHRA PRADESH,516214,504,,,,,pincode/516214
ANDHRA PRADESH,516215,504,,,,,pincode/516215
ANDHRA PRADESH,516216,504,,,,,pincode/516216
ANDHRA PRADESH,516217,504,,,,,pincode/516217
ANDHRA PRADESH,516218,504,,,,,pincode/516218
ANDHRA PRADESH,516227,504,,,,,pincode/516227
ANDHRA PRADESH,516228,504,,,,,pincode/516228
ANDHRA PRADESH,516233,504,,,,,pincode/516233
ANDHRA PRADESH,516237,504,,,,,pincode/516237
ANDHRA PRADESH,516247,504,,,,,pincode/516247
ANDHRA PRADESH,516257,504,,,,,pincode/516257
ANDHRA PRADESH,516259,504,,,,,pincode/516259
ANDHRA PRADESH,516267,504,,,,,pincode/516267
ANDHRA PRADESH,516268,504,,,,,pincode/516268
ANDHRA PRADESH,516269,504,,,,,pincode/516269
ANDHRA PRADESH,516270,504,,,,,pincode/516270
ANDHRA PRADESH,516289,504,,,,,pincode/516289
ANDHRA PRADESH,516293,504,,,,,pincode/516293
ANDHRA PRADESH,516309,504,,,,,pincode/516309
ANDHRA PRADESH,516310,504,,,,,pincode/516310
ANDHRA PRADESH,516311,504,,,,,pincode/516311
ANDHRA PRADESH,516312,504,,,,,pincode/516312
ANDHRA PRADESH,516321,504,,,,,pincode/516321
ANDHRA PRADESH,516329,504,,,,,pincode/516329
ANDHRA PRADESH,516330,504,,,,,pincode/516330
ANDHRA PRADESH,516339,504,,,,,pincode/516339
ANDHRA PRADESH,516349,504,,,,,pincode/516349
ANDHRA PRADESH,516350,504,,,,,pincode/516350
ANDHRA PRADESH,516355,504,,,,,pincode/516355
ANDHRA PRADESH,516356,504,,,,,pincode/516356
ANDHRA PRADESH,516359,504,,,,,pincode/516359
ANDHRA PRADESH,516360,504,,,,,pincode/516360
ANDHRA PRADESH,516361,504,,,,,pincode/516361
ANDHRA PRADESH,516362,504,,,,,pincode/516362
ANDHRA PRADESH,516380,504,,,,,pincode/516380
ANDHRA PRADESH,516390,504,,,,,pincode/516390
ANDHRA PRADESH,516391,504,,,,,pincode/516391
ANDHRA PRADESH,516396,504,,,,,pincode/516396
ANDHRA PRADESH,516401,504,,,,,pincode/516401
ANDHRA PRADESH,516411,504,,,,,pincode/516411
ANDHRA PRADESH,516421,504,,,,,pincode/516421
ANDHRA PRADESH,516431,504,,,,,pincode/516431
ANDHRA PRADESH,516432,504,,,,,pincode/516432
ANDHRA PRADESH,516433,504,,,,,pincode/516433
ANDHRA PRADESH,516434,504,,,,,pincode/516434
ANDHRA PRADESH,516439,504,,,,,pincode/516439
ANDHRA PRADESH,516444,504,,,,,pincode/516444
ANDHRA PRADESH,516454,504,,,,,pincode/516454
ANDHRA PRADESH,516464,502,504,,,,pincode/516464
ANDHRA PRADESH,516474,504,,,,,pincode/516474
ANDHRA PRADESH,516484,504,,,,,pincode/516484
ANDHRA PRADESH,516501,504,,,,,pincode/516501
ANDHRA PRADESH,516502,504,,,,,pincode/516502
ANDHRA PRADESH,516503,504,,,,,pincode/516503
ANDHRA PRADESH,516504,504,,,,,pincode/516504
ANDHRA PRADESH,516505,504,,,,,pincode/516505
ANDHRA PRADESH,517001,503,,,,,pincode/517001
ANDHRA PRADESH,517002,503,,,,,pincode/517002
ANDHRA PRADESH,517004,503,,,,,pincode/517004
ANDHRA PRADESH,517101,503,,,,,pincode/517101
ANDHRA PRADESH,517102,503,,,,,pincode/517102
ANDHRA PRADESH,517112,503,,,,,pincode/517112
ANDHRA PRADESH,517113,503,,,,,pincode/517113
ANDHRA PRADESH,517123,503,,,,,pincode/517123
ANDHRA PRADESH,517124,503,,,,,pincode/517124
ANDHRA PRADESH,517125,503,,,,,pincode/517125
ANDHRA PRADESH,517126,503,,,,,pincode/517126
ANDHRA PRADESH,517127,503,,,,,pincode/517127
ANDHRA PRADESH,517128,503,,,,,pincode/517128
ANDHRA PRADESH,517129,503,,,,,pincode/517129
ANDHRA PRADESH,517130,503,,,,,pincode/517130
ANDHRA PRADESH,517131,503,,,,,pincode/517131
ANDHRA PRADESH,517132,503,,,,,pincode/517132
ANDHRA PRADESH,517152,503,,,,,pincode/517152
ANDHRA PRADESH,517167,503,,,,,pincode/517167
ANDHRA PRADESH,517172,503,,,,,pincode/517172
ANDHRA PRADESH,517192,503,,,,,pincode/517192
ANDHRA PRADESH,517193,503,,,,,pincode/517193
ANDHRA PRADESH,517194,503,,,,,pincode/517194
ANDHRA PRADESH,517213,503,,,,,pincode/517213
ANDHRA PRADESH,517214,503,,,,,pincode/517214
ANDHRA PRADESH,517234,503,,,,,pincode/517234
ANDHRA PRADESH,517235,503,,,,,pincode/517235
ANDHRA PRADESH,517236,503,,,,,pincode/517236
ANDHRA PRADESH,517237,503,,,,,pincode/517237
ANDHRA PRADESH,517247,503,,,,,pincode/517247
ANDHRA PRADESH,517257,503,,,,,pincode/517257
ANDHRA PRADESH,517277,503,,,,,pincode/517277
ANDHRA PRADESH,517280,503,,,,,pincode/517280
ANDHRA PRADESH,517291,503,,,,,pincode/517291
ANDHRA PRADESH,517297,503,,,,,pincode/517297
ANDHRA PRADESH,517299,503,,,,,pincode/517299
ANDHRA PRADESH,517305,503,,,,,pincode/517305
ANDHRA PRADESH,517319,503,,,,,pincode/517319
ANDHRA PRADESH,517325,503,,,,,pincode/517325
ANDHRA PRADESH,517326,503,,,,,pincode/517326
ANDHRA PRADESH,517350,503,,,,,pincode/517350
ANDHRA PRADESH,517351,503,,,,,pincode/517351
ANDHRA PRADESH,517352,503,,,,,pincode/517352
ANDHRA PRADESH,517370,503,,,,,pincode/517370
ANDHRA PRADESH,517390,503,,,,,pincode/517390
ANDHRA PRADESH,517391,503,,,,,pincode/517391
ANDHRA PRADESH,517401,503,,,,,pincode/517401
ANDHRA PRADESH,517403,503,,,,,pincode/517403
ANDHRA PRADESH,517408,503,,,,,pincode/517408
ANDHRA PRADESH,517414,503,,,,,pincode/517414
ANDHRA PRADESH,517415,503,,,,,pincode/517415
ANDHRA PRADESH,517416,503,,,,,pincode/517416
ANDHRA PRADESH,517417,503,,,,,pincode/517417
ANDHRA PRADESH,517418,503,,,,,pincode/517418
ANDHRA PRADESH,517419,503,,,,,pincode/517419
ANDHRA PRADESH,517421,503,,,,,pincode/517421
ANDHRA PRADESH,517422,503,,,,,pincode/517422
ANDHRA PRADESH,517423,503,,,,,pincode/517423
ANDHRA PRADESH,517424,503,,,,,pincode/517424
ANDHRA PRADESH,517425,503,,,,,pincode/517425
ANDHRA PRADESH,517426,503,,,,,pincode/517426
ANDHRA PRADESH,517429,503,,,,,pincode/517429
ANDHRA PRADESH,517432,503,,,,,pincode/517432
ANDHRA PRADESH,517501,503,,,,,pincode/517501
ANDHRA PRADESH,517502,503,,,,,pincode/517502
ANDHRA PRADESH,517503,503,,,,,pincode/517503
ANDHRA PRADESH,517504,503,,,,,pincode/517504
ANDHRA PRADESH,517505,503,,,,,pincode/517505
ANDHRA PRADESH,517506,503,,,,,pincode/517506
ANDHRA PRADESH,517507,503,,,,,pincode/517507
ANDHRA PRADESH,517520,503,,,,,pincode/517520
ANDHRA PRADESH,517526,503,,,,,pincode/517526
ANDHRA PRADESH,517536,503,,,,,pincode/517536
ANDHRA PRADESH,517541,503,,,,,pincode/517541
ANDHRA PRADESH,517551,503,,,,,pincode/517551
ANDHRA PRADESH,517561,503,,,,,pincode/517561
ANDHRA PRADESH,517569,503,,,,,pincode/517569
ANDHRA PRADESH,517571,503,,,,,pincode/517571
ANDHRA PRADESH,517581,503,,,,,pincode/517581
ANDHRA PRADESH,517582,503,,,,,pincode/517582
ANDHRA PRADESH,517583,503,,,,,pincode/517583
ANDHRA PRADESH,517584,503,,,,,pincode/517584
ANDHRA PRADESH,517586,503,,,,,pincode/517586
ANDHRA PRADESH,517587,503,,,,,pincode/517587
ANDHRA PRADESH,517588,503,,,,,pincode/517588
ANDHRA PRADESH,517589,503,,,,,pincode/517589
ANDHRA PRADESH,517590,503,,,,,pincode/517590
ANDHRA PRADESH,517591,503,,,,,pincode/517591
ANDHRA PRADESH,517592,503,,,,,pincode/517592
ANDHRA PRADESH,517599,503,,,,,pincode/517599
ANDHRA PRADESH,517619,503,,,,,pincode/517619
ANDHRA PRADESH,517620,503,,,,,pincode/517620
ANDHRA PRADESH,517640,503,,,,,pincode/517640
ANDHRA PRADESH,517641,503,,,,,pincode/517641
ANDHRA PRADESH,517642,503,,,,,pincode/517642
ANDHRA PRADESH,517643,503,,,,,pincode/517643
ANDHRA PRADESH,517644,503,,,,,pincode/517644
ANDHRA PRADESH,517645,503,,,,,pincode/517645
ANDHRA PRADESH,517646,503,,,,,pincode/517646
ANDHRA PRADESH,518001,511,,,,,pincode/518001
ANDHRA PRADESH,518002,511,,,,,pincode/518002
ANDHRA PRADESH,518003,511,,,,,pincode/518003
ANDHRA PRADESH,518004,511,,,,,pincode/518004
ANDHRA PRADESH,518005,511,,,,,pincode/518005
ANDHRA PRADESH,518006,511,,,,,pincode/518006
ANDHRA PRADESH,518007,511,,,,,pincode/518007
ANDHRA PRADESH,518010,511,,,,,pincode/518010
ANDHRA PRADESH,518101,511,,,,,pincode/518101
ANDHRA PRADESH,518102,511,,,,,pincode/518102
ANDHRA PRADESH,518112,511,,,,,pincode/518112
ANDHRA PRADESH,518122,511,,,,,pincode/518122
ANDHRA PRADESH,518123,511,,,,,pincode/518123
ANDHRA PRADESH,518124,511,,,,,pincode/518124
ANDHRA PRADESH,518134,511,,,,,pincode/518134
ANDHRA PRADESH,518135,511,,,,,pincode/518135
ANDHRA PRADESH,518145,511,,,,,pincode/518145
ANDHRA PRADESH,518155,511,,,,,pincode/518155
ANDHRA PRADESH,518165,511,,,,,pincode/518165
ANDHRA PRADESH,518166,511,,,,,pincode/518166
ANDHRA PRADESH,518176,511,,,,,pincode/518176
ANDHRA PRADESH,518186,511,,,,,pincode/518186
ANDHRA PRADESH,518196,511,,,,,pincode/518196
ANDHRA PRADESH,518206,511,,,,,pincode/518206
ANDHRA PRADESH,518216,511,,,,,pincode/518216
ANDHRA PRADESH,518217,511,,,,,pincode/518217
ANDHRA PRADESH,518218,511,,,,,pincode/518218
ANDHRA PRADESH,518220,511,,,,,pincode/518220
ANDHRA PRADESH,518221,511,,,,,pincode/518221
ANDHRA PRADESH,518222,511,,,,,pincode/518222
ANDHRA PRADESH,518225,511,,,,,pincode/518225
ANDHRA PRADESH,518301,511,,,,,pincode/518301
ANDHRA PRADESH,518302,511,,,,,pincode/518302
ANDHRA PRADESH,518308,511,,,,,pincode/518308
ANDHRA PRADESH,518313,511,,,,,pincode/518313
ANDHRA PRADESH,518323,511,,,,,pincode/518323
ANDHRA PRADESH,518333,511,,,,,pincode/518333
ANDHRA PRADESH,518343,511,,,,,pincode/518343
ANDHRA PRADESH,518344,511,,,,,pincode/518344
ANDHRA PRADESH,518345,511,,,,,pincode/518345
ANDHRA PRADESH,518346,511,,,,,pincode/518346
ANDHRA PRADESH,518347,511,,,,,pincode/518347
ANDHRA PRADESH,518348,511,,,,,pincode/518348
ANDHRA PRADESH,518349,511,,,,,pincode/518349
ANDHRA PRADESH,518350,511,,,,,pincode/518350
ANDHRA PRADESH,518360,511,,,,,pincode/518360
ANDHRA PRADESH,518380,511,,,,,pincode/518380
ANDHRA PRADESH,518385,511,,,,,pincode/518385
ANDHRA PRADESH,518390,511,,,,,pincode/518390
ANDHRA PRADESH,518395,511,,,,,pincode/518395
ANDHRA PRADESH,518396,511,,,,,pincode/518396
ANDHRA PRADESH,518401,511,,,,,pincode/518401
ANDHRA PRADESH,518405,511,,,,,pincode/518405
ANDHRA PRADESH,518411,511,,,,,pincode/518411
ANDHRA PRADESH,518412,511,,,,,pincode/518412
ANDHRA PRADESH,518422,511,,,,,pincode/518422
ANDHRA PRADESH,518432,511,,,,,pincode/518432
ANDHRA PRADESH,518442,511,,,,,pincode/518442
ANDHRA PRADESH,518452,511,,,,,pincode/518452
ANDHRA PRADESH,518462,511,,,,,pincode/518462
ANDHRA PRADESH,518463,511,,,,,pincode/518463
ANDHRA PRADESH,518464,511,,,,,pincode/518464
ANDHRA PRADESH,518465,511,,,,,pincode/518465
ANDHRA PRADESH,518466,511,,,,,pincode/518466
ANDHRA PRADESH,518467,511,,,,,pincode/518467
ANDHRA PRADESH,518468,511,,,,,pincode/518468
ANDHRA PRADESH,518501,511,,,,,pincode/518501
ANDHRA PRADESH,518502,511,,,,,pincode/518502
ANDHRA PRADESH,518508,511,,,,,pincode/518508
ANDHRA PRADESH,518510,511,,,,,pincode/518510
ANDHRA PRADESH,518511,511,,,,,pincode/518511
ANDHRA PRADESH,518512,511,,,,,pincode/518512
ANDHRA PRADESH,518513,511,,,,,pincode/518513
ANDHRA PRADESH,518523,511,,,,,pincode/518523
ANDHRA PRADESH,518533,511,,,,,pincode/518533
ANDHRA PRADESH,518543,511,,,,,pincode/518543
ANDHRA PRADESH,518553,511,,,,,pincode/518553
ANDHRA PRADESH,518563,511,,,,,pincode/518563
ANDHRA PRADESH,518573,511,,,,,pincode/518573
ANDHRA PRADESH,518583,511,,,,,pincode/518583
ANDHRA PRADESH,518593,511,,,,,pincode/518593
ANDHRA PRADESH,518594,511,,,,,pincode/518594
ANDHRA PRADESH,518598,511,,,,,pincode/518598
ANDHRA PRADESH,518599,511,,,,,pincode/518599
ANDHRA PRADESH,518674,511,,,,,pincode/518674
ANDHRA PRADESH,520001,510,,,,,pincode/520001
ANDHRA PRADESH,520002,510,,,,,pincode/520002
ANDHRA PRADESH,520003,510,,,,,pincode/520003
ANDHRA PRADESH,520004,510,,,,,pincode/520004
ANDHRA PRADESH,520007,510,,,,,pincode/520007
ANDHRA PRADESH,520008,510,,,,,pincode/520008
ANDHRA PRADESH,520010,510,,,,,pincode/520010
ANDHRA PRADESH,520011,510,,,,,pincode/520011
ANDHRA PRADESH,520012,510,,,,,pincode/520012
ANDHRA PRADESH,520013,510,,,,,pincode/520013
ANDHRA PRADESH,520015,510,,,,,pincode/520015
ANDHRA PRADESH,521001,510,,,,,pincode/521001
ANDHRA PRADESH,521002,510,,,,,pincode/521002
ANDHRA PRADESH,521003,510,,,,,pincode/521003
ANDHRA PRADESH,521004,510,,,,,pincode/521004
ANDHRA PRADESH,521101,510,,,,,pincode/521101
ANDHRA PRADESH,521102,510,,,,,pincode/521102
ANDHRA PRADESH,521104,510,,,,,pincode/521104
ANDHRA PRADESH,521105,510,,,,,pincode/521105
ANDHRA PRADESH,521106,510,,,,,pincode/521106
ANDHRA PRADESH,521107,510,,,,,pincode/521107
ANDHRA PRADESH,521108,510,,,,,pincode/521108
ANDHRA PRADESH,521109,510,,,,,pincode/521109
ANDHRA PRADESH,521110,510,,,,,pincode/521110
ANDHRA PRADESH,521111,510,,,,,pincode/521111
ANDHRA PRADESH,521120,510,,,,,pincode/521120
ANDHRA PRADESH,521121,510,,,,,pincode/521121
ANDHRA PRADESH,521122,510,,,,,pincode/521122
ANDHRA PRADESH,521125,510,,,,,pincode/521125
ANDHRA PRADESH,521126,510,,,,,pincode/521126
ANDHRA PRADESH,521130,510,,,,,pincode/521130
ANDHRA PRADESH,521131,510,,,,,pincode/521131
ANDHRA PRADESH,521132,510,,,,,pincode/521132
ANDHRA PRADESH,521133,510,,,,,pincode/521133
ANDHRA PRADESH,521134,510,,,,,pincode/521134
ANDHRA PRADESH,521135,510,,,,,pincode/521135
ANDHRA PRADESH,521136,510,,,,,pincode/521136
ANDHRA PRADESH,521137,510,,,,,pincode/521137
ANDHRA PRADESH,521138,510,,,,,pincode/521138
ANDHRA PRADESH,521139,510,,,,,pincode/521139
ANDHRA PRADESH,521148,510,,,,,pincode/521148
ANDHRA PRADESH,521149,510,,,,,pincode/521149
ANDHRA PRADESH,521150,510,,,,,pincode/521150
ANDHRA PRADESH,521151,510,,,,,pincode/521151
ANDHRA PRADESH,521153,510,,,,,pincode/521153
ANDHRA PRADESH,521156,510,,,,,pincode/521156
ANDHRA PRADESH,521157,510,,,,,pincode/521157
ANDHRA PRADESH,521158,510,,,,,pincode/521158
ANDHRA PRADESH,521162,510,,,,,pincode/521162
ANDHRA PRADESH,521163,510,,,,,pincode/521163
ANDHRA PRADESH,521164,510,,,,,pincode/521164
ANDHRA PRADESH,521165,510,,,,,pincode/521165
ANDHRA PRADESH,521170,510,,,,,pincode/521170
ANDHRA PRADESH,521175,510,,,,,pincode/521175
ANDHRA PRADESH,521178,510,,,,,pincode/521178
ANDHRA PRADESH,521180,510,,,,,pincode/521180
ANDHRA PRADESH,521181,510,,,,,pincode/521181
ANDHRA PRADESH,521182,510,,,,,pincode/521182
ANDHRA PRADESH,521183,510,,,,,pincode/521183
ANDHRA PRADESH,521184,510,,,,,pincode/521184
ANDHRA PRADESH,521185,510,,,,,pincode/521185
ANDHRA PRADESH,521190,510,,,,,pincode/521190
ANDHRA PRADESH,521201,510,,,,,pincode/521201
ANDHRA PRADESH,521202,510,,,,,pincode/521202
ANDHRA PRADESH,521207,510,,,,,pincode/521207
ANDHRA PRADESH,521211,510,,,,,pincode/521211
ANDHRA PRADESH,521212,510,,,,,pincode/521212
ANDHRA PRADESH,521213,510,,,,,pincode/521213
ANDHRA PRADESH,521214,510,,,,,pincode/521214
ANDHRA PRADESH,521215,510,,,,,pincode/521215
ANDHRA PRADESH,521225,510,,,,,pincode/521225
ANDHRA PRADESH,521226,510,,,,,pincode/521226
ANDHRA PRADESH,521227,510,,,,,pincode/521227
ANDHRA PRADESH,521228,510,,,,,pincode/521228
ANDHRA PRADESH,521229,510,,,,,pincode/521229
ANDHRA PRADESH,521230,510,,,,,pincode/521230
ANDHRA PRADESH,521231,510,,,,,pincode/521231
ANDHRA PRADESH,521235,510,,,,,pincode/521235
ANDHRA PRADESH,521241,510,,,,,pincode/521241
ANDHRA PRADESH,521245,510,,,,,pincode/521245
ANDHRA PRADESH,521246,510,,,,,pincode/521246
ANDHRA PRADESH,521247,510,,,,,pincode/521247
ANDHRA PRADESH,521250,510,,,,,pincode/521250
ANDHRA PRADESH,521256,510,,,,,pincode/521256
ANDHRA PRADESH,521260,510,,,,,pincode/521260
ANDHRA PRADESH,521261,510,,,,,pincode/521261
