observationAbout,observationDate,value,variableMeasured,unit
country/MNG,2023,1147,dcid:Count_HospitalBed_Traumatology,
country/MNG,2024,1148,dcid:Count_HospitalBed_Traumatology,
country/MNG,2015,168,dcid:Count_HospitalBed_Nephrology,
country/MNG,2016,168,dcid:Count_HospitalBed_Nephrology,
country/MNG,2017,145,dcid:Count_HospitalBed_Nephrology,
country/MNG,2018,157,dcid:Count_HospitalBed_Nephrology,
country/MNG,2019,157,dcid:Count_HospitalBed_Nephrology,
country/MNG,2020,122,dcid:Count_HospitalBed_Nephrology,
country/MNG,2021,119,dcid:Count_HospitalBed_Nephrology,
country/MNG,2022,211,dcid:Count_HospitalBed_Nephrology,
country/MNG,2023,151,dcid:Count_HospitalBed_Nephrology,
country/MNG,2024,182,dcid:Count_HospitalBed_Nephrology,
country/MNG,2015,95,dcid:Count_HospitalBed_Urology,
country/MNG,2016,95,dcid:Count_HospitalBed_Urology,
country/MNG,2017,74,dcid:Count_HospitalBed_Urology,
country/MNG,2018,76,dcid:Count_HospitalBed_Urology,
country/MNG,2019,86,dcid:Count_HospitalBed_Urology,
country/MNG,2020,82,dcid:Count_HospitalBed_Urology,
country/MNG,2021,68,dcid:Count_HospitalBed_Urology,
country/MNG,2022,90,dcid:Count_HospitalBed_Urology,
country/MNG,2023,94,dcid:Count_HospitalBed_Urology,
country/MNG,2024,105,dcid:Count_HospitalBed_Urology,
country/MNG,2015,339,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2016,339,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2017,342,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2018,342,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2019,354,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2020,389,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2021,443,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2022,466,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2023,479,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2024,518,dcid:Count_HospitalBed_Anesthesiology,
country/MNG,2015,230,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2016,230,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2017,238,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2018,224,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2019,222,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2020,236,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2021,219,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2022,196,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2023,200,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2024,183,dcid:Count_HospitalBed_Ophthalmology,
country/MNG,2015,244,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2016,244,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2017,250,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2018,257,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2019,274,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2020,304,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2021,284,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2022,314,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2023,312,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2024,287,dcid:Count_HospitalBed_Otolaryngology,
country/MNG,2015,81,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2016,87,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2017,84,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2018,90,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2019,90,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2020,99,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2021,94,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2022,93,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2023,91,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2024,86,dcid:Count_HospitalBed_DentistryAndStomatology,
country/MNG,2015,176,dcid:Count_HospitalBed_Oncology,
country/MNG,2016,189,dcid:Count_HospitalBed_Oncology,
country/MNG,2017,186,dcid:Count_HospitalBed_Oncology,
country/MNG,2018,166,dcid:Count_HospitalBed_Oncology,
country/MNG,2019,178,dcid:Count_HospitalBed_Oncology,
country/MNG,2020,191,dcid:Count_HospitalBed_Oncology,
country/MNG,2021,191,dcid:Count_HospitalBed_Oncology,
country/MNG,2022,214,dcid:Count_HospitalBed_Oncology,
country/MNG,2023,206,dcid:Count_HospitalBed_Oncology,
country/MNG,2024,247,dcid:Count_HospitalBed_Oncology,
country/MNG,2015,1145,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2016,1398,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2017,1380,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2018,1515,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2019,1571,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2020,1838,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2021,1508,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2022,1798,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2023,1966,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2024,2113,dcid:Count_HospitalBed_TraditionalMedicine,
country/MNG,2015,146,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2016,216,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2017,253,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2018,305,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2019,305,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2020,350,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2021,380,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2022,434,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2023,409,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2024,486,dcid:Count_HospitalBed_PalliativeCare,
country/MNG,2015,448,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2016,1346,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2017,488,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2018,538,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2019,627,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2020,1052,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2021,1312,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2022,1041,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2023,1172,dcid:Count_HospitalBed_OtherHealthDepartment,
country/MNG,2024,1203,dcid:Count_HospitalBed_OtherHealthDepartment,
