observationAbout,observationDate,value,variableMeasured
dcid:wikidataId/Q167764,2024-04,33,dcid:Count_Death
dcid:wikidataId/Q167764,2024-05,26,dcid:Count_Death
dcid:wikidataId/Q167764,2024-06,30,dcid:Count_Death
dcid:wikidataId/Q167764,2024-07,41,dcid:Count_Death
dcid:wikidataId/Q167764,2024-08,29,dcid:Count_Death
dcid:wikidataId/Q167764,2024-09,26,dcid:Count_Death
dcid:wikidataId/Q167764,2024-10,32,dcid:Count_Death
dcid:wikidataId/Q167764,2024-11,27,dcid:Count_Death
dcid:wikidataId/Q167764,2024-12,27,dcid:Count_Death
dcid:wikidataId/Q167764,2025-01,25,dcid:Count_Death
dcid:wikidataId/Q167764,2025-02,32,dcid:Count_Death
dcid:wikidataId/Q167764,2025-03,37,dcid:Count_Death
dcid:wikidataId/Q167764,2025-04,25,dcid:Count_Death
dcid:wikidataId/Q167764,2025-05,22,dcid:Count_Death
dcid:wikidataId/Q167764,2025-06,21,dcid:Count_Death
