State,isoCode,Date,Count_BirthControlEvent_Vasectomy,Count_BirthControlEvent_Tubectomy,Count_BirthControlEvent_Sterilization,Count_BirthControlEvent_Vasectomy_AsFractionOf_Count_BirthControlEvent_Sterlization,Count_Death_BirthControlSterilization,Count_BirthControlEvent_IUCDInsertion,Count_BirthControlEvent_IUCDInsertion_AsFractionOf_Count_BirthControlEvent,Count_ContraceptiveDistribution_OralPill,Count_ContraceptiveDistribution_Condom
Kerala,IN-KL,2011-03,2686.0,102347.0,105033.0,2.6,0.0,59135.0,36.0,148445.0,5458158.0
Lakshadweep,IN-LD,2011-03,0.0,32.0,32.0,0.0,1.0,22.0,40.7,22.0,4822.0
Madhya Pradesh,IN-MP,2011-03,42813.0,639032.0,681845.0,6.3,11.0,365175.0,34.9,5101089.0,43903801.0
Maharashtra,IN-MH,2011-03,24416.0,468052.0,492468.0,5.0,4.0,373849.0,43.2,2943564.0,26279332.0
Manipur,IN-MN,2011-03,222.0,1246.0,1468.0,15.1,2.0,5097.0,77.6,37882.0,166937.0
Meghalaya,IN-ML,2011-03,14.0,2016.0,2030.0,0.7,24.0,3917.0,65.9,73228.0,289072.0
Mizoram,IN-MZ,2011-03,5.0,2368.0,2373.0,0.2,0.0,3067.0,56.4,85575.0,299583.0
Nagaland,IN-NL,2011-03,7.0,1639.0,1646.0,0.4,0.0,2061.0,55.6,9558.0,72966.0
Odisha,IN-OR,2011-03,13762.0,125486.0,139248.0,9.9,11.0,141818.0,50.5,2263437.0,14137878.0
Puducherry,IN-PY,2011-03,13.0,11205.0,11218.0,0.1,0.0,2180.0,16.3,30340.0,669134.0
Punjab,IN-PB,2011-03,16373.0,65194.0,81567.0,20.1,1.0,221313.0,73.1,1319053.0,29783002.0
Rajasthan,IN-RJ,2011-03,8200.0,330374.0,338574.0,2.4,15.0,407122.0,54.6,9453668.0,91907478.0
Sikkim,IN-SK,2011-03,93.0,146.0,239.0,38.9,0.0,1822.0,88.4,59298.0,168670.0
Tamil Nadu,IN-TN,2011-03,2172.0,325090.0,327262.0,0.7,24.0,349654.0,51.7,1553093.0,12042556.0
Tripura,IN-TR,2011-03,403.0,3659.0,4062.0,9.9,0.0,1942.0,32.3,73388.0,571377.0
Uttar Pradesh,IN-UP,2011-03,9046.0,404104.0,413150.0,2.2,16.0,1557626.0,79.0,4688468.0,56637053.0
Uttarakhand,IN-UT,2011-03,3771.0,29247.0,33018.0,11.4,4.0,116640.0,77.9,438636.0,4133322.0
West Bengal,IN-WB,2011-03,17921.0,256957.0,274878.0,6.5,22.0,78803.0,22.3,8545296.0,43282740.0
All India,IN,2012-03,178213.0,4713762.0,4891975.0,3.6,332.0,5405777.0,52.5,44277742.0,429210138.0
A & N Islands,IN-AN,2012-03,4.0,1159.0,1163.0,0.3,0.0,820.0,41.4,12232.0,64765.0
Andhra Pradesh Old,IN-AP,2012-03,13590.0,527992.0,541582.0,2.5,17.0,323425.0,37.4,3681706.0,37118370.0
Arunachal Pradesh,IN-AR,2012-03,2.0,947.0,949.0,0.2,0.0,2632.0,73.5,18099.0,44730.0
Assam,IN-AS,2012-03,6935.0,71414.0,78349.0,8.9,13.0,71080.0,47.6,1447114.0,6256849.0
Bihar,IN-BR,2012-03,6675.0,490227.0,496902.0,1.3,33.0,317893.0,39.0,1034603.0,8288424.0
Chandigarh,IN-CH,2012-03,97.0,1722.0,1819.0,5.3,0.0,3189.0,63.7,10858.0,990494.0
Chhattisgarh,IN-CT,2012-03,6731.0,127517.0,134248.0,5.0,91.0,79046.0,37.1,1326562.0,7001785.0
Dadra & Nagar Haveli,IN-DN,2012-03,2.0,1239.0,1241.0,0.2,0.0,201.0,13.9,4205.0,80377.0
Daman & Diu,IN-DD,2012-03,4.0,405.0,409.0,1.0,0.0,233.0,36.3,5871.0,198992.0
Delhi,IN-DL,2012-03,2880.0,17561.0,20441.0,14.1,2.0,42540.0,67.5,195708.0,8967118.0
Goa,IN-GA,2012-03,71.0,5388.0,5459.0,1.3,0.0,2616.0,32.4,50681.0,227342.0
Gujarat,IN-GJ,2012-03,3457.0,321026.0,324483.0,1.1,2.0,596335.0,64.8,2476056.0,42160424.0
Haryana,IN-HR,2012-03,6613.0,68992.0,75605.0,8.7,1.0,193311.0,71.9,1042046.0,18974869.0
Himachal Pradesh,IN-HP,2012-03,2344.0,20514.0,22858.0,10.3,0.0,19697.0,46.3,397020.0,5259051.0
Jammu & Kashmir,IN-JK,2012-03,1106.0,15964.0,17070.0,6.5,3.0,19315.0,53.1,283859.0,2241317.0
Jharkhand,IN-JH,2012-03,13105.0,118209.0,131314.0,10.0,4.0,103426.0,44.1,1033894.0,7542144.0
Karnataka,IN-KA,2012-03,3896.0,308886.0,312782.0,1.2,5.0,195505.0,38.5,1314532.0,11537553.0
Kerala,IN-KL,2012-03,1916.0,95841.0,97757.0,2.0,0.0,55545.0,36.2,116138.0,5076246.0
Lakshadweep,IN-LD,2012-03,0.0,47.0,47.0,0.0,4.0,53.0,53.0,1.0,15355.0
Madhya Pradesh,IN-MP,2012-03,43041.0,582581.0,625622.0,6.9,7.0,295282.0,32.1,2766636.0,18427219.0
Maharashtra,IN-MH,2012-03,21331.0,489160.0,510491.0,4.2,16.0,368893.0,41.9,2669383.0,26380781.0
Manipur,IN-MN,2012-03,109.0,1690.0,1799.0,6.1,0.0,5418.0,75.1,25370.0,141901.0
Meghalaya,IN-ML,2012-03,56.0,2941.0,2997.0,1.9,0.0,4678.0,61.0,78490.0,340581.0
Mizoram,IN-MZ,2012-03,0.0,1721.0,1721.0,0.0,0.0,2751.0,61.5,54559.0,94062.0
Nagaland,IN-NL,2012-03,6.0,2158.0,2164.0,0.3,0.0,2742.0,55.9,14738.0,116535.0
Odisha,IN-OR,2012-03,3206.0,142199.0,145405.0,2.2,5.0,143405.0,49.7,2448842.0,13959588.0
Puducherry,IN-PY,2012-03,6.0,10235.0,10241.0,0.1,0.0,2391.0,18.9,22470.0,705488.0
Punjab,IN-PB,2012-03,8239.0,62770.0,71009.0,11.6,0.0,226146.0,76.1,1308811.0,29937637.0
Rajasthan,IN-RJ,2012-03,5841.0,309134.0,314975.0,1.9,8.0,395367.0,55.7,7440694.0,78098364.0
