speciesID	reactionID
M_m02883c	R_HMR_4568
M_m03106c	R_HMR_4568
M_m01371c	R_HMR_9799
M_m03165c	R_HMR_9799
M_m01371c	R_HMR_9800
M_m03165c	R_HMR_9800
M_m01961r	R_HMR_4623
M_m02040r	R_HMR_4623
M_m01961c	R_HMR_4625
M_m02040c	R_HMR_4625
M_m00639c	R_HMR_4710
M_m02039c	R_HMR_4841
M_m02553c	R_HMR_4841
M_m02843c	R_HMR_4841
M_m01371c	R_HMR_8074
M_m01672c	R_HMR_8074
M_m01961r	R_HMR_8653
M_m02039r	R_HMR_8653
M_m02553r	R_HMR_8653
M_m01285c	R_HMR_3998
M_m02040c	R_HMR_3998
M_m01371c	R_HMR_4000
M_m01285c	R_HMR_4002
M_m01285m	R_HMR_4004
M_m01334c	R_HMR_4010
M_m02040c	R_HMR_4010
M_m01334s	R_HMR_4081
M_m02040s	R_HMR_4081
M_m01334m	R_HMR_4082
M_m02040m	R_HMR_4082
M_m01280c	R_HMR_4012
M_m01371c	R_HMR_4012
M_m01419c	R_HMR_4014
M_m02040c	R_HMR_4014
M_m01285c	R_HMR_4020
M_m01948c	R_HMR_4020
M_m02034c	R_HMR_4022
M_m01804c	R_HMR_4038
M_m02040c	R_HMR_4040
M_m02167c	R_HMR_4040
M_m02552c	R_HMR_4040
M_m01370c	R_HMR_4042
M_m02034c	R_HMR_4042
M_m02167c	R_HMR_4042
M_m01371c	R_HMR_4046
M_m01975c	R_HMR_4046
M_m02040c	R_HMR_4046
M_m03150c	R_HMR_4046
M_m01433c	R_HMR_4048
M_m02040c	R_HMR_4048
M_m01334c	R_HMR_4080
M_m02040c	R_HMR_4080
M_m01334c	R_HMR_4085
M_m02759c	R_HMR_4085
M_m01334s	R_HMR_4086
M_m02759s	R_HMR_4086
M_m01948s	R_HMR_4134
M_m02040s	R_HMR_4134
M_m01285m	R_HMR_4135
M_m01948m	R_HMR_4135
M_m02034c	R_HMR_4168
M_m02040c	R_HMR_4168
M_m01948c	R_HMR_4171
M_m02039c	R_HMR_4171
M_m02696c	R_HMR_4171
M_m02040s	R_HMR_4290
M_m02193s	R_HMR_4290
M_m01975c	R_HMR_4406
M_m02040c	R_HMR_4406
M_m02806c	R_HMR_4406
M_m01334c	R_HMR_4412
M_m01862c	R_HMR_4412
M_m02040c	R_HMR_4417
M_m02167c	R_HMR_4417
M_m02167c	R_HMR_4418
M_m02759c	R_HMR_4418
M_m02016c	R_HMR_4419
M_m02039c	R_HMR_4419
M_m02555c	R_HMR_4419
M_m01637c	R_HMR_4421
M_m02039c	R_HMR_4421
M_m02696c	R_HMR_4421
M_m02016c	R_HMR_4449
M_m02040c	R_HMR_4449
M_m02016s	R_HMR_4450
M_m02040s	R_HMR_4450
M_m01285m	R_HMR_4451
M_m02016m	R_HMR_4451
M_m02039m	R_HMR_4451
M_m02016c	R_HMR_4452
M_m02759c	R_HMR_4452
M_m01371c	R_HMR_4453
M_m02578c	R_HMR_4453
M_m03150c	R_HMR_4453
M_m01285c	R_HMR_4480
M_m01637c	R_HMR_4480
M_m01280c	R_HMR_4481
M_m02040c	R_HMR_4481
