id	reversible	fast	lowerFluxBound	upperFluxBound	ec	kegg	bigg	metanetx	reactome	tcdb
R_HMR_4131	true	false	FB1N1000	FB3N1000	2.7.7.12	R00955	UGLT	MNXR105090	NA	NA
R_HMR_4132	false	false	FB2N0	FB3N1000	2.7.7.12	R00955	NA	MNXR105090	NA	NA
R_HMR_4303	false	false	FB2N0	FB3N1000	3.2.1.10; 3.2.1.20; 3.2.1.48	R00801	SUCRe	MNXR104638	NA	NA
R_HMR_4414	false	false	FB2N0	FB3N1000	2.7.1.6	R01092	NA	MNXR99985	NA	NA
R_HMR_4415	false	false	FB2N0	FB3N1000	3.2.1.23; 3.2.1.108	R01100	LACZe	MNXR101000	NA	NA
R_HMR_4416	false	false	FB2N0	FB3N1000	3.2.1.22; 3.2.1.23	R01104	NA	MNXR100115	NA	NA
R_HMR_4774	true	false	FB1N1000	FB3N1000	2.7.1.11	R03237	NA	MNXR105355	NA	NA
R_HMR_4775	true	false	FB1N1000	FB3N1000	2.7.1.11	R03239	NA	MNXR105356	NA	NA
R_HMR_4831	true	false	FB1N1000	FB3N1000	1.1.99.13	R01680	NA	MNXR107115	NA	NA
R_HMR_4832	true	false	FB1N1000	FB3N1000	3.2.1.23	R04783	NA	MNXR105374	NA	NA
R_HMR_7674	false	false	FB2N0	FB3N1000	2.4.1.22	R00503	UGALGTg	MNXR105080	NA	NA
R_HMR_8761	false	false	FB2N0	FB3N1000	2.7.1.3	R02927	KHK3	MNXR100938	NA	NA
R_HMR_8762	true	false	FB1N1000	FB3N1000	4.1.2.13	NA	FBP26	MNXR99466	NA	NA
R_HMR_8764	false	false	FB2N0	FB3N1000	3.2.1.108	R06114	LACZly	MNXR101000	NA	NA
R_HMR_8766	true	false	FB1N1000	FB3N1000	1.1.1.21	R01095	GALSIDEtl	MNXR100012	NA	NA
R_HMR_8767	false	false	FB2N0	FB3N1000	2.7.7.12	R00502	GALt2_2	MNXR100027	NA	NA
R_HMR_0454	false	false	FB2N0	FB3N1000	2.7.1.28	R01059	TRIOK	MNXR104940	NA	NA
R_HMR_4297	false	false	FB2N0	FB3N1000	2.7.1.105	R00757	PFK26	MNXR102508	NA	NA
R_HMR_4310	false	false	FB2N0	FB3N1000	2.7.1.3	R00866	KHK	MNXR100936	NA	NA
R_HMR_4315	true	false	FB1N1000	FB3N1000	1.1.1.14	R00875	NA	MNXR104283	NA	NA
R_HMR_4316	true	false	FB1N1000	FB3N1000	1.1.1.21	R01787	NA	MNXR104287	NA	NA
R_HMR_4317	false	false	FB2N0	FB3N1000	2.7.1.-	NA	NA	MNXR103725	NA	NA
R_HMR_4318	false	false	FB2N0	FB3N1000	2.7.1.-	NA	NA	NA	NA	NA
R_HMR_4319	false	false	FB2N0	FB3N1000	2.7.1.1	R00760	HEX7	MNXR100614	NA	NA
R_HMR_4320	false	false	FB2N0	FB3N1000	2.7.1.-	NA	NA	MNXR103514	NA	NA
R_HMR_4356	false	false	FB2N0	FB3N1000	4.1.2.13	R02568	FBA2	MNXR99460	NA	NA
R_HMR_4383	true	false	FB1N1000	FB3N1000	5.3.1.8	R00772	MAN6PI	MNXR101382	NA	NA
R_HMR_4385	false	false	FB2N0	FB3N1000	5.4.2.8	R01818	PMANM	MNXR101729	NA	NA
R_HMR_4386	false	false	FB2N0	FB3N1000	2.7.7.22; 2.7.7.13	R00883	MAN1PT2	MNXR101376	NA	NA
R_HMR_4387	false	false	FB2N0	FB3N1000	2.7.7.13	R00885	NA	MNXR101375	NA	NA
R_HMR_4399	false	false	FB2N0	FB3N1000	4.2.1.47	R00888	GMAND	MNXR100377	NA	NA
R_HMR_4400	false	false	FB2N0	FB3N1000	1.1.1.271	R05692	NA	MNXR100108	NA	NA
R_HMR_4401	true	false	FB1N1000	FB3N1000	2.7.7.30	R01951	F1PGT	MNXR99061	NA	NA
R_HMR_4402	true	false	FB1N1000	FB3N1000	2.7.1.52	R03161	FK	MNXR107992	NA	NA
R_HMR_4403	false	false	FB2N0	FB3N1000	5.3.1.25	R03163	NA	MNXR107994	NA	NA
R_HMR_4490	false	false	FB2N0	FB3N1000	2.7.1.1	R01326	HEX4	MNXR95795	NA	NA
R_HMR_4706	false	false	FB2N0	FB3N1000	3.1.3.46; 3.1.3.11	R00763	FBP26	MNXR106671	NA	NA
R_HMR_8768	false	false	FB2N0	FB3N1000	1.1.1.271	R05692	GFUCS	MNXR100108	NA	NA
R_HMR_4590	false	false	FB2N0	FB3N1000	1.1.1.10	R01904	XYLUR	MNXR105265	NA	NA
R_HMR_4591	false	false	FB2N0	FB3N1000	1.1.1.15	R05831	NA	MNXR105262	NA	NA
R_HMR_4592	true	false	FB1N1000	FB3N1000	1.1.1.21	R01431	NA	MNXR105261	NA	NA
R_HMR_4593	false	false	FB2N0	FB3N1000	1.1.1.9	R01896	NA	MNXR105262	NA	NA
R_HMR_4594	false	false	FB2N0	FB3N1000	1.1.1.179	R01430	NA	MNXR105257	NA	NA
R_HMR_4595	true	false	FB1N1000	FB3N1000	2.7.1.17	R01639	NA	MNXR105255	NA	NA
R_HMR_8341	false	false	FB2N0	FB3N1000	1.1.1.21; 1.1.1.2	R01759	ARABR	MNXR95911	NA	NA
R_HMR_8342	true	false	FB1N1000	FB3N1000	NA	R01903	ABTD	MNXR95187	NA	NA
R_HMR_8344	true	false	FB1N1000	FB3N1000	NA	R01481	GULNDer	MNXR100472	NA	NA
R_HMR_8352	true	false	FB1N1000	FB3N1000	NA	R02640	GULN3D	MNXR100471	NA	NA
R_HMR_8353	true	false	FB1N1000	FB3N1000	NA	R01905	DHAPAx	MNXR97362	NA	NA
R_HMR_8726	false	false	FB2N0	FB3N1000	NA	R01526	RBK_Dr	MNXR103432	NA	NA
R_HMR_8727	false	false	FB2N0	FB3N1000	2.4.1.117	NA	UDPG1P	MNXR105055	NA	NA
R_HMR_8728	false	false	FB2N0	FB3N1000	NA	NA	GUR1PP	MNXR100480	NA	NA
R_HMR_8729	false	false	FB2N0	FB3N1000	4.1.1.35	R08615	UDPGNP	MNXR105069	NA	NA
R_HMR_6537	true	false	FB1N1000	FB3N1000	1.1.1.2	R01481	NA	MNXR100472	NA	NA
R_HMR_1568	false	false	FB2N0	FB3N1000	1.2.1.4; 1.2.1.5	R00710	ALDD2x	MNXR95749	NA	NA
R_HMR_3853	false	false	FB2N0	FB3N1000	4.4.1.5	R02530	LGTHL	MNXR100355	NA	NA
R_HMR_3854	false	false	FB2N0	FB3N1000	1.1.1.21	R02531	NA	MNXR95715	NA	NA
R_HMR_3855	false	false	FB2N0	FB3N1000	1.1.1.21	R02577	NA	MNXR107414	NA	NA
R_HMR_3857	false	false	FB2N0	FB3N1000	3.1.2.6	R01736	GLYOX	MNXR100353	NA	NA
R_HMR_3859	false	false	FB2N0	FB3N1000	1.1.2.4	R00197	D_LACDcm	MNXR106428	NA	NA
R_HMR_4087	false	false	FB2N0	FB3N1000	1.1.1.38; 1.1.1.39	R00214	ME1m	MNXR101446	NA	NA
R_HMR_4089	false	false	FB2N0	FB3N1000	1.1.1.38; 1.1.1.40	R00216	ME2	MNXR101443	NA	NA
R_HMR_4091	false	false	FB2N0	FB3N1000	1.1.1.38; 1.1.1.40	R00216	ME2m	MNXR101443	NA	NA
R_HMR_4093	false	false	FB2N0	FB3N1000	3.1.2.1	R00227	ACOAH	MNXR95363	NA	NA
R_HMR_4095	false	false	FB2N0	FB3N1000	3.1.2.1	R00227	ACOAHim	MNXR95363	NA	NA
R_HMR_4101	false	false	FB2N0	FB3N1000	4.1.1.32	R00431	PEPCK_re	MNXR102487	NA	NA
R_HMR_4103	false	false	FB2N0	FB3N1000	4.1.1.32	R00431	PEPCKm	MNXR102487	NA	NA
R_HMR_4143	false	false	FB2N0	FB3N1000	6.4.1.1	R00344	PCm	MNXR102391	NA	NA
R_HMR_4193	false	false	FB2N0	FB3N1000	2.7.1.40	R00572	NA	MNXR103373	NA	NA
R_HMR_8497	false	false	FB2N0	FB3N1000	1.1.1.21; 1.1.1.2	R02528	ALR2	MNXR95788	NA	NA
R_HMR_8498	false	false	FB2N0	FB3N1000	NA	NA	ACTNMO	MNXR95423	NA	NA
R_HMR_8499	false	false	FB2N0	FB3N1000	NA	NA	ACTLMO	MNXR95422	NA	NA
R_HMR_8500	false	false	FB2N0	FB3N1000	1.1.1.21; 1.1.1.2	NA	ALR3	MNXR95789	NA	NA
R_HMR_8501	false	false	FB2N0	FB3N1000	1.1.1.79; 1.1.1.81	NA	LALDD	MNXR101007	NA	NA
R_HMR_8502	true	false	FB1N1000	FB3N1000	1.1.1.1	R03082	LALDO	MNXR101009	NA	NA
R_HMR_8503	false	false	FB2N0	FB3N1000	1.2.1.4; 1.2.1.5	NA	LCADi	MNXR101018	NA	NA
R_HMR_8504	false	false	FB2N0	FB3N1000	1.2.1.3	R01735	LCADi_D	MNXR101019	NA	NA
R_HMR_8506	false	false	FB2N0	FB3N1000	1.2.1.3	NA	LCADm	MNXR101018	NA	NA
R_HMR_8507	false	false	FB2N0	FB3N1000	NA	NA	ALCD21_D	MNXR95713	NA	NA
R_HMR_8508	false	false	FB2N0	FB3N1000	NA	NA	LCARS	MNXR95714	NA	NA
R_HMR_8509	false	false	FB2N0	FB3N1000	1.1.1.21; 1.1.1.2	NA	PPDOy	MNXR103108	NA	NA
R_HMR_8511	false	false	FB2N0	FB3N1000	3.1.2.6	R01736	GLYOXm	MNXR100353	NA	NA
R_HMR_8512	true	false	FB1N1000	FB3N1000	1.1.2.4	R00704	LDH_D	MNXR101037	NA	NA
R_HMR_8514	false	false	FB2N0	FB3N1000	1.1.2.4	R00196	L_LACDcm	NA	NA	NA
R_HMR_8516	false	false	FB2N0	FB3N1000	NA	R01016	MGSA	MNXR101551	NA	NA
R_HMR_8517	false	false	FB2N0	FB3N1000	4.2.3.3	R01016	MGSA2	MNXR101551	NA	NA
R_HMR_4280	true	false	FB1N1000	FB3N1000	1.1.1.27	R00703	LDH_Lm	MNXR101040	NA	NA
R_HMR_0153	false	false	FB2N0	FB3N1000	6.2.1.17; 6.2.1.1; 3.1.2.2	R00925	ACS2	MNXR106753	NA	NA
R_HMR_3212	false	false	FB2N0	FB3N1000	1.3.99.3	R00924	PPCOAOm	MNXR103101	NA	NA
R_HMR_3797	true	false	FB1N1000	FB3N1000	6.2.1.17	R00925	ACCOALm	MNXR106753	NA	NA
R_HMR_3800	false	false	FB2N0	FB3N1000	1.2.7.2	NA	OBDHm	MNXR102133	NA	NA
R_HMR_4105	false	false	FB2N0	FB3N1000	4.1.1.9	R00233	MCD	MNXR101412	NA	NA
R_HMR_4106	false	false	FB2N0	FB3N1000	4.1.1.9	R00233	MCDm	MNXR101412	NA	NA
R_HMR_4107	false	false	FB2N0	FB3N1000	4.1.1.9	R00233	MCDp	MNXR101412	NA	NA
R_HMR_4282	false	false	FB2N0	FB3N1000	1.2.1.18; 1.2.1.27	R00705	MMSAD3m	MNXR101665	NA	NA
R_HMR_4331	true	false	FB1N1000	FB3N1000	6.2.1.17; 6.2.1.1	R00926	NA	MNXR105315	NA	NA
R_HMR_4459	false	false	FB2N0	FB3N1000	6.2.1.1; 6.2.1.17	R01354	NA	MNXR105322	NA	NA
R_HMR_4460	true	false	FB1N1000	FB3N1000	6.2.1.1; 6.2.1.17	R01354	NA	MNXR105322	NA	NA
R_HMR_4464	false	false	FB2N0	FB3N1000	4.1.1.4	R01366	ADCim	MNXR95442	NA	NA
R_HMR_4497	false	false	FB2N0	FB3N1000	1.1.1.59	R01608	NA	MNXR94902	NA	NA
R_HMR_4741	false	false	FB2N0	FB3N1000	3.1.2.4	R03158	NA	MNXR94900	NA	NA
R_HMR_8078	false	false	FB2N0	FB3N1000	NA	R00931	MCITS	MNXR101417	NA	NA
R_HMR_9803	true	false	FB1N1000	FB3N1000	NA	R00744	NA	MNXR102146	NA	NA
R_HMR_9804	true	false	FB1N1000	FB3N1000	1.1.1.-	R04919	NA	MNXR100685	NA	NA
R_HMR_0718	false	false	FB2N0	FB3N1000	1.1.99.2	R03534	NA	MNXR100626	NA	NA
R_HMR_0719	false	false	FB2N0	FB3N1000	1.1.1.95	R08198	NA	MNXR111769	NA	NA
R_HMR_1434	true	false	FB1N1000	FB3N1000	2.3.1.9	R00238	ACACT1r	MNXR95194	NA	NA
R_HMR_1436	false	false	FB2N0	FB3N1000	6.2.1.16	R01357	AACOAT	MNXR95136	NA	NA
R_HMR_3163	false	false	FB2N0	FB3N1000	1.3.99.3	R01175	ACOAD1fm	MNXR95302	R-HSA-77319	NA
R_HMR_4461	true	false	FB1N1000	FB3N1000	1.1.1.30	R01361	BDHm	MNXR96232	NA	NA
R_HMR_4604	false	false	FB2N0	FB3N1000	2.3.3.10	R01978	NA	MNXR100660	NA	NA
R_HMR_5351	true	false	FB1N1000	FB3N1000	1.1.1.27	R01000	NA	MNXR94796	NA	NA
R_HMR_7709	true	false	FB1N1000	FB3N1000	4.2.1.55	R03027	3HBCDm	MNXR107898	NA	NA
R_HMR_4052	false	false	FB2N0	FB3N1000	2.7.6.1	R01049	PRPPS	MNXR103215	NA	NA
R_HMR_4304	false	false	FB2N0	FB3N1000	1.1.1.49	R00835	G6PDH2er	MNXR99907	NA	NA
R_HMR_4306	true	false	FB1N1000	FB3N1000	1.1.1.49	R00835	G6PDH2r	MNXR99907	NA	NA
R_HMR_4350	true	false	FB1N1000	FB3N1000	2.7.1.15	R01051	RBK	MNXR103431	NA	NA
R_HMR_4351	true	false	FB1N1000	FB3N1000	5.3.1.6	R01056	NA	MNXR104084	NA	NA
R_HMR_4352	true	false	FB1N1000	FB3N1000	5.3.1.6	R01056	RPI	MNXR104084	NA	NA
R_HMR_4354	true	false	FB1N1000	FB3N1000	5.4.2.2; 5.4.2.7	R01057	PPM	MNXR103115	NA	NA
R_HMR_4398	true	false	FB1N1000	FB3N1000	4.1.2.4	R01066	DRPA	MNXR97787	NA	NA
R_HMR_4404	true	false	FB1N1000	FB3N1000	2.2.1.1	R01067	TKT2	MNXR104869	NA	NA
R_HMR_4473	false	false	FB2N0	FB3N1000	1.1.1.44	R01528	GNDer	MNXR100389	NA	NA
R_HMR_4474	false	false	FB2N0	FB3N1000	1.1.1.44	R01528	GND	MNXR100389	NA	NA
R_HMR_4476	true	false	FB1N1000	FB3N1000	2.3.1.57	R01737	NA	MNXR100390	NA	NA
R_HMR_4477	true	false	FB1N1000	FB3N1000	5.1.3.1	R01529	RPE	MNXR104083	NA	NA
R_HMR_4501	true	false	FB1N1000	FB3N1000	2.2.1.1	R01641	TKT1	MNXR104868	NA	NA
R_HMR_4565	true	false	FB1N1000	FB3N1000	2.2.1.2	R08575	TALA	MNXR104715	NA	NA
R_HMR_4567	true	false	FB1N1000	FB3N1000	2.7.1.11	R01843	NA	MNXR102510	NA	NA
R_HMR_4568	true	false	FB1N1000	FB3N1000	2.7.1.11	NA	NA	MNXR105339	NA	NA
R_HMR_9799	true	false	FB1N1000	FB3N1000	2.7.1.14	R01844	NA	MNXR107202	NA	NA
R_HMR_9800	true	false	FB1N1000	FB3N1000	2.7.1.3	R03819	NA	MNXR108451	NA	NA
R_HMR_4623	false	false	FB2N0	FB3N1000	3.1.1.31	R02035	PGLer	MNXR102539	NA	NA
R_HMR_4625	false	false	FB2N0	FB3N1000	3.1.1.31	R02035	PGL	MNXR102539	NA	NA
R_HMR_4710	true	false	FB1N1000	FB3N1000	5.4.2.7	R02749	NA	MNXR103116	NA	NA
R_HMR_4841	true	false	FB1N1000	FB3N1000	1.2.1.5	NA	NA	MNXR105388	NA	NA
R_HMR_8074	false	false	FB2N0	FB3N1000	2.7.1.15	R02750	DRPA	MNXR97787	NA	NA
R_HMR_8653	true	false	FB1N1000	FB3N1000	3.1.1.31	R10520	G6PDH2r	MNXR99907	NA	NA
R_HMR_3998	false	false	FB2N0	FB3N1000	3.6.1.5; 3.6.1.6	R00122	NA	MNXR96129	NA	NA
R_HMR_4000	false	false	FB2N0	FB3N1000	4.6.1.1; 4.6.1.2	R00089	ADNCYC	MNXR95444	NA	NA
R_HMR_4002	true	false	FB1N1000	FB3N1000	2.7.4.3	R00127	ADK1	MNXR95450	NA	NA
R_HMR_4004	true	false	FB1N1000	FB3N1000	2.7.4.3	R00127	ADK1m	MNXR95450	NA	NA
R_HMR_4010	false	false	FB2N0	FB3N1000	3.1.3.5	R00183	NTD7	MNXR102037	NA	NA
R_HMR_4081	false	false	FB2N0	FB3N1000	3.1.3.5	R00183	NTD7e	MNXR102037	NA	NA
R_HMR_4082	false	false	FB2N0	FB3N1000	3.1.3.5	R00183	NA	MNXR102037	NA	NA
R_HMR_4012	false	false	FB2N0	FB3N1000	2.7.1.20; 2.7.1.74	R00185	ADNK1	MNXR95456	NA	NA
R_HMR_4014	false	false	FB2N0	FB3N1000	3.1.4.17	R00191	PDE1	MNXR95886	NA	NA
R_HMR_4020	true	false	FB1N1000	FB3N1000	2.7.4.8	R00332	GK1	MNXR100144	NA	NA
R_HMR_4022	false	false	FB2N0	FB3N1000	4.6.1.1; 4.6.1.2	R00434	GUACYC	MNXR100463	NA	NA
R_HMR_4038	true	false	FB1N1000	FB3N1000	3.5.4.10	R01127	IMPC	MNXR100783	NA	NA
R_HMR_4040	false	false	FB2N0	FB3N1000	1.1.1.205	R01130	IMPD	MNXR100830	NA	NA
R_HMR_4042	false	false	FB2N0	FB3N1000	6.3.4.4	R01135	ADSS	MNXR95495	NA	NA
R_HMR_4046	false	false	FB2N0	FB3N1000	6.3.5.2	R01231	GMPS2	MNXR100384	NA	NA
R_HMR_4048	false	false	FB2N0	FB3N1000	3.1.4.17; 3.1.4.35	R01234	PDE4	MNXR100078	NA	NA
R_HMR_4080	false	false	FB2N0	FB3N1000	3.5.4.17; 3.5.4.6	R00181	AMPDA	MNXR95824	NA	NA
R_HMR_4085	true	false	FB1N1000	FB3N1000	2.4.2.7	R00190	ADPT	MNXR95482	NA	NA
R_HMR_4086	true	false	FB1N1000	FB3N1000	2.4.2.7	R00190	NA	MNXR95482	NA	NA
R_HMR_4134	false	false	FB2N0	FB3N1000	3.6.1.5; 3.6.1.6; 3.6.1.42	R00328	NDP3ex	MNXR101928	NA	NA
R_HMR_4135	true	false	FB1N1000	FB3N1000	2.7.4.8	R00332	GK1m	MNXR100144	NA	NA
R_HMR_4168	false	false	FB2N0	FB3N1000	3.6.1.19; 3.6.1.8	R00426	NA	MNXR102052	NA	NA
R_HMR_4171	false	false	FB2N0	FB3N1000	2.7.1.40	R00430	NA	MNXR100460	NA	NA
R_HMR_4290	false	false	FB2N0	FB3N1000	3.6.1.5	R00719	NA	MNXR100892	NA	NA
R_HMR_4406	false	false	FB2N0	FB3N1000	2.4.2.14	R01072	GLUPRT	MNXR100287	NA	NA
R_HMR_4412	true	false	FB1N1000	FB3N1000	4.3.2.2	R01083	ADSL1r	MNXR95493	NA	NA
R_HMR_4417	false	false	FB2N0	FB3N1000	3.1.3.5	R01126	NTD11	MNXR102030	NA	NA
R_HMR_4418	true	false	FB1N1000	FB3N1000	2.4.2.8	R01132	HXPRT	MNXR100752	NA	NA
R_HMR_4419	false	false	FB2N0	FB3N1000	1.7.1.7	R01134	NA	MNXR100382	NA	NA
