SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,1,11,Alabama,Bullock County,12,11,577,328,249,100,38,223,207,3,1,1,2,1,0,0,1,100,39,223,208,3,1,1,2,1,0,324,241,98,33,222,205,3,1,1,2,0,0,0,0,98,33,222,205,3,1,1,2,0,0,4,8,2,5,1,2,0,0,0,0,1,0,0,1,2,6,1,3,0,0,0,0,1,0
50,1,13,Alabama,Butler County,11,5,1082,548,534,253,217,279,306,3,3,9,3,0,0,4,5,257,221,282,309,4,5,10,4,0,0,545,526,252,210,278,306,3,3,9,3,0,0,3,4,255,214,280,309,3,4,10,3,0,0,3,8,1,7,1,0,0,0,0,0,0,0,1,1,2,7,2,0,1,1,0,1,0,0
50,1,15,Alabama,Calhoun County,5,12,8399,4055,4344,3224,3369,737,874,37,24,21,41,4,1,32,35,3253,3399,746,887,63,49,28,47,5,4,3996,4273,3178,3311,728,869,37,23,19,39,4,1,30,30,3205,3337,735,878,62,46,26,44,5,4,59,71,46,58,9,5,0,1,2,2,0,0,2,5,48,62,11,9,1,3,2,3,0,0
50,1,15,Alabama,Calhoun County,7,4,7649,3859,3790,2692,2602,1037,1052,15,13,28,29,8,3,79,91,2767,2687,1086,1110,37,40,46,46,10,7,3702,3643,2558,2475,1024,1042,13,11,26,27,7,2,74,86,2629,2556,1070,1099,33,34,42,43,9,6,157,147,134,127,13,10,2,2,2,2,1,1,5,5,138,131,16,11,4,6,4,3,1,1
50,1,15,Alabama,Calhoun County,11,4,7560,3799,3761,2659,2511,999,1062,17,16,23,37,6,4,95,131,2744,2637,1062,1145,42,52,41,74,9,15,3587,3535,2481,2326,978,1042,12,12,22,35,4,3,90,117,2562,2440,1038,1118,35,42,39,68,7,12,212,226,178,185,21,20,5,4,1,2,2,1,5,14,182,197,24,27,7,10,2,6,2,3
50,1,15,Alabama,Calhoun County,13,2,6550,3300,3250,2273,2216,806,798,16,12,22,27,2,4,181,193,2445,2400,938,941,45,39,56,64,9,15,3069,3021,2069,2024,798,786,7,5,21,22,2,2,172,182,2232,2200,924,923,34,27,53,58,9,10,231,229,204,192,8,12,9,7,1,5,0,2,9,11,213,200,14,18,11,12,3,6,0,5
50,1,17,Alabama,Chambers County,3,16,1082,421,661,320,465,99,188,0,0,0,4,0,0,2,4,321,467,100,189,1,4,1,5,0,0,418,656,318,461,98,188,0,0,0,4,0,0,2,3,319,463,99,189,1,3,1,4,0,0,3,5,2,4,1,0,0,0,0,0,0,0,0,1,2,4,1,0,0,1,0,1,0,0
50,1,17,Alabama,Chambers County,7,12,2496,1176,1320,695,770,463,532,4,4,7,7,0,1,7,6,701,773,465,534,10,7,7,9,0,3,1156,1312,683,765,455,529,4,4,7,7,0,1,7,6,689,768,457,531,10,7,7,9,0,3,20,8,12,5,8,3,0,0,0,0,0,0,0,0,12,5,8,3,0,0,0,0,0,0
50,1,17,Alabama,Chambers County,8,16,1070,491,579,357,376,125,196,2,2,5,3,0,0,2,2,359,377,125,197,4,3,5,4,0,0,487,574,353,373,125,195,2,2,5,3,0,0,2,1,355,374,125,195,4,3,5,3,0,0,4,5,4,3,0,1,0,0,0,0,0,0,0,1,4,3,0,2,0,0,0,1,0,0
50,1,17,Alabama,Chambers County,11,2,1945,949,996,499,510,408,441,11,3,7,4,0,0,24,38,522,545,428,473,14,6,8,8,1,5,891,930,459,454,398,433,6,2,6,4,0,0,22,37,481,489,416,464,8,5,7,8,1,4,58,66,40,56,10,8,5,1,1,0,0,0,2,1,41,56,12,9,6,1,1,0,0,1
50,1,19,Alabama,Cherokee County,3,11,2095,1033,1062,957,985,58,60,10,8,2,2,0,0,6,7,963,991,60,63,13,14,2,2,1,0,1027,1056,951,979,58,60,10,8,2,2,0,0,6,7,957,985,60,63,13,14,2,2,1,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
50,1,21,Alabama,Chilton County,7,1,2891,1473,1418,1225,1179,165,172,8,4,9,12,1,0,65,51,1286,1226,216,216,17,10,18,16,2,2,1265,1232,1032,1005,159,165,4,1,7,12,0,0,63,49,1091,1050,208,207,13,7,16,16,1,2,208,186,193,174,6,7,4,3,2,0,1,0,2,2,195,176,8,9,4,3,2,0,1,0
50,1,21,Alabama,Chilton County,10,10,2891,1466,1425,1312,1249,126,147,13,5,5,8,4,1,6,15,1317,1262,130,152,15,13,6,12,4,1,1350,1332,1215,1164,120,144,5,2,5,8,1,0,4,14,1218,1176,122,149,7,9,6,12,1,0,116,93,97,85,6,3,8,3,0,0,3,1,2,1,99,86,8,3,8,4,0,0,3,1
50,1,21,Alabama,Chilton County,12,16,1398,655,743,603,679,44,55,4,2,0,3,0,0,4,4,607,682,44,57,7,5,0,3,1,0,648,739,596,675,44,55,4,2,0,3,0,0,4,4,600,678,44,57,7,5,0,3,1,0,7,4,7,4,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0
50,1,23,Alabama,Choctaw County,9,2,676,349,327,197,191,145,132,1,1,0,0,0,0,6,3,203,194,149,135,1,1,2,0,0,0,342,311,191,179,144,128,1,1,0,0,0,0,6,3,197,182,148,131,1,1,2,0,0,0,7,16,6,12,1,4,0,0,0,0,0,0,0,0,6,12,1,4,0,0,0,0,0,0
50,1,23,Alabama,Choctaw County,10,11,953,450,503,254,267,196,235,0,1,0,0,0,0,0,0,254,267,196,235,0,1,0,0,0,0,450,503,254,267,196,235,0,1,0,0,0,0,0,0,254,267,196,235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,23,Alabama,Choctaw County,11,16,577,280,297,193,183,84,109,0,1,0,0,0,0,3,4,193,186,87,110,3,4,0,1,0,0,277,296,191,182,83,109,0,1,0,0,0,0,3,4,191,185,86,110,3,4,0,1,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
50,1,23,Alabama,Choctaw County,12,0,12577,5934,6643,3508,3697,2360,2875,14,10,8,16,0,0,44,45,3546,3738,2390,2896,27,30,17,21,2,4,5876,6570,3464,3638,2347,2865,13,10,8,13,0,0,44,44,3502,3678,2377,2886,26,30,17,18,2,3,58,73,44,59,13,10,1,0,0,3,0,0,0,1,44,60,13,10,1,0,0,3,0,1
50,1,23,Alabama,Choctaw County,13,14,851,372,479,200,252,172,224,0,1,0,1,0,0,0,1,200,253,172,224,0,2,0,1,0,0,372,476,200,250,172,223,0,1,0,1,0,0,0,1,200,251,172,223,0,2,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
50,1,25,Alabama,Clarke County,1,3,1945,955,990,454,452,482,522,5,5,2,3,0,0,12,8,465,459,489,528,12,9,3,4,1,1,940,980,445,445,477,520,5,5,2,3,0,0,11,7,455,451,483,525,12,9,2,3,0,0,15,10,9,7,5,2,0,0,0,0,0,0,1,1,10,8,6,3,0,0,1,1,1,1
50,1,25,Alabama,Clarke County,2,3,1945,955,990,454,452,482,522,5,5,2,3,0,0,12,8,465,459,489,528,12,9,3,4,1,1,940,980,445,445,477,520,5,5,2,3,0,0,11,7,455,451,483,525,12,9,2,3,0,0,15,10,9,7,5,2,0,0,0,0,0,0,1,1,10,8,6,3,0,0,1,1,1,1
50,1,25,Alabama,Clarke County,5,7,1485,670,815,352,386,303,410,4,5,7,11,0,0,4,3,355,389,305,412,7,6,7,11,0,0,662,801,345,375,303,407,3,5,7,11,0,0,4,3,348,378,305,409,6,6,7,11,0,0,8,14,7,11,0,3,1,0,0,0,0,0,0,0,7,11,0,3,1,0,0,0,0,0
50,1,27,Alabama,Clay County,7,17,321,136,185,126,169,8,14,1,1,0,0,0,0,1,1,126,170,9,14,2,2,0,0,0,0,136,183,126,167,8,14,1,1,0,0,0,0,1,1,126,168,9,14,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
50,1,27,Alabama,Clay County,12,3,784,414,370,343,289,54,56,2,1,1,0,0,0,14,24,355,313,65,71,5,7,3,3,0,0,388,354,320,277,52,52,1,1,1,0,0,0,14,24,332,301,63,67,4,7,3,3,0,0,26,16,23,12,2,4,1,0,0,0,0,0,0,0,23,12,2,4,1,0,0,0,0,0
50,1,27,Alabama,Clay County,13,3,784,420,364,344,274,58,64,1,2,1,0,0,0,16,24,359,298,72,82,2,5,3,3,0,0,399,344,324,259,57,59,1,2,1,0,0,0,16,24,339,283,71,77,2,5,3,3,0,0,21,20,20,15,1,5,0,0,0,0,0,0,0,0,20,15,1,5,0,0,0,0,0,0
50,1,29,Alabama,Cleburne County,10,12,1082,520,562,494,534,18,19,3,3,0,2,0,0,5,4,499,538,18,20,7,5,1,3,0,0,510,554,484,528,18,19,3,2,0,2,0,0,5,3,489,531,18,19,7,4,1,3,0,0,10,8,10,6,0,0,0,1,0,0,0,0,0,1,10,7,0,1,0,1,0,0,0,0
50,1,31,Alabama,Coffee County,8,4,3379,1780,1599,1296,1138,339,345,21,32,22,14,7,4,95,66,1380,1200,388,378,51,54,48,32,12,6,1619,1486,1161,1052,327,334,21,28,21,14,3,0,86,58,1239,1106,371,364,46,47,46,30,7,2,161,113,135,86,12,11,0,4,1,0,4,4,9,8,141,94,17,14,5,7,2,2,5,4
50,1,33,Alabama,Colbert County,3,2,3111,1590,1521,1252,1188,256,260,6,10,13,14,1,1,62,48,1313,1235,299,296,19,18,20,17,2,3,1517,1457,1196,1134,248,254,4,10,11,13,1,0,57,46,1252,1179,289,288,15,18,17,16,2,2,73,64,56,54,8,6,2,0,2,1,0,1,5,2,61,56,10,8,4,0,3,1,0,1
50,1,33,Alabama,Colbert County,11,5,3111,1555,1556,1207,1176,290,314,9,14,4,8,2,2,43,42,1249,1216,312,337,24,28,12,13,4,6,1499,1512,1160,1144,282,311,9,13,4,7,2,2,42,35,1201,1177,303,331,24,24,12,11,4,4,56,44,47,32,8,3,0,1,0,1,0,0,1,7,48,39,9,6,0,4,0,2,0,2
50,1,35,Alabama,Conecuh County,1,7,676,291,385,148,171,137,209,1,0,0,0,0,0,5,5,151,176,141,212,3,2,3,0,1,0,279,378,143,168,134,207,1,0,0,0,0,0,1,3,144,171,135,209,1,1,0,0,0,0,12,7,5,3,3,2,0,0,0,0,0,0,4,2,7,5,6,3,2,1,3,0,1,0
50,1,37,Alabama,Coosa County,2,0,11756,5942,5814,3964,3858,1884,1851,37,26,4,12,7,10,46,57,3998,3897,1898,1876,70,64,7,15,16,20,5800,5725,3877,3813,1863,1832,21,20,2,12,0,0,37,48,3910,3852,1877,1857,45,49,5,15,1,1,142,89,87,45,21,19,16,6,2,0,7,10,9,9,88,45,21,19,25,15,2,0,15,19
50,1,37,Alabama,Coosa County,4,8,676,340,336,228,211,107,117,1,1,0,2,1,1,3,4,231,215,109,119,2,2,0,3,1,1,324,325,215,204,106,115,1,1,0,2,0,0,2,3,217,207,107,116,2,2,0,3,0,0,16,11,13,7,1,2,0,0,0,0,1,1,1,1,14,8,2,3,0,0,0,0,1,1
50,1,37,Alabama,Coosa County,9,17,271,112,159,80,114,29,45,2,0,0,0,0,0,1,0,81,114,29,45,2,0,1,0,0,0,111,157,80,112,28,45,2,0,0,0,0,0,1,0,81,112,28,45,2,0,1,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
50,1,37,Alabama,Coosa County,9,18,271,94,177,70,126,22,51,0,0,0,0,0,0,2,0,72,126,23,51,2,0,0,0,0,0,94,177,70,126,22,51,0,0,0,0,0,0,2,0,72,126,23,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,37,Alabama,Coosa County,10,18,271,95,176,71,126,22,50,0,0,0,0,0,0,2,0,73,126,22,50,1,0,1,0,0,0,95,176,71,126,22,50,0,0,0,0,0,0,2,0,73,126,22,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,39,Alabama,Covington County,8,9,2238,1105,1133,944,936,132,174,6,7,14,7,0,0,9,9,952,945,134,174,12,15,16,8,1,0,1086,1119,931,926,131,172,5,5,12,7,0,0,7,9,937,935,132,172,10,13,14,8,1,0,19,14,13,10,1,2,1,2,2,0,0,0,2,0,15,10,2,2,2,2,2,0,0,0
50,1,41,Alabama,Crenshaw County,9,18,321,87,234,65,195,21,36,0,1,0,0,0,0,1,2,66,196,22,37,1,3,0,0,0,0,84,232,62,193,21,36,0,1,0,0,0,0,1,2,63,194,22,37,1,3,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
50,1,41,Alabama,Crenshaw County,13,14,851,387,464,285,355,92,93,4,5,1,3,0,0,5,8,290,361,92,97,9,10,1,4,0,0,383,459,284,351,90,92,4,5,1,3,0,0,4,8,288,357,90,96,8,10,1,4,0,0,4,5,1,4,2,1,0,0,0,0,0,0,1,0,2,4,2,1,1,0,0,0,0,0
50,1,43,Alabama,Cullman County,4,6,4790,2453,2337,2366,2241,31,29,12,9,13,25,7,3,24,30,2390,2269,36,38,30,28,14,27,7,5,2218,2205,2157,2114,24,29,7,6,13,25,2,2,15,29,2172,2141,27,37,18,25,14,27,2,4,235,132,209,127,7,0,5,3,0,0,5,1,9,1,218,128,9,1,12,3,0,0,5,1
50,1,45,Alabama,Dale County,5,4,3111,1646,1465,1123,952,433,417,12,7,15,17,2,0,61,72,1177,1019,463,456,36,30,28,38,6,2,1516,1365,1029,871,412,412,10,6,14,15,1,0,50,61,1074,927,439,446,27,25,25,35,4,1,130,100,94,81,21,5,2,1,1,2,1,0,11,11,103,92,24,10,9,5,3,3,2,1
50,1,45,Alabama,Dale County,8,9,3038,1488,1550,1150,1114,276,362,13,15,17,22,3,4,29,33,1177,1145,281,369,29,38,26,27,6,7,1393,1460,1077,1041,268,356,8,12,17,22,2,4,21,25,1097,1064,270,359,20,30,23,27,4,7,95,90,73,73,8,6,5,3,0,0,1,0,8,8,80,81,11,10,9,8,3,0,2,0
50,1,49,Alabama,DeKalb County,8,6,4107,2129,1978,1914,1821,48,40,48,46,54,6,25,18,40,47,1952,1865,52,51,80,81,61,9,26,19,1730,1678,1585,1576,43,31,18,25,48,4,1,0,35,42,1619,1616,46,39,45,57,55,7,2,1,399,300,329,245,5,9,30,21,6,2,24,18,5,5,333,249,6,12,35,24,6,2,24,18
50,1,51,Alabama,Elmore County,5,6,5139,2505,2634,1680,1942,743,627,21,17,34,17,4,2,23,29,1700,1971,750,638,31,28,41,22,6,6,2386,2515,1586,1835,734,621,14,16,33,15,1,2,18,26,1601,1861,741,630,22,26,37,20,3,6,119,119,94,107,9,6,7,1,1,2,3,0,5,3,99,110,9,8,9,2,4,2,3,0
50,1,53,Alabama,Escambia County,3,1,2388,1188,1200,671,719,407,392,53,30,2,3,2,0,53,56,722,771,445,430,65,45,8,8,4,3,1140,1165,633,690,402,390,52,29,2,2,1,0,50,54,681,740,439,427,63,43,7,7,3,3,48,35,38,29,5,2,1,1,0,1,1,0,3,2,41,31,6,3,2,2,1,1,1,0
50,1,53,Alabama,Escambia County,11,16,1296,555,741,425,542,112,176,14,15,0,1,0,0,4,7,429,547,112,179,18,20,0,2,0,0,552,736,424,538,110,175,14,15,0,1,0,0,4,7,428,543,110,178,18,20,0,2,0,0,3,5,1,4,2,1,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0
50,1,53,Alabama,Escambia County,12,12,2496,1236,1260,834,846,342,345,44,50,3,6,1,0,12,13,843,858,346,348,53,60,4,6,2,1,1211,1242,812,835,340,341,44,48,3,5,1,0,11,13,821,847,343,344,53,58,3,5,2,1,25,18,22,11,2,4,0,2,0,1,0,0,1,0,22,11,3,4,0,2,1,1,0,0
50,1,55,Alabama,Etowah County,7,11,7194,3502,3692,2952,3050,461,556,28,18,27,24,6,9,28,35,2978,3085,464,561,53,42,29,30,6,9,3417,3627,2883,3001,457,555,24,16,24,23,1,1,28,31,2909,3032,460,559,49,38,26,28,1,1,85,65,69,49,4,1,4,2,3,1,5,8,0,4,69,53,4,2,4,4,3,2,5,8
50,1,57,Alabama,Fayette County,1,16,577,242,335,230,289,12,42,0,2,0,0,0,0,0,2,230,291,12,42,0,4,0,0,0,0,242,334,230,289,12,41,0,2,0,0,0,0,0,2,230,291,12,41,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,1,57,Alabama,Fayette County,2,3,1145,618,527,517,458,87,59,2,4,3,0,0,0,9,6,526,464,93,64,3,5,5,0,0,0,613,516,514,451,87,58,0,1,3,0,0,0,9,6,523,457,93,63,1,2,5,0,0,0,5,11,3,7,0,1,2,3,0,0,0,0,0,0,3,7,0,1,2,3,0,0,0,0
50,1,57,Alabama,Fayette County,2,16,577,242,335,230,289,12,42,0,2,0,0,0,0,0,2,230,291,12,42,0,4,0,0,0,0,242,334,230,289,12,41,0,2,0,0,0,0,0,2,230,291,12,41,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,1,57,Alabama,Fayette County,3,16,577,243,334,230,290,13,41,0,1,0,0,0,0,0,2,230,292,13,42,0,2,0,0,0,0,243,333,230,290,13,40,0,1,0,0,0,0,0,2,230,292,13,41,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,1,57,Alabama,Fayette County,5,11,1296,639,657,551,571,80,77,3,6,1,1,0,0,4,2,554,573,82,78,7,7,1,1,0,0,635,654,547,569,80,77,3,5,1,1,0,0,4,2,550,571,82,78,7,6,1,1,0,0,4,3,4,2,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0
50,1,57,Alabama,Fayette County,9,10,1082,538,544,479,465,50,70,4,3,1,3,0,0,4,3,482,467,52,72,7,5,1,3,0,0,525,539,467,462,50,70,3,1,1,3,0,0,4,3,470,464,52,72,6,3,1,3,0,0,13,5,12,3,0,0,1,2,0,0,0,0,0,0,12,3,0,0,1,2,0,0,0,0
50,1,59,Alabama,Franklin County,8,13,1850,866,984,809,914,42,43,4,6,0,6,1,0,10,15,819,929,44,46,11,16,1,8,1,0,827,953,772,888,42,41,3,5,0,6,1,0,9,13,781,901,43,42,10,15,1,8,1,0,39,31,37,26,0,2,1,1,0,0,0,0,1,2,38,28,1,4,1,1,0,0,0,0
50,1,61,Alabama,Geneva County,9,18,577,196,381,185,354,11,24,0,1,0,1,0,0,0,1,185,355,11,24,0,1,0,2,0,0,191,381,180,354,11,24,0,1,0,1,0,0,0,1,180,355,11,24,0,1,0,2,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
50,1,63,Alabama,Greene County,1,16,255,102,153,35,43,67,110,0,0,0,0,0,0,0,0,35,43,67,110,0,0,0,0,0,0,102,152,35,43,67,109,0,0,0,0,0,0,0,0,35,43,67,109,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,1,63,Alabama,Greene County,2,16,255,102,153,35,43,67,110,0,0,0,0,0,0,0,0,35,43,67,110,0,0,0,0,0,0,102,152,35,43,67,109,0,0,0,0,0,0,0,0,35,43,67,109,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,1,63,Alabama,Greene County,5,16,257,112,145,26,47,86,98,0,0,0,0,0,0,0,0,26,47,86,98,0,0,0,0,0,0,112,144,26,47,86,97,0,0,0,0,0,0,0,0,26,47,86,97,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,1,63,Alabama,Greene County,7,18,257,81,176,19,46,62,128,0,0,0,0,0,0,0,2,19,47,62,130,0,1,0,0,0,0,81,176,19,46,62,128,0,0,0,0,0,0,0,2,19,47,62,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,63,Alabama,Greene County,11,15,419,172,247,52,56,119,187,1,1,0,0,0,0,0,3,52,59,119,188,1,2,0,1,0,0,171,244,52,55,118,186,1,0,0,0,0,0,0,3,52,58,118,187,1,1,0,1,0,0,1,3,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
50,1,63,Alabama,Greene County,12,16,321,140,181,40,55,99,122,0,3,1,0,0,0,0,1,40,56,99,122,0,3,1,1,0,0,139,179,40,55,98,121,0,2,1,0,0,0,0,1,40,56,98,121,0,2,1,1,0,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
50,1,65,Alabama,Hale County,5,0,15366,7284,8082,3082,3131,4132,4863,12,15,13,30,1,3,44,40,3121,3165,4149,4879,35,40,20,36,4,4,7199,8011,3019,3089,4116,4837,10,14,13,30,1,3,40,38,3054,3121,4132,4853,30,37,20,36,4,4,85,71,63,42,16,26,2,1,0,0,0,0,4,2,67,44,17,26,5,3,0,0,0,0
50,1,65,Alabama,Hale County,6,4,1082,526,556,155,191,365,361,2,3,2,0,0,0,2,1,156,192,367,361,3,3,2,1,0,0,517,548,148,188,364,356,2,3,2,0,0,0,1,1,148,189,365,356,3,3,2,1,0,0,9,8,7,3,1,5,0,0,0,0,0,0,1,0,8,3,2,5,0,0,0,0,0,0
