counterpart_area,prop,dcid
Croatia,lendingEntity,country/HRV
Cuba,lendingEntity,country/CUB
Cyprus,lendingEntity,country/CYP
Czechia,lendingEntity,country/CZE
Denmark,lendingEntity,country/DNK
Dev. Bank of the Central African States (BDEAC),lendingEntity,Dev_Bank_of_the_Central_African_States
East African Community,lendingEntity,East_African_Community
Eastern & Southern African Trade & Dev. Bank (TDB),lendingEntity,Eastern_Southern_African_Trade_Dev_Bank
ECO Trade and Dev. Bank,lendingEntity,ECO_Trade_and_Dev_Bank
Econ. Comm. of the Great Lakes Countries (ECGLC),lendingEntity,Econ_Comm_of_the_Great_Lakes_Countries
Economic Community of West African States (ECOWAS),lendingEntity,Economic_Community_of_West_African_States
Ecuador,lendingEntity,country/ECU
Egypt,lendingEntity,country/EGY
El Salvador,lendingEntity,country/SLV
Entente Council,lendingEntity,Entente_Council
Equatorial Guinea,lendingEntity,country/GNQ
Eswatini,lendingEntity,country/SWZ
Eurasian Development Bank,lendingEntity,Eurasian_Development_Bank
EUROFIMA,lendingEntity,EUROFIMA
European Bank for Reconstruction and Dev. (EBRD),lendingEntity,European_Bank_for_Reconstruction_and_Dev
European Coal and Steel Community (ECSC),lendingEntity,European_Coal_and_Steel_Community
European Development Fund (EDF),lendingEntity,European_Development_Fund
European Economic Community (EEC),lendingEntity,European_Economic_Community
European Investment Bank,lendingEntity,European_Investment_Bank
European Relief Fund,lendingEntity,European_Relief_Fund
European Social Fund (ESF),lendingEntity,European_Social_Fund
European Union,lendingEntity,European_Union
Finland,lendingEntity,country/FIN
Fondo Latinoamericano de Reservas (FLAR),lendingEntity,Fondo_Latinoamericano_de_Reservas
France,lendingEntity,country/FRA
Gabon,lendingEntity,country/GAB
"Gambia, The",lendingEntity,country/GMB
German Dem. Rep.,lendingEntity,German_Dem_Rep
"Germany, Fed. Rep. of",lendingEntity,country/DEU
Ghana,lendingEntity,country/GHA
Gibraltar,lendingEntity,country/GIB
Greece,lendingEntity,country/GRC
Grenada,lendingEntity,country/GRD
Guatemala,lendingEntity,country/GTM
Guyana,lendingEntity,country/GUY
Haiti,lendingEntity,country/HTI
Honduras,lendingEntity,country/HND
Hong Kong,lendingEntity,country/HKG
Hungary,lendingEntity,country/HUN
Iceland,lendingEntity,country/ISL
India,lendingEntity,country/IND
Indonesia,lendingEntity,country/IDN
Inter-American Dev. Bank,lendingEntity,Inter_American_Dev_Bank
International Bank for Economic Cooperation (IBEC),lendingEntity,International_Bank_for_Economic_Cooperation
International Coffee Organization (ICO),lendingEntity,International_Coffee_Organization
International Finance Corporation,lendingEntity,International_Finance_Corporation
International Fund for Agricultural Dev.,lendingEntity,International_Fund_for_Agricultural_Dev
International Investment Bank (IIB),lendingEntity,International_Investment_Bank
"Iran, Islamic Republic Of",lendingEntity,country/IRN
International Monetary Fund,lendingEntity,International_Monetary_Fund
Iraq,lendingEntity,country/IRQ
Ireland,lendingEntity,country/IRL
Islamic Dev. Bank,lendingEntity,Islamic_Dev_Bank
Islamic Solidarity Fund for Dev. (ISFD),lendingEntity,Islamic_Solidarity_Fund_for_Dev
Israel,lendingEntity,country/ISR
Italy,lendingEntity,country/ITA
Jamaica,lendingEntity,country/JAM
Japan,lendingEntity,country/JPN
Jordan,lendingEntity,country/JOR
Kazakhstan,lendingEntity,country/KAZ
Kenya,lendingEntity,country/KEN
"Korea, D.P.R. of",lendingEntity,country/PRK
"Korea, Republic of",lendingEntity,country/KOR
Kuwait,lendingEntity,country/KWT
Kyrgyz Republic,lendingEntity,country/KGZ
Latin Amer. Conf. of Saving & Credit Coop. (COLAC),lendingEntity,Latin_Amer_Conf_of_Saving_Credit_Coop
Latin American Agribusiness Dev. Corp. (LAAD),lendingEntity,Latin_American_Agribusiness_Dev_Corp
Lebanon,lendingEntity,country/LBN
Liberia,lendingEntity,country/LBR
Libya,lendingEntity,country/LBY
Luxembourg,lendingEntity,country/LUX
Macao,lendingEntity,country/MAC
Malaysia,lendingEntity,country/MYS
Mali,lendingEntity,country/MLI
Malta,lendingEntity,country/MLT
Mauritius,lendingEntity,country/MUS
Mexico,lendingEntity,country/MEX
Moldova,lendingEntity,country/MDA
Monaco,lendingEntity,country/MCO
Montenegro,lendingEntity,country/MNE
Morocco,lendingEntity,country/MAR
Multiple Lenders,lendingEntity,Multiple_Lenders
Namibia,lendingEntity,country/NAM
Neth. Antilles,lendingEntity,Neth_Antilles
Netherlands,lendingEntity,country/NLD
New Development Bank (NDB),lendingEntity,New_Development_Bank
New Zealand,lendingEntity,country/NZL
Nicaragua,lendingEntity,country/NIC
Niger,lendingEntity,country/NER
Nigeria,lendingEntity,country/NGA
Nordic Development Fund,lendingEntity,Nordic_Development_Fund
Nordic Environment Finance Corporation (NEFCO),lendingEntity,Nordic_Environment_Finance_Corporation
Nordic Investment Bank,lendingEntity,Nordic_Investment_Bank
North Macedonia,lendingEntity,country/MKD
North Korea,lendingEntity,country/PRK
Norway,lendingEntity,country/NOR
Oman,lendingEntity,country/OMN
OPEC Fund for International Dev.,lendingEntity,OPEC_Fund_for_International_Dev
Org. of Arab Petroleum Exporting Countries (OAPEC),lendingEntity,Org_of_Arab_Petroleum_Exporting_Countries
Other Multiple Lenders,lendingEntity,Other_Multiple_Lenders
Pakistan,lendingEntity,country/PAK
Panama,lendingEntity,country/PAN
Paraguay,lendingEntity,country/PRY
Peru,lendingEntity,country/PER
Philippines,lendingEntity,country/PHL
Plata Basin Financial Dev. Fund,lendingEntity,Plata_Basin_Financial_Dev_Fund
Poland,lendingEntity,country/POL
Portugal,lendingEntity,country/PRT
Puerto Rico,lendingEntity,country/PRI
Qatar,lendingEntity,country/QAT
Rwanda,lendingEntity,country/RWA
Romania,lendingEntity,country/ROU
Russian Federation,lendingEntity,country/RUS
Saudi Arabia,lendingEntity,country/SAU
Senegal,lendingEntity,country/SEN
Serbia,lendingEntity,country/SRB
Singapore,lendingEntity,country/SGP
Slovak Republic,lendingEntity,country/SVK
Slovenia,lendingEntity,country/SVN
South Africa,lendingEntity,country/ZAF
South Asian Development Fund (SADF),lendingEntity,South_Asian_Development_Fund
Spain,lendingEntity,country/ESP
Sri Lanka,lendingEntity,country/LKA
St. Kitts And Nevis,lendingEntity,country/KNA
St. Lucia,lendingEntity,country/LCA
St. Vincent & The Grenadines,lendingEntity,country/VCT
Sweden,lendingEntity,country/SWE
Switzerland,lendingEntity,country/CHE
Syrian Arab Republic,lendingEntity,country/SYR
Tanzania,lendingEntity,country/TZA
Thailand,lendingEntity,country/THA
Togo,lendingEntity,country/TGO
Trinidad & Tobago,lendingEntity,country/TTO
Tunisia,lendingEntity,country/TUN
Turkiye,lendingEntity,country/TUR
Turkmenistan,lendingEntity,country/TKM
Ukraine,lendingEntity,country/UKR
UN-Children's Fund (UNICEF),lendingEntity,UN_Children_Fund
UN-Development Programme (UNDP),lendingEntity,UN_Development_Programme
UN-General Assembly (UNGA),lendingEntity,UN_General_Assembly
UN-High Commissioner for Refugees (UNHCR),lendingEntity,UN_High_Commissioner_for_Refugees
UN-Population Fund (UNFPA),lendingEntity,UN_Population_Fund
UN-Regular Programme of Technical Coop. (RPTC),lendingEntity,UN_Regular_Programme_of_Technical_Coop
UN-World Food Programme (WFP),lendingEntity,UN_World_Food_Programme
United Arab Emirates,lendingEntity,country/ARE
United Kingdom,lendingEntity,country/GBR
United States,lendingEntity,country/USA
Uruguay,lendingEntity,country/URY
USSR,lendingEntity,country/SUN
Uzbekistan,lendingEntity,country/UZB
"Venezuela, Republic Bolivarian",lendingEntity,country/VEN
Vietnam,lendingEntity,country/VNM
Viet Nam,lendingEntity,country/VNM
West African Development Bank - BOAD,lendingEntity,West_African_Development_Bank
West African Monetary Union (UMOA),lendingEntity,West_African_Monetary_Union
World Bank-IBRD,lendingEntity,World_Bank_IBRD
World Bank-IDA,lendingEntity,World_Bank_IDA
World Bank-MIGA,lendingEntity,World_Bank_MIGA
World Trade Organization,lendingEntity,World_Trade_Organization
Zambia,lendingEntity,country/ZMB
Zimbabwe,lendingEntity,country/ZWE
