INDICATORS,ID_INDICATORS,CODE-2_INDICATORS,DESCRIPTION_INDICATORS,FULLNAME_INDICATORS,SEX,ID_SEX,CODE-2_SEX,FREQ,TIME_PERIOD,OBS_VALUE
6774319,6774319,25,,ELECTRICAL/ELECTRONICS(POWER OPTION),6770319,6770319,1,A,2011,1866
6774319,6774319,25,,ELECTRICAL/ELECTRONICS(POWER OPTION),6770419,6770419,2,A,2010,286
6774319,6774319,25,,ELECTRICAL/ELECTRONICS(POWER OPTION),6770419,6770419,2,A,2011,166
6774319,6774319,25,,ELECTRICAL/ELECTRONICS(POWER OPTION),6771319,6771319,3,A,2010,1244
6774319,6774319,25,,ELECTRICAL/ELECTRONICS(POWER OPTION),6771319,6771319,3,A,2011,2032
6774419,6774419,26,,ESTATE MGT,6770319,6770319,1,A,2010,96
6774419,6774419,26,,ESTATE MGT,6770319,6770319,1,A,2011,188
6774419,6774419,26,,ESTATE MGT,6770419,6770419,2,A,2010,8
6774419,6774419,26,,ESTATE MGT,6770419,6770419,2,A,2011,7
6774419,6774419,26,,ESTATE MGT,6771319,6771319,3,A,2010,104
6774419,6774419,26,,ESTATE MGT,6771319,6771319,3,A,2011,195
6774519,6774519,27,,FASHION DESIGN & CLOTHING TECH,6770319,6770319,1,A,2010,1069
6774519,6774519,27,,FASHION DESIGN & CLOTHING TECH,6770319,6770319,1,A,2011,812
6774519,6774519,27,,FASHION DESIGN & CLOTHING TECH,6770419,6770419,2,A,2010,628
6774519,6774519,27,,FASHION DESIGN & CLOTHING TECH,6770419,6770419,2,A,2011,618
6774519,6774519,27,,FASHION DESIGN & CLOTHING TECH,6771319,6771319,3,A,2010,1697
6774519,6774519,27,,FASHION DESIGN & CLOTHING TECH,6771319,6771319,3,A,2011,1430
6774619,6774619,28,,FOOD TECHNOLOGY,6770319,6770319,1,A,2010,25
6774619,6774619,28,,FOOD TECHNOLOGY,6770319,6770319,1,A,2011,12
6774619,6774619,28,,FOOD TECHNOLOGY,6770419,6770419,2,A,2010,52
6774619,6774619,28,,FOOD TECHNOLOGY,6770419,6770419,2,A,2011,36
6774619,6774619,28,,FOOD TECHNOLOGY,6771319,6771319,3,A,2010,77
6774619,6774619,28,,FOOD TECHNOLOGY,6771319,6771319,3,A,2011,48
6774719,6774719,29,,FOUNDRY TECHNOLOGY,6770319,6770319,1,A,2010,325
6774719,6774719,29,,FOUNDRY TECHNOLOGY,6770319,6770319,1,A,2011,223
6774719,6774719,29,,FOUNDRY TECHNOLOGY,6770419,6770419,2,A,2010,429
6774719,6774719,29,,FOUNDRY TECHNOLOGY,6770419,6770419,2,A,2011,466
6774719,6774719,29,,FOUNDRY TECHNOLOGY,6771319,6771319,3,A,2010,754
6774719,6774719,29,,FOUNDRY TECHNOLOGY,6771319,6771319,3,A,2011,689
6774819,6774819,30,,HOME & RURAL ECONOMICS,6770319,6770319,1,A,2010,64
6774819,6774819,30,,HOME & RURAL ECONOMICS,6770319,6770319,1,A,2011,26
6774819,6774819,30,,HOME & RURAL ECONOMICS,6770419,6770419,2,A,2010,0
6774819,6774819,30,,HOME & RURAL ECONOMICS,6770419,6770419,2,A,2011,0
6774819,6774819,30,,HOME & RURAL ECONOMICS,6771319,6771319,3,A,2010,64
6774819,6774819,30,,HOME & RURAL ECONOMICS,6771319,6771319,3,A,2011,26
6774919,6774919,31,,HOSPITALITY MANAGEMENT,6770319,6770319,1,A,2010,8
6774919,6774919,31,,HOSPITALITY MANAGEMENT,6770319,6770319,1,A,2011,4
6774919,6774919,31,,HOSPITALITY MANAGEMENT,6770419,6770419,2,A,2010,52
6774919,6774919,31,,HOSPITALITY MANAGEMENT,6770419,6770419,2,A,2011,34
6774919,6774919,31,,HOSPITALITY MANAGEMENT,6771319,6771319,3,A,2010,60
6774919,6774919,31,,HOSPITALITY MANAGEMENT,6771319,6771319,3,A,2011,38
6775019,6775019,32,,IND. MAINT ENGR. TECH,6770319,6770319,1,A,2010,245
6775019,6775019,32,,IND. MAINT ENGR. TECH,6770319,6770319,1,A,2011,118
6775019,6775019,32,,IND. MAINT ENGR. TECH,6770419,6770419,2,A,2010,341
6775019,6775019,32,,IND. MAINT ENGR. TECH,6770419,6770419,2,A,2011,386
6775019,6775019,32,,IND. MAINT ENGR. TECH,6771319,6771319,3,A,2010,586
6775019,6775019,32,,IND. MAINT ENGR. TECH,6771319,6771319,3,A,2011,504
6775119,6775119,33,,INSURANCE,6770319,6770319,1,A,2010,68
6775119,6775119,33,,INSURANCE,6770319,6770319,1,A,2011,99
6775119,6775119,33,,INSURANCE,6770419,6770419,2,A,2010,8
6775119,6775119,33,,INSURANCE,6770419,6770419,2,A,2011,5
6775119,6775119,33,,INSURANCE,6771319,6771319,3,A,2010,76
6775119,6775119,33,,INSURANCE,6771319,6771319,3,A,2011,104
6775219,6775219,34,,LEISURE & TOURISM MANAGEMENT,6770319,6770319,1,A,2010,56
6775219,6775219,34,,LEISURE & TOURISM MANAGEMENT,6770319,6770319,1,A,2011,82
6775219,6775219,34,,LEISURE & TOURISM MANAGEMENT,6770419,6770419,2,A,2010,61
6775219,6775219,34,,LEISURE & TOURISM MANAGEMENT,6770419,6770419,2,A,2011,57
6775219,6775219,34,,LEISURE & TOURISM MANAGEMENT,6771319,6771319,3,A,2010,117
6775219,6775219,34,,LEISURE & TOURISM MANAGEMENT,6771319,6771319,3,A,2011,139
6775319,6775319,35,,LIBRARY & INFORMATION SCIENCE,6770319,6770319,1,A,2010,194
6775319,6775319,35,,LIBRARY & INFORMATION SCIENCE,6770319,6770319,1,A,2011,129
6775319,6775319,35,,LIBRARY & INFORMATION SCIENCE,6770419,6770419,2,A,2010,173
6775319,6775319,35,,LIBRARY & INFORMATION SCIENCE,6770419,6770419,2,A,2011,150
6775319,6775319,35,,LIBRARY & INFORMATION SCIENCE,6771319,6771319,3,A,2010,367
6775319,6775319,35,,LIBRARY & INFORMATION SCIENCE,6771319,6771319,3,A,2011,279
6775419,6775419,36,,MARKETING,6770319,6770319,1,A,2010,173
6775419,6775419,36,,MARKETING,6770319,6770319,1,A,2011,182
6775419,6775419,36,,MARKETING,6770419,6770419,2,A,2010,158
6775419,6775419,36,,MARKETING,6770419,6770419,2,A,2011,359
6775419,6775419,36,,MARKETING,6771319,6771319,3,A,2010,331
6775419,6775419,36,,MARKETING,6771319,6771319,3,A,2011,541
6775519,6775519,37,,MASS COMMUNICATION,6770319,6770319,1,A,2010,864
6775519,6775519,37,,MASS COMMUNICATION,6770319,6770319,1,A,2011,749
6775519,6775519,37,,MASS COMMUNICATION,6770419,6770419,2,A,2010,1038
6775519,6775519,37,,MASS COMMUNICATION,6770419,6770419,2,A,2011,830
6775519,6775519,37,,MASS COMMUNICATION,6771319,6771319,3,A,2010,1902
6775519,6775519,37,,MASS COMMUNICATION,6771319,6771319,3,A,2011,1579
6775619,6775619,38,,MATHEMATICS/STATISTICS,6770319,6770319,1,A,2010,458
6775619,6775619,38,,MATHEMATICS/STATISTICS,6770319,6770319,1,A,2011,448
6775619,6775619,38,,MATHEMATICS/STATISTICS,6770419,6770419,2,A,2010,429
6775619,6775619,38,,MATHEMATICS/STATISTICS,6770419,6770419,2,A,2011,552
6775619,6775619,38,,MATHEMATICS/STATISTICS,6771319,6771319,3,A,2010,887
6775619,6775619,38,,MATHEMATICS/STATISTICS,6771319,6771319,3,A,2011,1000
6775719,6775719,39,,MECHANICAL ENGR (PLANT ENGR),6770319,6770319,1,A,2010,168
6775719,6775719,39,,MECHANICAL ENGR (PLANT ENGR),6770319,6770319,1,A,2011,147
6775719,6775719,39,,MECHANICAL ENGR (PLANT ENGR),6770419,6770419,2,A,2010,28
6775719,6775719,39,,MECHANICAL ENGR (PLANT ENGR),6770419,6770419,2,A,2011,62
6775719,6775719,39,,MECHANICAL ENGR (PLANT ENGR),6771319,6771319,3,A,2010,196
6775719,6775719,39,,MECHANICAL ENGR (PLANT ENGR),6771319,6771319,3,A,2011,209
6775819,6775819,40,,MECHANICAL ENGR (PRODUCTION ENGR),6770319,6770319,1,A,2010,59
6775819,6775819,40,,MECHANICAL ENGR (PRODUCTION ENGR),6770319,6770319,1,A,2011,82
6775819,6775819,40,,MECHANICAL ENGR (PRODUCTION ENGR),6770419,6770419,2,A,2010,1
6775819,6775819,40,,MECHANICAL ENGR (PRODUCTION ENGR),6770419,6770419,2,A,2011,2
6775819,6775819,40,,MECHANICAL ENGR (PRODUCTION ENGR),6771319,6771319,3,A,2010,60
6775819,6775819,40,,MECHANICAL ENGR (PRODUCTION ENGR),6771319,6771319,3,A,2011,84
6775919,6775919,41,,MECHANICAL ENGR TECHN,6770319,6770319,1,A,2010,245
6775919,6775919,41,,MECHANICAL ENGR TECHN,6770319,6770319,1,A,2011,179
6775919,6775919,41,,MECHANICAL ENGR TECHN,6770419,6770419,2,A,2010,6
6775919,6775919,41,,MECHANICAL ENGR TECHN,6770419,6770419,2,A,2011,8
6775919,6775919,41,,MECHANICAL ENGR TECHN,6771319,6771319,3,A,2010,251
6775919,6775919,41,,MECHANICAL ENGR TECHN,6771319,6771319,3,A,2011,187
6776019,6776019,42,,MECHNICAL ENGINEERING (AUTO),6770319,6770319,1,A,2010,1824
6776019,6776019,42,,MECHNICAL ENGINEERING (AUTO),6770319,6770319,1,A,2011,1358
6776019,6776019,42,,MECHNICAL ENGINEERING (AUTO),6770419,6770419,2,A,2010,49
6776019,6776019,42,,MECHNICAL ENGINEERING (AUTO),6770419,6770419,2,A,2011,64
6776019,6776019,42,,MECHNICAL ENGINEERING (AUTO),6771319,6771319,3,A,2010,1873
6776019,6776019,42,,MECHNICAL ENGINEERING (AUTO),6771319,6771319,3,A,2011,1422
6776119,6776119,43,,METALLURGY,6770319,6770319,1,A,2010,64
6776119,6776119,43,,METALLURGY,6770319,6770319,1,A,2011,37
6776119,6776119,43,,METALLURGY,6770419,6770419,2,A,2010,4
6776119,6776119,43,,METALLURGY,6770419,6770419,2,A,2011,2
6776119,6776119,43,,METALLURGY,6771319,6771319,3,A,2010,68
6776119,6776119,43,,METALLURGY,6771319,6771319,3,A,2011,39
6776219,6776219,44,,MINERAL RESOURCES ENGR TECH,6770319,6770319,1,A,2010,124
6776219,6776219,44,,MINERAL RESOURCES ENGR TECH,6770319,6770319,1,A,2011,100
6776219,6776219,44,,MINERAL RESOURCES ENGR TECH,6770419,6770419,2,A,2010,6
6776219,6776219,44,,MINERAL RESOURCES ENGR TECH,6770419,6770419,2,A,2011,11
6776219,6776219,44,,MINERAL RESOURCES ENGR TECH,6771319,6771319,3,A,2010,130
6776219,6776219,44,,MINERAL RESOURCES ENGR TECH,6771319,6771319,3,A,2011,111
6776319,6776319,45,,NUTRITION AND DIETETICS,6770319,6770319,1,A,2010,64
6776319,6776319,45,,NUTRITION AND DIETETICS,6770319,6770319,1,A,2011,50
6776319,6776319,45,,NUTRITION AND DIETETICS,6770419,6770419,2,A,2010,18
6776319,6776319,45,,NUTRITION AND DIETETICS,6770419,6770419,2,A,2011,8
6776319,6776319,45,,NUTRITION AND DIETETICS,6771319,6771319,3,A,2010,82
6776319,6776319,45,,NUTRITION AND DIETETICS,6771319,6771319,3,A,2011,58
6776419,6776419,46,,OFFICE TECHNOLOGY & MANAGEMENT,6770319,6770319,1,A,2010,5
6776419,6776419,46,,OFFICE TECHNOLOGY & MANAGEMENT,6770319,6770319,1,A,2011,1
6776419,6776419,46,,OFFICE TECHNOLOGY & MANAGEMENT,6770419,6770419,2,A,2010,16
6776419,6776419,46,,OFFICE TECHNOLOGY & MANAGEMENT,6770419,6770419,2,A,2011,12
6776419,6776419,46,,OFFICE TECHNOLOGY & MANAGEMENT,6771319,6771319,3,A,2010,21
6776419,6776419,46,,OFFICE TECHNOLOGY & MANAGEMENT,6771319,6771319,3,A,2011,13
6776519,6776519,47,,PRINTING TECH,6770319,6770319,1,A,2010,658
6776519,6776519,47,,PRINTING TECH,6770319,6770319,1,A,2011,542
6776519,6776519,47,,PRINTING TECH,6770419,6770419,2,A,2010,1384
6776519,6776519,47,,PRINTING TECH,6770419,6770419,2,A,2011,1298
6776519,6776519,47,,PRINTING TECH,6771319,6771319,3,A,2010,2042
6776519,6776519,47,,PRINTING TECH,6771319,6771319,3,A,2011,1840
6776619,6776619,48,,PRINTING TECHNOLOGY (BOOK PUBLISHING),6770319,6770319,1,A,2010,164
6776619,6776619,48,,PRINTING TECHNOLOGY (BOOK PUBLISHING),6770319,6770319,1,A,2011,167
6776619,6776619,48,,PRINTING TECHNOLOGY (BOOK PUBLISHING),6770419,6770419,2,A,2010,102
6776619,6776619,48,,PRINTING TECHNOLOGY (BOOK PUBLISHING),6770419,6770419,2,A,2011,97
6776619,6776619,48,,PRINTING TECHNOLOGY (BOOK PUBLISHING),6771319,6771319,3,A,2010,266
6776619,6776619,48,,PRINTING TECHNOLOGY (BOOK PUBLISHING),6771319,6771319,3,A,2011,264
6776719,6776719,49,,PUBLIC ADMIN,6770319,6770319,1,A,2010,3
6776719,6776719,49,,PUBLIC ADMIN,6770319,6770319,1,A,2011,4
6776719,6776719,49,,PUBLIC ADMIN,6770419,6770419,2,A,2010,4
6776719,6776719,49,,PUBLIC ADMIN,6770419,6770419,2,A,2011,6
6776719,6776719,49,,PUBLIC ADMIN,6771319,6771319,3,A,2010,7
6776719,6776719,49,,PUBLIC ADMIN,6771319,6771319,3,A,2011,10
6776819,6776819,50,,PURCHASING AND SUPPLY,6770319,6770319,1,A,2010,548
6776819,6776819,50,,PURCHASING AND SUPPLY,6770319,6770319,1,A,2011,412
6776819,6776819,50,,PURCHASING AND SUPPLY,6770419,6770419,2,A,2010,520
6776819,6776819,50,,PURCHASING AND SUPPLY,6770419,6770419,2,A,2011,412
