DESCRIPTOR,ID_DESCRIPTOR,FREQ,TIME_PERIOD,OBS_VALUE
D4,D4,Q,2016-Q3,54677.39
D4,D4,Q,2016-Q4,68299.96
D4,D4,Q,2017-Q1,58244.18
D5,D5,A,1981,550.37
D5,D5,A,1982,673.43
D5,D5,A,1983,987.42
D5,D5,A,1984,867.99
D5,D5,A,1985,540.48
D5,D5,A,1986,769.07
D5,D5,A,1987,664.76
D5,D5,A,1988,1166
D5,D5,A,1989,2414.52
D5,D5,A,1990,3208.54
D5,D5,A,1991,3577.15
D5,D5,A,1992,4717.1
D5,D5,A,1993,5586.23
D5,D5,A,1994,7677.95
D5,D5,A,1995,14508.06
D5,D5,A,1996,22844.05
D5,D5,A,1997,27586.54
D5,D5,A,1998,33456.21
D5,D5,A,1999,38589.02
D5,D5,A,2000,41095.74
D5,D5,A,2001,57196.61
D5,D5,A,2002,68807.96
D5,D5,A,2003,81008.74
D5,D5,A,2004,99004.04
D5,D5,A,2005,129258.1
D5,D5,A,2006,149639.23
D5,D5,A,2007,163988.81
D5,D5,A,2008,193750.28
D5,D5,A,2009,221181.95
D5,D5,A,2010,249711.48
D5,D5,A,2011,284329.42
D5,D5,A,2012,322671.03
D5,D5,A,2013,366793.23
D5,D5,A,2014,425250.11
D5,D5,A,2015,476144.21
D5,D5,A,2016,528392.66
D5,D5,Q,2010-Q1,64863.3
D5,D5,Q,2010-Q2,61431.54
D5,D5,Q,2010-Q3,58210.17
D5,D5,Q,2010-Q4,65206.46
D5,D5,Q,2011-Q1,76009.94
D5,D5,Q,2011-Q2,72006.57
D5,D5,Q,2011-Q3,63136.05
D5,D5,Q,2011-Q4,73176.86
D5,D5,Q,2012-Q1,82606.14
D5,D5,Q,2012-Q2,81081.1
D5,D5,Q,2012-Q3,71861.49
D5,D5,Q,2012-Q4,87122.29
D5,D5,Q,2013-Q1,94636.44
D5,D5,Q,2013-Q2,93051.48
D5,D5,Q,2013-Q3,80192.47
D5,D5,Q,2013-Q4,98912.84
D5,D5,Q,2014-Q1,108218.83
D5,D5,Q,2014-Q2,108361.44
D5,D5,Q,2014-Q3,95238.36
D5,D5,Q,2014-Q4,113431.47
D5,D5,Q,2015-Q1,124957.92
D5,D5,Q,2015-Q2,119844.28
D5,D5,Q,2015-Q3,105171.69
D5,D5,Q,2015-Q4,126170.31
D5,D5,Q,2016-Q1,165454.83
D5,D5,Q,2016-Q2,115157
D5,D5,Q,2016-Q3,109355.82
D5,D5,Q,2016-Q4,138425.01
D5,D5,Q,2017-Q1,170591.17
D6,D6,A,1981,40004.9
D6,D6,A,1982,38214.13
D6,D6,A,1983,39120.92
D6,D6,A,1984,37015.4
D6,D6,A,1985,51140.43
D6,D6,A,1986,51080.91
D6,D6,A,1987,65504.62
D6,D6,A,1988,86079
D6,D6,A,1989,122729.57
D6,D6,A,1990,147964.44
D6,D6,A,1991,187380.66
D6,D6,A,1992,303275.58
D6,D6,A,1993,365923.48
D6,D6,A,1994,487568.61
D6,D6,A,1995,862238.81
D6,D6,A,1996,1153530.91
D6,D6,A,1997,1171346.23
D6,D6,A,1998,1053408.07
D6,D6,A,1999,1314286.14
D6,D6,A,2000,2100506.8
D6,D6,A,2001,1964892.16
D6,D6,A,2002,2178513.05
D6,D6,A,2003,2902806.32
D6,D6,A,2004,3992280
D6,D6,A,2005,5080163.7
D6,D6,A,2006,6157843.22
D6,D6,A,2007,6800148.17
D6,D6,A,2008,8072500.92
D6,D6,A,2009,7513884.62
D6,D6,A,2010,12033195.91
D6,D6,A,2011,15626422.73
D6,D6,A,2012,16975344.37
D6,D6,A,2013,17614294.12
D6,D6,A,2014,18402190.84
D6,D6,A,2015,15073781.96
D6,D6,A,2016,14372781.47
D6,D6,Q,2010-Q1,2827621.25
D6,D6,Q,2010-Q2,2874320.15
D6,D6,Q,2010-Q3,2997064.58
D6,D6,Q,2010-Q4,3334189.94
D6,D6,Q,2011-Q1,3919541.69
D6,D6,Q,2011-Q2,3949793.26
D6,D6,Q,2011-Q3,3859455.81
D6,D6,Q,2011-Q4,3897631.97
D6,D6,Q,2012-Q1,4405404.88
D6,D6,Q,2012-Q2,4093610.69
D6,D6,Q,2012-Q3,4561297.74
D6,D6,Q,2012-Q4,3915031.05
D6,D6,Q,2013-Q1,4538242.47
D6,D6,Q,2013-Q2,4122246.27
D6,D6,Q,2013-Q3,4601652.64
D6,D6,Q,2013-Q4,4352152.73
D6,D6,Q,2014-Q1,4750661.25
D6,D6,Q,2014-Q2,4779552.34
D6,D6,Q,2014-Q3,4595124.44
D6,D6,Q,2014-Q4,4276852.8
D6,D6,Q,2015-Q1,3559179.69
D6,D6,Q,2015-Q2,3896390.71
D6,D6,Q,2015-Q3,3916192.58
D6,D6,Q,2015-Q4,3702018.98
D6,D6,Q,2016-Q1,2971919.89
D6,D6,Q,2016-Q2,3089495.73
D6,D6,Q,2016-Q3,3914492.79
D6,D6,Q,2016-Q4,4396873.06
D6,D6,Q,2017-Q1,4576235.39
D7,D7,A,1981,5919.97
D7,D7,A,1982,4931.25
D7,D7,A,1983,4280.03
D7,D7,A,1984,5235.07
D7,D7,A,1985,6589.22
D7,D7,A,1986,5537.11
D7,D7,A,1987,15479.6
D7,D7,A,1988,17296.38
D7,D7,A,1989,44331.32
D7,D7,A,1990,58055.87
D7,D7,A,1991,67499.31
D7,D7,A,1992,142978.77
D7,D7,A,1993,140245.64
D7,D7,A,1994,126922.29
D7,D7,A,1995,444016.91
D7,D7,A,1996,670737.33
D7,D7,A,1997,619221.68
D7,D7,A,1998,426799.6
D7,D7,A,1999,593436.17
D7,D7,A,2000,1266668.29
D7,D7,A,2001,966793.64
D7,D7,A,2002,1041995.17
D7,D7,A,2003,1588085.76
D7,D7,A,2004,2460552.57
D7,D7,A,2005,3281467.69
D7,D7,A,2006,4044969
D7,D7,A,2007,4363626.74
D7,D7,A,2008,5270007.13
D7,D7,A,2009,4297072.87
D7,D7,A,2010,8402676.4
D7,D7,A,2011,11039408.34
D7,D7,A,2012,11315033.28
D7,D7,A,2013,10296327.2
D7,D7,A,2014,9616489.52
D7,D7,A,2015,5990417.06
D7,D7,A,2016,5367322.68
D7,D7,Q,2010-Q1,1937631.77
D7,D7,Q,2010-Q2,1983894.97
D7,D7,Q,2010-Q3,2092028.97
D7,D7,Q,2010-Q4,2389120.69
D7,D7,Q,2011-Q1,2882729.61
D7,D7,Q,2011-Q2,2830853.88
D7,D7,Q,2011-Q3,2667517.23
D7,D7,Q,2011-Q4,2658307.62
D7,D7,Q,2012-Q1,3018571.07
D7,D7,Q,2012-Q2,2717007.13
D7,D7,Q,2012-Q3,3083257.13
D7,D7,Q,2012-Q4,2496197.95
D7,D7,Q,2013-Q1,2756313.26
D7,D7,Q,2013-Q2,2327587.25
D7,D7,Q,2013-Q3,2736082.04
D7,D7,Q,2013-Q4,2476344.64
D7,D7,Q,2014-Q1,2612066.21
D7,D7,Q,2014-Q2,2633328.61
D7,D7,Q,2014-Q3,2328257.79
D7,D7,Q,2014-Q4,2042836.91
D7,D7,Q,2015-Q1,1391091.74
D7,D7,Q,2015-Q2,1746400.57
D7,D7,Q,2015-Q3,1539681.39
D7,D7,Q,2015-Q4,1313243.35
D7,D7,Q,2016-Q1,887489.93
D7,D7,Q,2016-Q2,959563.14
D7,D7,Q,2016-Q3,1602716.19
D7,D7,Q,2016-Q4,1917553.43
D7,D7,Q,2017-Q1,2141964.14
D8,D8,A,1981,7198.97
D8,D8,A,1982,4196.05
D8,D8,A,1983,3715.75
D8,D8,A,1984,4655.69
D8,D8,A,1985,7412.54
D8,D8,A,1986,6893.5
D8,D8,A,1987,6808.92
D8,D8,A,1988,5263.61
D8,D8,A,1989,5501.65
D8,D8,A,1990,5638.28
D8,D8,A,1991,9281.89
D8,D8,A,1992,6828.95
D8,D8,A,1993,4448.12
D8,D8,A,1994,5982.34
D8,D8,A,1995,4096.13
D8,D8,A,1996,4845.79
D8,D8,A,1997,5412.09
D8,D8,A,1998,6405.01
D8,D8,A,1999,7028.33
D8,D8,A,2000,7813.1
D8,D8,A,2001,8984.13
D8,D8,A,2002,9291.28
D8,D8,A,2003,10649.59
D8,D8,A,2004,15680.8
D8,D8,A,2005,19965.86
D8,D8,A,2006,30383.59
D8,D8,A,2007,35328.46
D8,D8,A,2008,40943.82
D8,D8,A,2009,45989.22
D8,D8,A,2010,51877.8
D8,D8,A,2011,59569.34
D8,D8,A,2012,71489.39
D8,D8,A,2013,84644.43
D8,D8,A,2014,100271.3
D8,D8,A,2015,109591.75
D8,D8,A,2016,102222.5
D8,D8,Q,2010-Q1,14581.31
D8,D8,Q,2010-Q2,9788.4
D8,D8,Q,2010-Q3,12889.15
D8,D8,Q,2010-Q4,14618.94
D8,D8,Q,2011-Q1,16506
D8,D8,Q,2011-Q2,12113.43
D8,D8,Q,2011-Q3,14480.47
D8,D8,Q,2011-Q4,16469.44
D8,D8,Q,2012-Q1,17919.78
D8,D8,Q,2012-Q2,15262.48
D8,D8,Q,2012-Q3,17737.02
D8,D8,Q,2012-Q4,20570.11
D8,D8,Q,2013-Q1,20518.19
D8,D8,Q,2013-Q2,18685.05
D8,D8,Q,2013-Q3,20916.84
D8,D8,Q,2013-Q4,24524.35
D8,D8,Q,2014-Q1,24067.6
D8,D8,Q,2014-Q2,23300.75
D8,D8,Q,2014-Q3,24096.52
D8,D8,Q,2014-Q4,28806.43
D8,D8,Q,2015-Q1,27201.14
D8,D8,Q,2015-Q2,25480.47
D8,D8,Q,2015-Q3,26169.45
D8,D8,Q,2015-Q4,30740.7
D8,D8,Q,2016-Q1,7385.89
D8,D8,Q,2016-Q2,27068.08
D8,D8,Q,2016-Q3,30335.43
D8,D8,Q,2016-Q4,37433.1
D8,D8,Q,2017-Q1,11766.53
D9,D9,A,1981,5325.33
D9,D9,A,1982,2569.24
D9,D9,A,1983,2429.1
D9,D9,A,1984,3503.51
D9,D9,A,1985,6539.88
D9,D9,A,1986,6539.88
D9,D9,A,1987,5885.89
D9,D9,A,1988,4250.92
D9,D9,A,1989,4204.21
D9,D9,A,1990,4250.92
D9,D9,A,1991,7987.99
D9,D9,A,1992,5558.9
D9,D9,A,1993,2896.23
D9,D9,A,1994,4017.35
D9,D9,A,1995,1448.12
D9,D9,A,1996,1775.11
D9,D9,A,1997,1961.96
D9,D9,A,1998,2008.68
D9,D9,A,1999,2195.53
D9,D9,A,2000,2475.81
D9,D9,A,2001,2242.24
D9,D9,A,2002,1448.12
D9,D9,A,2003,1448.12
D9,D9,A,2004,1682.95
D9,D9,A,2005,1550.91
D9,D9,A,2006,1419.34
D9,D9,A,2007,1858.16
D9,D9,A,2008,2434.38
D9,D9,A,2009,2779.88
D9,D9,A,2010,3218.23
D9,D9,A,2011,3884.38
D9,D9,A,2012,4599.54
D9,D9,A,2013,5535.33
D9,D9,A,2014,6927.35
D9,D9,A,2015,7983.4
D9,D9,A,2016,8494.33
D9,D9,Q,2010-Q1,1112.35
D9,D9,Q,2010-Q2,861.31
D9,D9,Q,2010-Q3,400.54
D9,D9,Q,2010-Q4,844.04
D9,D9,Q,2011-Q1,1301.62
D9,D9,Q,2011-Q2,1061.7
D9,D9,Q,2011-Q3,487.31
D9,D9,Q,2011-Q4,1033.75
D9,D9,Q,2012-Q1,1447.58
D9,D9,Q,2012-Q2,1333.62
D9,D9,Q,2012-Q3,577.33
D9,D9,Q,2012-Q4,1241.02
D9,D9,Q,2013-Q1,1730
D9,D9,Q,2013-Q2,1640.04
D9,D9,Q,2013-Q3,683.65
D9,D9,Q,2013-Q4,1481.63
D9,D9,Q,2014-Q1,2062.76
D9,D9,Q,2014-Q2,2066.07
D9,D9,Q,2014-Q3,874.18
D9,D9,Q,2014-Q4,1924.34
D9,D9,Q,2015-Q1,2438.93
D9,D9,Q,2015-Q2,2440.34
D9,D9,Q,2015-Q3,966.94
D9,D9,Q,2015-Q4,2137.19
D9,D9,Q,2016-Q1,2611.14
D9,D9,Q,2016-Q2,2466.24
D9,D9,Q,2016-Q3,977.2
D9,D9,Q,2016-Q4,2439.75
D9,D9,Q,2017-Q1,3114.7
D10,D10,A,1981,996.85
D10,D10,A,1982,764.49
D10,D10,A,1983,623.63
D10,D10,A,1984,568.86
D10,D10,A,1985,447.26
D10,D10,A,1986,110.76
D10,D10,A,1987,645.31
D10,D10,A,1988,697.68
D10,D10,A,1989,711.52
D10,D10,A,1990,725.97
D10,D10,A,1991,548.99
D10,D10,A,1992,341.31
D10,D10,A,1993,332.89
D10,D10,A,1994,395.49
D10,D10,A,1995,552.6
D10,D10,A,1996,632.06
D10,D10,A,1997,595.94
D10,D10,A,1998,614.61
D10,D10,A,1999,648.32
D10,D10,A,2000,694.06
D10,D10,A,2001,670.59
D10,D10,A,2002,692.86
D10,D10,A,2003,687.44
D10,D10,A,2004,785.03
D10,D10,A,2005,896.71
D10,D10,A,2006,1337.09
D10,D10,A,2007,1621.65
D10,D10,A,2008,1865.8
D10,D10,A,2009,2087.5
D10,D10,A,2010,2354.84
D10,D10,A,2011,2713.74
D10,D10,A,2012,2904.05
D10,D10,A,2013,3349.98
D10,D10,A,2014,4079.42
D10,D10,A,2015,4461.52
D10,D10,A,2016,5742.73
D10,D10,Q,2010-Q1,814.48
D10,D10,Q,2010-Q2,664.27
D10,D10,Q,2010-Q3,547.12
D10,D10,Q,2010-Q4,328.98
D10,D10,Q,2011-Q1,903.25
D10,D10,Q,2011-Q2,817.3
D10,D10,Q,2011-Q3,621.64
D10,D10,Q,2011-Q4,371.55
D10,D10,Q,2012-Q1,925.72
D10,D10,Q,2012-Q2,923.66
D10,D10,Q,2012-Q3,657.49
D10,D10,Q,2012-Q4,397.18
D10,D10,Q,2013-Q1,1028.32
D10,D10,Q,2013-Q2,1115.15
D10,D10,Q,2013-Q3,751.78
D10,D10,Q,2013-Q4,454.73
D10,D10,Q,2014-Q1,1164.48
D10,D10,Q,2014-Q2,1396.55
D10,D10,Q,2014-Q3,941.99
D10,D10,Q,2014-Q4,576.4
D10,D10,Q,2015-Q1,1303.34
D10,D10,Q,2015-Q2,1513.72
D10,D10,Q,2015-Q3,1022.12
D10,D10,Q,2015-Q4,622.34
D10,D10,Q,2016-Q1,2120.44
D10,D10,Q,2016-Q2,1652.1
D10,D10,Q,2016-Q3,1197
D10,D10,Q,2016-Q4,773.2
D10,D10,Q,2017-Q1,3490.31
D11,D11,A,1981,876.79
D11,D11,A,1982,862.31
D11,D11,A,1983,663.02
D11,D11,A,1984,583.33
D11,D11,A,1985,425.4
D11,D11,A,1986,242.86
D11,D11,A,1987,277.73
D11,D11,A,1988,315.01
D11,D11,A,1989,585.93
D11,D11,A,1990,661.39
D11,D11,A,1991,744.91
D11,D11,A,1992,928.74
D11,D11,A,1993,1219.01
D11,D11,A,1994,1569.5
D11,D11,A,1995,2095.41
D11,D11,A,1996,2438.62
D11,D11,A,1997,2854.18
D11,D11,A,1998,3781.73
D11,D11,A,1999,4184.48
D11,D11,A,2000,4643.22
D11,D11,A,2001,6071.3
D11,D11,A,2002,7150.31
D11,D11,A,2003,8514.03
D11,D11,A,2004,13212.82
D11,D11,A,2005,17518.24
D11,D11,A,2006,27627.15
D11,D11,A,2007,31848.65
D11,D11,A,2008,36643.64
D11,D11,A,2009,41121.84
D11,D11,A,2010,46304.72
D11,D11,A,2011,52971.22
D11,D11,A,2012,63985.8
D11,D11,A,2013,75759.12
D11,D11,A,2014,89264.52
D11,D11,A,2015,97146.83
D11,D11,A,2016,87985.44
D11,D11,Q,2010-Q1,12654.48
D11,D11,Q,2010-Q2,8262.82
D11,D11,Q,2010-Q3,11941.49
D11,D11,Q,2010-Q4,13445.93
D11,D11,Q,2011-Q1,14301.13
D11,D11,Q,2011-Q2,10234.43
D11,D11,Q,2011-Q3,13371.51
D11,D11,Q,2011-Q4,15064.15
D11,D11,Q,2012-Q1,15546.49
D11,D11,Q,2012-Q2,13005.2
D11,D11,Q,2012-Q3,16502.2
D11,D11,Q,2012-Q4,18931.91
D11,D11,Q,2013-Q1,17759.87
D11,D11,Q,2013-Q2,15929.86
D11,D11,Q,2013-Q3,19481.41
D11,D11,Q,2013-Q4,22587.98
D11,D11,Q,2014-Q1,20840.36
D11,D11,Q,2014-Q2,19838.13
D11,D11,Q,2014-Q3,22280.34
D11,D11,Q,2014-Q4,26305.69
D11,D11,Q,2015-Q1,23458.87
D11,D11,Q,2015-Q2,21526.41
D11,D11,Q,2015-Q3,24180.39
D11,D11,Q,2015-Q4,27981.17
D11,D11,Q,2016-Q1,2654.31
D11,D11,Q,2016-Q2,22949.75
D11,D11,Q,2016-Q3,28161.23
D11,D11,Q,2016-Q4,34220.15
D11,D11,Q,2017-Q1,5161.51
D12,D12,A,1981,26885.96
D12,D12,A,1982,29086.84
D12,D12,A,1983,31125.14
D12,D12,A,1984,27124.63
D12,D12,A,1985,37138.67
D12,D12,A,1986,38650.3
D12,D12,A,1987,43216.09
D12,D12,A,1988,63519.01
D12,D12,A,1989,72896.6
D12,D12,A,1990,84270.29
D12,D12,A,1991,110599.45
D12,D12,A,1992,153467.86
D12,D12,A,1993,221229.71
D12,D12,A,1994,354663.98
D12,D12,A,1995,414125.77
D12,D12,A,1996,477947.79
D12,D12,A,1997,546712.46
D12,D12,A,1998,620203.46
D12,D12,A,1999,713821.65
D12,D12,A,2000,826025.42
D12,D12,A,2001,989114.39
D12,D12,A,2002,1127226.59
D12,D12,A,2003,1304070.97
D12,D12,A,2004,1516046.63
D12,D12,A,2005,1778730.16
D12,D12,A,2006,2082490.63
D12,D12,A,2007,2401192.97
D12,D12,A,2008,2761549.96
D12,D12,A,2009,3170822.53
D12,D12,A,2010,3578641.72
D12,D12,A,2011,4527445.06
D12,D12,A,2012,5588821.69
D12,D12,A,2013,7233322.48
D12,D12,A,2014,8685430.03
D12,D12,A,2015,8973773.15
D12,D12,A,2016,8903236.28
D12,D12,Q,2010-Q1,875408.17
D12,D12,Q,2010-Q2,880636.78
D12,D12,Q,2010-Q3,892146.45
D12,D12,Q,2010-Q4,930450.31
D12,D12,Q,2011-Q1,1020306.08
D12,D12,Q,2011-Q2,1106825.95
D12,D12,Q,2011-Q3,1177458.12
