Station,City,Latitude,Longitude,District,LgdCode,Coordinates,dcid,site_id
SDMOfficeKhagra,Kishanganj,26.0982167,87.9450379,Kishanganj,203,[LatLong 26.0982167 87.9450379],cpcbAq/203_SDMOfficeKhagra_Kishanganj,site_5547
ForestRestHouse,Manguraha,26.5638594,84.6073537,Purbachamparan,213,[LatLong 26.5638594 84.6073537],cpcbAq/213_ForestRestHouse_Manguraha,site_5550
GandakColony,Motihari,26.631984,84.9010818,Purbachamparan,213,[LatLong 26.631984 84.9010818],cpcbAq/213_GandakColony_Motihari,site_5478
TownHall,Munger,25.3766685,86.4714129,Munger,207,[LatLong 25.3766685 86.4714129],cpcbAq/207_TownHall_Munger,site_5490
BuddhaColony,Muzaffarpur,26.1166997,85.3995031,Muzaffarpur,208,[LatLong 26.1166997 85.3995031],cpcbAq/208_BuddhaColony_Muzaffarpur,site_5370
MITDaudpurKothi,Muzaffarpur,26.141335,85.3654296,Muzaffarpur,208,[LatLong 26.141335 85.3654296],cpcbAq/208_MITDaudpurKothi_Muzaffarpur,site_5479
MuzaffarpurCollectorate,Muzaffarpur,26.1235085,85.3812437,Muzaffarpur,208,[LatLong 26.1235085 85.3812437],cpcbAq/208_MuzaffarpurCollectorate_Muzaffarpur,site_158
DRMOfficeDanapur,Patna,25.5856237,85.0442993,Patna,212,[LatLong 25.5856237 85.0442993],cpcbAq/212_DRMOfficeDanapur_Patna,site_5336
Govt.HighSchoolShikarpur,Patna,25.5932705,85.2272332,Patna,212,[LatLong 25.5932705 85.2272332],cpcbAq/212_Govt.HighSchoolShikarpur_Patna,site_5335
IGSCPlanetariumComplex,Patna,25.6107873,85.131507,Patna,212,[LatLong 25.6107873 85.131507],cpcbAq/212_IGSCPlanetariumComplex_Patna,site_157
Muradpur,Patna,25.6194928,85.14664,Patna,212,[LatLong 25.6194928 85.14664],cpcbAq/212_Muradpur_Patna,site_5261
RajbansiNagar,Patna,25.603603,85.1119721,Patna,212,[LatLong 25.603603 85.1119721],cpcbAq/212_RajbansiNagar_Patna,site_5262
Samanpura,Patna,25.6074609,85.0845675,Patna,212,[LatLong 25.6074609 85.0845675],cpcbAq/212_Samanpura_Patna,site_5263
MariamNagar,Purnia,25.766642,87.4665884,Purnia,214,[LatLong 25.766642 87.4665884],cpcbAq/214_MariamNagar_Purnia,site_5549
DangiTola,Rajgir,25.0281986,85.420791,Nalanda,209,[LatLong 25.0281986 85.420791],cpcbAq/209_DangiTola_Rajgir,site_5489
PoliceLine,Saharsa,25.8979684,86.5880148,Saharsa,216,[LatLong 25.8979684 86.5880148],cpcbAq/216_PoliceLine_Saharsa,site_5551
DMOfficeKasipur,Samastipur,25.8596222,85.7793189,Samastipur,217,[LatLong 25.8596222 85.7793189],cpcbAq/217_DMOfficeKasipur_Samastipur,site_5552
DadaPeer,Sasaram,24.951303,84.0021995,Rohtas,215,[LatLong 24.951303 84.0021995],cpcbAq/215_DadaPeer_Sasaram,site_5485
ChitraguptaNagar,Siwan,26.2298955,84.3561766,Siwan,222,[LatLong 26.2298955 84.3561766],cpcbAq/222_ChitraguptaNagar_Siwan,site_5553
Sector22,Chandigarh,30.7320385,76.7726334,Chandigarh,44,[LatLong 30.7320385 76.7726334],cpcbAq/044_Sector22_Chandigarh,site_5491
Sector25,Chandigarh,30.7512305,76.7583714,Chandigarh,44,[LatLong 30.7512305 76.7583714],cpcbAq/044_Sector25_Chandigarh,site_5127
Sector53,Chandigarh,30.7163083,76.7284448,Chandigarh,44,[LatLong 30.7163083 76.7284448],cpcbAq/044_Sector53_Chandigarh,site_5582
CivicCenter,Bhilai,21.1870265,81.3426323,Durg,378,[LatLong 21.1870265 81.3426323],cpcbAq/378_CivicCenter_Bhilai,site_5536
Mangala,Bilaspur,22.097191,82.1293881,Bilaspur,375,[LatLong 22.097191 82.1293881],cpcbAq/375_Mangala_Bilaspur,site_5503
Alipur,Delhi,28.7972263,77.1331363,Delhi,79,[LatLong 28.7972263 77.1331363],cpcbAq/079_Alipur_Delhi,site_5024
AnandVihar,Delhi,28.650218,77.3027059,Delhi,79,[LatLong 28.650218 77.3027059],cpcbAq/079_AnandVihar_Delhi,site_301
AshokVihar,Delhi,28.6909791,77.1765239,Delhi,79,[LatLong 28.6909791 77.1765239],cpcbAq/079_AshokVihar_Delhi,site_1420
AyaNagar,Delhi,28.4720443,77.1329417,Delhi,79,[LatLong 28.4720443 77.1329417],cpcbAq/079_AyaNagar_Delhi,site_108
Bawana,Delhi,28.793229,77.0483355,Delhi,79,[LatLong 28.793229 77.0483355],cpcbAq/079_Bawana_Delhi,site_1560
BurariCrossing,Delhi,28.7285,77.19738,Delhi,79,[LatLong 28.7285 77.19738],cpcbAq/079_BurariCrossing_Delhi,site_104
CRRIMathuraRoad,Delhi,28.5517202,77.2750344,Delhi,79,[LatLong 28.5517202 77.2750344],cpcbAq/079_CRRIMathuraRoad_Delhi,site_103
ChandniChowk,Delhi,28.6505331,77.230337,Delhi,79,[LatLong 28.6505331 77.230337],cpcbAq/079_ChandniChowk_Delhi,site_5393
DTU,Delhi,28.7499867,77.1183137,Delhi,79,[LatLong 28.7499867 77.1183137],cpcbAq/079_DTU_Delhi,site_118
DrKarniSinghShootingRange,Delhi,28.4997268,77.2670954,Delhi,79,[LatLong 28.4997268 77.2670954],cpcbAq/079_DrKarniSinghShootingRange_Delhi,site_1421
Dwarka,Delhi,28.5720379,77.070837,Delhi,79,[LatLong 28.5720379 77.070837],cpcbAq/079_Dwarka_Delhi,site_1422
IGIAirport,Delhi,28.5550838,77.0844015,Delhi,79,[LatLong 28.5550838 77.0844015],cpcbAq/079_IGIAirport_Delhi,site_106
IHBASDilshadGarden,Delhi,28.6826275,77.3049532,Delhi,79,[LatLong 28.6826275 77.3049532],cpcbAq/079_IHBASDilshadGarden_Delhi,site_114
ITO,Delhi,28.6308294,77.2505733,Delhi,79,[LatLong 28.6308294 77.2505733],cpcbAq/079_ITO_Delhi,site_117
Jahangirpuri,Delhi,28.7296171,77.1666313,Delhi,79,[LatLong 28.7296171 77.1666313],cpcbAq/079_Jahangirpuri_Delhi,site_1423
JawaharlalNehruStadium,Delhi,28.5833047,77.2333304,Delhi,79,[LatLong 28.5833047 77.2333304],cpcbAq/079_JawaharlalNehruStadium_Delhi,site_1424
LodhiRoad,Delhi,28.5910626,77.2280791,Delhi,79,[LatLong 28.5910626 77.2280791],cpcbAq/079_LodhiRoad_Delhi,site_5395
MajorDhyanChandNationalStadium,Delhi,28.612569,77.2367984,Delhi,79,[LatLong 28.612569 77.2367984],cpcbAq/079_MajorDhyanChandNationalStadium_Delhi,site_1425
MandirMarg,Delhi,28.6341752,77.2004746,Delhi,79,[LatLong 28.6341752 77.2004746],cpcbAq/079_MandirMarg_Delhi,site_122
Mundka,Delhi,28.6823144,77.034937,Delhi,79,[LatLong 28.6823144 77.034937],cpcbAq/079_Mundka_Delhi,site_1561
NSITDwarka,Delhi,28.6100216,77.0379647,Delhi,79,[LatLong 28.6100216 77.0379647],cpcbAq/079_NSITDwarka_Delhi,site_115
Najafgarh,Delhi,28.6090126,76.9854526,Delhi,79,[LatLong 28.6090126 76.9854526],cpcbAq/079_Najafgarh_Delhi,site_1427
Narela,Delhi,28.8548818,77.0892151,Delhi,79,[LatLong 28.8548818 77.0892151],cpcbAq/079_Narela_Delhi,site_1426
NehruNagar,Delhi,28.5706035,77.2505733,Delhi,79,[LatLong 28.5706035 77.2505733],cpcbAq/079_NehruNagar_Delhi,site_1429
NorthCampus,Delhi,28.6876514,77.2102816,Delhi,79,[LatLong 28.6876514 77.2102816],cpcbAq/079_NorthCampus_Delhi,site_105
OkhlaPhase,Delhi,28.5421887,77.2782501,Delhi,79,[LatLong 28.5421887 77.2782501],cpcbAq/079_OkhlaPhase_Delhi,site_1428
Patparganj,Delhi,28.6347308,77.3045711,Delhi,79,[LatLong 28.6347308 77.3045711],cpcbAq/079_Patparganj_Delhi,site_1431
PunjabiBagh,Delhi,28.6706933,77.1284765,Delhi,79,[LatLong 28.6706933 77.1284765],cpcbAq/079_PunjabiBagh_Delhi,site_125
Pusa,Delhi,28.6376724,77.1571443,Delhi,79,[LatLong 28.6376724 77.1571443],cpcbAq/079_Pusa_Delhi,site_1563
RKPuram,Delhi,28.5660075,77.1767435,Delhi,79,[LatLong 28.5660075 77.1767435],cpcbAq/079_RKPuram_Delhi,site_124
Rohini,Delhi,28.7382677,77.0822151,Delhi,79,[LatLong 28.7382677 77.0822151],cpcbAq/079_Rohini_Delhi,site_1430
Shadipur,Delhi,28.651027,77.1562196,Delhi,79,[LatLong 28.651027 77.1562196],cpcbAq/079_Shadipur_Delhi,site_113
Sirifort,Delhi,28.5505827,77.214799,Delhi,79,[LatLong 28.5505827 77.214799],cpcbAq/079_Sirifort_Delhi,site_119
SoniaVihar,Delhi,28.7332472,77.2495891,Delhi,79,[LatLong 28.7332472 77.2495891],cpcbAq/079_SoniaVihar_Delhi,site_1432
SriAurobindoMarg,Delhi,28.5562223,77.2063073,Delhi,79,[LatLong 28.5562223 77.2063073],cpcbAq/079_SriAurobindoMarg_Delhi,site_1562
VivekVihar,Delhi,28.6712458,77.3176541,Gautambuddhanagar,144,[LatLong 28.6712458 77.3176541],cpcbAq/144_VivekVihar_Delhi,site_1435
Wazirpur,Delhi,28.6975444,77.1604397,Delhi,79,[LatLong 28.6975444 77.1604397],cpcbAq/079_Wazirpur_Delhi,site_1434
Chandkheda,Ahmedabad,23.109098,72.5849179,Gandhinagar,446,[LatLong 23.109098 72.5849179],cpcbAq/446_Chandkheda_Ahmedabad,site_5453
Gyaspur,Ahmedabad,22.9691813,72.5382069,Ahmadabad,438,[LatLong 22.9691813 72.5382069],cpcbAq/438_Gyaspur_Ahmedabad,site_5450
Maninagar,Ahmedabad,22.995165,72.604097,Ahmadabad,438,[LatLong 22.995165 72.604097],cpcbAq/438_Maninagar_Ahmedabad,site_308
Raikhad,Ahmedabad,23.0189588,72.5811117,Ahmadabad,438,[LatLong 23.0189588 72.5811117],cpcbAq/438_Raikhad_Ahmedabad,site_5452
Rakhial,Ahmedabad,23.0213204,72.6239242,Ahmadabad,438,[LatLong 23.0213204 72.6239242],cpcbAq/438_Rakhial_Ahmedabad,site_5451
SACISROBopal,Ahmedabad,23.0407417,72.4564222,Ahmadabad,438,[LatLong 23.0407417 72.4564222],cpcbAq/438_SACISROBopal_Ahmedabad,site_5454
SACISROSatellite,Ahmedabad,23.0277933,72.518888,Ahmadabad,438,[LatLong 23.0277933 72.518888],cpcbAq/438_SACISROSatellite_Ahmedabad,site_5455
SVPIAirportHansol,Ahmedabad,23.0734262,72.626571,Ahmadabad,438,[LatLong 23.0734262 72.626571],cpcbAq/438_SVPIAirportHansol_Ahmedabad,site_5456
SardarVallabhbhaiPatelStadium,Ahmedabad,23.0418636,72.5635863,Ahmadabad,438,[LatLong 23.0418636 72.5635863],cpcbAq/438_SardarVallabhbhaiPatelStadium_Ahmedabad,site_5449
GIDC,Ankleshwar,21.6143446,73.0115597,Bharuch,442,[LatLong 21.6143446 73.0115597],cpcbAq/442_GIDC_Ankleshwar,site_5065
GIFTCity,Gandhinagar,23.1586396,72.6831136,Gandhinagar,446,[LatLong 23.1586396 72.6831136],cpcbAq/446_GIFTCity_Gandhinagar,site_5458
IIPHGLekawada,Gandhinagar,23.2446495,72.6873825,Gandhinagar,446,[LatLong 23.2446495 72.6873825],cpcbAq/446_IIPHGLekawada_Gandhinagar,site_5457
Sector10,Gandhinagar,23.2150981,72.6542732,Gandhinagar,446,[LatLong 23.2150981 72.6542732],cpcbAq/446_Sector10_Gandhinagar,site_5066
GIDC,Nandesari,22.406643,73.0920622,Vadodara,461,[LatLong 22.406643 73.0920622],cpcbAq/461_GIDC_Nandesari,site_5274
Phase,1GIDC,20.3521472,72.9135734,Valsad,462,[LatLong 20.3521472 72.9135734],cpcbAq/462_Phase_1GIDC,site_5071
Phase,4GIDC,22.9702828,72.6476393,Ahmadabad,438,[LatLong 22.9702828 72.6476393],cpcbAq/438_Phase_4GIDC,site_5067
PattiMehar,Ambala,30.3778718,76.7733263,Ambala,58,[LatLong 30.3778718 76.7733263],cpcbAq/058_PattiMehar_Ambala,site_5052
AryaNagar,Bahadurgarh,28.6771177,76.9282948,Jhajjar,64,[LatLong 28.6771177 76.9282948],cpcbAq/064_AryaNagar_Bahadurgarh,site_5045
NathuColony,Ballabgarh,28.338774,77.3205629,Faridabad,60,[LatLong 28.338774 77.3205629],cpcbAq/060_NathuColony_Ballabgarh,site_5060
HBColony,Bhiwani,28.8082043,76.1361016,Bhiwani,59,[LatLong 28.8082043 76.1361016],cpcbAq/059_HBColony_Bhiwani,site_5047
MiniSecretariat,CharkhiDadri,28.5946828,76.2755277,Bhiwani,59,[LatLong 28.5946828 76.2755277],cpcbAq/059_MiniSecretariat_CharkhiDadri,site_5339
MunicipalCorporationOffice,Dharuhera,28.2056606,76.7914639,Rewari,72,[LatLong 28.2056606 76.7914639],cpcbAq/072_MunicipalCorporationOffice_Dharuhera,site_5044
NewIndustrialTown,Faridabad,28.3922002,77.301675,Faridabad,60,[LatLong 28.3922002 77.301675],cpcbAq/060_NewIndustrialTown_Faridabad,site_5340
Sector11,Faridabad,28.3704165,77.3220128,Faridabad,60,[LatLong 28.3704165 77.3220128],cpcbAq/060_Sector11_Faridabad,site_5342
Sector30,Faridabad,28.4425186,77.3223915,Faridabad,60,[LatLong 28.4425186 77.3223915],cpcbAq/060_Sector30_Faridabad,site_5341
Sector16A,Faridabad,28.4060902,77.3184825,Faridabad,60,[LatLong 28.4060902 77.3184825],cpcbAq/060_Sector16A_Faridabad,site_263
HudaSector,Fatehabad,29.5030525,75.4737974,Fatehabad,61,[LatLong 29.5030525 75.4737974],cpcbAq/061_HudaSector_Fatehabad,site_5054
NISEGwalPahari,Gurugram,28.4235473,77.1489412,Gurgaon,62,[LatLong 28.4235473 77.1489412],cpcbAq/062_NISEGwalPahari_Gurugram,site_5025
Sector51,Gurugram,28.4320397,77.0686159,Gurgaon,62,[LatLong 28.4320397 77.0686159],cpcbAq/062_Sector51_Gurugram,site_5345
TeriGram,Gurugram,28.4254728,77.147301,Gurgaon,62,[LatLong 28.4254728 77.147301],cpcbAq/062_TeriGram_Gurugram,site_5344
VikasSadan,Gurugram,28.4501238,77.0284938,Gurgaon,62,[LatLong 28.4501238 77.0284938],cpcbAq/062_VikasSadan_Gurugram,site_146
UrbanEstateII,Hisar,29.1405535,75.7396802,Hisar,63,[LatLong 29.1405535 75.7396802],cpcbAq/063_UrbanEstateII_Hisar,site_5057
PoliceLines,Jind,29.3069655,76.3478097,Jind,65,[LatLong 29.3069655 76.3478097],cpcbAq/065_PoliceLines_Jind,site_5056
RishiNagar,Kaithal,29.8029465,76.4143664,Kaithal,66,[LatLong 29.8029465 76.4143664],cpcbAq/066_RishiNagar_Kaithal,site_5072
Sector12,Karnal,29.6955341,76.9995868,Karnal,67,[LatLong 29.6955341 76.9995868],cpcbAq/067_Sector12_Karnal,site_5049
Sector7,Kurukshetra,29.9692794,76.8735374,Kurukshetra,68,[LatLong 29.9692794 76.8735374],cpcbAq/068_Sector7_Kurukshetra,site_5043
GeneralHospital,Mandikhera,27.8966318,76.9916675,Gurgaon,62,[LatLong 27.8966318 76.9916675],cpcbAq/062_GeneralHospital_Mandikhera,site_5055
Sector2IMT,Manesar,28.3654839,76.9369384,Gurgaon,62,[LatLong 28.3654839 76.9369384],cpcbAq/062_Sector2IMT_Manesar,site_5039
ShastriNagar,Narnaul,28.0636597,76.1116997,Mahendragarh,69,[LatLong 28.0636597 76.1116997],cpcbAq/069_ShastriNagar_Narnaul,site_5053
ShyamNagar,Palwal,28.1482612,77.3331604,Faridabad,60,[LatLong 28.1482612 77.3331604],cpcbAq/060_ShyamNagar_Palwal,site_5050
Sector6,Panchkula,30.706579,76.8545201,Panchkula,70,[LatLong 30.706579 76.8545201],cpcbAq/070_Sector6_Panchkula,site_161
Sector18,Panipat,29.4362833,76.9772675,Panipat,71,[LatLong 29.4362833 76.9772675],cpcbAq/071_Sector18_Panipat,site_5048
MDUniversity,Rohtak,28.8769643,76.6210539,Rohtak,73,[LatLong 28.8769643 76.6210539],cpcbAq/073_MDUniversity_Rohtak,site_147
Fblock,Sirsa,29.5363692,75.015843,Sirsa,74,[LatLong 29.5363692 75.015843],cpcbAq/074_Fblock_Sirsa,site_5051
Murthal,Sonipat,29.0315896,77.0723807,Sonepat,75,[LatLong 29.0315896 77.0723807],cpcbAq/075_Murthal_Sonipat,site_5041
GobindPura,YamunaNagar,30.1501492,77.2850239,Yamunanagar,76,[LatLong 30.1501492 77.2850239],cpcbAq/076_GobindPura_YamunaNagar,site_5046
HIMUDAComplexPhase,Solan,30.9395251,76.8040021,Solan,25,[LatLong 30.9395251 76.8040021],cpcbAq/025_HIMUDAComplexPhase_Solan,site_5586
Rajbagh,Srinagar,34.0661987,74.8287807,Bagdam,13,[LatLong 34.0661987 74.8287807],cpcbAq/013_Rajbagh_Srinagar,site_5424
TataStadium,Jorapokhar,23.7082799,86.4127228,Dhanbad,325,[LatLong 23.7082799 86.4127228],cpcbAq/325_TataStadium_Jorapokhar,site_254
Vidayagiri,Bagalkot,16.1756049,75.6586295,Bagalkot,524,[LatLong 16.1756049 75.6586295],cpcbAq/524_Vidayagiri_Bagalkot,site_5264
BTMLayout,Bengaluru,12.9165757,77.6101163,Bangaloreurban,525,[LatLong 12.9165757 77.6101163],cpcbAq/525_BTMLayout_Bengaluru,site_162
BWSSBKadabesanahalli,Bengaluru,12.9473227,77.6982627,Bangaloreurban,525,[LatLong 12.9473227 77.6982627],cpcbAq/525_BWSSBKadabesanahalli_Bengaluru,site_164
BapujiNagar,Bengaluru,12.95678,77.5397293,Bangaloreurban,525,[LatLong 12.95678 77.5397293],cpcbAq/525_BapujiNagar_Bengaluru,site_1553
CityRailwayStation,Bengaluru,12.9758403,77.5657561,Bangaloreurban,525,[LatLong 12.9758403 77.5657561],cpcbAq/525_CityRailwayStation_Bengaluru,site_165
Hebbal,Bengaluru,13.0353557,77.5987874,Bangaloreurban,525,[LatLong 13.0353557 77.5987874],cpcbAq/525_Hebbal_Bengaluru,site_1554
HombegowdaNagar,Bengaluru,12.9375448,77.5948946,Bangaloreurban,525,[LatLong 12.9375448 77.5948946],cpcbAq/525_HombegowdaNagar_Bengaluru,site_1555
Jayanagar5thBlock,Bengaluru,12.920789,77.5841502,Bangaloreurban,525,[LatLong 12.920789 77.5841502],cpcbAq/525_Jayanagar5thBlock_Bengaluru,site_1556
Peenya,Bengaluru,13.0285133,77.5196763,Bangaloreurban,525,[LatLong 13.0285133 77.5196763],cpcbAq/525_Peenya_Bengaluru,site_163
SaneguravaHalli,Bengaluru,12.9715987,77.5945627,Bangaloreurban,525,[LatLong 12.9715987 77.5945627],cpcbAq/525_SaneguravaHalli_Bengaluru,site_166
SilkBoard,Bengaluru,12.9177099,77.6237863,Bangaloreurban,525,[LatLong 12.9177099 77.6237863],cpcbAq/525_SilkBoard_Bengaluru,site_1558
Naubad,Bidar,17.93357,77.4788014,Bidar,529,[LatLong 17.93357 77.4788014],cpcbAq/529_Naubad_Bidar,site_5418
Urban,Chamarajanagar,11.9271328,76.9326167,Chamrajnagar,531,[LatLong 11.9271328 76.9326167],cpcbAq/531_Urban_Chamarajanagar,site_5124
ChikkaballapurRural,Chikkaballapur,13.4290654,77.7330474,Kolar,542,[LatLong 13.4290654 77.7330474],cpcbAq/542_ChikkaballapurRural_Chikkaballapur,site_1557
KalyanaNagara,Chikkamagaluru,13.3230247,75.7967371,Chikmagalur,532,[LatLong 13.3230247 75.7967371],cpcbAq/532_KalyanaNagara_Chikkamagaluru,site_5265
DevarajUrsBadavane,Davanagere,14.4758107,75.9071272,Davanagere,535,[LatLong 14.4758107 75.9071272],cpcbAq/535_DevarajUrsBadavane_Davanagere,site_5422
PanchalNagar,Gadag,15.4195912,75.6397204,Gadag,537,[LatLong 15.4195912 75.6397204],cpcbAq/537_PanchalNagar_Gadag,site_5419
B.Katihalli,Hassan,13.0123203,76.1334449,Hassan,539,[LatLong 13.0123203 76.1334449],cpcbAq/539_B.Katihalli_Hassan,site_5448
AshwiniNagar,Haveri,14.7933682,75.3922237,Haveri,540,[LatLong 14.7933682 75.3922237],cpcbAq/540_AshwiniNagar_Haveri,site_5420
DeshpandeNagar,Hubballi,15.3547598,75.1384848,Dharwad,536,[LatLong 15.3547598 75.1384848],cpcbAq/536_DeshpandeNagar_Hubballi,site_1447
LalBahadurShastriNagar,Kalaburagi,17.3203897,76.8194767,Gulbarga,538,[LatLong 17.3203897 76.8194767],cpcbAq/538_LalBahadurShastriNagar_Kalaburagi,site_1565
TamakaInd.Area,Kolar,13.1332532,78.1721958,Kolar,542,[LatLong 13.1332532 78.1721958],cpcbAq/542_TamakaInd.Area_Kolar,site_1551
DiwatorNagar,Koppal,15.3500492,76.1646475,Koppal,543,[LatLong 15.3500492 76.1646475],cpcbAq/543_DiwatorNagar_Koppal,site_5415
StuartHill,Madikeri,12.4152774,75.7458708,Kodagu,541,[LatLong 12.4152774 75.7458708],cpcbAq/541_StuartHill_Madikeri,site_5391
Kadri,Mangalore,12.8804608,74.8591578,Dakshinkannad,534,[LatLong 12.8804608 74.8591578],cpcbAq/534_Kadri_Mangalore,site_5421
Hebbal1stStage,Mysuru,12.3500813,76.6209903,Mysore,545,[LatLong 12.3500813 76.6209903],cpcbAq/545_Hebbal1stStage_Mysuru,site_5125
HajiColony,Raichur,16.2108191,77.3482352,Raichur,546,[LatLong 16.2108191 77.3482352],cpcbAq/546_HajiColony_Raichur,site_5414
VijayNagar,Ramanagara,12.7324268,77.2902266,Bangalorerural,526,[LatLong 12.7324268 77.2902266],cpcbAq/526_VijayNagar_Ramanagara,site_5255
VinobaNagara,Shivamogga,13.945395,75.5538712,Shimoga,547,[LatLong 13.945395 75.5538712],cpcbAq/547_VinobaNagara_Shivamogga,site_5266
Brahmagiri,Udupi,13.3368614,74.7395159,Udupi,549,[LatLong 13.3368614 74.7395159],cpcbAq/549_Brahmagiri_Udupi,site_5433
Ibrahimpur,Vijayapura,16.8028639,75.726973,Bijapur,636,[LatLong 16.8028639 75.726973],cpcbAq/636_Ibrahimpur_Vijayapura,site_5267
CollectorOffice,Yadgir,16.751388,77.1363297,Gulbarga,538,[LatLong 16.751388 77.1363297],cpcbAq/538_CollectorOffice_Yadgir,site_5254
Udyogamandal,Eloor,10.0737878,76.3014896,Ernakulam,555,[LatLong 10.0737878 76.3014896],cpcbAq/555_Udyogamandal_Eloor,site_5105
Kacheripady,Ernakulam,9.9882801,76.2812195,Ernakulam,555,[LatLong 9.9882801 76.2812195],cpcbAq/555_Kacheripady_Ernakulam,site_5272
Thavakkara,Kannur,11.8701516,75.3690595,Kannur,557,[LatLong 11.8701516 75.3690595],cpcbAq/557_Thavakkara_Kannur,site_5276
Vyttila,Kochi,9.968199,76.3182346,Ernakulam,555,[LatLong 9.968199 76.3182346],cpcbAq/555_Vyttila_Kochi,site_5270
Polayathode,Kollam,8.8787049,76.6073332,Kollam,559,[LatLong 8.8787049 76.6073332],cpcbAq/559_Polayathode_Kollam,site_5334
Palayam,Kozhikode,11.2488252,75.7838995,Kozhikode,561,[LatLong 11.2488252 75.7838995],cpcbAq/561_Palayam_Kozhikode,site_5271
Kariavattom,Thiruvananthapuram,8.5678435,76.8908318,Thiruvananthapuram,565,[LatLong 8.5678435 76.8908318],cpcbAq/565_Kariavattom_Thiruvananthapuram,site_5331
Plammoodu,Thiruvananthapuram,8.5140567,76.9477422,Thiruvananthapuram,565,[LatLong 8.5140567 76.9477422],cpcbAq/565_Plammoodu_Thiruvananthapuram,site_252
CorporationGround,Thrissur,10.5276416,76.2144349,Thrissur,566,[LatLong 10.5276416 76.2144349],cpcbAq/566_CorporationGround_Thrissur,site_5390
TTNagar,Bhopal,23.2357524,77.3986471,Bhopal,396,[LatLong 23.2357524 77.3986471],cpcbAq/396_TTNagar_Bhopal,site_5247
