Year,Place,StatVar,Quantity
2021,geoId/10,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCManagementBusinessScienceArtsOccupation,28052.325
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCManagementBusinessScienceArtsOccupation,37635.852
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCManagementBusinessScienceArtsOccupation,2116.43
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCManagementBusinessScienceArtsOccupation,841.075
2021,country/USA,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCManagementBusinessScienceArtsOccupation,24294197.022
2021,geoId/01,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCManagementBusinessScienceArtsOccupation,328494.387
2021,geoId/10,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCManagementBusinessScienceArtsOccupation,76933.114
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCManagementBusinessScienceArtsOccupation,36753.702
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCManagementBusinessScienceArtsOccupation,3437.161
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCManagementBusinessScienceArtsOccupation,1384.104
2021,country/USA,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCManagementBusinessScienceArtsOccupation,2854980.365
2021,geoId/01,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCManagementBusinessScienceArtsOccupation,31743.536
2021,geoId/10,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCManagementBusinessScienceArtsOccupation,7332.29
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCManagementBusinessScienceArtsOccupation,14346.635
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCManagementBusinessScienceArtsOccupation,1262.527
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCManagementBusinessScienceArtsOccupation,673.778
2021,country/USA,dcid:Count_Person_NAICSOtherServices_SOCManagementBusinessScienceArtsOccupation,1908718.095
2021,geoId/01,dcid:Count_Person_NAICSOtherServices_SOCManagementBusinessScienceArtsOccupation,27463.986
2021,geoId/10,dcid:Count_Person_NAICSOtherServices_SOCManagementBusinessScienceArtsOccupation,4247.488
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSOtherServices_SOCManagementBusinessScienceArtsOccupation,14970.338
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSOtherServices_SOCManagementBusinessScienceArtsOccupation,1367.938
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSOtherServices_SOCManagementBusinessScienceArtsOccupation,455.088
2021,country/USA,dcid:Count_Person_NAICSPublicAdministration_SOCManagementBusinessScienceArtsOccupation,3285449.04
2021,geoId/01,dcid:Count_Person_NAICSPublicAdministration_SOCManagementBusinessScienceArtsOccupation,52241.748
2021,geoId/10,dcid:Count_Person_NAICSPublicAdministration_SOCManagementBusinessScienceArtsOccupation,12431.771
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSPublicAdministration_SOCManagementBusinessScienceArtsOccupation,14799.32
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSPublicAdministration_SOCManagementBusinessScienceArtsOccupation,1772.91
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSPublicAdministration_SOCManagementBusinessScienceArtsOccupation,707.278
2021,country/USA,dcid:Count_Person_SOCServiceOccupation,26776866.94
2021,geoId/01,dcid:Count_Person_SOCServiceOccupation,347775.52
2021,geoId/10,dcid:Count_Person_SOCServiceOccupation,79886.604
2021,country/USA,dcid:MarginOfError_Count_Person_SOCServiceOccupation,157510.982
2021,geoId/01,dcid:MarginOfError_Count_Person_SOCServiceOccupation,4347.194
2021,geoId/10,dcid:MarginOfError_Count_Person_SOCServiceOccupation,2322.285
2021,country/USA,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCServiceOccupation,96722.033
2021,geoId/01,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCServiceOccupation,1649.065
2021,geoId/10,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCServiceOccupation,305.976
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCServiceOccupation,2614.109
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCServiceOccupation,749.575
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCServiceOccupation,170.544
2021,country/USA,dcid:Count_Person_NAICSConstruction_SOCServiceOccupation,75020.302
2021,geoId/01,dcid:Count_Person_NAICSConstruction_SOCServiceOccupation,1198.344
2021,geoId/10,dcid:Count_Person_NAICSConstruction_SOCServiceOccupation,291.609
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSConstruction_SOCServiceOccupation,10717.186
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSConstruction_SOCServiceOccupation,299.586
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSConstruction_SOCServiceOccupation,162.005
2021,country/USA,dcid:Count_Person_NAICSManufacturing_SOCServiceOccupation,284148.144
2021,geoId/01,dcid:Count_Person_NAICSManufacturing_SOCServiceOccupation,6779.85
2021,geoId/10,dcid:Count_Person_NAICSManufacturing_SOCServiceOccupation,680.162
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSManufacturing_SOCServiceOccupation,15786.008
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSManufacturing_SOCServiceOccupation,616.35
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSManufacturing_SOCServiceOccupation,178.99
2021,country/USA,dcid:Count_Person_NAICSWholesaleTrade_SOCServiceOccupation,54835.438
2021,geoId/01,dcid:Count_Person_NAICSWholesaleTrade_SOCServiceOccupation,571.626
2021,geoId/10,dcid:Count_Person_NAICSWholesaleTrade_SOCServiceOccupation,184.5
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade_SOCServiceOccupation,3916.817
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade_SOCServiceOccupation,207.864
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade_SOCServiceOccupation,147.6
2021,country/USA,dcid:Count_Person_NAICSRetailTrade_SOCServiceOccupation,776396.655
2021,geoId/01,dcid:Count_Person_NAICSRetailTrade_SOCServiceOccupation,10667.16
2021,geoId/10,dcid:Count_Person_NAICSRetailTrade_SOCServiceOccupation,2250.736
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSRetailTrade_SOCServiceOccupation,17253.259
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSRetailTrade_SOCServiceOccupation,1015.92
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSRetailTrade_SOCServiceOccupation,384.272
2021,country/USA,dcid:Count_Person_NAICSTransportationWarehousingUtilities_SOCServiceOccupation,204837.494
2021,geoId/01,dcid:Count_Person_NAICSTransportationWarehousingUtilities_SOCServiceOccupation,2456.14
2021,geoId/10,dcid:Count_Person_NAICSTransportationWarehousingUtilities_SOCServiceOccupation,731.592
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities_SOCServiceOccupation,8905.978
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities_SOCServiceOccupation,491.228
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities_SOCServiceOccupation,243.864
2021,country/USA,dcid:Count_Person_NAICSInformation_SOCServiceOccupation,81844.101
2021,geoId/01,dcid:Count_Person_NAICSInformation_SOCServiceOccupation,1017.144
2021,geoId/10,dcid:Count_Person_NAICSInformation_SOCServiceOccupation,135.744
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSInformation_SOCServiceOccupation,3031.263
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSInformation_SOCServiceOccupation,239.328
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSInformation_SOCServiceOccupation,96.152
2021,country/USA,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCServiceOccupation,345947.91
2021,geoId/01,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCServiceOccupation,3856.96
2021,geoId/10,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCServiceOccupation,2056.391
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCServiceOccupation,10483.27
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCServiceOccupation,482.12
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCServiceOccupation,437.53
2021,country/USA,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCServiceOccupation,3293137.05
2021,geoId/01,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCServiceOccupation,43598.458
2021,geoId/10,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCServiceOccupation,10488.7
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCServiceOccupation,37635.852
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCServiceOccupation,1693.144
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCServiceOccupation,791.6
2021,country/USA,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCServiceOccupation,7644770.016
2021,geoId/01,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCServiceOccupation,93294.37
2021,geoId/10,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCServiceOccupation,22953.058
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCServiceOccupation,36753.702
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCServiceOccupation,2946.138
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance_SOCServiceOccupation,1268.762
2021,country/USA,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCServiceOccupation,8909260.335
2021,geoId/01,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCServiceOccupation,113086.347
2021,geoId/10,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCServiceOccupation,24652.348
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCServiceOccupation,14346.635
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCServiceOccupation,1803.61
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices_SOCServiceOccupation,753.046
2021,country/USA,dcid:Count_Person_NAICSOtherServices_SOCServiceOccupation,2747057.023
2021,geoId/01,dcid:Count_Person_NAICSOtherServices_SOCServiceOccupation,36618.648
2021,geoId/10,dcid:Count_Person_NAICSOtherServices_SOCServiceOccupation,7660.648
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSOtherServices_SOCServiceOccupation,14970.338
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSOtherServices_SOCServiceOccupation,1367.938
