sex,age,isced97,frequenc,unit,time\geo	BE 	BG 	CZ 	EL 	ES 	FR 	CY 	LV 	HU 	MT 	PL 	RO 	SI 	SK 	TR 
F,Y55-64,ED5_6,MTH,PC,2008	45.4 	69.3 	: 	49.3 	35.9 	52.1 u	57.4 	81.0 	37.9 	50.0 u	71.7 	68.9 	71.8 u	80.0 	: 
F,Y55-64,ED5_6,NVR,PC,2008	12.2 	23.1 	: 	39.5 	32.7 	12.5 u	33.7 	17.0 	46.2 	20.0 u	21.3 	29.5 	: 	18.3 	: 
F,Y55-64,ED5_6,WEEK,PC,2008	28.9 	5.7 	: 	7.5 	13.0 	27.4 u	9.0 	2.0 	14.7 	25.0 u	5.3 	1.6 	18.7 u	: 	: 
F,Y55-64,TOTAL,DAY,PC,2008	15.6 	2.1 	6.9 	3.9 	10.9 	6.5 u	1.3 	: 	1.5 	3.4 	0.7 	0.6 	7.6 	1.5 	: 
F,Y55-64,TOTAL,MTH,PC,2008	40.0 	47.0 	52.7 	40.2 	30.4 	52.9 u	46.0 	77.3 	41.8 	30.4 	62.1 	55.0 	54.5 	64.6 	: 
F,Y55-64,TOTAL,NVR,PC,2008	18.4 	44.3 	25.3 	49.4 	51.9 	26.0 u	48.8 	21.0 	49.3 	57.3 	35.6 	41.3 	27.4 	30.9 	: 
F,Y55-64,TOTAL,WEEK,PC,2008	26.0 	6.5 	15.1 	6.5 	6.8 	14.6 u	3.9 	1.8 	7.4 	8.9 	1.6 	3.1 	10.6 	3.1 	: 
F,Y65-74,ED0-2,DAY,PC,2008	12.3 	1.1 	5.7 u	5.4 	9.3 	8.1 u	1.7 	0.4 	2.6 	3.2 	0.1 	0.3 	7.2 	1.0 	: 
F,Y65-74,ED0-2,MTH,PC,2008	44.4 	33.3 	49.1 u	22.2 	17.8 	47.9 u	34.8 	52.8 	19.4 	22.2 	37.3 	46.2 	46.5 	42.5 	: 
F,Y65-74,ED0-2,NVR,PC,2008	31.9 	61.3 	38.6 u	66.2 	69.9 	38.9 u	61.8 	46.1 	75.3 	69.0 	61.4 	50.3 	42.7 	54.8 	: 
F,Y65-74,ED0-2,WEEK,PC,2008	11.4 	4.4 	6.7 u	6.2 	2.9 	5.2 u	1.7 	0.8 	2.8 	5.7 	1.1 	3.3 	3.6 	1.7 	: 
F,Y65-74,ED3_4,DAY,PC,2008	19.7 u	1.7 	5.3 	4.7 	25.1 	9.4 u	5.8 	1.2 	2.2 	6.7 u	: 	0.3 	6.4 u	2.0 	: 
F,Y65-74,ED3_4,MTH,PC,2008	33.5 u	53.1 	57.4 	48.5 	35.5 	58.3 u	45.5 	59.3 	39.8 	36.7 u	53.1 	50.3 	59.4 u	53.2 	: 
F,Y65-74,ED3_4,NVR,PC,2008	27.3 u	40.2 	27.1 	38.7 	31.1 	19.2 u	45.6 	38.4 	47.2 	43.3 u	45.2 	47.9 	31.2 u	43.5 	: 
F,Y65-74,ED3_4,WEEK,PC,2008	19.5 u	5.0 	10.3 	8.1 	8.2 	13.1 u	3.1 	1.2 	10.8 	13.3 u	1.7 	1.5 	3.1 u	1.3 	: 
F,Y65-74,ED5_6,DAY,PC,2008	17.9 	: 	: 	5.2 u	30.0 	12.7 u	: 	: 	9.5 u	: 	0.8 	: 	: 	: 	: 
F,Y65-74,ED5_6,MTH,PC,2008	33.9 	51.6 	: 	35.9 u	23.6 	45.9 u	: 	72.9 	46.2 u	: 	59.1 	51.6 	: 	73.3 u	: 
F,Y65-74,ED5_6,NVR,PC,2008	12.1 	48.4 	: 	53.7 u	40.4 	25.6 u	: 	27.1 	35.6 u	: 	36.3 	48.4 	: 	23.5 u	: 
F,Y65-74,ED5_6,WEEK,PC,2008	36.2 	: 	: 	5.2 u	6.0 	15.8 u	: 	: 	8.8 u	: 	3.9 	: 	: 	3.2 u	: 
F,Y65-74,TOTAL,DAY,PC,2008	15.5 	1.2 	5.8 	5.3 	12.0 	8.8 u	2.4 	0.7 	3.4 	4.1 	0.1 	0.3 	6.5 	1.5 	: 
F,Y65-74,TOTAL,MTH,PC,2008	39.7 	42.3 	55.9 	26.5 	19.7 	50.6 u	38.4 	58.4 	29.4 	23.5 	45.9 	47.4 	53.7 	51.4 	: 
F,Y65-74,TOTAL,NVR,PC,2008	28.2 	52.4 	29.6 	61.5 	64.7 	32.5 u	57.4 	40.1 	61.0 	65.3 	52.3 	49.6 	35.8 	45.6 	: 
F,Y65-74,TOTAL,WEEK,PC,2008	16.6 	4.2 	8.6 	6.7 	3.6 	8.2 u	1.9 	0.8 	6.1 	7.1 	1.6 	2.7 	4.1 	1.6 	: 
F,Y_GE75,ED0-2,DAY,PC,2008	11.6 u	2.8 	0.9 	4.3 	8.9 	9.1 u	1.6 	0.3 	2.8 	2.9 	0.0 	0.6 	5.3 	0.8 	: 
F,Y_GE75,ED0-2,MTH,PC,2008	35.9 u	26.3 	34.7 	19.5 	11.1 	41.8 u	20.8 	33.5 	15.2 	17.4 	22.6 	34.7 	35.1 	36.0 	: 
F,Y_GE75,ED0-2,NVR,PC,2008	43.1 u	69.0 	60.6 	71.6 	77.8 	43.3 u	75.7 	65.4 	76.9 	78.3 	77.2 	62.3 	55.7 	63.2 	: 
F,Y_GE75,ED0-2,WEEK,PC,2008	9.4 u	2.0 	3.9 	4.6 	2.3 	5.8 u	2.0 	0.8 	5.2 	1.5 	0.2 	2.4 	3.9 	: 	: 
F,Y_GE75,ED3_4,DAY,PC,2008	24.1 u	0.8 	1.1 	4.9 	21.0 	16.8 u	8.8 u	: 	5.2 	6.9 u	: 	: 	18.7 u	: 	: 
F,Y_GE75,ED3_4,MTH,PC,2008	25.9 u	36.4 	44.3 	22.6 	22.6 	42.8 u	43.3 u	37.3 	26.0 	37.9 u	37.1 	34.3 	46.2 u	37.3 	: 
F,Y_GE75,ED3_4,NVR,PC,2008	30.7 u	61.0 	54.6 	65.9 	53.9 	32.3 u	39.7 u	62.0 	65.9 	48.3 u	62.5 	65.2 	29.8 u	62.8 	: 
F,Y_GE75,ED3_4,WEEK,PC,2008	19.3 u	1.8 	: 	6.7 	2.6 	8.1 u	8.3 u	0.7 	2.9 	6.9 u	0.4 	0.5 	5.3 u	: 	: 
F,Y_GE75,ED5_6,DAY,PC,2008	17.0 u	: 	: 	: 	22.3 	14.0 u	: 	: 	: 	: 	5.3 	5.2 u	: 	: 	: 
F,Y_GE75,ED5_6,MTH,PC,2008	36.5 u	: 	: 	25.0 u	16.8 	46.9 u	: 	46.8 u	: 	: 	61.3 	43.4 u	: 	: 	: 
F,Y_GE75,ED5_6,NVR,PC,2008	27.2 u	: 	: 	71.9 u	56.7 	21.3 u	: 	53.2 u	: 	: 	33.5 	45.5 u	: 	: 	: 
F,Y_GE75,ED5_6,WEEK,PC,2008	19.4 u	: 	: 	3.1 u	4.2 	17.8 u	: 	: 	: 	: 	: 	5.9 u	: 	: 	: 
F,Y_GE75,TOTAL,DAY,PC,2008	14.9 u	2.4 	1.0 	4.2 	10.0 	10.4 u	2.1 	0.2 	3.5 	3.6 	0.3 	0.7 	8.1 	1.1 	: 
F,Y_GE75,TOTAL,MTH,PC,2008	34.0 u	29.5 	39.9 	20.0 	11.8 	42.1 u	23.5 	36.1 	18.7 	20.7 	28.3 	35.0 	37.6 	36.3 	: 
F,Y_GE75,TOTAL,NVR,PC,2008	39.0 u	66.1 	56.4 	71.2 	75.8 	40.9 u	71.6 	63.0 	73.0 	73.4 	71.2 	62.1 	50.3 	62.7 	: 
F,Y_GE75,TOTAL,WEEK,PC,2008	12.1 u	2.1 	2.8 	4.7 	2.3 	6.6 u	2.8 	0.7 	4.8 	2.4 	0.2 	2.2 	4.0 	: 	: 
M,TOTAL,ED0-2,DAY,PC,2008	16.2 u	12.4 	13.4 	24.2 	24.8 	17.1 u	12.6 	2.7 	12.8 	12.0 	5.0 	7.5 	17.2 	11.6 	: 
M,TOTAL,ED0-2,MTH,PC,2008	36.4 u	46.2 	55.9 	30.8 	33.2 	43.4 u	53.5 	68.7 	38.4 	34.0 	64.8 	55.4 	48.0 	59.3 	: 
M,TOTAL,ED0-2,NVR,PC,2008	21.8 u	21.9 	9.3 	26.7 	28.1 	22.1 u	18.8 	16.7 	27.0 	40.2 	21.5 	18.0 	20.9 	21.7 	: 
M,TOTAL,ED0-2,WEEK,PC,2008	25.7 u	19.5 	21.4 	18.3 	14.0 	17.4 u	15.2 	11.9 	21.8 	13.8 	8.7 	19.2 	13.9 	7.4 	: 
M,TOTAL,ED3_4,DAY,PC,2008	13.6 	10.6 	17.8 	11.5 	16.1 	12.5 u	8.2 	1.1 	11.1 	7.6 	4.8 	5.1 	9.3 	9.3 	: 
M,TOTAL,ED3_4,MTH,PC,2008	38.8 	55.8 	46.7 	49.0 	47.7 	48.8 u	64.1 	77.2 	42.1 	47.2 	71.9 	62.7 	50.8 	60.5 	: 
M,TOTAL,ED3_4,NVR,PC,2008	14.3 	12.2 	7.5 	12.9 	17.1 	13.9 u	11.3 	10.9 	22.8 	20.5 	10.9 	12.6 	16.7 	12.7 	: 
M,TOTAL,ED3_4,WEEK,PC,2008	33.3 	21.4 	28.0 	26.7 	19.1 	24.7 u	16.4 	10.8 	24.0 	24.7 	12.4 	19.7 	23.3 	17.5 	: 
M,TOTAL,ED5_6,DAY,PC,2008	18.3 	8.4 	12.5 	13.5 	16.1 	14.1 u	5.4 	2.1 	8.5 	4.5 	5.7 	1.7 	11.4 	4.9 	: 
M,TOTAL,ED5_6,MTH,PC,2008	28.2 	52.8 	46.3 	54.5 	43.5 	46.8 u	67.3 	75.4 	52.0 	49.4 	70.3 	69.7 	61.3 	67.2 	: 
M,TOTAL,ED5_6,NVR,PC,2008	8.5 	15.5 	5.5 	11.6 	16.0 	10.9 u	9.5 	10.7 	13.2 	11.3 	8.4 	12.3 	6.2 	12.2 	: 
M,TOTAL,ED5_6,WEEK,PC,2008	45.1 	23.3 	35.7 	20.4 	24.4 	28.3 u	17.9 	11.9 	26.3 	34.7 	15.6 	16.4 	21.1 	15.7 	: 
M,TOTAL,TOTAL,DAY,PC,2008	15.9 u	10.8 	16.6 	16.9 	20.6 	14.3 u	9.0 	1.7 	11.0 	8.4 	5.0 	5.3 	11.0 	8.7 	: 
M,TOTAL,TOTAL,MTH,PC,2008	34.5 u	52.6 	47.4 	43.5 	39.1 	46.6 u	61.4 	74.5 	43.2 	43.5 	70.4 	61.6 	51.9 	61.7 	: 
M,TOTAL,TOTAL,NVR,PC,2008	15.0 u	15.5 	7.6 	17.8 	22.6 	15.7 u	13.3 	12.5 	21.9 	25.0 	12.3 	13.9 	15.8 	13.3 	: 
M,TOTAL,TOTAL,WEEK,PC,2008	34.6 u	21.1 	28.5 	21.8 	17.7 	23.3 u	16.3 	11.3 	24.0 	23.1 	12.3 	19.2 	21.3 	16.4 	: 
M,Y18-44,ED0-2,DAY,PC,2008	5.3 u	8.0 	11.7 u	14.3 	11.7 	4.1 u	7.8 	3.9 	4.3 	3.9 	3.9 u	5.2 	9.2 	2.4 	: 
M,Y18-44,ED0-2,MTH,PC,2008	43.3 u	50.2 	61.6 u	38.8 	46.1 	50.6 u	59.7 	72.7 	52.2 	39.2 	68.5 u	58.9 	63.4 	75.2 	: 
M,Y18-44,ED0-2,NVR,PC,2008	22.8 u	24.3 	2.4 u	22.2 	25.2 	29.2 u	17.2 	11.4 	25.4 	39.2 	17.8 u	19.2 	10.7 	18.6 	: 
M,Y18-44,ED0-2,WEEK,PC,2008	28.6 u	17.5 	24.3 u	24.7 	17.0 	16.2 u	15.3 	12.0 	18.2 	17.7 	9.8 u	16.8 	16.6 	3.8 	: 
M,Y18-44,ED3_4,DAY,PC,2008	7.5 u	6.2 	7.3 	8.2 	8.4 	3.6 u	5.3 	0.9 	5.0 	4.2 	4.5 u	3.8 	5.6 	7.1 	: 
M,Y18-44,ED3_4,MTH,PC,2008	44.6 u	63.2 	57.3 	50.5 	55.2 	58.5 u	69.9 	79.3 	51.9 	55.5 	73.1 u	65.6 	58.2 	64.9 	: 
M,Y18-44,ED3_4,NVR,PC,2008	15.3 u	12.4 	6.0 	11.1 	16.8 	15.7 u	10.0 	9.4 	24.6 	16.9 	8.3 u	11.9 	15.0 	12.0 	: 
M,Y18-44,ED3_4,WEEK,PC,2008	32.6 u	18.3 	29.5 	30.2 	19.5 	22.3 u	14.8 	10.4 	18.5 	23.4 	14.2 u	18.7 	21.2 	16.0 	: 
M,Y18-44,ED5_6,DAY,PC,2008	7.4 	9.2 	5.1 u	6.0 	6.7 	3.7 u	2.4 	: 	0.7 	1.9 	3.8 	0.7 	2.5 	2.1 	: 
M,Y18-44,ED5_6,MTH,PC,2008	35.3 	54.7 	56.2 u	63.1 	52.4 	54.3 u	71.2 	78.1 	58.6 	54.4 	73.0 	69.1 	71.6 	71.7 	: 
M,Y18-44,ED5_6,NVR,PC,2008	10.5 	13.3 	4.1 u	12.3 	14.9 	12.8 u	8.7 	8.9 	14.4 	8.1 	5.5 	13.6 	6.3 	10.3 	: 
M,Y18-44,ED5_6,WEEK,PC,2008	46.8 	22.9 	34.6 u	18.6 	26.0 	29.2 u	17.7 	13.0 	26.3 	35.6 	17.7 	16.6 	19.6 	16.0 	: 
M,Y18-44,TOTAL,DAY,PC,2008	6.9 u	7.0 	7.4 	9.0 	9.3 	3.7 u	5.0 	1.6 	4.2 	3.6 	4.2 u	3.6 	5.6 	5.8 	: 
M,Y18-44,TOTAL,MTH,PC,2008	40.9 u	59.0 	57.4 	51.2 	50.5 	55.7 u	68.4 	77.4 	53.1 	53.8 	72.5 u	64.8 	61.1 	66.9 	: 
M,Y18-44,TOTAL,NVR,PC,2008	15.4 u	15.2 	5.6 	14.0 	19.9 	17.3 u	11.0 	9.8 	23.1 	16.7 	8.9 u	13.5 	13.0 	12.1 	: 
M,Y18-44,TOTAL,WEEK,PC,2008	36.9 u	18.7 	29.7 	25.9 	20.3 	23.4 u	15.7 	11.3 	19.7 	25.8 	14.4 u	18.1 	20.3 	15.3 	: 
M,Y45-54,ED0-2,DAY,PC,2008	17.7 u	28.1 	: 	27.2 	32.3 	13.0 u	10.8 	1.1 	13.1 	15.5 	10.0 	17.4 	28.1 u	: 	: 
M,Y45-54,ED0-2,MTH,PC,2008	33.6 u	33.8 	: 	30.1 	29.9 	47.9 u	59.1 	60.5 	33.2 	44.3 	63.4 	48.1 	24.4 u	: 	: 
M,Y45-54,ED0-2,NVR,PC,2008	21.4 u	7.1 	: 	25.5 	23.1 	18.8 u	10.4 	15.1 	29.2 	24.7 	11.0 	8.8 	33.4 u	: 	: 
M,Y45-54,ED0-2,WEEK,PC,2008	27.3 u	31.1 	: 	17.2 	14.7 	20.4 u	19.7 	23.3 	24.5 	15.5 	15.5 	25.7 	14.1 u	: 	: 
M,Y45-54,ED3_4,DAY,PC,2008	15.0 	18.1 	32.6 	18.7 	25.5 	10.8 u	10.9 	1.8 	11.9 	9.2 	6.6 	7.4 	7.6 	12.1 	7.5 u
M,Y45-54,ED3_4,MTH,PC,2008	35.9 	47.7 	31.3 	49.1 	36.8 	42.3 u	55.4 	77.2 	38.4 	42.7 	72.8 	57.4 	45.2 	54.8 	48.3 u
M,Y45-54,ED3_4,NVR,PC,2008	12.2 	8.3 	5.9 	11.6 	15.7 	14.5 u	13.3 	8.2 	18.7 	20.0 	8.3 	9.9 	17.9 	10.1 	39.1 u
M,Y45-54,ED3_4,WEEK,PC,2008	36.9 	25.9 	30.2 	20.6 	22.0 	32.4 u	20.4 	12.8 	31.1 	28.1 	12.3 	25.3 	29.3 	23.0 	5.1 u
M,Y45-54,ED5_6,DAY,PC,2008	22.6 	7.5 	: 	16.1 	24.9 	12.0 u	6.9 	2.1 	11.4 	: 	9.1 	4.0 	4.0 u	7.7 	5.0 u
M,Y45-54,ED5_6,MTH,PC,2008	26.0 	51.1 	: 	52.0 	35.7 	52.1 u	69.2 	74.6 	55.9 	44.2 u	69.4 	71.5 	70.8 u	65.1 	64.5 u
M,Y45-54,ED5_6,NVR,PC,2008	5.4 	6.5 	: 	8.5 	14.6 	6.2 u	8.4 	12.3 	7.6 	14.0 u	7.5 	5.8 	3.2 u	10.6 	21.0 u
M,Y45-54,ED5_6,WEEK,PC,2008	46.0 	34.8 	: 	23.5 	24.8 	29.7 u	15.5 	11.0 	25.1 	41.9 u	14.0 	18.7 	22.1 u	16.7 	9.4 u
