frequenc,sex,age,isced97,time\geo	BE 	BG 	CZ 	EL 	ES 	CY 	LV 	HU 	MT 	RO 	SI 	SK 
LT1M,F,TOTAL,ED0-2,2008	7.6 u	1.9 	11.4 	2.0 	1.5 	0.5 	2.7 	1.1 	2.2 	2.4 	4.3 	2.0 
LT1M,F,TOTAL,ED3_4,2008	13.0 	3.5 	12.3 	7.2 	4.1 	2.5 	6.3 	3.4 	9.7 	2.9 	8.7 	6.9 
LT1M,F,TOTAL,ED5_6,2008	14.7 	5.5 	24.3 	6.4 	5.3 	3.7 	6.3 	5.1 	14.7 	2.6 	9.3 	8.3 
LT1M,F,TOTAL,TOTAL,2008	11.7 u	3.3 	13.4 	4.7 	3.0 	2.0 	5.3 	3.0 	7.6 	2.7 	7.4 	6.2 
LT1M,F,Y15-24,ED0-2,2008	9.5 u	0.8 	22.0 	1.9 	4.8 	: 	3.0 	3.0 	: 	1.3 	12.1 	3.6 
LT1M,F,Y15-24,ED3_4,2008	6.8 	2.5 	19.0 	9.7 	10.5 	7.1 u	8.2 	6.8 	18.5 	2.0 	14.7 	9.5 
LT1M,F,Y15-24,ED5_6,2008	17.3 	: 	: 	5.5 u	8.7 	11.4 	9.2 	6.1 u	18.2 	: 	: 	8.7 
LT1M,F,Y15-24,TOTAL,2008	10.7 	1.6 	21.9 	6.6 	7.4 	5.2 	6.0 	5.1 	17.5 	1.6 	13.1 	7.2 
LT1M,F,Y25-34,ED0-2,2008	3.2 u	2.8 	: 	13.8 	2.9 	5.0 	5.5 	1.9 u	: 	2.2 	: 	: 
LT1M,F,Y25-34,ED3_4,2008	17.6 	3.6 	12.8 	6.7 	3.3 	3.3 	8.6 	5.1 	8.3 	3.8 	4.3 	9.0 
LT1M,F,Y25-34,ED5_6,2008	19.1 	6.7 	29.2 u	11.1 	8.4 	3.5 	8.9 	5.4 	16.1 	3.3 	19.0 	11.0 
LT1M,F,Y25-34,TOTAL,2008	16.5 	4.4 	17.1 	9.3 	5.3 	3.6 	8.2 	4.9 	10.1 	3.4 	9.7 	9.4 
LT1M,F,Y35-44,ED0-2,2008	7.2 	5.8 	: 	4.2 	2.6 	0.8 	7.1 u	1.9 	: 	4.6 	4.3 u	: 
LT1M,F,Y35-44,ED3_4,2008	16.6 	4.2 	14.9 	6.4 	2.7 	1.3 	12.7 	1.5 	9.3 	3.9 	7.5 	8.6 
LT1M,F,Y35-44,ED5_6,2008	11.8 	3.0 	: 	5.9 	4.5 	3.2 	9.9 	6.0 	7.9 u	5.2 	5.6 	10.5 
LT1M,F,Y35-44,TOTAL,2008	12.7 	4.1 	14.0 	5.8 	3.3 	1.8 	11.1 	3.0 	8.9 	4.1 	6.4 	9.3 
LT1M,F,Y45-54,ED0-2,2008	13.4 	3.2 	: 	1.4 	1.4 	: 	9.5 	2.8 	1.7 	3.6 	1.8 	2.3 u
LT1M,F,Y45-54,ED3_4,2008	11.0 	6.1 	14.9 	8.2 	2.5 	0.3 	6.1 	3.4 	6.8 	2.8 	12.1 	7.3 
LT1M,F,Y45-54,ED5_6,2008	15.8 	10.8 	: 	4.9 	2.9 	0.7 	4.6 	2.9 	17.2 u	1.7 	7.1 u	5.5 
LT1M,F,Y45-54,TOTAL,2008	13.4 	6.7 	16.1 	4.6 	2.0 	0.3 	6.0 	3.2 	6.0 	2.9 	8.5 	6.6 
LT1M,F,Y55-64,ED0-2,2008	11.8 	3.5 	2.1 u	0.8 	0.3 	0.5 	3.5 	: 	3.1 	3.6 	3.1 	1.8 u
LT1M,F,Y55-64,ED3_4,2008	14.0 	2.5 	9.0 	6.4 	2.0 	: 	2.9 	2.7 	3.1 	1.6 	6.8 	3.2 
LT1M,F,Y55-64,ED5_6,2008	16.2 	5.0 	: 	1.6 	0.5 	1.8 	1.1 	5.1 	15.8 u	0.8 	5.1 u	3.5 
LT1M,F,Y55-64,TOTAL,2008	13.5 	3.2 	8.8 	2.2 	0.6 	0.5 	2.6 	2.3 	3.8 	2.6 	5.1 	3.1 
LT1M,F,Y65-74,ED0-2,2008	6.8 	1.5 	4.5 u	1.3 	0.2 	: 	0.6 	0.5 	3.2 	2.1 	1.9 	: 
LT1M,F,Y65-74,ED3_4,2008	5.6 u	2.2 	7.6 	4.6 	3.7 	: 	1.5 	0.7 	3.5 u	1.0 	7.9 u	2.3 
LT1M,F,Y65-74,ED5_6,2008	8.5 	2.0 	: 	: 	: 	: 	: 	6.0 u	: 	: 	: 	: 
LT1M,F,Y65-74,TOTAL,2008	6.7 	1.8 	6.2 	1.6 	0.5 	: 	0.9 	1.3 	3.1 	1.8 	4.0 	1.3 
LT1M,F,Y75-84,ED0-2,2008	0.9 u	: 	: 	0.1 	: 	: 	: 	: 	: 	1.7 	: 	: 
LT1M,F,Y75-84,ED3_4,2008	10.9 u	: 	: 	2.9 u	: 	4.7 u	: 	3.0 	3.9 u	1.0 	: 	2.4 
LT1M,F,Y75-84,TOTAL,2008	2.9 u	: 	2.0 	0.4 	: 	0.4 	: 	0.7 	0.7 	1.6 	1.6 	1.6 
LT1M,F,Y_GE85,ED0-2,2008	0.8 u	: 	: 	: 	: 	: 	: 	: 	: 	0.8 	: 	: 
LT1M,F,Y_GE85,ED3_4,2008	1.1 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LT1M,F,Y_GE85,TOTAL,2008	0.8 u	: 	2.4 u	: 	: 	: 	: 	: 	: 	0.6 	: 	: 
LT1M,M,TOTAL,ED0-2,2008	15.2 u	12.6 	14.2 	14.1 	8.0 	7.8 	9.1 	10.7 	9.9 	17.8 	13.4 	14.3 
LT1M,M,TOTAL,ED3_4,2008	20.9 	19.8 	25.3 	18.2 	10.4 	14.3 	15.2 	14.4 	16.7 	24.7 	24.9 	27.6 
LT1M,M,TOTAL,ED5_6,2008	27.2 	14.1 	32.8 	17.0 	12.3 	13.0 	15.7 	13.9 	23.5 	18.4 	24.5 	23.2 
LT1M,M,TOTAL,TOTAL,2008	21.1 	16.7 	24.7 	16.2 	9.5 	11.6 	13.3 	13.5 	15.8 	22.0 	22.5 	25.1 
LT1M,M,Y15-24,ED0-2,2008	15.4 u	2.4 	14.3 	6.8 	10.9 	5.1 	7.5 	10.6 	: 	6.8 	8.5 	14.8 
LT1M,M,Y15-24,ED3_4,2008	14.9 u	11.3 	27.4 	19.5 	17.9 	13.2 u	13.0 	13.7 	17.5 	14.5 	21.8 	22.7 
LT1M,M,Y15-24,ED5_6,2008	30.8 u	: 	: 	: 	24.3 	22.7 u	20.0 u	: 	16.7 u	5.6 u	: 	15.5 u
LT1M,M,Y15-24,TOTAL,2008	17.5 u	7.0 	20.9 	13.6 	14.3 	10.2 	10.5 	12.7 	16.9 	10.4 	16.9 	18.9 
LT1M,M,Y25-34,ED0-2,2008	19.1 u	16.2 	: 	17.5 	12.9 	13.8 	10.9 	9.2 	: 	23.8 	: 	: 
LT1M,M,Y25-34,ED3_4,2008	22.6 u	21.0 	23.0 	21.2 	13.8 	22.5 	19.1 	13.0 	17.8 	24.9 	25.7 	27.9 
LT1M,M,Y25-34,ED5_6,2008	29.1 	10.5 	36.1 u	21.6 	17.8 	15.9 	21.4 	13.9 	34.8 	19.5 	22.4 u	20.7 
LT1M,M,Y25-34,TOTAL,2008	24.8 u	17.9 	25.9 	20.6 	14.7 	18.3 	17.4 	12.8 	22.0 	23.6 	24.7 	25.7 
LT1M,M,Y35-44,ED0-2,2008	17.3 u	23.2 	: 	23.3 	13.3 	12.8 	20.0 	14.4 	3.9 u	31.8 	17.4 u	: 
LT1M,M,Y35-44,ED3_4,2008	22.9 	21.8 	27.7 	23.3 	8.7 	15.7 	17.5 	13.8 	18.7 	28.1 	30.3 	31.9 
LT1M,M,Y35-44,ED5_6,2008	28.5 	16.9 	: 	21.1 	11.8 	10.8 	23.1 	19.3 	23.3 u	20.7 	25.1 u	36.2 
LT1M,M,Y35-44,TOTAL,2008	24.1 	21.2 	29.8 	22.6 	11.6 	13.5 	19.0 	14.8 	17.8 	27.7 	27.6 	32.1 
LT1M,M,Y45-54,ED0-2,2008	15.6 u	27.6 	: 	23.8 	7.9 	9.0 	8.4 	12.6 	13.5 	28.2 	14.5 u	: 
LT1M,M,Y45-54,ED3_4,2008	31.3 	27.0 	31.7 	15.8 	8.3 	9.8 	14.7 	21.8 	21.0 	30.3 	29.5 	31.1 
LT1M,M,Y45-54,ED5_6,2008	31.3 	26.4 	: 	14.9 	10.2 	13.1 	12.3 	17.2 	25.0 u	24.0 	29.8 u	22.2 
LT1M,M,Y45-54,TOTAL,2008	26.0 	27.0 	30.4 	18.0 	8.6 	10.4 	13.0 	19.8 	19.3 	29.3 	26.3 	28.4 
LT1M,M,Y55-64,ED0-2,2008	15.2 	16.7 	: 	13.6 	4.6 	7.7 	13.5 	12.7 	13.9 	23.8 	10.9 u	9.5 u
LT1M,M,Y55-64,ED3_4,2008	15.7 	24.3 	22.8 	6.9 	4.7 	12.4 	15.0 	13.5 	9.9 	25.5 	21.3 	28.3 
LT1M,M,Y55-64,ED5_6,2008	27.6 	13.9 	32.7 u	18.1 	3.9 	13.0 	10.8 	11.9 	17.2 u	16.1 	29.2 u	25.8 
LT1M,M,Y55-64,TOTAL,2008	19.4 	20.2 	24.2 	12.9 	4.5 	10.1 	13.9 	13.1 	12.7 	24.1 	20.2 	26.5 
LT1M,M,Y65-74,ED0-2,2008	17.5 u	8.1 	: 	9.9 	1.8 	7.5 	3.8 	12.6 	9.9 	21.0 	13.6 u	24.4 u
LT1M,M,Y65-74,ED3_4,2008	10.3 	8.8 	16.9 	11.4 u	2.4 	6.9 	10.8 	5.7 	7.7 	22.3 	18.2 	20.2 
LT1M,M,Y65-74,ED5_6,2008	11.3 	6.5 	: 	6.8 	5.0 	2.3 u	4.8 u	7.0 u	5.3 u	13.6 	: 	13.6 u
LT1M,M,Y65-74,TOTAL,2008	14.1 	8.1 	16.9 	9.5 	2.3 	6.6 	6.8 	8.4 	8.7 	21.0 	18.7 	19.6 
LT1M,M,Y75-84,ED0-2,2008	8.4 u	10.1 	: 	9.5 	0.9 	1.7 	2.8 	2.1 u	1.7 	16.5 	: 	7.0 u
LT1M,M,Y75-84,ED3_4,2008	10.2 	4.1 	23.1 u	2.6 u	: 	: 	3.5 u	11.1 	10.0 u	11.4 	4.9 u	11.8 u
LT1M,M,Y75-84,ED5_6,2008	11.4 	3.4 u	: 	5.2 u	1.1 	: 	: 	4.4 u	: 	7.5 u	: 	: 
LT1M,M,Y75-84,TOTAL,2008	9.3 u	7.5 	14.1 	8.1 	0.9 	1.2 	2.6 	6.4 	5.6 	14.6 	7.3 	11.1 
LT1M,M,Y_GE85,ED0-2,2008	7.3 u	3.7 u	: 	4.2 u	0.6 u	: 	: 	: 	: 	2.9 	: 	: 
LT1M,M,Y_GE85,ED3_4,2008	5.8 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LT1M,M,Y_GE85,ED5_6,2008	12.0 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
LT1M,M,Y_GE85,TOTAL,2008	8.0 u	2.8 u	: 	3.6 	1.7 u	: 	: 	3.6 u	: 	3.8 	: 	: 
LT1M,T,TOTAL,ED0-2,2008	11.1 u	6.8 	12.5 	7.5 	4.6 	3.9 	5.8 	4.6 	5.4 	8.3 	7.7 	6.7 
LT1M,T,TOTAL,ED3_4,2008	16.9 	11.6 	18.8 	12.5 	7.2 	8.3 	10.5 	9.2 	13.0 	13.9 	17.8 	17.3 
LT1M,T,TOTAL,ED5_6,2008	20.6 	9.1 	28.8 	12.2 	8.8 	8.2 	9.5 	8.8 	19.3 	10.3 	15.9 	15.3 
LT1M,T,TOTAL,TOTAL,2008	16.2 u	9.6 	18.9 	10.3 	6.2 	6.6 	8.9 	7.9 	11.4 	11.6 	14.8 	15.3 
LT1M,T,Y15-24,ED0-2,2008	13.3 u	1.6 	18.1 	4.8 	8.1 	2.7 	5.4 	6.9 	3.6 u	4.1 	10.2 	9.5 
LT1M,T,Y15-24,ED3_4,2008	11.5 	7.3 	23.5 	14.6 	13.8 	10.1 u	10.7 	10.4 	18.0 	8.3 	18.5 	16.5 
LT1M,T,Y15-24,ED5_6,2008	22.1 	: 	: 	6.7 	15.8 	14.3 	12.1 	12.2 u	17.5 	2.1 	: 	11.1 
LT1M,T,Y15-24,TOTAL,2008	14.4 	4.4 	21.4 	10.1 	10.8 	7.6 	8.3 	9.0 	17.2 	5.9 	15.1 	13.2 
LT1M,T,Y25-34,ED0-2,2008	11.3 u	9.8 	23.9 u	15.9 	8.6 	10.2 	8.9 	5.7 	3.7 u	12.0 	18.2 u	: 
LT1M,T,Y25-34,ED3_4,2008	20.1 u	13.2 	18.5 	14.1 	8.7 	13.0 	14.3 	9.5 	12.4 	14.1 	16.3 	18.9 
LT1M,T,Y25-34,ED5_6,2008	23.4 	8.2 	32.2 	16.4 	12.6 	8.8 	13.3 	8.7 	24.7 	10.9 	20.3 	15.6 
LT1M,T,Y25-34,TOTAL,2008	20.4 	11.2 	21.7 	15.2 	10.1 	10.8 	12.9 	8.8 	15.4 	13.1 	17.5 	17.7 
LT1M,T,Y35-44,ED0-2,2008	12.7 u	15.8 	: 	14.8 	8.5 	6.9 	15.7 	8.2 	4.8 u	16.1 	10.9 u	: 
LT1M,T,Y35-44,ED3_4,2008	19.9 	13.2 	20.8 	14.3 	5.8 	7.9 	15.3 	8.3 	13.2 	15.5 	20.8 	21.0 
LT1M,T,Y35-44,ED5_6,2008	18.9 	8.2 	32.8 u	13.8 	7.9 	7.2 	13.9 	10.6 	16.1 	12.9 	12.9 	21.1 
LT1M,T,Y35-44,TOTAL,2008	18.2 	12.4 	21.5 	14.3 	7.5 	7.5 	14.9 	8.9 	12.9 	15.3 	17.4 	20.8 
LT1M,T,Y45-54,ED0-2,2008	14.5 u	15.1 	15.0 u	11.1 	4.5 	4.0 	8.8 	6.3 	6.9 	11.7 	7.8 	4.1 u
LT1M,T,Y45-54,ED3_4,2008	20.9 	16.5 	23.4 	11.6 	5.3 	5.0 	10.1 	13.2 	13.4 	16.6 	21.7 	19.0 
LT1M,T,Y45-54,ED5_6,2008	23.5 	17.1 	34.2 u	11.1 	6.7 	7.4 	7.6 	9.8 	21.7 	12.6 	16.7 	14.6 
LT1M,T,Y45-54,TOTAL,2008	19.6 	16.3 	23.5 	11.3 	5.3 	5.2 	9.3 	11.4 	12.2 	15.2 	17.6 	17.4 
LT1M,T,Y55-64,ED0-2,2008	13.3 	9.7 	6.1 	6.1 	2.2 	3.7 	8.9 	3.7 	7.5 	9.8 	5.9 	4.4 
LT1M,T,Y55-64,ED3_4,2008	14.8 	12.5 	16.2 	6.7 	3.3 	6.2 	7.6 	8.2 	6.7 	14.9 	15.2 	15.2 
LT1M,T,Y55-64,ED5_6,2008	22.8 	8.8 	26.6 u	11.9 	2.5 	8.8 	4.6 	8.3 	16.7 	8.1 	17.2 u	13.8 
