unit,quant_inc,sex,age,time\geo	EU27_2020 	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	NO 	UK 	TR 
PC,QU2,F,Y18-64,2014	1.7 	2.6 e	2.0 	1.5 	1.6 	6.9 	3.4 	0.3 	4.2 	0.4 	1.1 	0.3 	2.3 	0 	0.5 	1.6 	2.5 	0.4 	2.7 	0.9 	0.6 	1.8 	1.8 	0.6 	0.5 	5.2 	2.7 	0.7 	2.5 	8.9 	0.1 
PC,QU2,F,Y25-34,2014	1.3 	1.9 e	0.9 	0 u	4.1 u	6.8 u	2.6 	0 	1.5 	0 	3.0 	0 u	0 	0 	0 	3.4 u	0 	0 	1.9 	1.7 	0.4 	4.4 	0 	0 	0 	4.1 	0.8 	0 	2.5 	5.1 	0.2 
PC,QU2,F,Y25-64,2014	1.6 	2.6 e	1.9 	1.4 	1.4 	7.1 	2.9 	0 	4.1 	0.4 	1.0 	0.4 	2.7 	0 	0.6 	2.0 	1.7 	0.4 	1.4 	0.9 	0.5 	2.0 	1.7 	0.2 	0.6 	4.4 	2.5 	0.4 	2.4 	9.5 	0.1 
PC,QU2,F,Y35-44,2014	1.3 	2.8 e	1.2 	2.6 	0.5 	4.4 u	2.0 	0 	3.9 	1.1 	0.5 	0 u	2.7 	0 	2.8 	4.9 	0 	0 	2.9 	0.4 	0.9 	0.7 	2.1 	0.7 	0 	3.2 	0 	0 	3.6 	13.2 	0 
PC,QU2,F,Y45-54,2014	2.2 	3.2 e	3.1 	0 	2.7 u	5.3 	3.7 	0 	5.5 	0 	0.7 	0 	4.3 	0 	0 	0 	1.6 	0 	0 	0.4 	0.3 	1.8 	1.5 	0 	0 	5.7 	5.7 	2.1 u	1.5 	10.2 	0.2 
PC,QU2,F,Y45-64,2014	1.9 	2.9 e	2.6 	1.0 	1.1 	8.2 	3.3 	0 	5.6 	0.1 	0.5 	0.7 	3.5 	0 	0 	0.5 	3.8 	0.8 	0.4 	0.8 	0.3 	1.8 	2.2 	0 	1.2 	5.3 	4.9 	1.1 	1.7 	10.2 	0.1 
PC,QU2,F,Y55-64,2014	1.7 	2.6 e	1.9 	1.7 	0 	10.5 	2.9 	0 	5.7 	0.1 	0.2 	1.4 	2.4 	0 	0 	0.7 	7.1 u	1.3 	0.8 	1.3 	0.4 	1.9 	2.7 	0 	2.2 	4.8 	4.1 	0 u	1.9 	10.2 	0 
PC,QU2,F,Y65-74,2014	2.0 	2.7 e	2.0 	0 	0.3 	18.4 	3.2 	0 	1.9 	0.7 	0.0 	0 u	4.3 	0 	0.6 	2.5 	10.7 u	2.8 	1.2 	0.5 	0.6 	1.6 	2.0 	0 	0.7 	2.2 	4.6 	1.6 	1.6 	7.9 	0 
PC,QU2,F,Y_GE18,2014	1.7 	2.4 e	1.7 	0.9 	1.0 	10.4 	3.2 	0.2 	3.3 	0.6 	0.8 	0.2 	2.7 	0 	0.4 	1.3 	3.9 	0.7 	2.3 	0.7 	0.5 	1.6 	1.6 	0.5 	0.5 	3.7 	2.8 	0.7 	2.0 	8.0 	0.1 
PC,QU2,F,Y_GE65,2014	1.7 	2.1 e	1.4 	0 	0.1 	18.7 	2.8 	0 	1.0 	1.4 	0.2 	0 	3.6 	0 	0.3 	1.0 	7.9 	1.7 	0.8 	0.3 	0.3 	1.2 	1.3 	0 	0.4 	1.2 	2.9 	0.9 	0.8 	5.5 	0 
PC,QU2,F,Y_GE75,2014	1.3 	1.5 e	1.0 	0 	0 	19.4 u	2.5 	0 	0 	2.0 	0.4 	0 	3.1 	0 	0 	0 	4.4 u	0 	0 u	0 	0 	0.8 	0.5 	0 	0 	0 	1.6 	0 u	0 	3.1 	0 
PC,QU2,M,TOTAL,2014	3.7 	4.3 e	4.5 	3.7 	3.0 	7.5 	5.1 	0.2 	5.7 	2.3 	3.6 	3.5 	3.4 	0.2 	5.2 	12.0 	8.5 	7.3 	6.0 	1.2 	3.0 	9.8 	8.2 	2.8 	2.1 	4.4 	2.0 	1.2 	1.0 	9.4 	1.5 
PC,QU2,M,Y15-24,2014	1.8 	1.9 e	0 u	0 u	0 u	0 u	5.4 	0 u	6.5 u	1.7 u	0.4 	0 u	0.9 	0 	2.5 	1.8 	: u	1.5 	3.6 u	0.9 	1.0 	2.0 	0 	0 u	0 	0 u	3.4 	2.1 u	0.6 	2.2 	0.5 
PC,QU2,M,Y15-29,2014	2.0 	2.2 e	1.1 	1.4 	0 u	6.2 u	4.2 	0 	4.6 	3.5 	0.3 	0 u	1.4 	0 	3.0 	4.9 	0 u	3.9 	5.6 	1.4 	1.2 	2.5 	0.3 	0 	0 	5.0 	4.1 	3.0 	0.7 	4.3 	0.8 
PC,QU2,M,Y15-64,2014	3.8 	4.5 e	4.2 	3.8 	2.5 	6.2 	5.6 	0 	6.3 	2.8 	3.7 	2.9 	3.1 	0.3 	5.1 	14.1 	8.7 	7.0 	6.1 	1.3 	3.3 	9.8 	8.4 	2.9 	2.2 	5.3 	3.8 	1.6 	0.7 	10.5 	1.7 
PC,QU2,M,Y18-24,2014	2.6 	2.6 e	0 u	0 u	: u	: u	7.1 	0 u	: u	2.5 u	0.6 	0 u	1.3 	0 u	4.2 u	3.1 u	: u	2.0 	5.5 u	0 	1.4 	2.6 	0 	0 u	0 u	0 u	3.5 	4.0 u	1.0 	3.0 u	0.8 
PC,QU2,M,Y18-44,2014	2.8 	3.4 e	2.5 	2.8 	0 	4.0 	4.3 	0 	6.3 	2.7 	0.4 	2.0 	2.2 	0 	3.4 	13.3 	8.8 	5.1 	6.1 	1.4 	3.7 	7.4 	5.8 	1.3 	2.4 	3.6 	3.2 	1.5 	0.9 	8.6 	1.5 
PC,QU2,M,Y18-64,2014	4.1 	4.7 e	4.4 	4.1 	2.7 	6.4 	5.9 	0 	6.9 	2.9 	3.9 	3.0 	3.3 	0.3 	5.6 	15.6 	8.9 	7.3 	6.4 	1.2 	3.5 	10.4 	9.1 	3.0 	2.3 	5.8 	3.8 	1.7 	0.8 	10.9 	1.8 
PC,QU2,M,Y25-34,2014	2.8 	3.4 e	1.3 	2.5 u	0 u	7.7 u	3.0 	0 u	5.6 	6.2 	0 	0 u	1.9 	0 u	2.4 u	17.8 u	10.4 u	9.7 	6.7 	1.5 	6.2 	4.5 	5.2 	1.5 	0 	8.4 	3.3 	2.2 	0.6 	8.0 	1.5 
PC,QU2,M,Y25-64,2014	4.3 	5.1 e	4.8 	4.9 	3.0 	7.6 	5.6 	0 	6.2 	3.0 	4.2 	3.5 	3.7 	0.4 	5.9 	17.8 	9.9 	8.1 	6.5 	1.4 	3.8 	12.1 	10.7 	3.3 	2.7 	6.7 	3.9 	1.4 	0.8 	12.1 	2.0 
PC,QU2,M,Y35-44,2014	2.9 	3.8 e	4.0 	4.7 	0 u	: u	3.2 	0 u	4.0 	0 	0.7 	4.3 	3.0 	0 u	3.6 	17.4 u	11.1 u	3.4 	5.7 	2.0 	2.7 	13.7 	10.0 	1.6 u	5.5 	0 u	2.6 u	0 	1.3 	12.6 	1.8 
PC,QU2,M,Y45-54,2014	5.1 	5.8 e	5.8 	5.2 	4.8 u	2.9 u	6.4 	0 u	7.8 	2.6 	7.0 	3.8 u	3.4 	0 	7.7 	21.4 	6.1 	11.1 	5.1 	0.3 	4.1 	12.2 	13.8 	3.3 	2.0 	11.9 u	1.8 	2.2 u	0 	13.1 	2.4 
PC,QU2,M,Y45-64,2014	5.7 	6.5 e	6.5 	6.0 	6.4 	9.9 	7.7 	0 	8.0 	3.2 	7.2 	4.3 	4.7 	0.7 	8.1 	17.9 	9.1 	10.2 	6.7 	0.9 	3.1 	14.0 	13.5 	4.4 	2.1 	9.7 	5.0 	2.1 	0.5 	14.2 	2.6 
PC,QU2,M,Y55-64,2014	6.4 	7.3 e	7.2 	6.9 	7.5 	16.3 u	9.6 	0 	8.2 	3.7 	7.4 	4.8 	6.3 	1.5 	8.4 	14.4 	13.1 	9.5 	8.3 	1.7 	2.5 	16.7 	13.2 	5.5 	2.2 	7.6 	9.3 u	2.1 u	1.3 	15.5 	2.9 
