Date,Location,CumulativePositiveCase
2020-02-26,nuts/ITI18,0
2020-02-26,nuts/ITI14,2
2020-02-26,nuts/ITI1A,0
2020-02-26,nuts/ITI16,0
2020-02-26,nuts/ITI12,0
2020-02-26,nuts/ITI11,0
2020-02-26,nuts/ITI17,0
2020-02-26,nuts/ITI13,0
2020-02-26,nuts/ITI15,0
2020-02-26,nuts/ITI19,0
2020-02-26,nuts/ITH20,0
2020-02-26,nuts/ITI21,0
2020-02-26,nuts/ITI22,0
2020-02-26,nuts/ITC20,0
2020-02-26,nuts/ITH33,0
2020-02-26,nuts/ITH36,40
2020-02-26,nuts/ITH37,0
2020-02-26,nuts/ITH34,2
2020-02-26,nuts/ITH35,8
2020-02-26,nuts/ITH31,0
2020-02-26,nuts/ITH32,0
2020-02-27,nuts/ITF14,0
2020-02-27,nuts/ITF11,0
2020-02-27,nuts/ITF13,0
2020-02-27,nuts/ITF12,1
2020-02-27,nuts/ITF52,0
2020-02-27,nuts/ITF51,0
2020-02-27,nuts/ITH10,1
2020-02-27,nuts/ITF63,0
2020-02-27,nuts/ITF61,0
2020-02-27,nuts/ITF62,0
2020-02-27,nuts/ITF65,0
2020-02-27,nuts/ITF64,0
2020-02-27,nuts/ITF34,0
2020-02-27,nuts/ITF32,0
2020-02-27,nuts/ITF31,0
2020-02-27,nuts/ITF33,3
2020-02-27,nuts/ITF35,0
2020-02-27,nuts/ITH55,0
2020-02-27,nuts/ITH56,0
2020-02-27,nuts/ITH58,0
2020-02-27,nuts/ITH54,18
2020-02-27,nuts/ITH52,10
2020-02-27,nuts/ITH51,63
2020-02-27,nuts/ITH57,0
2020-02-27,nuts/ITH53,0
2020-02-27,nuts/ITH59,6
2020-02-27,nuts/ITH43,0
2020-02-27,nuts/ITH41,0
2020-02-27,nuts/ITH44,0
2020-02-27,nuts/ITH42,0
2020-02-27,nuts/ITI45,0
2020-02-27,nuts/ITI44,0
2020-02-27,nuts/ITI42,0
2020-02-27,nuts/ITI43,3
2020-02-27,nuts/ITI41,0
2020-02-27,nuts/ITC33,0
2020-02-27,nuts/ITC31,0
2020-02-27,nuts/ITC34,1
2020-02-27,nuts/ITC32,18
2020-02-27,nuts/ITC46,72
2020-02-27,nuts/ITC47,10
2020-02-27,nuts/ITC42,0
2020-02-27,nuts/ITC4A,91
2020-02-27,nuts/ITC43,0
2020-02-27,nuts/ITC49,159
2020-02-27,nuts/ITC4B,0
2020-02-27,nuts/ITC4C,15
2020-02-27,nuts/ITC4D,5
2020-02-27,nuts/ITC48,36
2020-02-27,nuts/ITC44,3
2020-02-27,nuts/ITC41,0
2020-02-27,nuts/ITI32,0
2020-02-27,nuts/ITI34,0
2020-02-27,nuts/ITI35,0
2020-02-27,nuts/ITI33,0
2020-02-27,nuts/ITI31,3
2020-02-27,nuts/ITF22,0
2020-02-27,nuts/ITF21,0
2020-02-27,nuts/ITC18,0
2020-02-27,nuts/ITC17,0
2020-02-27,nuts/ITC13,0
2020-02-27,nuts/ITC16,0
2020-02-27,nuts/ITC15,0
2020-02-27,nuts/ITC11,2
2020-02-27,nuts/ITC14,0
2020-02-27,nuts/ITC12,0
2020-02-27,nuts/ITF47,1
2020-02-27,nuts/ITF48,0
2020-02-27,nuts/ITF44,0
2020-02-27,nuts/ITF46,0
2020-02-27,nuts/ITF45,0
2020-02-27,nuts/ITF43,0
2020-02-27,nuts/ITG27,0
2020-02-27,nuts/ITG26,0
2020-02-27,nuts/ITG28,0
2020-02-27,nuts/ITG25,0
2020-02-27,nuts/ITG14,0
2020-02-27,nuts/ITG15,0
2020-02-27,nuts/ITG17,1
2020-02-27,nuts/ITG16,0
2020-02-27,nuts/ITG13,0
2020-02-27,nuts/ITG12,3
2020-02-27,nuts/ITG18,0
2020-02-27,nuts/ITG19,0
2020-02-27,nuts/ITG11,0
2020-02-27,nuts/ITI18,0
2020-02-27,nuts/ITI14,1
2020-02-27,nuts/ITI1A,0
2020-02-27,nuts/ITI16,0
2020-02-27,nuts/ITI12,0
2020-02-27,nuts/ITI11,0
2020-02-27,nuts/ITI17,0
2020-02-27,nuts/ITI13,1
2020-02-27,nuts/ITI15,0
2020-02-27,nuts/ITI19,0
2020-02-27,nuts/ITH20,0
2020-02-27,nuts/ITI21,0
