"NumPlaces","StatVar","ScalingFactors","Units","MinDate","MeasurementMethods","observationPeriods"
"218","LifeExpectancy_Person_Male","[]","[Year]","1960","[]","[P1Y]"
"218","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","[]","[Per1000Persons]","1960","[]","[P1Y]"
"197","MortalityRate_Person_Upto4Years_AsFractionOf_Count_BirthEvent_LiveBirth","[]","[Per1000LiveBirths]","1960","[]","[P1Y]"
"218","Count_Person","[]","[]","1960","[]","[P1Y]"
"100","Count_Person_7To14Years_Male_Employed_AsFractionOf_Count_Person_7To14Years_Male","[100]","[Percent]","1994","[]","[P1Y]"
"160","Count_Person_Upto4Years_Male_Wasting_AsFractionOf_Count_Person_Upto4Years_Male","[100]","[Percent]","1986","[JointChildMalnutritionEstimate]","[P1Y]"
"204","Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal","[100]","[Percent]","1970","[]","[P1Y]"
"188","Count_Person_25OrMoreYears_BachelorsDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears","[]","[]","1970","[]","[P1Y]"
"171","Count_Person_15OrMoreYears_Female_Smoking_AsFractionOf_Count_Person_15OrMoreYears_Female","[]","[]","2000","[AgeAdjustedPrevalence]","[P1Y]"
"171","Count_Person_15OrMoreYears_Smoking_AsFractionOf_Count_Person_15OrMoreYears","[]","[]","2000","[AgeAdjustedPrevalence]","[P1Y]"
"203","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita","[]","[InternationalDollar]","1990","[]","[P1Y]"
"160","Count_Person_Upto4Years_Male_Overweight_AsFractionOf_Count_Person_Upto4Years_Male","[]","[]","1986","[]","[P1Y]"
"197","Count_Death_0Years","[]","[]","1960","[UnitedNationsIGMEEstimate]","[P1Y]"
"195","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","[]","[]","1970","[]","[P1Y]"
"159","Count_Person_Upto4Years_Male_SevereWasting_AsFractionOf_Count_Person_Upto4Years_Male","[100]","[Percent]","1986","[JointChildMalnutritionEstimate]","[P1Y]"
"151","Amount_Consumption_Electricity_PerCapita","[]","[KilowattHour]","1990","[]","[P1Y]"
"197","Count_Death_0Years_Male_AsFractionOf_Count_BirthEvent_LiveBirth_Male","[]","[Per1000MaleLiveBirths]","1960","[UnitedNationsIGMEEstimate]","[P1Y]"
"180","Amount_Consumption_Energy_PerCapita","[]","[KilogramOfOilEquivalent]","1990","[]","[P1Y]"
"186","Count_Death_IntentionalSelfHarm_Female_AsFractionOf_Count_Person_Female","[]","[Per100000Females]","2000","[]","[P1Y]"
"171","Count_Person_15OrMoreYears_Male_Smoking_AsFractionOf_Count_Person_15OrMoreYears_Male","[]","[]","2000","[AgeAdjustedPrevalence]","[P1Y]"
"149","Count_CriminalActivities_MurderAndNonNegligentManslaughter_Male_AsFractionOf_Count_Person_Male","[]","[Per100000Males]","1990","[]","[P1Y]"
"200","Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal","[100]","[Percent]","1970","[WorldBankEstimate]","[P1Y]"
"188","Count_Person_15To64Years_InLaborForce_AsFractionOf_Count_Person_15To64Years","[]","[]","1990","[]","[P1Y]"
"100","Count_Person_7To14Years_Employed_AsFractionOf_Count_Person_7To14Years","[100]","[Percent]","1994","[]","[P1Y]"
"171","GiniIndex_EconomicActivity","[]","[]","1963","[WorldBankEstimate]","[P1Y]"
"162","Count_Person_25OrMoreYears_Female_MastersDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Female","[]","[]","1990","[]","[P1Y]"
"170","Count_Person_25OrMoreYears_MastersDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears","[]","[]","1990","[]","[P1Y]"
"152","Count_CriminalActivities_MurderAndNonNegligentManslaughter_Female_AsFractionOf_Count_Person_Female","[]","[Per100000Females]","1990","[]","[P1Y]"
"188","Count_Person_15To64Years_Female_InLaborForce_AsFractionOf_Count_Person_15To64Years_Female","[]","[]","1990","[]","[P1Y]"
"104","Amount_Stock_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal","[100]","[Percent]","1975","[]","[P1Y]"
"131","Count_Person_25OrMoreYears_Female_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears_Female","[]","[]","1994","[]","[P1Y]"
"215","GrowthRate_Amount_EconomicActivity_GrossDomesticProduction","[]","[]","1961","[]","[P1Y]"
"218","Count_Death_AsAFractionOfCount_Person","[]","[Per1000Persons]","1960","[WorldBankWeightedAverage]","[P1Y]"
"215","Amount_EconomicActivity_GrossDomesticProduction_Nominal","[]","[USDollar]","1960","[]","[P1Y]"
"188","Count_Person_15To64Years_Male_InLaborForce_AsFractionOf_Count_Person_15To64Years_Male","[]","[]","1990","[]","[P1Y]"
"200","Amount_Remittance_InwardRemittance","[]","[USDollar]","1970","[WorldBankEstimate]","[P1Y]"
"161","Count_Person_Upto4Years_SevereWasting_AsFractionOf_Count_Person_Upto4Years","[100]","[Percent]","1983","[JointChildMalnutritionEstimate]","[P1Y]"
"188","Count_Person_25OrMoreYears_Female_BachelorsDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Female","[]","[]","1970","[]","[P1Y]"
"100","Count_Person_7To14Years_Female_Employed_AsFractionOf_Count_Person_7To14Years_Female","[100]","[Percent]","1994","[]","[P1Y]"
"167","Count_Person_25OrMoreYears_Male_MastersDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Male","[]","[]","1990","[]","[P1Y]"
"215","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","[]","[USDollar]","1960","[]","[P1Y]"
"188","Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears","[]","[Liter]","2000","[WorldHealthOrganizationEstimates]","[P1Y]"
"188","Count_Person_15OrMoreYears_InLaborForce_Female_AsFractionOf_Count_Person_InLaborForce","[]","[]","1990","[]","[P1Y]"
"216","Count_Person_ResidingLessThan5MetersAboveSeaLevel_AsFractionOf_Count_Person","[]","[]","1990","[]","[P1Y]"
"215","Count_Product_MobileCellularSubscription_AsFractionOf_Count_Person","[]","[]","1960","[]","[P1Y]"
"188","Count_Person_InLaborForce","[]","[]","1990","[InternationalLaborOrganization]","[P1Y]"
"186","Count_Death_IntentionalSelfHarm_AsFractionOf_Count_Person","[]","[Per100000Persons]","2000","[]","[P1Y]"
"197","Count_Death_0Years_AsFractionOf_Count_BirthEvent_LiveBirth","[]","[Per1000LiveBirths]","1960","[UnitedNationsIGMEEstimate]","[P1Y]"
"160","Count_Person_Upto4Years_Female_Wasting_AsFractionOf_Count_Person_Upto4Years_Female","[100]","[Percent]","1986","[JointChildMalnutritionEstimate]","[P1Y]"
"201","Amount_Remittance_OutwardRemittance","[]","[USDollar]","1966","[WorldBankEstimate]","[P1Y]"
"160","Count_Person_Upto4Years_Female_Overweight_AsFractionOf_Count_Person_Upto4Years_Female","[]","[]","1986","[]","[P1Y]"
"214","Count_Person_IsInternetUser_PerCapita","[100]","[]","1990","[]","[P1Y]"
"210","Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy","[]","[]","1990","[]","[P1Y]"
"159","Count_Person_Upto4Years_Female_SevereWasting_AsFractionOf_Count_Person_Upto4Years_Female","[100]","[Percent]","1986","[JointChildMalnutritionEstimate]","[P1Y]"
"185","Count_Person_25OrMoreYears_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears","[]","[]","1970","[]","[P1Y]"
"210","Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy","[]","[]","1990","[]","[P1Y]"
"218","GrowthRate_Count_Person","[]","[]","1961","[]","[P1Y]"
"213","Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy","[]","[]","1990","[]","[P1Y]"
"104","Amount_Stock","[]","[USDollar]","1975","[]","[P1Y]"
"218","LifeExpectancy_Person","[]","[Year]","1960","[]","[]"
"210","Count_Person_20To79Years_Diabetes_AsFractionOf_Count_Person_20To79Years","[]","[]","2000","[]","[P1Y]"
