Detail Data For Oil Consumption Monthly - Petroleum Products Having Year : ALL
.
YearValue,MonthValue,OilType,Qty_000Tonne_Consumption_M
2021,5,SKO (KEROSENE),136.392
2021,6,SKO (KEROSENE),136.149
2019,4,ATF/RTF/JET,645.000
2019,5,ATF/RTF/JET,695.000
2020,4,ATF/RTF/JET,55.190
2020,5,ATF/RTF/JET,110.370
2020,6,ATF/RTF/JET,221.790
2020,7,ATF/RTF/JET,233.350
2019,6,ATF/RTF/JET,649.519
2019,7,ATF/RTF/JET,658.060
2019,8,ATF/RTF/JET,666.251
2019,9,ATF/RTF/JET,653.345
2019,10,ATF/RTF/JET,697.343
2019,11,ATF/RTF/JET,708.595
2019,12,ATF/RTF/JET,728.847
2020,1,ATF/RTF/JET,739.566
2020,2,ATF/RTF/JET,689.981
2020,3,ATF/RTF/JET,483.887
2020,8,ATF/RTF/JET,257.000
2020,9,ATF/RTF/JET,314.000
2020,10,ATF/RTF/JET,360.000
2020,11,ATF/RTF/JET,377.000
2020,12,ATF/RTF/JET,428.000
2021,1,ATF/RTF/JET,429.000
2021,2,ATF/RTF/JET,433.144
2021,3,ATF/RTF/JET,475.301
2021,4,ATF/RTF/JET,413.237
2021,5,ATF/RTF/JET,268.164
2021,6,ATF/RTF/JET,258.374
2019,4,DIESEL/ HSD,7315.000
2019,5,DIESEL/ HSD,7782.000
2020,4,DIESEL/ HSD,3255.750
2020,5,DIESEL/ HSD,5503.790
2020,6,DIESEL/ HSD,6305.120
2020,7,DIESEL/ HSD,5524.130
2019,6,DIESEL/ HSD,7451.361
2019,7,DIESEL/ HSD,6841.253
2019,8,DIESEL/ HSD,6116.820
2019,9,DIESEL/ HSD,5837.208
2019,10,DIESEL/ HSD,6509.920
2019,11,DIESEL/ HSD,7570.576
2019,12,DIESEL/ HSD,7386.895
2020,1,DIESEL/ HSD,6941.978
2020,2,DIESEL/ HSD,7159.861
2020,3,DIESEL/ HSD,5651.174
2020,8,DIESEL/ HSD,4851.000
2020,9,DIESEL/ HSD,5494.000
2020,10,DIESEL/ HSD,6997.000
2020,11,DIESEL/ HSD,7047.000
2020,12,DIESEL/ HSD,7188.000
2021,1,DIESEL/ HSD,6804.000
2021,2,DIESEL/ HSD,6560.039
2021,3,DIESEL/ HSD,7223.609
2021,4,DIESEL/ HSD,6682.857
2021,5,DIESEL/ HSD,5538.109
2021,6,DIESEL/ HSD,6203.383
2019,4,LDO,45.000
2019,5,LDO,49.000
2020,4,LDO,27.670
2020,5,LDO,70.960
2020,6,LDO,60.870
2020,7,LDO,58.790
2019,6,LDO,53.482
2019,7,LDO,51.508
2019,8,LDO,63.207
2019,9,LDO,60.121
2019,10,LDO,48.241
2019,11,LDO,50.603
2019,12,LDO,45.997
2020,1,LDO,57.330
2020,2,LDO,53.990
2020,3,LDO,48.831
2020,8,LDO,60.000
2020,9,LDO,65.000
2020,10,LDO,69.000
2020,11,LDO,68.000
2020,12,LDO,87.000
2021,1,LDO,85.000
2021,2,LDO,79.665
2021,3,LDO,112.652
2021,4,LDO,95.763
2021,5,LDO,76.822
2021,6,LDO,93.480
2019,4,LSHS/HHS/RFO,499.000
2019,5,LSHS/HHS/RFO,496.000
2020,4,LSHS/HHS/RFO,315.050
2020,5,LSHS/HHS/RFO,500.970
2020,6,LSHS/HHS/RFO,504.160
2020,7,LSHS/HHS/RFO,497.600
2019,6,LSHS/HHS/RFO,475.934
2019,7,LSHS/HHS/RFO,568.478
2019,8,LSHS/HHS/RFO,478.899
2019,9,LSHS/HHS/RFO,529.121
2019,10,LSHS/HHS/RFO,471.970
2019,11,LSHS/HHS/RFO,459.814
2019,12,LSHS/HHS/RFO,626.106
2020,1,LSHS/HHS/RFO,485.790
2020,2,LSHS/HHS/RFO,502.658
2020,3,LSHS/HHS/RFO,482.334
2020,8,LSHS/HHS/RFO,511.000
2020,9,LSHS/HHS/RFO,490.000
2020,10,LSHS/HHS/RFO,532.000
2020,11,LSHS/HHS/RFO,515.000
2020,12,LSHS/HHS/RFO,560.000
2021,1,LSHS/HHS/RFO,536.000
2021,2,LSHS/HHS/RFO,528.020
2021,3,LSHS/HHS/RFO,528.733
2021,4,LSHS/HHS/RFO,543.980
2021,5,LSHS/HHS/RFO,470.002
2021,6,LSHS/HHS/RFO,533.313
2019,4,BITUMEN,691.000
2019,5,BITUMEN,661.000
2020,4,BITUMEN,229.510
2020,5,BITUMEN,604.910
2020,6,BITUMEN,703.950
2020,7,BITUMEN,388.990
2019,6,BITUMEN,547.894
2019,7,BITUMEN,407.060
2019,8,BITUMEN,230.650
2019,9,BITUMEN,321.256
2019,10,BITUMEN,445.656
2019,11,BITUMEN,584.841
2019,12,BITUMEN,629.056
2020,1,BITUMEN,598.119
2020,2,BITUMEN,669.905
2020,3,BITUMEN,525.115
2020,8,BITUMEN,321.000
2020,9,BITUMEN,444.000
2020,10,BITUMEN,663.000
2020,11,BITUMEN,693.000
2020,12,BITUMEN,764.000
2021,1,BITUMEN,676.000
2021,2,BITUMEN,733.913
2021,3,BITUMEN,903.651
2021,4,BITUMEN,658.458
2021,5,BITUMEN,531.617
2021,6,BITUMEN,509.033
2019,4,PETROLEUM COKE,2254.000
2019,5,PETROLEUM COKE,1509.000
2020,4,PETROLEUM COKE,1076.320
2020,5,PETROLEUM COKE,1464.050
2020,6,PETROLEUM COKE,1561.850
2020,7,PETROLEUM COKE,1632.820
2019,6,PETROLEUM COKE,1479.610
2019,7,PETROLEUM COKE,1494.784
2019,8,PETROLEUM COKE,1782.703
2019,9,PETROLEUM COKE,1756.873
2019,10,PETROLEUM COKE,1667.376
2019,11,PETROLEUM COKE,1675.791
2019,12,PETROLEUM COKE,2002.337
2020,1,PETROLEUM COKE,1946.268
2020,2,PETROLEUM COKE,1785.716
2020,3,PETROLEUM COKE,1679.798
2020,8,PETROLEUM COKE,1393.000
2020,9,PETROLEUM COKE,1346.000
2020,10,PETROLEUM COKE,1394.000
2020,11,PETROLEUM COKE,1402.000
2020,12,PETROLEUM COKE,1595.000
2021,1,PETROLEUM COKE,1612.000
2021,2,PETROLEUM COKE,1598.603
2021,3,PETROLEUM COKE,1625.543
2021,4,PETROLEUM COKE,1623.597
2021,5,PETROLEUM COKE,1552.199
2021,6,PETROLEUM COKE,1603.727
2019,4,OTHERS,1042.000
2019,5,OTHERS,1021.000
2020,4,OTHERS,640.810
2020,5,OTHERS,778.760
2020,6,OTHERS,888.320
2020,7,OTHERS,991.880
2019,6,OTHERS,1037.074
2019,7,OTHERS,1020.044
2019,8,OTHERS,903.218
2019,9,OTHERS,897.435
2019,10,OTHERS,1000.157
2019,11,OTHERS,895.584
2019,12,OTHERS,906.004
2020,1,OTHERS,985.610
2020,2,OTHERS,945.848
2020,3,OTHERS,916.583
2020,8,OTHERS,857.000
2020,9,OTHERS,953.000
2020,10,OTHERS,920.000
2020,11,OTHERS,932.000
2020,12,OTHERS,1051.000
2021,1,OTHERS,1036.000
2021,2,OTHERS,918.596
2021,3,OTHERS,1028.660
2021,4,OTHERS,875.724
2021,5,OTHERS,885.826
2021,6,OTHERS,844.110
2019,4,MOTOR SPIRIT (PETROL),2458.000
2019,5,MOTOR SPIRIT (PETROL),2735.000
2020,4,MOTOR SPIRIT (PETROL),972.950
2020,5,MOTOR SPIRIT (PETROL),1770.510
2020,6,MOTOR SPIRIT (PETROL),2282.230
2020,7,MOTOR SPIRIT (PETROL),2263.160
2019,6,MOTOR SPIRIT (PETROL),2638.672
2019,7,MOTOR SPIRIT (PETROL),2522.907
2019,8,MOTOR SPIRIT (PETROL),2574.929
2019,9,MOTOR SPIRIT (PETROL),2372.295
2019,10,MOTOR SPIRIT (PETROL),2539.307
2019,11,MOTOR SPIRIT (PETROL),2534.738
2019,12,MOTOR SPIRIT (PETROL),2473.264
2020,1,MOTOR SPIRIT (PETROL),2456.157
2020,2,MOTOR SPIRIT (PETROL),2510.954
2020,3,MOTOR SPIRIT (PETROL),2155.877
2020,8,MOTOR SPIRIT (PETROL),2382.000
2020,9,MOTOR SPIRIT (PETROL),2451.000
2020,10,MOTOR SPIRIT (PETROL),2655.000
2020,11,MOTOR SPIRIT (PETROL),2665.000
2020,12,MOTOR SPIRIT (PETROL),2706.000
2021,1,MOTOR SPIRIT (PETROL),2610.000
2021,2,MOTOR SPIRIT (PETROL),2463.496
2021,3,MOTOR SPIRIT (PETROL),2739.724
2021,4,MOTOR SPIRIT (PETROL),2385.908
2021,5,MOTOR SPIRIT (PETROL),1990.985
2021,6,MOTOR SPIRIT (PETROL),2408.968
2019,4,LUBES/GREASES,255.000
2019,5,LUBES/GREASES,310.000
2020,4,LUBES/GREASES,203.930
2020,5,LUBES/GREASES,247.290
2020,6,LUBES/GREASES,315.930
2020,7,LUBES/GREASES,373.600
2019,6,LUBES/GREASES,300.140
2019,7,LUBES/GREASES,305.069
2019,8,LUBES/GREASES,311.405
2019,9,LUBES/GREASES,310.339
2019,10,LUBES/GREASES,277.134
2019,11,LUBES/GREASES,292.273
2019,12,LUBES/GREASES,284.473
2020,1,LUBES/GREASES,327.298
2020,2,LUBES/GREASES,326.064
2020,3,LUBES/GREASES,296.187
2020,8,LUBES/GREASES,320.000
2020,9,LUBES/GREASES,346.000
2020,10,LUBES/GREASES,316.000
2020,11,LUBES/GREASES,316.000
2020,12,LUBES/GREASES,334.000
2021,1,LUBES/GREASES,312.000
2021,2,LUBES/GREASES,325.897
2021,3,LUBES/GREASES,362.374
2021,4,LUBES/GREASES,258.595
2021,5,LUBES/GREASES,254.869
2021,6,LUBES/GREASES,288.096
