Detail Data For Oil Trade Monthly - Petroleum Products Import  Having Year : ALL
.
YearValue,MonthValue,OilType,Qty_000Tonne_Imports_M
2019,12,FUEL OIL,625.012
2020,8,FUEL OIL,538.060
2020,9,FUEL OIL,275.869
2020,10,FUEL OIL,219.349
2020,11,FUEL OIL,256.400
2020,12,FUEL OIL,509.350
2021,1,FUEL OIL,403.510
2021,2,FUEL OIL,844.016
2021,3,FUEL OIL,1130.280
2021,4,FUEL OIL,809.937
2021,5,FUEL OIL,640.444
2019,4,MOTOR SPIRIT (PETROL),118.770
2019,5,MOTOR SPIRIT (PETROL),125.210
2020,4,MOTOR SPIRIT (PETROL),0.000
2020,5,MOTOR SPIRIT (PETROL),0.000
2020,6,MOTOR SPIRIT (PETROL),34.980
2020,7,MOTOR SPIRIT (PETROL),37.940
2020,1,MOTOR SPIRIT (PETROL),198.186
2020,2,MOTOR SPIRIT (PETROL),61.321
2020,3,MOTOR SPIRIT (PETROL),74.212
2019,6,MOTOR SPIRIT (PETROL),183.423
2019,7,MOTOR SPIRIT (PETROL),244.954
2019,8,MOTOR SPIRIT (PETROL),174.397
2019,9,MOTOR SPIRIT (PETROL),409.004
2019,10,MOTOR SPIRIT (PETROL),192.934
2019,11,MOTOR SPIRIT (PETROL),137.727
2019,12,MOTOR SPIRIT (PETROL),225.865
2020,8,MOTOR SPIRIT (PETROL),34.780
2020,9,MOTOR SPIRIT (PETROL),75.441
2020,10,MOTOR SPIRIT (PETROL),131.010
2020,11,MOTOR SPIRIT (PETROL),154.870
2020,12,MOTOR SPIRIT (PETROL),543.500
2021,1,MOTOR SPIRIT (PETROL),123.500
2021,2,MOTOR SPIRIT (PETROL),73.396
2021,3,MOTOR SPIRIT (PETROL),133.020
2021,4,MOTOR SPIRIT (PETROL),73.894
2021,5,MOTOR SPIRIT (PETROL),0.000
2019,4,LUBES/GREASES,172.180
2019,5,LUBES/GREASES,218.790
2020,4,LUBES/GREASES,190.520
2020,5,LUBES/GREASES,190.520
2020,6,LUBES/GREASES,190.520
2020,7,LUBES/GREASES,192.530
2020,1,LUBES/GREASES,222.115
2020,2,LUBES/GREASES,211.546
2020,3,LUBES/GREASES,214.679
2019,6,LUBES/GREASES,235.733
2019,7,LUBES/GREASES,211.075
2019,8,LUBES/GREASES,220.141
2019,9,LUBES/GREASES,186.539
2019,10,LUBES/GREASES,211.069
2019,11,LUBES/GREASES,175.016
2019,12,LUBES/GREASES,158.233
2020,8,LUBES/GREASES,198.550
2020,9,LUBES/GREASES,187.338
2020,10,LUBES/GREASES,195.944
2020,11,LUBES/GREASES,200.930
2020,12,LUBES/GREASES,195.460
2021,1,LUBES/GREASES,204.540
2021,2,LUBES/GREASES,189.831
2021,3,LUBES/GREASES,194.920
2021,4,LUBES/GREASES,192.633
2021,5,LUBES/GREASES,189.890
